coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,Inhibitory
0x0,0.0,0.516421733,9.407502594,45.494209994,1.510146008,8.722505977,19.534629794999997,36.705556967999996,1.261778128,0.560163093,45.478705222,8.081992123,0.630872464,2.920960097,0.516421733,35.301597752,44.670195974,2.586730834,8.185618204999999,2.660523363,8.976939203,3.079170622,2.586730834,0.560163093,14.004860050000001,39.256280360999995,3.595592355,47.026826821,8.060901559000001,1.751185581,1.999586661,0.560163093,61.012147539,6.781508103,1.63673485,0.0,2.389480519,12.838046995,2.995825601,1.191035557,2.286296785,2.586730834,40.603710090999996,2.448298158,1.758608055,0.0,12.09834875,31.225325064999996,24.218094146000002,58.003900565,10.858502094999999,1.407023241,2.404556798,52.083453395,2.519007529,1.912098576,21.307407814999998,107.00947502700001,0.0,2.070309101,20.802170697,26.40072235,33.178420066,72.859048653,13.75449128,6.858937715000001,1.008861521,1.147294197,2.740271305,0.879273544,2.645596371,6.9690424879999995,8.229359565,1.521473972,30.288959175000002,0.0,0.879273544,18.300423423999998,25.562390979,17.000062341,0.890601508,2.070309101,13.767298986,5.69219449,1.3956952770000002,0.516421733,22.467025821,26.223496663,2.153138149,15.182778599000002,4.435645017000001,73.689228913,0.516421733,105.578964882,9.626614212,2.657473405,24.447349931,1.639733985,7.853618669,0.630872464,32.858939692,5.85117911,8.906685892999999,0.560163093,3.85155892,0.890601508,1.120313117,20.097762609,3.15441617,52.44393168,1.892677383,5.176568692,2.901562936,1.758608055,105.334957468,2.240634118,0.560163093,1.076584826,1.076584826,12.469513211999999,11.490048843,2.037895705,2.037895705,11.596758083,0.890601508,76.116259873,0.0,1.120313117,6.67541123,11.764491285999998,18.475174344000003,0.0,5.086231692,0.0,0.890601508,0.039313589,0.132082686,0.04797547,0.14456764900000002,0.018932964,0.0,0.138805026,0.083554147,0.014445687,0.0,0.558723932,0.298613759,0.757329312,0.0,0.378962431,0.016809277,2.2404732210000002,0.01458795,0.025848572000000004,0.094773553,4,4
1x1,0.0,0.516421733,16.879776735,45.494209994,1.510146008,26.869473467000002,19.534629794999997,37.773030698,1.795511968,0.560163093,43.105948998,6.095028043,2.232050031,2.920960097,1.050155573,35.835331592,46.805141509,2.586730834,8.185618204999999,2.660523363,11.645620620999999,3.079170622,2.586730834,0.560163093,15.072333780000001,39.790014201,3.595592355,41.747631352999996,6.0739374790000005,1.751185581,2.533320501,1.093896933,63.590770103000004,14.253782244,1.63673485,0.0,3.456954249,13.133984393999999,1.008861521,1.191035557,2.8200306250000002,2.586730834,43.272391508999995,2.448298158,2.292341895,0.53373384,12.09834875,42.434884685,20.92580175,70.28090193500002,10.858502094999999,1.407023241,2.404556798,50.096489315,3.052741369,2.445832416,21.307407814999998,110.74556560799999,0.0,3.671486668,21.335904537,28.68362946,31.873167693,69.41884870199999,13.75449128,6.858937715000001,1.008861521,1.147294197,2.740271305,1.4130073840000001,2.645596371,7.5027763279999995,8.763093405,1.521473972,61.775240435,0.0,0.879273544,16.847193183999998,14.175009579,19.135007876,0.890601508,2.070309101,13.915280441,5.69219449,1.9294291170000002,0.516421733,23.534499551,32.094497477000004,2.686871989,15.182778599000002,4.969378857000001,73.837210368,1.050155573,102.96832573799999,12.828942725,3.191207245,20.47341614,2.707207715,8.387352509,3.8332009769999997,32.858939692,5.85117911,8.906685892999999,0.560163093,5.452736487,0.890601508,1.120313117,8.176647369000001,3.68815001,54.578877215,1.892677383,5.176568692,3.969036666,1.758608055,97.38708058200001,2.240634118,0.560163093,1.076584826,1.076584826,13.151230550000001,13.624994378,4.706577123000001,2.037895705,13.731703618,1.424335348,76.797977211,1.06747373,1.120313117,7.74288496,13.365668852999999,17.169921971,0.0,5.086231692,8.005959716,11.564072268,0.002912167,0.15245179,0.041185390999999995,0.158153246,0.018932964,0.0,0.138805026,0.083554147,0.014445687,0.0,0.5513458440000001,0.298613759,0.757329312,0.0,0.378962431,0.016809277,2.2098436990000003,0.004664369,0.030283946000000003,0.094773553,4,4
2x2,0.0,0.516421733,15.098526916,36.588171757,1.510146008,25.088223648000003,19.534629794999997,34.210560926999996,1.795511968,0.560163093,38.173844552,8.081992123,2.232050031,2.920960097,1.050155573,34.944730084,43.242671738,2.586730834,8.185618204999999,0.879273544,9.864370802,3.079170622,2.586730834,0.560163093,15.072333780000001,38.899412693,3.595592355,42.570571279999996,6.27965174,1.751185581,2.533320501,1.093896933,64.208082429,14.253782244,1.63673485,0.0,3.456954249,17.107918185,2.995825601,1.191035557,1.9294291170000002,2.586730834,39.709921738,2.448298158,2.292341895,0.53373384,11.207747242,40.653634866,21.543114076000002,70.28090193500002,10.858502094999999,0.516421733,2.404556798,51.192851887,3.052741369,2.445832416,21.307407814999998,87.59095726800001,0.0,3.671486668,11.53898164,29.779992032,32.284631712999996,70.72097418599999,11.082682973,4.1871294080000006,1.008861521,1.147294197,2.740271305,1.4130073840000001,2.645596371,4.830968021,8.763093405,0.630872464,59.993990616,0.0,0.879273544,18.834157263999998,26.096124819,16.463199569,0.0,2.070309101,14.120994702,3.0203861830000003,1.9294291170000002,0.516421733,23.534499551,30.313247658,2.686871989,8.94842054,4.969378857000001,62.465974398,1.050155573,101.11927972699999,11.938341217,3.191207245,20.88488016,2.707207715,6.60610269,3.8332009769999997,32.858939692,5.85117911,8.016084385,0.560163093,3.671486668,0.0,1.120313117,20.097762609,3.68815001,47.453940255999996,1.892677383,5.176568692,2.187786847,1.758608055,97.31945368400001,2.240634118,0.560163093,1.076584826,1.076584826,15.138194630000001,11.843744559000001,3.8159756149999997,1.147294197,12.84110211,0.53373384,68.098023211,1.06747373,1.120313117,7.74288496,11.584419034,17.581385990999998,0.0,5.086231692,8.005959716,10.67347076,0.039313589,0.13963918,0.06383439,0.135705617,0.018932964,0.0,0.138805026,0.083554147,0.014445687,0.0,0.45981171900000006,0.298613759,0.757329312,0.0,0.330552804,0.016809277,2.230177919,0.019252319,0.046928878,0.086493443,4,4
3x3,0.0,0.516421733,16.879776735,30.354341194,0.879273544,26.238601003000003,19.534629794999997,34.618614527999995,0.53373384,0.560163093,42.663616602000005,8.081992123,1.601177567,2.920960097,1.050155573,33.311785151,42.388875322000004,1.95585837,7.554745741,2.660523363,8.491204451,2.448298158,1.95585837,0.560163093,11.91791761,25.910114631,2.964719891,45.279242052,8.060901559000001,1.120313117,2.533320501,1.093896933,56.934161887,13.62290978,1.63673485,0.0,2.826081785,15.846140057,2.995825601,0.560163093,2.8200306250000002,1.95585837,42.010613381,2.448298158,2.292341895,0.53373384,10.205671367,39.280468514999995,25.624997436,30.533492795,10.858502094999999,1.407023241,2.404556798,38.203553825,2.421868905,2.445832416,11.843353144999998,95.605696808,0.0,3.0406142039999997,18.181488367,26.885284392,33.954424101,61.40604685299999,9.969182132,6.858937715000001,1.008861521,0.516421733,2.109398841,1.4130073840000001,2.645596371,5.610098945000001,8.132220941,0.890601508,60.513462307,0.0,0.879273544,13.787017588,25.465252355,15.349698727999998,0.890601508,1.439436637,8.331668726,4.430416362,1.9294291170000002,0.516421733,22.903627087,30.832719349,2.686871989,14.551906135000001,2.445832416,69.51530844199999,1.050155573,102.08379216699998,10.305396284,1.9294291170000002,21.92380349,2.0763352509999997,5.863806068000001,3.202328513,31.597161563999997,3.327632669,8.275813429,0.560163093,4.821864023,0.890601508,1.120313117,20.097762609,0.53373384,47.639069223999996,0.0,3.2838913090000004,3.969036666,1.758608055,101.54964832000002,2.240634118,0.560163093,1.076584826,1.076584826,11.352885482000001,9.83968523,4.0757046589999995,1.407023241,13.731703618,1.424335348,69.320886621,1.06747373,1.120313117,7.74288496,13.365668852999999,18.620309321,0.0,5.086231692,8.005959716,11.564072268,0.039313589,0.151724254,0.07530554,0.13600552500000002,0.018932964,0.0,0.138805026,0.083554147,0.014445687,0.0,0.4714224,0.298613759,0.693869702,0.0,0.306171731,0.016809277,2.188465684,0.019252319,0.046928878,0.076448332,4,4
4x4,0.0,0.516421733,11.835560402999999,41.458856088,1.510146008,22.834119561,19.534629794999997,30.711082560999998,1.795511968,0.560163093,47.079882788999996,6.064334251,2.232050031,1.912098576,1.050155573,35.835331592,40.752042181,2.586730834,8.185618204999999,2.660523363,10.6367591,2.070309101,2.586730834,0.560163093,14.063472259000001,37.772356329,2.586730834,44.651291907,6.043243687,1.751185581,2.533320501,1.093896933,63.498644589,13.244920723,1.63673485,0.0,3.456954249,11.054818857,1.98696408,1.191035557,2.8200306250000002,2.586730834,41.254733636999994,1.439436637,2.292341895,0.53373384,8.062994844,35.372936548,26.886775564,56.155741155,10.858502094999999,1.407023241,1.3956952770000002,44.012770178,2.043879848,2.445832416,19.289749942999997,99.647943898,0.0,3.671486668,19.318246665,28.652935667999998,35.847101484,72.383920972,11.736833408,6.858937715000001,0.0,1.147294197,2.740271305,1.4130073840000001,1.63673485,6.4939148069999995,8.763093405,1.521473972,55.722141107,0.0,0.879273544,18.834157263999998,25.087263298,11.064324659,0.890601508,2.070309101,15.902244521,5.69219449,1.9294291170000002,0.516421733,23.534499551,31.085635956,2.686871989,15.182778599000002,4.969378857000001,66.745579304,1.050155573,108.89854475199999,9.802421433,3.191207245,23.43848841,1.698346194,8.387352509,3.8332009769999997,32.858939692,4.842317589,8.906685892999999,0.560163093,5.452736487,0.890601508,1.120313117,18.080104737,3.68815001,52.561219343000005,1.892677383,4.167707171,3.969036666,1.758608055,89.19538438800001,2.240634118,0.560163093,1.076584826,1.076584826,12.111673338,8.580778045999999,4.706577122999999,2.037895705,13.731703618,1.424335348,75.75841999900001,1.06747373,1.120313117,7.74288496,13.365668852999999,21.143855762,0.0,4.077370171,8.005959716,11.564072268,0.039313589,0.129176234,0.072921369,0.158699444,0.018932964,0.0,0.138805026,0.083554147,0.0,0.0,0.461182307,0.298613759,0.757329312,0.0,0.378962431,0.0,2.184927359,0.019252319,0.040327084,0.076515156,4,4
5x5,0.360786525,0.516421733,10.129093659,76.00411995,2.074021723,7.324684447000001,17.145149623,44.64293236499999,1.622564653,0.9209496180000001,38.12898424,6.368733334,0.630872464,3.12406663,13.505851103,40.48882974199999,64.897156549,3.1506065489999995,8.59176446,2.142036344,8.458452184,2.921488143,2.0682438149999998,0.560163093,13.847177571,24.308509021,2.716318811,38.23395658,7.023884569,1.751185581,1.481099642,3.0856572559999997,63.31283264300001,7.345383818,1.63673485,0.0,0.991658989,22.218110248000002,2.995825601,1.191035557,1.767809766,1.7074572899999998,41.325301155999995,1.569024614,0.360786525,0.0,12.459135275,34.314719764,27.104427054000002,80.370741385,10.36385576,2.1286143060000002,1.525283254,25.549739439999996,2.00052051,2.115205109,13.957686833,110.14425269200001,0.0,1.191035557,20.644488218,30.211681151,32.547545896,78.474056574,17.723159523,4.221044055,1.7304525860000002,2.229674274,2.740271305,0.0,2.645596371,8.254523254,6.47075151,2.243065037,31.01055024,0.0,0.0,11.513424788999998,34.583135732,16.481575321999998,0.890601508,3.355789867,13.248811966999998,3.933586435,0.877208258,0.516421733,21.069204291000002,33.485633361,2.513924674,11.50789677,4.999520732000001,72.31412127600001,1.2380127980000002,96.811174399,24.057824871999998,1.778199861,21.854825326,1.639733985,8.417494384000001,0.991658989,33.513506466,4.0925710550000005,3.991659338,0.560163093,4.7762336649999995,1.972981585,1.481099642,19.218489065,7.123084413000001,55.623956969999995,2.253463908,3.417960637,2.901562936,0.721591065,102.833017178,2.240634118,0.560163093,1.076584826,1.437371351,11.274768811,10.971561824,2.39868223,2.75948677,1.9234265400000001,2.3337507669999997,73.658731006,0.0,9.418537023,6.878517763,12.012930533999999,19.399849089,0.360786525,2.290615679,0.0,1.972981585,0.039313589,0.122629551,0.04797547,0.09759822200000001,0.097743055,0.0,0.140515904,0.074578928,0.014445687,0.0,0.53986309,0.298613759,0.06345961,0.0,0.228723666,0.16644698500000002,2.09486049,0.757718844,0.025848572000000004,0.044863728,4,4
6x6,0.360786525,0.516421733,17.6013678,76.00411995,2.074021723,25.471651937,17.145149623,45.710406094999996,2.156298493,0.9209496180000001,35.756228016,4.381769254,2.232050031,3.12406663,14.039584943,41.022563582,67.032102084,3.1506065489999995,8.59176446,2.142036344,11.127133601999999,2.921488143,2.0682438149999998,0.560163093,14.914651301,24.842242861,2.716318811,32.954761112,5.036920489,1.751185581,2.0148334820000002,3.6193910959999998,65.891455207,14.817657958999998,1.63673485,0.0,2.059132719,22.514047646999998,1.008861521,1.191035557,2.301543606,1.7074572899999998,43.99398257399999,1.569024614,0.894520365,0.53373384,12.459135275,45.524279383999996,23.812134658,92.64774275500001,10.36385576,2.1286143060000002,1.525283254,23.562775359999996,2.53425435,2.648938949,13.957686833,113.880343273,0.0,2.792213124,21.178222058,32.494588261000004,31.242293523,75.03385662299999,17.723159523,4.221044055,1.7304525860000002,2.229674274,2.740271305,0.53373384,2.645596371,8.788257094,7.0044853499999995,2.243065037,62.4968315,0.0,0.0,10.060194548999998,23.195754332,18.616520856999998,0.890601508,3.355789867,13.396793421999998,3.933586435,1.410942098,0.516421733,22.136678021,39.356634174999996,3.047658514,11.50789677,5.533254572000001,72.462102731,1.7717466380000002,94.20053525499999,27.260153385,2.311933701,17.880891535,2.707207715,8.951228224000001,4.193987502,33.513506466,4.0925710550000005,3.991659338,0.560163093,6.377411232,1.972981585,1.481099642,7.297373825,7.656818253000001,57.758902504999995,2.253463908,3.417960637,3.969036666,0.721591065,94.885140292,2.240634118,0.560163093,1.076584826,1.437371351,11.956486149,13.106507359,5.067363648000001,2.75948677,4.058372075,2.8674846069999997,74.340448344,1.06747373,9.418537023,7.945991492999999,13.614108101,18.094596715999998,0.360786525,2.290615679,8.005959716,12.646452345,0.002912167,0.142998655,0.041185390999999995,0.11118381899999999,0.097743055,0.0,0.140515904,0.074578928,0.014445687,0.0,0.532485002,0.298613759,0.06345961,0.0,0.228723666,0.16644698500000002,2.064230968,0.747795263,0.030283946000000003,0.044863728,4,4
7x7,0.360786525,0.516421733,15.820117981000001,67.098081713,2.074021723,23.690402118,17.145149623,42.147936324,2.156298493,0.9209496180000001,30.824123569999998,6.368733334,2.232050031,3.12406663,14.039584943,40.13196207399999,63.469632313,3.1506065489999995,8.59176446,0.360786525,9.345883783,2.921488143,2.0682438149999998,0.560163093,14.914651301,23.951641353,2.716318811,33.77770103899999,5.242634750000001,1.751185581,2.0148334820000002,3.6193910959999998,66.508767533,14.817657958999998,1.63673485,0.0,2.059132719,26.487981438,2.995825601,1.191035557,1.410942098,1.7074572899999998,40.431512803,1.569024614,0.894520365,0.53373384,11.568533767,43.743029565,24.429446984000002,92.64774275500001,10.36385576,1.2380127980000002,1.525283254,24.659137931999997,2.53425435,2.648938949,13.957686833,90.72573493300001,0.0,2.792213124,11.381299161000001,33.590950833,31.653757542999998,76.33598210699999,15.051351216,1.549235748,1.7304525860000002,2.229674274,2.740271305,0.53373384,2.645596371,6.116448787,7.0044853499999995,1.352463529,60.715581680999996,0.0,0.0,12.047158628999998,35.116869572,15.944712549999998,0.0,3.355789867,13.602507682999999,1.261778128,1.410942098,0.516421733,22.136678021,37.575384356,3.047658514,5.2735387110000005,5.533254572000001,61.090866761,1.7717466380000002,92.35148924399999,26.369551877,2.311933701,18.292355555,2.707207715,7.169978405,4.193987502,33.513506466,4.0925710550000005,3.10105783,0.560163093,4.596161413,1.082380077,1.481099642,19.218489065,7.656818253000001,50.633965546,2.253463908,3.417960637,2.187786847,0.721591065,94.817513394,2.240634118,0.560163093,1.076584826,1.437371351,13.943450229,11.32525754,4.176762139999999,1.868885262,3.167770567,1.976883099,65.64049434399999,1.06747373,9.418537023,7.945991492999999,11.832858282,18.506060736,0.360786525,2.290615679,8.005959716,11.755850837,0.039313589,0.130186045,0.06383439,0.08873618999999999,0.097743055,0.0,0.140515904,0.074578928,0.014445687,0.0,0.440950877,0.298613759,0.06345961,0.0,0.18031403899999998,0.16644698500000002,2.084565188,0.762383213,0.046928878,0.036583618,4,4
8x8,0.360786525,0.516421733,17.6013678,60.86425115,1.443149259,24.840779473,17.145149623,42.555989925,0.894520365,0.9209496180000001,35.31389562,6.368733334,1.601177567,3.12406663,14.039584943,38.499017140999996,62.615835897,2.5197340849999996,7.960891996000001,2.142036344,7.972717432,2.290615679,1.437371351,0.560163093,11.760235131,10.962343291,2.085446347,36.486371811,7.023884569,1.120313117,2.0148334820000002,3.6193910959999998,59.234846991000005,14.186785494999999,1.63673485,0.0,1.4282602549999999,25.226203310000002,2.995825601,0.560163093,2.301543606,1.076584826,42.732204446,1.569024614,0.894520365,0.53373384,10.566457892,42.369863214,28.511330344,52.900333615,10.36385576,2.1286143060000002,1.525283254,11.669839869999999,1.903381886,2.648938949,4.493632163,98.740474473,0.0,2.16134066,18.023805888,30.696243193,33.323549931,67.02105477399999,13.937850375,4.221044055,1.7304525860000002,1.59880181,2.109398841,0.53373384,2.645596371,6.895579711,6.373612886,1.6121925730000002,61.235053371999996,0.0,0.0,7.000018953,34.485997108,14.831211708999998,0.890601508,2.724917403,7.813181707,2.671808307,1.410942098,0.516421733,21.505805557000002,38.094856047,3.047658514,10.877024306,3.009708131,68.140200805,1.7717466380000002,93.31600168399999,24.736606944,1.050155573,19.331278885,2.0763352509999997,6.427681783000001,3.563115038,32.251728338,1.569024614,3.360786874,0.560163093,5.746538768,1.972981585,1.481099642,19.218489065,4.502402083,50.819094514,0.360786525,1.525283254,3.969036666,0.721591065,99.04770803,2.240634118,0.560163093,1.076584826,1.437371351,10.158141081,9.321198211,4.436491183999999,2.1286143060000002,4.058372075,2.8674846069999997,66.86335775399999,1.06747373,9.418537023,7.945991492999999,13.614108101,19.544984065999998,0.360786525,2.290615679,8.005959716,12.646452345,0.039313589,0.142271119,0.07530554,0.08903609800000001,0.097743055,0.0,0.140515904,0.074578928,0.014445687,0.0,0.452561558,0.298613759,0.0,0.0,0.155932966,0.16644698500000002,2.042852953,0.762383213,0.046928878,0.026538507,4,4
9x9,0.360786525,0.516421733,12.557151467999999,71.968766044,2.074021723,21.436298031,17.145149623,38.648457957999995,2.156298493,0.9209496180000001,39.730161807,4.351075462,2.232050031,2.115205109,14.039584943,41.022563582,60.979002756,3.1506065489999995,8.59176446,2.142036344,10.118272081,1.9126266219999999,2.0682438149999998,0.560163093,13.90578978,22.824584988999998,1.7074572899999998,35.858421666,5.006226697000001,1.751185581,2.0148334820000002,3.6193910959999998,65.799329693,13.808796437999998,1.63673485,0.0,2.059132719,20.43488211,1.98696408,1.191035557,2.301543606,1.7074572899999998,41.97632470199999,0.560163093,0.894520365,0.53373384,8.423781369,38.462331247,29.773108472,78.52258197500001,10.36385576,2.1286143060000002,0.516421733,17.479056222999997,1.5253928289999998,2.648938949,11.940028961,102.782721563,0.0,2.792213124,19.160564186,32.463894468999996,35.216227314,77.998928893,15.705501651,4.221044055,0.721591065,2.229674274,2.740271305,0.53373384,1.63673485,7.779395573,7.0044853499999995,2.243065037,56.443732172,0.0,0.0,12.047158628999998,34.108008051,10.54583764,0.890601508,3.355789867,15.383757501999998,3.933586435,1.410942098,0.516421733,22.136678021,38.347772653999996,3.047658514,11.50789677,5.533254572000001,65.370471667,1.7717466380000002,100.130754269,24.233632092999997,2.311933701,20.845963805,1.698346194,8.951228224000001,4.193987502,33.513506466,3.083709534,3.991659338,0.560163093,6.377411232,1.972981585,1.481099642,17.200831193,7.656818253000001,55.741244632999994,2.253463908,2.409099116,3.969036666,0.721591065,86.693444098,2.240634118,0.560163093,1.076584826,1.437371351,10.916928937,8.062291027,5.067363647999999,2.75948677,4.058372075,2.8674846069999997,73.300891132,1.06747373,9.418537023,7.945991492999999,13.614108101,22.068530507,0.360786525,1.281754158,8.005959716,12.646452345,0.039313589,0.119723099,0.072921369,0.11173001699999999,0.097743055,0.0,0.140515904,0.074578928,0.0,0.0,0.442321465,0.298613759,0.06345961,0.0,0.228723666,0.149637708,2.039314628,0.762383213,0.040327084,0.026605331,4,4
