"Endothelial1" "Inhibitory" "Excitatory" "ODMature2" "Astrocyte" "Endothelial3" "ODMature1" "Microglia" "ODImmature1" "Ambiguous" "Endothelial2" "Pericytes" "ODImmature2" "Ependymal" "ODMature4" "ODMature3"
"Endothelial1" 1 0.0262066329144543 -0.037043896442391 -0.0324350710726533 0.0849413721457635 0.015391860340952 -0.0337323377750977 -0.00247162223212422 -0.0214526051128035 0.00682820428706046 -0.0353497289031733 -0.0313508563175835 -0.0133140626607773 -0.00991074433997399 -0.0309157078341832 -0.00768046925854173
"Inhibitory" 0.0262066329144543 1 -0.0470850830072718 -0.129500993651293 -0.0130458187240743 -0.00998071864799187 -0.0524374139862856 -0.0348478498955143 0.00114591316986695 -0.0546076717583177 -0.0692171167037662 -0.061387058623309 -0.00859575010632742 -0.0324457157267457 -0.0433171651597532 -0.0182221049300282
"Excitatory" -0.037043896442391 -0.0470850830072718 1 -0.0534343904054616 -0.0238840532552478 -0.0457061069355116 -0.0380545197251977 -0.00900781598848637 0.00671127231754187 -0.00588412452341794 -0.0610107886182271 -0.0363049530487604 -0.022979001193234 -0.0110278027901452 -0.0533580249178347 0.0739786617624016
"ODMature2" -0.0324350710726533 -0.129500993651293 -0.0534343904054616 1 -0.0381187369584459 -0.0274144064926009 0.0625280749815548 0.066862997767326 0.0380423614070331 -0.00503358291312164 -0.039723824947217 -0.0352301408510446 0.0209043121871979 -0.0352083976312191 0.152642619147962 -0.00863083327101286
"Astrocyte" 0.0849413721457635 -0.0130458187240743 -0.0238840532552478 -0.0381187369584459 1 0.0161143348074955 -0.0375579249123856 -0.00848103487971482 -0.0034073313359048 -0.00621995359624086 -0.042938663877915 -0.0330543066656466 -0.0204420733956565 0.00456429710453029 -0.0164845302653713 -0.0117923972792109
"Endothelial3" 0.015391860340952 -0.00998071864799187 -0.0457061069355116 -0.0274144064926009 0.0161143348074955 1 0.0452642533277157 -0.00203218183323329 0.0123307699795285 -0.0282281559922725 0.0301821557866758 -0.00957147502382087 -0.0092089964768223 -0.0119085937055434 -0.0213836040716695 -0.00531238406670705
"ODMature1" -0.0337323377750977 -0.0524374139862856 -0.0380545197251977 0.0625280749815548 -0.0375579249123856 0.0452642533277157 1 -0.020293186282878 -0.000809022464496081 -0.0144855866653285 -0.0168451844798545 -0.0149396041966165 -0.00634454205607792 -0.0149303838219514 0.0434698095831025 -0.00365996927179751
"Microglia" -0.00247162223212422 -0.0348478498955143 -0.00900781598848637 0.066862997767326 -0.00848103487971482 -0.00203218183323329 -0.020293186282878 1 -0.0142498386059992 -0.0039206352178785 -0.0212661997654639 -0.0188605003193741 -0.00800966584523306 -0.0188488600592287 -0.0185987174185497 -0.00462052747255979
"ODImmature1" -0.0214526051128035 0.00114591316986695 0.00671127231754187 0.0380423614070331 -0.0034073313359048 0.0123307699795285 -0.000809022464496081 -0.0142498386059992 1 -0.00567746958459979 -0.030795571543577 -0.0273118795712709 -0.0115987924639736 -0.0191606999912312 -0.0269327919044507 -0.00669098315258743
"Ambiguous" 0.00682820428706046 -0.0546076717583177 -0.00588412452341794 -0.00503358291312164 -0.00621995359624086 -0.0282281559922725 -0.0144855866653285 -0.0039206352178785 -0.00567746958459979 1 -0.0145838557734745 -0.0481012397103943 0.0129978240704984 -0.0207002105287759 -0.0214243188647265 -0.01301482293916
"Endothelial2" -0.0353497289031733 -0.0692171167037662 -0.0610107886182271 -0.039723824947217 -0.042938663877915 0.0301821557866758 -0.0168451844798545 -0.0212661997654639 -0.030795571543577 -0.0145838557734745 1 0.157329523890154 -0.00664874884131824 0.00253873231325295 -0.0154386216948342 -0.00383545671855267
"Pericytes" -0.0313508563175835 -0.061387058623309 -0.0363049530487604 -0.0352301408510446 -0.0330543066656466 -0.00957147502382087 -0.0149396041966165 -0.0188605003193741 -0.0273118795712709 -0.0481012397103943 0.157329523890154 1 -0.00589662144755956 -0.0138763082798822 -0.0136921562205481 -0.00340157778366613
"ODImmature2" -0.0133140626607773 -0.00859575010632742 -0.022979001193234 0.0209043121871979 -0.0204420733956565 -0.0092089964768223 -0.00634454205607792 -0.00800966584523306 -0.0115987924639736 0.0129978240704984 -0.00664874884131824 -0.00589662144755956 1 -0.00589298219056924 -0.00581477660561654 -0.00144457999164247
"Ependymal" -0.00991074433997399 -0.0324457157267457 -0.0110278027901452 -0.0352083976312191 0.00456429710453029 -0.0119085937055434 -0.0149303838219514 -0.0188488600592287 -0.0191606999912312 -0.0207002105287759 0.00253873231325295 -0.0138763082798822 -0.00589298219056924 1 -0.0136837057416287 -0.00339947840933162
"ODMature4" -0.0309157078341832 -0.0433171651597532 -0.0533580249178347 0.152642619147962 -0.0164845302653713 -0.0213836040716695 0.0434698095831025 -0.0185987174185497 -0.0269327919044507 -0.0214243188647265 -0.0154386216948342 -0.0136921562205481 -0.00581477660561654 -0.0136837057416287 1 -0.00335436403617752
"ODMature3" -0.00768046925854173 -0.0182221049300282 0.0739786617624016 -0.00863083327101286 -0.0117923972792109 -0.00531238406670705 -0.00365996927179751 -0.00462052747255979 -0.00669098315258743 -0.01301482293916 -0.00383545671855267 -0.00340157778366613 -0.00144457999164247 -0.00339947840933162 -0.00335436403617752 1
