"Ambiguous" "Astrocyte" "Endothelial1" "Endothelial2" "Endothelial3" "Ependymal" "Excitatory" "Inhibitory" "Microglia" "ODImmature1" "ODImmature2" "ODMature1" "ODMature2" "ODMature3" "ODMature4" "Pericytes" "res_ss"
"Ambiguous" 1 -0.161845948306165 -0.0744388559735888 -0.143617037392508 -0.114506844566478 -0.131180001969157 -0.280489447195206 -0.381675902561468 -0.0989375204304344 -0.127888273292939 -0.126126616428214 -0.186832534944978 -0.046775053994342 -0.0521834992884109 -0.0874831388177717 -0.0705940118188606 0.458642875534638
"Astrocyte" -0.161845948306165 1 0.0162392561767072 0.0216593711890214 -0.0681829525216352 0.00554581424313348 -0.0587104497737509 -0.170489566052842 -0.0882052796650639 0.0254530123801176 -0.123025602003532 -0.0963220868778794 -0.0035152193825754 -0.0268506399326829 -0.0638780023584197 -0.0526406014893075 -0.0928853944425855
"Endothelial1" -0.0744388559735888 0.0162392561767072 1 -0.0677424393134191 0.0528369965826804 -0.0655434928485903 -0.0751588462918841 -0.146457609458635 -0.142229425200349 -0.0683495269175589 -0.106318883451507 -0.0574339476122594 0.00568291389122578 -0.0597717185955326 -0.0428509084530821 -0.0162626947181222 -0.113412468126631
"Endothelial2" -0.143617037392508 0.0216593711890214 -0.0677424393134191 1 -0.104173280468897 0.00103965779101905 -0.00306029168776105 -0.0424820836320586 -0.100966669567884 -0.0887858782019216 -0.0568824047555867 -0.113331508912416 -0.000659300903045895 -0.119942684396701 -0.0439351663682737 0.0965744684846188 -0.00938730214200006
"Endothelial3" -0.114506844566478 -0.0681829525216352 0.0528369965826804 -0.104173280468897 1 -0.0287754719307867 0.0198700358115867 -0.0262673738011115 -0.0963869948398909 -0.0888339173456064 -0.072424976313671 -0.119233979530611 -0.0190863234592147 -0.115040689942981 -0.0375047992775653 -0.0470851879459803 -0.0851154837646314
"Ependymal" -0.131180001969157 0.00554581424313348 -0.0655434928485903 0.00103965779101905 -0.0287754719307867 1 0.0593479204775863 0.070254893985783 0.0738832678139638 -0.0270768893943121 0.0713334163661432 -0.155634361854492 -0.0288998715219955 -0.150413751384038 -0.0807287656386187 0.00263801923569882 -0.0569142243578347
"Excitatory" -0.280489447195206 -0.0587104497737509 -0.0751588462918841 -0.00306029168776105 0.0198700358115867 0.0593479204775863 1 0.0221451317334632 0.0561438906765331 -0.0419324567009342 0.169958485322322 -0.164205498806311 -0.0548597742724114 -0.143760887615463 -0.0860914292301701 -0.042633881657895 0.0638454155950987
"Inhibitory" -0.381675902561468 -0.170489566052842 -0.146457609458635 -0.0424820836320586 -0.0262673738011115 0.070254893985783 0.0221451317334632 1 0.0887234395457059 -0.0377768273848851 0.24954684697869 -0.160435178799419 -0.0507294754029101 -0.20196585014854 -0.0973693612962241 -0.00443373288818992 -0.0756906920308671
"Microglia" -0.0989375204304344 -0.0882052796650639 -0.142229425200349 -0.100966669567884 -0.0963869948398909 0.0738832678139638 0.0561438906765331 0.0887234395457059 1 -0.132975914094525 -0.048466519548566 -0.169600024114092 -0.0662286728725331 -0.125322502039754 0.00499848846784153 -0.0450934505495157 -0.0300085086984103
"ODImmature1" -0.127888273292939 0.0254530123801176 -0.0683495269175589 -0.0887858782019216 -0.0888339173456064 -0.0270768893943121 -0.0419324567009342 -0.0377768273848851 -0.132975914094525 1 -0.105272863427662 -0.0820861455080423 0.0859744490159112 -0.00611697409090682 -0.0510064312733895 -0.0432876925824491 -0.131536751347767
