"Astrocyte" "Inhibitory" "Pericytes" "Ambiguous" "Endothelial1" "Excitatory" "ODImmature1" "ODImmature2" "Microglia" "ODMature2" "ODMature1" "Endothelial3" "ODMature3" "ODMature4" "Endothelial2" "Ependymal"
"Astrocyte" 1 -0.392901300991096 -0.0191449240503805 0.3120820967213 0.00201687280859919 -0.364386184597645 0.452713746199009 -0.0392199674980234 -0.0524346428538486 0.34587724670845 0.248854081302745 0.0365264565197252 0.248688582154318 0.111211847093523 0.135114056898458 0.666769302722704
"Inhibitory" -0.392901300991096 1 -0.260960760901902 -0.596354921832608 -0.388802384022097 0.838324758175029 -0.153521258407656 0.179417480599642 -0.205787592462897 -0.63950860898159 -0.622091143684892 -0.270131565825995 -0.608916344158235 -0.509872570314094 -0.526659916349072 -0.348068517413801
"Pericytes" -0.0191449240503805 -0.260960760901902 1 -0.0850633538927158 0.632235843808885 -0.2648105115203 -0.127541647909262 0.013651231285428 -0.231462333154764 -0.0317307490267176 -0.0448124954702799 0.762301899783109 -0.0444542050880836 -0.15006140535275 0.78966569690544 0.190868191276
"Ambiguous" 0.3120820967213 -0.596354921832608 -0.0850633538927158 1 0.214178380491038 -0.571365485385958 0.364865329759503 -0.16003738386732 0.50200604073427 0.987664732365269 0.977221568560051 -0.0163897301888026 0.983277550257361 0.909848805168819 0.268627375469999 0.137156035790827
"Endothelial1" 0.00201687280859919 -0.388802384022097 0.632235843808885 0.214178380491038 1 -0.346597685701166 -0.163770379932438 -0.0982025015641294 -0.0601758127146972 0.236714312016852 0.265183173150405 0.848561644688212 0.261248646094932 0.0840978350111907 0.663985657211826 0.0093208652557193
"Excitatory" -0.364386184597645 0.838324758175029 -0.2648105115203 -0.571365485385958 -0.346597685701166 1 -0.174067380536559 0.195452829172091 -0.11961300898023 -0.605754946779887 -0.583655965766154 -0.229342253276843 -0.574071402217366 -0.467709775259735 -0.530349732191535 -0.340232963128261
"ODImmature1" 0.452713746199009 -0.153521258407656 -0.127541647909262 0.364865329759503 -0.163770379932438 -0.174067380536559 1 -0.0316712533761047 0.0298961455017297 0.361625040108389 0.273762809684421 -0.078345793399122 0.291118665406501 0.284294107915873 0.175918907706948 0.121144605596489
"ODImmature2" -0.0392199674980234 0.179417480599642 0.013651231285428 -0.16003738386732 -0.0982025015641294 0.195452829172091 -0.0316712533761047 1 -0.0731607667412289 -0.159513947304377 -0.165794885234482 -0.0265327537209644 -0.157500566250963 -0.135364754211408 -0.085400207518243 0.0524432582931852
"Microglia" -0.0524346428538486 -0.205787592462897 -0.231462333154764 0.50200604073427 -0.0601758127146972 -0.11961300898023 0.0298961455017297 -0.0731607667412289 1 0.493476775075823 0.528581900817652 -0.22157751782148 0.521503701648203 0.697860122091457 -0.0931550208558368 -0.0573272052066183
"ODMature2" 0.34587724670845 -0.63950860898159 -0.0317307490267176 0.987664732365269 0.236714312016852 -0.605754946779887 0.361625040108389 -0.159513947304377 0.493476775075823 1 0.982586366205917 0.0225964109267853 0.984989683851443 0.904467295397521 0.317525628996359 0.186908152490389
"ODMature1" 0.248854081302745 -0.622091143684892 -0.0448124954702799 0.977221568560051 0.265183173150405 -0.583655965766154 0.273762809684421 -0.165794885234482 0.528581900817652 0.982586366205917 1 0.0106165261400885 0.995885445294124 0.921660786260723 0.290134935484223 0.123897236670208
"Endothelial3" 0.0365264565197252 -0.270131565825995 0.762301899783109 -0.0163897301888026 0.848561644688212 -0.229342253276843 -0.078345793399122 -0.0265327537209644 -0.22157751782148 0.0225964109267853 0.0106165261400885 1 0.0163532622707275 -0.125096387615963 0.721691408599617 0.0977057859662199
"ODMature3" 0.248688582154318 -0.608916344158235 -0.0444542050880836 0.983277550257361 0.261248646094932 -0.574071402217366 0.291118665406501 -0.157500566250963 0.521503701648203 0.984989683851443 0.995885445294124 0.0163532622707275 1 0.923683786265173 0.289854287261476 0.120799440075076
"ODMature4" 0.111211847093523 -0.509872570314094 -0.15006140535275 0.909848805168819 0.0840978350111907 -0.467709775259735 0.284294107915873 -0.135364754211408 0.697860122091457 0.904467295397521 0.921660786260723 -0.125096387615963 0.923683786265173 1 0.170727539855253 0.046616749160221
"Endothelial2" 0.135114056898458 -0.526659916349072 0.78966569690544 0.268627375469999 0.663985657211826 -0.530349732191535 0.175918907706948 -0.085400207518243 -0.0931550208558368 0.317525628996359 0.290134935484223 0.721691408599617 0.289854287261476 0.170727539855253 1 0.259313911478725
"Ependymal" 0.666769302722704 -0.348068517413801 0.190868191276 0.137156035790827 0.0093208652557193 -0.340232963128261 0.121144605596489 0.0524432582931852 -0.0573272052066183 0.186908152490389 0.123897236670208 0.0977057859662199 0.120799440075076 0.046616749160221 0.259313911478725 1
