"coord" "Ace2" "Adora2a" "Aldh1l1" "Amigo2" "Ano3" "Aqp4" "Ar" "Arhgap36" "Avpr1a" "Avpr2" "Baiap2" "Bdnf" "Blank_1" "Blank_2" "Blank_3" "Blank_4" "Blank_5" "Bmp7" "Brs3" "Calcr" "Cbln1" "Cbln2" "Cckar" "Cckbr" "Ccnd2" "Cd24a" "Cdkn1a" "Cenpe" "Chat" "Coch" "Col25a1" "Cplx3" "Cpne5" "Creb3l1" "Crhbp" "Crhr1" "Crhr2" "Cspg5" "Cxcl14" "Cyp19a1" "Cyp26a1" "Cyr61" "Dgkk" "Ebf3" "Egr2" "Ermn" "Esr1" "Etv1" "Fbxw13" "Fezf1" "Fn1" "Fst" "Gabra1" "Gabrg1" "Gad1" "Galr1" "Galr2" "Gbx2" "Gda" "Gem" "Gjc3" "Glra3" "Gpr165" "Greb1" "Grpr" "Htr2c" "Igf1r" "Igf2r" "Irs4" "Isl1" "Kiss1r" "Klf4" "Krt90" "Lepr" "Lmod1" "Lpar1" "Man1a" "Mc4r" "Mki67" "Mlc1" "Myh11" "Ndnf" "Ndrg1" "Necab1" "Nos1" "Npas1" "Npy1r" "Npy2r" "Ntng1" "Ntsr1" "Nup62cl" "Omp" "Onecut2" "Opalin" "Oprd1" "Oprk1" "Oprl1" "Oxtr" "Pak3" "Pcdh11x" "Pdgfra" "Pgr" "Plin3" "Pnoc" "Pou3f2" "Prlr" "Ramp3" "Rgs2" "Rgs5" "Rnd3" "Rxfp1" "Scgn" "Selplg" "Sema3c" "Sema4d" "Serpinb1b" "Serpine1" "Sgk1" "Slc15a3" "Slc17a6" "Slc17a7" "Slc17a8" "Slc18a2" "Slco1a4" "Sox4" "Sox6" "Sox8" "Sp9" "Synpr" "Syt2" "Syt4" "Sytl4" "Tacr1" "Tacr3" "Tiparp" "Tmem108" "Traf4" "Trhr" "Ttn" "Ttyh2" "Adcyap1" "Cartpt" "Cck" "Crh" "Fos" "Gal" "Gnrh1" "Mbp" "Nnat" "Nts" "Oxt" "Penk" "Scg2" "Sln" "Sst" "Tac1" "Tac2" "Th" "Trh" "Ucn3" "Vgf" "Microglia" "ODMature1" "Pericytes" "Ambiguous" "Inhibitory" "Astrocyte" "Endothelial1" "Endothelial2" "ODImmature1" "ODMature2" "Excitatory" "ODImmature2" "ODMature4" "Endothelial3" "ODMature3" "Ependymal"
"25x25" 0 0 1.282968925 0 0 1.347523778 0 0 0 0 1.282968925 0 1.282968925 0 0 0 0 1.282968925 0 0 0 1.347523778 1.282968925 0 0 0 3.848863963 0 0 0 0 0 0 0 0 0 0 0 1.347523778 0 0 2.695047282 0 0 0 18.542852829 0 6.673103435 1.347523778 0 0 0 0 0 0 0 0 1.282968925 0 1.347523778 23.414317879 2.565906898 3.978016207 0 0 1.347523778 2.565906898 0 0 0 1.282968925 0 0 0 0 18.34950607 1.282968925 0 0 0 0 1.282968925 91.81472969 0 0 0 0 0 0 0 0 1.347523778 2.630492703 5.131828505 1.282968925 0 0 0 0 0 0 0 4.042663635 0 0 0 0 0 0 0 0 1.347523778 0 0 1.282968925 0 0 120.62085321 0 0 0 0 0 0 0 1.282968925 13.152475908 0 0 0 0 0 0 0 0 2.695047282 0 0 0 28.8046948 0.001831078 0 0.094933363 0 NA 0.024583524 0.023773774 4.349596051 0 0.045126592 0 0 0 0 0 0 0 0.371635669 0.04376259 0.028881784 0.006128381 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"25x75" 0 0 3.737617563 0.830585424 0 26.201438908 0 0.415304867 0.415304867 0 0.415304867 0.415304867 0 0 0 0 0 0 0 0.415304867 0 0.415304867 0.830585424 0 0 0 8.117589372 0.415304867 0 0 0 0 0 0 0.415304867 0.415304867 0 0 3.737617563 0 0 0 0 0 0 75.17755836 0 14.799606619 0 0 0 0 0 2.907059274 0 0 1.245897853 1.245897853 0.415304867 0 39.15115932 0.415304867 0.415304867 0 0.415304867 0.415304867 13.968976814 13.13839139 0.830585424 0 0.415304867 0 0 0 0 26.84457554 1.245897853 0 0 3.322350689 0 0 106.73379983 0 0 0 0 0 0 0 0.415304867 2.076450984 0 10.420994597 0 0 0 0 1.245897853 0 0 0.415304867 6.64469213 0.415304867 2.076450984 0 0 0 0.830585424 0 0 0 0 0 8.532970119 0 0 81.59050142 0.415304867 4.795276676 0 0 0 0.830585424 0.830585424 0.415304867 20.010057581 0 0.415304867 0.415304867 0 0 0 0 0.415304867 0.830585424 0 0 0 27.26006988 0.000230999 0 0.074880187 0 NA 0.037793106 0.015745016 4.983872057 0 0.041178274 0 0 0 0 0.016442931 0 0 0.305962306 0.05324691 0.047012871 0.01027894 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"25x125" 0 0 0 0 0 3.216285395 0 0.80409748 0 0 0 0 0.80409748 0 0 0 0 0 0 0 0 0.80409748 0.80409748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.412243381 0 0 0 0 0 0 0.80409748 0 0 0 0 0 0.80409748 0 0 0 0 0 1.608134596 0 0 0.80409748 2.412243381 0 6.432586976 0 0 0.80409748 1.608134596 0 0 0 0 2.412243381 0 0 0 4.02041941 0.80409748 0.80409748 0 5.628572336 0 0 1.608134596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.80409748 0.80409748 0 0 0 0 0 0 0 4.02041941 0 1.608134596 0 0 36.18775833 0 4.824518111 0 0 1.608134596 0 0.80409748 0 0 0 0 0.80409748 0 0 0.80409748 0 0 0 0 0.80409748 0 0 0 0 0.80409748 0 0 0.012391756 0 0.036475403 0 NA 0.023790275 0.006708649 1.193410913 0 0.014854075 0 0 0 0 0.012532565 0 0 0.018733294 0.042420636 0.012871847 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25x175" 0 0 4.951221349 5.140226344 0 18.361060726 3.582901319 1.762803516 2.04431279 0 6.021621407 1.651428987 0.825744496 0 0 0 0 0.825744496 0 0.825744496 11.56029964 16.247123421 4.464296382 0 3.188417833 0 9.773095844 4.069812896 1.988662223 0.825744496 2.419983592 2.419983592 2.475634159 2.588548012 0 0 0 28.998203567 5.682872256 0 0 1.594239096 3.640120362 0 0.881395063 1.988662223 0.881395063 2.588548012 0 0 20.313636229 1.162917727 4.12861384 0 0 0 0.881395063 0 5.780160896 0 29.577534923 4.071441731 18.929928379 0.881395063 0 2.04431279 36.516521291 0.825744496 43.160615245 0 0 1.162917727 2.757156823 0 0 1.594239096 1.762803516 2.04431279 1.762803516 26.181979656 2.325829644 0.881395063 33.050075812 1.162917727 0.881395063 3.188417833 0 1.594239096 0.881395063 1.594239096 0.825744496 1.988662223 1.651428987 1.594239096 0 2.757156823 6.117345066 0 23.172627581 4.071441731 55.089138993 0.825744496 2.04431279 4.032969203 7.37270048 0.825744496 1.162917727 1.707139559 36.048273865 2.53282405 0 1.594239096 38.427031111 19.097335367 13.841424413 0.825744496 2.53282405 10.202855145 1.707139559 6.604247999 0.825744496 0 0 45.077395063 11.478680457 8.909657868 34.645517387 0 2.477202635 0 4.12861384 0 0 1.162917727 0 1.651428987 15.231098883 1.162917727 0 18.738158913 0.081413222 0.009468799 0.062266136 0.003770898 NA 0.090659556 0.042793447 1.338568428 0.00338499 0.050008152 0.043560801 0 0.33401281 0 0.025538758 0 0 0 0.07870327 0.054403592 0.033755897 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0
"25x225" 2.964124559 0.565524974 1.029644611 6.874861429 8.147952591 2.978864871 19.263135441 30.657635874 0 0 13.712806314 2.624810416 1.14579026 0 0 0 0 2.262120504 0 1.029644611 13.713562501 46.414437936 2.175434871 0 3.428244196 15.549047902 9.180656335 1.609909897 1.029644611 8.118477915 43.570137915 0.580265286 14.516114998 0 0 6.508520339 0 17.316874904 30.285689844 6.383121238 0 2.624810416 6.786279692 0 0.565524974 1.609909897 2.755747836 2.726204064 0.580265286 0.565524974 0 0.580265286 26.549410126 6.222651799 52.137178147 0.580265286 5.943013172 0 37.82429713 2.398599585 2.827630442 16.129921359 36.862202521 1.740816752 0.565524974 11.965875607 9.82420299 7.90450604 47.788542995 0.580265286 1.726103225 0 0 0.565524974 2.398599585 0.580265286 1.595169585 2.978864871 3.544389845 7.431181452 3.428244196 2.276824739 30.80994641 24.078670897 22.940073154 0.580265286 1.14579026 2.190222862 2.857137704 0 0.565524974 1.711297427 5.139541623 2.398599585 3.350729679 8.704205841 30.874071611 1.160578251 41.49756095 5.207744765 11.208568521 2.190222862 0 8.993153563 1.696559453 6.598275455 3.544389845 7.184092091 1.131032141 10.085487782 0 3.931040302 3.99376917 3.857275053 20.761626756 0 0 3.544389845 2.160676752 20.288755452 0 1.131032141 0 1.14579026 9.636115771 5.670022801 3.770582869 1.726103225 4.797222912 0 55.048151093 8.948299906 2.306341726 0.580265286 0.565524974 16.138516743 1.696559453 3.437376205 0 0 0.093119349 0.001020128 0 0.031108865 NA 0.005154444 0 0 0 0.088357526 0.006680305 0.033422337 0.54342153 0 0.086728358 0.059621919 0 0 0 0 0.146599048 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0
"25x275" 0 0 0 4.508827662 0 0 18.049122643 14.550017502 2.254426338 0 7.994093991 0 0 0 1.023578237 0 0 0 0 0 0 9.833906552 5.32509512 1.023578237 0 1.023578237 3.69256179 0 0 0 10.857445433 2.461704559 5.32509512 0 0 0 1.023578237 16.804515201 0 3.485282796 0 0 2.254426338 1.230848101 0 1.230848101 4.923385529 2.461704559 0 1.023578237 0 1.230848101 12.710148386 3.69256179 22.556808609 1.023578237 5.32509512 0 12.088269172 0 1.230848101 15.78078501 33.388196859 1.023578237 0 0 6.763270252 2.047123103 5.532413021 0 1.023578237 0 0 0 0 0 1.230848101 1.023578237 1.230848101 3.070708462 0 1.230848101 0 2.461704559 10.455842321 0 1.023578237 0 2.254426338 0 0 0 2.254426338 0 5.946963766 0 12.101716587 3.69256179 18.035373063 3.485282796 3.69256179 1.023578237 0 10.248429278 0 11.893882332 0 3.277971204 1.230848101 4.716140027 0 0 0 1.023578237 6.970508632 0 0 2.047123103 1.230848101 1.230848101 0 0 1.230848101 0 3.485282796 4.923385529 0 0 0 0 10.66302447 3.69256179 0 0 1.230848101 7.177760496 1.023578237 0 1.230848101 1.230848101 0.004617596 0 0.03455705 0.000311726 NA 0.018446078 0.034951346 0 0 0.031988472 0 0 0.008390626 0 0 0 0 0 0.853494921 0 0.009052587 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"25x325" 1.678270237 0.6021014 0.6021014 14.430700008 3.315174055 3.525946031 9.05713733 14.88127974 0 0 16.997302769 1.034784045 0 1.678270237 1.678270237 0 2.671665059 2.671665059 0 0.432682645 9.464970851 11.296114672 5.806331405 9.080084063 4.771528987 1.2981057 6.671740542 2.9349956 0 2.59616823 3.537074196 2.11097912 16.026130954 1.678270237 0 5.256779129 4.128039566 17.019633071 3.273708679 6.449817885 0 2.491161986 16.877935302 0.432682645 0 1.245587592 3.789267686 18.343280123 0 5.68213619 0.6021014 2.238956176 17.384573262 5.267867044 57.104606357 0 1.245587592 0 34.035895222 1.806273531 1.467492928 23.984959007 35.108051762 0 1.678270237 11.759026319 8.489015393 16.711045976 29.901916373 0 6.408410001 2.332902065 5.68213619 0.432682645 0 0.6021014 7.221281133 2.238956176 1.245587592 1.204194935 0 1.034784045 10.020879657 59.58412358 41.37686351 0 3.104379231 0.432682645 1.034784045 0 0.432682645 3.315174055 2.11097912 0 2.71308052 3.19826963 27.157610414 0 53.64010928 15.772384783 0.432682645 1.9002071 0 3.706422851 0 14.875426117 1.678270237 2.9349956 1.63687758 11.728763252 0 1.204194935 4.759701813 3.537074196 9.911393279 1.034784045 1.245587592 3.367710678 0 10.79232368 0 1.034784045 0.432682645 3.093263386 6.419524651 1.245587592 2.280371637 3.051861123 3.19826963 1.245587592 37.010111681 1.245587592 8.221254322 2.765617143 1.730800665 7.28484872 0.865391528 8.940937638 0.6021014 0 0.141251422 0 0.011392433 0.012628858 NA 0.000459172 0 0 0.093928658 0.04396684 0.01031081 0.081505344 0.381433552 0.543795024 0.100935954 0.150903804 0 0.01703149 1.046292571 1.64546497 0.187050503 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0
"25x375" 0 0 0 0 0 0.557937389 11.10904955 3.560756653 0.557937389 0 30.296597945 2.231766687 0.557937389 0.557937389 0 0 0.557937389 0 0 0 0.557937389 14.112278389 5.021573614 1.88688843 13.764859519 0.557937389 0.557937389 1.673868223 0 4.118655117 14.880790353 0.557937389 11.880470679 0 8.369145857 1.88688843 0.557937389 11.798101343 0.557937389 0.557937389 0 0.557937389 0 0 5.952644119 1.673868223 16.047808113 1.115874965 0 0 74.03406757 8.955407514 15.9168602 1.88688843 53.33123669 4.889738498 0.557937389 1.88688843 12.224926426 0 3.002763395 20.275441214 22.267659707 1.88688843 0 1.673868223 76.532531679 3.347704312 20.0862815 0 0 3.773863533 0.557937389 0.557937389 0 0 4.118655117 11.745108454 0.557937389 16.503700411 0 11.90624782 28.460874262 1.115874965 2.231766687 0 2.789745099 2.789745099 0 0 0 2.444825819 3.773863533 0 0 1.115874965 14.456754941 3.773863533 25.82854116 8.02428783 2.444825819 1.673868223 7.068519084 3.002763395 0.557937389 3.347704312 0.557937389 3.002763395 7.839532549 3.560756653 0 0 0 9.726507652 4.676633529 0 0 14.909011215 2.444825819 2.444825819 0 0 0 66.48842344 7.466344628 6.218639332 14.138014507 0 1.88688843 0.557937389 6.695378755 0 0.557937389 0 2.789745099 2.231766687 0 0 0.557937389 2.231766687 0 0 0.006994503 0 NA 0.130401194 0.005372727 0 0.054339805 0.427504323 0.023712485 0 0.122331107 0.056440398 0.00501675 0.02269563 0 0 0.020460503 0 0.009718004 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0
"25x425" 0.44653851 3.388750732 1.339591312 6.153891187 3.20261881 0.44653851 14.096587724 0.893084502 0 4.90281806 11.86123813 0.893084502 2.942212222 0 0.893084502 0 0.44653851 0.893084502 0 0 0 16.58056895 14.806213189 0 0 4.639876948 1.514059846 0 0 0.44653851 2.135089908 0.44653851 7.493521453 1.960605838 0 6.23076002 1.960605838 4.814345851 13.530016222 7.845067725 0 0 4.367749689 0.44653851 0.44653851 0 0 2.679255943 0 0 0 1.339591312 5.435278591 0.44653851 46.89367745 3.20261881 5.52384064 0 16.219905843 0 3.835296724 8.028534837 15.078287972 0.44653851 3.388750732 8.738168545 3.835296724 7.842469494 35.598080713 0 0 0 0 0.44653851 3.388750732 0.44653851 0 1.514059846 3.388750732 6.056299204 0 0 7.407587651 11.689491195 7.493521453 0 7.224053199 13.25673952 2.581628418 0.44653851 0.44653851 6.951983223 1.339591312 0.44653851 6.67726683 0.44653851 21.321973629 0 25.948563527 10.07514319 1.960605838 2.407112648 0.44653851 9.717186644 0 4.465375429 1.514059846 3.388750732 0 7.395931253 0 0.44653851 0 0 16.235643089 0 0.893084502 3.300181117 1.339591312 3.835296724 0 0 0 3.64915732 4.281803534 7.919202823 7.037915534 4.281803534 9.531072063 0 15.326816293 11.854926505 0 12.015750302 0.893084502 4.716652392 0 9.184643004 0 0.44653851 0.02642953 0.053581113 0 0 NA 0.027111885 0.015240186 0 0 0.052572014 0.069627983 0.112360673 0 0 0.012548886 0 0 0 0 0.018554801 0.044879055 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0
"25x475" 0 0 5.293612504 6.911358845 0 0 1.764585335 1.12740414 1.12740414 0 4.656484224 0 0 0 0 0 1.12740414 0 0 0 1.12740414 11.077748933 0 1.764585335 0 0 6.764437528 1.764585335 0 0 17.64661483 0 3.529080084 0 0 0 0 18.77401897 8.185640468 0 0 0 0 0 0 0 0 3.529080084 0 0 34.95009149 1.12740414 4.656484224 0 21.1768572 0 1.764585335 0 5.146864096 0 12.3505759 0 2.891989475 0 0 0 38.77548204 2.891989475 5.293612504 2.254842664 0 2.254842664 0 0 0 0 0 0 1.764585335 11.567962305 0 3.382278761 7.892011179 2.891989475 0 0 6.421016644 1.12740414 0 0 1.12740414 0 1.12740414 0 0 0 3.529080084 1.764585335 8.038806061 0 47.64072057 0 0 1.764585335 1.764585335 0 0 0 2.891989475 1.12740414 0 0 0 7.892011179 0 1.12740414 0 6.764437528 3.529080084 3.382278761 0 0 0 41.222174505 2.254842664 1.12740414 14.11819699 0 0 0 5.783922748 8.038806061 0 0 0 4.019427999 1.764585335 0 1.12740414 1.12740414 0.019859042 0 0.039159519 0 NA 0.035277355 0.004921412 0 0 0.01829282 0 0.008961512 0 0 0.025843658 0 0 0 0.025401622 0.022292965 0.021898355 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
