"coord" "Ace2" "Adora2a" "Aldh1l1" "Amigo2" "Ano3" "Aqp4" "Ar" "Arhgap36" "Avpr1a" "Avpr2" "Baiap2" "Bdnf" "Blank_1" "Blank_2" "Blank_3" "Blank_4" "Blank_5" "Bmp7" "Brs3" "Calcr" "Cbln1" "Cbln2" "Cckar" "Cckbr" "Ccnd2" "Cd24a" "Cdkn1a" "Cenpe" "Chat" "Coch" "Col25a1" "Cplx3" "Cpne5" "Creb3l1" "Crhbp" "Crhr1" "Crhr2" "Cspg5" "Cxcl14" "Cyp19a1" "Cyp26a1" "Cyr61" "Dgkk" "Ebf3" "Egr2" "Ermn" "Esr1" "Etv1" "Fbxw13" "Fezf1" "Fn1" "Fst" "Gabra1" "Gabrg1" "Gad1" "Galr1" "Galr2" "Gbx2" "Gda" "Gem" "Gjc3" "Glra3" "Gpr165" "Greb1" "Grpr" "Htr2c" "Igf1r" "Igf2r" "Irs4" "Isl1" "Kiss1r" "Klf4" "Krt90" "Lepr" "Lmod1" "Lpar1" "Man1a" "Mc4r" "Mki67" "Mlc1" "Myh11" "Ndnf" "Ndrg1" "Necab1" "Nos1" "Npas1" "Npy1r" "Npy2r" "Ntng1" "Ntsr1" "Nup62cl" "Omp" "Onecut2" "Opalin" "Oprd1" "Oprk1" "Oprl1" "Oxtr" "Pak3" "Pcdh11x" "Pdgfra" "Pgr" "Plin3" "Pnoc" "Pou3f2" "Prlr" "Ramp3" "Rgs2" "Rgs5" "Rnd3" "Rxfp1" "Scgn" "Selplg" "Sema3c" "Sema4d" "Serpinb1b" "Serpine1" "Sgk1" "Slc15a3" "Slc17a6" "Slc17a7" "Slc17a8" "Slc18a2" "Slco1a4" "Sox4" "Sox6" "Sox8" "Sp9" "Synpr" "Syt2" "Syt4" "Sytl4" "Tacr1" "Tacr3" "Tiparp" "Tmem108" "Traf4" "Trhr" "Ttn" "Ttyh2" "Adcyap1" "Cartpt" "Cck" "Crh" "Fos" "Gal" "Gnrh1" "Mbp" "Nnat" "Nts" "Oxt" "Penk" "Scg2" "Sln" "Sst" "Tac1" "Tac2" "Th" "Trh" "Ucn3" "Vgf" "ODMature2" "ODImmature1" "Inhibitory" "Excitatory" "Microglia" "Ambiguous" "Astrocyte" "Endothelial2" "Endothelial3" "Endothelial1" "ODMature1" "ODMature4" "Pericytes" "ODMature3" "Ependymal" "ODImmature2"
"25x25" 0 1.24941714 18.269083836 5.081512147 0 11.496553935 2.498807107 4.279672708 0 1.24941714 4.191084762 3.030282741 0 0 0 0 5.440474729 0 0 0.890427385 0 15.603668493 18.545827696 6.503507108 6.330902114 11.323975444 9.533723855 4.191084762 0.890427385 5.170192705 31.400157335 6.419596491 4.997634555 0 2.139844525 2.139844525 0.890427385 17.025682446 29.768979522 1.24941714 0 0 24.702365019 0 0.890427385 0.890427385 1.24941714 2.671385598 0 1.780865601 17.81048529 3.832095007 3.832095007 2.139844525 166.4943439 1.24941714 1.24941714 2.941667622 0 2.941667622 2.671385598 0 8.470744116 0 0.890427385 15.95666149 38.136714285 7.132769473 0 4.279672708 2.941667622 3.561839486 1.24941714 0 0 0 0.890427385 0 1.24941714 45.184446893 0.890427385 0 28.764213702 0 2.498807107 0 2.139844525 0 0 1.24941714 0 1.24941714 7.137456398 0.890427385 7.137456398 0 8.38215944 0 8.470744116 0.890427385 1.24941714 2.941667622 0 0.890427385 0 0 1.780865601 1.24941714 11.57476854 0 0 0.890427385 0 8.904441701 11.860082233 0 0.890427385 2.139844525 2.941667622 1.24941714 1.24941714 0 5.883352333 10.68422738 12.214402829 2.498807107 3.920802738 1.24941714 0 31.09281437 4.997634555 0 0 5.883352333 2.671385598 6.951110323 0 0 1.24941714 22.993547963 0.032723195 0.026157444 0.025107827 0.006884835 NA 0.017759189 0.051586495 0.579571187 0 0.036057222 0 0 0 0 0.008589169 0.011178903 0 0.127843913 0.594332791 0.019586086 0.017262583 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0
"25x75" 0 1.276123517 56.333160436 0.752427259 1.799754814 44.84406641 0.376226766 3.298196588 0 0.752427259 3.5994934 0.752427259 0 0 0 0 0.376226766 4.715350675 0 0 2.169567463 5.097951402 8.402517655 0.752427259 10.478075319 1.276123517 7.355235149 2.545794229 0 0 4.809437452 6.151690858 16.641735997 0.899896751 0 1.128629125 2.169567463 24.571121356 27.075732898 2.169567463 0 1.881044723 0 0 0 6.01940014 0 2.921994722 0.899896751 2.028525876 0 0.899896751 19.79696687 2.169567463 157.01955445 0 5.997841134 0.376226766 2.545794229 0.376226766 10.446192443 0.899896751 8.327612391 0 1.128629125 0.752427259 9.24273428 1.65232401 2.169567463 5.850367 0 0 0.376226766 0 0.899896751 2.780941474 1.276123517 2.17598158 3.44569098 34.056465511 0.376226766 0 9.782016696 0 0 0.899896751 2.545794229 3.44569098 0.899896751 2.17598158 0.376226766 0.376226766 0.752427259 1.881044723 0.752427259 0.899896751 4.580689269 0.899896751 12.909017608 2.780941474 27.68568227 0.376226766 8.013457881 1.881044723 0.376226766 0 12.59878163 1.799754814 5.775490365 0.376226766 0 0 0.899896751 0.376226766 4.809437452 0 0.752427259 31.140482323 3.075871312 1.128629125 0 0 0 2.17598158 8.772335515 5.23902066 22.718614647 0 0 22.380798326 5.474162335 0 0.376226766 2.169567463 9.142074615 15.754971554 10.84677118 0.376226766 0.899896751 20.805397093 0.000161581 0.101501504 0.01886349 0 NA 0.02029224 0.104177266 1.530418435 0.186935174 0 0.006152939 0 0 0.532110186 0.018524312 0.041199618 0 0 0 0.055257855 0.031903794 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0
"25x125" 1.654850071 7.446756992 14.685475885 6.780266072 1.613244229 26.765418486 3.214538253 0 0.535748147 0 5.696788677 0 0 0 0 0 1.89895099 1.613244229 0.535748147 0 0.535748147 10.768702507 12.810399249 0 5.113583142 4.922874371 8.345952001 1.071524147 4.577824871 4.137123422 0.535748147 3.803842447 2.434720812 1.613244229 0 0.535748147 0.535748147 13.221387481 28.910679613 0 0.535748147 0.827426843 5.696788677 0 0 4.577824871 0.535748147 3.2680943 0 0 6.619386428 1.613244229 6.429164931 3.2680943 63.420910087 0.535748147 5.946926677 0 2.678832377 0 5.357699545 0 26.009256923 0 0.535748147 22.399473306 11.738833598 5.125442491 2.148992376 0.827426843 0 0.827426843 0 1.607293969 2.482250424 8.923280178 1.607293969 0.827426843 2.434720812 66.883976977 15.638690851 4.053918344 15.05601693 0 1.89895099 0.827426843 5.458622518 1.89895099 0 1.607293969 1.071524147 1.613244229 1.613244229 0.535748147 5.744417391 4.869388324 9.738795073 0.535748147 17.709970201 17.979318922 7.155134575 0.535748147 9.804137257 0.535748147 5.667119624 0 0 5.113583142 87.783143077 7.35766162 0 0.535748147 1.89895099 4.286156299 12.768769465 1.071524147 2.976419219 16.121633341 3.50625922 5.893344766 0 0 0 4.916924111 3.797890736 2.440671072 14.79762095 0 0.535748147 17.37384295 9.941279279 0 2.678832377 2.482250424 1.607293969 5.744417391 4.053918344 2.678832377 0 30.06306361 0.008850442 0.09775894 0.099159959 0 NA 0.127583962 0.102995225 2.460257627 0.120992622 0 0 0 0.031478072 0.0008387 0.028527718 0 0 0 0.028340486 0.060135082 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0
"25x175" 0 0 0 0 0 5.884249215 0 0.814805137 0 0 1.366464533 0.814805137 0 0 0 0 0 0 0 0 0 1.629601871 2.732931323 0 1.366464533 0 14.661444442 1.707235903 0 0 1.366464533 2.258895299 0 0 0 0 0 2.732931323 3.625362089 0 0 2.732931323 3.259219283 0 0 33.64024852 0 3.56972431 0.892430766 0 37.199251373 0 3.54773646 0 1.366464533 0 0.892430766 0 0 0 19.902979248 0 0 0 0 0 7.798851352 0 0 0 0.814805137 5.465915132 0.814805137 0 0 9.428474341 2.258895299 2.732931323 0 11.350580368 0 0 87.79353553 0 0 0 0 0 0.814805137 0 0 1.366464533 0 0.814805137 0 0.892430766 0.892430766 0 3.88849717 2.599643545 0 0 2.18126967 0.814805137 0 0 0 0 34.755870397 0 0 0 0 4.517769731 0.814805137 0 3.073700436 102.31123853 0.814805137 0 0 0 1.366464533 7.669135117 15.450443958 2.732931323 4.229210011 0 0.814805137 1.366464533 0 3.625362089 0 0 0 0 0.892430766 0 0 55.737485973 0 0.044086604 0.0679122 0 NA 0.33275461 0.031120122 5.982142828 0 0 0 0 0 0 0.023926801 0 0 0 0.071752393 0.01595194 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"25x225" 0 0 15.86941413 0 0 24.22318934 0 0.83518563 0 0 0 0 1.670422632 0 0 0 0.83518563 0 0 0 0 1.670422632 2.505580949 0 4.17606832 0.83518563 2.505580949 0.83518563 0 0 0 0 0 1.670422632 0 0 0 5.011183699 15.03245391 0 0.83518563 0 0 0 0 1.670422632 0 0.83518563 0 0 0 0 0 0.83518563 0 0 0.83518563 0 0 0 1.670422632 0.83518563 0.83518563 0 0 0 1.670422632 0.83518563 0 0 0 0 0.83518563 0 0 0.83518563 3.340802235 0 1.670422632 16.70516588 0 0 7.516869641 0 0 0 0 0 0 0 0 1.670422632 1.670422632 0 0 0.83518563 0 0 0 1.670422632 0 0 0.83518563 0 1.670422632 0 1.670422632 0 0 0 0 0 0 0.83518563 0.83518563 0.83518563 0 0.83518563 0 0 0 0 0 0 0.83518563 1.670422632 10.02300489 0 0.83518563 0 0 1.670422632 0 0 0 0 0 0 0 11.69404402 0 0 0.016754258 0 NA 0.055161654 0 0.952450356 0 0.01735143 0 0 0 0 0 0 0 0 0.023731343 0.010848102 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"25x275" 0 0.783487213 41.789163168 2.559426734 1.566965312 28.624675748 1.566965312 1.619349075 0 0 1.671714208 9.768387948 1.566965312 0 0 0.783487213 1.671714208 4.387733432 1.775939521 0 2.350425767 37.431641175 4.283458261 0.835861862 4.387733432 3.55187157 7.469767018 0.783487213 0.783487213 4.697049593 0 3.342904833 0 0 0 0 0.835861862 15.24842554 24.963150073 1.775939521 0 1.775939521 0 128.78413528 0.835861862 2.559426734 6.472989114 2.402827174 0.835861862 2.611801383 41.420801246 1.566965312 20.109581663 5.014619041 2.559426734 0 4.022139975 1.775939521 0 0.835861862 6.947109092 0 6.477302047 0 0.835861862 0 78.942223841 3.186287629 0.783487213 0 2.350425767 12.737815481 1.775939521 1.775939521 1.775939521 4.022139975 0.835861862 1.619349075 1.566965312 62.109071616 0 12.167238017 53.159102256 13.47492405 0 0 4.805614525 3.186287629 8.09661855 9.193842246 0 0.835861862 1.566965312 0.835861862 3.342904833 0 22.507999707 0 11.491855089 0 0.835861862 0.783487213 9.506651167 0 7.939685855 0 0 0 12.685419704 0 0 0.835861862 1.619349075 7.417902725 6.372569274 0 0 11.226301511 2.455201421 60.749418303 0 0 0 71.523844137 16.664621881 9.559025414 8.879614526 0 0.835861862 0 38.18423162 0 0 0.783487213 7.935729113 0.783487213 11.800873586 0 0 36.502983536 0.212714044 0.027431792 0.141995653 0 NA 0.030142048 0.044030052 0.414498192 0.270992527 0 0 0.986717589 0 0.750648426 0 0.062650359 0 0 0 0.014273316 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0
"25x325" 0 0 51.768387019 2.844923638 0.435753885 41.424317373 4.992960103 0.435753885 0 0.435753885 10.062386511 0.435753885 0 0 0 0 3.188382562 0 0.871500726 0 1.204599788 36.143480674 7.735322075 0 0.435753885 4.121503722 15.674294395 1.942727176 0 0 14.921879815 1.307225272 1.204599788 1.204599788 0 4.357473111 0 19.775762315 7.166235896 0.435753885 0 2.316881836 3.383360642 16.591477361 0.871500726 0 3.511245463 9.088251345 0 10.492615089 0 4.121503722 50.13180814 1.973452251 79.823716816 0.435753885 7.447879689 0.435753885 5.264504285 0.435753885 4.059908315 1.640346629 4.931396575 0.435753885 0.435753885 2.409199092 10.072643495 4.485363897 11.257025502 0 0 0 0.435753885 0 0 0 0.768845903 1.942727176 0.768845903 36.132199869 0 0.435753885 17.023245246 6.033356748 0.768845903 0 0 4.121503722 0.435753885 6.58664228 0.871500726 0 0.871500726 0 3.147326964 0.871500726 9.544589899 0 17.998099738 2.511872382 12.019211775 0.871500726 3.085727739 10.575559589 0 1.204599788 0.435753885 4.485363897 2.814227902 4.715789232 0.435753885 5.997869843 4.690601003 5.664690713 4.152213105 0 0.871500726 4.587931293 0 4.715789232 0.435753885 0 0.871500726 0.435753885 7.868711293 10.46191101 8.216725592 3.716474912 4.557241915 6.674354947 24.240001102 6.596924227 0 38.045111886 0 1.307225272 5.069405672 2.316881836 0 28.263266784 0.085063973 0 0.036057247 0.033246636 NA 0.046715507 0.002953504 0.285513088 0 0.045352232 0 0.156066988 0.383725677 0 0.008381653 0.083301437 0 0.298464259 0.027144129 0.02610591 0.009502968 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0
"25x375" 0 0.662531949 17.456034073 7.568478911 0.662531949 10.163515137 6.749847447 1.7808542 0 0 6.524297081 1.325037704 1.932396801 0 0 0 2.724176082 2.162591236 1.325037704 0.837553532 0.837553532 56.046996913 7.964571858 2.875697469 1.7808542 9.896895698 6.120277734 0 0 0.662531949 0 0 10.674525699 1.325037704 0 3.312608157 0.662531949 17.240656314 16.937150311 0.662531949 0 1.325037704 5.907539383 0 0 0.662531949 2.650059971 4.983115036 0.662531949 0.837553532 0 0.943300668 8.125367612 5.797194671 27.066741917 0 3.483029555 0 6.31304284 0 4.99251386 10.434789773 10.306853354 0.837553532 0 5.079389933 9.570204561 5.907539383 4.987769623 0.837553532 1.675161466 0 0.662531949 0 0 0 3.837729125 1.500085481 0.662531949 20.166948375 0 0.662531949 6.133089526 11.717899225 16.1273668 0 0.662531949 9.428399442 3.97519377 3.943499838 2.875697469 2.594902556 2.162591236 0.662531949 3.874205691 0.837553532 6.18835929 1.675161466 12.546987088 0.837553532 0 0.662531949 3.312608157 5.319078638 5.797194671 0.662531949 0.837553532 3.17522337 0 10.38908858 0 0 60.557398062 2.825136673 11.586142468 0 1.987583141 12.926657289 2.825136673 18.169663018 0 2.268338372 0.943300668 4.527312028 4.831648868 14.296197683 5.245058622 0 1.269864852 0 17.193402805 1.325037704 7.950349617 3.994040934 5.162751392 8.410988484 2.594902556 0.662531949 0 7.177403418 0.019762733 0.018556078 0 0.014101208 NA 0.067235834 0.058655568 0 0 0.050521885 0 0.005602397 0.071211332 0 0.00419418 0.00718906 0 0 0.590427869 0.005596377 0.035425191 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0
"25x425" 0 0 25.29151807 1.164462171 1.981604258 22.145024668 5.240077737 0 0 0 3.728296495 0 0.582231404 0 0 0 3.728296495 0.582231404 0 0 0.582231404 16.659996812 5.240077737 1.164462171 0.582231404 0.582231404 6.639435637 0 0 0.582231404 5.240077737 2.911109724 8.151241153 0 0 2.563835662 0.582231404 25.405488072 17.36639613 0.582231404 0 0 0.582231404 0.582231404 0 0 11.06146331 5.709986222 0 0 0.582231404 0.582231404 2.911109724 3.49334743 51.594834364 1.164462171 0.582231404 0 6.986748337 0 0.582231404 4.657831379 1.746692237 2.328894258 1.164462171 0 1.981604258 4.310498516 4.075630518 0 0 0 0.582231404 0 0 0.582231404 4.075630518 0.582231404 0.582231404 31.46058206 0 0 0.582231404 18.62908248 0 0.582231404 0.582231404 0.582231404 0.582231404 4.657831379 0 0 2.563835662 0 0.582231404 0 4.892713982 0 13.97269576 1.164462171 0.582231404 0 3.146066429 1.746692237 9.909378253 0 0 1.164462171 0 4.892713982 0 2.563835662 3.146066429 0 6.057234776 0 1.746692237 0.582231404 1.746692237 0.582231404 0 0 0 0.582231404 0.582231404 0.582231404 12.470660894 1.164462171 0 0 8.733521668 0 0 0 9.090937315 0.582231404 2.563835662 0 0 16.436115384 0.055001114 0.0062616 0.182045371 0.013295234 NA 0.017225878 0.019741514 0 0.130652116 0.036934821 0 0 0 0.094069724 0 0.022819431 0.001790572 0 0.001198983 0 0.003832841 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"25x475" 0 0.28017694 12.32907464 0.560342723 0.28017694 7.564657495 2.241380387 0.840517707 0 0 1.400877491 0.560342723 0 0.560342723 0 0 1.400877491 0.28017694 0 0 0.840517707 0.840517707 1.961215405 0.28017694 0.560342723 0.28017694 4.482769649 0.28017694 0 0.28017694 0.28017694 0.560342723 0 1.120703729 0 0 0 9.526887944 4.762885621 0.560342723 0 0.560342723 0.560342723 0 0 5.88366933 0.560342723 2.241380387 0.28017694 0.840517707 0.28017694 0.560342723 0 2.521518709 3.922435113 0 0.28017694 0 1.961215405 0.28017694 7.004238118 2.241380387 1.681019668 0 0 0.560342723 3.642265768 1.120703729 2.521518709 0.28017694 0.28017694 0 0 0.28017694 0 1.120703729 0.840517707 0.560342723 2.241380387 11.48820445 0 0.840517707 8.124939633 2.801718884 0.560342723 0 0.840517707 1.120703729 0 0 0 0.28017694 1.400877491 0 0.560342723 0.560342723 2.241380387 0 4.20259477 1.681019668 8.68523137 0 3.362043578 1.120703729 0.840517707 0 0 0.28017694 0 2.241380387 0 0 0.28017694 0 2.241380387 0.28017694 1.120703729 22.13129781 0.840517707 1.120703729 0 0 0 0.560342723 1.681019668 1.961215405 5.88366933 0.560342723 0 0 1.120703729 0 0 0.28017694 0.840517707 0.28017694 1.400877491 0 0 13.72990684 0.024804444 0.047205706 0.018060764 0.000975367 NA 0.005635972 0.028906711 0.486825497 0.082226091 0.022256781 0 0 0 0 0.01603367 0 0 0 0.001318753 0.009262879 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"25x525" 0 0.636401994 37.017383652 5.091159895 1.272793612 21.829151178 3.181961208 3.181961208 0 0 1.272793612 0.636401994 0.636401994 0 0 2.00130409 1.272793612 2.00130409 4.454814672 0 7.636743066 8.273207974 5.183265298 0 6.548135568 0.636401994 2.545602133 0 0 0 14.0003019 0.636401994 1.272793612 0 0 0.636401994 0 30.565775323 13.280478272 0 2.637706084 0 9.09369333 0 0 0 1.909176026 1.272793612 0 7.728901582 0.636401994 0 8.273207974 5.183265298 10.366469344 0.636401994 1.272793612 0 12.911993687 0 0 5.727597492 15.005498936 0.636401994 0.636401994 1.272793612 3.818368378 4.546906223 9.546297059 0 0 0 0 0 0 2.637706084 4.454814672 0 2.00130409 40.382634319 0 0.636401994 7.092463985 6.363935909 3.818368378 0 1.909176026 0.636401994 0 2.00130409 0 0.636401994 1.272793612 0 1.272793612 0 8.273207974 1.272793612 18.54818789 3.181961208 0.636401994 0.636401994 0 0 1.272793612 1.272793612 0 2.00130409 0 4.454814672 0 0 3.274097702 0 12.36783693 0 1.272793612 1.272793612 1.272793612 10.274512064 2.00130409 0 0 0.636401994 3.181961208 7.913077047 17.098844555 0 0.636401994 0.636401994 12.09181923 0.636401994 0 2.637706084 0.636401994 3.910480116 2.00130409 0 0 16.00983105 0.096092273 0.036589964 0.007512632 0.032433908 NA 0.022568711 0.023816207 0 0.065363957 0.038151139 0 0.077774738 0 0 0.046316322 0.016067827 0.019539222 0 0.00897731 0.012362384 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"25x575" 0 0.96277266 0 21.49554754 0.954924548 0.47747452 2.387271437 2.395144686 0.47747452 1.44024718 11.474292386 0.47747452 0 0 0 0 0.954924548 1.909845966 2.387271437 0 14.80156129 2.864737489 2.395144686 3.34220177 6.692229313 1.909845966 5.768723376 0 0.47747452 1.432372026 15.293688443 0.954924548 0 0.954924548 0 0 0 5.729456653 3.357938699 0.47747452 0 0 11.45948237 0 0.47747452 1.925566673 8.11674904 2.864737489 0 3.819699927 37.050825616 2.387271437 6.684400649 5.729456653 4.297122299 2.387271437 0.47747452 0 18.62004504 0.47747452 1.925566673 15.27796086 7.161876142 0 0 1.432372026 38.971011867 3.34220177 14.32498295 0 1.909845966 5.776571111 0 1.44024718 0 1.432372026 5.259894959 0 0.47747452 8.179693349 0 12.03199126 30.307385397 4.297122299 8.594227228 0 4.297122299 0.47747452 1.44024718 0 0.47747452 2.872618626 4.782472587 0 7.161876142 3.34220177 12.42225503 0 14.80156129 1.432372026 1.909845966 3.34220177 0 0.47747452 0.47747452 2.387271437 1.925566673 0 6.731495659 5.729456653 0 0 0 17.33158429 8.11674904 0 1.44024718 0 1.44024718 17.66379691 0 0 0 78.928777796 1.44024718 1.432372026 4.790304162 0 0.954924548 0 25.79132112 0.96277266 1.432372026 0.47747452 0 3.827510149 1.432372026 1.44024718 0 0.47747452 0.143293692 0.121574542 0.01539238 0.034089194 NA 0.021187288 0.090025429 0 0.332434336 0.030051968 0 0.053969395 0 0.629371975 0.009775199 0.102721901 0.029920857 0 0.023453228 0.008347904 0.030685105 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"25x625" 0 0 5.21245556 2.556056981 2.05977858 0 7.55243929 4.425514208 1.182880695 0 20.469098932 8.581153927 1.182880695 0 0 0 0 7.398273232 0 0 0 15.462474379 10.134243823 1.869472555 2.466091314 0.68659186 2.05977858 3.152683174 1.182880695 4.932257581 23.278656907 1.182880695 18.929994856 6.305433867 0 2.365735628 2.556056981 21.779467942 7.197613792 4.806039686 0 1.182880695 0 0 2.556056981 2.466091314 6.600920216 5.022148295 1.373176286 1.869472555 2.466091314 17.95076435 28.897776767 2.05977858 32.84776875 2.746364246 5.798656713 0 26.278763105 0.68659186 4.932257581 7.477886724 9.357771789 1.869472555 0 20.290543481 9.458051812 6.791301058 42.967159321 0 0 0 4.335563869 0 0 0 1.182880695 0.68659186 2.05977858 4.425514208 1.182880695 0.68659186 9.041243818 25.073850134 28.591806251 0 1.182880695 0 1.373176286 1.182880695 0 0 2.365735628 0 5.988920381 1.373176286 35.256429075 0.68659186 48.87408484 12.420313217 22.19530033 5.618849441 1.182880695 4.425514208 3.648972009 0 0 11.237432522 0 6.981544682 0.68659186 1.373176286 0 0 3.929244941 0.68659186 4.335563869 0 3.8392676 9.76400886 0 0 0 5.518418802 6.305433867 2.466091314 6.801730136 0.68659186 0 1.373176286 23.347014684 1.373176286 0 0.68659186 0 9.76400886 2.466091314 4.119528912 0 0 0.05696368 0.043612812 0.285995114 0.02295252 NA 0.000801552 0.020434187 0.020079688 0.036377558 0.054715961 0 0.034634605 0 0 0.009113462 0.11425519 0.014876562 0 0 0.003728602 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0
