"coord" "Ace2" "Adora2a" "Aldh1l1" "Amigo2" "Ano3" "Aqp4" "Ar" "Arhgap36" "Avpr1a" "Avpr2" "Baiap2" "Bdnf" "Blank_1" "Blank_2" "Blank_3" "Blank_4" "Blank_5" "Bmp7" "Brs3" "Calcr" "Cbln1" "Cbln2" "Cckar" "Cckbr" "Ccnd2" "Cd24a" "Cdkn1a" "Cenpe" "Chat" "Coch" "Col25a1" "Cplx3" "Cpne5" "Creb3l1" "Crhbp" "Crhr1" "Crhr2" "Cspg5" "Cxcl14" "Cyp19a1" "Cyp26a1" "Cyr61" "Dgkk" "Ebf3" "Egr2" "Ermn" "Esr1" "Etv1" "Fbxw13" "Fezf1" "Fn1" "Fst" "Gabra1" "Gabrg1" "Gad1" "Galr1" "Galr2" "Gbx2" "Gda" "Gem" "Gjc3" "Glra3" "Gpr165" "Greb1" "Grpr" "Htr2c" "Igf1r" "Igf2r" "Irs4" "Isl1" "Kiss1r" "Klf4" "Krt90" "Lepr" "Lmod1" "Lpar1" "Man1a" "Mc4r" "Mki67" "Mlc1" "Myh11" "Ndnf" "Ndrg1" "Necab1" "Nos1" "Npas1" "Npy1r" "Npy2r" "Ntng1" "Ntsr1" "Nup62cl" "Omp" "Onecut2" "Opalin" "Oprd1" "Oprk1" "Oprl1" "Oxtr" "Pak3" "Pcdh11x" "Pdgfra" "Pgr" "Plin3" "Pnoc" "Pou3f2" "Prlr" "Ramp3" "Rgs2" "Rgs5" "Rnd3" "Rxfp1" "Scgn" "Selplg" "Sema3c" "Sema4d" "Serpinb1b" "Serpine1" "Sgk1" "Slc15a3" "Slc17a6" "Slc17a7" "Slc17a8" "Slc18a2" "Slco1a4" "Sox4" "Sox6" "Sox8" "Sp9" "Synpr" "Syt2" "Syt4" "Sytl4" "Tacr1" "Tacr3" "Tiparp" "Tmem108" "Traf4" "Trhr" "Ttn" "Ttyh2" "Adcyap1" "Cartpt" "Cck" "Crh" "Fos" "Gal" "Gnrh1" "Mbp" "Nnat" "Nts" "Oxt" "Penk" "Scg2" "Sln" "Sst" "Tac1" "Tac2" "Th" "Trh" "Ucn3" "Vgf" "Endothelial3" "Astrocyte" "ODMature2" "Ambiguous" "Inhibitory" "ODImmature1" "Microglia" "Excitatory" "Endothelial2" "Endothelial1" "Pericytes" "ODMature4" "ODMature1" "ODImmature2" "Ependymal" "ODMature3"
"25x25" 0 2.233180866 5.412954845 15.344186422 9.05253631 5.480123991 61.025093598 12.638945709 3.034076883 2.536115059 52.56604162 4.705559635 2.536115059 0 0.750370559 0 4.199181594 6.424708963 3.349706965 1.206683258 13.222692362 39.605851432 20.286340973 3.282446236 26.452673801 10.183878992 4.987050991 2.06324788 0 7.928970638 56.811299635 6.744249343 18.635498349 2.923840928 0.375181433 2.90725711 13.040601884 71.4340412 43.940878739 12.684376896 0.844038568 0.375181433 17.499184655 0 0.375181433 4.10912205 85.624049202 10.568356449 1.96059572 1.206683258 0 5.165968705 32.245691178 9.493067477 191.684603277 5.31786003 1.704613234 0 53.060244578 0.750370559 31.30190289 36.844940338 48.516447224 34.543903598 1.688066447 11.351380276 41.763689873 29.345633059 26.836664614 1.206683258 0.750370559 5.068190736 2.821170386 0 1.125543513 0.375181433 11.286358818 2.821170386 2.65889545 22.047726019 4.892076316 4.745628877 10.414752241 24.528311382 46.451478425 41.221414399 2.173470369 9.810355374 2.617305554 1.206683258 1.96059572 8.123875605 7.115163749 0.375181433 12.403505096 3.661658572 61.086808509 1.206683258 67.079524744 8.369091043 89.322896147 6.589062562 2.830180203 20.66947301 0.375181433 21.60194615 0.750370559 5.149381231 0 21.799197487 1.116557152 8.750177091 0 0.750370559 24.967422182 4.958255916 6.324162559 4.826664338 6.177472921 25.797236698 19.787860143 0 0 1.688066447 28.57156229 32.843778857 28.744396161 4.114217348 12.743388303 1.116557152 61.022460461 2.536115059 20.882989289 4.781832668 2.050721826 15.481376312 34.958165593 9.182182062 0 6.783684449 0.061996291 0.378106508 0.069406945 0 NA 0.176513619 0.019524562 0 0.313926471 0.034145085 0.114460403 0 1.618253362 3.284771406 0.016319597 0.470460303 0 0.221677627 0.14275992 0.007904537 0.037121216 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0
"25x75" 0 0.702197702 2.696936795 14.16993596 6.096100176 3.884207402 15.506420906 42.670935311 0 0 41.095837804 0 1.180620045 0 0 0 3.063363998 0 1.665694785 28.662293892 15.756579713 15.631259441 3.175312723 1.180620045 7.083510374 3.399119509 1.77089456 0.590303446 1.777589041 10.325252804 10.42164342 9.190143723 20.736215306 4.244018555 1.77089456 0.590303446 1.292501148 20.616021485 43.400313204 4.257427278 0.702197702 0.702197702 12.927624812 4.803570829 0.702197702 0 21.377316019 3.816503001 0 7.123199325 0 5.661868434 14.791014083 11.64179527 131.094615055 2.150793929 3.182024688 0 41.290996293 0.702197702 1.994721609 21.221302264 21.953448495 16.626628201 0.590303446 15.697571334 12.2737193 15.438545916 56.163019903 0 1.075391339 1.180620045 0.590303446 0 0.702197702 2.367892487 1.075391339 6.047807986 0.702197702 4.729070969 0 0 41.030282368 18.554382952 34.959191483 0 17.666072688 2.473092262 0 2.106633349 0.590303446 0.590303446 1.075391339 0 15.363288867 4.630617718 28.991704315 0 29.843392841 18.565693375 1.292501148 3.399119509 1.777589041 9.627607068 1.404418163 3.816503001 1.180620045 0 1.665694785 10.831773457 0 7.154492047 1.075391339 0.702197702 28.399406442 0 0.590303446 2.585038208 0.590303446 43.779477493 7.531239622 1.075391339 0 1.994721609 10.224599218 5.797814898 4.518700703 3.65367963 3.541820853 0 29.831327773 1.882817747 0.590303446 2.479809502 0 22.17812388 1.882817747 16.689314116 0 0 0.080292626 0.062111228 0 0 NA 0.048012623 0 0 0.040197965 0.016861751 0.143842 0.200004846 0.313884932 1.246534424 0.01674981 0.721209767 0 0 0.151310653 0.014482618 0.031242744 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0
"25x125" 0.821587343 0.821587343 7.077234925 16.230296218 11.907390694 1.001796843 44.088048988 22.779731355 0.821587343 1.643199844 31.47457277 2.532465511 0 0.821587343 1.668600546 0 0.821587343 0.821587343 0.821587343 20.473076057 0.85545318 27.42401347 6.221809937 1.677040523 16.849638711 3.697731641 1.702466383 1.710878168 0 1.823384186 24.889091762 5.945878876 46.764235034 2.695873817 0 3.371117497 1.677040523 43.15830262 23.115900189 10.07097716 0 0 17.315711405 0 1.848810046 0 47.230239401 4.355874855 0 2.678837366 0 0 27.356332883 11.16594781 123.39791798 0.821587343 0.821587343 0 53.547894139 0 5.864561048 68.227979468 56.836265141 9.376249504 0 27.159429525 17.862685827 9.029884542 25.087231442 0 3.396567927 0.847013203 1.857250023 0 0 2.712675011 10.198055373 3.286373388 3.371117497 8.633328598 0 0.821587343 17.557822594 30.066165236 13.478138947 0 1.643199844 2.859107847 0.821587343 0.821587343 1.001796843 3.500449867 3.559688214 3.559688214 7.512944691 3.559688214 39.226382264 10.639251043 62.725905369 34.168114656 0 7.094064424 0.821587343 13.407999112 1.694076974 12.594939835 3.697731641 3.396567927 0.847013203 21.398628657 2.003654667 0 0 0.85545318 25.58744255 0 6.793068408 6.041564614 2.695873817 8.686595982 0.85545318 0.85545318 0.847013203 0 8.05359286 8.93678466 5.056747833 13.965601716 6.247243048 0 43.86231873 2.678837366 1.001796843 1.668600546 2.532465511 8.85830789 2.704263226 12.210083589 0.847013203 2.541114747 0 0.144293927 0 0 NA 0.071361339 0.019118654 0 0.348333905 0.075436515 0.272561783 0.112635627 0.836268906 0.939182648 0.093914695 0.210982772 0.007282294 0.035409153 0 0.029084849 0.021642701 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0
"25x225" 0.585988376 0 45.920331712 26.725813214 0.585988376 70.49169445 7.559373423 20.986417793 0 0 3.301104912 2.715092392 0 0 0 0 0 1.650560219 0 0 0 9.505152631 1.064571843 1.758036441 3.860042328 8.516560217 5.752577243 0 0 2.930067413 16.99285168 1.758036441 8.22581589 3.274053952 1.758036441 10.752350056 0.585988376 13.177489564 42.033167643 0 0 1.064571843 6.338651091 0 0 11.026829361 22.090507123 6.790117037 1.064571843 0 0.585988376 0 2.34402873 8.22581589 64.16588897 0 0.585988376 2.129104016 21.994274447 0 16.191705986 2.822608284 19.603774757 0 1.650560219 2.930067413 8.838871171 3.301104912 10.118328049 4.473132746 3.301104912 0.585988376 0 0 0 3.779713873 5.430235998 1.064571843 0 45.54921045 0 3.779713873 20.449974497 3.274053952 2.715092392 0 5.322808086 10.166337536 2.715092392 2.34402873 1.650560219 1.650560219 2.236572739 2.129104016 8.096688362 1.064571843 13.63351926 11.44662763 29.311709292 8.731401257 1.064571843 4.258235102 10.064030211 3.516063085 20.628242362 11.075377927 3.193725497 5.645167101 0 2.930067413 0 5.032090393 0 3.408600573 19.752532743 0 2.822608284 55.81754909 1.064571843 0.585988376 0 0 4.6880054 6.467779449 3.274053952 1.172000896 3.887140457 0 2.129104016 0.585988376 25.181092141 13.47771423 10.64662253 1.172000896 0 1.758036441 6.547967126 0 0 24.788665879 0 0.038407939 0.005487787 0 NA 0.00492766 0.014289765 0.232202257 0.060310605 0.027951672 0.074601425 0.124566132 0.355218563 0.524928137 0.67787612 0.037953745 0.24762143 0 0.013920257 0 0.012114929 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0
"25x275" 0 0 6.07820586 105.56180312 3.063084421 2.037366804 24.493963708 19.009860242 0.584127014 1.134423704 16.982818969 0 0 0.94742251 0 1.355255222 0.771128208 2.126445761 1.355255222 4.040854148 21.720362794 18.259405718 4.793542832 3.283872606 7.324787459 30.780912985 5.245917285 0.363295496 0.771128208 9.891242436 23.85341499 0.726593096 18.54192016 4.695568212 2.478983278 7.399699761 0 36.567331575 3.722120175 3.490556596 0.94742251 0.771128208 40.416746645 0 4.661791079 0 58.742569897 17.932138745 0.363295496 6.425402501 0 2.037366804 15.909666397 11.22737919 145.17297715 1.752390182 3.898408986 2.898642918 45.557071029 0 2.710571967 8.882345009 45.276854589 3.633082141 2.445176848 4.359694058 13.858402189 12.371470102 66.36816242 1.905614243 2.67674228 1.939381428 0 0.94742251 0 5.61994971 9.279106536 0.726593096 3.53505665 7.193091873 0.363295496 0.584127014 7.050525479 16.385371646 35.099125738 4.722950638 5.429947972 13.684382552 1.894846316 7.96946873 0.363295496 4.980544834 2.037366804 0 4.848792102 0.726593096 36.398315163 6.938457346 64.80856461 13.113528318 13.196909455 9.746995016 1.31072011 13.22386097 7.170064168 19.000001072 2.224367998 9.14431637 0.584127014 12.574247629 0 4.448748329 0.771128208 1.355255222 23.387894135 15.60050954 4.430224668 1.939381428 2.081848318 20.222608456 0 0 1.542318747 1.894846316 4.209416626 5.434088368 2.037366804 2.172049822 4.129948369 2.92057711 71.43063215 3.658004425 11.379404411 6.346977023 0.94742251 6.346977023 5.474510357 4.217209155 2.172049822 2.906429582 0.09235047 0.0581692 0 0 NA 0.033170506 0.019113317 0 0.27137137 0.028058907 0.096596539 0 2.72674094 0.223782469 0.007196839 0.010462498 1.053891621 0.013334899 2.355366776 1.053311499 0.00473007 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0
"25x325" 0 0 1.764076127 3.528141608 0 0 4.410158641 1.764076127 0 0 0.882044986 0 0 0 0 0 0.882044986 0 0 0 0.882044986 5.292308397 2.646111958 0 2.646111958 0.882044986 0 0.882044986 0 0 38.81071706 0 10.58510569 0.882044986 0 0.882044986 0 6.174307712 1.764076127 0 0 0 1.764076127 0.882044986 0 0 9.702863829 0 0 0 0 0.882044986 7.056381064 0.882044986 47.62952192 2.646111958 0.882044986 0 9.702863829 0 1.764076127 0 5.292308397 0 2.646111958 0 4.410158641 3.528141608 1.764076127 2.646111958 0.882044986 0 0 0 0 0 9.702863829 0 0.882044986 1.764076127 0 0 0 0 2.646111958 0 0 0.882044986 0 0 0 0 0 0 0 0 2.646111958 0 6.174307712 3.528141608 0 3.528141608 0.882044986 3.528141608 1.764076127 2.646111958 1.764076127 5.292308397 0 2.646111958 0 0 0.882044986 0 5.292308397 0 1.764076127 0 0 0.882044986 0 0 0 0.882044986 1.764076127 0 0.882044986 0.882044986 1.764076127 0.882044986 7.938404409 1.764076127 0 0.882044986 0.882044986 0.882044986 0 0 0 1.764076127 0 0.031615835 0 0 NA 0.032219359 0 0 0 0 0.084920711 0 0 0 0.043530147 0 0.852379645 0 0 0.006646296 0.022946687 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"25x375" 0 0 68.713496815 20.134759455 5.959494411 52.445507287 5.087234044 4.047174181 0.508724699 1.017437086 1.526213199 0.508724699 1.819086524 0 0.508724699 0 0 4.340002663 0 0 0 8.094190613 1.310361825 1.017437086 1.719323856 2.034939234 2.228036243 14.977950813 0 7.630977809 1.017437086 0 5.087234044 6.368461353 1.719323856 3.561104263 0 69.02375635 34.327828243 0 0 5.85968524 1.210599157 1.017437086 1.526213199 3.052378476 34.5959018 1.719323856 0 0 0 4.439781441 1.017437086 7.772147992 36.119319 0 2.929858029 0 7.630977809 1.017437086 3.638115893 7.392232891 15.918060325 0 5.789132073 4.047174181 17.80790374 3.438570416 8.648504417 1.526213199 0.508724699 0.508724699 1.017437086 1.210599157 6.374795805 2.034939234 1.210599157 0 0.508724699 94.124158455 0 1.017437086 14.907332231 1.210599157 0 1.310361825 2.543643302 4.262977633 0.508724699 0.508724699 1.819086524 0 1.526213199 0 3.052378476 0 6.613423705 1.819086524 15.454636357 9.665961212 0.508724699 5.087234044 15.944434851 4.240219854 32.082625915 7.12213119 0 4.578532916 0 2.836575024 0.508724699 0.508724699 0 2.543643302 8.718929544 0 1.210599157 7.12213119 1.017437086 5.959494411 0 0 0.508724699 2.228036243 0.508724699 4.456072564 22.003804032 0.508724699 6.397595869 1.819086524 16.78688921 10.012911698 12.71829065 2.736812356 1.719323856 1.017437086 0 0 0 44.157091314 0 0 0 0 NA 0.043733569 0.020511637 0 0.363927671 0.008524377 0 0.012990331 0.559983483 1.345824455 0.016864767 0.097618019 2.287157405 0 0.010107106 0.008532112 0.005997265 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0
"25x425" 2.852742645 0 25.787462968 3.964462283 18.548047567 28.004165132 13.728254334 24.426225377 0 0 60.416008804 0 0 0.89291015 0 0 4.635593941 0.89291015 0.891428811 2.852742645 1.784338961 17.566214773 3.69961927 22.843195789 4.461598966 1.915286635 6.421394364 1.023857824 0 0.89291015 15.15450781 0.891428811 63.167757482 0.89291015 3.744171456 19.265728667 7.491282407 39.392716957 25.028127715 1.916767974 1.915286635 4.095420148 2.80670912 0.89291015 0 0.891428811 2.674260974 0.891428811 0 0.891428811 1.023857824 3.745652795 3.567171124 5.482390476 125.128637982 1.782851296 0.891428811 1.023857824 39.96303728 0 2.67874767 0.89291015 17.966907049 0 1.023857824 0 8.210149414 12.080762733 12.48216427 1.782851296 0.891428811 0.891428811 0 2.852742645 0 0.89291015 8.210149414 5.48835241 0.89291015 58.653884981 1.782851296 0.89291015 6.553829703 35.51810568 14.453110469 0.89291015 3.744171456 2.80670912 0.89291015 11.604663671 0 5.527003619 2.677229234 0 3.565622502 0.89291015 29.974369271 8.20416557 32.475782234 6.422919126 2.675761446 2.677229234 3.071552133 2.674260974 4.854403429 5.355923397 3.571618695 5.351422925 0 6.509353598 1.785800423 0 0.891428811 6.372341395 10.120970641 0 0.89291015 9.101578225 0.89291015 0.89291015 0.89291015 0 0 1.916767974 16.20132234 5.119275411 17.273438991 6.422919126 5.793407427 0.891428811 27.645291289 15.15474101 7.143291852 2.809658247 2.940664782 7.314341611 7.166951942 0 0 20.260462655 0 0 0.007498017 0 NA 0.069125328 0.005494501 0 0 0.058852363 0.00955062 0.581746165 0.262240305 0.381458997 0.543132432 0.128674947 0.019409354 0.008556466 0.025373289 0.015077029 0.041546001 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0
"25x475" 0 1.344174838 22.784171497 3.665028475 1.64878788 26.991106889 2.930157908 1.344174838 1.160458238 0.976696531 14.960944238 0.488366889 0 0 0 0.672091349 0.976696531 1.160458238 0.488366889 0 0.488366889 9.525334709 2.809249059 0.976696531 3.176698833 0.976696531 1.953384559 1.465074221 0.488366889 0 9.346244969 1.465074221 7.267255406 1.160458238 0 0.672091349 2.320871369 31.88448701 7.267255406 0.488366889 0 4.45802389 20.274751317 0 1.344174838 0.672091349 1.160458238 2.01626851 0 0 0 1.344174838 9.955534361 3.360436838 73.29012154 2.504635399 1.64878788 0 12.638232997 0.672091349 1.160458238 2.625475908 16.17978752 0.672091349 0 14.350794289 4.153406165 4.641716503 6.227732309 1.953384559 0.976696531 0.672091349 0 0.672091349 0 0 0.488366889 0 0.976696531 32.61553044 1.344174838 0 11.357758224 3.906818568 7.69269686 14.417787371 2.13716557 11.913469959 0 0.976696531 0.976696531 0.672091349 0.976696531 0 2.320871369 1.160458238 10.99041044 0 12.029833795 16.305128303 0 3.785930218 0.976696531 2.992965041 2.992965041 3.481342731 0.672091349 0.488366889 1.344174838 2.320871369 0 0 0.672091349 11.05305375 4.337133369 0 0.488366889 2.13716557 0.672091349 0.976696531 0.488366889 0 0 1.832541727 3.969653069 7.267255406 7.634689636 1.160458238 2.44175538 0 17.159991484 0.488366889 0 10.7543874 0.488366889 2.44175538 2.625475908 0.672091349 0.488366889 14.534494297 0 0 0 0.009107421 NA 0.049950925 0 0 0 0.040842299 0 0 0.033337047 0.498714906 0.148701002 0.093730924 0.008987765 0.204159455 0 0 0.00870772 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"25x525" 0 1.394748997 7.835212659 2.789483322 1.394748997 0 5.104217915 3.680260217 0 1.924623734 7.474298873 1.840141645 0 0 1.924623734 0 0 0 0 0 5.520336361 13.609131671 3.7095221 7.698412518 3.849198923 4.769237701 7.614060657 1.924623734 0.920038778 3.319372731 23.907664822 1.394748997 17.178796335 3.234890642 3.319372731 2.789483322 1.840141645 24.570386612 4.714107056 0 0 0.920038778 6.638682245 0 0 5.773919012 20.058369544 1.840141645 0 0 0 3.680260217 12.079098738 4.629624967 105.90794959 0 0 0 13.863524275 1.394748997 11.5487365 13.137736382 19.578154267 0 1.394748997 11.128690498 8.004139737 0.920038778 6.163986698 2.760191817 2.314787775 0 0 0 0 4.714107056 2.844662512 0 2.314787775 16.898408484 0 1.394748997 45.130590352 4.184179137 5.520336361 0 0.920038778 15.3418041 1.394748997 5.159514376 0 0.920038778 1.840141645 1.924623734 1.394748997 0 11.15905996 5.579001721 32.442674127 5.579001721 0 2.789483322 7.698412518 0 6.973701985 7.419143366 1.394748997 8.339193538 0 4.629624967 0 0 1.394748997 1.924623734 18.018480039 0 0.920038778 16.793093277 0.920038778 0 0 0 0 2.760191817 6.524907071 0.920038778 0 0 3.849198923 42.765024258 32.188135438 1.924623734 16.261842878 0 1.840141645 3.7095221 0 1.394748997 0 5.773919012 0 0.0357675 0 0 NA 0.028163068 0.005081085 0.082575016 0 0.094721277 0.060121131 0.325195645 0.598847458 0 0.009542484 0.004524423 0.467738327 0.018898445 0.022639821 0.019724656 0.377146048 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0
