"coord" "Ace2" "Adora2a" "Aldh1l1" "Amigo2" "Ano3" "Aqp4" "Ar" "Arhgap36" "Avpr1a" "Avpr2" "Baiap2" "Bdnf" "Blank_1" "Blank_2" "Blank_3" "Blank_4" "Blank_5" "Bmp7" "Brs3" "Calcr" "Cbln1" "Cbln2" "Cckar" "Cckbr" "Ccnd2" "Cd24a" "Cdkn1a" "Cenpe" "Chat" "Coch" "Col25a1" "Cplx3" "Cpne5" "Creb3l1" "Crhbp" "Crhr1" "Crhr2" "Cspg5" "Cxcl14" "Cyp19a1" "Cyp26a1" "Cyr61" "Dgkk" "Ebf3" "Egr2" "Ermn" "Esr1" "Etv1" "Fbxw13" "Fezf1" "Fn1" "Fst" "Gabra1" "Gabrg1" "Gad1" "Galr1" "Galr2" "Gbx2" "Gda" "Gem" "Gjc3" "Glra3" "Gpr165" "Greb1" "Grpr" "Htr2c" "Igf1r" "Igf2r" "Irs4" "Isl1" "Kiss1r" "Klf4" "Krt90" "Lepr" "Lmod1" "Lpar1" "Man1a" "Mc4r" "Mki67" "Mlc1" "Myh11" "Ndnf" "Ndrg1" "Necab1" "Nos1" "Npas1" "Npy1r" "Npy2r" "Ntng1" "Ntsr1" "Nup62cl" "Omp" "Onecut2" "Opalin" "Oprd1" "Oprk1" "Oprl1" "Oxtr" "Pak3" "Pcdh11x" "Pdgfra" "Pgr" "Plin3" "Pnoc" "Pou3f2" "Prlr" "Ramp3" "Rgs2" "Rgs5" "Rnd3" "Rxfp1" "Scgn" "Selplg" "Sema3c" "Sema4d" "Serpinb1b" "Serpine1" "Sgk1" "Slc15a3" "Slc17a6" "Slc17a7" "Slc17a8" "Slc18a2" "Slco1a4" "Sox4" "Sox6" "Sox8" "Sp9" "Synpr" "Syt2" "Syt4" "Sytl4" "Tacr1" "Tacr3" "Tiparp" "Tmem108" "Traf4" "Trhr" "Ttn" "Ttyh2" "Adcyap1" "Cartpt" "Cck" "Crh" "Fos" "Gal" "Gnrh1" "Mbp" "Nnat" "Nts" "Oxt" "Penk" "Scg2" "Sln" "Sst" "Tac1" "Tac2" "Th" "Trh" "Ucn3" "Vgf" "Endothelial1" "Inhibitory" "Excitatory" "ODMature2" "Astrocyte" "Endothelial3" "ODMature1" "Microglia" "ODImmature1" "Ambiguous" "Endothelial2" "Pericytes" "ODImmature2" "Ependymal" "ODMature4" "ODMature3"
"25x25" 0.921808014 0 4.609188048 1.986620213 1.843675262 2.908428227 7.25798755 4.75209722 0.921808014 0 16.619213835 0.662187454 0.662187454 8.068177241 0 0 0.921808014 3.687270315 3.311019626 0.662187454 20.52781735 36.878157551 1.324395361 0 21.692903169 3.570607516 0 0 0 14.56682345 17.338876201 0.921808014 3.830295475 2.246203375 1.583995468 0.921808014 0.662187454 22.986707033 2.505862716 0.921808014 0 0.662187454 16.274174282 0 1.583995468 0 3.973246664 1.583995468 0 0 0 0.921808014 7.517624969 4.635468155 104.19097486 0 0.662187454 0 31.0465656 0 2.246203375 23.622905493 8.179804258 7.946434775 0 27.886107603 5.673890528 15.72869422 44.06683473 0 0 0 0 0 0 0 12.158049609 0 0.662187454 15.442891538 0 0.662187454 20.190117777 26.874709633 2.246203375 0 1.843675262 5.297671454 8.068177241 1.583995468 0 2.246203375 3.427664461 0 1.324395361 0 20.617665947 8.068177241 33.065848965 5.531004756 0 1.986620213 2.246203375 0.662187454 0 15.871704431 3.311019626 1.583995468 0.662187454 3.427664461 0.921808014 10.314380616 0 0.921808014 17.048590029 0.662187454 1.583995468 2.246203375 0 3.168070623 1.324395361 0 0.662187454 0.921808014 5.154694888 8.989985255 26.192392013 1.843675262 0 0.921808014 4.895054678 10.314380616 12.041423905 3.168070623 0 3.830295475 0 1.324395361 0 0 0.042741354 0.134201401 0 0.079556379 NA 0 0 0 0.275314094 0.008718068 0.151531448 0.024556705 0 0.868643116 0.178259998 0.089120861 0.018008521 0.05091115 0 0.024558053 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"25x75" 0.754607575 1.134180047 3.108546926 11.145532697 1.544347804 0 23.630215662 30.795321607 0 0.394858008 23.94823111 1.579467142 0 0.394858008 0 0 1.544347804 0.739322039 0.789740229 6.712763241 23.15873046 43.033342479 4.846026935 5.81676467 15.62497848 6.400994189 1.529062268 1.134180047 0.394858008 12.538613499 66.519019711 0 19.501093025 3.711916914 0.739322039 17.645860455 0.754607575 42.866881421 16.127450076 4.747502851 0 1.149465583 4.09141936 0.739322039 0 2.743391705 7.995832413 1.544347804 1.579467142 0 0 0.754607575 5.817531964 12.274353804 117.22938025 0.754607575 1.184590295 0 36.999566296 0.394858008 1.134180047 22.143599714 63.820193493 4.40303882 0.754607575 18.575307234 10.974417723 9.265150676 102.526414381 0 3.007695476 0 0 1.888787622 0.789740229 2.678519909 10.642912416 1.134180047 1.134180047 11.288320618 2.263773411 0.789740229 21.799153173 10.180134368 9.790641535 1.579467142 1.493929614 5.615940758 1.888787622 4.616882921 1.493929614 0.754607575 1.493929614 0.754607575 12.928899452 1.493929614 36.53354702 3.352167347 36.348023843 1.184590295 0 3.448363706 1.923912334 4.287739509 0.394858008 10.908799333 0.394858008 8.74123551 0.789740229 7.086943213 0.739322039 0.739322039 2.643349548 2.643349548 27.125571358 0 1.509169501 0 0 20.419940384 0 0 5.133240573 0.754607575 9.215525093 8.57783722 0.789740229 1.493929614 17.019617604 1.149465583 31.226341641 6.176449749 16.735347544 0.394858008 1.544347804 5.042301435 2.29890973 2.004069666 0 0.754607575 0.122715661 0.003087457 0 0.079073811 NA 0 0.007529022 0 0.301351138 0 0.054266014 0.005392868 1.095654846 1.866547719 1.627932272 0.198472278 0.009630121 0 0 0.042673364 0.101721945 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25x125" 0 0 6.669276515 25.860717655 6.237103371 1.796747048 25.639191715 32.50138118 0.761205366 0 29.674291171 1.424034733 5.475898005 0.761205366 0 0.906250629 9.069475825 1.035541682 1.796747048 29.203094972 0.761205366 61.018256411 7.0735923 7.417690316 6.571427321 1.27898947 8.647660243 1.812483608 6.754887475 0 58.199043815 5.475898005 16.057969803 1.035541682 0 1.522435094 4.386186867 70.645543321 6.472530119 1.941792311 0.517784104 1.553347944 26.289056647 0 0.906250629 0 22.09073926 2.573688974 0 0 0 3.334918702 9.274562566 9.31291969 176.24339798 6.998333099 0 0 18.844093355 1.667455995 12.670425306 13.578781978 25.287336513 1.035541682 6.607519064 34.041229652 11.399705489 6.022220809 13.490525146 0 0 0.517784104 0.761205366 0.517784104 0.761205366 2.040219198 17.581951154 2.330267712 0.761205366 12.290271436 0.517784104 0.761205366 5.535357561 26.631611799 8.064786787 9.424602169 8.422367832 1.941792311 0 2.040219198 1.667455995 2.428685723 1.667455995 0 13.532444151 0.517784104 58.352545196 8.033874781 40.188855008 26.227017939 41.723644255 1.812483608 0 4.598175398 1.522435094 12.427428744 1.035541682 2.459598573 0.517784104 3.091473078 0 1.667455995 1.27898947 1.796747048 28.417504569 0 2.040219198 18.588763111 0 4.127036918 1.667455995 0 0 1.424034733 8.124293421 5.695607698 13.760429633 3.334918702 6.731653339 0 38.163142731 1.796747048 8.049586979 0.761205366 0.517784104 1.035541682 15.273539348 0.761205366 0.906250629 0 0.034979271 0.191866097 0 0.042862737 NA 3.96375665 0 0 0.353218988 0 0.519633764 0.596955748 1.439016129 2.094821727 0.856182652 0.458857634 0.000308893 0 0 0.000917149 0.651168437 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"25x175" 0.37230296 0 33.344576849 3.927412022 0.576703385 22.062071395 12.6272959 2.474725682 0 0 26.718990892 0.576703385 0.576703385 0 0 0 0.576703385 0 1.116898329 1.321319983 1.153426236 14.570923151 1.693601714 1.898042834 3.219310274 1.48920119 13.011187015 7.064636847 0 0.744616598 50.78832663 0 11.038716485 1.898042834 1.321319983 4.000368735 3.219310274 88.40339413 7.064636847 1.693601714 0 5.743338093 7.977153684 0.37230296 0 0 4.91293432 0.949006345 0 0.949006345 2.306815769 1.153426236 6.197750191 2.270324565 168.73699199 1.898042834 10.74086245 0 18.521427496 0 0.37230296 4.204772095 17.577667936 5.371035133 1.730109084 16.371259928 17.072039731 6.642979945 15.196881597 0.37230296 1.321319983 0 0.949006345 0 0 0 7.146777484 0.37230296 1.321319983 71.500362585 0 0 10.787700233 6.642979945 3.051432367 0.37230296 11.11316541 19.535683698 0.744616598 0.949006345 0.37230296 0.37230296 1.153426236 1.898042834 3.182821936 0 13.045191445 2.606118551 18.460523743 3.832458457 0.576703385 4.91293432 16.48427256 3.927412022 22.638794246 5.934892414 1.116898329 2.642627426 5.947738518 17.805571314 0.37230296 1.321319983 0.37230296 4.467641107 14.128139642 0 2.679118729 7.269077967 0.37230296 2.474725682 0.37230296 0 0.37230296 2.102412044 3.387277192 12.685753349 38.345744968 2.102412044 9.094057475 2.978414234 12.505061745 5.743338093 6.533511105 0 1.898042834 3.219310274 13.011187015 2.606118551 0 16.48427256 0 0 0 0.024438756 NA 0 0.005616522 0 0.182485163 0 0 0.150636112 1.347685945 1.37920608 4.882051825 0.110442457 0.534928593 0 0 0.047779748 0.590255609 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"25x225" 0.685737702 0 0 7.543385435 0 0 1.37153752 0.685737702 0.685737702 0 6.171830222 0.685737702 0 0 0 0 0.685737702 0.685737702 0 0 0.685737702 5.486045635 0.685737702 0 6.857601506 1.37153752 0 0 0 0.685737702 13.02813705 0 13.02813705 1.37153752 0 5.486045635 2.057243287 8.914937936 0.685737702 0.685737702 2.057243287 0 0.685737702 0 0 0 0 3.428738116 0.685737702 0 0 0 6.171830222 0 1.37153752 0.685737702 2.057243287 0 2.057243287 0 2.74300149 0 2.74300149 0 0 0.685737702 4.114580282 2.74300149 0.685737702 0 2.057243287 0 0 0 0.685737702 1.37153752 0.685737702 0.685737702 0.685737702 3.428738116 0.685737702 0 1.37153752 13.02813705 0.685737702 0 0 0 1.37153752 0 0 2.74300149 4.114580282 0.685737702 0 0 6.857601506 0 5.486045635 6.171830222 0 0 0 0 0 0 0 0 0 2.057243287 0.685737702 0 0 0 4.800293903 0 0 0.685737702 1.37153752 6.171830222 6.171830222 0 0 2.057243287 2.057243287 0 0 0 6.171830222 0 11.65901749 0.685737702 2.057243287 1.37153752 0 7.543385435 0 2.057243287 0 0.685737702 0.016860553 0.022433569 0.004931825 0.008863245 NA 0 0 0 0.174532396 0.017073643 0.047490276 0 0 0 0.003542339 0 0.009007281 0 0 0.035618977 0.006190703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25x275" 0 0.666172645 2.664713264 1.332383713 0.666172645 0 5.995681038 0.666172645 0 0.666172645 5.995681038 0 0 0 0 0 0.666172645 0 0.666172645 0 0 5.995681038 0.666172645 1.332383713 0.666172645 0.666172645 2.664713264 0 0 0 4.663305634 0 2.664713264 1.332383713 0 1.332383713 0 7.32798626 1.998541059 0.666172645 0 0 0.666172645 0 0 0 0 0 0.666172645 0 0 0 0 1.998541059 34.64511334 0.666172645 0 0 11.32537098 0 0 5.995681038 16.65631222 0 0 0 3.997122547 1.998541059 1.332383713 0 0 0 0.666172645 0 0 0 0.666172645 0 0 3.330918389 0 0 3.997122547 1.332383713 1.998541059 1.998541059 0 0 0 0 0 1.332383713 0 0 2.664713264 5.995681038 9.99258924 1.332383713 9.99258924 4.663305634 0.666172645 0.666172645 0 0 0 1.332383713 1.332383713 0 0.666172645 1.332383713 0 0 10.66003892 0 1.332383713 0 0 2.664713264 0.666172645 0 0 0 0 0 0 0 0 2.664713264 0 0 3.330918389 1.332383713 1.332383713 0 0 1.332383713 0.666172645 0 0 0 0.022559529 0 0 0.020402937 NA 0 0 0 0 0.53006542 0 0.051061189 0 0 0 0 0.016213827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25x325" 0 0.715734168 9.534962095 0.473126357 0 5.956332659 0 0 0 0 1.892477571 0 0 0 0 0 0 0 0.473126357 0 1.188860525 2.377732231 0.473126357 0 0.473126357 0 0 0 0 0.946256159 2.147168531 0 1.431476072 0.473126357 0 0 0.946256159 16.873844985 10.966723199 1.188860525 0 1.904602429 0 0 0 3.554485675 0 2.862958122 0 0.715734168 0 0 0 0 4.998034157 0 0 0 0 0 4.743389175 0.473126357 1.188860525 0 0 0 4.039646102 0.946256159 0 0 0.473126357 0 0 0 0 6.647936724 0 0 0.715734168 15.96388135 0 0 10.40775013 1.419357237 0.473126357 0.715734168 1.661990327 0 0 0 0 0 0 3.554485675 0.715734168 0 1.892477571 1.661990327 1.188860525 0 15.383244868 0 7.33950793 0 0 0 0 0 0.715734168 0.473126357 0 0 0.473126357 0 2.850833309 0.715734168 0.946256159 18.45360082 0 0.473126357 0 0 0 0 0.946256159 1.892477571 7.109069914 0 0 0 1.431476072 0 0.473126357 0.473126357 0.715734168 0.473126357 4.973848196 0 0 8.770942293 0.014786125 0 0.068221934 0.06187797 NA 0 0 1.574203205 0 0 0 0 0 0 0.004565595 0 0.008929452 0.17679658 0.047613966 0.015088782 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"25x375" 0 0 0.568989366 0.782994486 2.349037419 1.138011318 3.842065847 0 0 1.351983852 10.534818747 0.782994486 0.568989366 0 1.566019781 0 0.782994486 0 3.131997023 0 1.138011318 7.187980706 0.568989366 1.566019781 0 2.276046066 2.135009147 0.568989366 0 0 7.114986844 1.351983852 21.351018973 3.700986389 0 2.490005358 1.138011318 10.529110071 2.276046066 1.138011318 0.568989366 0 0.782994486 0 0 7.397113048 2.349037419 0.568989366 0 0 0.568989366 1.351983852 4.839007895 1.351983852 25.761347039 5.266957289 1.138011318 0 9.104155005 0.782994486 10.24087193 2.135009147 10.03297677 0 3.131997023 12.312820266 8.540115721 6.974013989 6.264069655 0 1.138011318 0 0 0 0 6.827985274 1.351983852 1.138011318 0 2.918026785 0 0.568989366 19.420778679 16.585164512 1.566019781 3.059040552 0.568989366 21.417162443 0 1.351983852 0 1.138011318 0 4.552006936 2.845032367 3.273030653 7.402080973 0 9.818934386 1.351983852 0 0.568989366 2.276046066 1.351983852 6.473054289 0.782994486 2.135009147 1.921005804 0.568989366 3.700986389 0 0 0 0 13.092054929 1.351983852 1.566019781 46.869883716 0.782994486 1.566019781 0 0 0 0.568989366 2.490005358 0 2.845032367 0 2.349037419 5.266957289 16.004515829 1.351983852 1.566019781 0 0.568989366 1.351983852 1.921005804 0 0.782994486 17.63802972 0.0449339 0.011532405 0 0.021672695 NA 0 0 0.192688413 0.021521943 0 0.08077677 0.350383871 0.02197836 0 0 0 0.702950414 0 0 0.011090896 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25x425" 0 0 12.030629684 0 0 9.377673431 0 1.899412454 0 0 0 0 0 0 0 0 0 0 0 1.899412454 0 7.014039881 0.949709914 0 0 0.949709914 1.899412454 0 0 0 24.50067545 0 6.356177181 0 0 0 0 29.85752939 10.327383345 0 0 0.852422298 1.802132212 0 0 0 0 1.70489244 0 0 0.949709914 0 0 2.557295967 3.604304894 0 1.70489244 0 5.69838337 0 4.456708421 0 3.798881214 0 0 0.949709914 7.40327581 2.654602354 3.604304894 0 0.852422298 0 0 0 0 0.949709914 0.949709914 0 0 22.357944054 0 0 8.255679337 0 0 0 0.852422298 3.798881214 0 1.899412454 0 0 0 0.949709914 0 0 12.907550927 0 2.654602354 0 0 0.949709914 0.949709914 1.899412454 2.557295967 0 0 0.852422298 0.949709914 0 0 0 0 0 5.503773654 0.949709914 0 4.748572328 0 0.949709914 0 0 0 0 3.409709701 2.751834752 4.262232106 0 3.701618069 0 1.899412454 0 0.949709914 0.852422298 1.70489244 0 0 1.802132212 0 7.866479662 0 0 0.048385056 0.051160495 NA 0.010215901 0.001240826 0 0 0 0.013990999 0.493439185 0 0 0.00928821 0 0.01702123 0.026689215 0.038946059 0.005660981 0.006908947 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25x475" 0 0 15.71090614 9.282530349 0 12.85479168 5.907885656 2.239890593 2.856292786 0 6.914772352 0 0.8117155 0 0 0.8117155 1.623433138 3.246782314 1.428175093 30.70297367 0.714075708 9.057080903 1.623433138 4.479725924 7.62883525 0.714075708 2.953960183 0 0.8117155 2.337508846 22.73012358 0.8117155 16.363768727 7.305389414 0 2.856292786 0.8117155 61.80829361 8.764287774 0 0 1.428175093 2.142244683 0 0.8117155 1.525791208 5.810316837 2.953960183 0 0.8117155 0 0 1.525791208 3.668008286 59.73422442 0 0.8117155 0 2.239890593 0.714075708 19.286364783 2.142244683 13.634445884 0 3.149180577 2.435104869 13.115770229 3.765677821 1.525791208 0 3.149180577 0.8117155 0 0 0 0 1.428175093 0.714075708 0 21.51872518 1.428175093 0 6.005460553 0.714075708 1.525791208 0.8117155 4.284452518 1.623433138 0 3.765677821 0 3.960858022 0 1.525791208 0.8117155 1.428175093 15.032790776 0 11.589841932 8.342932084 56.717375928 11.00396045 2.142244683 1.428175093 4.479725924 1.525791208 1.525791208 2.856292786 0.8117155 2.142244683 0 0 1.623433138 0 11.589841932 0 0 4.058479566 0 6.1030751 0 8.928874013 0 1.525791208 4.058479566 6.914772352 22.856791027 0 2.435104869 0 12.108670871 2.142244683 4.998601337 0.8117155 1.428175093 3.149180577 16.135090788 0.714075708 0 8.666540856 0.010094253 0.015985109 0.002681726 0.274999458 NA 0.57759596 0.010438999 0 0.11555699 0 0.08496318 0.858200785 0.086087962 0.597396435 0.150074568 0.065970043 0.614966307 0 0 0.01087999 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
