"coord" "Ace2" "Adora2a" "Aldh1l1" "Amigo2" "Ano3" "Aqp4" "Ar" "Arhgap36" "Avpr1a" "Avpr2" "Baiap2" "Bdnf" "Bmp7" "Brs3" "Calcr" "Cbln1" "Cbln2" "Cckar" "Cckbr" "Ccnd2" "Cd24a" "Cdkn1a" "Cenpe" "Chat" "Coch" "Col25a1" "Cplx3" "Cpne5" "Creb3l1" "Crhbp" "Crhr1" "Crhr2" "Cspg5" "Cxcl14" "Cyp19a1" "Cyp26a1" "Cyr61" "Dgkk" "Ebf3" "Egr2" "Ermn" "Esr1" "Etv1" "Fbxw13" "Fezf1" "Fn1" "Fst" "Gabra1" "Gabrg1" "Gad1" "Galr1" "Galr2" "Gbx2" "Gda" "Gem" "Gjc3" "Glra3" "Gpr165" "Greb1" "Grpr" "Htr2c" "Igf1r" "Igf2r" "Irs4" "Isl1" "Kiss1r" "Klf4" "Krt90" "Lepr" "Lmod1" "Lpar1" "Man1a" "Mc4r" "Mki67" "Mlc1" "Myh11" "Ndnf" "Ndrg1" "Necab1" "Nos1" "Npas1" "Npy1r" "Npy2r" "Ntng1" "Ntsr1" "Nup62cl" "Omp" "Onecut2" "Opalin" "Oprd1" "Oprk1" "Oprl1" "Oxtr" "Pak3" "Pcdh11x" "Pdgfra" "Pgr" "Plin3" "Pnoc" "Pou3f2" "Prlr" "Ramp3" "Rgs2" "Rgs5" "Rnd3" "Rxfp1" "Scgn" "Selplg" "Sema3c" "Sema4d" "Serpinb1b" "Serpine1" "Sgk1" "Slc15a3" "Slc17a6" "Slc17a7" "Slc17a8" "Slc18a2" "Slco1a4" "Sox4" "Sox6" "Sox8" "Sp9" "Synpr" "Syt2" "Syt4" "Sytl4" "Tacr1" "Tacr3" "Tiparp" "Tmem108" "Traf4" "Trhr" "Ttn" "Ttyh2" "Adcyap1" "Cartpt" "Cck" "Crh" "Gal" "Gnrh1" "Mbp" "Nnat" "Nts" "Oxt" "Penk" "Scg2" "Sln" "Sst" "Tac1" "Tac2" "Th" "Trh" "Ucn3" "Vgf" "Astrocyte" "Inhibitory" "Pericytes" "Ambiguous" "Endothelial1" "Excitatory" "ODImmature1" "ODImmature2" "Microglia" "ODMature2" "ODMature1" "Endothelial3" "ODMature3" "ODMature4" "Endothelial2" "Ependymal"
"25x25" 3.99332691 20.596570953 7.531107579 13.294050082 5.552498241 9.445470714 9.026887677 23.262853411 1.559171331 0 11.80763046 1.512476793 0.661077899 0 5.590676575 1.415516453 12.533722941 18.827146959 3.444936655 7.288451287 42.828742206 9.940617077 4.44050291 3.99332691 3.145413674 21.597276147 5.215428905 8.833027615 3.682468124 0 9.809249105 2.266915347 59.708001399 16.820094185 1.322148558 0 0.851398894 11.839900966 0.707772437 0 64.101244007 0.707772437 8.745816787 1.242177551 0.661077899 25.103773389 4.326083055 8.774293527 1.970436087 157.414930053 0.851398894 0.631323153 4.357826829 2.152535603 2.564326109 59.452210393 3.318771903 22.341505595 2.152535603 6.298449012 6.251754474 52.814791948 15.366693432 0.707772437 8.249210527 1.415516453 4.579178753 0 0 2.754654344 11.642196015 2.525331812 8.285156439 0 31.5708727 6.251754474 0 102.312701053 0.631323153 4.250167756 5.0980236 1.242177551 1.415516453 2.914497796 2.83106923 2.152535603 5.81704491 18.253236467 13.646819259 9.086424802 3.18550791 14.985535964 2.834651303 26.707254178 10.522144524 14.083230315 2.83106923 16.503608474 5.568773264 2.076594352 2.173547452 10.14697046 4.170112219 96.097578351 8.336872933 0 1.33909559 0.791224414 5.758394129 13.785511326 0 1.512476793 199.104027606 8.4315272 1.33909559 0 1.242177551 0 32.496603861 7.943227294 6.166874362 32.396279035 2.350395745 21.923054582 9.276766883 22.758630873 1.512476793 8.666016898 4.055791053 2.904587131 11.551811803 12.046477352 0 0 79.982545842 0.025424881 0.049280979 0.040312205 0.13494567 0.039526865 0.05248677 5.391865003 0 0.035319591 0.008568268 0 0.020474366 0.041679218 0.019553561 0.087306842 0.184835626 0.558447051 0.474440632 0.001039722 0.058220565 0 2 0 1 1 0 1 0 0 1 2 1 0 0 0 0
"25x75" 0 0 10.67651317 0.606719261 0 43.83614433 0 8.300262972 0.606719261 1.437810564 0 0.606719261 0 0 0.794733627 0 3.091750934 1.675900742 1.213451447 2.614934223 2.196183991 25.814915524 0.606719261 0.794733627 0.837976693 2.253826885 2.420556033 0.831091303 0.831091303 0 1.401452888 0 5.648696989 10.546845417 1.415850192 0.606719261 1.213451447 0 0 0.794733627 93.43957339 2.210583819 17.474776363 1.213451447 1.401452888 0 2.253826885 0.606719261 0 0.837976693 0 0 0 1.669067996 0.606719261 83.533734929 3.626420402 3.063648725 0 0.606719261 0 15.143386936 5.303088707 0.794733627 0.606719261 2.463801623 2.253826885 0 0 0 37.247949387 0.794733627 1.62582493 2.253826885 34.96263711 0 0.794733627 174.82571475 0 1.669067996 0.606719261 0.606719261 0.606719261 0.606719261 0.606719261 0 1.415850192 1.437810564 27.60611667 2.196183991 1.401452888 0.794733627 0 5.887834365 0.831091303 1.58946473 0 17.599100894 0.794733627 3.424035266 1.675900742 1.63271032 0.794733627 0.606719261 3.091750934 0 0 0.837976693 0 16.218811541 0 0.606719261 296.04730078 0 0.794733627 0 0 0 1.62582493 3.958530004 2.426967612 50.020386135 0.606719261 2.022569453 0.794733627 1.669067996 3.07735363 0 2.282620003 0.606719261 3.482396433 3.084918188 0 0 120.11353089 0.027997192 0.055640613 0.149851306 0.074805065 0.010000289 0.11810884 9.553162222 0 0.000325732 0 0 0 0 0.003565164 0 0.064732462 0.021699785 0.078059857 0.051203909 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0
"25x125" 0 0 3.378244391 1.219115976 1.219115976 7.910640804 0 1.529894537 1.102755608 0 0 0.675637226 0 0 0 4.876517043 0.675637226 1.646234358 0 1.219115976 1.102755608 18.431339909 0 0 0 2.438270175 0.427118382 0.427118382 0.675637226 0 1.219115976 0 3.541025783 4.780929737 3.678117443 0 0.675637226 0 0 0 81.250358569 0 9.474288101 0 1.219115976 0.675637226 1.351310591 13.838313562 0 75.175078516 0 3.002480217 0 0 0 60.76637988 0.675637226 1.219115976 0 0 0 11.407327369 5.324372348 0 0 1.102755608 0 0 1.219115976 0.675637226 28.880792264 3.657362049 1.894753202 0.427118382 6.080925091 0 1.219115976 135.91771705 13.838313562 0 0 2.454101508 2.438270175 1.219115976 1.28133992 0 14.904124096 0 19.569854225 0 0 1.894753202 0 8.417521005 4.216699148 0.854257311 0.427118382 15.708326301 2.073373287 0.675637226 0 0.854257311 0 0.427118382 0.427118382 0 0 0 0.427118382 22.146855749 0 0 200.300675035 3.113907401 0 0.675637226 2.438270175 0 0 1.894753202 0 16.89277849 0.675637226 1.219115976 15.482134871 10.179384386 0 0.675637226 1.529894537 0.854257311 1.529894537 0 0 0 78.67754681 0.045043833 0.043063728 0.144914581 0.08086573 0 0.084126071 8.492575092 0 0.004627588 0 0 0 0 0.114057496 0 0.099650781 0.157105308 0.05661477 0.057095582 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0
"25x175" 0 0 1.465244508 0.732606742 0 2.323502858 0.795436294 0.732606742 0.732606742 0 0 0.795436294 4.708902937 0 0 0 0.795436294 3.180836373 0.795436294 0 0 14.546968842 0 0 1.528043036 1.465244508 0.795436294 0 0 0 0 0 0.732606742 1.465244508 0 0 0 0.732606742 0 0 67.72346019 0 4.709862985 0.732606742 0 0 0.795436294 0 1.590896116 0 0 2.323502858 0 0 0 40.941459725 2.260680802 0.732606742 0.795436294 0 0 3.78876019 0 0.732606742 0 0.732606742 0.795436294 0 0 0 13.815355145 0.732606742 0 3.180836373 7.888846807 0 1.590896116 87.78655698 0 0 0 0.795436294 0.732606742 0 0 0 0.732606742 0 11.240554621 0 0.795436294 0 0 2.323502858 2.260680802 0 0 0 0 0.795436294 0 0 0.795436294 0 0.732606742 0 0 0 0 8.497598108 0 0 96.42821429 0.795436294 0 0 0 0 0.795436294 1.528043036 0 31.544284944 0 0 0 0.732606742 0 3.118006821 2.385400079 1.465244508 0.795436294 0 0 0 40.29581997 0.003047124 0.001416424 0.052722107 0.019183664 0.034695447 0.021162599 5.708443309 0 0.029541417 0 0 0 0 0.005954876 0 0.018145389 0.14482736 0.050829894 0.002033151 0.008758483 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0
"25x225" 6.311895905 7.574326166 0.60040537 0.60040537 0.60040537 0.60040537 0 0.60040537 0 0 2.882755111 1.262403167 4.186363025 0 2.008788197 0 3.716081046 1.3467904 0 0.96092056 0.74638503 18.377639489 0.60040537 0 1.262403167 1.947182104 1.262403167 0.74638503 0.74638503 0.96092056 0.60040537 0.60040537 2.453677879 1.200797074 0 0 0.60040537 6.717559741 0 1.262403167 25.878563175 0.96092056 7.804653224 0 0.74638503 63.08651441 0.96092056 0 0.60040537 2.985565951 0 0 0.60040537 0 0 21.496467001 1.801173441 2.839547464 0.74638503 0 0 54.853101681 1.262403167 0.60040537 0 0.60040537 0.96092056 2.463200241 0.96092056 6.311895905 15.300879869 13.198708305 1.262403167 0.74638503 4.748103234 2.008788197 1.921796739 55.37364633 2.239142094 0.74638503 0 2.401574601 2.093162689 0 0 0.96092056 5.163635125 1.56132593 4.803099272 0.74638503 0 2.453677879 0 4.186363025 0 0 0 5.672723272 0.60040537 0 0.74638503 1.262403167 0 66.354054493 0 0 0 51.204299474 0.60040537 6.896295451 0 0 94.378631681 2.969708757 3.054083249 0 0 0.60040537 21.028723876 4.316486416 0.74638503 15.51542814 0 0 0 1.492757319 1.200797074 1.200797074 0 3.125169011 4.985373347 0.60040537 1.801173441 0 30.97793555 0.046300087 0.042651086 0.098966718 0.059147813 0.01403793 0.072433815 4.398657056 0 0.031801132 0 0 0 0 0.009854118 0 0.043596553 0.128129728 0.081012221 0.01132402 0.007716338 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0
"25x275" 0 0 0.668821937 20.317896156 1.446132625 1.818928575 12.610693887 7.011462335 0 0.383375245 6.575336283 0 1.446132625 1.446132625 0 0 32.073853389 2.202316636 2.212861878 12.653117643 3.648449261 3.299608223 0 8.568413926 0.668821937 23.15034896 0 15.585404892 1.82950787 7.997490422 9.586021209 0.883041971 24.45757503 2.773220889 1.818928575 0 0 10.972114308 0.383375245 0.383375245 4.60041229 4.137584382 5.102395485 0 0 0 3.095903849 14.143670025 2.41653667 27.207813254 3.03251083 1.82950787 0 13.975145789 0 12.616442571 4.11912923 44.467374031 0 0 31.526716343 15.331815049 7.225682369 12.130072577 1.82950787 1.721028002 0 0.668821937 0 0.668821937 4.502525357 2.033148609 1.43555119 0.383375245 9.05191097 0.766729253 0 23.298747461 15.624189235 12.948722925 1.150106638 3.550514635 4.996715115 0.668821937 0 0 1.82950787 1.533494699 3.183239996 1.935239153 0.766729253 24.047906594 2.220694728 26.892031915 17.744213851 10.59578088 4.219353514 0 4.219353514 2.033148609 3.066960927 0.383375245 2.033148609 4.779640321 9.639467599 1.935239153 0 0 2.10438201 13.562827219 0.668821937 1.446132625 24.721374857 1.935239153 17.039373156 0 1.82950787 2.114954562 1.052197182 11.410705332 0.766729253 9.631721888 4.46806416 5.887522499 0 30.939636562 3.835999506 3.352401035 8.285796605 0.383375245 5.967025378 2.033148609 8.322444227 0 7.283998279 0.070636423 0 0.006301728 0.107923373 0 0 0.896533563 0 0.008639333 0 0.02236059 0.147617071 0 0 0.03110288 0.149240152 0.308480277 0 0.020234279 0.10739658 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0
"25x325" 0 0 28.877193364 8.91215498 3.670682531 38.525810502 18.853331369 11.000562096 0 0.665022091 26.492059493 1.687053985 2.945204846 0 2.629359595 4.655226451 20.259279355 4.106380169 1.428051606 4.594738354 1.190900753 12.027948028 1.953901958 0.665022091 2.103487496 7.847928614 2.111289322 10.73847 3.542979872 0 5.744470699 0 44.320461474 38.051769289 2.965575591 0 2.491250858 1.826197414 0 2.111289322 0.902172944 1.577626571 3.230289237 0 6.6966598 2.850348147 1.190900753 5.822045238 4.953835643 36.317274953 0.525878662 2.995301021 1.190900753 33.928950538 1.428051606 2.995301021 14.080856112 19.045489848 1.567195035 0.950113999 15.163426768 10.570086013 8.761542953 21.39796194 0.950113999 2.232248479 0.525878662 0.525878662 0.665022091 0 2.666865104 3.32513831 2.212904337 1.577626571 88.75232755 0 0 19.987615825 22.462829354 3.670682531 0 1.428051606 4.237701699 0 1.826197414 0.525878662 2.232248479 2.280189534 0.525878662 4.425872822 1.161175323 13.870692694 3.294381686 20.986344618 9.805860854 1.475992661 2.738801894 1.855954197 10.321956816 7.905798221 1.995090847 1.161175323 4.810038665 0 4.843354835 0 0 3.610189127 1.687053985 12.760093059 0 1.716751105 1.567195035 1.475992661 12.823200447 0 0.902172944 0 0 14.677524908 5.435371047 19.145877431 5.909621538 4.631236431 1.190900753 17.122790276 3.471083508 1.051729014 0 0.665022091 5.744470699 7.794933906 1.330075535 0 38.778821073 0.183575974 0.003406477 0.187480273 0.104927821 0 0 0.029134174 0 0.022410733 0 0.035057708 0.003952349 0 0.053169457 0.25756743 0.12349538 0.019013177 0.099940781 0.107347678 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25x375" 0 0 1.869283774 23.939567081 5.551570114 1.710300617 4.126337454 4.527933171 0 0 22.725309342 9.294375367 0 1.336236952 0.78945178 7.070178422 39.619965831 2.111938609 6.645144599 3.191690645 3.967396032 1.578873266 1.952967225 0.546785172 1.322486829 4.444266772 0.78945178 10.405888071 0.775701657 0.387841916 8.598073933 0 17.040401607 4.251347701 0.934627088 0.546785172 0 8.573725668 0.934627088 0.387841916 0 1.177293696 2.125658438 1.336236952 7.457917069 3.302921153 1.322486829 12.730179364 1.481424033 8.934163095 6.098361032 1.869283774 0.78945178 25.989407114 0.546785172 1.724078868 20.675043542 19.746975724 0.934627088 0 12.261437694 7.492785571 6.723559516 23.954343592 0 1.322486829 0.387841916 1.093582117 0.546785172 0 0.78945178 1.710300617 1.710300617 0 3.116506931 0 3.13022303 11.046077085 16.143742956 39.144023666 0.934627088 5.233718552 9.256115313 4.770563911 0 0 2.901360095 0 0 7.019200667 1.710300617 26.032681735 1.640340881 26.162414605 7.248122487 0.387841916 2.887586716 0 2.728657607 1.481424033 8.406420948 0.546785172 1.322486829 1.710300617 12.710742277 0.546785172 1.177293696 1.578873266 7.250059463 12.504045614 0.546785172 3.461876182 1.163515445 0.934627088 41.75654524 0 0 0.78945178 0.78945178 5.546269298 0 3.994915804 3.143995722 0 0 24.220068268 0.934627088 0.78945178 0.387841916 0.387841916 9.144937532 2.887586716 2.756135981 0 1.578873266 0.260296901 0.054902438 0 0.059657786 0 0.008105277 0 0.002304246 0 0 0 0.217052458 0.52186141 0 0.295027301 0.061778541 0 0 0 0.000718135 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"25x425" 0 0 19.256739607 9.782796268 0.707497199 29.25519804 5.293032491 0.585148668 0 0 8.983126961 0.585148668 2.358341059 0 0 0 6.75151478 4.218467834 0 5.018152358 2.231595436 1.524055917 1.825504176 0.585148668 0.938903438 31.313389038 1.773192391 3.537535126 0 0 1.877798346 0 15.26340609 13.351102788 0 0 0 2.353938555 0 0 0.886600738 7.428882505 0.585148668 0.938903438 0 1.471749406 1.524055917 4.99603311 3.987110825 55.174182034 0 1.170301147 0 6.109607716 1.825504176 0 1.524055917 16.973106166 0 0.35375477 3.510970635 11.608233839 5.74262408 13.541032003 1.061294289 0.938903438 0 0.585148668 0.585148668 0 0.585148668 11.362138987 0 0.35375477 32.203477157 1.170301147 0.585148668 2.816791654 4.589984045 5.240693065 0 2.995852873 5.921685299 1.646442957 2.340642485 0 0.938903438 0 0.886600738 1.292645867 0 13.21492967 6.98294646 14.669724066 5.489921311 0 1.646442957 0.886600738 2.816791654 4.607718963 7.581362553 1.947895027 2.000164599 0.35375477 0.886600738 0 0 1.170301147 2.830099003 6.16636126 1.773192391 0 0.585148668 3.227243223 2.358341059 0 0 0 0.35375477 5.585638844 8.511390744 12.092908489 0 13.81148111 6.197357434 13.010064874 1.170301147 13.008198985 1.755497365 3.244970976 3.118196174 5.603304837 0.886600738 0.35375477 4.43300369 0 0.075343215 0 0.058327641 0 0.014298072 0 0.053227039 0.000760971 0.007662044 0.090500829 0 0.605699022 1.519589268 0.067905935 1.263102335 0.305870166 0 0 0.217368332 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25x475" 0.752507963 0.339553304 0.339553304 4.148025327 1.358196552 3.01005196 10.553497471 5.432799273 0 0.679113294 7.277372531 0 0 2.110704515 7.470128519 0.339553304 16.912568102 1.431621257 3.955281253 1.844566396 1.431621257 1.431621257 0.339553304 0.339553304 1.092061267 5.120751507 0.679113294 13.636917786 2.037316154 0 5.047368114 0.752507963 7.350805891 5.240013274 2.110704515 0 0 3.468886986 0 0 0 0.339553304 0.679113294 0.339553304 0 0 1.018645231 4.753736912 4.827086754 51.75582224 0.752507963 1.431621257 0 19.337047523 0.752507963 1.018645231 9.800994476 10.140603366 0.752507963 0 5.240013274 3.881849332 9.342160436 8.369349439 0 0 0.339553304 0.679113294 0.339553304 0 0 4.102108259 0.339553304 0.339553304 2.523658323 0 0.339553304 7.956449509 10.480180479 2.037316154 0.339553304 1.358196552 3.808433751 0.339553304 0.752507963 1.018645231 1.018645231 2.110704515 0.339553304 2.450247395 1.358196552 15.454230345 0.339553304 15.939833898 5.09326407 0 1.358196552 0 5.579591883 0.339553304 2.184126386 7.525110168 2.110704515 0 9.149502133 0.679113294 0.679113294 29.685451744 0.339553304 12.012693234 0 0.679113294 2.450247395 1.844566396 2.863209644 0 0.339553304 0 0.752507963 3.689165254 5.09326407 1.018645231 6.552373086 0 0 19.777303622 0 1.018645231 0.339553304 0.339553304 3.881849332 1.431621257 0 0 0 0 0 0 0.072006777 0 0 0 0 0 0 0.010178218 0 0.381369937 0 0.136443895 0.024938956 0.042427836 0 0 0.044431592 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
