coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,Endothelial1,Ambiguouscells,Endothelial1cells
0x0,0.0,0.597533596,1.792608143,1.195078217,4.813664962,0.0,1.792608143,2.987769065,0.0,0.0,8.996531194,3.5853237,1.792608143,0.597533596,0.0,0.597533596,10.175017337,5.975414182,0.597533596,7.801434027,0.0,6.008743179,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,10.772521140999999,1.195078217,0.0,0.0,0.0,8.382240550999999,0.0,2.406826369,2.406826369,0.0,7.81806703,0.0,1.195078217,19.25349607,0.597533596,11.984190654999999,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,42.113024807,6.606273105,1.195078217,0.0,1.792608143,0.0,0.0,0.0,0.0,3.004359965,0.0,2.406826369,0.0,17.429642905,0.0,7.220533434,16.832032315,13.163920629,18.043507376999997,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,4.780428052,0.0,10.15835052,6.008743179,8.96322642,2.390158475,0.597533596,0.597533596,0.0,0.0,2.406826369,2.390158475,30.076413467,1.792608143,0.0,0.0,0.0,14.44187384,7.203823437,1.195078217,0.0,1.792608143,1.195078217,26.356382024000002,0.0,0.0,0.0,26.472615,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,4.780428052,0.0,5.377933695,1.792608143,0.0,5.377933695,1.792608143,0.0,2.987769065,0.0,0.066001952,0.0,0.000155517,0.018166559,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.06299201,0.0,0.066470876,0.006154792,0.5542535749999999,0.0,0.0,0.071112284,1.0,1.0,[0],[0]
1x1,1.291870106,0.597533596,5.668229828,2.486948323,0.0,0.0,1.792608143,6.863390750000001,0.0,0.0,5.4747363380000005,3.5853237,3.084478249,0.597533596,0.0,0.597533596,9.060061074,5.975414182,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,3.084478249,0.0,1.195078217,0.597533596,8.365694772,2.486948323,0.0,0.0,0.0,9.851035867,0.0,0.0,0.0,0.0,3.181220008,0.0,1.195078217,23.25492857,0.597533596,7.170525693,2.987769065,3.181220008,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,4.973844887,0.597533596,0.597533596,3.5853237,33.491686737,1.792608143,1.195078217,0.0,1.792608143,1.291870106,1.291870106,0.0,1.291870106,0.597533596,0.0,0.0,1.291870106,5.571455477000001,1.291870106,0.0,50.187931205,10.75709426,2.486948323,0.0,0.597533596,1.889403702,1.291870106,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,4.780428052,0.0,12.742036932000001,2.486948323,8.96322642,2.390158475,0.597533596,1.889403702,0.0,1.291870106,0.0,2.390158475,38.663112997000006,1.792608143,0.0,0.0,0.0,6.459333079,2.390158475,1.195078217,0.0,3.084478249,1.195078217,16.72964337,0.0,0.0,0.0,37.46803478,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,6.072298158000001,0.0,5.377933695,3.084478249,0.0,5.377933695,1.792608143,0.0,2.987769065,0.0,0.066001952,0.0,0.003280104,0.036245697,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.48600872,0.0,0.066470876,0.006154792,0.44646886900000005,0.0,0.0,0.071112284,1.0,1.0,[0],[1]
2x2,0.0,0.597533596,1.792608143,4.038163304,0.0,0.947690742,2.740298885,5.830854152000001,0.0,0.947690742,9.869076036,4.533014442,3.6880176760000003,0.597533596,0.0,6.2837434,21.037403288,5.975414182,0.597533596,4.883178598000001,0.947690742,3.0904877500000003,0.597533596,0.0,0.0,9.374242375,0.0,2.142768959,2.740298885,0.0,1.195078217,0.597533596,12.156516384,3.0904877500000003,0.0,0.0,0.0,6.9231049239999995,0.947690742,0.0,0.0,0.0,0.597533596,0.0,2.142768959,28.4306599,0.597533596,10.961347305,2.987769065,0.597533596,1.895409533,1.895409533,0.0,0.947690742,0.0,1.195078217,1.5452243380000001,6.180980087,0.597533596,0.597533596,4.533014442,23.941599656999998,2.740298885,6.881288021,0.0,1.792608143,4.738521327,0.0,0.0,0.0,1.5452243380000001,0.0,0.0,0.947690742,3.935459807,0.0,0.0,22.292743565,11.704785002000001,1.195078217,0.0,0.597533596,6.2837434,0.0,0.0,1.5452243380000001,1.792608143,0.597533596,0.0,0.947690742,0.0,9.518949379,0.0,11.106041262000002,1.195078217,8.96322642,7.128679802,0.597533596,0.597533596,0.0,3.790821612,0.0,2.390158475,13.514948637000002,1.792608143,0.0,0.0,0.0,14.2159825,6.180980087,3.0904877500000003,0.0,2.740298885,1.195078217,20.520464982,0.0,0.0,0.0,32.22002845,4.533014442,0.0,4.780428052,0.0,2.843085087,0.597533596,13.309706120000001,0.947690742,5.377933695,1.792608143,0.0,8.221018782,1.792608143,0.0,3.935459807,0.947690742,0.066001952,0.0253969,0.0,0.016766283,0.0,0.004078806,0.0,0.0,0.0,0.0,0.091292721,0.0,0.630970137,0.0,0.089780362,0.006154792,0.40136449,0.0,0.0,0.071112284,1.0,1.0,[0],[2]
3x3,0.0,0.597533596,1.792608143,1.195078217,0.0,1.762676287,1.792608143,13.564874805,0.0,0.0,14.759971972,8.873431813,1.792608143,0.597533596,0.0,0.597533596,7.768190968,7.738090468999999,2.360209883,2.987769065,0.0,2.957754504,2.360209883,3.525431547,0.0,3.55528443,0.0,6.48318633,1.792608143,0.0,1.195078217,2.360209883,20.703979992,1.195078217,0.0,0.0,0.0,13.026232017,1.762676287,0.0,0.0,0.0,2.360209883,0.0,2.957754504,15.86553025,0.597533596,7.170525693,6.513200612,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,2.390158475,0.597533596,0.597533596,7.110755247,11.772183957000001,1.792608143,1.195078217,0.0,1.792608143,1.762676287,0.0,0.0,0.0,0.597533596,1.762676287,0.0,0.0,13.564874805,0.0,1.762676287,14.728443695,12.519770547,17.060608467,0.0,2.360209883,2.360209883,0.0,0.0,0.597533596,3.55528443,0.597533596,0.0,0.0,1.762676287,6.543104339,1.762676287,20.73545626,1.195078217,8.96322642,4.1528347619999995,4.122965143,0.597533596,0.0,0.0,0.0,2.390158475,10.008489486,1.792608143,0.0,0.0,0.0,12.33828522,2.390158475,1.195078217,0.0,5.31803969,1.195078217,23.780461205,0.0,0.0,0.0,14.10080154,7.110755247,3.525431547,6.543104339,0.0,0.0,0.597533596,17.118713272,1.762676287,5.377933695,1.792608143,0.0,5.377933695,1.792608143,0.0,2.987769065,3.525431547,0.066001952,0.0,0.0,0.023981498,0.0,0.0,0.0,0.0,0.0,0.0,0.177928733,0.0,0.06299201,0.0,0.066470876,0.044328438,0.555095346,0.0,0.0,0.073059862,1.0,1.0,[0],[3]
4x4,0.0,0.597533596,4.248260139,3.650730213,0.0,1.227819495,1.792608143,2.987769065,0.0,0.0,5.410685727000001,3.5853237,1.792608143,1.8253530910000002,0.0,0.597533596,8.996010463,5.975414182,0.597533596,5.4434210610000004,0.0,6.106337377,0.597533596,0.0,0.0,1.792608143,0.0,2.422897712,3.020427638,0.0,2.422897712,0.597533596,9.593514267,4.87857256,0.0,0.0,0.0,7.203233677,0.0,0.0,0.0,0.0,1.8253530910000002,1.227819495,2.422897712,33.15073067,0.597533596,7.170525693,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,2.422897712,1.8253530910000002,2.390158475,0.597533596,0.597533596,3.5853237,47.849148387,1.792608143,2.422897712,0.0,1.792608143,18.41779894,0.0,0.0,0.0,0.597533596,1.227819495,0.0,0.0,9.126976485,0.0,1.227819495,45.364566315,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,1.227819495,0.0,4.780428052,0.0,12.614002516000001,1.195078217,8.96322642,2.390158475,3.0531855919999997,0.597533596,0.0,1.227819495,0.0,2.390158475,11.016890592000001,1.792608143,0.0,0.0,0.0,9.821812375,2.390158475,1.195078217,0.0,10.387498139,1.195078217,16.72964337,0.0,0.0,0.0,41.74644475,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,6.008247547000001,0.0,5.377933695,1.792608143,1.227819495,6.605753190000001,1.792608143,0.0,2.987769065,1.227819495,0.066001952,0.04174638,0.001746007,0.014857347,0.025491347,0.0,0.0,0.0,0.0,0.0,0.081697933,0.046094696,0.120744363,0.0,0.066470876,0.29719568900000004,0.37465490300000004,0.0,0.0,0.17128026200000002,1.0,1.0,[0],[4]
5x5,0.0,6.908060806,0.0,0.0,4.813664962,1.726967738,1.726967738,0.0,0.0,0.0,4.813664962,0.0,3.453997819,0.0,0.0,0.0,4.133794107,0.0,0.0,8.267662781,1.726967738,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,3.453997819,0.0,0.0,13.81494352,2.406826369,0.0,2.406826369,2.406826369,0.0,7.220533434,0.0,0.0,29.616679050000002,1.726967738,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,44.371944409,8.267662781,0.0,0.0,0.0,6.908060806,0.0,1.726967738,0.0,2.406826369,1.726967738,2.406826369,0.0,14.44187384,8.634961864,7.220533434,19.622891722,2.406826369,16.84842916,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,4.813664962,6.908060806,0.0,5.181017882,0.0,0.0,0.0,2.406826369,0.0,28.88133525,1.726967738,0.0,0.0,0.0,14.44187384,4.813664962,1.726967738,6.908060806,0.0,1.726967738,11.353706392,0.0,0.0,0.0,26.472615,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,3.453997819,0.003631538,0.089459274,0.027490318,0.041848666,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.09201851,0.0,0.016546384,0.036513589,0.677322202,0.0,0.019736348,0.0,1.0,1.0,[1],[0]
6x6,1.291870106,6.908060806,3.875621685,1.291870106,0.0,1.726967738,1.726967738,3.875621685,0.0,0.0,1.291870106,0.0,4.745867925,0.0,0.0,0.0,3.018837844,0.0,0.0,3.453997819,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,4.745867925,0.0,0.0,13.81494352,3.875621685,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,33.61811155,1.726967738,0.0,0.0,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3106541499999995,0.0,0.0,0.0,35.750606339,3.453997819,0.0,0.0,0.0,8.199930912,1.291870106,1.726967738,1.291870106,0.0,1.726967738,0.0,1.291870106,2.583686412,9.926831969999999,0.0,52.978790612,0.0,1.291870106,0.0,1.726967738,3.018837844,1.291870106,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,2.583686412,1.291870106,6.908060806,0.0,5.181017882,1.291870106,0.0,1.291870106,0.0,0.0,37.46803478,1.726967738,0.0,0.0,0.0,6.459333079,0.0,1.726967738,6.908060806,1.291870106,1.726967738,1.726967738,0.0,0.0,0.0,37.46803478,1.726967738,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,1.291870106,1.726967738,0.0,0.0,0.0,0.0,3.453997819,0.003631538,0.089459274,0.030614904999999998,0.059927804,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.51503522,0.0,0.016546384,0.036513589,0.569537496,0.0,0.019736348,0.0,1.0,1.0,[1],[1]
7x7,0.0,6.908060806,0.0,2.843085087,0.0,2.6746584799999997,2.6746584799999997,2.843085087,0.0,0.947690742,5.686209804,0.947690742,5.349407352,0.0,0.0,5.686209804,14.996180058,0.0,0.0,5.349407352,2.6746584799999997,1.895409533,0.0,0.0,0.0,7.581634232,0.0,0.947690742,0.947690742,0.0,0.0,0.0,3.790821612,5.349407352,0.0,0.0,13.81494352,0.947690742,0.947690742,0.0,0.0,0.0,0.0,0.0,0.947690742,38.79384288,1.726967738,3.790821612,0.0,0.0,1.895409533,1.895409533,0.0,0.947690742,0.0,0.0,0.947690742,5.517789349999999,0.0,0.0,0.947690742,26.200519259,4.401688561,5.686209804,0.0,0.0,11.646582132999999,0.0,1.726967738,0.0,0.947690742,1.726967738,0.0,0.947690742,0.947690742,8.634961864,0.0,25.083602971999998,0.947690742,0.0,0.0,1.726967738,7.413177542,0.0,0.0,4.401688561,1.726967738,1.726967738,0.0,0.947690742,0.0,4.738521327,0.0,0.947690742,0.0,6.908060806,4.738521327,5.181017882,0.0,0.0,3.790821612,0.0,0.0,12.31987042,1.726967738,0.0,0.0,0.0,14.2159825,3.790821612,3.622377271,6.908060806,0.947690742,1.726967738,5.517789349999999,0.0,0.0,0.0,32.22002845,2.6746584799999997,0.0,0.0,0.0,2.843085087,0.0,8.529278068,0.947690742,0.0,0.0,1.726967738,2.843085087,0.0,0.0,0.947690742,4.401688561,0.003631538,0.114856174,0.027334801,0.04044839,0.0,0.039869488999999994,0.0,0.0,0.0,0.0,0.10658057300000001,0.0,0.6599966370000001,0.0,0.03985587,0.036513589,0.5244331170000001,0.0,0.019736348,0.0,1.0,1.0,[1],[2]
8x8,0.0,6.908060806,0.0,0.0,0.0,3.4896440249999996,1.726967738,10.57710574,0.0,0.0,10.57710574,5.288108113,3.453997819,0.0,0.0,0.0,1.726967738,1.762676287,1.762676287,3.453997819,1.726967738,1.762676287,1.762676287,3.525431547,0.0,1.762676287,0.0,5.288108113,0.0,0.0,0.0,1.762676287,12.33828522,3.453997819,0.0,0.0,13.81494352,7.050817835,1.762676287,0.0,0.0,0.0,1.762676287,0.0,1.762676287,26.22871323,1.726967738,0.0,3.525431547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,3.525431547,14.031103559,3.453997819,0.0,0.0,0.0,8.670737093,0.0,1.726967738,0.0,0.0,3.4896440249999996,0.0,0.0,10.57710574,8.634961864,1.762676287,17.519303102,1.762676287,15.86553025,0.0,3.4896440249999996,3.4896440249999996,0.0,0.0,3.453997819,3.4896440249999996,1.726967738,0.0,0.0,1.762676287,1.762676287,1.762676287,10.57710574,0.0,6.908060806,1.762676287,8.706449429,0.0,0.0,0.0,0.0,0.0,8.813411269,1.726967738,0.0,0.0,0.0,12.33828522,0.0,1.726967738,6.908060806,3.525431547,1.726967738,8.777785573,0.0,0.0,0.0,14.10080154,5.252399285,3.525431547,1.762676287,0.0,0.0,0.0,12.33828522,1.762676287,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,6.979429366,0.003631538,0.089459274,0.027334801,0.047663605,0.0,0.035790683,0.0,0.0,0.0,0.0,0.193216585,0.0,0.09201851,0.0,0.016546384,0.07468723499999999,0.678163973,0.0,0.019736348,0.001947578,1.0,1.0,[1],[3]
9x9,0.0,6.908060806,2.455651996,2.455651996,0.0,2.9547872330000002,1.726967738,0.0,0.0,0.0,1.227819495,0.0,3.453997819,1.227819495,0.0,0.0,2.9547872330000002,0.0,0.0,5.909649815,1.726967738,4.91125916,0.0,0.0,0.0,0.0,0.0,1.227819495,1.227819495,0.0,1.227819495,0.0,1.227819495,7.137492162,0.0,0.0,13.81494352,1.227819495,0.0,0.0,0.0,0.0,1.227819495,1.227819495,1.227819495,43.51391365,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227819495,1.227819495,1.726967738,0.0,0.0,0.0,50.108067989,3.453997819,1.227819495,0.0,0.0,25.325859746,0.0,1.726967738,0.0,0.0,2.9547872330000002,0.0,0.0,6.13920742,8.634961864,1.227819495,48.155425722,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,1.227819495,0.0,0.0,0.0,2.455651996,0.0,6.908060806,0.0,7.636669877999999,0.0,0.0,1.227819495,0.0,0.0,9.821812375,1.726967738,0.0,0.0,0.0,9.821812375,0.0,1.726967738,6.908060806,8.594889996,1.726967738,1.726967738,0.0,0.0,0.0,41.74644475,1.726967738,0.0,0.0,0.0,0.0,0.0,1.227819495,0.0,0.0,0.0,2.9547872330000002,1.227819495,0.0,0.0,0.0,4.681817314,0.003631538,0.131205654,0.029080808,0.038539454,0.025491347,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.046094696,0.149770863,0.0,0.016546384,0.32755448600000003,0.49772353,0.0,0.019736348,0.100167978,1.0,1.0,[1],[4]
10x10,0.0,0.0,0.0,0.0,4.813664962,18.43121692,0.0,3.685975353,0.0,0.0,4.813664962,0.0,0.0,0.0,0.0,3.685975353,2.406826369,0.0,0.0,4.813664962,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.465512739000001,3.685975353,0.0,0.0,3.685975353,2.406826369,0.0,2.406826369,6.092801722,0.0,7.220533434,0.0,0.0,19.25349607,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05868637,0.0,0.0,0.0,0.0,0.0,44.603921943,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.092801722,0.0,2.406826369,0.0,14.44187384,0.0,7.220533434,25.50056021,2.406826369,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.685975353,8.499640315,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,28.88133525,0.0,0.0,0.0,0.0,14.44187384,4.813664962,0.0,0.0,25.80402412,0.0,9.626738654,0.0,0.0,0.0,30.158590353,3.685975353,0.0,7.371822272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.48596874,0.009705217,0.0,0.013197631000000001,0.037481746999999996,0.0,0.0,0.512899224,0.0,0.0,0.0,0.0,0.0,0.240043728,0.0,0.0,0.0,0.507301631,0.0,0.0,0.0,1.0,1.0,[2],[0]
11x11,1.291870106,0.0,3.875621685,1.291870106,0.0,18.43121692,0.0,7.561597038,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,3.685975353,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,11.05868637,4.977845459,0.0,0.0,3.685975353,3.875621685,0.0,0.0,3.685975353,0.0,2.583686412,0.0,0.0,23.25492857,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,0.0,0.0,11.05868637,0.0,2.583686412,0.0,0.0,0.0,35.982583872999996,0.0,0.0,0.0,0.0,1.291870106,1.291870106,0.0,1.291870106,3.685975353,0.0,0.0,1.291870106,2.583686412,1.291870106,0.0,58.856459099999995,0.0,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.269661765,4.977845459,0.0,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,6.459333079,0.0,0.0,0.0,27.095894226000002,0.0,0.0,0.0,0.0,0.0,41.154010133,3.685975353,0.0,7.371822272,0.0,0.0,0.0,1.291870106,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,29.48596874,0.009705217,0.0,0.016322218,0.055560885,0.0,0.0,0.512899224,0.0,0.0,0.0,0.0,0.0,0.663060438,0.0,0.0,0.0,0.399516925,0.0,0.0,0.0,1.0,1.0,[2],[1]
