coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,Endothelial2,Ambiguouscells
0x0,0.690985953,1.9795239580000001,15.959619083000002,4.304587823,0.34548853,8.982975379,3.8655900269999997,4.369759427,0.0,0.0,8.67435374,3.5853237,10.084625235,0.597533596,0.0,0.597533596,11.223111895999999,6.666400135,0.597533596,4.369759427,0.0,2.922548328,0.597533596,0.34548853,0.34548853,3.520078254,0.0,4.304587823,2.138096673,0.34548853,2.231557517,0.597533596,12.166123210999999,8.450513934,0.0,0.0,0.34548853,5.975414182,0.0,0.0,0.690985953,0.0,1.9795239580000001,0.34548853,1.195078217,5.182441277,0.597533596,7.170525693,4.715239176,11.653443676,0.0,0.0,0.0,0.34548853,0.0,1.195078217,1.288519549,3.7721488369999996,0.597533596,0.597533596,3.5853237,13.979863317000001,3.174598505,1.5405667470000002,0.0,2.138096673,1.0364793,0.34548853,0.0,1.381990362,1.6340128960000002,4.146002585,0.0,0.0,24.754464615000003,6.909881914,0.0,8.609041424,12.139084622,1.195078217,0.34548853,3.3615369349999997,0.597533596,1.0364793,0.34548853,0.597533596,2.483594096,0.597533596,1.0364793,0.690985953,0.0,5.471414005000001,1.0364793,13.613271448,1.88606417,22.43760742,2.390158475,3.015989641,3.015989641,1.381990362,0.0,0.0,3.081144428,41.968495087,4.902117749,0.34548853,0.0,0.690985953,1.0364793,3.4266377749999997,1.5405667470000002,0.34548853,3.174598505,1.5405667470000002,16.72964337,0.0,0.34548853,0.690985953,14.50957867,5.658305584,4.491487508,7.544431391,0.34548853,0.34548853,1.288519549,5.471414005000001,1.0364793,6.0689196480000005,2.829087443,2.072981884,6.0689196480000005,2.138096673,0.0,2.987769065,3.109509606,0.066001952,0.0,0.013269103,0.035607609,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.394917713,0.0,0.066470876,0.006154792,0.26782778,0.0,0.0,0.071112284,1.0,1.0,[0]
1x1,0.0,3.197347085,3.092513686,1.195078217,0.0,1.299905543,3.092513686,4.287674608,0.0,0.0,11.982406844,3.5853237,12.192480803,1.8974391389999998,0.0,0.597533596,9.068096511,7.275319724999999,0.597533596,8.187459433,1.299905543,2.49498376,0.597533596,0.0,0.0,1.792608143,1.299905543,1.195078217,6.9922985109999996,0.0,1.195078217,0.597533596,8.365694772,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,0.0,3.197347085,0.0,1.195078217,0.0,0.597533596,7.170525693,2.987769065,1.8974391389999998,0.0,0.0,0.0,5.199690368,0.0,1.195078217,1.8974391389999998,2.390158475,1.8974391389999998,0.597533596,3.5853237,5.094896795,3.092513686,1.195078217,0.0,1.792608143,0.0,2.599813489,0.0,0.0,7.097166399,2.599813489,0.0,0.0,8.187459433,0.0,0.0,2.390158475,12.056999803,2.49498376,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,4.3924216320000005,0.597533596,0.0,0.0,0.0,4.780428052,0.0,10.15835052,1.195078217,83.05632066999999,2.390158475,1.8974391389999998,3.197347085,0.0,0.0,0.0,2.390158475,23.294441017,4.3924216320000005,0.0,0.0,0.0,0.0,2.390158475,1.195078217,2.599813489,17.392298993,1.195078217,16.72964337,0.0,0.0,0.0,0.0,4.8852292429999995,0.0,6.080333595000001,0.0,0.0,0.597533596,4.780428052,0.0,5.377933695,1.792608143,5.199690368,6.677839238000001,1.792608143,0.0,2.987769065,0.0,0.066001952,0.044039668,0.005541733,0.014857347,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.081697933,0.0,0.780781732,0.0,0.066470876,0.006154792,0.249044755,0.0,0.0,0.071112284,1.0,1.0,[1]
2x2,0.0,4.480795304,4.381496925,3.7839669990000004,0.0,0.0,5.675869851,5.576657847,1.294457406,0.0,6.771755014,3.5853237,17.327448263,0.597533596,0.0,0.597533596,9.062648374,5.975414182,1.8919910020000001,13.343105345,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,2.489535623,1.792608143,0.0,1.195078217,0.597533596,8.365694772,1.195078217,0.0,0.0,0.0,8.564302964,0.0,0.0,0.0,0.0,12.247809565999999,0.0,1.195078217,1.294457406,0.597533596,9.759414475,4.282226471,9.657580371,0.0,1.294457406,1.294457406,1.294457406,0.0,1.195078217,0.597533596,10.156734431,0.597533596,0.597533596,3.5853237,16.729918337,1.792608143,3.7839669990000004,0.0,1.792608143,3.883261708,0.0,0.0,2.588888782,3.186422378,2.588888782,0.0,0.0,9.459995086,29.77513736,0.0,3.684615881,10.75709426,1.195078217,0.0,3.186422378,1.8919910020000001,0.0,0.0,0.597533596,3.087065549,3.186422378,0.0,0.0,0.0,4.780428052,0.0,12.747239302,2.489535623,47.79228121,6.273420183,3.186422378,0.597533596,1.294457406,3.883261708,0.0,2.390158475,63.334412707000006,1.792608143,0.0,0.0,1.294457406,0.0,2.390158475,1.195078217,0.0,1.792608143,1.195078217,16.72964337,0.0,0.0,0.0,0.0,3.5853237,0.0,11.252654073,0.0,0.0,0.597533596,8.66368976,1.294457406,5.377933695,3.087065549,2.588888782,5.377933695,1.792608143,0.0,2.987769065,5.177745315,0.066001952,0.025621225,0.0,0.047392865,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.081697933,0.0,1.078664646,0.0,0.066470876,0.006154792,0.249044755,0.0,0.0,0.071112284,1.0,1.0,[2]
3x3,0.0,0.597533596,2.633888839,3.7189492040000003,0.0,2.523870987,4.31647913,3.8290497610000003,0.0,0.0,7.548024554,3.5853237,22.826945783,0.597533596,0.0,1.438814292,9.450754399,6.816694878,0.597533596,3.8290497610000003,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.841280696,1.195078217,1.792608143,0.0,1.195078217,0.597533596,10.889565759,3.7189492040000003,0.0,0.0,0.0,6.816694878,0.0,0.0,0.0,0.0,3.962691918,0.0,1.195078217,0.0,1.438814292,7.170525693,2.987769065,1.438814292,0.841280696,0.0,0.841280696,0.0,0.0,1.195078217,0.597533596,4.914029462,0.597533596,0.597533596,3.5853237,7.925265217,2.633888839,1.195078217,0.0,2.633888839,0.0,0.0,0.0,0.0,3.121404583,3.365158322,0.0,0.841280696,13.924901165,0.841280696,0.0,4.914029462,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,1.438814292,0.0,0.0,0.0,5.6217087480000005,0.0,10.999631216000001,1.195078217,46.82297622,2.390158475,9.010358931999999,1.438814292,0.0,0.0,0.0,2.390158475,16.338663787,5.157766465,0.0,0.0,0.841280696,0.841280696,4.914029462,2.036358913,0.841280696,4.31647913,1.195078217,17.570924066,0.0,0.0,0.0,1.682563431,3.5853237,0.841280696,4.780428052,0.0,0.0,0.597533596,4.780428052,0.0,6.219214391,3.475171574,0.0,5.377933695,2.633888839,0.0,2.987769065,0.841280696,0.066001952,0.033536932,0.037253717,0.066920959,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.081697933,0.0,1.168078771,0.0,0.066470876,0.006154792,0.249044755,0.0,0.009163188,0.071112284,1.0,1.0,[3]
4x4,0.628845904,2.48408968,6.194551177,4.339366901,0.0,5.659628451,2.421454047,4.245488648,0.0,0.0,6.698308741,3.5853237,20.658130993,1.2263795,0.0,0.597533596,9.025910550999999,6.604260086,1.2263795,4.874325149000001,0.0,5.597021251,1.2263795,0.0,0.0,2.421454047,0.0,1.195078217,4.936896827,0.0,1.195078217,0.597533596,10.252250856,7.4836091279999994,0.0,0.628845904,1.886556084,5.975414182,0.0,1.257719583,0.628845904,0.628845904,1.2263795,0.0,1.195078217,22.63741608,1.2263795,7.799371597,3.616614969,7.514886438,0.0,0.0,0.0,1.886556084,0.0,1.8239241210000001,0.597533596,6.792101509,0.597533596,0.597533596,4.843043283,11.256221037000001,4.308050652,4.968172356,0.0,1.792608143,2.515442509,0.0,0.0,6.288530911,5.628404054,0.0,0.0,0.0,21.853291915,28.9295371,1.257719583,11.194083920999999,11.385940164,1.8239241210000001,0.0,6.257162047,1.855253179,0.0,0.0,0.597533596,1.792608143,1.2263795,0.0,0.628845904,0.628845904,7.295870561000001,0.0,11.416070103000001,2.4527978,21.54010706,4.276714559,5.628404054,0.597533596,1.886556084,1.257719583,0.0,2.390158475,86.096430367,10.596533589,0.0,0.628845904,0.0,0.628845904,3.647878058,1.8239241210000001,0.628845904,3.6791642270000002,1.8239241210000001,16.72964337,0.0,0.0,0.628845904,3.773094139,6.100766209,1.257719583,6.0381476350000005,0.0,0.0,0.597533596,4.780428052,0.628845904,5.377933695,2.421454047,3.773094139,5.377933695,3.050327726,0.0,2.987769065,2.515442509,0.066001952,0.019814776,0.0,0.063416655,0.0,0.0,0.0,0.032514121,0.0,0.0,0.081697933,0.0,0.8316750039999999,0.0,0.095083855,0.015173224999999999,0.249044755,0.0,0.0,0.071112284,1.0,1.0,[4]
5x5,0.690985953,8.290051168,14.16701094,3.109509606,0.34548853,10.709943117000002,3.7999496219999997,1.381990362,0.0,0.0,4.491487508,0.0,11.746014911,0.0,0.0,0.0,5.181888666,0.690985953,0.0,4.835988181,1.726967738,1.727470111,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,3.800428439,10.709433536,0.0,0.0,14.16043205,0.0,0.0,0.0,0.690985953,0.0,1.381990362,0.34548853,0.0,15.545624257,1.726967738,0.0,1.727470111,11.05591008,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,3.1089580999999997,0.0,0.0,0.0,16.238782919000002,4.835988181,0.34548853,0.0,0.34548853,7.944540106,0.34548853,1.726967738,1.381990362,1.0364793,5.872970323,0.0,0.0,21.76669555,15.544843777999999,0.0,11.399900831,1.381990362,0.0,0.34548853,4.490971076999999,1.726967738,1.0364793,0.34548853,3.453997819,2.417953691,1.726967738,1.0364793,0.690985953,0.0,0.690985953,1.0364793,3.454920928,0.690985953,20.382441806,0.0,7.599473927,2.418456045,1.381990362,0.0,0.0,0.690985953,40.77341687,4.836477344,0.34548853,0.0,0.690985953,1.0364793,1.0364793,2.072456268,7.253549336,1.381990362,2.072456268,1.726967738,0.0,0.34548853,0.690985953,14.50957867,3.7999496219999997,4.491487508,2.764003339,0.34548853,0.34548853,0.690985953,0.690985953,1.0364793,0.690985953,1.0364793,3.7999496219999997,0.690985953,0.34548853,0.0,0.0,6.563507425,0.003631538,0.089459274,0.040603903999999996,0.059289716,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.423944213,0.0,0.016546384,0.036513589,0.390896407,0.0,0.019736348,0.0,1.0,1.0,[0]
6x6,0.0,9.507874295,1.299905543,0.0,0.0,3.026873281,3.026873281,1.299905543,0.0,0.0,7.799540612,0.0,13.853870479,1.299905543,0.0,0.0,3.026873281,1.299905543,0.0,8.653688187,3.026873281,1.299905543,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,10.36318298,1.726967738,0.0,0.0,1.299905543,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,1.726967738,1.299905543,0.0,0.0,7.353816397,4.753903362,0.0,0.0,0.0,6.908060806,2.599813489,1.726967738,0.0,6.499632803,4.326781227,0.0,0.0,5.199690368,8.634961864,0.0,5.181017882,1.299905543,1.299905543,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,4.326781227,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.00115505599999,0.0,6.480923425,2.599813489,0.0,0.0,0.0,0.0,22.0993628,4.326781227,0.0,0.0,0.0,0.0,0.0,1.726967738,9.507874295,15.59969085,1.726967738,1.726967738,0.0,0.0,0.0,0.0,3.026873281,0.0,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.926658106,1.299905543,0.0,0.0,0.0,3.453997819,0.003631538,0.133498942,0.032876534,0.038539454,0.0,0.068000535,0.0,0.119185307,0.0,0.0,0.096985785,0.0,0.809808232,0.0,0.016546384,0.036513589,0.372113382,0.0,0.019736348,0.0,1.0,1.0,[1]
7x7,0.0,10.791322514,2.588888782,2.588888782,0.0,1.726967738,5.610229446,2.588888782,1.294457406,0.0,2.588888782,0.0,18.988837939,0.0,0.0,0.0,3.021425144,0.0,1.294457406,13.809334098999999,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,1.294457406,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,13.81494352,2.588888782,0.0,0.0,0.0,0.0,11.65027597,0.0,0.0,11.657640385999999,1.726967738,2.588888782,1.294457406,9.060046775,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,9.493543694,0.0,0.0,0.0,18.988837939,3.453997819,2.588888782,0.0,0.0,10.791322514,0.0,1.726967738,2.588888782,2.588888782,4.3158565200000005,0.0,0.0,6.472226021,38.410099224,0.0,6.475475288,0.0,0.0,0.0,4.3158565200000005,3.021425144,0.0,0.0,3.453997819,3.021425144,4.3158565200000005,0.0,0.0,0.0,0.0,0.0,2.588888782,1.294457406,45.737115596,3.883261708,7.7699066640000005,0.0,1.294457406,3.883261708,0.0,0.0,62.13933449,1.726967738,0.0,0.0,1.294457406,0.0,0.0,1.726967738,6.908060806,0.0,1.726967738,1.726967738,0.0,0.0,0.0,0.0,1.726967738,0.0,6.472226021,0.0,0.0,0.0,3.883261708,1.294457406,0.0,1.294457406,4.3158565200000005,0.0,0.0,0.0,0.0,8.631743134,0.003631538,0.115080499,0.027334801,0.071074972,0.0,0.055771959999999995,0.0,0.13991377,0.0,0.0,0.096985785,0.0,1.1076911459999998,0.0,0.016546384,0.036513589,0.372113382,0.0,0.019736348,0.0,1.0,1.0,[2]
8x8,0.0,6.908060806,0.841280696,2.523870987,0.0,4.2508387249999995,4.2508387249999995,0.841280696,0.0,0.0,3.365158322,0.0,24.488335459,0.0,0.0,0.841280696,3.409531169,0.841280696,0.0,4.295278515,1.726967738,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.0,0.0,2.523870987,5.977868806,0.0,0.0,13.81494352,0.841280696,0.0,0.0,0.0,0.0,3.365158322,0.0,0.0,10.36318298,2.568248434,0.0,0.0,0.841280696,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,4.2508387249999995,0.0,0.0,0.0,10.184184819,4.295278515,0.0,0.0,0.841280696,6.908060806,0.0,1.726967738,0.0,2.523870987,5.09212606,0.0,0.841280696,10.9371321,9.47624256,0.0,7.7048888689999995,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,2.568248434,0.0,0.0,0.0,0.841280696,0.0,0.841280696,0.0,44.767810606000005,0.0,13.593843218,0.841280696,0.0,0.0,0.0,0.0,15.14358557,5.09212606,0.0,0.0,0.841280696,0.841280696,2.523870987,2.568248434,7.749341502,2.523870987,1.726967738,2.568248434,0.0,0.0,0.0,1.682563431,1.726967738,0.841280696,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,1.682563431,1.726967738,0.0,0.841280696,0.0,0.0,4.295278515,0.003631538,0.122996206,0.064588518,0.09060306600000001,0.0,0.087023718,0.0,0.157436037,0.0,0.0,0.096985785,0.0,1.1971052709999999,0.0,0.016546384,0.036513589,0.372113382,0.0,0.028899536,0.0,1.0,1.0,[3]
9x9,0.628845904,8.79461689,4.401943034,3.144288684,0.0,7.386596189,2.3558136419999998,1.257719583,0.0,0.0,2.515442509,0.0,22.319520669000003,0.628845904,0.0,0.0,2.984687321,0.628845904,0.628845904,5.340553903,1.726967738,4.401943034,0.628845904,0.0,0.0,0.628845904,0.0,0.0,3.144288684,0.0,0.0,0.0,1.886556084,9.74252873,0.0,0.628845904,15.701499604,0.0,0.0,1.257719583,0.628845904,0.628845904,0.628845904,0.0,0.0,33.00059906,2.3558136419999998,0.628845904,0.628845904,6.917352842,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,6.128910772,0.0,0.0,1.257719583,13.515140639,5.969440328,3.773094139,0.0,0.0,9.423503315,0.0,1.726967738,6.288530911,5.030870458,1.726967738,0.0,0.0,18.86552285,37.564498964,1.257719583,13.984943328,0.628845904,0.628845904,0.0,7.386596189,2.984687321,0.0,0.0,3.453997819,1.726967738,2.3558136419999998,0.0,0.628845904,0.628845904,2.515442509,0.0,1.257719583,1.257719583,19.484941446,1.886556084,10.21188834,0.0,1.886556084,1.257719583,0.0,0.0,84.90135215,10.530893184,0.0,0.628845904,0.0,0.628845904,1.257719583,2.3558136419999998,7.53690671,1.886556084,2.3558136419999998,1.726967738,0.0,0.0,0.628845904,3.773094139,4.2424102470000005,1.257719583,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.0,0.628845904,5.500061877,0.0,1.257719583,0.0,0.0,5.969440328,0.003631538,0.10927405000000001,0.027334801,0.087098762,0.0,0.035790683,0.0,0.032514121,0.0,0.0,0.096985785,0.0,0.8607015039999999,0.0,0.045159363,0.045532022,0.372113382,0.0,0.019736348,0.0,1.0,1.0,[4]
