coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,Endothelial3,Ambiguous Endothelial3
0x0,1.448612149,3.494799159,3.241220292,1.195078217,0.0,0.0,1.792608143,2.987769065,0.0,0.0,7.080131795,3.5853237,1.792608143,0.597533596,0.0,2.046145745,7.768190968,5.975414182,0.597533596,4.436381214,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,1.195078217,0.0,0.0,1.448612149,5.975414182,0.0,0.0,0.0,0.0,4.943423372,0.0,1.195078217,10.14037987,0.597533596,7.170525693,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,3.8387706239999995,0.597533596,0.597533596,3.5853237,6.989617282999999,3.241220292,2.643690366,0.0,1.792608143,0.0,0.0,0.0,0.0,0.597533596,0.0,0.0,0.0,8.782308131,15.93557709,0.0,16.874758794999998,10.75709426,1.195078217,0.0,0.597533596,0.597533596,1.448612149,0.0,0.597533596,1.792608143,0.597533596,1.448612149,0.0,0.0,9.126317828000001,0.0,13.055616083,1.195078217,8.96322642,2.390158475,0.597533596,2.046145745,0.0,0.0,0.0,2.390158475,124.331722117,1.792608143,0.0,0.0,1.448612149,4.345889776,2.390158475,1.195078217,0.0,1.792608143,2.643690366,16.72964337,0.0,0.0,0.0,0.0,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,4.780428052,0.0,5.377933695,1.792608143,0.0,5.377933695,3.241220292,0.0,2.987769065,4.345889776,0.074203825,0.0,0.025257606,0.053069241,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.250181382,0.0,0.066470876,0.006154792,0.468042774,0.0,0.0,0.071112284,1.0,1.0,"[[0], [0]]"
1x1,2.032145239,1.274907955,3.147386307,3.227223456,0.0,2.032145239,3.824753382,3.665143424,0.0,0.0,4.860240591,4.940101864,1.792608143,1.274907955,0.0,6.693964851,13.187229756,6.652788541,1.9523117600000002,3.665143424,3.386922882,3.904617718,0.597533596,0.0,0.0,1.792608143,0.0,3.904617718,2.469982502,0.0,1.195078217,1.9523117600000002,9.043069131,3.904617718,0.0,0.0,2.032145239,6.652788541,0.0,0.677374359,0.677374359,0.0,1.274907955,0.677374359,1.195078217,19.64429232,0.597533596,7.847900052,3.665143424,1.9523117600000002,0.0,0.677374359,0.0,5.419038788,0.677374359,1.8724525760000001,3.307073097,7.809197263,0.597533596,1.274907955,4.262698059,11.355998337,1.792608143,3.904617718,0.677374359,1.792608143,4.06430671,0.0,0.0,1.354778164,1.9523117600000002,4.741693427,0.0,0.0,8.406807853,0.0,0.0,11.196115825,12.111872424000001,1.8724525760000001,0.0,0.597533596,0.597533596,0.677374359,0.0,0.597533596,1.792608143,1.9523117600000002,0.0,0.677374359,1.354778164,6.8125732910000005,0.0,10.835724879,4.582001099,8.96322642,2.390158475,1.274907955,0.597533596,0.677374359,1.354778164,1.354778164,2.390158475,43.866768367000006,1.792608143,0.0,0.0,0.0,4.06430671,3.7449366389999996,1.195078217,1.354778164,5.856914853,2.549856381,18.084421534,0.0,0.0,0.0,21.67775192,3.5853237,0.0,4.780428052,0.0,1.354778164,0.597533596,4.780428052,0.0,6.055308054,1.792608143,0.0,6.055308054,1.792608143,0.0,3.665143424,0.0,0.148813802,0.0,0.0,0.014857347,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.06299201,0.0,0.066470876,0.006154792,0.301883842,0.246967114,0.0,0.071112284,1.0,1.0,"[[0], [1]]"
2x2,12.91874249,13.516276086,1.792608143,1.195078217,0.0,1.291975653,1.792608143,2.987769065,0.0,0.0,5.474841885,4.877299353,1.792608143,0.597533596,0.0,0.597533596,9.060166621,5.975414182,0.597533596,2.987769065,1.291975653,1.195078217,0.597533596,0.0,0.0,1.792608143,2.583933973,1.195078217,1.792608143,0.0,1.195078217,0.597533596,13.533632778,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,1.291975653,1.889509249,0.0,1.195078217,0.0,0.597533596,7.170525693,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,1.889509249,2.390158475,0.597533596,0.597533596,3.5853237,8.946930926,5.668566636,1.195078217,0.0,1.792608143,0.0,0.0,0.0,1.291975653,0.597533596,0.0,0.0,0.0,8.155707071,0.0,0.0,2.390158475,10.75709426,2.48705387,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,4.780428052,0.0,10.15835052,1.195078217,8.96322642,2.390158475,0.597533596,1.889509249,0.0,0.0,0.0,2.390158475,27.036159057,1.792608143,0.0,0.0,0.0,1.291975653,2.390158475,1.195078217,0.0,4.376542116,1.195078217,18.021619023000003,0.0,0.0,0.0,0.0,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,6.072403705,2.583933973,5.377933695,3.084583796,0.0,5.377933695,5.668566636,0.0,2.987769065,1.291975653,0.087714436,0.0,0.013472806,0.028935205,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.174746776,0.0,0.066470876,0.006154792,0.298681438,0.052916666,0.0,0.071112284,1.0,1.0,"[[0], [2]]"
3x3,5.100283239,8.248009485,3.067705574,2.470175648,1.275097431,0.0,1.792608143,2.987769065,0.0,0.0,11.833342121000001,3.5853237,3.067705574,0.597533596,0.0,0.597533596,10.318367918,7.250511613,0.597533596,5.537946015,2.55017695,3.745255167,1.8726310270000002,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,10.915871721999999,5.020330224,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,0.0,6.972838852,0.0,1.195078217,6.375305256,0.597533596,7.170525693,2.987769065,1.8726310270000002,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,6.295361456,1.792608143,1.195078217,0.0,1.792608143,1.275097431,0.0,0.0,1.275097431,0.597533596,0.0,0.0,0.0,17.012268095,14.02449903,0.0,11.315603768999999,10.75709426,1.195078217,0.0,3.147710546,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,7.330605002,0.0,10.15835052,1.195078217,14.063509659000001,2.390158475,0.597533596,1.8726310270000002,0.0,0.0,0.0,2.390158475,114.667270417,5.61786015,0.0,0.0,0.0,2.55017695,2.390158475,1.195078217,0.0,1.792608143,1.195078217,18.004740801,0.0,0.0,0.0,0.0,3.5853237,0.0,4.780428052,0.0,1.275097431,0.597533596,4.780428052,0.0,5.377933695,1.792608143,0.0,5.377933695,1.792608143,1.275097431,2.987769065,1.275097431,0.066001952,0.008373212,0.023082604,0.050292726,0.0,0.005364625,0.0,0.0,0.0,0.0,0.103378658,0.0,0.34428957299999996,0.0,0.066470876,0.037450001,0.314739931,0.006533653,0.0,0.071112284,1.0,1.0,"[[0], [3]]"
4x4,4.746454866,0.597533596,1.792608143,1.195078217,0.0,0.0,4.165869568,2.987769065,0.0,2.373261425,11.302566539,3.5853237,1.792608143,0.597533596,0.0,0.597533596,7.768190968,5.975414182,0.597533596,2.987769065,0.0,5.9415330829999995,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,10.738956197,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,2.373261425,0.0,2.970795021,0.0,1.195078217,33.22157552,0.597533596,7.170525693,2.987769065,0.597533596,0.0,2.373261425,0.0,0.0,0.0,1.195078217,2.970795021,2.390158475,0.597533596,0.597533596,5.958585125,17.806726346999998,1.792608143,10.688086121000001,0.0,1.792608143,7.119700307,0.0,0.0,0.0,2.970795021,0.0,0.0,0.0,7.734223931,0.0,2.373261425,14.254868455,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,4.780428052,0.0,10.15835052,1.195078217,8.96322642,2.390158475,0.597533596,7.7172339029999995,0.0,0.0,0.0,2.390158475,24.929399627,1.792608143,0.0,0.0,0.0,4.746454866,2.390158475,1.195078217,0.0,8.91230845,1.195078217,16.72964337,0.0,0.0,0.0,33.22157552,5.958585125,0.0,4.780428052,0.0,0.0,0.597533596,9.526882918,0.0,5.377933695,1.792608143,0.0,5.377933695,1.792608143,0.0,2.987769065,2.373261425,0.066001952,0.020032478,0.015588326,0.034311267,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.081697933,0.0,0.06299201,0.006760343,0.066470876,0.034095346,0.351830135,0.017149055,0.0,0.071112284,1.0,1.0,"[[0], [4]]"
5x5,1.448612149,9.805326369,1.448612149,0.0,0.0,1.726967738,1.726967738,0.0,0.0,0.0,2.897265563,0.0,3.453997819,0.0,0.0,1.448612149,1.726967738,0.0,0.0,4.902609968,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,15.263555669,0.0,0.0,0.0,0.0,0.0,4.345889776,0.0,0.0,20.50356285,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1755798869999996,0.0,0.0,0.0,9.248536885,4.902609968,1.448612149,0.0,0.0,6.908060806,0.0,1.726967738,0.0,0.0,1.726967738,0.0,0.0,5.794539066,24.570538954,0.0,19.665618202,0.0,0.0,0.0,1.726967738,1.726967738,1.448612149,0.0,3.453997819,1.726967738,1.726967738,1.448612149,0.0,0.0,4.345889776,0.0,2.897265563,0.0,6.908060806,0.0,5.181017882,1.448612149,0.0,0.0,0.0,0.0,123.1366439,1.726967738,0.0,0.0,1.448612149,4.345889776,0.0,1.726967738,6.908060806,0.0,3.1755798869999996,1.726967738,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,1.448612149,0.0,0.0,7.7998875949999995,0.011833411,0.089459274,0.052592406999999994,0.076751348,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.279207882,0.0,0.016546384,0.036513589,0.591111401,0.0,0.019736348,0.0,1.0,1.0,"[[1], [0]]"
6x6,2.032145239,7.585435165,1.354778164,2.032145239,0.0,3.759112977,3.759112977,0.677374359,0.0,0.0,0.677374359,1.354778164,3.453997819,0.677374359,0.0,6.096431255,7.146006526,0.677374359,1.354778164,4.131372178,5.113890619999999,2.709539501,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,6.16353732,0.0,0.0,15.847088759,0.677374359,0.0,0.677374359,0.677374359,0.0,0.677374359,0.677374359,0.0,30.007475300000003,1.726967738,0.677374359,0.677374359,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,7.146006526,0.0,0.677374359,0.677374359,13.614917939,3.453997819,2.709539501,0.677374359,0.0,10.972367516,0.0,1.726967738,1.354778164,1.354778164,6.468661165,0.0,0.0,5.419038788,8.634961864,0.0,13.986975231999999,1.354778164,0.677374359,0.0,1.726967738,1.726967738,0.677374359,0.0,3.453997819,1.726967738,3.0817459019999998,0.0,0.677374359,1.354778164,2.032145239,0.0,0.677374359,3.386922882,6.908060806,0.0,5.858392241,0.0,0.677374359,1.354778164,1.354778164,0.0,42.67169015,1.726967738,0.0,0.0,0.0,4.06430671,1.354778164,1.726967738,8.26283897,4.06430671,3.0817459019999998,3.0817459019999998,0.0,0.0,0.0,21.67775192,1.726967738,0.0,0.0,0.0,1.354778164,0.0,0.0,0.0,0.677374359,0.0,1.726967738,0.677374359,0.0,0.0,0.677374359,3.453997819,0.08644338800000001,0.089459274,0.027334801,0.038539454,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.09201851,0.0,0.016546384,0.036513589,0.424952469,0.246967114,0.019736348,0.0,1.0,1.0,"[[1], [1]]"
7x7,12.91874249,19.826803296,0.0,0.0,0.0,3.0189433909999996,1.726967738,0.0,0.0,0.0,1.291975653,1.291975653,3.453997819,0.0,0.0,0.0,3.0189433909999996,0.0,0.0,3.453997819,3.0189433909999996,0.0,0.0,0.0,0.0,0.0,2.583933973,0.0,0.0,0.0,0.0,0.0,5.167938006,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,1.291975653,1.291975653,0.0,0.0,10.36318298,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,1.726967738,0.0,0.0,0.0,11.205850528,7.329956312,0.0,0.0,0.0,6.908060806,0.0,1.726967738,1.291975653,0.0,1.726967738,0.0,0.0,5.167938006,8.634961864,0.0,5.181017882,0.0,1.291975653,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.908060806,0.0,5.181017882,1.291975653,0.0,0.0,0.0,0.0,25.84108084,1.726967738,0.0,0.0,0.0,1.291975653,0.0,1.726967738,6.908060806,2.583933973,1.726967738,3.0189433909999996,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,0.0,1.291975653,2.583933973,0.0,1.291975653,1.726967738,0.0,3.875958493,0.0,0.0,4.745973472,0.025344022,0.089459274,0.040807606999999996,0.052617312,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.203773276,0.0,0.016546384,0.036513589,0.421750065,0.052916666,0.019736348,0.0,1.0,1.0,"[[1], [2]]"
8x8,5.100283239,14.558536695,1.275097431,1.275097431,1.275097431,1.726967738,1.726967738,0.0,0.0,0.0,7.650475889,0.0,4.72909525,0.0,0.0,0.0,4.277144688,1.275097431,0.0,6.0041747690000005,4.277144688,2.55017695,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,7.279249826,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,0.0,6.375305256,0.0,0.0,16.738488236,1.726967738,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,8.554281058,3.453997819,0.0,0.0,0.0,8.183158237,0.0,1.726967738,1.275097431,0.0,1.726967738,0.0,0.0,14.02449903,22.659460894,0.0,14.106463175999998,0.0,0.0,0.0,4.277144688,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,2.55017695,0.0,0.0,0.0,12.008344045000001,0.0,5.181017882,1.275097431,0.0,0.0,0.0,0.0,113.4721922,5.552219745,0.0,0.0,0.0,2.55017695,0.0,1.726967738,6.908060806,0.0,1.726967738,3.0020651689999998,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,1.275097431,0.0,4.72909525,0.003631538,0.09783248600000001,0.050417405,0.073974833,0.0,0.041155307999999995,0.0,0.0,0.0,0.0,0.11866651,0.0,0.37331607299999997,0.0,0.016546384,0.067808798,0.43780855799999996,0.006533653,0.019736348,0.0,1.0,1.0,"[[1], [3]]"
9x9,4.746454866,6.908060806,0.0,0.0,0.0,1.726967738,4.100229163,0.0,0.0,2.373261425,7.119700307,0.0,3.453997819,0.0,0.0,0.0,1.726967738,0.0,0.0,3.453997819,1.726967738,4.746454866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,2.373261425,0.0,2.373261425,0.0,0.0,43.5847585,1.726967738,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,1.726967738,0.0,0.0,2.373261425,20.065645949,3.453997819,9.493007904,0.0,0.0,14.027761113,0.0,1.726967738,0.0,2.373261425,1.726967738,0.0,0.0,4.746454866,8.634961864,2.373261425,17.045727862,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.908060806,0.0,5.181017882,7.119700307,0.0,0.0,0.0,0.0,23.73432141,1.726967738,0.0,0.0,0.0,4.746454866,0.0,1.726967738,6.908060806,7.119700307,1.726967738,1.726967738,0.0,0.0,0.0,33.22157552,4.100229163,0.0,0.0,0.0,0.0,0.0,4.746454866,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,5.827259244,0.003631538,0.109491752,0.042923127,0.057993374,0.0,0.040177953999999995,0.011314421,0.0,0.0,0.0,0.096985785,0.0,0.09201851,0.006760343,0.016546384,0.06445414299999999,0.474898762,0.017149055,0.019736348,0.0,1.0,1.0,"[[1], [4]]"
