coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,Ependymal,Ambiguouscells
0x0,0.0,6.960113142,1.792608143,1.195078217,0.0,12.72460961,8.155187689,15.712378675,0.0,0.0,16.907475842,3.5853237,1.792608143,0.597533596,0.0,0.597533596,7.768190968,5.975414182,0.597533596,22.074071615,6.362579546,7.557657763,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,13.919687827,0.0,0.0,6.362579546,5.975414182,0.0,0.0,0.0,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,7.170525693,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,2.390158475,13.322143206,0.597533596,3.5853237,1.195078217,1.792608143,1.195078217,0.0,1.792608143,0.0,0.0,0.0,0.0,13.322143206,0.0,0.0,0.0,111.156936965,0.0,0.0,8.752738020999999,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,4.780428052,0.0,10.15835052,1.195078217,8.96322642,2.390158475,19.683836146,0.597533596,6.362579546,0.0,0.0,2.390158475,1.195078217,1.792608143,6.362579546,0.0,0.0,6.362579546,8.752738020999999,1.195078217,0.0,1.792608143,1.195078217,16.72964337,0.0,0.0,0.0,0.0,3.5853237,0.0,11.143007598,0.0,0.0,0.597533596,4.780428052,0.0,5.377933695,1.792608143,0.0,11.740513241,1.792608143,0.0,2.987769065,6.362579546,0.066001952,0.127919227,0.0,0.057654892,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.110038574,0.0,1.4534438580000002,0.0,0.138686176,0.006154792,0.256983176,0.0,0.034115386,0.071112284,1.0,1.0,[0]
1x1,0.274911387,1.009908526,4.679120027,2.157263437,1.237072195,26.93830151,3.0296803380000004,3.812504896,0.0,0.41237493,9.40615567,3.722778113,1.792608143,0.734988009,0.137454413,1.009908526,10.792209758,7.212486376999999,8.020013821000001,3.812504896,29.82478102,4.906369977,1.009908526,0.274911387,0.5498155,2.4798603310000003,0.41237493,1.882330405,4.4042111010000005,0.137454413,1.744893717,0.734988009,9.877696882999999,1.607453147,0.0,0.137454413,6.185384288,7.212486376999999,0.41237493,0.5498155,0.274911387,0.137454413,0.734988009,0.41237493,1.469989604,1.649476062,1.2847857839999999,7.3079801060000005,2.987769065,2.247009658,0.0,0.274911387,0.0,2.33672181,2.061822428,1.33253263,1.009908526,4.314512853,1.422269427,2.109535707,3.5853237,8.89248935,6.603462628,4.081590101,0.0,1.792608143,0.41237493,0.41237493,0.0,0.274911387,6.645437922,3.298926303,0.41237493,0.687252188,60.171290165,0.0,0.5498155,6.23891079,11.032005647,1.195078217,0.0,1.697150207,4.308825356,0.0,0.5498155,1.009908526,2.754793363,1.1473490960000001,0.0,0.41237493,0.137454413,5.742613272000001,0.0,12.220172948000002,1.744893717,8.96322642,2.939973975,4.1713633990000005,1.1473490960000001,3.02401879,0.137454413,0.137454413,3.0774106629999998,1.33253263,5.091534446,0.0,0.0,0.0,0.0,4.864319949,1.607453147,0.274911387,2.892224754,1.744893717,17.1420183,0.137454413,0.137454413,0.5498155,1.099616611,9.358462881000001,3.848752315,8.216820936000001,0.0,0.41237493,0.597533596,5.8800446630000005,0.824735831,5.377933695,2.06751953,2.199263417,8.951763498,4.2667696170000005,0.137454413,3.262680452,7.559925798,0.066001952,0.143215226,0.02337782,0.07319927100000001,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.099709705,0.0,1.5917076810000002,0.0,0.15129166700000002,0.006154792,0.249044755,0.0,0.034255883,0.071112284,1.0,1.0,[1]
2x2,0.38640463,0.983938226,2.565409192,4.286365726,0.38640463,35.9317596,2.179012773,12.260833213,0.0,0.772801049,9.592600130000001,3.5853237,1.792608143,0.983938226,1.545599049,0.983938226,11.245839488,7.907454918999999,3.6888211049999997,4.147004506,34.39158396,2.740677266,1.7567690370000002,0.38640463,0.38640463,3.338207192,0.772801049,3.127118954,6.04310013,0.38640463,1.5814828470000002,0.597533596,11.070539405,2.740677266,0.0,0.0,5.796103746,6.748215231,0.0,0.38640463,0.38640463,0.0,1.370334645,0.0,1.195078217,0.38640463,0.983938226,7.943326742,3.374173695,1.7567690370000002,0.38640463,0.772801049,0.0,1.545599049,0.38640463,2.354313658,0.983938226,5.867806995,1.370334645,0.983938226,4.744559141,6.218315883,6.04310013,3.513487885,0.0,2.951843584,0.0,0.38640463,0.0,0.38640463,5.234429308,2.704844633,0.38640463,0.38640463,30.425831275,0.0,0.0,5.095003108,10.75709426,1.5814828470000002,0.38640463,1.370334645,3.6888211049999997,0.38640463,0.772801049,0.597533596,4.497452776,0.983938226,0.0,1.159235441,0.0,6.326027101,0.0,13.635999040000002,1.9678792660000002,8.96322642,3.9357575239999996,2.143132645,1.7567690370000002,1.545599049,0.772801049,0.0,4.708568143,1.5814828470000002,6.429503855,0.772801049,0.0,0.772801049,0.38640463,5.867806995,1.5814828470000002,0.38640463,2.565409192,1.195078217,17.116048000000003,0.38640463,0.0,0.0,0.772801049,7.449395757,6.56885177,7.485272685,0.0,1.159235441,0.597533596,12.122232409,0.38640463,6.150734744,1.792608143,1.932040737,7.309974432000001,2.179012773,0.0,2.987769065,3.864072057,0.066001952,0.034317803,0.0,0.085025444,0.0,0.043316318,0.0,0.581248039,0.0,0.0,0.14938996100000002,0.0,0.608851442,0.0,0.13649113400000001,0.046645005999999996,0.378481726,0.184977216,0.012632589,0.088083591,1.0,1.0,[2]
3x3,0.0,0.597533596,2.643964408,2.897791649,0.851356265,39.16058219,2.643964408,2.987769065,2.55410292,0.0,8.43964863,4.436679965,1.792608143,0.597533596,0.851356265,0.597533596,10.322293888,9.380861376999999,11.664552696,3.83912533,39.16058219,4.600525412,1.448889861,0.0,0.0,1.792608143,0.851356265,1.195078217,6.049390541,0.0,2.897791649,0.597533596,9.217051037,2.046434482,0.0,0.0,4.256782398,9.380861376999999,0.0,0.851356265,0.0,1.702713432,0.597533596,0.0,1.195078217,2.55410292,0.597533596,7.170525693,2.987769065,3.151636516,0.851356265,0.0,0.0,4.256782398,0.851356265,1.195078217,0.597533596,4.944261395,3.151636516,1.448889861,4.436679965,8.857313982,3.495321575,2.897791649,0.0,4.346711063,0.851356265,1.702713432,0.851356265,0.0,5.705687905,0.851356265,0.0,0.0,67.693008165,0.0,1.702713432,6.646940873,11.608450525,2.046434482,0.0,4.854315994,2.300247028,0.0,0.851356265,2.300247028,3.495321575,0.597533596,0.0,0.0,0.851356265,4.780428052,1.702713432,11.009706785,1.195078217,8.96322642,3.2415147399999995,4.854315994,0.597533596,1.702713432,0.0,0.851356265,4.092871906999999,1.195078217,4.346711063,0.0,0.0,0.0,0.0,4.944261395,1.195078217,0.0,1.792608143,1.195078217,16.72964337,0.0,0.0,1.702713432,0.0,10.396204316999999,9.365732568,6.483141484000001,0.0,0.851356265,0.597533596,8.185875247,0.851356265,5.377933695,1.792608143,1.702713432,10.486088003999999,4.346711063,0.851356265,5.541871985,6.810880617,0.066001952,0.093853095,0.0,0.08690477699999999,0.0,0.108339982,0.0,1.022320573,0.0,0.0,0.129060384,0.0,1.198149922,0.0,0.144027249,0.007759829,0.249044755,0.0,0.010256608,0.071112284,1.0,1.0,[3]
4x4,0.0,0.597533596,2.720354983,3.050563985,1.855485768,38.03911825,4.575901345,3.9155159050000004,0.0,0.92774684,13.460662391,3.5853237,2.720354983,0.597533596,0.0,0.597533596,11.47926577,7.83089995,8.019625961000001,2.987769065,41.74644475,1.195078217,0.597533596,0.92774684,0.0,1.792608143,0.92774684,1.195078217,1.792608143,0.0,1.195078217,1.525280436,8.365694772,1.195078217,0.0,0.0,3.711074802,6.903161022,0.92774684,0.0,0.0,2.783293202,0.597533596,0.0,1.195078217,0.0,2.453019364,8.098272533,2.987769065,0.597533596,0.0,1.855485768,0.0,0.92774684,0.0,1.195078217,0.597533596,3.317905315,1.525280436,0.597533596,3.5853237,9.544828248,4.575901345,1.195078217,0.0,2.720354983,0.0,0.92774684,0.92774684,0.0,8.019625961000001,5.566591497,0.0,0.0,59.584787195000004,0.0,0.0,6.101233277,10.75709426,1.195078217,0.92774684,1.525280436,4.3086083980000005,0.92774684,0.92774684,0.597533596,7.35919964,1.525280436,0.0,1.855485768,0.0,4.780428052,0.0,11.08609736,2.122825057,8.96322642,2.390158475,7.091815061,0.597533596,2.783293202,0.0,0.0,4.245644243,1.195078217,3.648093911,0.0,0.0,0.0,0.0,3.317905315,1.195078217,0.0,2.720354983,2.122825057,16.72964337,0.0,0.0,0.0,0.92774684,13.79001769,5.566591497,5.708174892000001,0.0,0.0,0.597533596,5.708174892000001,0.0,5.377933695,1.792608143,2.783293202,6.3056805350000005,6.431451106,0.0,2.987769065,7.422092365,0.066001952,0.125387275,0.034191586,0.09026222,0.0,0.129892172,0.0,1.185848208,0.0,0.0,0.101225094,0.0,1.203071969,0.0,0.11769906999999999,0.006154792,0.249044755,0.023021592,0.054721988,0.071112284,1.0,1.0,[4]
5x5,0.0,13.270640352000001,0.0,0.0,0.0,14.451577348,8.089547284,12.72460961,0.0,0.0,12.72460961,0.0,3.453997819,0.0,0.0,0.0,1.726967738,0.0,0.0,22.540300369,8.089547284,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.178607429,0.0,0.0,20.177523066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36318298,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,12.72460961,0.0,0.0,3.453997819,3.453997819,0.0,0.0,0.0,6.908060806,0.0,1.726967738,0.0,12.72460961,1.726967738,0.0,0.0,108.1691679,8.634961864,0.0,11.543597428,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.908060806,0.0,24.267320431999998,0.0,6.362579546,0.0,0.0,0.0,0.0,1.726967738,6.362579546,0.0,0.0,6.362579546,6.362579546,1.726967738,6.908060806,0.0,1.726967738,1.726967738,0.0,0.0,0.0,0.0,1.726967738,0.0,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,6.362579546,0.0,0.0,0.0,9.816577365,0.003631538,0.217378501,0.027334801,0.081336999,0.0,0.18063913199999998,0.0,1.628028072,0.0,0.0,0.125326426,0.0,1.482470358,0.0,0.088761684,0.036513589,0.38005180299999997,0.0,0.053851734,0.0,1.0,1.0,[0]
6x6,0.274911387,7.320435736,2.886511884,0.96218522,1.237072195,28.665269247999998,2.964039933,0.824735831,0.0,0.41237493,5.223289438,0.137454413,3.453997819,0.137454413,0.137454413,0.41237493,4.750986528,1.237072195,7.422480225,4.27873365,31.551748758,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,3.866372749,0.0,0.137454413,20.000327808,1.237072195,0.41237493,0.5498155,0.274911387,0.137454413,0.137454413,0.41237493,0.274911387,12.012659042,2.414219926,0.137454413,0.0,1.649476062,0.0,0.274911387,0.0,2.33672181,2.061822428,0.137454413,0.41237493,3.6513221160000002,0.824735831,1.512002111,0.0,11.151408952,8.264852304,2.886511884,0.0,0.0,7.320435736,0.41237493,1.726967738,0.274911387,6.047904326,5.025894041,0.41237493,0.687252188,57.1835211,8.634961864,0.5498155,9.029770197,0.274911387,0.0,0.0,2.826584349,5.438259498,0.0,0.5498155,3.866372749,2.6891529579999998,2.276783238,0.0,0.41237493,0.137454413,0.96218522,0.0,2.061822428,0.5498155,6.908060806,0.5498155,8.754847685,0.5498155,3.02401879,0.137454413,0.137454413,0.687252188,0.137454413,5.025894041,0.0,0.0,0.0,0.0,2.474161474,2.139342668,7.182972193,1.099616611,2.276783238,2.139342668,0.137454413,0.137454413,0.5498155,1.099616611,7.500106919,3.848752315,3.436392884,0.0,0.41237493,0.0,1.099616611,0.824735831,0.0,0.274911387,3.926231155,3.573829803,2.474161474,0.137454413,0.274911387,11.013923617,0.003631538,0.2326745,0.050712621,0.096881378,0.0,0.174036335,0.0,1.373558828,0.0,0.0,0.114997557,0.0,1.620734181,0.0,0.101367175,0.036513589,0.372113382,0.0,0.053992231,0.0,1.0,1.0,[1]
7x7,0.38640463,7.294465436,0.772801049,3.091287509,0.38640463,37.658727338,2.113372368,9.273064148,0.0,0.772801049,5.409733898,0.0,3.453997819,0.38640463,1.545599049,0.38640463,5.204616258,1.932040737,3.091287509,4.61323326,36.118551698,1.545599049,1.159235441,0.38640463,0.38640463,1.545599049,0.772801049,1.932040737,4.250491987,0.38640463,0.38640463,0.0,2.704844633,4.999596868,0.0,0.0,19.611047266,0.772801049,0.0,0.38640463,0.38640463,0.0,0.772801049,0.0,0.0,10.749587609999999,2.113372368,0.772801049,0.38640463,1.159235441,0.38640463,0.772801049,0.0,1.545599049,0.38640463,1.159235441,0.38640463,5.204616258,0.772801049,0.38640463,1.159235441,8.477235485,7.704489806,2.318409668,0.0,1.159235441,6.908060806,0.38640463,1.726967738,0.38640463,4.636895712,4.4318123709999995,0.38640463,0.38640463,27.43806221,8.634961864,0.0,7.8858625149999995,0.0,0.38640463,0.38640463,2.499768787,4.818255247,0.38640463,0.772801049,3.453997819,4.4318123709999995,2.113372368,0.0,1.159235441,0.0,1.545599049,0.0,3.47764852,0.772801049,6.908060806,1.545599049,6.726616931,1.159235441,1.545599049,0.772801049,0.0,2.318409668,0.38640463,6.36386345,0.772801049,0.0,0.772801049,0.38640463,3.47764852,2.113372368,7.294465436,0.772801049,1.726967738,2.113372368,0.38640463,0.0,0.0,0.772801049,5.591039795,6.56885177,2.704844633,0.0,1.159235441,0.0,7.341804357,0.38640463,0.772801049,0.0,3.659008475,1.932040737,0.38640463,0.0,0.0,7.318069876,0.003631538,0.12377707700000001,0.027334801,0.108707551,0.0,0.079107001,0.0,0.581248039,0.0,0.0,0.164677813,0.0,0.637877942,0.0,0.086566642,0.077003803,0.5015503530000001,0.184977216,0.032368937,0.016971307,1.0,1.0,[2]
8x8,0.0,6.908060806,0.851356265,1.702713432,0.851356265,40.887549928,2.5783240029999996,0.0,2.55410292,0.0,4.256782398,0.851356265,3.453997819,0.0,0.851356265,0.0,4.281070658,3.405447195,11.0670191,4.305354084,40.887549928,3.405447195,0.851356265,0.0,0.0,0.0,0.851356265,0.0,4.256782398,0.0,1.702713432,0.0,0.851356265,4.305354084,0.0,0.0,18.071725918,3.405447195,0.0,0.851356265,0.0,1.702713432,0.0,0.0,0.0,12.9172859,1.726967738,0.0,0.0,2.55410292,0.851356265,0.0,0.0,4.256782398,0.851356265,0.0,0.0,4.281070658,2.55410292,0.851356265,0.851356265,11.116233584,5.156711251,1.702713432,0.0,2.55410292,7.759417071,1.702713432,2.5783240029999996,0.0,5.108154309,2.5783240029999996,0.0,0.0,64.7052391,8.634961864,1.702713432,9.437800280000001,0.851356265,0.851356265,0.0,5.983750136,3.42968117,0.0,0.851356265,5.156711251,3.42968117,1.726967738,0.0,0.0,0.851356265,0.0,1.702713432,0.851356265,0.0,6.908060806,0.851356265,9.437800280000001,0.0,1.702713432,0.0,0.851356265,1.702713432,0.0,4.281070658,0.0,0.0,0.0,0.0,2.55410292,1.726967738,6.908060806,0.0,1.726967738,1.726967738,0.0,0.0,1.702713432,0.0,8.537848355,9.365732568,1.702713432,0.0,0.851356265,0.0,3.405447195,0.851356265,0.0,0.0,3.42968117,5.108154309,2.55410292,0.851356265,2.55410292,10.264878436,0.003631538,0.183312369,0.027334801,0.110586884,0.0,0.144130665,0.0,1.022320573,0.0,0.0,0.14434823600000002,0.0,1.2271764219999999,0.0,0.094102757,0.038118625999999996,0.372113382,0.0,0.029992956,0.0,1.0,1.0,[3]
9x9,0.0,6.908060806,0.92774684,1.855485768,1.855485768,39.766085988,4.51026094,0.92774684,0.0,0.92774684,9.277796159,0.0,4.381744659,0.0,0.0,0.0,5.43804254,1.855485768,7.422092365,3.453997819,43.473412488,0.0,0.0,0.92774684,0.0,0.0,0.92774684,0.0,0.0,0.0,0.0,0.92774684,0.0,3.453997819,0.0,0.0,17.526018322,0.92774684,0.92774684,0.0,0.0,2.783293202,0.0,0.0,0.0,10.36318298,3.5824535060000002,0.92774684,0.0,0.0,0.0,1.855485768,0.0,0.92774684,0.0,0.0,0.0,2.654714578,0.92774684,0.0,0.0,11.803747849999999,6.237291021,0.0,0.0,0.92774684,6.908060806,0.92774684,2.654714578,0.0,7.422092365,7.293559235,0.0,0.0,56.59701813,8.634961864,0.0,8.892092684,0.0,0.0,0.92774684,2.654714578,5.43804254,0.92774684,0.92774684,3.453997819,7.293559235,2.654714578,0.0,1.855485768,0.0,0.0,0.0,0.92774684,0.92774684,6.908060806,0.0,11.675299347,0.0,2.783293202,0.0,0.0,1.855485768,0.0,3.5824535060000002,0.0,0.0,0.0,0.0,0.92774684,1.726967738,6.908060806,0.92774684,2.654714578,1.726967738,0.0,0.0,0.0,0.92774684,11.931661728000002,5.566591497,0.92774684,0.0,0.0,0.0,0.92774684,0.0,0.0,0.0,4.51026094,0.92774684,4.638842963,0.0,0.0,10.876090184,0.003631538,0.214846549,0.061526387,0.113944327,0.0,0.165682855,0.0,1.185848208,0.0,0.0,0.116512946,0.0,1.2320984689999999,0.0,0.067774578,0.036513589,0.372113382,0.023021592,0.074458336,0.0,1.0,1.0,[4]
