coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,Excitatory
0x0,0.0,0.597533596,1.792608143,7.916904017999999,0.0,0.0,12.436549243,4.108082182,0.0,0.560163093,11.46476657,4.145486793,1.792608143,0.597533596,0.0,1.157696689,19.532579058,6.535577275,0.597533596,2.987769065,1.120313117,1.7552413100000002,1.157696689,0.560163093,8.962308815,4.033242261,0.560163093,1.7552413100000002,1.792608143,1.120313117,2.315391334,1.157696689,17.887736021000002,2.8755423479999997,1.120313117,0.0,0.0,5.975414182,0.0,0.560163093,0.0,0.560163093,18.520969786000002,0.560163093,1.195078217,0.0,0.597533596,7.730688786,5.228403183,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,16.393914725000002,0.597533596,1.157696689,7.506398882,11.839019317,5.153547024,1.195078217,0.0,1.792608143,0.0,0.0,0.560163093,0.0,1.7178467130000001,0.0,0.560163093,0.0,6.908844247,0.0,0.0,2.9503215679999997,17.478920061,1.7552413100000002,0.0,1.157696689,0.597533596,0.0,0.0,0.597533596,20.837328412999998,1.157696689,1.120313117,3.921075182,0.0,16.544816142000002,0.0,20.80229162,2.315391334,8.96322642,3.510471592,0.597533596,1.7178467130000001,0.0,0.0,0.560163093,2.9503215679999997,1.7552413100000002,2.352771236,0.0,1.120313117,0.0,0.0,18.632649155,1.195078217,0.0,2.91292126,1.195078217,25.691952185,2.240634118,0.560163093,0.560163093,0.560163093,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,18.224844462,0.0,6.4982468120000005,1.792608143,0.0,9.299008877,1.792608143,0.560163093,2.987769065,0.0,0.068914119,0.036487336,0.0,0.047086213,0.0,0.0,0.0,0.01280025,0.0,0.0,0.16033166999999998,0.0,0.06299201,0.0,0.116898175,0.006154792,0.5449701490000001,0.0,0.0,0.071112284,1.0,1.0
1x1,0.0,1.113955329,4.374644586,11.006927923000001,0.0,0.516421733,5.407483758,19.514462885,0.0,0.0,5.73210198,3.5853237,1.792608143,1.6303586280000002,0.516421733,16.090546546000002,13.448706838,6.491835914999999,1.113955329,2.987769065,1.032825032,1.195078217,1.113955329,0.0,0.0,1.792608143,0.516421733,3.7771146599999996,2.3090298760000003,0.0,1.195078217,0.597533596,14.046210641999998,3.7771146599999996,0.516421733,0.0,0.0,7.52464993,0.0,0.0,0.516421733,0.516421733,0.597533596,0.0,1.195078217,0.0,0.597533596,14.400339315,7.11909971,4.728864241,2.065631854,0.516421733,0.516421733,0.0,0.0,2.227903249,1.6303586280000002,11.684533842,0.597533596,0.597533596,4.618148732,7.392053315,2.825433175,21.852163167,0.0,3.341843891,0.0,0.516421733,1.549235748,0.0,1.113955329,0.516421733,0.0,0.0,9.701065103000001,0.0,0.0,3.4229835069999996,10.75709426,2.227903249,0.0,0.597533596,2.146769344,0.0,0.516421733,1.113955329,2.825433175,9.891908963,1.032825032,0.0,1.032825032,10.460943922,0.516421733,33.39653017,3.260710071,9.479648153,4.972194918,0.597533596,2.146769344,0.0,11.36232054,0.0,3.939394223,1.195078217,1.792608143,0.0,0.0,0.0,0.0,7.554263079,1.195078217,0.516421733,1.792608143,1.195078217,27.058863100000003,0.0,0.0,0.516421733,0.516421733,4.618148732,0.0,5.296849785000001,0.516421733,1.032825032,0.597533596,11.49372409,0.0,5.377933695,2.3090298760000003,2.065631854,8.99280931,1.792608143,0.0,2.987769065,0.0,0.066001952,0.0,0.0,0.023058059,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.145321619,0.0,0.06299201,0.0,0.077770859,0.006154792,0.597759172,0.0,0.0,0.071112284,1.0,1.0
2x2,0.0,0.597533596,1.792608143,1.195078217,0.0,0.0,1.792608143,8.267485018,0.0,0.0,14.741326912,3.5853237,1.792608143,0.597533596,0.0,11.155994276,13.047906921,5.975414182,5.877249549,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,7.072324096,0.0,11.753538897,1.792608143,0.0,1.195078217,0.597533596,18.924155452,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,0.0,16.435901726,0.0,1.195078217,0.0,5.877249549,17.728986372999998,8.267485018,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,34.071509375000005,0.597533596,0.597533596,3.5853237,1.195078217,17.630976272999998,32.876429117,5.279715953,1.792608143,0.0,0.0,0.0,0.0,0.597533596,0.0,5.279715953,0.0,13.546229745,0.0,0.0,2.390158475,16.036810213000003,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,11.155994276,0.0,0.0,0.0,20.618796182,0.0,36.55516066,1.195078217,8.96322642,7.669874428,0.597533596,0.597533596,0.0,15.83836813,0.0,2.390158475,1.195078217,1.792608143,0.0,0.0,5.279715953,0.0,12.948619155,1.195078217,0.0,1.792608143,1.195078217,58.97106862,0.0,0.0,0.0,0.0,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,25.901185812,0.0,5.377933695,7.072324096,5.279715953,5.377933695,1.792608143,0.0,2.987769065,0.0,0.066001952,0.04859794,0.0,0.014857347,0.002580838,0.0,0.021738598,0.061778678,0.0,0.0,0.14431796800000002,0.298613759,0.06299201,0.0,0.112266933,0.006154792,0.486732241,0.0,0.002601846,0.071112284,1.0,1.0
3x3,0.0,0.597533596,1.792608143,2.074351761,0.879273544,1.758608055,7.068421223,2.987769065,0.0,0.0,12.975736473,7.102530778,1.792608143,1.47680714,0.0,5.873346676,15.681931743,6.854687726,2.356141651,3.8670426090000003,0.879273544,2.074351761,1.47680714,0.0,0.879273544,16.740379482999998,0.879273544,9.987948458,3.551216198,0.0,2.074351761,0.597533596,13.641507852,2.074351761,0.0,0.0,1.758608055,5.975414182,0.0,0.0,0.879273544,0.879273544,0.597533596,0.879273544,2.953686272,0.0,0.597533596,8.049799237,2.987769065,0.597533596,8.792870241,0.0,0.879273544,27.25530502,0.879273544,2.074351761,9.390403837,5.028052134999999,0.597533596,1.47680714,4.464597244,2.074351761,5.309815221,2.074351761,0.0,4.430501803,0.0,0.0,0.0,0.879273544,0.597533596,0.879273544,1.758608055,0.0,2.987769065,0.0,0.879273544,12.063490018,10.75709426,2.074351761,0.0,1.47680714,1.47680714,1.758608055,0.879273544,0.597533596,3.551216198,2.356141651,0.0,4.396472894,0.879273544,14.453759595000001,0.0,26.8635164,1.195078217,9.842499964,6.786631369,0.597533596,1.47680714,0.0,4.396472894,1.758608055,7.665971555,1.195078217,2.671881687,0.0,0.0,0.879273544,0.0,6.786631369,1.195078217,1.758608055,1.792608143,2.953686272,24.643384145000002,0.0,0.0,0.0,0.0,6.22321736,0.879273544,4.780428052,0.0,9.673331543,0.597533596,14.453759595000001,0.0,5.377933695,2.671881687,2.63789366,6.257207239,1.792608143,3.517207078,2.987769065,0.0,0.066001952,0.010181708,0.0,0.061826774,0.0,0.0,0.0,0.008975219,0.0,0.0,0.144410949,0.0,0.756861712,0.0,0.216709641,0.006154792,0.508521056,0.0,0.0,0.12102210899999999,1.0,1.0
4x4,0.360786525,0.597533596,2.514199208,32.584261717000004,1.443149259,0.360786525,4.678941051,10.925144462,0.360786525,0.360786525,5.626015491,5.389271989,1.792608143,1.6799136730000002,12.98942937,11.060578666,35.908892318,7.418563441,2.762287906,3.34855559,0.360786525,1.916669282,0.9583201210000001,0.0,0.721591065,1.792608143,0.0,1.195078217,2.514199208,0.0,1.555864742,3.1230277589999997,15.942192956,2.638227476,0.0,0.0,0.360786525,15.355477435,0.0,0.0,0.360786525,0.0,1.319124661,0.0,1.555864742,0.0,0.9583201210000001,11.139193936,5.874101973,22.964374416000002,8.298223906,0.721591065,0.0,0.721591065,0.360786525,2.277458294,2.040682855,8.1628298,0.597533596,0.597533596,4.306914765,5.885310562,4.678941051,7.689359682,3.968668243,1.792608143,0.721591065,1.082380077,0.0,0.0,0.597533596,2.16475431,0.0,0.721591065,3.7093601300000003,0.0,0.0,5.276491383,19.777839013,1.555864742,0.0,2.762287906,0.9583201210000001,0.0,0.360786525,0.597533596,2.1533946680000002,9.618278349,0.360786525,0.721591065,1.443149259,13.078651958000002,0.721591065,18.095725917000003,15.626288877,8.96322642,4.194106764,0.597533596,2.040682855,0.360786525,5.051039668,0.0,2.7509449999999998,1.195078217,3.596556432,1.082380077,0.360786525,0.0,3.968668243,9.966656659,1.555864742,0.0,1.792608143,1.916669282,22.141443855000002,0.0,0.0,0.0,0.360786525,5.028472959,0.360786525,5.141214577,0.721591065,0.0,2.040682855,11.996230728,0.0,13.676157601,2.87498822,2.886332908,7.181881984,2.1533946680000002,0.721591065,2.987769065,1.082380077,0.066001952,0.000728573,0.0,0.014857347,0.078810091,0.0,0.001710878,0.0,0.0,0.0,0.125550107,0.0,0.06299201,0.0,0.066470876,0.1557925,0.36290832500000003,0.743130894,0.0,0.071112284,1.0,1.0
5x5,0.0,6.908060806,0.0,6.721825801,0.0,1.726967738,12.370908837999998,1.120313117,0.0,0.560163093,7.281900338,0.560163093,3.453997819,0.0,0.0,0.560163093,13.491355828,0.560163093,0.0,3.453997819,2.847280855,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,5.13446195,1.120313117,0.0,13.81494352,0.0,0.0,0.560163093,0.0,0.560163093,17.92343619,0.560163093,0.0,10.36318298,1.726967738,0.560163093,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.730723988000001,0.0,0.560163093,3.921075182,14.097938918999999,6.8149367000000005,0.0,0.0,0.0,6.908060806,0.0,2.287130831,0.0,1.120313117,1.726967738,0.560163093,0.0,3.921075182,8.634961864,0.0,5.741180975,6.721825801,0.560163093,0.0,2.287130831,1.726967738,0.0,0.0,3.453997819,20.771688007999998,2.287130831,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,6.908060806,1.120313117,5.181017882,1.120313117,0.0,0.0,0.560163093,0.560163093,0.560163093,2.287130831,0.0,1.120313117,0.0,0.0,16.24249068,1.726967738,6.908060806,1.120313117,1.726967738,10.689276553,2.240634118,0.560163093,0.560163093,0.560163093,1.726967738,0.0,0.0,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,1.726967738,3.921075182,0.0,0.560163093,0.0,3.453997819,0.006543705,0.12594661000000001,0.027334801,0.07076832,0.0,0.035790683,0.0,0.01280025,0.0,0.0,0.175619522,0.0,0.09201851,0.0,0.066973683,0.036513589,0.668038776,0.0,0.019736348,0.0,1.0,1.0
6x6,0.0,7.4244825389999995,2.582036443,9.811849706,0.0,2.243389471,5.341843353,16.52669382,0.0,0.0,1.549235748,0.0,3.453997819,1.032825032,0.516421733,15.49301295,7.407483608,0.516421733,0.516421733,3.453997819,2.75979277,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,6.036034261999999,0.516421733,0.0,13.81494352,1.549235748,0.0,0.0,0.516421733,0.516421733,0.0,0.0,0.0,10.36318298,1.726967738,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,11.021343105,0.0,0.0,1.032825032,9.650972917,4.486822851,20.65708495,0.0,1.549235748,6.908060806,0.516421733,3.276203486,0.0,0.516421733,2.243389471,0.0,0.0,6.713296038,8.634961864,0.0,6.213842914,0.0,1.032825032,0.0,1.726967738,3.276203486,0.0,0.516421733,3.970419552,2.75979277,11.021343105,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,7.4244825389999995,2.582036443,5.181017882,1.549235748,0.0,11.36232054,0.0,1.549235748,0.0,1.726967738,0.0,0.0,0.0,0.0,5.164104604,1.726967738,7.4244825389999995,0.0,1.726967738,12.056187468000001,0.0,0.0,0.516421733,0.516421733,2.75979277,0.0,0.516421733,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,3.7925995919999997,3.614875615,0.0,0.0,0.0,3.453997819,0.003631538,0.089459274,0.027334801,0.046740166,0.016352126,0.035790683,0.117066428,0.0,0.0,0.0,0.160609471,0.0,0.09201851,0.0,0.027846367,0.036513589,0.720827799,0.0,0.019736348,0.0,1.0,1.0
7x7,0.0,6.908060806,0.0,0.0,0.0,1.726967738,1.726967738,5.279715953,0.0,0.0,10.55846068,0.0,3.453997819,0.0,0.0,10.55846068,7.006683691,0.0,5.279715953,3.453997819,1.726967738,0.0,0.0,0.0,0.0,5.279715953,0.0,10.55846068,0.0,0.0,0.0,0.0,10.55846068,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,0.0,15.83836813,0.0,0.0,10.36318298,7.006683691,10.55846068,5.279715953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.408318638000004,0.0,0.0,0.0,3.453997819,19.292365949,31.6813509,5.279715953,0.0,6.908060806,0.0,1.726967738,0.0,0.0,1.726967738,5.279715953,0.0,10.55846068,8.634961864,0.0,5.181017882,5.279715953,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,12.285428417999999,0.0,0.0,0.0,15.83836813,0.0,26.39681014,0.0,6.908060806,5.279715953,5.181017882,0.0,0.0,15.83836813,0.0,0.0,0.0,1.726967738,0.0,0.0,5.279715953,0.0,10.55846068,1.726967738,6.908060806,0.0,1.726967738,43.968392988,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,0.0,21.12075776,0.0,0.0,5.279715953,7.006683691,0.0,0.0,0.0,0.0,3.453997819,0.003631538,0.138057214,0.027334801,0.038539454,0.002580838,0.035790683,0.021738598,0.061778678,0.0,0.0,0.15960582,0.298613759,0.09201851,0.0,0.062342441,0.036513589,0.609800868,0.0,0.022338194000000002,0.0,1.0,1.0
8x8,0.0,6.908060806,0.0,0.879273544,0.879273544,3.4855757929999998,7.002780818,0.0,0.0,0.0,8.792870241,3.517207078,3.453997819,0.879273544,0.0,5.27581308,9.640708513,0.879273544,1.758608055,4.333271363,2.606241282,0.879273544,0.879273544,0.0,0.879273544,14.94777134,0.879273544,8.792870241,1.758608055,0.0,0.879273544,0.0,5.27581308,4.333271363,0.0,0.0,15.573551575,0.0,0.0,0.0,0.879273544,0.879273544,0.0,0.879273544,1.758608055,10.36318298,1.726967738,0.879273544,0.0,0.0,8.792870241,0.0,0.879273544,27.25530502,0.879273544,0.879273544,8.792870241,4.364861398,0.0,0.879273544,0.879273544,4.333271363,6.971204897,0.879273544,0.0,2.63789366,6.908060806,0.0,1.726967738,0.879273544,0.0,2.606241282,1.758608055,0.0,0.0,8.634961864,0.879273544,14.854349424999999,0.0,0.879273544,0.0,2.606241282,2.606241282,1.758608055,0.879273544,3.453997819,3.4855757929999998,3.4855757929999998,0.0,4.396472894,0.879273544,9.673331543,0.0,16.70516588,0.0,7.78733435,4.396472894,5.181017882,0.879273544,0.0,4.396472894,1.758608055,5.27581308,0.0,2.606241282,0.0,0.0,0.879273544,0.0,4.396472894,1.726967738,8.666668861,0.0,3.4855757929999998,9.640708513,0.0,0.0,0.0,0.0,4.364861398,0.879273544,0.0,0.0,9.673331543,0.0,9.673331543,0.0,0.0,0.879273544,4.364861398,0.879273544,0.0,3.517207078,0.0,3.453997819,0.003631538,0.099640982,0.027334801,0.08550888100000001,0.0,0.035790683,0.0,0.008975219,0.0,0.0,0.159698801,0.0,0.7858882119999999,0.0,0.166785149,0.036513589,0.6315896830000001,0.0,0.019736348,0.049909825,1.0,1.0
9x9,0.360786525,6.908060806,0.721591065,31.3891835,1.443149259,2.087754263,4.613300646,7.937375397,0.360786525,0.360786525,1.443149259,1.803948289,3.453997819,1.082380077,12.98942937,10.46304507,29.867669088,1.443149259,2.16475431,3.814784344,2.087754263,0.721591065,0.360786525,0.0,0.721591065,0.0,0.0,0.0,0.721591065,0.0,0.360786525,2.525494163,7.576498184,4.897147078,0.0,0.0,14.175730045,9.380063253,0.0,0.0,0.360786525,0.0,0.721591065,0.0,0.360786525,10.36318298,2.087754263,3.968668243,2.886332908,22.36684082,8.298223906,0.721591065,0.0,0.721591065,0.360786525,1.082380077,1.443149259,7.499639063,0.0,0.0,0.721591065,8.144230164,6.3403307269999996,6.494281465,3.968668243,0.0,7.629651871,1.082380077,1.726967738,0.0,0.0,3.891722048,0.0,0.721591065,0.721591065,8.634961864,0.0,8.067350789999999,9.020744753,0.360786525,0.0,3.891722048,2.087754263,0.0,0.360786525,3.453997819,2.087754263,10.747712491000001,0.360786525,0.721591065,1.443149259,8.298223906,0.721591065,7.937375397,14.43121066,6.908060806,1.803948289,5.181017882,1.443149259,0.360786525,5.051039668,0.0,0.360786525,0.0,3.530916027,1.082380077,0.360786525,0.0,3.968668243,7.576498184,2.087754263,6.908060806,0.0,2.448558803,7.138768223,0.0,0.0,0.0,0.360786525,3.170116997,0.360786525,0.360786525,0.721591065,0.0,1.443149259,7.215802676,0.0,8.298223906,1.082380077,4.613300646,1.803948289,0.360786525,0.721591065,0.0,4.536377896,0.003631538,0.090187847,0.027334801,0.038539454,0.078810091,0.035790683,0.001710878,0.0,0.0,0.0,0.140837959,0.0,0.09201851,0.0,0.016546384,0.186151297,0.485976952,0.743130894,0.019736348,0.0,1.0,1.0
