coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,ODImmature2,Ambiguous ODImmature2
0x0,0.0,0.597533596,3.4419621950000003,2.8444322690000003,0.0,0.824693815,1.792608143,3.81246288,0.0,0.0,4.182866232,3.5853237,1.792608143,0.597533596,0.0,0.597533596,9.41754502,5.975414182,1.4222274110000002,2.987769065,0.0,32.532098567,5.5456574089999995,0.0,1.649354052,1.792608143,0.0,1.195078217,4.266689623,0.0,1.195078217,0.597533596,9.190388587,2.019772032,0.0,0.0,0.0,6.800107997,0.824693815,0.0,0.0,0.0,1.4222274110000002,0.0,1.195078217,0.0,0.597533596,7.170525693,2.987769065,1.4222274110000002,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,5.6888868089999995,0.597533596,1.4222274110000002,3.5853237,2.8444322690000003,2.617301958,1.195078217,0.0,1.792608143,0.824693815,0.824693815,0.0,0.824693815,0.597533596,5.772827274,0.0,26.39050251,16.181612155,0.0,0.0,2.390158475,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.824693815,0.824693815,6.429782104000001,0.0,12.632432000000001,1.195078217,10.612580472,2.390158475,2.246887648,0.597533596,1.649354052,0.824693815,0.0,4.864239955,1.195078217,1.792608143,0.0,0.0,50.30976198,0.0,7.338282287999999,1.195078217,0.824693815,14.161641283000002,2.8444322690000003,19.20372485,0.0,0.824693815,0.0,0.0,7.70874418,2.47408148,4.780428052,0.0,0.0,5.5456574089999995,4.780428052,0.0,5.377933695,1.792608143,0.0,7.027287747000001,1.792608143,0.0,2.987769065,0.824693815,0.091117924,0.0,0.031561203,0.042367212,0.00197471,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.06299201,0.0,0.066470876,0.0071344,0.535782379,0.028037602,0.003393076,0.071112284,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.597533596,13.064174493000001,1.195078217,0.0,22.54507076,1.792608143,2.987769065,0.0,0.0,9.818921586,3.5853237,7.428663497,0.597533596,0.0,0.597533596,7.768190968,5.975414182,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,19.637261121999998,23.740148977,0.0,0.0,5.636055354,5.975414182,0.0,0.0,0.0,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,7.170525693,2.987769065,6.23358895,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,1.195078217,1.792608143,1.195078217,0.0,1.792608143,0.0,5.636055354,0.0,0.0,0.597533596,0.0,0.0,11.27156635,19.897951104999997,0.0,0.0,2.390158475,10.75709426,1.195078217,5.636055354,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,10.416483406000001,0.0,10.15835052,1.195078217,8.96322642,2.390158475,0.597533596,0.597533596,0.0,0.0,0.0,2.390158475,1.195078217,1.792608143,0.0,0.0,0.0,0.0,2.390158475,6.831133571,5.636055354,1.792608143,1.195078217,16.72964337,0.0,0.0,0.0,0.0,3.5853237,5.636055354,16.051994402000002,0.0,0.0,0.597533596,4.780428052,0.0,5.377933695,1.792608143,11.27156635,5.377933695,1.792608143,0.0,2.987769065,0.0,0.066001952,0.0,0.002849356,0.018331291,0.0,0.041904707,0.0,0.0,0.0,0.0,0.081697933,0.0,0.518551634,0.0,0.066470876,0.028516088,0.25693235000000003,0.490390247,0.0,0.071112284,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.597533596,2.647548713,4.614851578,0.0,0.85494057,11.196599914,33.763825635,0.0,0.0,6.747623802,5.2952033279999995,2.647548713,0.597533596,14.53459731,0.597533596,13.752766207,5.975414182,2.307413224,4.697648693,8.549266197,1.195078217,3.1622911659999997,0.85494057,0.0,2.647548713,0.85494057,2.050018787,1.792608143,0.0,1.195078217,1.452474166,23.752715381999998,2.050018787,0.0,0.0,0.85494057,8.540171752,0.0,0.0,0.0,0.0,2.307413224,0.0,1.195078217,0.0,1.452474166,14.864933365999999,2.987769065,2.307413224,0.0,0.85494057,0.0,0.85494057,0.85494057,2.904957845,1.452474166,10.084566148,0.597533596,1.452474166,3.5853237,5.46968392,8.632137667,8.88948589,0.0,2.647548713,0.0,0.0,0.85494057,0.0,1.452474166,0.85494057,0.85494057,6.839529524,4.697648693,0.0,0.85494057,9.229687999,10.75709426,2.050018787,0.0,1.452474166,25.390423236,0.0,0.0,0.597533596,3.502487771,0.597533596,0.0,0.0,1.709879628,9.909997924,0.0,19.562342291,8.88948589,36.32281982,4.954916044999999,0.597533596,1.452474166,0.0,5.984575239,0.0,3.245099045,1.195078217,3.502487771,1.709879628,0.0,0.0,0.0,9.229687999,1.195078217,1.709879628,2.647548713,1.195078217,37.247549070000005,0.0,0.0,0.0,0.0,5.2952033279999995,0.0,10.765003291,0.85494057,0.0,0.597533596,11.619957576000001,0.85494057,5.377933695,1.792608143,0.0,7.087813323000001,5.212381504,0.0,2.987769065,0.85494057,0.077603767,0.0,0.0,0.035354271,0.0,0.0,0.0,0.0,0.0,0.0,0.15803674299999998,0.0,0.40752047199999997,0.0,0.137122056,0.026064909,0.354983314,0.0,0.0,0.071112284,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.597533596,24.919423473,1.195078217,0.0,37.01018646,1.792608143,7.613643049,0.0,0.0,4.182866232,3.5853237,1.792608143,0.597533596,0.0,0.597533596,7.768190968,5.975414182,5.22340758,2.987769065,32.38105052,5.820952201,19.100469796000002,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,11.796399677,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,15.071551957,1.792608143,1.195078217,0.0,1.792608143,0.0,0.0,0.0,0.0,5.22340758,0.0,0.0,0.0,58.494476195000004,0.0,0.0,11.641955523,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,4.780428052,0.0,10.15835052,1.195078217,8.96322642,2.390158475,0.597533596,0.597533596,0.0,0.0,0.0,2.390158475,1.195078217,1.792608143,0.0,0.0,0.0,0.0,2.390158475,1.195078217,0.0,15.669081883,1.195078217,16.72964337,0.0,0.0,0.0,9.251797048,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,4.780428052,0.0,5.377933695,1.792608143,0.0,5.377933695,1.792608143,0.0,2.987769065,23.12681533,0.066001952,0.014893334,0.035127866,0.07470392000000001,0.0,0.030051645,0.0,0.452947761,0.0,0.157891858,0.081697933,0.0,0.962495081,0.013323,0.075429136,0.016572154,0.249044755,0.00943649,0.021645908,0.071112284,1.0,1.0,"[[0], [3]]"
4x4,0.0,2.530249538,1.792608143,8.925797004,0.0,1.932715942,5.658024378,6.8531853,0.0,0.0,4.182866232,3.5853237,3.725324085,0.597533596,0.0,0.597533596,9.70090691,5.975414182,0.597533596,6.8531853,0.0,1.195078217,0.597533596,0.0,5.79813837,3.725324085,1.932715942,1.195078217,1.792608143,0.0,1.195078217,0.597533596,45.088154192,5.060494452,1.932715942,1.932715942,0.0,9.840830417,0.0,0.0,0.0,17.3950088,2.530249538,0.0,1.195078217,0.0,0.597533596,9.103241635,2.987769065,17.992542396,0.0,0.0,0.0,0.0,0.0,22.453788666999998,12.192586616,4.3228744169999995,0.597533596,0.597533596,3.5853237,3.127794159,1.792608143,22.453788666999998,0.0,5.658024378,1.932715942,0.0,0.0,0.0,0.597533596,0.0,0.0,9.663505567,4.920485007,0.0,0.0,4.3228744169999995,20.420599827,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,2.530249538,0.0,0.0,0.0,16.375481072,0.0,29.48660084,8.925797004,68.87482537,8.188296845,0.597533596,2.530249538,0.0,0.0,0.0,6.255574709999999,1.195078217,5.658024378,1.932715942,0.0,0.0,0.0,8.188296845,1.195078217,0.0,3.725324085,1.195078217,16.72964337,0.0,0.0,0.0,0.0,3.5853237,5.79813837,12.511146839,0.0,3.865416235,0.597533596,6.713143994,3.865416235,5.377933695,5.658024378,0.0,9.24334993,9.52332693,0.0,2.987769065,0.0,0.066001952,0.0,0.0,0.014857347,0.018385249,0.0,0.0,0.0,0.183308543,0.0,0.099576102,0.146909104,0.21399380299999998,0.0,0.072590917,0.009081277,0.249044755,0.0,0.001931591,0.071112284,1.0,1.0,"[[0], [4]]"
5x5,0.0,6.908060806,1.649354052,1.649354052,0.0,2.5516615529999997,1.726967738,0.824693815,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,0.0,3.37632179,0.0,0.824693815,3.453997819,1.726967738,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,4.278691634,0.0,0.0,13.81494352,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.0,0.0,10.36318298,1.726967738,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.025696072000001,0.0,0.824693815,0.0,5.103351871,4.278691634,0.0,0.0,0.0,7.732754621,0.824693815,1.726967738,0.824693815,0.0,7.499795012,0.0,26.39050251,13.19384309,8.634961864,0.0,5.181017882,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,0.0,8.557414858,0.0,6.830371934,0.0,1.649354052,0.824693815,0.0,2.47408148,0.0,1.726967738,0.0,0.0,50.30976198,0.0,4.948123813,1.726967738,7.732754621,12.36903314,3.37632179,4.201049218,0.0,0.824693815,0.0,0.0,5.850388218,2.47408148,0.0,0.0,0.0,4.948123813,0.0,0.0,0.0,0.0,1.726967738,1.649354052,0.0,0.0,0.0,4.278691634,0.02874751,0.089459274,0.058896004,0.066049319,0.00197471,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.09201851,0.0,0.016546384,0.037493197,0.658851006,0.028037602,0.023129424000000003,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,6.908060806,11.27156635,0.0,0.0,24.272038498,1.726967738,0.0,0.0,0.0,5.636055354,0.0,9.090053173,0.0,0.0,0.0,1.726967738,0.0,0.0,3.453997819,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,25.999068579000003,0.0,0.0,19.450998874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36318298,1.726967738,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,3.453997819,3.453997819,0.0,0.0,0.0,6.908060806,5.636055354,1.726967738,0.0,0.0,1.726967738,0.0,11.27156635,16.91018204,8.634961864,0.0,5.181017882,0.0,0.0,5.636055354,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,6.908060806,0.0,5.181017882,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,0.0,7.363023092,12.54411616,0.0,1.726967738,1.726967738,0.0,0.0,0.0,0.0,1.726967738,5.636055354,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.998534088,0.0,0.0,0.0,0.0,3.453997819,0.003631538,0.089459274,0.030184157,0.042013398,0.0,0.07769539,0.0,0.0,0.0,0.0,0.096985785,0.0,0.547578134,0.0,0.016546384,0.058874885,0.380000977,0.490390247,0.019736348,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,6.908060806,0.85494057,3.419773361,0.0,2.581908308,11.130959509,30.77605657,0.0,0.0,2.56475757,1.709879628,4.308938389,0.0,14.53459731,0.0,7.711542977,0.0,1.709879628,5.163877447,10.276233935,0.0,2.56475757,0.85494057,0.0,0.85494057,0.85494057,0.85494057,0.0,0.0,0.0,0.85494057,15.38702061,4.308938389,0.0,0.0,14.66988409,2.56475757,0.0,0.0,0.0,0.0,1.709879628,0.0,0.0,10.36318298,2.581908308,7.694407673,0.0,1.709879628,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,9.421375411,0.0,0.85494057,0.0,7.728603522,10.293527343,7.694407673,0.0,0.85494057,6.908060806,0.0,2.581908308,0.0,0.85494057,2.581908308,0.85494057,6.839529524,1.709879628,8.634961864,0.85494057,12.020547405999999,0.0,0.85494057,0.0,2.581908308,26.519857377999998,0.0,0.0,3.453997819,3.436847366,1.726967738,0.0,0.0,1.709879628,5.129569872,0.0,9.403991771,7.694407673,34.267654206,2.56475757,5.181017882,0.85494057,0.0,5.984575239,0.0,0.85494057,0.0,3.436847366,1.709879628,0.0,0.0,0.0,6.839529524,1.726967738,8.617940434,0.85494057,1.726967738,22.244873438,0.0,0.0,0.0,0.0,3.436847366,0.0,5.984575239,0.85494057,0.0,0.0,6.839529524,0.85494057,0.0,0.0,1.726967738,1.709879628,3.419773361,0.0,0.0,4.308938389,0.015233353,0.089459274,0.027334801,0.059036378,0.0,0.035790683,0.0,0.0,0.0,0.0,0.173324595,0.0,0.436546972,0.0,0.08719756399999999,0.056423706000000004,0.478051941,0.0,0.019736348,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,6.908060806,23.12681533,0.0,0.0,38.737154198,1.726967738,4.625873984,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,0.0,1.726967738,0.0,4.625873984,3.453997819,34.108018258,4.625873984,18.5029362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36318298,1.726967738,4.625873984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,17.330471559,3.453997819,0.0,0.0,0.0,6.908060806,0.0,1.726967738,0.0,4.625873984,1.726967738,0.0,0.0,55.50670713,8.634961864,0.0,14.43281493,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.908060806,0.0,5.181017882,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,0.0,1.726967738,6.908060806,13.87647374,1.726967738,1.726967738,0.0,0.0,0.0,9.251797048,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,26.580813149,0.003631538,0.104352608,0.062462667,0.098386027,0.0,0.06584232799999999,0.0,0.452947761,0.0,0.157891858,0.096985785,0.0,0.991521581,0.013323,0.025504644,0.046930951,0.372113382,0.00943649,0.041382256,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,8.840776748,0.0,7.730718787,0.0,3.6596836799999997,5.5923839730000005,3.865416235,0.0,0.0,0.0,0.0,5.386713761,0.0,0.0,0.0,3.6596836799999997,0.0,0.0,7.319414054,1.726967738,0.0,0.0,0.0,5.79813837,1.932715942,1.932715942,0.0,0.0,0.0,0.0,0.0,36.72245942,7.319414054,1.932715942,1.932715942,13.81494352,3.865416235,0.0,0.0,0.0,17.3950088,1.932715942,0.0,0.0,10.36318298,1.726967738,1.932715942,0.0,17.3950088,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,3.6596836799999997,0.0,0.0,0.0,5.386713761,3.453997819,21.25871045,0.0,3.865416235,8.840776748,0.0,1.726967738,0.0,0.0,1.726967738,0.0,9.663505567,1.932715942,8.634961864,0.0,7.113733824,9.663505567,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,3.6596836799999997,0.0,0.0,0.0,11.59505302,0.0,19.32825032,7.730718787,66.819659756,5.79813837,5.181017882,1.932715942,0.0,0.0,0.0,3.865416235,0.0,5.5923839730000005,1.932715942,0.0,0.0,0.0,5.79813837,1.726967738,6.908060806,1.932715942,1.726967738,1.726967738,0.0,0.0,0.0,0.0,1.726967738,5.79813837,7.730718787,0.0,3.865416235,0.0,1.932715942,3.865416235,0.0,3.865416235,1.726967738,3.865416235,7.730718787,0.0,0.0,3.453997819,0.003631538,0.089459274,0.027334801,0.038539454,0.018385249,0.035790683,0.0,0.0,0.183308543,0.0,0.114863954,0.146909104,0.243020303,0.0,0.022666425,0.039440074,0.372113382,0.0,0.021667939,0.0,1.0,1.0,"[[1], [4]]"
