coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,ODMature1,Ambiguous ODMature1
0x0,0.0,0.597533596,1.792608143,3.8532155030000004,1.329056371,1.329056371,3.786182155,4.981343077,0.0,0.664523765,4.8473899970000005,3.5853237,1.792608143,0.597533596,0.0,0.597533596,15.742478913,5.975414182,0.597533596,2.987769065,0.664523765,5.846789918,0.597533596,0.0,0.664523765,1.792608143,0.0,1.195078217,2.457131908,0.0,1.195078217,0.597533596,11.023832058,1.195078217,0.664523765,0.0,0.0,6.639937947,0.0,0.0,10.63322157,0.0,1.926589967,0.0,1.195078217,0.0,0.597533596,8.499582064,2.987769065,10.564840582,0.0,0.0,0.0,0.664523765,0.0,9.169366162000001,1.262057361,3.719214846,0.597533596,1.926589967,5.578897712,3.8532155030000004,1.792608143,6.511338234,0.664523765,1.792608143,0.0,0.0,0.0,0.0,1.926589967,1.993574012,0.0,0.0,8.968485551,0.0,0.664523765,9.699947543,11.421618025,5.846789918,0.664523765,0.597533596,1.262057361,0.0,0.0,0.597533596,3.121664514,1.926589967,5.316260017,0.0,0.664523765,9.432139753000001,0.0,12.816487806000001,2.524134588,9.627750185,2.390158475,1.926589967,1.262057361,0.0,1.329056371,0.0,3.05468224,1.195078217,1.792608143,0.0,0.0,0.0,3.987122086,7.706418492,1.195078217,1.329056371,37.008567993,1.195078217,18.723217382,0.0,0.0,0.0,0.664523765,4.249847465,0.0,8.103077329000001,0.0,0.664523765,1.262057361,7.438565338,0.0,5.377933695,1.792608143,0.0,5.377933695,3.121664514,0.0,2.987769065,11.96283521,0.066001952,0.011069478,0.0,0.014857347,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.081697933,0.035893242,0.06299201,0.0,0.066470876,0.203782955,0.290268348,0.0,0.0,0.146638498,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.597533596,3.249918437,1.195078217,0.0,0.0,1.792608143,2.987769065,0.0,0.0,5.640176526,6.500037348,1.792608143,0.597533596,0.0,0.597533596,9.225501262,5.975414182,2.05484389,2.987769065,4.372049429,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,7.024438114,0.0,0.0,0.0,5.975414182,0.0,0.0,10.20211431,2.914713648,3.512247244,0.0,1.195078217,0.0,0.597533596,7.170525693,2.987769065,15.171527486,0.0,0.0,0.0,1.457310294,0.0,8.481747372000001,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,2.652388511,3.249918437,8.481747372000001,0.0,1.792608143,0.0,0.0,0.0,0.0,7.884202751,0.0,0.0,0.0,7.359818494,0.0,0.0,27.165237175,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,2.05484389,0.0,0.0,0.0,6.237738346,0.0,13.073064168000002,1.195078217,8.96322642,2.390158475,4.9695830249999995,0.597533596,0.0,1.457310294,0.0,2.390158475,1.195078217,3.249918437,0.0,0.0,0.0,0.0,6.762207903999999,1.195078217,0.0,46.966874093,1.195078217,18.186953664,0.0,0.0,0.0,1.457310294,3.5853237,0.0,7.695141700000001,0.0,0.0,0.597533596,6.237738346,0.0,6.835243989,1.792608143,0.0,6.835243989,1.792608143,0.0,2.987769065,16.02942562,0.066001952,0.0,0.025401622,0.014857347,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.115856181,0.0,0.06299201,0.0,0.066470876,0.066833864,0.356713751,0.001517518,0.015233641,0.071112284,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.597533596,1.792608143,3.178468013,0.0,2.975117771,1.792608143,3.9794510720000003,0.0,0.0,4.182866232,5.568713496,1.792608143,0.597533596,1.983389796,3.5726513669999997,9.751580764,6.967096188999999,0.597533596,2.987769065,1.983389796,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,13.324236705,1.195078217,0.0,0.0,0.0,6.967096188999999,0.0,0.0,16.86076268,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,9.153915489,2.987769065,2.580923392,0.0,0.0,0.0,3.966838056,0.0,15.078404407,0.597533596,8.340401651,0.597533596,0.597533596,3.5853237,1.195078217,2.78429015,9.128750149,0.0,1.792608143,0.0,0.0,0.0,0.0,4.564371652,0.0,0.0,0.0,6.9546071210000004,0.0,0.0,25.196902375,10.75709426,3.178468013,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.991682007,0.0,6.763817848,0.0,14.125188576000001,2.186760224,8.96322642,2.390158475,4.564371652,2.580923392,0.0,0.0,0.0,4.373548271,1.195078217,2.78429015,0.0,0.0,0.0,0.0,5.365276246,1.195078217,0.0,16.667106123,1.195078217,20.696481426000002,0.0,0.0,0.0,0.0,3.5853237,0.0,4.780428052,0.991682007,0.0,0.597533596,12.714099984,0.0,5.377933695,1.792608143,0.991682007,6.369615702,1.792608143,0.0,2.987769065,15.86553025,0.066001952,0.0,0.042372631,0.018542038,0.0,0.0,0.296492474,0.0,0.0,0.0,0.176690069,0.010784794,0.06299201,0.010793173,0.066470876,0.012845129,0.325093635,0.031361701,0.024389221,0.071112284,1.0,1.0,"[[0], [2]]"
3x3,0.719174655,0.597533596,1.792608143,3.3526264990000003,0.0,0.719174655,1.792608143,4.426141275,2.157548282,1.43837221,4.182866232,3.5853237,1.792608143,0.597533596,0.0,0.597533596,13.521708008000001,5.975414182,0.597533596,4.426141275,0.719174655,1.914252872,0.597533596,0.0,5.75351704,8.984420581,0.719174655,1.914252872,1.792608143,0.0,1.195078217,2.035905806,9.804066982,1.195078217,0.0,0.0,0.0,6.6945888369999995,0.0,0.0,16.54284394,0.0,4.193533384,1.43837221,1.195078217,0.0,0.597533596,10.766525481,2.987769065,14.263139146,0.0,0.719174655,0.0,4.315082378,0.719174655,10.544116655,2.035905806,13.177069355,0.597533596,0.597533596,5.02369591,3.3526264990000003,2.511782798,2.633450427,0.0,2.511782798,0.0,0.719174655,0.0,0.0,12.105882875999999,3.595999788,0.719174655,0.0,3.70694372,0.0,0.0,17.492906605,10.75709426,1.195078217,0.0,2.035905806,1.316708251,0.0,0.0,0.597533596,3.230980353,0.597533596,1.43837221,0.0,0.719174655,7.65719773,2.157548282,11.596722730000002,1.195078217,8.96322642,2.390158475,0.597533596,0.597533596,0.719174655,0.0,0.0,2.390158475,2.633450427,1.792608143,0.719174655,0.0,0.719174655,0.0,5.986158263,1.195078217,0.0,49.254459363,1.195078217,23.202385571,1.43837221,0.0,0.0,0.0,5.7428719820000005,1.43837221,14.129466489999999,0.0,0.0,0.597533596,7.65719773,0.0,5.377933695,1.792608143,1.43837221,6.816305905,5.388607931,1.43837221,2.987769065,22.29700002,0.06955307200000001,0.009423474,0.024898836,0.038402486,0.0,0.029233705,1.068473684,0.0,0.0,0.0,0.397286225,0.0,0.36020114999999997,0.0,0.086679758,0.006154792,0.293548497,0.0,0.002309854,0.071112284,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.597533596,7.236377689,1.195078217,0.0,5.443769546,1.792608143,2.987769065,0.0,0.0,4.182866232,3.5853237,1.792608143,0.597533596,0.0,0.597533596,7.768190968,5.975414182,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,13.809464318,12.082837437,0.0,0.0,0.0,5.975414182,5.443769546,0.0,10.88775922,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,12.614295239,2.987769065,0.597533596,0.0,0.0,0.0,10.88775922,0.0,17.525135567,0.597533596,7.833928021,0.597533596,0.597533596,3.5853237,12.082837437,7.236377689,1.195078217,0.0,1.792608143,0.0,0.0,0.0,0.0,0.597533596,0.0,0.0,0.0,2.987769065,0.0,0.0,7.833928021,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,21.77718242,0.0,0.0,4.780428052,0.0,10.15835052,22.972260636999998,8.96322642,2.390158475,0.597533596,0.597533596,0.0,0.0,0.0,2.390158475,1.195078217,1.792608143,0.0,0.0,0.0,0.0,2.390158475,1.195078217,0.0,18.122665493,1.195078217,22.173412916000004,0.0,0.0,0.0,0.0,3.5853237,0.0,4.780428052,0.0,0.0,0.597533596,4.780428052,0.0,10.821703241000002,1.792608143,5.443769546,5.377933695,1.792608143,0.0,2.987769065,0.0,0.082427798,0.0,0.030734945,0.014857347,0.0,0.0,0.607792506,0.0,0.0,0.0,0.211220728,0.0,0.06299201,0.0,0.066470876,0.013144658,0.486356114,0.004916784,0.017870904,0.071112284,1.0,1.0,"[[0], [4]]"
5x5,0.0,6.908060806,0.0,2.658137286,1.329056371,3.056024109,3.7205417499999998,1.993574012,0.0,0.664523765,0.664523765,0.0,3.453997819,0.0,0.0,0.0,9.701255683,0.0,0.0,3.453997819,2.391491503,4.651711701,0.0,0.0,0.664523765,0.0,0.0,0.0,0.664523765,0.0,0.0,0.0,2.658137286,3.453997819,0.664523765,0.0,13.81494352,0.664523765,0.0,0.0,10.63322157,0.0,1.329056371,0.0,0.0,10.36318298,1.726967738,1.329056371,0.0,9.967306986,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,3.056024109,0.0,1.329056371,1.993574012,6.112135105,3.453997819,5.316260017,0.664523765,0.0,6.908060806,0.0,1.726967738,0.0,1.329056371,3.7205417499999998,0.0,0.0,5.980716486,8.634961864,0.664523765,12.49080695,0.664523765,4.651711701,0.664523765,1.726967738,2.391491503,0.0,0.0,3.453997819,3.056024109,3.056024109,5.316260017,0.0,0.664523765,4.651711701,0.0,2.658137286,1.329056371,7.572584571,0.0,6.510074253,0.664523765,0.0,1.329056371,0.0,0.664523765,0.0,1.726967738,0.0,0.0,0.0,3.987122086,5.316260017,1.726967738,8.237117177,35.21595985,1.726967738,3.7205417499999998,0.0,0.0,0.0,0.664523765,2.391491503,0.0,3.322649277,0.0,0.664523765,0.664523765,2.658137286,0.0,0.0,0.0,1.726967738,0.0,1.329056371,0.0,0.0,15.416833029,0.003631538,0.100528752,0.027334801,0.038539454,0.223201486,0.035790683,0.672283867,0.0,0.013825942,0.0,0.096985785,0.035893242,0.09201851,0.0,0.016546384,0.23414175199999998,0.413336975,0.0,0.019736348,0.075526214,1.0,1.0,"[[1], [0]]"
6x6,0.0,6.908060806,1.457310294,0.0,0.0,1.726967738,1.726967738,0.0,0.0,0.0,1.457310294,2.914713648,3.453997819,0.0,0.0,0.0,3.184278032,0.0,1.457310294,3.453997819,6.0990171669999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.283357716,0.0,0.0,13.81494352,0.0,0.0,0.0,10.20211431,2.914713648,2.914713648,0.0,0.0,10.36318298,1.726967738,0.0,0.0,14.57399389,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,1.726967738,0.0,0.0,0.0,4.9113081130000005,4.9113081130000005,7.286669155,0.0,0.0,6.908060806,0.0,1.726967738,0.0,7.286669155,1.726967738,0.0,0.0,4.372049429,8.634961864,0.0,29.956096582,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,3.184278032,0.0,0.0,0.0,1.457310294,0.0,2.914713648,0.0,6.908060806,0.0,9.553067311,0.0,0.0,1.457310294,0.0,0.0,0.0,3.184278032,0.0,0.0,0.0,0.0,4.372049429,1.726967738,6.908060806,45.17426595,1.726967738,3.184278032,0.0,0.0,0.0,1.457310294,1.726967738,0.0,2.914713648,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,1.726967738,1.457310294,0.0,0.0,0.0,19.483423439000003,0.003631538,0.089459274,0.052736423,0.038539454,0.0,0.035790683,1.446639596,0.0,0.031706104,0.0,0.131144033,0.0,0.09201851,0.0,0.016546384,0.097192661,0.479782378,0.001517518,0.034969989,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,6.908060806,0.0,1.983389796,0.0,4.702085509,1.726967738,0.991682007,0.0,0.0,0.0,1.983389796,3.453997819,0.0,1.983389796,2.975117771,3.710357534,0.991682007,0.0,3.453997819,3.710357534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.958541933,3.453997819,0.0,0.0,13.81494352,0.991682007,0.0,0.0,16.86076268,0.0,0.0,0.0,0.0,10.36318298,1.726967738,1.983389796,0.0,1.983389796,0.0,0.0,0.0,3.966838056,0.0,13.88332619,0.0,7.677210914,0.0,0.0,0.0,3.453997819,4.445679826,7.933671932,0.0,0.0,6.908060806,0.0,1.726967738,0.0,3.966838056,1.726967738,0.0,0.0,3.966838056,8.634961864,0.0,27.987761782,0.0,1.983389796,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.991682007,0.0,1.983389796,0.0,3.966838056,0.991682007,6.908060806,0.0,9.147855938,1.983389796,0.0,0.0,0.0,1.983389796,0.0,2.718649745,0.0,0.0,0.0,0.0,2.975117771,1.726967738,6.908060806,14.87449798,1.726967738,5.693805793999999,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.991682007,0.0,0.0,7.933671932,0.0,0.0,0.0,2.718649745,0.991682007,0.0,0.0,0.0,19.319528069,0.003631538,0.089459274,0.069707432,0.042224145,0.0,0.035790683,0.296492474,0.0,0.0,0.0,0.191977921,0.010784794,0.09201851,0.010793173,0.016546384,0.043203926,0.448162262,0.031361701,0.044125569,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.719174655,6.908060806,0.0,2.157548282,0.0,2.4461423929999997,1.726967738,1.43837221,2.157548282,1.43837221,0.0,0.0,3.453997819,0.0,0.0,0.0,7.480484778,0.0,0.0,4.892370029,2.4461423929999997,0.719174655,0.0,0.0,5.75351704,7.191812438,0.719174655,0.719174655,0.0,0.0,0.0,1.43837221,1.43837221,3.453997819,0.0,0.0,13.81494352,0.719174655,0.0,0.0,16.54284394,0.0,3.595999788,1.43837221,0.0,10.36318298,1.726967738,3.595999788,0.0,13.66560555,0.0,0.719174655,0.0,4.315082378,0.719174655,9.349038438,1.43837221,12.513878618,0.0,0.0,1.43837221,5.611546101,4.173172474,1.43837221,0.0,0.719174655,6.908060806,0.719174655,1.726967738,0.0,11.50834928,5.322967525999999,0.719174655,0.0,0.719174655,8.634961864,0.0,20.283766012,0.0,0.0,0.0,3.1653399479999997,2.4461423929999997,0.0,0.0,3.453997819,3.1653399479999997,1.726967738,1.43837221,0.0,0.719174655,2.876769678,2.157548282,1.43837221,0.0,6.908060806,0.0,5.181017882,0.0,0.719174655,0.0,0.0,0.0,1.43837221,1.726967738,0.719174655,0.0,0.719174655,0.0,3.595999788,1.726967738,6.908060806,47.46185122,1.726967738,8.199709939,1.43837221,0.0,0.0,0.0,3.88451602,1.43837221,9.349038438,0.0,0.0,0.0,2.876769678,0.0,0.0,0.0,3.1653399479999997,1.43837221,3.595999788,1.43837221,0.0,25.750997839,0.007182658,0.098882748,0.052233637,0.062084593,0.0,0.06502438799999999,1.068473684,0.0,0.0,0.0,0.412574077,0.0,0.38922765,0.0,0.036755266,0.036513589,0.416617124,0.0,0.022046202,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,6.908060806,5.443769546,0.0,0.0,7.170737284,1.726967738,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,0.0,1.726967738,0.0,0.0,3.453997819,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443769546,14.341757038999999,0.0,0.0,13.81494352,0.0,5.443769546,0.0,10.88775922,0.0,0.0,0.0,0.0,10.36318298,1.726967738,5.443769546,0.0,0.0,0.0,0.0,0.0,10.88775922,0.0,16.33005735,0.0,7.170737284,0.0,0.0,0.0,14.341757038999999,8.897767365,0.0,0.0,0.0,6.908060806,0.0,1.726967738,0.0,0.0,1.726967738,0.0,0.0,0.0,8.634961864,0.0,10.624787428000001,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,21.77718242,0.0,0.0,0.0,0.0,0.0,21.77718242,6.908060806,0.0,5.181017882,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,0.0,1.726967738,6.908060806,16.33005735,1.726967738,7.170737284,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443769546,0.0,7.170737284,0.0,0.0,0.0,0.0,3.453997819,0.020057384,0.089459274,0.058069746,0.038539454,0.0,0.035790683,0.607792506,0.0,0.0,0.0,0.22650858000000001,0.0,0.09201851,0.0,0.016546384,0.043503454999999996,0.609424741,0.004916784,0.037607252,0.0,1.0,1.0,"[[1], [4]]"
