coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,ODMature3,Ambiguouscells
0x0,0.0,0.597533596,1.792608143,1.195078217,1.781762191,0.0,1.792608143,2.987769065,0.0,0.0,5.964628423000001,5.367085891,1.792608143,0.597533596,0.0,0.597533596,7.768190968,5.975414182,0.597533596,2.987769065,0.0,2.976840408,0.597533596,0.0,0.0,1.792608143,1.781762191,1.195078217,1.792608143,0.0,1.195078217,0.597533596,11.929110133,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,33.84977672,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,8.952287884,2.987769065,0.597533596,0.0,1.781762191,0.0,0.0,0.0,52.869527047000005,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,2.976840408,1.792608143,1.195078217,0.0,3.574370334,0.0,0.0,0.0,0.0,7.724528735,1.781762191,0.0,0.0,4.7695312560000005,0.0,0.0,36.239935195,10.75709426,2.976840408,0.0,0.597533596,2.379295787,0.0,0.0,0.597533596,3.574370334,4.1609489570000004,7.126995139,0.0,0.0,6.562190243000001,0.0,13.721765881000001,4.758493578,16.090221559,2.390158475,0.597533596,2.379295787,0.0,0.0,0.0,4.171920666,1.195078217,1.792608143,0.0,0.0,0.0,0.0,5.953573836,1.195078217,1.781762191,101.578559583,1.195078217,16.72964337,0.0,0.0,1.781762191,0.0,3.5853237,0.0,10.12555039,0.0,0.0,0.597533596,6.562190243000001,0.0,5.377933695,1.792608143,1.781762191,5.377933695,1.792608143,0.0,2.987769065,58.79983697,0.066001952,0.090031378,0.020996375,0.047273997,0.0,0.062355816,2.199779119,0.146045869,0.0,0.0,0.12312773099999999,0.0,0.837058938,0.0,0.175530769,0.0103277,0.262113461,0.0,0.007626545,0.071112284,1.0,1.0,[0]
1x1,0.0,0.597533596,1.792608143,2.502675399,0.0,1.961419965,2.446434847,3.6415957690000003,0.653826704,0.0,4.836692936,4.239150404,2.446434847,0.597533596,0.0,1.9051307780000002,12.344797459999999,6.629240886,1.2513603,4.2953662470000005,0.653826704,3.156498182,0.597533596,1.961419965,0.653826704,1.792608143,0.0,4.464116014,1.792608143,0.0,1.195078217,0.597533596,15.557695835,1.195078217,0.0,0.0,0.0,6.629240886,0.0,0.0,22.8836116,0.0,1.2513603,0.653826704,1.195078217,0.0,0.597533596,7.824352397,5.603032927,0.597533596,0.0,0.0,0.0,0.0,0.0,27.998612157,0.597533596,6.966764967,0.597533596,0.597533596,4.239150404,5.117966724,3.754028108,1.195078217,0.0,2.446434847,0.0,0.653826704,0.0,0.0,3.866571393,2.615263862,0.653826704,0.0,4.2953662470000005,0.653826704,0.0,25.925945885,11.410920964,1.848904921,0.0,5.174140088,0.597533596,0.0,0.653826704,0.597533596,3.100205325,0.597533596,9.806871811,1.307597182,0.0,7.395691914,0.0,12.773614382000002,2.502675399,8.96322642,3.043985179,12.364861136,0.597533596,0.0,0.0,0.0,3.697755657,1.848904921,1.792608143,0.0,0.0,0.653826704,7.192001063,9.582159537999999,2.502675399,0.653826704,35.787124843,1.195078217,18.691063335000003,0.0,0.0,0.0,0.0,4.239150404,0.0,11.972429115,0.0,0.0,0.597533596,6.741848017000001,0.653826704,7.993197557,3.100205325,0.0,6.685530877000001,1.792608143,2.615263862,2.987769065,38.57309339,0.080630085,0.036952827,0.0,0.030498524,0.0,0.033577389,1.553289152,0.029020436,0.0,0.0,0.096971081,0.0,0.779397915,0.0,0.150110807,0.006154792,0.249044755,0.0,0.0,0.08541129,1.0,1.0,[1]
2x2,0.0,0.597533596,9.997951665,6.665312404,0.0,2.735080789,1.792608143,5.722849854,0.0,8.205343522,4.182866232,6.3204044889999995,1.792608143,0.597533596,0.0,0.597533596,7.768190968,11.445648369,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,6.665312404,0.0,0.0,0.0,5.975414182,0.0,0.0,21.88231712,2.735080789,3.332614385,0.0,1.195078217,0.0,0.597533596,7.170525693,8.458003252000001,11.537414636,0.0,2.735080789,0.0,2.735080789,0.0,36.754557377000005,0.597533596,5.125239263999999,0.597533596,0.597533596,3.5853237,9.400421739,1.792608143,9.400421739,0.0,4.527688932,0.0,2.735080789,0.0,2.735080789,8.802877118,0.0,0.0,0.0,16.663508755000002,0.0,0.0,40.681784335,10.75709426,1.195078217,0.0,0.597533596,3.332614385,0.0,0.0,3.332614385,1.792608143,3.332614385,2.735080789,0.0,0.0,4.780428052,0.0,23.83409021,1.195078217,8.96322642,2.390158475,0.597533596,0.597533596,0.0,0.0,0.0,2.390158475,1.195078217,4.527688932,0.0,0.0,0.0,0.0,5.125239263999999,1.195078217,0.0,78.38158053299999,1.195078217,16.72964337,0.0,0.0,0.0,0.0,3.5853237,2.735080789,12.985771574000001,0.0,0.0,0.597533596,15.720309092,0.0,5.377933695,1.792608143,0.0,5.377933695,4.527688932,0.0,2.987769065,27.35306412,0.066001952,0.01019799,0.0,0.047682961,0.0,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.099521026,0.0,1.475506886,0.0,0.066470876,0.006154792,0.249044755,0.0,0.0,0.071112284,1.0,1.0,[2]
3x3,0.0,2.681857644,1.792608143,1.195078217,0.0,0.0,1.792608143,7.156334275,0.0,0.0,6.26719028,3.5853237,1.792608143,0.597533596,2.084324048,0.597533596,9.852515016,5.975414182,0.597533596,5.072093113,2.084324048,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,3.279402265,0.0,0.0,0.0,5.975414182,0.0,0.0,10.42089135,0.0,0.597533596,2.084324048,1.195078217,0.0,2.681857644,9.254849741000001,2.987769065,13.102701876,0.0,0.0,0.0,4.16856521,0.0,24.122725607,0.597533596,4.474482523,0.597533596,0.597533596,3.5853237,3.279402265,3.876932191,1.195078217,2.084324048,1.792608143,0.0,0.0,0.0,0.0,13.102701876,0.0,0.0,0.0,2.987769065,0.0,0.0,25.317805865,12.841418308000002,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,8.045479926,0.597533596,4.16856521,0.0,0.0,4.780428052,0.0,14.32691573,1.195078217,8.96322642,4.474482523,0.597533596,0.597533596,0.0,2.084324048,0.0,2.390158475,1.195078217,1.792608143,0.0,0.0,0.0,0.0,4.474482523,1.195078217,0.0,85.164929863,1.195078217,16.72964337,0.0,0.0,0.0,2.084324048,3.5853237,0.0,6.8647521000000005,0.0,0.0,0.597533596,4.780428052,2.084324048,5.377933695,1.792608143,4.16856521,5.377933695,3.876932191,0.0,2.987769065,25.01357257,0.066001952,0.0,0.0,0.036134697,0.0,0.0,0.867583378,0.0,0.0,0.0,0.081697933,0.0,0.8829442869999999,0.093054962,0.085544591,0.010219957,0.249044755,0.0,0.0,0.071112284,1.0,1.0,[3]
4x4,0.0,0.597533596,3.033598563,2.436068637,0.0,0.0,3.033598563,6.7106826569999996,2.481929712,0.0,5.4238566520000004,3.5853237,1.792608143,0.597533596,1.24099042,3.079463308,12.732086123,5.975414182,0.597533596,2.987769065,3.722913592,1.195078217,0.597533596,0.0,0.0,4.274537855,0.0,3.677007929,1.792608143,0.0,1.195078217,1.838524016,13.329589927,2.436068637,0.0,0.0,0.0,12.18018217,1.24099042,0.0,31.02580095,1.24099042,3.079463308,1.24099042,1.195078217,0.0,0.597533596,7.170525693,5.469698777,5.561428751,0.0,0.0,0.0,1.24099042,0.0,14.847182467000001,0.597533596,8.594926463,0.597533596,0.597533596,3.5853237,3.677007929,4.274537855,14.847182467000001,0.0,3.033598563,0.0,0.0,0.0,0.0,4.320447188,1.24099042,0.0,0.0,9.192537053,0.0,0.0,43.346730705,11.99808468,8.640862797,0.0,0.597533596,0.597533596,0.0,0.0,1.838524016,4.274537855,1.838524016,7.44578458,1.24099042,0.0,6.021418472000001,0.0,21.325812560000003,1.195078217,8.96322642,2.390158475,4.320447188,1.838524016,2.481929712,1.24099042,0.0,2.390158475,1.195078217,1.792608143,0.0,0.0,0.0,0.0,9.835943055,1.195078217,0.0,67.56547149299999,1.195078217,17.97063379,1.24099042,0.0,0.0,0.0,3.5853237,0.0,22.154271002,0.0,0.0,0.597533596,8.503341644,1.24099042,5.377933695,1.792608143,0.0,6.618924115,3.033598563,0.0,2.987769065,31.02580095,0.066001952,0.027519328,0.022148275,0.039567407,0.0,0.024115643,2.080704195,0.0,0.000573232,0.0,0.093927223,0.0,0.276827972,0.0,0.07791780499999999,0.024368173,0.249044755,0.041091738,0.0206022,0.084820112,1.0,1.0,[4]
5x5,0.0,6.908060806,0.0,0.0,1.781762191,1.726967738,1.726967738,0.0,0.0,0.0,1.781762191,1.781762191,3.453997819,0.0,0.0,0.0,1.726967738,0.0,0.0,3.453997819,1.726967738,1.781762191,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,3.563415361,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,33.84977672,0.0,0.0,0.0,0.0,10.36318298,1.726967738,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,1.726967738,0.0,0.0,0.0,5.23576001,3.453997819,0.0,0.0,1.781762191,6.908060806,0.0,1.726967738,0.0,7.126995139,3.5087299290000002,0.0,0.0,1.781762191,8.634961864,0.0,39.030794602,0.0,1.781762191,0.0,1.726967738,3.5087299290000002,0.0,0.0,3.453997819,3.5087299290000002,5.290383099,7.126995139,0.0,0.0,1.781762191,0.0,3.563415361,3.563415361,14.035055945,0.0,5.181017882,1.781762191,0.0,0.0,0.0,1.781762191,0.0,1.726967738,0.0,0.0,0.0,0.0,3.563415361,1.726967738,8.689822997,99.78595144,1.726967738,1.726967738,0.0,0.0,1.781762191,0.0,1.726967738,0.0,5.345122338,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,3.5087299290000002,0.0,0.0,0.0,0.0,62.253834789,0.003631538,0.179490652,0.048331176,0.07095610399999999,0.0,0.098146499,2.199779119,0.146045869,0.0,0.0,0.138415583,0.0,0.866085438,0.0,0.12560627700000002,0.040686497,0.385182088,0.0,0.027362893,0.0,1.0,1.0,[0]
6x6,0.0,6.908060806,0.0,1.307597182,0.0,3.688387703,2.380794442,0.653826704,0.653826704,0.0,0.653826704,0.653826704,4.107824523,0.0,0.0,1.307597182,6.30357423,0.653826704,0.653826704,4.761595001,2.380794442,1.961419965,0.0,1.961419965,0.653826704,0.0,0.0,3.269037797,0.0,0.0,0.0,0.0,7.192001063,3.453997819,0.0,0.0,13.81494352,0.653826704,0.0,0.0,22.8836116,0.0,0.653826704,0.653826704,0.0,10.36318298,1.726967738,0.653826704,2.615263862,0.0,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,6.30357423,0.0,0.0,0.653826704,7.376886326,5.415417784,0.0,0.0,0.653826704,6.908060806,0.653826704,1.726967738,0.0,3.269037797,4.3422316,0.653826704,0.0,1.307597182,9.288788568,0.0,28.716805292,0.653826704,0.653826704,0.0,6.30357423,1.726967738,0.0,0.653826704,3.453997819,3.03456492,1.726967738,9.806871811,1.307597182,0.0,2.615263862,0.0,2.615263862,1.307597182,6.908060806,0.653826704,16.948345422,0.0,0.0,0.0,0.0,1.307597182,0.653826704,1.726967738,0.0,0.0,0.653826704,7.192001063,7.192001063,3.03456492,7.56188751,33.9945167,1.726967738,3.688387703,0.0,0.0,0.0,0.0,2.380794442,0.0,7.192001063,0.0,0.0,0.0,1.961419965,0.653826704,2.615263862,1.307597182,1.726967738,1.307597182,0.0,2.615263862,0.0,42.027091209,0.018259670999999998,0.126412101,0.027334801,0.054180631,0.0,0.069368072,1.553289152,0.029020436,0.0,0.0,0.112258933,0.0,0.808424415,0.0,0.100186315,0.036513589,0.372113382,0.0,0.019736348,0.014299006,1.0,1.0,[1]
7x7,0.0,6.908060806,8.205343522,5.470234187,0.0,4.462048527,1.726967738,2.735080789,0.0,8.205343522,0.0,2.735080789,3.453997819,0.0,0.0,0.0,1.726967738,5.470234187,0.0,3.453997819,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.924232006,0.0,0.0,13.81494352,0.0,0.0,0.0,21.88231712,2.735080789,2.735080789,0.0,0.0,10.36318298,1.726967738,0.0,5.470234187,10.93988104,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,4.462048527,0.0,0.0,0.0,11.659341341,3.453997819,8.205343522,0.0,2.735080789,6.908060806,2.735080789,1.726967738,2.735080789,8.205343522,1.726967738,0.0,0.0,13.67573969,8.634961864,0.0,43.472643742,0.0,0.0,0.0,1.726967738,4.462048527,0.0,0.0,6.189078608,1.726967738,4.462048527,2.735080789,0.0,0.0,0.0,0.0,13.67573969,0.0,6.908060806,0.0,5.181017882,0.0,0.0,0.0,0.0,0.0,0.0,4.462048527,0.0,0.0,0.0,0.0,2.735080789,1.726967738,6.908060806,76.58897239,1.726967738,1.726967738,0.0,0.0,0.0,0.0,1.726967738,2.735080789,8.205343522,0.0,0.0,0.0,10.93988104,0.0,0.0,0.0,1.726967738,0.0,2.735080789,0.0,0.0,30.807061939,0.003631538,0.09965726400000001,0.027334801,0.071365068,0.0,0.064822967,1.348172513,0.184019895,0.091746982,0.0,0.114808878,0.0,1.5045333859999999,0.0,0.016546384,0.036513589,0.372113382,0.0,0.019736348,0.0,1.0,1.0,[2]
8x8,0.0,8.992384854,0.0,0.0,0.0,1.726967738,1.726967738,4.16856521,0.0,0.0,2.084324048,0.0,3.453997819,0.0,2.084324048,0.0,3.811291786,0.0,0.0,5.5383218670000005,3.811291786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5383218670000005,0.0,0.0,13.81494352,0.0,0.0,0.0,10.42089135,0.0,0.0,2.084324048,0.0,10.36318298,3.811291786,2.084324048,0.0,12.50516828,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,3.811291786,0.0,0.0,0.0,5.5383218670000005,5.5383218670000005,0.0,2.084324048,0.0,6.908060806,0.0,1.726967738,0.0,12.50516828,1.726967738,0.0,0.0,0.0,8.634961864,0.0,28.108665272,2.084324048,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,7.979839521,1.726967738,4.16856521,0.0,0.0,0.0,0.0,4.16856521,0.0,6.908060806,2.084324048,5.181017882,0.0,0.0,2.084324048,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,2.084324048,1.726967738,6.908060806,83.37232172,1.726967738,1.726967738,0.0,0.0,0.0,2.084324048,1.726967738,0.0,2.084324048,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,5.895532948,0.0,2.084324048,0.0,0.0,28.467570389000002,0.003631538,0.089459274,0.027334801,0.059816804,0.0,0.035790683,0.867583378,0.0,0.0,0.0,0.096985785,0.0,0.911970787,0.093054962,0.035620099,0.040578754,0.372113382,0.0,0.019736348,0.0,1.0,1.0,[3]
9x9,0.0,6.908060806,1.24099042,1.24099042,0.0,1.726967738,2.967958158,3.722913592,2.481929712,0.0,1.24099042,0.0,3.453997819,0.0,1.24099042,2.481929712,6.690862893,0.0,0.0,3.453997819,5.44988133,0.0,0.0,0.0,0.0,2.481929712,0.0,2.481929712,0.0,0.0,0.0,1.24099042,4.963895155,4.694988239,0.0,0.0,13.81494352,6.204767988,1.24099042,0.0,31.02580095,1.24099042,2.481929712,1.24099042,0.0,10.36318298,1.726967738,0.0,2.481929712,4.963895155,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,7.931735726,0.0,0.0,0.0,5.935927531,5.935927531,13.65210425,0.0,1.24099042,6.908060806,0.0,1.726967738,0.0,3.722913592,2.967958158,0.0,0.0,6.204767988,8.634961864,0.0,46.137590112,1.24099042,7.44578458,0.0,1.726967738,1.726967738,0.0,0.0,4.694988239,4.20889745,2.967958158,7.44578458,1.24099042,0.0,1.24099042,0.0,11.16746204,0.0,6.908060806,0.0,8.903931474,1.24099042,2.481929712,1.24099042,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,7.44578458,1.726967738,6.908060806,65.77286335,1.726967738,2.967958158,1.24099042,0.0,0.0,0.0,1.726967738,0.0,17.37384295,0.0,0.0,0.0,3.722913592,1.24099042,0.0,0.0,1.726967738,1.24099042,1.24099042,0.0,0.0,34.479798769,0.003631538,0.116978602,0.049483076,0.063249514,0.0,0.059906325999999996,2.080704195,0.0,0.000573232,0.0,0.10921507500000001,0.0,0.305854472,0.0,0.027993313,0.05472697,0.372113382,0.041091738,0.040338548,0.013707828,1.0,1.0,[4]
