coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Ambiguous,permutationTracker
0x0,0.0,0.597533596,20.791226843,4.649793993,0.0,39.72864858,1.792608143,2.987769065,0.0,0.0,4.182866232,3.5853237,5.247323919,0.597533596,3.454715776,0.597533596,7.768190968,5.975414182,0.597533596,2.987769065,0.0,8.104413755,0.597533596,0.0,0.0,3.5199526519999997,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,8.104413755,1.727344509,0.0,0.0,5.975414182,0.0,0.0,0.0,1.727344509,0.597533596,0.0,1.195078217,1.727344509,0.597533596,7.170525693,4.715113574,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,2.9224227259999997,5.247323919,1.195078217,0.0,1.792608143,0.0,0.0,1.727344509,0.0,0.597533596,1.727344509,0.0,0.0,20.260354454999998,0.0,0.0,2.390158475,10.75709426,2.9224227259999997,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,3.5199526519999997,0.597533596,0.0,0.0,0.0,4.780428052,0.0,11.885695029,1.195078217,10.690570929,2.390158475,0.597533596,0.597533596,3.454715776,0.0,0.0,2.390158475,2.9224227259999997,1.792608143,0.0,0.0,0.0,0.0,4.117502984,1.195078217,0.0,1.792608143,1.195078217,16.72964337,0.0,0.0,0.0,0.0,7.0400394760000005,1.727344509,8.235143828,0.0,0.0,0.597533596,6.507772561,0.0,5.377933695,3.5199526519999997,1.727344509,7.105278204,3.5199526519999997,0.0,2.987769065,12.09181923,0.066001952,0.010649115,0.017095657,0.014857347,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.06299201,0.0,0.066470876,0.006154792,0.522371907,0.0,0.003225125,0.071112284,1.0,1.0,"[[0], [0]]"
1x1,0.0,6.908060806,18.9986187,3.454715776,0.0,41.455616318,1.726967738,0.0,0.0,0.0,0.0,0.0,6.908713595,0.0,3.454715776,0.0,1.726967738,0.0,0.0,3.453997819,1.726967738,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.363333357,1.727344509,0.0,13.81494352,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,12.090527489,1.726967738,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,5.1813423279999995,6.908713595,0.0,0.0,0.0,6.908060806,0.0,3.454312247,0.0,0.0,3.454312247,0.0,0.0,17.27258539,8.634961864,0.0,5.181017882,0.0,1.727344509,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,3.454312247,1.726967738,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,8.635405315,0.0,5.181017882,0.0,3.454715776,0.0,0.0,0.0,1.727344509,1.726967738,0.0,0.0,0.0,0.0,1.727344509,1.726967738,6.908060806,0.0,1.726967738,1.726967738,0.0,0.0,0.0,0.0,5.1816835139999995,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,3.454312247,1.727344509,1.727344509,0.0,0.0,15.545817049,0.003631538,0.100108389,0.044430458,0.038539454,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.09201851,0.0,0.016546384,0.036513589,0.645440534,0.0,0.022961473,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,18.9986187,3.454715776,0.0,58.159865499999995,0.0,3.685975353,0.0,0.0,0.0,0.0,3.454715776,0.0,3.454715776,3.685975353,0.0,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,11.05868637,10.595310891,1.727344509,0.0,3.685975353,0.0,0.0,0.0,3.685975353,1.727344509,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,11.05868637,0.0,0.0,0.0,0.0,0.0,5.413319862,3.454715776,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,3.685975353,1.727344509,0.0,0.0,17.27258539,0.0,0.0,11.05868637,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,5.413319862,3.685975353,1.727344509,0.0,0.0,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,25.80402412,0.0,0.0,0.0,0.0,0.0,3.685975353,7.140691129,1.727344509,10.826538048,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,41.57778797,0.009705217,0.010649115,0.030137771,0.034172535,0.0,0.0,0.512899224,0.0,0.0,0.0,0.0,0.0,0.240043728,0.0,0.0,0.0,0.475419963,0.0,0.003225125,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,1.162867924,20.161486624000002,5.780468840999999,0.0,39.72864858,0.0,4.070140566,0.0,0.0,1.744353171,1.162867924,4.036145874,0.0,3.454715776,0.0,4.651581567,4.070140566,0.581430098,0.0,0.581430098,6.909335538,0.0,0.0,0.0,4.053097574,0.0,7.558743282,0.581430098,0.581430098,0.581430098,0.581430098,5.233041235,8.072203462,1.727344509,0.0,0.0,1.162867924,0.0,0.581430098,13.95546773,1.727344509,4.070140566,0.0,0.0,1.727344509,0.0,0.0,2.890212433,0.0,0.581430098,0.0,0.0,0.0,0.0,17.44165954,0.0,0.581430098,0.0,1.162867924,0.0,5.797485075,7.524856342,0.581430098,0.0,0.0,0.0,1.162867924,1.727344509,0.0,2.907239205,2.890212433,0.0,0.0,21.924166957,0.0,0.0,15.11758614,11.04758503,30.801954219000002,0.581430098,1.162867924,1.162867924,0.0,0.0,0.581430098,3.47169768,1.162867924,4.651581567,0.0,0.581430098,6.977374856,0.581430098,11.031205713,2.325753065,1.727344509,1.162867924,5.233041235,0.581430098,3.454715776,1.162867924,0.0,0.0,1.727344509,2.325753065,0.0,0.581430098,0.581430098,0.581430098,8.704719364999999,0.0,0.0,20.93309905,1.162867924,16.28223873,0.0,0.0,0.0,0.0,4.036145874,2.308774607,4.6175837,0.0,0.581430098,0.581430098,10.448994923,0.581430098,0.0,1.727344509,2.308774607,5.797485075,2.890212433,0.0,0.0,33.60308939,0.0,0.010649115,0.017095657,0.029745731,0.0,0.0,0.897710672,0.0,0.0,0.0,0.077759848,0.0,0.094130186,0.0,0.054986737,0.0,0.5341672150000001,0.0,0.003225125,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,18.9986187,5.305340188,0.0,39.72864858,0.0,3.701213775,3.701213775,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,3.701213775,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,22.082365369,0.0,0.0,0.0,0.0,0.0,0.0,1.850624412,6.909335538,1.727344509,0.0,0.0,5.55179047,0.0,0.0,0.0,1.727344509,0.0,1.850624412,0.0,1.727344509,0.0,1.850624412,7.279134979,70.31813867,0.0,0.0,1.850624412,1.850624412,0.0,0.0,1.850624412,0.0,0.0,0.0,0.0,1.727344509,5.305340188,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,20.973799165,0.0,0.0,1.850624412,0.0,1.727344509,0.0,0.0,9.254157884,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,1.850624412,3.701213775,0.0,12.830538659,1.850624412,1.727344509,5.55179047,0.0,3.701213775,3.454715776,0.0,0.0,3.701213775,1.727344509,1.850624412,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,1.850624412,0.0,1.850624412,0.0,0.0,9.254157884,0.0,3.454715776,1.727344509,3.454715776,0.0,3.701213775,0.0,12.830538659,0.0,0.0,1.727344509,1.727344509,5.428558283999999,1.727344509,0.0,0.0,12.09181923,0.0,0.010900174,0.017095657,0.006038498,0.0,0.0,0.0,0.0,0.0,0.0,0.081650611,0.0,0.04044709,0.0,0.075162232,0.0,1.427546886,0.0,0.003225125,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.597533596,19.992553822999998,1.195078217,0.0,12.99909627,1.792608143,2.987769065,0.0,0.0,5.049546772,3.5853237,1.792608143,0.597533596,0.0,0.597533596,9.501507952,5.975414182,0.597533596,3.854449605,0.0,4.661708438,0.597533596,0.0,0.86668054,2.659288683,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,16.165640627,4.661708438,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,1.733316984,3.197512866,0.0,1.195078217,0.0,0.597533596,7.170525693,7.32111802,1.464214136,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,3.2568390149999997,0.597533596,0.597533596,3.5853237,5.528427172,2.659288683,1.195078217,0.0,1.792608143,1.733316984,0.0,0.0,0.0,0.597533596,1.733316984,0.86668054,0.86668054,28.990021935,0.0,1.733316984,3.2568390149999997,12.490411244,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.86668054,0.0,0.0,4.780428052,0.0,11.025031060000002,2.061758757,8.96322642,2.390158475,0.597533596,0.597533596,4.333348955,0.0,0.0,2.390158475,2.061758757,5.259238364,0.0,0.0,0.0,0.0,2.390158475,1.195078217,0.86668054,2.659288683,2.061758757,18.462960354000003,0.0,0.0,0.0,0.0,6.18530297,3.466630221,16.914518422,0.86668054,0.86668054,0.597533596,5.647108592,0.0,6.244614235,1.792608143,0.0,5.377933695,3.525925127,0.0,2.987769065,8.666739158,0.080059028,0.0,0.022251132,0.024263157,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.06299201,0.0,0.066470876,0.006154792,0.525924506,0.01306404,0.001579784,0.071112284,1.0,1.0,"[[1], [0]]"
6x6,0.0,6.908060806,18.19994568,0.0,0.0,14.726064008000002,1.726967738,0.0,0.0,0.0,0.86668054,0.0,3.453997819,0.0,0.0,0.0,3.460284722,0.0,0.0,4.320678359,1.726967738,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,6.92062804,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,1.733316984,2.59997927,0.0,0.0,10.36318298,1.726967738,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.593648278,0.0,0.0,0.0,7.7873467739999995,4.320678359,0.0,0.0,0.0,8.64137779,0.0,1.726967738,0.0,0.0,3.460284722,0.86668054,0.86668054,26.00225287,8.634961864,1.733316984,6.047698422,1.733316984,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,6.908060806,0.0,5.181017882,0.0,4.333348955,0.0,0.0,0.0,0.86668054,5.193597959,0.0,0.0,0.0,0.0,0.0,1.726967738,7.774741346,0.86668054,2.593648278,3.460284722,0.0,0.0,0.0,0.0,4.326947007999999,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,1.726967738,0.0,1.733316984,0.0,0.0,12.120736977,0.017688614,0.089459274,0.049585933,0.047945264,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.09201851,0.0,0.016546384,0.036513589,0.648993133,0.01306404,0.021316132,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,18.19994568,0.0,0.0,31.43031319,0.0,3.685975353,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,3.685975353,1.733316984,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,18.858632225,7.152605574,0.0,0.0,3.685975353,0.0,0.0,0.0,3.685975353,1.733316984,2.59997927,0.0,0.0,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,11.05868637,0.0,0.86668054,0.0,0.0,0.0,8.019324308,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,3.685975353,1.733316984,0.86668054,0.86668054,26.00225287,0.0,1.733316984,11.925366910000001,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,4.552655893,4.552655893,0.0,0.0,0.0,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,26.670704660000002,0.86668054,1.733316984,0.0,0.0,0.0,3.685975353,6.285954623,3.466630221,19.505912642,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,38.152707898,0.023762293,0.0,0.035293246,0.043578345,0.0,0.0,0.512899224,0.0,0.0,0.0,0.0,0.0,0.240043728,0.0,0.0,0.0,0.47897256200000005,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,1.162867924,19.362813604,2.325753065,0.0,12.99909627,0.0,4.070140566,0.0,0.0,2.611033711,1.162867924,0.581430098,0.0,0.0,0.0,6.384898551,4.070140566,0.581430098,0.86668054,0.581430098,3.466630221,0.0,0.0,0.86668054,3.1924336049999997,0.0,7.558743282,0.581430098,0.581430098,0.581430098,0.581430098,13.032987089999999,4.6294981449999995,0.0,0.0,0.0,1.162867924,0.0,0.581430098,13.95546773,1.733316984,6.670119836,0.0,0.0,0.0,0.0,0.0,5.496216879,0.86668054,0.581430098,0.0,0.0,0.0,0.0,17.44165954,0.0,1.4481106380000002,0.0,1.162867924,0.0,8.403489521000001,4.936821106,0.581430098,0.0,0.0,1.733316984,1.162867924,0.0,0.0,2.907239205,2.896184908,0.86668054,0.86668054,30.653834437,0.0,1.733316984,15.984266680000001,12.780902014,29.07460971,0.581430098,1.162867924,1.162867924,0.0,0.0,0.581430098,1.744353171,1.162867924,5.518262107,0.0,0.581430098,6.977374856,0.581430098,10.170541744000001,3.1924336049999997,0.0,1.162867924,5.233041235,0.581430098,4.333348955,1.162867924,0.0,0.0,0.86668054,5.792383286,0.0,0.581430098,0.581430098,0.581430098,6.977374856,0.0,0.86668054,21.79977959,2.029548464,18.015555714,0.0,0.0,0.0,0.0,3.1814093679999997,4.048060319,13.296958294,0.86668054,1.4481106380000002,0.581430098,9.588330954000002,0.581430098,0.86668054,0.0,0.581430098,4.070140566,2.896184908,0.0,0.0,30.178009318,0.014057076,0.0,0.022251132,0.039151541,0.0,0.0,0.897710672,0.0,0.0,0.0,0.077759848,0.0,0.094130186,0.0,0.054986737,0.0,0.537719814,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,18.19994568,1.850624412,0.0,12.99909627,0.0,3.701213775,3.701213775,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,5.434530758999999,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,21.2217014,0.0,0.0,0.0,0.0,0.0,0.0,9.650570266999999,3.466630221,0.0,0.0,0.0,5.55179047,0.0,0.0,0.0,1.733316984,2.59997927,1.850624412,0.0,0.0,0.0,1.850624412,9.885139425,71.18481921,0.0,0.0,1.850624412,1.850624412,0.0,0.0,1.850624412,0.86668054,0.0,0.0,0.0,4.333348955,2.717304952,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,0.0,1.733316984,0.86668054,0.86668054,29.703466645,0.0,1.733316984,2.717304952,1.733316984,0.0,0.0,0.0,9.254157884,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,1.850624412,3.701213775,0.0,11.969874690000001,2.717304952,0.0,5.55179047,0.0,3.701213775,4.333348955,0.0,0.0,3.701213775,0.86668054,5.317254633,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,2.717304952,0.86668054,3.583941396,0.0,0.0,9.254157884,0.0,2.59997927,3.466630221,12.13409037,0.86668054,4.567894315,0.0,11.969874690000001,0.0,0.86668054,0.0,0.0,3.701213775,1.733316984,0.0,0.0,8.666739158,0.014057076,0.000251059,0.022251132,0.015444308,0.0,0.0,0.0,0.0,0.0,0.0,0.081650611,0.0,0.04044709,0.0,0.075162232,0.0,1.431099485,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [4]]"
