coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Endothelial1
0x0,0.0,0.0,18.9986187,3.454715776,4.813664962,39.72864858,0.0,0.0,0.0,0.0,4.813664962,0.0,3.454715776,0.0,3.454715776,0.0,2.406826369,0.0,0.0,4.813664962,0.0,11.7230005,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,6.909335538,1.727344509,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,1.727344509,7.220533434,0.0,0.0,20.980840579000002,0.0,4.813664962,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.645291099,8.268380738,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,2.406826369,1.727344509,2.406826369,0.0,31.71445923,0.0,7.220533434,14.44187384,2.406826369,18.575773669,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,4.813664962,1.727344509,0.0,0.0,0.0,3.454715776,0.0,2.406826369,0.0,30.608679758999997,0.0,0.0,0.0,0.0,14.44187384,6.541009471,0.0,0.0,0.0,0.0,9.626738654,0.0,0.0,0.0,26.472615,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,12.09181923,0.0,0.010649115,0.017251174,0.003309212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5785359720000001,0.0,0.003225125,0.0,1.0,1.0
1x1,1.291870106,0.0,22.874240385,4.746585882,0.0,39.72864858,0.0,3.875621685,0.0,0.0,1.291870106,0.0,4.746585882,0.0,3.454715776,0.0,1.291870106,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,8.201205644,1.727344509,0.0,0.0,3.875621685,0.0,0.0,0.0,1.727344509,2.583686412,0.0,0.0,24.982273079000002,0.0,0.0,1.727344509,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,34.023953029,3.454715776,0.0,0.0,0.0,1.291870106,1.291870106,1.727344509,1.291870106,0.0,1.727344509,0.0,1.291870106,19.856271802,1.291870106,0.0,47.79777273,0.0,3.019214615,0.0,0.0,1.291870106,1.291870106,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,4.311030921,1.291870106,1.727344509,0.0,0.0,1.291870106,3.454715776,1.291870106,0.0,0.0,39.195379289,0.0,0.0,0.0,0.0,6.459333079,1.727344509,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,37.46803478,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,3.019214615,0.0,0.0,3.019214615,1.727344509,1.727344509,1.727344509,0.0,0.0,12.09181923,0.0,0.010649115,0.020375761,0.02138835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42301671,0.0,0.0,0.0,0.47075126600000006,0.0,0.003225125,0.0,1.0,1.0
2x2,0.0,0.0,18.9986187,6.297800863,0.0,40.676339322,0.947690742,2.843085087,0.0,0.947690742,5.686209804,0.947690742,5.350125309,0.0,3.454715776,5.686209804,13.26921232,0.0,0.0,1.895409533,0.947690742,8.804745071,0.0,0.0,0.0,9.308978741,0.0,0.947690742,0.947690742,0.0,0.0,0.0,3.790821612,8.804745071,1.727344509,0.0,0.0,0.947690742,0.947690742,0.0,0.0,1.727344509,0.0,0.0,0.947690742,30.158004409,0.0,3.790821612,1.727344509,0.0,1.895409533,1.895409533,0.0,0.947690742,0.0,0.0,0.947690742,3.790821612,0.0,0.0,0.947690742,24.473865949,4.402406518,5.686209804,0.0,0.0,4.738521327,0.0,1.727344509,0.0,0.947690742,1.727344509,0.0,0.947690742,18.220276132,0.0,0.0,19.90258509,0.947690742,1.727344509,0.0,0.0,5.686209804,0.0,0.0,0.947690742,1.727344509,0.0,0.0,0.947690742,0.0,4.738521327,0.0,2.6750352509999997,0.0,1.727344509,4.738521327,0.0,0.0,3.454715776,3.790821612,0.0,0.0,14.047214929,0.0,0.0,0.0,0.0,14.2159825,5.518166121,1.895409533,0.0,0.947690742,0.0,3.790821612,0.0,0.0,0.0,32.22002845,4.402406518,1.727344509,3.454715776,0.0,2.843085087,0.0,10.256622577,0.947690742,0.0,1.727344509,1.727344509,4.570429596,1.727344509,0.0,0.947690742,13.039509972000001,0.0,0.036046015,0.017095657,0.001908936,0.0,0.004078806,0.0,0.0,0.0,0.0,0.009594788,0.0,0.567978127,0.0,0.023309486,0.0,0.42564688700000003,0.0,0.003225125,0.0,1.0,1.0
3x3,0.0,0.0,18.9986187,3.454715776,0.0,41.491324866999996,0.0,10.57710574,0.0,0.0,10.57710574,5.288108113,3.454715776,0.0,3.454715776,0.0,0.0,1.762676287,1.762676287,0.0,0.0,8.672011825,1.762676287,3.525431547,0.0,3.4900207959999996,0.0,5.288108113,0.0,0.0,0.0,1.762676287,12.33828522,6.909335538,1.727344509,0.0,0.0,7.050817835,1.762676287,0.0,0.0,1.727344509,1.762676287,0.0,1.762676287,17.592874759,0.0,0.0,5.252776056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.525431547,12.304450249,3.454715776,0.0,0.0,0.0,1.762676287,0.0,1.727344509,0.0,0.0,3.4900207959999996,0.0,0.0,27.84969113,0.0,1.762676287,12.33828522,1.762676287,17.592874759,0.0,1.762676287,1.762676287,0.0,0.0,0.0,3.4900207959999996,0.0,0.0,0.0,1.762676287,1.762676287,1.762676287,12.304450249,0.0,1.727344509,1.762676287,3.525431547,0.0,3.454715776,0.0,0.0,0.0,10.540755778,0.0,0.0,0.0,0.0,12.33828522,1.727344509,0.0,0.0,3.525431547,0.0,7.050817835,0.0,0.0,0.0,14.10080154,6.980147323000001,5.252776056,5.217392063,0.0,0.0,0.0,14.065629729,1.762676287,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,15.617250777,0.0,0.010649115,0.017095657,0.009124151,0.0,0.0,0.0,0.0,0.0,0.0,0.0962308,0.0,0.0,0.0,0.0,0.038173646,0.579377743,0.0,0.003225125,0.001947578,1.0,1.0
4x4,0.0,0.0,21.454270696000002,5.910367772,0.0,40.956468075,0.0,0.0,0.0,0.0,1.227819495,0.0,3.454715776,1.227819495,3.454715776,0.0,1.227819495,0.0,0.0,2.455651996,0.0,11.820594698,0.0,0.0,0.0,1.727344509,0.0,1.227819495,1.227819495,0.0,1.227819495,0.0,1.227819495,10.592829881,1.727344509,0.0,0.0,1.227819495,0.0,0.0,0.0,1.727344509,1.227819495,1.227819495,1.227819495,34.878075179,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.227819495,1.227819495,0.0,0.0,0.0,0.0,48.381414678999995,3.454715776,1.227819495,0.0,0.0,18.41779894,0.0,1.727344509,0.0,0.0,2.9551640040000002,0.0,0.0,23.41179281,0.0,1.227819495,42.97440784,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,1.227819495,0.0,0.0,0.0,4.182996505,0.0,1.727344509,0.0,2.455651996,0.0,3.454715776,1.227819495,0.0,0.0,11.549156884,0.0,0.0,0.0,0.0,9.821812375,1.727344509,0.0,0.0,8.594889996,0.0,0.0,0.0,0.0,0.0,41.74644475,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,2.9551640040000002,0.0,0.0,1.727344509,2.9551640040000002,2.9551640040000002,1.727344509,0.0,0.0,13.319638725,0.0,0.052395495,0.018841664,0.0,0.025491347,0.0,0.0,0.0,0.0,0.0,0.0,0.046094696,0.057752353,0.0,0.0,0.291040897,0.39893730000000005,0.0,0.003225125,0.100167978,1.0,1.0
5x5,0.0,0.0,18.19994568,0.0,4.813664962,12.99909627,0.0,0.0,0.0,0.0,5.680345502,0.0,0.0,0.0,0.0,0.0,4.140143353,0.0,0.0,5.680345502,0.0,8.280295183,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,10.206772224,3.466630221,0.0,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,1.733316984,9.820512704,0.0,0.0,19.25349607,0.0,4.813664962,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,45.251295545,5.680345502,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,2.406826369,1.733316984,3.273506909,0.86668054,40.44412671,0.0,8.953850418,15.30855438,4.140143353,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,5.680345502,0.0,0.0,0.0,0.0,4.333348955,0.0,2.406826369,0.0,29.74801579,3.466630221,0.0,0.0,0.0,14.44187384,4.813664962,0.0,0.86668054,0.86668054,0.86668054,11.360055638,0.0,0.0,0.0,26.472615,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,8.666739158,0.014057076,0.0,0.022406649,0.012715022000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582088571,0.01306404,0.001579784,0.0,1.0,1.0
6x6,1.291870106,0.0,22.075567364999998,1.291870106,0.0,12.99909627,0.0,3.875621685,0.0,0.0,2.158550646,0.0,1.291870106,0.0,0.0,0.0,3.02518709,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,1.291870106,0.0,0.0,0.0,7.799945855,4.758500327,0.0,0.0,0.0,3.875621685,0.0,0.0,0.0,1.733316984,5.183665682,0.0,0.0,23.25492857,0.0,0.0,4.333348955,3.450366952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.450366952,0.0,0.0,0.0,36.629957475,0.86668054,0.0,0.0,0.0,3.02518709,1.291870106,0.0,1.291870106,0.0,1.733316984,0.86668054,2.158550646,28.585939282,1.291870106,1.733316984,48.664453269999996,1.733316984,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,3.450366952,2.158550646,0.0,0.0,0.0,1.291870106,4.333348955,1.291870106,0.0,0.0,38.33471532,3.466630221,0.0,0.0,0.0,6.459333079,0.0,0.0,0.86668054,2.158550646,0.86668054,1.733316984,0.0,0.0,0.0,37.46803478,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,2.158550646,0.0,0.86668054,1.291870106,0.0,0.0,1.733316984,0.0,0.0,8.666739158,0.014057076,0.0,0.025531236,0.03079416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42301671,0.0,0.0,0.0,0.474303865,0.01306404,0.001579784,0.0,1.0,1.0
7x7,0.0,0.0,18.19994568,2.843085087,0.0,13.946787012000001,0.947690742,2.843085087,0.0,0.947690742,6.552890344,0.947690742,1.895409533,0.0,0.0,5.686209804,15.002529304,0.0,0.0,2.762090073,0.947690742,5.3620397539999995,0.0,0.0,0.86668054,8.448314772,0.0,0.947690742,0.947690742,0.0,0.0,0.0,11.590767467,5.3620397539999995,0.0,0.0,0.0,0.947690742,0.947690742,0.0,0.0,1.733316984,2.59997927,0.0,0.947690742,28.4306599,0.0,3.790821612,4.333348955,0.86668054,1.895409533,1.895409533,0.0,0.947690742,0.0,0.0,0.947690742,4.657502152,0.0,0.0,0.947690742,27.079870395,1.8143712820000002,5.686209804,0.0,0.0,6.471838311,0.0,0.0,0.0,0.947690742,1.733316984,0.86668054,1.8143712820000002,26.949943612,0.0,1.733316984,20.76926563,2.681007726,0.0,0.0,0.0,5.686209804,0.0,0.0,0.947690742,0.0,0.0,0.86668054,0.947690742,0.0,4.738521327,0.0,1.8143712820000002,0.86668054,0.0,4.738521327,0.0,0.0,4.333348955,3.790821612,0.0,0.0,13.186550960000002,3.466630221,0.0,0.0,0.0,14.2159825,3.790821612,1.895409533,0.86668054,1.8143712820000002,0.86668054,5.524138596,0.0,0.0,0.0,32.22002845,3.547670012,3.466630221,12.13409037,0.86668054,3.709765627,0.0,9.395958608,0.947690742,0.86668054,0.0,0.0,2.843085087,1.733316984,0.0,0.947690742,9.614429900000001,0.014057076,0.0253969,0.022251132,0.011314746,0.0,0.004078806,0.0,0.0,0.0,0.0,0.009594788,0.0,0.567978127,0.0,0.023309486,0.0,0.429199486,0.01306404,0.001579784,0.0,1.0,1.0
8x8,0.0,0.0,18.19994568,0.0,0.0,14.761772557,0.0,10.57710574,0.0,0.0,11.443786280000001,5.288108113,0.0,0.0,0.0,0.0,1.733316984,1.762676287,1.762676287,0.86668054,0.0,5.229306508,1.762676287,3.525431547,0.86668054,2.629356827,0.0,5.288108113,0.0,0.0,0.0,1.762676287,20.138231075,3.466630221,0.0,0.0,0.0,7.050817835,1.762676287,0.0,0.0,1.733316984,4.362655557,0.0,1.762676287,15.86553025,0.0,0.0,7.858780502,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,3.525431547,14.910454695,0.86668054,0.0,0.0,0.0,3.4959932709999997,0.0,0.0,0.0,0.0,3.4959932709999997,0.86668054,0.86668054,36.57935861,0.0,3.4959932709999997,13.20496576,3.4959932709999997,15.86553025,0.0,1.762676287,1.762676287,0.0,0.0,0.0,1.762676287,0.0,0.86668054,0.0,1.762676287,1.762676287,1.762676287,11.443786280000001,0.86668054,0.0,1.762676287,3.525431547,0.0,4.333348955,0.0,0.0,0.0,9.680091809,3.466630221,0.0,0.0,0.0,12.33828522,0.0,0.0,0.86668054,4.392112087,0.86668054,8.784134819,0.0,0.0,0.0,14.10080154,6.125410817000001,6.992061768,13.896766656999999,0.86668054,0.86668054,0.0,13.20496576,1.762676287,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,12.192170705,0.014057076,0.0,0.022251132,0.018529961,0.0,0.0,0.0,0.0,0.0,0.0,0.0962308,0.0,0.0,0.0,0.0,0.038173646,0.582930342,0.01306404,0.001579784,0.001947578,1.0,1.0
9x9,0.0,0.0,20.655597676,2.455651996,0.0,14.226915765000001,0.0,0.0,0.0,0.0,2.0945000350000003,0.0,0.0,1.227819495,0.0,0.0,2.9611364790000003,0.0,0.0,3.322332536,0.0,8.377889381,0.0,0.0,0.86668054,0.86668054,0.0,1.227819495,1.227819495,0.0,1.227819495,0.0,9.02776535,7.150124564,0.0,0.0,0.0,1.227819495,0.0,0.0,0.0,1.733316984,3.827798765,1.227819495,1.227819495,33.15073067,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,1.227819495,1.227819495,0.86668054,0.0,0.0,0.0,50.987419124999995,0.86668054,1.227819495,0.0,0.0,20.151115924000003,0.0,0.0,0.0,0.0,2.9611364790000003,0.86668054,0.86668054,32.14146029,0.0,2.9611364790000003,43.841088379999995,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,1.227819495,0.0,0.0,0.0,3.322332536,0.86668054,0.0,0.0,2.455651996,0.0,4.333348955,1.227819495,0.0,0.0,10.688492915000001,3.466630221,0.0,0.0,0.0,9.821812375,0.0,0.0,0.86668054,9.461570536,0.86668054,1.733316984,0.0,0.0,0.0,41.74644475,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,2.0945000350000003,0.0,0.86668054,0.0,1.227819495,1.227819495,1.733316984,0.0,0.0,9.894558653,0.014057076,0.04174638,0.023997139,0.00940581,0.025491347,0.0,0.0,0.0,0.0,0.0,0.0,0.046094696,0.057752353,0.0,0.0,0.291040897,0.402489899,0.01306404,0.001579784,0.100167978,1.0,1.0
