coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Endothelial2,Astrocytecells
0x0,0.690985953,1.381990362,33.165629640000006,6.564225382,0.34548853,48.711623959,2.072981884,1.381990362,0.0,0.0,4.491487508,0.0,11.746732868,0.0,3.454715776,0.0,3.454920928,0.690985953,0.0,1.381990362,0.0,8.636805649,0.0,0.34548853,0.34548853,3.4548146199999996,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,3.800428439,14.164771255,1.727344509,0.0,0.34548853,0.0,0.0,0.0,0.690985953,1.727344509,1.381990362,0.34548853,0.0,6.909785786,0.0,0.0,3.4548146199999996,11.05591008,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,1.381990362,0.0,0.0,0.0,14.512129609,4.836706138,0.34548853,0.0,0.34548853,1.0364793,0.34548853,1.727344509,1.381990362,1.0364793,5.873347094,0.0,0.0,39.03928094,6.909881914,0.0,6.218882949,1.381990362,1.727344509,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,2.418330462,0.0,1.0364793,0.690985953,0.0,0.690985953,1.0364793,5.182265437,0.690985953,15.201725509,0.0,2.418456045,2.418456045,4.836706138,0.0,0.0,0.690985953,42.500761379,3.109509606,0.34548853,0.0,0.690985953,1.0364793,2.763823809,0.34548853,0.34548853,1.381990362,0.34548853,0.0,0.0,0.34548853,0.690985953,14.50957867,5.527697659999999,6.2188320169999995,6.218719115,0.34548853,0.34548853,0.690985953,2.418330462,1.0364793,0.690985953,2.763823809,3.8003263929999997,2.418330462,2.072833039,0.0,0.0,15.201328836,0.0,0.010649115,0.03036476,0.020750262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331925703,0.0,0.0,0.0,0.292110177,0.0,0.003225125,0.0,1.0,1.0,[0]
1x1,0.0,2.599813489,20.298524243000003,3.454715776,0.0,41.028554123,1.299905543,1.299905543,0.0,0.0,7.799540612,0.0,13.854588436,1.299905543,3.454715776,0.0,1.299905543,1.299905543,0.0,5.199690368,1.299905543,8.209241081,0.0,0.0,0.0,1.727344509,1.299905543,0.0,5.199690368,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,2.599813489,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.299905543,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,0.0,1.299905543,0.0,0.0,5.627163087,4.754621319,0.0,0.0,0.0,0.0,2.599813489,1.727344509,0.0,6.499632803,4.327157998000001,0.0,0.0,22.472275758,0.0,0.0,0.0,1.299905543,3.027250052,0.0,0.0,0.0,0.0,0.0,0.0,4.327157998000001,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,75.820438759,0.0,1.299905543,2.599813489,3.454715776,0.0,0.0,0.0,23.826707309,2.599813489,0.0,0.0,0.0,0.0,1.727344509,0.0,2.599813489,15.59969085,0.0,0.0,0.0,0.0,0.0,0.0,4.754621319,1.727344509,4.754621319,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,6.927034877,3.027250052,1.727344509,0.0,0.0,12.09181923,0.0,0.054688783,0.02263739,0.0,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.0,0.0,0.717789722,0.0,0.0,0.0,0.273327152,0.0,0.003225125,0.0,1.0,1.0,[1]
2x2,0.0,3.883261708,21.587507482000003,6.043604558,0.0,39.72864858,3.883261708,2.588888782,1.294457406,0.0,2.588888782,0.0,18.989555896,0.0,3.454715776,0.0,1.294457406,0.0,1.294457406,10.35533628,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,1.294457406,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,0.0,2.588888782,0.0,0.0,0.0,1.727344509,11.65027597,0.0,0.0,3.021801915,0.0,2.588888782,3.021801915,9.060046775,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,7.766575956,0.0,0.0,0.0,17.262184629,3.454715776,2.588888782,0.0,0.0,3.883261708,0.0,1.727344509,2.588888782,2.588888782,4.316233291,0.0,0.0,23.744811411,29.77513736,0.0,1.294457406,0.0,1.727344509,0.0,2.588888782,1.294457406,0.0,0.0,0.0,3.021801915,2.588888782,0.0,0.0,0.0,0.0,0.0,4.316233291,1.294457406,40.556399299,3.883261708,2.588888782,0.0,4.749173182,3.883261708,0.0,0.0,63.866678999,0.0,0.0,0.0,1.294457406,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,1.727344509,9.926941797,0.0,0.0,0.0,5.610606217,1.294457406,0.0,3.021801915,4.316233291,1.727344509,1.727344509,0.0,0.0,17.269564545,0.0,0.03627034,0.017095657,0.032535518,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.0,0.0,1.015672636,0.0,0.0,0.0,0.273327152,0.0,0.003225125,0.0,1.0,1.0,[2]
3x3,0.0,0.0,19.839899396,5.978586763,0.0,42.252519567,2.523870987,0.841280696,0.0,0.0,3.365158322,0.0,24.489053416,0.0,3.454715776,0.841280696,1.682563431,0.841280696,0.0,0.841280696,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.841280696,0.0,0.0,0.0,0.0,0.0,2.523870987,9.433206525,1.727344509,0.0,0.0,0.841280696,0.0,0.0,0.0,1.727344509,3.365158322,0.0,0.0,1.727344509,0.841280696,0.0,1.727344509,0.841280696,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,2.523870987,0.0,0.0,0.0,8.457531508999999,4.295996472,0.0,0.0,0.841280696,0.0,0.0,1.727344509,0.0,2.523870987,5.092502831,0.0,0.841280696,28.20971749,0.841280696,0.0,2.523870987,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.841280696,0.0,0.0,0.0,0.841280696,0.0,2.568625205,0.0,39.587094309,0.0,8.412825336,0.841280696,3.454715776,0.0,0.0,0.0,16.870930079,3.365158322,0.0,0.0,0.841280696,0.841280696,4.251215496,0.841280696,0.841280696,2.523870987,0.0,0.841280696,0.0,0.0,0.0,1.682563431,3.454715776,2.568625205,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.841280696,3.40990794,1.727344509,1.727344509,2.568625205,0.0,0.0,12.933099926,0.0,0.044186047,0.054349374,0.052063612,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.0,0.0,1.105086761,0.0,0.0,0.0,0.273327152,0.0,0.012388313,0.0,1.0,1.0,[3]
4x4,0.628845904,1.886556084,23.400561734,6.59900446,0.0,45.388277031,0.628845904,1.257719583,0.0,0.0,2.515442509,0.0,22.320238626000002,0.628845904,3.454715776,0.0,1.257719583,0.628845904,0.628845904,1.886556084,0.0,11.311278571999999,0.628845904,0.0,0.0,2.3561904129999998,0.0,0.0,3.144288684,0.0,0.0,0.0,1.886556084,13.197866449,1.727344509,0.628845904,1.886556084,0.0,0.0,1.257719583,0.628845904,2.3561904129999998,0.628845904,0.0,0.0,24.364760589,0.628845904,0.628845904,2.3561904129999998,6.917352842,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,4.401943034,0.0,0.0,1.257719583,11.788487329,5.970158285,3.773094139,0.0,0.0,2.515442509,0.0,1.727344509,6.288530911,5.030870458,1.727344509,0.0,0.0,36.13810824,28.9295371,1.257719583,8.803925446,0.628845904,2.3561904129999998,0.0,5.659628451,1.257719583,0.0,0.0,0.0,1.727344509,0.628845904,0.0,0.628845904,0.628845904,2.515442509,0.0,2.985064092,1.257719583,14.304225149,1.886556084,5.030870458,0.0,5.34127186,1.257719583,0.0,0.0,86.628696659,8.803925446,0.0,0.628845904,0.0,0.628845904,2.985064092,0.628845904,0.628845904,1.886556084,0.628845904,0.0,0.0,0.0,0.628845904,3.773094139,5.970158285,2.985064092,4.7124353590000005,0.0,0.0,0.0,1.727344509,0.628845904,0.0,2.3561904129999998,5.500438647999999,1.727344509,2.985064092,0.0,0.0,14.607261739,0.0,0.030463891,0.017095657,0.048559308,0.0,0.0,0.0,0.032514121,0.0,0.0,0.0,0.0,0.768682994,0.0,0.028612979,0.009018433,0.273327152,0.0,0.003225125,0.0,1.0,1.0,[4]
5x5,0.690985953,1.381990362,32.366956619999996,3.109509606,0.34548853,21.982071649,2.072981884,1.381990362,0.0,0.0,5.358168048,0.0,8.292017092,0.0,0.0,0.0,5.188237912,0.690985953,0.0,2.248670902,0.0,5.194100332,0.0,0.34548853,1.21216907,2.594150651,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,11.600374294,10.722065938,0.0,0.0,0.34548853,0.0,0.0,0.0,0.690985953,1.733316984,3.981969632,0.34548853,0.0,5.182441277,0.0,0.0,6.060819066,11.922590620000001,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,2.248670902,0.0,0.0,0.0,17.118134055,2.248670902,0.34548853,0.0,0.34548853,2.769796284,0.34548853,0.0,1.381990362,1.0364793,5.879319569,0.86668054,0.86668054,47.76894842,6.909881914,1.733316984,7.085563489,3.115307346,0.0,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,0.0,1.9031598400000003,0.690985953,0.0,0.690985953,1.0364793,4.321601468,1.5576664930000002,13.474381,0.0,2.418456045,2.418456045,5.715339317,0.0,0.0,0.690985953,41.640097409999996,6.576139827,0.34548853,0.0,0.690985953,1.0364793,1.0364793,0.34548853,1.21216907,2.248670902,1.21216907,1.733316984,0.0,0.34548853,0.690985953,14.50957867,4.672961153999999,7.958117729,14.898093709,1.21216907,1.21216907,0.690985953,1.5576664930000002,1.0364793,1.5576664930000002,1.0364793,2.072981884,0.690985953,2.078805514,0.0,0.0,11.776248764,0.014057076,0.0,0.035520235,0.030156072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331925703,0.0,0.0,0.0,0.295662776,0.01306404,0.001579784,0.0,1.0,1.0,[0]
6x6,0.0,2.599813489,19.499851223,0.0,0.0,14.299001813,1.299905543,1.299905543,0.0,0.0,8.666221152,0.0,10.39987266,1.299905543,0.0,0.0,3.033222527,1.299905543,0.0,6.066370908,1.299905543,4.766535764,0.0,0.0,0.86668054,0.86668054,1.299905543,0.0,5.199690368,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,5.199792759,0.0,0.0,0.0,0.0,0.0,4.333348955,2.166586083,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,0.86668054,1.299905543,0.0,0.0,8.233167533,2.166586083,0.0,0.0,0.0,1.733316984,2.599813489,0.0,0.0,6.499632803,4.333130473000001,0.86668054,0.86668054,31.201943238,0.0,1.733316984,0.86668054,3.033222527,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,74.09309425,0.0,1.299905543,2.599813489,4.333348955,0.0,0.0,0.0,22.966043340000002,6.06644371,0.0,0.0,0.0,0.0,0.0,0.0,3.466494029,16.46637139,0.86668054,1.733316984,0.0,0.0,0.0,0.0,3.899884813,3.466630221,13.433995912999999,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,5.199690368,1.299905543,1.733316984,0.0,0.0,8.666739158,0.014057076,0.044039668,0.027792865,0.00940581,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.0,0.0,0.717789722,0.0,0.0,0.0,0.276879751,0.01306404,0.001579784,0.0,1.0,1.0,[1]
7x7,0.0,3.883261708,20.788834462,2.588888782,0.0,12.99909627,3.883261708,2.588888782,1.294457406,0.0,3.455569322,0.0,15.53484012,0.0,0.0,0.0,3.0277743900000003,0.0,1.294457406,11.22201682,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,1.294457406,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,0.0,2.588888782,0.0,0.0,0.0,1.733316984,14.25025524,0.0,0.0,1.294457406,0.0,2.588888782,5.627806361,9.926727315,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,8.633256496,0.0,0.0,0.0,19.868189075,0.86668054,2.588888782,0.0,0.0,5.616578692,0.0,0.0,2.588888782,2.588888782,4.322205766,0.86668054,0.86668054,32.474478891,29.77513736,1.733316984,2.161137946,1.733316984,0.0,0.0,2.588888782,1.294457406,0.0,0.0,0.0,1.294457406,2.588888782,0.86668054,0.0,0.0,0.0,0.0,3.455569322,2.161137946,38.82905479,3.883261708,2.588888782,0.0,5.627806361,3.883261708,0.0,0.0,63.00601503,3.466630221,0.0,0.0,1.294457406,0.0,0.0,0.0,0.86668054,0.86668054,0.86668054,1.733316984,0.0,0.0,0.0,0.0,2.59997927,3.466630221,18.606316391,0.86668054,0.86668054,0.0,4.749942248,1.294457406,0.86668054,1.294457406,2.588888782,0.0,1.733316984,0.0,0.0,13.844484473000001,0.014057076,0.025621225,0.022251132,0.041941328,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.0,0.0,1.015672636,0.0,0.0,0.0,0.276879751,0.01306404,0.001579784,0.0,1.0,1.0,[2]
8x8,0.0,0.0,19.041226375999997,2.523870987,0.0,15.522967257000001,2.523870987,0.841280696,0.0,0.0,4.231838862,0.0,21.03433764,0.0,0.0,0.841280696,3.415880415,0.841280696,0.0,1.707961236,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.841280696,0.0,0.0,0.0,0.0,0.0,10.323816842,5.9905012079999995,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,1.733316984,5.965137592,0.0,0.0,0.0,0.841280696,0.0,4.333348955,1.707961236,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,3.390551527,0.0,0.0,0.0,11.063535954999999,1.707961236,0.0,0.0,0.841280696,1.733316984,0.0,0.0,0.0,2.523870987,5.098475306,0.86668054,1.707961236,36.93938497,0.841280696,1.733316984,3.390551527,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,0.86668054,0.0,0.0,0.841280696,0.0,1.707961236,0.86668054,37.8597498,0.0,8.412825336,0.841280696,4.333348955,0.0,0.0,0.0,16.01026611,6.831788543,0.0,0.0,0.841280696,0.841280696,2.523870987,0.841280696,1.707961236,3.390551527,0.86668054,2.57459768,0.0,0.0,0.0,1.682563431,2.59997927,4.307910917,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,1.707961236,1.682563431,0.0,0.0,2.57459768,0.0,0.0,9.508019854,0.014057076,0.033536932,0.059504849,0.061469422,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.0,0.0,1.105086761,0.0,0.0,0.0,0.276879751,0.01306404,0.010742972,0.0,1.0,1.0,[3]
9x9,0.628845904,1.886556084,22.601888713999998,3.144288684,0.0,18.658724721,0.628845904,1.257719583,0.0,0.0,3.382123049,0.0,18.86552285,0.628845904,0.0,0.0,2.991036567,0.628845904,0.628845904,2.753236624,0.0,7.868573255,0.628845904,0.0,0.86668054,1.495526444,0.0,0.0,3.144288684,0.0,0.0,0.0,9.686501939,9.755161132,0.0,0.628845904,1.886556084,0.0,0.0,1.257719583,0.628845904,2.362162888,3.228825174,0.0,0.0,22.63741608,0.628845904,0.628845904,4.962194859,7.784033382,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,5.268623574,0.0,0.0,1.257719583,14.394491775,3.382123049,3.773094139,0.0,0.0,4.248759493,0.0,0.0,6.288530911,5.030870458,1.733316984,0.86668054,0.86668054,44.86777572,28.9295371,2.991036567,9.670605986,2.362162888,0.628845904,0.0,5.659628451,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.86668054,0.628845904,0.628845904,2.515442509,0.0,2.124400123,2.124400123,12.57688064,1.886556084,5.030870458,0.0,6.219905039,1.257719583,0.0,0.0,85.76803269,12.270555667,0.0,0.628845904,0.0,0.628845904,1.257719583,0.628845904,1.495526444,2.753236624,1.495526444,1.733316984,0.0,0.0,0.628845904,3.773094139,5.115421779,4.724349804,13.391809953,0.86668054,0.86668054,0.0,0.86668054,0.628845904,0.86668054,0.628845904,3.773094139,0.0,2.991036567,0.0,0.0,11.182181667,0.014057076,0.019814776,0.022251132,0.057965118,0.0,0.0,0.0,0.032514121,0.0,0.0,0.0,0.0,0.768682994,0.0,0.028612979,0.009018433,0.276879751,0.01306404,0.001579784,0.0,1.0,1.0,[4]
