coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Ependymal,Astrocytecells
0x0,0.0,6.362579546,18.9986187,3.454715776,0.0,52.45325819,6.362579546,12.72460961,0.0,0.0,12.72460961,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,19.08630255,6.362579546,13.271915084,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.633945148,1.727344509,0.0,6.362579546,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72460961,0.0,0.0,1.727344509,3.454715776,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,12.72460961,1.727344509,0.0,0.0,125.44175329000001,0.0,0.0,6.362579546,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,19.08630255,0.0,9.817295322,0.0,0.0,0.0,1.727344509,0.0,6.362579546,0.0,0.0,6.362579546,8.089924055000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,1.727344509,9.817295322,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,8.089924055000001,1.727344509,0.0,0.0,18.454398776,0.0,0.138568342,0.017095657,0.042797545,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.028340641,0.0,1.390451848,0.0,0.0722153,0.0,0.281265573,0.0,0.037340511,0.0,1.0,1.0,[0]
1x1,0.274911387,0.41237493,21.885130584000002,4.416900996,1.237072195,66.66695009,1.237072195,0.824735831,0.0,0.41237493,5.223289438,0.137454413,3.454715776,0.137454413,3.592170189,0.41237493,3.02401879,1.237072195,7.422480225,0.824735831,29.82478102,10.620627297999999,0.41237493,0.274911387,0.5498155,2.414596697,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,7.321710468,1.727344509,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,0.274911387,1.8647989219999999,0.137454413,0.41237493,0.274911387,3.3768205709999997,0.687252188,0.137454413,1.727344509,1.649476062,0.0,0.274911387,0.0,2.33672181,2.061822428,0.137454413,0.41237493,1.924354378,0.824735831,1.512002111,0.0,9.424755642000001,8.265570261,2.886511884,0.0,0.0,0.41237493,0.41237493,1.727344509,0.274911387,6.047904326,5.026270812,0.41237493,0.687252188,74.45610649,0.0,0.5498155,3.848752315,0.274911387,1.727344509,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,2.6895297289999998,0.5498155,0.0,0.41237493,0.137454413,0.96218522,0.0,3.789166937,0.5498155,1.727344509,0.5498155,3.573829803,0.5498155,6.478734566,0.137454413,0.137454413,0.687252188,1.8647989219999999,3.298926303,0.0,0.0,0.0,0.0,4.2015059830000006,0.41237493,0.274911387,1.099616611,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,1.099616611,9.227854957,5.576096824,6.89110866,0.0,0.41237493,0.0,2.82696112,0.824735831,0.0,2.002255896,3.926607926,5.3011743120000006,4.2015059830000006,0.137454413,0.274911387,19.651745028,0.0,0.15386434100000002,0.040473477,0.058341924,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.018011772,0.0,1.528715671,0.0,0.084820791,0.0,0.273327152,0.0,0.037481008,0.0,1.0,1.0,[1]
2x2,0.38640463,0.38640463,19.771419749000003,6.546003284999999,0.38640463,75.66040817999999,0.38640463,9.273064148,0.0,0.772801049,5.409733898,0.0,3.454715776,0.38640463,5.000314825,0.38640463,3.47764852,1.932040737,3.091287509,1.159235441,34.39158396,8.454934587,1.159235441,0.38640463,0.38640463,3.2729435579999997,0.772801049,1.932040737,4.250491987,0.38640463,0.38640463,0.0,2.704844633,8.454934587,1.727344509,0.0,5.796103746,0.772801049,0.0,0.38640463,0.38640463,1.727344509,0.772801049,0.0,0.0,2.113749139,0.38640463,0.772801049,2.113749139,1.159235441,0.38640463,0.772801049,0.0,1.545599049,0.38640463,1.159235441,0.38640463,3.47764852,0.772801049,0.38640463,1.159235441,6.750582175,7.705207763000001,2.318409668,0.0,1.159235441,0.0,0.38640463,1.727344509,0.38640463,4.636895712,4.432189142,0.38640463,0.38640463,44.7106476,0.0,0.0,2.704844633,0.0,2.113749139,0.38640463,0.772801049,3.091287509,0.38640463,0.772801049,0.0,4.432189142,0.38640463,0.0,1.159235441,0.0,1.545599049,0.0,5.204993029,0.772801049,1.727344509,1.545599049,1.545599049,1.159235441,5.000314825,0.772801049,0.0,2.318409668,2.113749139,4.636895712,0.772801049,0.0,0.772801049,0.38640463,5.204993029,0.38640463,0.38640463,0.772801049,0.0,0.38640463,0.38640463,0.0,0.0,0.772801049,7.318787833,8.296196279,6.159560409,0.0,1.159235441,0.0,9.069148865999999,0.38640463,0.772801049,1.727344509,3.659385246,3.659385246,2.113749139,0.0,0.0,15.955891287,0.0,0.044966918,0.017095657,0.070168097,0.0,0.043316318,0.0,0.581248039,0.0,0.0,0.067692028,0.0,0.545859432,0.0,0.070020258,0.040490214,0.40276412300000003,0.184977216,0.015857714,0.016971307,1.0,1.0,[2]
3x3,0.0,0.0,19.849974965,5.157429208,0.851356265,78.88923077,0.851356265,0.0,2.55410292,0.0,4.256782398,0.851356265,3.454715776,0.0,4.306072041,0.0,2.55410292,3.405447195,11.0670191,0.851356265,39.16058219,10.314782733,0.851356265,0.0,0.0,1.727344509,0.851356265,0.0,4.256782398,0.0,1.702713432,0.0,0.851356265,7.760691802999999,1.727344509,0.0,4.256782398,3.405447195,0.0,0.851356265,0.0,3.430057941,0.0,0.0,0.0,4.281447429,0.0,0.0,1.727344509,2.55410292,0.851356265,0.0,0.0,4.256782398,0.851356265,0.0,0.0,2.55410292,2.55410292,0.851356265,0.851356265,9.389580274,5.157429208,1.702713432,0.0,2.55410292,0.851356265,1.702713432,2.5787007739999996,0.0,5.108154309,2.5787007739999996,0.0,0.0,81.97782449,0.0,1.702713432,4.256782398,0.851356265,2.5787007739999996,0.0,4.256782398,1.702713432,0.0,0.851356265,1.702713432,3.430057941,0.0,0.0,0.0,0.851356265,0.0,1.702713432,2.5787007739999996,0.0,1.727344509,0.851356265,4.256782398,0.0,5.157429208,0.0,0.851356265,1.702713432,1.727344509,2.55410292,0.0,0.0,0.0,0.0,4.281447429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.702713432,0.0,10.265596393,11.093077077,5.157429208,0.0,0.851356265,0.0,5.132791704,0.851356265,0.0,1.727344509,3.430057941,6.835498818,4.281447429,0.851356265,2.55410292,18.902699847,0.0,0.10450221,0.017095657,0.07204743,0.0,0.108339982,0.0,1.022320573,0.0,0.0,0.047362451,0.0,1.135157912,0.0,0.077556373,0.001605037,0.273327152,0.0,0.013481733000000001,0.0,1.0,1.0,[3]
4x4,0.0,0.0,19.926365540000003,5.310201544,1.855485768,77.76776683,2.783293202,0.92774684,0.0,0.92774684,9.277796159,0.0,4.382462616,0.0,3.454715776,0.0,3.711074802,1.855485768,7.422092365,0.0,41.74644475,6.909335538,0.0,0.92774684,0.0,1.727344509,0.92774684,0.0,0.0,0.0,0.0,0.92774684,0.0,6.909335538,1.727344509,0.0,3.711074802,0.92774684,0.92774684,0.0,0.0,4.510637710999999,0.0,0.0,0.0,1.727344509,1.855485768,0.92774684,1.727344509,0.0,0.0,1.855485768,0.0,0.92774684,0.0,0.0,0.0,0.92774684,0.92774684,0.0,0.0,10.07709454,6.238008978,0.0,0.0,0.92774684,0.0,0.92774684,2.655091349,0.0,7.422092365,7.293936006,0.0,0.0,73.86960352,0.0,0.0,3.711074802,0.0,1.727344509,0.92774684,0.92774684,3.711074802,0.92774684,0.92774684,0.0,7.293936006,0.92774684,0.0,1.855485768,0.0,0.0,0.0,2.655091349,0.92774684,1.727344509,0.0,6.494281465,0.0,6.238008978,0.0,0.0,1.855485768,1.727344509,1.855485768,0.0,0.0,0.0,0.0,2.655091349,0.0,0.0,0.92774684,0.92774684,0.0,0.0,0.0,0.0,0.92774684,13.659409766000001,7.293936006,4.382462616,0.0,0.0,0.0,2.655091349,0.0,0.0,1.727344509,4.510637710999999,2.655091349,6.366187472,0.0,0.0,19.513911595,0.0,0.13603639,0.051287243,0.075404873,0.0,0.129892172,0.0,1.185848208,0.0,0.0,0.019527161,0.0,1.140079959,0.0,0.051228194,0.0,0.273327152,0.023021592,0.057947113,0.0,1.0,1.0,[4]
5x5,0.0,6.362579546,18.19994568,0.0,0.0,25.72370588,6.362579546,12.72460961,0.0,0.0,13.59129015,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,19.95298309,6.362579546,9.829209767,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,16.191239831,0.0,0.0,6.362579546,0.0,0.0,0.0,0.0,1.733316984,2.59997927,0.0,0.0,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,12.72460961,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,12.72460961,1.733316984,0.86668054,0.86668054,134.17142077,0.0,1.733316984,7.229260086,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,19.08630255,0.0,10.695928501000001,0.0,0.0,0.0,0.86668054,3.466630221,6.362579546,0.0,0.0,6.362579546,6.362579546,0.0,0.86668054,0.86668054,0.86668054,1.733316984,0.0,0.0,0.0,0.0,2.59997927,3.466630221,18.496669916,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,6.362579546,1.733316984,0.0,0.0,15.029318704000001,0.014057076,0.127919227,0.022251132,0.052203355,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.028340641,0.0,1.390451848,0.0,0.0722153,0.0,0.284818172,0.01306404,0.03569517,0.0,1.0,1.0,[0]
6x6,0.274911387,0.41237493,21.086457564,0.96218522,1.237072195,39.93739778,1.237072195,0.824735831,0.0,0.41237493,6.089969978,0.137454413,0.0,0.137454413,0.137454413,0.41237493,4.7573357739999995,1.237072195,7.422480225,1.691416371,29.82478102,7.177921981,0.41237493,0.274911387,1.4164960400000002,1.553932728,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,9.311947966,3.879005151,0.0,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,0.274911387,1.870771397,2.737433683,0.41237493,0.274911387,1.649476062,0.687252188,0.137454413,4.333348955,2.516156602,0.0,0.274911387,0.0,2.33672181,2.061822428,0.137454413,0.41237493,2.7910349180000003,0.824735831,1.512002111,0.0,12.030760088000001,5.677535025,2.886511884,0.0,0.0,2.145691914,0.41237493,0.0,0.274911387,6.047904326,5.032243287,1.27905547,1.553932728,83.18577397,0.0,2.2831324840000002,4.715432855,2.008228371,0.0,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,0.96218522,0.5498155,0.86668054,0.41237493,0.137454413,0.96218522,0.0,2.928502968,1.4164960400000002,0.0,0.5498155,3.573829803,0.5498155,7.3573677449999995,0.137454413,0.137454413,0.687252188,1.004134953,6.765556524,0.0,0.0,0.0,0.0,2.474161474,0.41237493,1.1415919270000001,1.966297151,1.4164960400000002,2.145691914,0.137454413,0.137454413,0.5498155,1.099616611,8.373118451,7.3153825359999995,15.570483253999999,0.86668054,1.27905547,0.0,1.966297151,0.824735831,0.86668054,0.274911387,2.199263417,3.573829803,4.207478458000001,0.137454413,0.274911387,16.226664956,0.014057076,0.143215226,0.045628952,0.067747734,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.018011772,0.0,1.528715671,0.0,0.084820791,0.0,0.276879751,0.01306404,0.035835667,0.0,1.0,1.0,[1]
7x7,0.38640463,0.38640463,18.972746729,3.091287509,0.38640463,48.93085587,0.38640463,9.273064148,0.0,0.772801049,6.276414438,0.0,0.0,0.38640463,1.545599049,0.38640463,5.210965504,1.932040737,3.091287509,2.0259159810000003,34.39158396,5.01222927,1.159235441,0.38640463,1.25308517,2.412279589,0.772801049,1.932040737,4.250491987,0.38640463,0.38640463,0.0,10.504790488,5.01222927,0.0,0.0,5.796103746,0.772801049,0.0,0.38640463,0.38640463,1.733316984,3.372780319,0.0,0.0,0.38640463,0.38640463,0.772801049,4.719753585,2.0259159810000003,0.38640463,0.772801049,0.0,1.545599049,0.38640463,1.159235441,0.38640463,4.34432906,0.772801049,0.38640463,1.159235441,9.356586621,5.117172527,2.318409668,0.0,1.159235441,1.733316984,0.38640463,0.0,0.38640463,4.636895712,4.4381616170000004,1.25308517,1.25308517,53.44031508,0.0,1.733316984,3.571525173,1.733316984,0.38640463,0.38640463,0.772801049,3.091287509,0.38640463,0.772801049,0.0,2.704844633,0.38640463,0.86668054,1.159235441,0.0,1.545599049,0.0,4.34432906,1.639481589,0.0,1.545599049,1.545599049,1.159235441,5.878948004,0.772801049,0.0,2.318409668,1.25308517,8.103525933,0.772801049,0.0,0.772801049,0.38640463,3.47764852,0.38640463,1.25308517,1.639481589,0.86668054,2.119721614,0.38640463,0.0,0.0,0.772801049,6.464051327,10.035481991000001,14.838935003,0.86668054,2.0259159810000003,0.0,8.208484897,0.38640463,1.639481589,0.0,1.932040737,1.932040737,2.119721614,0.0,0.0,12.530811215,0.014057076,0.034317803,0.022251132,0.079573907,0.0,0.043316318,0.0,0.581248039,0.0,0.0,0.067692028,0.0,0.545859432,0.0,0.070020258,0.040490214,0.406316722,0.198041256,0.014212373,0.016971307,1.0,1.0,[2]
8x8,0.0,0.0,19.051301945,1.702713432,0.851356265,52.15967846,0.851356265,0.0,2.55410292,0.0,5.123462938,0.851356265,0.0,0.0,0.851356265,0.0,4.287419904,3.405447195,11.0670191,1.7180368050000001,39.16058219,6.872077416,0.851356265,0.0,0.86668054,0.86668054,0.851356265,0.0,4.256782398,0.0,1.702713432,0.0,8.65130212,4.317986486,0.0,0.0,4.256782398,3.405447195,0.0,0.851356265,0.0,3.436030416,2.59997927,0.0,0.0,2.55410292,0.0,0.0,4.333348955,3.42078346,0.851356265,0.0,0.0,4.256782398,0.851356265,0.0,0.0,3.42078346,2.55410292,0.851356265,0.851356265,11.99558472,2.569393972,1.702713432,0.0,2.55410292,2.5846732489999997,1.702713432,0.851356265,0.0,5.108154309,2.5846732489999997,0.86668054,0.86668054,90.70749197,0.0,3.436030416,5.123462938,2.5846732489999997,0.851356265,0.0,4.256782398,1.702713432,0.0,0.851356265,1.702713432,1.702713432,0.0,0.86668054,0.0,0.851356265,0.0,1.702713432,1.7180368050000001,0.86668054,0.0,0.851356265,4.256782398,0.0,6.036062386999999,0.0,0.851356265,1.702713432,0.86668054,6.020733141,0.0,0.0,0.0,0.0,2.55410292,0.0,0.86668054,0.86668054,0.86668054,1.733316984,0.0,0.0,1.702713432,0.0,9.410859886999999,12.832362789000001,13.836803801999999,0.86668054,1.7180368050000001,0.0,4.272127735,0.851356265,0.86668054,0.0,1.702713432,5.108154309,4.287419904,0.851356265,2.55410292,15.477619775,0.014057076,0.093853095,0.022251132,0.08145324,0.0,0.108339982,0.0,1.022320573,0.0,0.0,0.047362451,0.0,1.135157912,0.0,0.077556373,0.001605037,0.276879751,0.01306404,0.011836392000000001,0.0,1.0,1.0,[3]
9x9,0.0,0.0,19.12769252,1.855485768,1.855485768,51.038214520000004,2.783293202,0.92774684,0.0,0.92774684,10.144476699,0.0,0.92774684,0.0,0.0,0.0,5.444391786000001,1.855485768,7.422092365,0.86668054,41.74644475,3.466630221,0.0,0.92774684,0.86668054,0.86668054,0.92774684,0.0,0.0,0.0,0.0,0.92774684,7.799945855,3.466630221,0.0,0.0,3.711074802,0.92774684,0.92774684,0.0,0.0,4.516610185999999,2.59997927,0.0,0.0,0.0,1.855485768,0.92774684,4.333348955,0.86668054,0.0,1.855485768,0.0,0.92774684,0.0,0.0,0.0,1.7944273800000001,0.92774684,0.0,0.0,12.683098986,3.649973742,0.0,0.0,0.92774684,1.733316984,0.92774684,0.92774684,0.0,7.422092365,7.299908481,0.86668054,0.86668054,82.599271,0.0,1.733316984,4.577755342000001,1.733316984,0.0,0.92774684,0.92774684,3.711074802,0.92774684,0.92774684,0.0,5.566591497,0.92774684,0.86668054,1.855485768,0.0,0.0,0.0,1.7944273800000001,1.7944273800000001,0.0,0.0,6.494281465,0.0,7.116642156999999,0.0,0.0,1.855485768,0.86668054,5.322115989,0.0,0.0,0.0,0.0,0.92774684,0.0,0.86668054,1.7944273800000001,1.7944273800000001,1.733316984,0.0,0.0,0.0,0.92774684,12.804673260000001,9.033221718,13.061837209999998,0.86668054,0.86668054,0.0,1.7944273800000001,0.0,0.86668054,0.0,2.783293202,0.92774684,6.372159947,0.0,0.0,16.088831523,0.014057076,0.125387275,0.056442718,0.084810683,0.0,0.129892172,0.0,1.185848208,0.0,0.0,0.019527161,0.0,1.140079959,0.0,0.051228194,0.0,0.276879751,0.036085632,0.056301772,0.0,1.0,1.0,[4]
