coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Excitatory,permutationTracker
0x0,0.0,0.0,18.9986187,10.176541577,0.0,39.72864858,10.6439411,1.120313117,0.0,0.560163093,7.281900338,0.560163093,3.454715776,0.0,3.454715776,0.560163093,11.76438809,0.560163093,0.0,0.0,1.120313117,7.4694986309999996,0.560163093,0.560163093,8.962308815,3.967978627,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,8.589799669,2.847657626,0.0,0.0,0.0,0.0,0.560163093,0.0,2.287507602,17.92343619,0.560163093,0.0,1.727344509,0.0,0.560163093,3.967978627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00375625,0.0,0.560163093,3.921075182,12.371285609,6.815654657,0.0,0.0,0.0,0.0,0.0,2.287507602,0.0,1.120313117,1.727344509,0.560163093,0.0,21.193660572,0.0,0.0,0.560163093,6.721825801,2.287507602,0.0,0.560163093,0.0,0.0,0.0,0.0,20.772064778999997,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,12.371285609,1.120313117,1.727344509,1.120313117,0.0,1.120313117,3.454715776,0.0,0.560163093,0.560163093,2.287507602,0.560163093,0.0,1.120313117,0.0,0.0,17.969835189,0.0,0.0,1.120313117,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,15.171760919,0.0,1.120313117,1.727344509,1.727344509,5.648419691,1.727344509,0.560163093,0.0,12.09181923,0.002912167,0.047136451,0.017095657,0.032228866,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.0,0.0,0.050427299,0.0,0.569252546,0.0,0.003225125,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.516421733,21.580655143,13.266565482,0.0,40.245070313,3.614875615,16.52669382,0.0,0.0,1.549235748,0.0,3.454715776,1.032825032,3.971137509,15.49301295,5.68051587,0.516421733,0.516421733,0.0,1.032825032,6.909335538,0.516421733,0.0,0.0,1.727344509,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,9.491371981,2.243766242,0.0,0.0,1.549235748,0.0,0.0,0.516421733,2.243766242,0.0,0.0,0.0,1.727344509,0.0,7.229813622,5.858675154,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,9.294375367,0.0,0.0,1.032825032,7.924319607,4.487540808,20.65708495,0.0,1.549235748,0.0,0.516421733,3.276580257,0.0,0.516421733,2.243766242,0.0,0.0,23.985881428,0.0,0.0,1.032825032,0.0,2.760169541,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,2.760169541,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,24.965524158999997,2.065631854,2.243766242,2.582036443,0.0,1.549235748,3.454715776,11.36232054,0.0,1.549235748,1.727344509,0.0,0.0,0.0,0.0,0.0,6.891449113,0.0,0.516421733,0.0,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,4.487540808,1.727344509,3.971137509,0.516421733,1.032825032,0.0,8.440640547000001,0.0,0.0,2.243766242,3.7929763629999997,5.342220124,1.727344509,0.0,0.0,12.09181923,0.0,0.010649115,0.017095657,0.008200712,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.0,0.0,0.011299983,0.0,0.6220415690000001,0.0,0.003225125,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,18.9986187,3.454715776,0.0,39.72864858,0.0,5.279715953,0.0,0.0,10.55846068,0.0,3.454715776,0.0,3.454715776,10.55846068,5.279715953,0.0,5.279715953,0.0,0.0,6.909335538,0.0,0.0,0.0,7.007060462,0.0,10.55846068,0.0,0.0,0.0,0.0,10.55846068,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,15.83836813,0.0,0.0,1.727344509,5.279715953,10.55846068,7.007060462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6813509,0.0,0.0,0.0,1.727344509,19.293083906,31.6813509,5.279715953,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,5.279715953,0.0,27.83104607,0.0,0.0,0.0,5.279715953,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,10.55846068,0.0,0.0,0.0,15.83836813,0.0,28.124154648999998,0.0,1.727344509,5.279715953,0.0,0.0,3.454715776,15.83836813,0.0,0.0,1.727344509,0.0,0.0,0.0,5.279715953,0.0,12.285805189,0.0,0.0,0.0,0.0,42.24142525,0.0,0.0,0.0,0.0,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,22.848102269,0.0,0.0,7.007060462,7.007060462,1.727344509,1.727344509,0.0,0.0,12.09181923,0.0,0.059247055,0.017095657,0.0,0.002580838,0.0,0.021738598,0.061778678,0.0,0.0,0.062620035,0.298613759,0.0,0.0,0.045796057,0.0,0.511014638,0.0,0.005826971,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,18.9986187,4.33398932,0.879273544,41.487256635,5.27581308,0.0,0.0,0.0,8.792870241,3.517207078,3.454715776,0.879273544,3.454715776,5.27581308,7.913740775,0.879273544,1.758608055,0.879273544,0.879273544,7.788609082,0.879273544,0.0,0.879273544,16.675115849,0.879273544,8.792870241,1.758608055,0.0,0.879273544,0.0,5.27581308,7.788609082,1.727344509,0.0,1.758608055,0.0,0.0,0.0,0.879273544,2.606618053,0.0,0.879273544,1.758608055,1.727344509,0.0,0.879273544,1.727344509,0.0,8.792870241,0.0,0.879273544,27.25530502,0.879273544,0.879273544,8.792870241,2.63789366,0.0,0.879273544,0.879273544,2.606618053,6.971922854000001,0.879273544,0.0,2.63789366,0.0,0.0,1.727344509,0.879273544,0.0,2.606618053,1.758608055,0.0,17.27258539,0.0,0.879273544,9.673331543,0.0,2.606618053,0.0,0.879273544,0.879273544,1.758608055,0.879273544,0.0,3.4859525639999998,1.758608055,0.0,4.396472894,0.879273544,9.673331543,0.0,18.432510389,0.0,2.606618053,4.396472894,0.0,0.879273544,3.454715776,4.396472894,1.758608055,5.27581308,1.727344509,0.879273544,0.0,0.0,0.879273544,0.0,6.123817403,0.0,1.758608055,0.0,1.758608055,7.913740775,0.0,0.0,0.0,0.0,6.092609436,2.606618053,3.454715776,0.0,9.673331543,0.0,11.400676052,0.0,0.0,2.606618053,4.3652381689999995,2.606618053,1.727344509,3.517207078,0.0,12.09181923,0.0,0.020830823,0.017095657,0.046969427,0.0,0.0,0.0,0.008975219,0.0,0.0,0.062713016,0.0,0.693869702,0.0,0.150238765,0.0,0.5328034530000001,0.0,0.003225125,0.049909825,1.0,1.0,"[[0], [3]]"
4x4,0.360786525,0.0,19.720209765,34.843899276,1.443149259,40.089435105,2.886332908,7.937375397,0.360786525,0.360786525,1.443149259,1.803948289,3.454715776,1.082380077,16.444145146,10.46304507,28.14070135,1.443149259,2.16475431,0.360786525,0.360786525,7.630926603,0.360786525,0.0,0.721591065,1.727344509,0.0,0.0,0.721591065,0.0,0.360786525,2.525494163,7.576498184,8.352484796999999,1.727344509,0.0,0.360786525,9.380063253,0.0,0.0,0.360786525,1.727344509,0.721591065,0.0,0.360786525,1.727344509,0.360786525,3.968668243,4.613677417,22.36684082,8.298223906,0.721591065,0.0,0.721591065,0.360786525,1.082380077,1.443149259,5.772671325,0.0,0.0,0.721591065,6.417576854,6.341048684,6.494281465,3.968668243,0.0,0.721591065,1.082380077,1.727344509,0.0,0.0,3.892098819,0.0,0.721591065,17.994176454999998,0.0,0.0,2.886332908,9.020744753,2.088131034,0.0,2.16475431,0.360786525,0.0,0.360786525,0.0,2.088131034,9.020744753,0.360786525,0.721591065,1.443149259,8.298223906,0.721591065,9.664719906,14.43121066,1.727344509,1.803948289,0.0,1.443149259,3.815502301,5.051039668,0.0,0.360786525,1.727344509,1.803948289,1.082380077,0.360786525,0.0,3.968668243,9.303842693,0.360786525,0.0,0.0,0.721591065,5.411800485,0.0,0.0,0.0,0.360786525,4.897865035,2.088131034,3.815502301,0.721591065,0.0,1.443149259,8.943147185,0.0,8.298223906,2.8097245859999997,4.613677417,3.531292798,2.088131034,0.721591065,0.0,13.174199307,0.0,0.011377688,0.017095657,0.0,0.078810091,0.0,0.001710878,0.0,0.0,0.0,0.043852174,0.0,0.0,0.0,0.0,0.149637708,0.38719072200000004,0.743130894,0.003225125,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,18.19994568,6.721825801,0.0,12.99909627,10.6439411,1.120313117,0.0,0.560163093,8.148580878,0.560163093,0.0,0.0,0.0,0.560163093,13.497705074,0.560163093,0.0,0.86668054,1.120313117,4.026793314,0.560163093,0.560163093,9.828989355000001,3.107314658,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,17.321987104,5.147094352,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,2.293480077,20.52341546,0.560163093,0.0,0.0,0.0,0.560163093,6.573983073,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.870436790000001,0.0,0.560163093,3.921075182,14.977290055,4.227619421,0.0,0.0,0.0,1.733316984,0.0,0.560163093,0.0,1.120313117,1.733316984,1.426843633,0.86668054,29.923328052,0.0,1.733316984,1.426843633,8.455142785,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.9869936570000002,3.921075182,0.0,11.76438809,0.0,11.51062164,1.9869936570000002,0.0,1.120313117,0.0,1.120313117,4.333348955,0.0,0.560163093,0.560163093,1.426843633,4.026793314,0.0,1.120313117,0.0,0.0,16.24249068,0.0,0.86668054,1.9869936570000002,0.86668054,10.695625799,2.240634118,0.560163093,0.560163093,0.560163093,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,14.311096950000001,0.0,1.9869936570000002,0.0,0.0,3.921075182,1.733316984,0.560163093,0.0,8.666739158,0.016969243,0.036487336,0.022251132,0.041634676,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.0,0.0,0.050427299,0.0,0.572805145,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.516421733,20.781982123,9.811849706,0.0,13.515518003,3.614875615,16.52669382,0.0,0.0,2.415916288,0.0,0.0,1.032825032,0.516421733,15.49301295,7.413832854,0.516421733,0.516421733,0.86668054,1.032825032,3.466630221,0.516421733,0.0,0.86668054,0.86668054,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,13.480461725,6.048666664,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,2.249738717,2.59997927,0.0,0.0,0.0,0.0,7.229813622,8.4646796,4.998011185,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,10.161055907000001,0.0,0.0,1.032825032,10.530324053000001,1.8995055720000003,20.65708495,0.0,1.549235748,1.733316984,0.516421733,1.549235748,0.0,0.516421733,2.249738717,0.86668054,0.86668054,32.715548908,0.0,1.733316984,1.8995055720000003,1.733316984,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.8995055720000003,0.0,1.032825032,5.68051587,0.516421733,24.10486019,2.9323123939999998,0.516421733,2.582036443,0.0,1.549235748,4.333348955,11.36232054,0.0,1.549235748,0.86668054,3.466630221,0.0,0.0,0.0,0.0,5.164104604,0.0,1.383102273,0.86668054,0.86668054,12.062536714,0.0,0.0,0.516421733,0.516421733,3.6328043020000003,3.466630221,12.650512102999999,1.383102273,1.8995055720000003,0.0,7.579976578,0.0,0.86668054,0.516421733,2.065631854,3.614875615,1.733316984,0.0,0.0,8.666739158,0.014057076,0.0,0.022251132,0.017606522,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.0,0.0,0.011299983,0.0,0.625594168,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,18.19994568,0.0,0.0,12.99909627,0.0,5.279715953,0.0,0.0,11.42514122,0.0,0.0,0.0,0.0,10.55846068,7.013032937,0.0,5.279715953,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,6.146396493,0.0,10.55846068,0.0,0.0,0.0,0.0,18.358406535,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,18.438347399999998,0.0,0.0,0.0,5.279715953,10.55846068,9.613064908,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.54803144,0.0,0.0,0.0,4.333348955,16.70504867,31.6813509,5.279715953,0.0,1.733316984,0.0,0.0,0.0,0.0,1.733316984,6.146396493,0.86668054,36.56071355,0.0,1.733316984,0.86668054,7.013032937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55846068,0.86668054,0.0,0.0,15.83836813,0.0,27.26349068,0.86668054,0.0,5.279715953,0.0,0.0,4.333348955,15.83836813,0.0,0.0,0.86668054,3.466630221,0.0,0.0,5.279715953,0.0,10.55846068,0.0,0.86668054,0.86668054,0.86668054,43.974742234,0.0,0.0,0.0,0.0,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,21.9874383,0.0,0.86668054,5.279715953,5.279715953,0.0,1.733316984,0.0,0.0,8.666739158,0.014057076,0.04859794,0.022251132,0.00940581,0.002580838,0.0,0.021738598,0.061778678,0.0,0.0,0.062620035,0.298613759,0.0,0.0,0.045796057,0.0,0.5145672370000001,0.01306404,0.00418163,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,18.19994568,0.879273544,0.879273544,14.757704325,5.27581308,0.0,0.0,0.0,9.659550781,3.517207078,0.0,0.879273544,0.0,5.27581308,9.647057758999999,0.879273544,1.758608055,1.745954084,0.879273544,4.345903765,0.879273544,0.0,1.745954084,15.81445188,0.879273544,8.792870241,1.758608055,0.0,0.879273544,0.0,13.075758935,4.345903765,0.0,0.0,1.758608055,0.0,0.0,0.0,0.879273544,2.612590528,2.59997927,0.879273544,1.758608055,0.0,0.0,0.879273544,4.333348955,0.86668054,8.792870241,0.0,0.879273544,27.25530502,0.879273544,0.879273544,8.792870241,3.5045742,0.0,0.879273544,0.879273544,5.212622499,4.383887618,0.879273544,0.0,2.63789366,1.733316984,0.0,0.0,0.879273544,0.0,2.612590528,2.6252885950000002,0.86668054,26.00225287,0.0,2.612590528,10.540012083,1.733316984,0.879273544,0.0,0.879273544,0.879273544,1.758608055,0.879273544,0.0,1.758608055,1.758608055,0.86668054,4.396472894,0.879273544,9.673331543,0.0,17.57184642,0.86668054,0.879273544,4.396472894,0.0,0.879273544,4.333348955,4.396472894,1.758608055,5.27581308,0.86668054,4.345903765,0.0,0.0,0.879273544,0.0,4.396472894,0.0,2.6252885950000002,0.86668054,2.6252885950000002,9.647057758999999,0.0,0.0,0.0,0.0,5.23787293,4.345903765,12.13409037,0.86668054,10.540012083,0.0,10.540012083,0.0,0.86668054,0.879273544,2.63789366,0.879273544,1.733316984,3.517207078,0.0,8.666739158,0.014057076,0.010181708,0.022251132,0.056375237,0.0,0.0,0.0,0.008975219,0.0,0.0,0.062713016,0.0,0.693869702,0.0,0.150238765,0.0,0.536356052,0.01306404,0.001579784,0.049909825,1.0,1.0,"[[1], [3]]"
9x9,0.360786525,0.0,18.921536744999997,31.3891835,1.443149259,13.359882795,2.886332908,7.937375397,0.360786525,0.360786525,2.309829799,1.803948289,0.0,1.082380077,12.98942937,10.46304507,29.874018334,1.443149259,2.16475431,1.2274670650000001,0.360786525,4.188221286,0.360786525,0.0,1.588271605,0.86668054,0.0,0.0,0.721591065,0.0,0.360786525,2.525494163,15.376444038999999,4.90977948,0.0,0.0,0.360786525,9.380063253,0.0,0.0,0.360786525,1.733316984,3.321570335,0.0,0.360786525,0.0,0.360786525,3.968668243,7.219681863,23.23352136,8.298223906,0.721591065,0.0,0.721591065,0.360786525,1.082380077,1.443149259,6.639351865,0.0,0.0,0.721591065,9.0235813,3.753013448,6.494281465,3.968668243,0.0,2.454908049,1.082380077,0.0,0.0,0.0,3.898071294,0.86668054,1.588271605,26.723843934999998,0.0,1.733316984,3.753013448,10.754061737,0.360786525,0.0,2.16475431,0.360786525,0.0,0.360786525,0.0,0.360786525,9.020744753,1.2274670650000001,0.721591065,1.443149259,8.298223906,0.721591065,8.804055937000001,15.2978912,0.0,1.803948289,0.0,1.443149259,4.69413548,5.051039668,0.0,0.360786525,0.86668054,5.27057851,1.082380077,0.360786525,0.0,3.968668243,7.576498184,0.360786525,0.86668054,0.86668054,1.588271605,7.145117469,0.0,0.0,0.0,0.360786525,4.043128529,3.827416746,12.494876894999999,1.588271605,0.86668054,1.443149259,8.082483216,0.0,9.164904446000001,1.082380077,2.886332908,1.803948289,2.094103509,0.721591065,0.0,9.749119235,0.014057076,0.000728573,0.022251132,0.00940581,0.078810091,0.0,0.001710878,0.0,0.0,0.0,0.043852174,0.0,0.0,0.0,0.0,0.149637708,0.390743321,0.756194934,0.001579784,0.0,1.0,1.0,"[[1], [4]]"
