coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Microglia
0x0,0.891907941,0.0,34.16080096,3.454715776,0.0,58.45741814,0.0,1.783812624,0.0,0.0,1.783812624,0.891907941,3.454715776,0.0,3.454715776,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,8.693148162,0.0,0.0,0.0,1.727344509,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,15.828383722999998,1.727344509,0.0,0.0,0.891907941,0.0,0.0,0.0,2.61925245,0.0,0.891907941,0.0,1.727344509,0.0,0.891907941,3.511157133,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,7.135420397,0.891907941,0.891907941,0.0,5.294964868,4.346623717,0.0,0.0,0.0,0.891907941,0.0,1.727344509,0.0,0.0,3.511157133,0.0,0.0,36.89312377,0.0,0.0,0.0,0.0,16.889526769,0.0,0.0,0.891907941,0.0,0.0,0.0,1.727344509,1.783812624,0.0,0.0,0.0,3.567620359,0.0,4.403128653,1.783812624,1.727344509,1.783812624,3.567620359,0.0,6.13049992,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,46.38053933,0.0,9.754688671,0.891907941,0.0,8.919048185,0.0,3.567620359,0.0,0.891907941,0.0,0.0,12.373763961,6.186934137,10.590136173,0.0,0.0,0.0,3.511157133,0.0,0.0,2.61925245,1.727344509,2.61925245,1.727344509,0.0,0.891907941,24.57834231,0.02634885,0.016228358000000002,0.041959095,0.040871219,0.0,0.0,0.0,0.0,0.0,0.0,0.014238051,0.0,0.029409093,0.0,0.0,0.000762815,0.489073574,0.0,0.003225125,0.0,1.0,1.0
1x1,0.0,0.0,18.9986187,3.454715776,0.0,45.750796928,0.0,0.0,0.0,0.0,0.0,6.022148348,3.454715776,0.0,3.454715776,0.0,12.04367592,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,7.749492857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,12.04367592,0.0,0.0,1.727344509,6.022148348,0.0,1.727344509,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,1.727344509,3.454715776,0.0,0.0,6.022148348,0.0,0.0,1.727344509,0.0,0.0,25.817306299000002,0.0,0.0,17.27258539,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,6.022148348,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,0.0,0.0,3.454715776,0.0,6.022148348,12.04367592,1.727344509,0.0,0.0,0.0,102.3713052,0.0,1.727344509,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,9.476864124,1.727344509,3.454715776,0.0,0.0,0.0,13.771020429,6.022148348,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,12.09181923,0.002387402,0.010649115,0.036774246,0.016966858,0.002447184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42782731900000004,0.005567434,0.003616226,0.0,1.0,1.0
2x2,0.0,2.889914001,18.9986187,6.344629777,0.0,39.72864858,1.444950101,0.0,0.0,0.0,1.444950101,0.0,3.454715776,0.0,4.899665877,7.224888137,10.11475771,1.444950101,0.0,0.0,0.0,6.909335538,0.0,0.0,1.444950101,1.727344509,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,2.889914001,9.799249539,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.444950101,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,4.334945658,0.0,8.669855849,0.0,1.727344509,3.454715776,2.889914001,0.0,0.0,0.0,1.444950101,1.727344509,0.0,0.0,1.727344509,0.0,1.444950101,18.717535491,0.0,0.0,0.0,4.334945658,1.727344509,0.0,0.0,2.889914001,0.0,0.0,0.0,1.727344509,1.444950101,0.0,0.0,0.0,5.779848666,0.0,3.17229461,0.0,3.17229461,0.0,1.444950101,0.0,3.454715776,0.0,0.0,10.11475771,1.727344509,0.0,0.0,0.0,65.02372147,0.0,17.623970849,0.0,0.0,8.669855849,0.0,2.889914001,0.0,0.0,1.444950101,0.0,6.344629777,1.727344509,4.899665877,0.0,0.0,0.0,6.062290167,0.0,0.0,3.17229461,3.17229461,3.17229461,3.17229461,0.0,0.0,12.09181923,0.0,0.010649115,0.029304903,0.013619601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287508189,0.0,0.0,0.103260324,0.30273150400000004,0.31084095,0.003225125,0.0,1.0,1.0
3x3,0.0,0.96942751,43.23342642,4.424143286,0.484704415,59.60237562,0.0,1.454143763,0.484704415,0.0,0.96942751,0.484704415,6.8477036049999995,0.96942751,3.454715776,0.0,1.938799789,0.484704415,0.0,0.484704415,0.0,8.363479301,0.0,0.484704415,0.0,1.727344509,0.0,0.0,2.423576211,0.0,0.0,0.96942751,6.301128633,18.057201738,1.727344509,0.0,1.454143763,0.484704415,0.0,0.0,0.484704415,1.727344509,0.0,0.0,0.0,1.727344509,0.0,0.0,3.666144298,0.0,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,2.423576211,0.0,0.0,0.0,9.96730257,3.454715776,0.484704415,0.484704415,0.0,0.96942751,0.484704415,1.727344509,0.0,0.484704415,2.696772019,0.0,0.96942751,51.20269915,0.0,0.0,0.0,0.96942751,1.727344509,0.0,0.96942751,0.0,0.0,0.484704415,0.0,3.181488272,0.484704415,0.484704415,0.484704415,0.0,0.0,0.0,3.666144298,1.938799789,2.212048924,0.0,2.908228973,0.0,8.786556766,0.484704415,0.0,0.484704415,1.727344509,0.0,0.96942751,0.0,37.80610014,0.0,7.543821922,0.0,0.0,1.938799789,0.96942751,0.484704415,0.0,0.484704415,0.484704415,0.96942751,6.362944749,5.604987389,6.362944749,0.0,0.0,0.0,2.212048924,0.0,0.0,2.212048924,4.15092072,3.666144298,1.727344509,0.484704415,0.0,21.784829895,0.0,0.052292356,0.033187582,0.041595272,0.0,0.023056926,0.0,0.085128075,0.0,0.0,0.0,0.0,0.641572243,0.0,0.0,0.0,0.28307770600000004,0.0,0.003225125,0.0,1.0,1.0
4x4,0.0,0.0,18.9986187,3.454715776,1.168652664,42.065985092999995,0.0,0.0,0.0,1.168652664,0.0,0.0,3.454715776,0.0,3.454715776,0.0,4.674662016,0.0,0.0,4.674662016,2.337336513,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,3.50598768,6.909335538,1.727344509,0.0,0.0,1.168652664,5.843212087,0.0,1.168652664,1.727344509,1.168652664,0.0,0.0,6.402006525,1.168652664,2.337336513,1.727344509,0.0,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,3.50598768,0.0,0.0,0.0,8.739327156,3.454715776,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.168652664,6.402006525,0.0,0.0,20.77857307,0.0,0.0,1.168652664,1.168652664,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,1.168652664,0.0,1.168652664,0.0,0.0,0.0,4.064681022,1.168652664,1.727344509,0.0,0.0,0.0,3.454715776,0.0,0.0,1.168652664,28.607808689000002,0.0,0.0,0.0,82.96533016,1.168652664,8.739327156,0.0,0.0,8.180577476,2.337336513,0.0,0.0,0.0,0.0,3.50598768,17.479214805999998,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,12.09181923,0.01595296,0.010649115,0.050275679000000004,0.065736893,0.0,0.001917426,0.0,0.0,0.0,0.0,0.0,0.0,0.35975292,0.0,0.0,0.014984944,0.347140999,0.000742606,0.004285452,0.0,1.0,1.0
5x5,0.891907941,0.0,33.36212794,0.0,0.0,31.72786583,0.0,1.783812624,0.0,0.0,2.6504931640000002,0.891907941,0.0,0.0,0.0,0.891907941,3.5171296080000003,0.891907941,0.0,0.86668054,0.0,5.250442845,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.891907941,0.0,0.0,0.0,17.611795561,12.385678406,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,2.625224925,2.59997927,0.891907941,0.0,0.0,0.0,0.891907941,6.117161579,0.86668054,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,8.002100937,0.891907941,0.891907941,0.0,7.900969314,1.758588481,0.0,0.0,0.0,2.625224925,0.0,0.0,0.0,0.0,3.5171296080000003,0.86668054,0.86668054,45.62279125,0.0,1.733316984,0.86668054,1.733316984,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.86668054,0.0,0.0,3.567620359,0.0,3.542464684,2.6504931640000002,0.0,1.783812624,3.567620359,0.0,7.009133099,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,46.38053933,0.0,8.027344162,0.891907941,0.86668054,9.785728725,0.86668054,5.300937343,0.0,0.891907941,0.0,0.0,11.519027455,7.926219849,19.269510767,0.86668054,0.86668054,0.0,2.6504931640000002,0.0,0.86668054,0.891907941,0.0,0.891907941,1.733316984,0.0,0.891907941,21.153262238,0.040405926,0.005579243,0.04711457,0.050277029,0.0,0.0,0.0,0.0,0.0,0.0,0.014238051,0.0,0.029409093,0.0,0.0,0.000762815,0.492626173,0.01306404,0.001579784,0.0,1.0,1.0
6x6,0.0,0.0,18.19994568,0.0,0.0,19.021244618,0.0,0.0,0.0,0.0,0.86668054,6.022148348,0.0,0.0,0.0,0.0,13.776992904,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,6.888828888,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,14.64365519,0.0,0.0,0.0,6.022148348,0.0,4.333348955,0.86668054,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.86668054,0.0,6.022148348,0.0,4.333348955,0.86668054,0.0,0.0,6.022148348,1.733316984,0.0,0.0,0.0,0.0,25.823278774000002,0.86668054,0.86668054,26.00225287,0.0,1.733316984,0.86668054,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888828888,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,4.333348955,0.0,6.022148348,12.04367592,0.86668054,3.466630221,0.0,0.0,102.3713052,0.0,0.0,0.0,0.86668054,0.86668054,0.86668054,7.755465332,0.0,0.0,0.0,0.0,8.622127618,3.466630221,12.13409037,0.86668054,0.86668054,0.0,12.910356460000001,6.022148348,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,8.666739158,0.016444478,0.0,0.041929721,0.026372668000000002,0.002447184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431379918,0.018631474000000002,0.001970885,0.0,1.0,1.0
7x7,0.0,2.889914001,18.19994568,2.889914001,0.0,12.99909627,1.444950101,0.0,0.0,0.0,2.3116306410000003,0.0,0.0,0.0,1.444950101,7.224888137,11.848074694,1.444950101,0.0,0.86668054,0.0,3.466630221,0.0,0.0,2.3116306410000003,0.86668054,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,10.689859856,6.356544222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,2.59997927,0.0,0.0,0.0,0.0,0.0,4.333348955,2.3116306410000003,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,5.201626198,0.0,8.669855849,0.0,4.333348955,0.86668054,2.889914001,0.0,0.0,1.733316984,1.444950101,0.0,0.0,0.0,1.733316984,0.86668054,2.3116306410000003,27.447202971,0.0,1.733316984,0.86668054,6.068262642,0.0,0.0,0.0,2.889914001,0.0,0.0,0.0,0.0,1.444950101,0.86668054,0.0,0.0,5.779848666,0.0,2.3116306410000003,0.86668054,1.444950101,0.0,1.444950101,0.0,4.333348955,0.0,0.0,10.11475771,0.86668054,3.466630221,0.0,0.0,65.02372147,0.0,15.89662634,0.0,0.86668054,9.536536389,0.86668054,4.623230985,0.0,0.0,1.444950101,0.0,5.489893271,3.466630221,13.579040470999999,0.86668054,0.86668054,0.0,5.201626198,0.0,0.86668054,1.444950101,1.444950101,1.444950101,3.178267085,0.0,0.0,8.666739158,0.014057076,0.0,0.034460378,0.023025411000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287508189,0.0,0.0,0.103260324,0.30628410300000003,0.32390499,0.001579784,0.0,1.0,1.0
8x8,0.0,0.96942751,42.4347534,0.96942751,0.484704415,32.87282331,0.0,1.454143763,0.484704415,0.0,1.83610805,0.484704415,3.392987829,0.96942751,0.0,0.0,3.672116773,0.484704415,0.0,1.351384955,0.0,4.920773984,0.0,0.484704415,0.86668054,0.86668054,0.0,0.0,2.423576211,0.0,0.0,0.96942751,14.101074488,14.614496420999998,0.0,0.0,1.454143763,0.484704415,0.0,0.0,0.484704415,1.733316984,2.59997927,0.0,0.0,0.0,0.0,0.0,6.272148744,0.86668054,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,3.290256751,0.0,0.0,0.0,12.573307016,0.86668054,0.484704415,0.484704415,0.0,2.702744494,0.484704415,0.0,0.0,0.484704415,2.702744494,0.86668054,1.83610805,59.93236663,0.0,1.733316984,0.86668054,2.702744494,0.0,0.0,0.96942751,0.0,0.0,0.484704415,0.0,1.454143763,0.484704415,1.351384955,0.484704415,0.0,0.0,0.0,2.805480329,2.805480329,0.484704415,0.0,2.908228973,0.0,9.665189945,0.484704415,0.0,0.484704415,0.86668054,3.466630221,0.96942751,0.0,37.80610014,0.0,5.816477413,0.0,0.86668054,2.805480329,1.83610805,2.218021399,0.0,0.484704415,0.484704415,0.96942751,5.508208243,7.344273101,15.042319342999999,0.86668054,0.86668054,0.0,1.351384955,0.0,0.86668054,0.484704415,2.423576211,1.938799789,1.733316984,0.484704415,0.0,18.359749823,0.014057076,0.041643241,0.038343057,0.051001082,0.0,0.023056926,0.0,0.085128075,0.0,0.0,0.0,0.0,0.641572243,0.0,0.0,0.0,0.28663030500000003,0.01306404,0.001579784,0.0,1.0,1.0
9x9,0.0,0.0,18.19994568,0.0,1.168652664,15.336432783000001,0.0,0.0,0.0,1.168652664,0.86668054,0.0,0.0,0.0,0.0,0.0,6.407979,0.0,0.0,5.541342556,2.337336513,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,11.305933535,3.466630221,0.0,0.0,0.0,1.168652664,5.843212087,0.0,1.168652664,1.733316984,3.768631934,0.0,0.0,4.674662016,1.168652664,2.337336513,4.333348955,0.86668054,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,4.37266822,0.0,0.0,0.0,11.345331602,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,1.168652664,6.407979,0.86668054,0.86668054,29.50824055,0.0,1.733316984,2.035333204,2.9019696479999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168652664,0.86668054,1.168652664,0.0,0.0,0.0,3.204017053,2.035333204,0.0,0.0,0.0,0.0,4.333348955,0.0,0.0,1.168652664,27.74714472,3.466630221,0.0,0.0,82.96533016,1.168652664,7.011982647,0.0,0.86668054,9.047258016,3.204017053,1.733316984,0.0,0.0,0.0,3.50598768,16.6244783,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,8.666739158,0.030010035999999997,0.0,0.055431154,0.075142703,0.0,0.001917426,0.0,0.0,0.0,0.0,0.0,0.0,0.35975292,0.0,0.0,0.014984944,0.350693598,0.013806646,0.002640111,0.0,1.0,1.0
