coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,ODImmature1
0x0,0.0,0.0,18.9986187,3.454715776,0.0,42.001678686,0.0,0.568266986,0.0,0.0,0.0,0.0,6.864222407,0.0,3.454715776,1.704767878,1.704767878,0.0,0.0,0.0,0.568266986,9.182365644,0.0,0.0,0.0,1.727344509,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,14.296593489,1.727344509,0.0,0.0,0.0,0.568266986,0.0,0.0,1.727344509,2.273030106,0.0,0.568266986,1.727344509,0.0,0.0,3.432112387,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,0.568266986,0.0,0.0,0.0,2.863879452,4.022982762,0.568266986,0.568266986,0.568266986,0.568266986,0.0,1.727344509,0.0,0.0,4.000374615,0.0,0.0,25.228088726,0.0,0.0,0.568266986,1.136534943,1.727344509,0.0,0.0,0.0,0.0,1.136534943,0.0,3.432112387,0.0,0.0,1.136534943,0.0,3.977829304,0.0,2.295611495,1.704767878,42.645291099,0.568266986,0.0,0.0,7.432545080000001,0.0,0.0,1.704767878,1.727344509,0.0,0.0,0.568266986,12.50205896,0.0,4.000374615,0.0,0.0,3.409506631,0.0,1.136534943,0.568266986,0.0,0.0,0.0,7.432545080000001,6.27334623,15.956774736,0.568266986,0.0,0.568266986,1.727344509,0.0,0.568266986,2.863879452,1.727344509,4.568660198,14.229403469,0.0,0.0,12.09181923,0.007551839,0.010649115,0.037517861,0.027254376,0.0,0.0,0.0,0.0,0.0,0.0,0.024325537,0.0,0.0,0.0,0.0,0.0,0.563387421,0.0,0.013487084,0.0,1.0,1.0
1x1,0.0,0.0,19.684278773000003,6.197286362,2.056961717,39.72864858,0.0,12.34135683,0.0,0.0,1.371264502,0.0,5.5116774930000005,0.0,4.140375849,0.0,6.170839465,0.685660073,0.0,5.485149617,0.685660073,7.594995611,0.0,0.685660073,0.0,2.413004582,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,6.909335538,1.727344509,0.0,0.685660073,1.371264502,0.0,0.685660073,0.0,2.413004582,0.685660073,0.685660073,0.685660073,1.727344509,0.685660073,10.28495938,3.0986090109999997,18.5119197,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,6.170839465,0.0,0.0,0.0,3.784306226,3.454715776,1.371264502,0.0,0.685660073,0.0,0.0,1.727344509,0.0,0.0,4.469915094999999,0.685660073,1.371264502,20.700813658,0.0,0.0,4.113873726,0.0,2.413004582,0.0,0.0,0.0,0.0,0.0,0.0,3.0986090109999997,0.0,0.685660073,0.685660073,1.371264502,10.28495938,0.0,5.8412182349999995,13.71295816,26.407639019,1.371264502,1.371264502,0.0,4.140375849,0.0,0.685660073,0.685660073,2.413004582,0.0,0.685660073,0.685660073,0.685660073,0.0,7.212494126,0.0,0.685660073,8.913339965,1.371264502,3.428228268,0.0,0.0,0.0,0.685660073,4.140375849,5.8412182349999995,18.538935595999998,0.0,0.0,8.913339965,10.640684474,0.0,0.685660073,1.727344509,2.413004582,5.8412182349999995,9.954970848,1.371264502,0.0,12.09181923,0.0,0.015565205,0.017095657,0.024191106,0.0,0.0,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.236260519,0.0,0.024693544,0.0,0.501642844,0.0,0.003225125,0.0,1.0,1.0
2x2,0.0,0.0,18.9986187,3.454715776,1.092184595,40.820833175,1.092184595,1.092184595,0.0,0.0,2.184344163,1.092184595,7.8234264499999995,0.0,3.454715776,0.0,3.276613475,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,5.461003853,1.092184595,0.0,0.0,0.0,36.0424753,6.909335538,1.727344509,0.0,0.0,4.368710674,0.0,0.0,0.0,1.727344509,7.64529864,0.0,0.0,1.727344509,0.0,0.0,6.096055183,1.092184595,0.0,0.0,0.0,0.0,0.0,27.30740119,0.0,2.184344163,0.0,0.0,2.184344163,7.188348362,4.5469003709999996,2.184344163,0.0,0.0,0.0,1.092184595,1.727344509,0.0,0.0,1.727344509,1.092184595,0.0,17.27258539,0.0,0.0,2.184344163,2.184344163,8.280527387,1.092184595,1.092184595,0.0,0.0,0.0,0.0,2.819529104,1.092184595,0.0,0.0,0.0,3.276613475,0.0,12.647996239,5.461003853,68.351211229,2.184344163,0.0,3.276613475,6.731329251,0.0,0.0,0.0,2.819529104,1.092184595,0.0,0.0,0.0,0.0,5.0039579839999995,0.0,2.184344163,2.184344163,0.0,4.368710674,0.0,0.0,0.0,1.092184595,5.639059939,12.647996239,26.393384786000002,0.0,1.092184595,1.092184595,5.0039579839999995,0.0,1.092184595,2.819529104,5.0039579839999995,5.0039579839999995,24.666013519000003,0.0,0.0,15.368432705,0.0,0.037671714,0.017095657,0.01159343,0.0,0.008277092,0.0,0.0,0.0,0.0,0.0,0.0,0.353910636,0.0,0.003467705,0.0,0.418534168,0.0,0.003225125,0.0,1.0,1.0
3x3,0.410457485,0.0,19.409076185,5.917456703,0.820916369,40.139106065,7.388223625,4.514929944,1.231361832,0.410457485,3.694074737,2.462740927,4.686077608,0.0,3.454715776,3.283610752,9.029978452,0.410457485,1.231361832,2.462740927,4.104462293,7.319793023,0.410457485,0.410457485,0.410457485,3.7795937889999998,0.410457485,3.283610752,0.820916369,0.410457485,2.05224928,3.283610752,20.11057196,8.551135927999999,1.727344509,0.0,0.410457485,1.231361832,0.0,0.410457485,0.0,2.137801994,1.231361832,0.0,0.0,1.727344509,0.410457485,4.104462293,3.7795937889999998,0.820916369,1.64180039,0.0,0.0,1.64180039,0.0,12.72460961,2.873200685,7.798527586,0.410457485,0.820916369,0.410457485,5.421419246,6.327916461,7.388223625,0.820916369,0.410457485,0.0,0.820916369,2.137801994,0.0,0.410457485,2.958706341,0.410457485,0.0,17.27258539,0.0,0.820916369,5.335924595,3.283610752,4.190085436,0.820916369,0.410457485,8.208947562,0.0,1.64180039,0.0,2.137801994,0.0,0.0,0.0,0.820916369,10.26159747,0.410457485,10.757322961,2.05224928,28.409506139,2.873200685,0.0,0.0,3.454715776,8.208947562,0.0,0.820916369,2.137801994,2.873200685,0.0,0.410457485,0.410457485,0.410457485,5.831806802,0.0,0.410457485,0.820916369,0.0,18.05899517,0.0,0.0,0.0,0.0,4.275632145,4.600545194,12.074160425,0.410457485,2.462740927,0.410457485,21.428757999,0.0,0.0,2.548260878,1.727344509,5.421419246,7.884162952,0.0,0.0,12.502276715,0.18109274,0.011349369000000002,0.017095657,0.0,0.0,0.000398381,0.0,0.0,0.0,0.0,0.0,0.0,0.251370752,0.0,0.0,0.0,0.336740237,0.0,0.003225125,0.0,1.0,1.0
4x4,0.0,0.0,28.8279091,5.420707945,0.0,41.694640749,0.0,3.93196516,0.0,0.0,0.0,0.0,3.454715776,0.0,5.420707945,0.0,3.93196516,0.0,0.0,0.0,1.965992169,6.909335538,0.0,0.0,0.0,3.6933366779999997,0.0,0.0,0.0,0.0,0.0,0.0,27.52331512,8.875327707,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,1.965992169,0.0,0.0,3.6933366779999997,1.965992169,3.93196516,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,9.8292904,0.0,0.0,0.0,0.0,0.0,7.6252938409999995,3.454715776,3.93196516,0.0,0.0,1.965992169,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,23.170534722,0.0,0.0,0.0,1.965992169,5.659309669,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.965992169,0.0,0.0,5.897949332,0.0,5.659309669,1.965992169,50.880700618999995,0.0,0.0,0.0,5.420707945,0.0,0.0,0.0,13.524103779,0.0,0.0,0.0,0.0,3.93196516,1.727344509,0.0,0.0,0.0,0.0,1.965992169,0.0,0.0,0.0,1.965992169,11.318516833,1.727344509,32.947704976,0.0,1.965992169,0.0,1.727344509,0.0,0.0,3.6933366779999997,1.727344509,1.727344509,15.487808169,0.0,0.0,12.09181923,0.014858281,0.010649115,0.038476481,0.003320302,0.010425737,0.002071568,0.0,0.0,0.0,0.0,0.004685189,0.0,0.0,0.0,0.0,0.0,0.362791443,0.009242893,0.011784104,0.001682785,1.0,1.0
5x5,0.0,0.0,18.19994568,0.0,0.0,15.272126376000001,0.0,0.568266986,0.0,0.0,0.86668054,0.0,3.409506631,0.0,0.0,1.704767878,3.438084862,0.0,0.0,0.86668054,0.568266986,5.739660327,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,29.394303555,10.853888172,0.0,0.0,0.0,0.0,0.568266986,0.0,0.0,1.733316984,4.873009376000001,0.0,0.568266986,0.0,0.0,0.0,6.038116833,2.571448418,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,1.4349475260000002,0.0,0.0,0.0,5.469883898,1.4349475260000002,0.568266986,0.568266986,0.568266986,2.3015839700000003,0.0,0.0,0.0,0.0,4.00634709,0.86668054,0.86668054,33.957756206,0.0,1.733316984,1.4349475260000002,2.869851927,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,0.0,0.86668054,1.136534943,0.0,3.977829304,0.0,1.4349475260000002,2.571448418,40.91794659,0.568266986,0.0,0.0,8.311178259,0.0,0.0,1.704767878,0.86668054,3.466630221,0.0,0.568266986,12.50205896,0.0,2.273030106,0.0,0.86668054,4.276187171,0.86668054,2.869851927,0.568266986,0.0,0.0,0.0,6.5778085740000005,8.012631941999999,24.63614933,1.4349475260000002,0.86668054,0.568266986,0.86668054,0.0,1.4349475260000002,1.136534943,0.0,2.841315689,14.235375944,0.0,0.0,8.666739158,0.021608915,0.0,0.042673336,0.036660186,0.0,0.0,0.0,0.0,0.0,0.0,0.024325537,0.0,0.0,0.0,0.0,0.0,0.56694002,0.01306404,0.011841743,0.0,1.0,1.0
6x6,0.0,0.0,18.885605753,2.742570586,2.056961717,12.99909627,0.0,12.34135683,0.0,0.0,2.237945042,0.0,2.056961717,0.0,0.685660073,0.0,7.904156449,0.685660073,0.0,6.351830157,0.685660073,4.152290294,0.0,0.685660073,0.86668054,1.5523406130000001,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,31.797642875,3.466630221,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,0.0,2.418977057,3.2856393429999997,0.685660073,0.685660073,0.0,0.685660073,10.28495938,5.704613457,19.37860024,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,7.037520005,0.0,0.0,0.0,6.390310672,0.86668054,1.371264502,0.0,0.685660073,1.733316984,0.0,0.0,0.0,0.0,4.475887569999999,1.5523406130000001,2.237945042,29.430481137999998,0.0,1.733316984,4.9805542659999995,1.733316984,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,0.0,1.5523406130000001,0.685660073,1.371264502,10.28495938,0.0,4.9805542659999995,14.5796387,24.68029451,1.371264502,1.371264502,0.0,5.019009028,0.0,0.685660073,0.685660073,1.5523406130000001,3.466630221,0.685660073,0.685660073,0.685660073,0.0,5.485149617,0.0,1.5523406130000001,9.780020505000001,2.237945042,5.161545252,0.0,0.0,0.0,0.685660073,3.2856393429999997,7.5805039469999995,27.218310189999997,0.86668054,0.86668054,8.913339965,9.780020505000001,0.0,1.5523406130000001,0.0,0.685660073,4.113873726,9.960943323,1.371264502,0.0,8.666739158,0.014057076,0.00491609,0.022251132,0.033596916000000004,0.0,0.0,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.236260519,0.0,0.024693544,0.0,0.505195443,0.01306404,0.001579784,0.0,1.0,1.0
7x7,0.0,0.0,18.19994568,0.0,1.092184595,14.091280865000002,1.092184595,1.092184595,0.0,0.0,3.051024703,1.092184595,4.368710674,0.0,0.0,0.0,5.009930459,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,5.461003853,1.092184595,0.0,0.0,0.0,43.842421155,3.466630221,0.0,0.0,0.0,4.368710674,0.0,0.0,0.0,1.733316984,10.24527791,0.0,0.0,0.0,0.0,0.0,8.702059629,1.958865135,0.0,0.0,0.0,0.0,0.0,27.30740119,0.0,3.051024703,0.0,0.0,2.184344163,9.794352808,1.958865135,2.184344163,0.0,0.0,1.733316984,1.092184595,0.0,0.0,0.0,1.733316984,1.958865135,0.86668054,26.00225287,0.0,1.733316984,3.051024703,3.917661147,6.553182878,1.092184595,1.092184595,0.0,0.0,0.0,0.0,1.092184595,1.092184595,0.86668054,0.0,0.0,3.276613475,0.0,11.78733227,6.327684393,66.62386672,2.184344163,0.0,3.276613475,7.6099624299999995,0.0,0.0,0.0,1.958865135,4.558814816,0.0,0.0,0.0,0.0,3.276613475,0.0,3.051024703,3.051024703,0.86668054,6.102027658,0.0,0.0,0.0,1.092184595,4.784323433,14.387281950999999,35.07275938,0.86668054,1.958865135,1.092184595,4.143294015,0.0,1.958865135,1.092184595,3.276613475,3.276613475,24.671985994000003,0.0,0.0,11.943352633,0.014057076,0.027022599,0.022251132,0.020999240000000002,0.0,0.008277092,0.0,0.0,0.0,0.0,0.0,0.0,0.353910636,0.0,0.003467705,0.0,0.42208676700000003,0.01306404,0.001579784,0.0,1.0,1.0
8x8,0.410457485,0.0,18.610403164999997,2.462740927,0.820916369,13.409553755000001,7.388223625,4.514929944,1.231361832,0.410457485,4.560755277,2.462740927,1.231361832,0.0,0.0,3.283610752,10.763295436,0.410457485,1.231361832,3.329421467,4.104462293,3.877087706,0.410457485,0.410457485,1.2771380250000002,2.91892982,0.410457485,3.283610752,0.820916369,0.410457485,2.05224928,3.283610752,27.910517815000002,5.108430611,0.0,0.0,0.410457485,1.231361832,0.0,0.410457485,0.0,2.1437744690000002,3.8313411019999997,0.0,0.0,0.0,0.410457485,4.104462293,6.385598235,1.687596909,1.64180039,0.0,0.0,1.64180039,0.0,12.72460961,2.873200685,8.665208126,0.410457485,0.820916369,0.410457485,8.027423692,3.739881225,7.388223625,0.820916369,0.410457485,1.733316984,0.820916369,0.410457485,0.0,0.410457485,2.964678816,1.2771380250000002,0.86668054,26.00225287,0.0,2.554233353,6.202605135,5.0169277359999995,2.462740927,0.820916369,0.410457485,8.208947562,0.0,1.64180039,0.0,0.410457485,0.0,0.86668054,0.0,0.820916369,10.26159747,0.410457485,9.896658992,2.91892982,26.68216163,2.873200685,0.0,0.0,4.333348955,8.208947562,0.0,0.820916369,1.2771380250000002,6.3398309059999995,0.0,0.410457485,0.410457485,0.410457485,4.104462293,0.0,1.2771380250000002,1.687596909,0.86668054,19.792312154,0.0,0.0,0.0,0.0,3.420895639,6.3398309059999995,20.753535018999997,1.2771380250000002,3.329421467,0.410457485,20.56809403,0.0,0.86668054,0.820916369,0.0,3.694074737,7.890135427,0.0,0.0,9.077196643,0.195149816,0.000700254,0.022251132,0.00940581,0.0,0.000398381,0.0,0.0,0.0,0.0,0.0,0.0,0.251370752,0.0,0.0,0.0,0.340292836,0.01306404,0.001579784,0.0,1.0,1.0
9x9,0.0,0.0,28.029236079999997,1.965992169,0.0,14.965088439,0.0,3.93196516,0.0,0.0,0.86668054,0.0,0.0,0.0,1.965992169,0.0,5.665282144,0.0,0.0,0.86668054,1.965992169,3.466630221,0.0,0.0,0.86668054,2.832672709,0.0,0.0,0.0,0.0,0.0,0.0,35.323260975,5.43262239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,4.565971439,0.0,0.0,1.965992169,1.965992169,3.93196516,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,9.8292904,0.0,0.86668054,0.0,0.0,0.0,10.231298287,0.86668054,3.93196516,0.0,0.0,3.6993091529999997,0.0,0.0,0.0,0.0,1.733316984,0.86668054,0.86668054,31.900202202,0.0,1.733316984,0.86668054,3.6993091529999997,3.93196516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.832672709,0.0,0.0,5.897949332,0.0,4.7986457,2.832672709,49.15335611,0.0,0.0,0.0,6.299341124,0.0,0.0,0.0,12.663439810000002,3.466630221,0.0,0.0,0.0,3.93196516,0.0,0.0,0.86668054,0.86668054,0.86668054,3.6993091529999997,0.0,0.0,0.0,1.965992169,10.463780327,3.466630221,41.62707957,0.86668054,2.832672709,0.0,0.86668054,0.0,0.86668054,1.965992169,0.0,0.0,15.493780644,0.0,0.0,8.666739158,0.028915357,0.0,0.043631956,0.012726112000000001,0.010425737,0.002071568,0.0,0.0,0.0,0.0,0.004685189,0.0,0.0,0.0,0.0,0.0,0.36634404200000004,0.022306933,0.010138763,0.001682785,1.0,1.0
