coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,ODMature1,Astrocytecells
0x0,0.0,0.0,18.9986187,6.112853062,1.329056371,41.057704951,1.993574012,1.993574012,0.0,0.664523765,0.664523765,0.0,3.454715776,0.0,3.454715776,0.0,7.974287945,0.0,0.0,0.0,0.664523765,11.561047239,0.0,0.0,0.664523765,1.727344509,0.0,0.0,0.664523765,0.0,0.0,0.0,2.658137286,6.909335538,2.391868274,0.0,0.0,0.664523765,0.0,0.0,10.63322157,1.727344509,1.329056371,0.0,0.0,1.727344509,0.0,1.329056371,1.727344509,9.967306986,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,1.329056371,0.0,1.329056371,1.993574012,4.3854817950000005,3.454715776,5.316260017,0.664523765,0.0,0.0,0.0,1.727344509,0.0,1.329056371,3.7209185209999998,0.0,0.0,23.253301876000002,0.0,0.664523765,7.309789068,0.664523765,6.37905621,0.664523765,0.0,0.664523765,0.0,0.0,0.0,3.05640088,1.329056371,5.316260017,0.0,0.664523765,4.651711701,0.0,4.3854817950000005,1.329056371,2.391868274,0.0,1.329056371,0.664523765,3.454715776,1.329056371,0.0,0.664523765,1.727344509,0.0,0.0,0.0,0.0,3.987122086,7.043604526,0.0,1.329056371,35.21595985,0.0,1.993574012,0.0,0.0,0.0,0.664523765,4.119239541,1.727344509,6.7773650530000005,0.0,0.664523765,0.664523765,4.3854817950000005,0.0,0.0,1.727344509,1.727344509,1.727344509,3.05640088,0.0,0.0,24.05465444,0.0,0.021718593,0.017095657,0.0,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.0,0.0,0.0,0.197628163,0.314550745,0.0,0.003225125,0.075526214,1.0,1.0,[0]
1x1,0.0,0.0,20.455928994,3.454715776,0.0,39.72864858,0.0,0.0,0.0,0.0,1.457310294,2.914713648,3.454715776,0.0,3.454715776,0.0,1.457310294,0.0,1.457310294,0.0,4.372049429,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.738695435,1.727344509,0.0,0.0,0.0,0.0,0.0,10.20211431,4.642058157,2.914713648,0.0,0.0,1.727344509,0.0,0.0,1.727344509,14.57399389,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,0.0,0.0,0.0,0.0,3.184654803,4.91202607,7.286669155,0.0,0.0,0.0,0.0,1.727344509,0.0,7.286669155,1.727344509,0.0,0.0,21.644634819,0.0,0.0,24.7750787,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,1.457310294,0.0,0.0,0.0,1.457310294,0.0,4.642058157,0.0,1.727344509,0.0,4.372049429,0.0,3.454715776,1.457310294,0.0,0.0,1.727344509,1.457310294,0.0,0.0,0.0,0.0,6.0993939379999995,0.0,0.0,45.17426595,0.0,1.457310294,0.0,0.0,0.0,1.457310294,3.454715776,1.727344509,6.369429424,0.0,0.0,0.0,3.184654803,0.0,1.457310294,1.727344509,1.727344509,3.184654803,1.727344509,0.0,0.0,28.121244850000004,0.0,0.010649115,0.042497279,0.0,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.0,0.0,0.0,0.060679072,0.38099614800000003,0.001517518,0.018458765999999998,0.0,1.0,1.0,[1]
2x2,0.0,0.0,18.9986187,5.4381055719999996,0.0,42.703766351,0.0,0.991682007,0.0,0.0,0.0,1.983389796,3.454715776,0.0,5.4381055719999996,2.975117771,1.983389796,0.991682007,0.0,0.0,1.983389796,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,4.958541933,6.909335538,1.727344509,0.0,0.0,0.991682007,0.0,0.0,16.86076268,1.727344509,0.0,0.0,0.0,1.727344509,0.0,1.983389796,1.727344509,1.983389796,0.0,0.0,0.0,3.966838056,0.0,13.88332619,0.0,5.950243176,0.0,0.0,0.0,1.727344509,4.446397783,7.933671932,0.0,0.0,0.0,0.0,1.727344509,0.0,3.966838056,1.727344509,0.0,0.0,21.239423446,0.0,0.0,22.8067439,0.0,3.710734305,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.991682007,0.0,1.983389796,0.0,5.694182565,0.991682007,1.727344509,0.0,3.966838056,1.983389796,3.454715776,0.0,0.0,1.983389796,1.727344509,0.991682007,0.0,0.0,0.0,0.0,4.70246228,0.0,0.0,14.87449798,0.0,3.966838056,0.0,0.0,0.0,0.0,3.454715776,1.727344509,3.454715776,0.991682007,0.0,0.0,9.661016441000001,0.0,0.0,1.727344509,2.719026516,2.719026516,1.727344509,0.0,0.0,27.95734948,0.0,0.010649115,0.059468288,0.003684691,0.0,0.0,0.296492474,0.0,0.0,0.0,0.094992136,0.010784794,0.0,0.010793173,0.0,0.006690337,0.349376032,0.031361701,0.027614345999999998,0.0,1.0,1.0,[2]
3x3,0.719174655,0.0,18.9986187,5.612264058,0.0,40.447823235,0.0,1.43837221,2.157548282,1.43837221,0.0,0.0,3.454715776,0.0,3.454715776,0.0,5.75351704,0.0,0.0,1.43837221,0.719174655,7.628510192999999,0.0,0.0,5.75351704,8.919156947000001,0.719174655,0.719174655,0.0,0.0,0.0,1.43837221,1.43837221,6.909335538,1.727344509,0.0,0.0,0.719174655,0.0,0.0,16.54284394,1.727344509,3.595999788,1.43837221,0.0,1.727344509,0.0,3.595999788,1.727344509,13.66560555,0.0,0.719174655,0.0,4.315082378,0.719174655,9.349038438,1.43837221,10.78691088,0.0,0.0,1.43837221,3.884892791,4.173890431,1.43837221,0.0,0.719174655,0.0,0.719174655,1.727344509,0.0,11.50834928,5.323344297,0.719174655,0.0,17.991760045,0.0,0.0,15.10274813,0.0,1.727344509,0.0,1.43837221,0.719174655,0.0,0.0,0.0,3.1657167189999997,0.0,1.43837221,0.0,0.719174655,2.876769678,2.157548282,3.1657167189999997,0.0,1.727344509,0.0,0.0,0.0,4.173890431,0.0,0.0,0.0,3.1657167189999997,0.0,0.719174655,0.0,0.719174655,0.0,5.323344297,0.0,0.0,47.46185122,0.0,6.472742201,1.43837221,0.0,0.0,0.0,5.612264058,3.1657167189999997,12.803754214,0.0,0.0,0.0,4.604114187,0.0,0.0,1.727344509,3.1657167189999997,3.1657167189999997,5.323344297,1.43837221,0.0,34.38881925,0.00355112,0.020072589000000002,0.041994493,0.023545139,0.0,0.029233705,1.068473684,0.0,0.0,0.0,0.315588292,0.0,0.29720914,0.0,0.020208882,0.0,0.31783089400000003,0.0,0.005534979000000001,0.0,1.0,1.0,[3]
4x4,0.0,0.0,24.442388246,3.454715776,0.0,45.172418126,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,5.443769546,17.797094758,1.727344509,0.0,0.0,0.0,5.443769546,0.0,10.88775922,1.727344509,0.0,0.0,0.0,1.727344509,0.0,5.443769546,1.727344509,0.0,0.0,0.0,0.0,10.88775922,0.0,16.33005735,0.0,5.443769546,0.0,0.0,0.0,12.615103729,8.898485322,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,17.27258539,0.0,0.0,5.443769546,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,21.77718242,0.0,0.0,0.0,0.0,1.727344509,21.77718242,1.727344509,0.0,0.0,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,16.33005735,0.0,5.443769546,0.0,0.0,0.0,0.0,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,5.443769546,1.727344509,7.171114055,1.727344509,1.727344509,0.0,0.0,12.09181923,0.016425846,0.010649115,0.047830602,0.0,0.0,0.0,0.607792506,0.0,0.0,0.0,0.129522795,0.0,0.0,0.0,0.0,0.006989866,0.510638511,0.004916784,0.021096029,0.0,1.0,1.0,[4]
5x5,0.0,0.0,18.19994568,2.658137286,1.329056371,14.328152641,1.993574012,1.993574012,0.0,0.664523765,1.5312043050000002,0.0,0.0,0.0,0.0,0.0,9.707604929,0.0,0.0,0.86668054,0.664523765,8.118341921999999,0.0,0.0,1.5312043050000002,0.86668054,0.0,0.0,0.664523765,0.0,0.0,0.0,10.458083141,3.466630221,0.664523765,0.0,0.0,0.664523765,0.0,0.0,10.63322157,1.733316984,3.929035641,0.0,0.0,0.0,0.0,1.329056371,4.333348955,10.833987526000001,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,2.195736911,0.0,1.329056371,1.993574012,6.9914862410000005,0.86668054,5.316260017,0.664523765,0.0,1.733316984,0.0,0.0,0.0,1.329056371,3.726890996,0.86668054,0.86668054,31.982969355999998,0.0,2.397840749,8.176469608,2.397840749,4.651711701,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,6.182940557,0.0,0.664523765,4.651711701,0.0,3.524817826,2.195736911,0.664523765,0.0,1.329056371,0.664523765,4.333348955,1.329056371,0.0,0.664523765,0.86668054,3.466630221,0.0,0.0,0.0,3.987122086,5.316260017,0.0,2.195736911,36.082640389999995,0.86668054,3.726890996,0.0,0.0,0.0,0.664523765,3.2645030349999997,3.466630221,15.456739647,0.86668054,1.5312043050000002,0.664523765,3.524817826,0.0,0.86668054,0.0,0.0,0.0,3.062373355,0.0,0.0,20.629574368,0.014057076,0.011069478,0.022251132,0.00940581,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.0,0.0,0.0,0.197628163,0.318103344,0.01306404,0.001579784,0.075526214,1.0,1.0,[0]
6x6,0.0,0.0,19.657255973999998,0.0,0.0,12.99909627,0.0,0.0,0.0,0.0,2.323990834,2.914713648,0.0,0.0,0.0,0.0,3.190627278,0.0,1.457310294,0.86668054,4.372049429,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,9.295990117999999,0.0,0.0,0.0,0.0,0.0,0.0,10.20211431,4.648030632,5.514692918,0.0,0.0,0.0,0.0,0.0,4.333348955,15.440674430000001,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,0.86668054,0.0,0.0,0.0,5.790659249,2.323990834,7.286669155,0.0,0.0,1.733316984,0.0,0.0,0.0,7.286669155,1.733316984,0.86668054,0.86668054,30.374302299,0.0,1.733316984,25.641759240000003,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457310294,0.86668054,0.0,0.0,1.457310294,0.0,3.781394188,0.86668054,0.0,0.0,4.372049429,0.0,4.333348955,1.457310294,0.0,0.0,0.86668054,4.923940515,0.0,0.0,0.0,0.0,4.372049429,0.0,0.86668054,46.040946489999996,0.86668054,3.190627278,0.0,0.0,0.0,1.457310294,2.59997927,3.466630221,15.048804017999998,0.86668054,0.86668054,0.0,2.323990834,0.0,2.323990834,0.0,0.0,1.457310294,1.733316984,0.0,0.0,24.696164778000004,0.014057076,0.0,0.047652754,0.00940581,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.0,0.0,0.0,0.060679072,0.384548747,0.014581558000000001,0.016813425,0.0,1.0,1.0,[1]
7x7,0.0,0.0,18.19994568,1.983389796,0.0,15.974214041,0.0,0.991682007,0.0,0.0,0.86668054,1.983389796,0.0,0.0,1.983389796,2.975117771,3.71670678,0.991682007,0.0,0.86668054,1.983389796,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,12.758487788,3.466630221,0.0,0.0,0.0,0.991682007,0.0,0.0,16.86076268,1.733316984,2.59997927,0.0,0.0,0.0,0.0,1.983389796,4.333348955,2.850070336,0.0,0.0,0.0,3.966838056,0.0,13.88332619,0.0,6.816923716,0.0,0.0,0.0,4.333348955,1.858362547,7.933671932,0.0,0.0,1.733316984,0.0,0.0,0.0,3.966838056,1.733316984,0.86668054,0.86668054,29.969090926,0.0,1.733316984,23.67342444,1.733316984,1.983389796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.991682007,0.0,1.983389796,0.0,4.833518596,1.858362547,0.0,0.0,3.966838056,1.983389796,4.333348955,0.0,0.0,1.983389796,0.86668054,4.458312228,0.0,0.0,0.0,0.0,2.975117771,0.0,0.86668054,15.74117852,0.86668054,5.70015504,0.0,0.0,0.0,0.0,2.59997927,3.466630221,12.13409037,1.858362547,0.86668054,0.0,8.800352472,0.0,0.86668054,0.0,0.991682007,0.991682007,1.733316984,0.0,0.0,24.532269408,0.014057076,0.0,0.064623763,0.013090501000000001,0.0,0.0,0.296492474,0.0,0.0,0.0,0.094992136,0.010784794,0.0,0.010793173,0.0,0.006690337,0.352928631,0.044425741,0.025969005,0.0,1.0,1.0,[2]
8x8,0.719174655,0.0,18.19994568,2.157548282,0.0,13.718270925,0.0,1.43837221,2.157548282,1.43837221,0.86668054,0.0,0.0,0.0,0.0,0.0,7.486834024,0.0,0.0,2.30505275,0.719174655,4.185804876,0.0,0.0,6.62019758,8.058492978,0.719174655,0.719174655,0.0,0.0,0.0,1.43837221,9.238318065,3.466630221,0.0,0.0,0.0,0.719174655,0.0,0.0,16.54284394,1.733316984,6.195979058,1.43837221,0.0,0.0,0.0,3.595999788,4.333348955,14.532286090000001,0.0,0.719174655,0.0,4.315082378,0.719174655,9.349038438,1.43837221,11.653591420000001,0.0,0.0,1.43837221,6.490897237,1.5858551950000002,1.43837221,0.0,0.719174655,1.733316984,0.719174655,0.0,0.0,11.50834928,5.329316772,1.5858551950000002,0.86668054,26.721427525,0.0,1.733316984,15.969428670000001,1.733316984,0.0,0.0,1.43837221,0.719174655,0.0,0.0,0.0,1.43837221,0.0,2.30505275,0.0,0.719174655,2.876769678,2.157548282,2.30505275,0.86668054,0.0,0.0,0.0,0.0,5.05252361,0.0,0.0,0.0,2.30505275,3.466630221,0.719174655,0.0,0.719174655,0.0,3.595999788,0.0,0.86668054,48.32853176,0.86668054,8.206059185,1.43837221,0.0,0.0,0.0,4.757527552,4.905002431,21.483128807999996,0.86668054,0.86668054,0.0,3.743450218,0.0,0.86668054,0.0,1.43837221,1.43837221,5.329316772,1.43837221,0.0,30.963739177999997,0.017608196,0.009423474,0.047149968,0.032950949,0.0,0.029233705,1.068473684,0.0,0.0,0.0,0.315588292,0.0,0.29720914,0.0,0.020208882,0.0,0.321383493,0.01306404,0.003889638,0.0,1.0,1.0,[3]
9x9,0.0,0.0,23.643715225999998,0.0,0.0,18.442865816,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,13.243715401,14.354389440999999,0.0,0.0,0.0,0.0,5.443769546,0.0,10.88775922,1.733316984,2.59997927,0.0,0.0,0.0,0.0,5.443769546,4.333348955,0.86668054,0.0,0.0,0.0,10.88775922,0.0,16.33005735,0.0,6.310450086,0.0,0.0,0.0,15.221108175,6.310450086,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,0.0,1.733316984,0.86668054,0.86668054,26.00225287,0.0,1.733316984,6.310450086,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64386296,0.0,0.0,0.0,0.0,0.86668054,22.64386296,0.0,0.0,0.0,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,17.19673789,0.86668054,7.17708653,0.0,0.0,0.0,0.0,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,6.310450086,0.0,5.443769546,0.0,1.733316984,0.0,0.0,8.666739158,0.030482922000000003,0.0,0.052986077,0.00940581,0.0,0.0,0.607792506,0.0,0.0,0.0,0.129522795,0.0,0.0,0.0,0.0,0.006989866,0.5141911100000001,0.017980824,0.019450688,0.0,1.0,1.0,[4]
