coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,ODMature2,Astrocyte ODMature2
0x0,0.0,0.0,18.9986187,3.454715776,0.0,42.191788193,0.0,2.463139613,0.0,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,2.463139613,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,27.09312166,1.727344509,0.0,2.463139613,0.0,1.727344509,0.0,4.926250432,1.727344509,4.926250432,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,0.0,0.0,0.0,0.0,1.727344509,3.454715776,0.0,0.0,2.463139613,0.0,0.0,1.727344509,0.0,7.389382581,1.727344509,0.0,0.0,17.27258539,0.0,0.0,32.02174353,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,4.190484122,0.0,0.0,0.0,0.0,0.0,0.0,4.190484122,4.926250432,1.727344509,0.0,4.926250432,2.463139613,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,4.190484122,0.0,0.0,29.55624616,0.0,0.0,0.0,0.0,0.0,0.0,5.917855389,1.727344509,13.306471272,0.0,0.0,0.0,1.727344509,2.463139613,0.0,1.727344509,1.727344509,4.190484122,1.727344509,0.0,0.0,44.11356276,0.005950012,0.030840378,0.020598483,0.008948038,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.023007694,0.0,0.0,0.0,0.0,0.006769616,0.40861502800000005,0.002089427,0.003225125,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,22.331232713000002,4.287874205,0.0,43.061262592999995,0.0,0.0,0.0,0.0,0.833158429,0.0,4.287874205,0.0,3.454715776,0.0,0.833158429,0.0,1.666306062,0.0,0.0,6.909335538,0.833158429,0.0,0.0,2.560502938,0.0,0.0,0.0,0.0,0.0,0.0,1.666306062,12.741369239,1.727344509,0.0,0.0,0.0,0.0,0.0,18.32858226,2.560502938,0.0,0.0,0.0,1.727344509,1.666306062,0.0,1.727344509,0.0,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,0.0,0.0,0.833158429,0.0,1.727344509,3.454715776,1.666306062,0.0,0.0,0.0,0.0,1.727344509,0.0,4.165709745,2.560502938,0.0,0.0,27.270238069999998,0.0,0.0,17.49694478,0.0,1.727344509,0.0,0.833158429,0.0,0.0,0.0,0.0,2.560502938,0.0,2.49945167,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.833158429,0.833158429,0.0,3.454715776,0.0,0.833158429,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,8.392482895,0.0,0.0,49.15335611,0.0,0.0,0.0,0.833158429,0.0,0.833158429,3.454715776,1.727344509,5.954167446,0.0,0.0,0.0,1.727344509,1.666306062,1.666306062,1.727344509,1.727344509,1.727344509,1.727344509,0.833158429,0.0,42.08741583,0.025262328,0.010649115,0.091740602,0.023665343,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.017918014,0.0,0.0,0.0,0.0,0.025996785,0.581303829,0.003530092,0.019932327,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,18.9986187,3.454715776,0.0,39.72864858,9.869260563,0.0,0.0,0.0,4.934990116,0.0,3.454715776,2.467448345,5.922164121,0.0,0.0,0.0,2.467448345,0.0,0.0,6.909335538,0.0,0.0,2.467448345,21.466926549,0.0,0.0,0.0,0.0,0.0,2.467448345,0.0,6.909335538,4.194792854,0.0,0.0,0.0,0.0,0.0,34.5467582,1.727344509,0.0,0.0,0.0,4.194792854,4.934990116,4.934990116,4.194792854,4.934990116,0.0,2.467448345,0.0,0.0,0.0,4.934990116,4.934990116,0.0,0.0,0.0,2.467448345,6.662334625,3.454715776,7.402528612,0.0,0.0,0.0,0.0,1.727344509,0.0,4.934990116,1.727344509,0.0,0.0,17.27258539,0.0,0.0,51.82019498,2.467448345,1.727344509,0.0,0.0,0.0,2.467448345,0.0,0.0,1.727344509,0.0,2.467448345,0.0,0.0,2.467448345,0.0,6.662334625,0.0,1.727344509,0.0,4.934990116,0.0,3.454715776,7.402528612,0.0,0.0,1.727344509,2.467448345,0.0,0.0,0.0,0.0,6.662334625,0.0,0.0,106.1025966,0.0,12.33828522,0.0,0.0,0.0,0.0,3.454715776,1.727344509,8.389705892,0.0,0.0,0.0,4.194792854,0.0,2.467448345,1.727344509,1.727344509,4.194792854,1.727344509,0.0,0.0,56.506890489999996,0.0,0.099165573,0.017095657,0.066505256,0.0,0.065165276,2.243620227,0.132017133,0.0,0.0,0.0,0.0,0.575796023,0.0,0.007229182,0.0,0.273327152,0.0,0.003225125,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,18.9986187,3.454715776,0.0,41.363280808,0.0,3.269332702,0.0,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,1.634632228,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,1.634632228,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,0.0,1.634632228,0.0,0.0,58.84115951,1.727344509,3.269332702,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,1.634632228,0.0,39.2346289,1.634632228,1.634632228,0.0,0.0,0.0,1.727344509,8.358629468,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.634632228,3.361976737,0.0,0.0,18.907217618,0.0,0.0,34.32645026,0.0,1.727344509,0.0,0.0,1.634632228,0.0,0.0,1.634632228,3.361976737,0.0,3.269332702,0.0,0.0,0.0,0.0,3.361976737,1.634632228,1.727344509,0.0,11.44228085,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,1.634632228,0.0,9.900737517,0.0,0.0,91.53371535,0.0,0.0,1.634632228,0.0,0.0,0.0,3.454715776,1.727344509,14.896996626,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,8.265932356,1.727344509,1.727344509,0.0,0.0,59.49790879,0.0,0.045798432,0.017095657,0.011573631,0.0,0.023750201,1.563716509,0.0,0.0,0.0,0.0,0.0,0.595217848,0.0,0.0,0.0,0.32489427600000004,0.0,0.003225125,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,20.549616006,3.454715776,0.0,42.83068961,0.0,0.0,1.550997306,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.460332844,3.278341815,0.0,0.0,0.0,0.0,0.0,27.92011396,1.727344509,6.204104435,0.0,0.0,3.278341815,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,1.550997306,0.0,26.36528654,1.550997306,1.550997306,0.0,0.0,0.0,4.8293855390000004,5.005713082,1.550997306,0.0,1.550997306,0.0,0.0,1.727344509,0.0,7.755077605,1.727344509,1.550997306,0.0,17.27258539,0.0,0.0,48.07948534,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,6.380357715,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,1.550997306,1.727344509,0.0,7.755077605,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,6.380357715,0.0,0.0,76.00164444,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,1.727344509,17.413627526,0.0,0.0,1.550997306,1.727344509,0.0,0.0,1.727344509,4.8293855390000004,1.727344509,1.727344509,0.0,0.0,55.524242539999996,0.0,0.057809008,0.032164506,0.007421465,0.0,0.055013459,0.988932297,0.0,0.0,0.013382966,0.0,0.0,0.393862711,0.0,0.0,0.0,0.275476873,0.0,0.008127563,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,18.19994568,0.0,0.0,15.462235883000002,0.0,2.463139613,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,0.86668054,0.0,3.466630221,2.463139613,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,27.09312166,1.733316984,2.59997927,2.463139613,0.0,0.0,0.0,4.926250432,4.333348955,5.792930972,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,0.86668054,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,2.463139613,1.733316984,0.0,0.0,0.0,7.389382581,1.733316984,0.86668054,0.86668054,26.00225287,0.0,1.733316984,32.88842407,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.86668054,0.0,0.0,0.0,0.0,3.329820153,5.792930972,0.0,0.0,4.926250432,2.463139613,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,2.463139613,0.0,0.86668054,30.4229267,0.86668054,1.733316984,0.0,0.0,0.0,0.0,5.063118883,3.466630221,21.985845866,0.86668054,0.86668054,0.0,0.86668054,2.463139613,0.86668054,0.0,0.0,2.463139613,1.733316984,0.0,0.0,40.688482688,0.020007088,0.020191263,0.025753958,0.018353848,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.023007694,0.0,0.0,0.0,0.0,0.006769616,0.412167627,0.015153467,0.001579784,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,21.532559693,0.833158429,0.0,16.331710283,0.0,0.0,0.0,0.0,1.699838969,0.0,0.833158429,0.0,0.0,0.0,2.566475413,0.0,1.666306062,0.86668054,0.0,3.466630221,0.833158429,0.0,0.86668054,1.699838969,0.0,0.0,0.0,0.0,0.0,0.0,9.466251917,9.298663922,0.0,0.0,0.0,0.0,0.0,0.0,18.32858226,2.566475413,2.59997927,0.0,0.0,0.0,1.666306062,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,0.86668054,0.0,0.833158429,0.0,4.333348955,0.86668054,1.666306062,0.0,0.0,1.733316984,0.0,0.0,0.0,4.165709745,2.566475413,0.86668054,0.86668054,35.99990555,0.0,1.733316984,18.36362532,1.733316984,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,3.36613221,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.833158429,0.833158429,0.0,4.333348955,0.0,0.833158429,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,6.665138386,0.0,0.86668054,50.020036649999994,0.86668054,1.733316984,0.0,0.833158429,0.0,0.833158429,2.59997927,3.466630221,14.633542039999998,0.86668054,0.86668054,0.0,0.86668054,1.666306062,2.5329866020000003,0.0,0.0,0.0,1.733316984,0.833158429,0.0,38.662335758,0.039319404,0.0,0.096896077,0.033071153,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.017918014,0.0,0.0,0.0,0.0,0.025996785,0.5848564279999999,0.016594132,0.018286986,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,18.19994568,0.0,0.0,12.99909627,9.869260563,0.0,0.0,0.0,5.801670656,0.0,0.0,2.467448345,2.467448345,0.0,1.733316984,0.0,2.467448345,0.86668054,0.0,3.466630221,0.0,0.0,3.334128885,20.60626258,0.0,0.0,0.0,0.0,0.0,2.467448345,7.799945855,3.466630221,2.467448345,0.0,0.0,0.0,0.0,0.0,34.5467582,1.733316984,2.59997927,0.0,0.0,2.467448345,4.934990116,4.934990116,6.8007973,5.801670656,0.0,2.467448345,0.0,0.0,0.0,4.934990116,4.934990116,0.86668054,0.0,0.0,2.467448345,9.268339071,0.86668054,7.402528612,0.0,0.0,1.733316984,0.0,0.0,0.0,4.934990116,1.733316984,0.86668054,0.86668054,26.00225287,0.0,1.733316984,52.686875519999994,4.200765329,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,3.334128885,0.0,0.0,2.467448345,0.0,5.801670656,0.86668054,0.0,0.0,4.934990116,0.0,4.333348955,7.402528612,0.0,0.0,0.86668054,5.934078566,0.0,0.0,0.0,0.0,4.934990116,0.0,0.86668054,106.96927714,0.86668054,14.071602204,0.0,0.0,0.0,0.0,2.59997927,3.466630221,17.069080485999997,0.86668054,0.86668054,0.0,3.334128885,0.0,3.334128885,0.0,0.0,2.467448345,1.733316984,0.0,0.0,53.081810417999996,0.014057076,0.088516458,0.022251132,0.075911066,0.0,0.065165276,2.243620227,0.132017133,0.0,0.0,0.0,0.0,0.575796023,0.0,0.007229182,0.0,0.276879751,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,18.19994568,0.0,0.0,14.633728498,0.0,3.269332702,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,1.634632228,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,1.634632228,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,0.0,1.634632228,0.0,0.0,58.84115951,1.733316984,5.869311972,0.0,0.0,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,1.634632228,0.0,39.2346289,1.634632228,2.501312768,0.0,0.0,0.0,4.333348955,5.770594232,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,1.634632228,3.367949212,0.86668054,0.86668054,27.636885098,0.0,1.733316984,35.1931308,1.733316984,0.0,0.0,0.0,1.634632228,0.0,0.0,1.634632228,1.634632228,0.0,4.136013242,0.0,0.0,0.0,0.0,2.501312768,2.501312768,0.0,0.0,11.44228085,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,1.634632228,0.0,8.173393008,0.0,0.86668054,92.40039589,0.86668054,1.733316984,1.634632228,0.0,0.0,0.0,2.59997927,3.466630221,23.57637122,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,6.538587847,0.0,1.733316984,0.0,0.0,56.072828718,0.014057076,0.035149317,0.022251132,0.020979441,0.0,0.023750201,1.563716509,0.0,0.0,0.0,0.0,0.0,0.595217848,0.0,0.0,0.0,0.328446875,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,19.750942986,0.0,0.0,16.1011373,0.0,0.0,1.550997306,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,5.017627527,1.550997306,0.0,0.0,0.0,0.0,0.0,27.92011396,1.733316984,8.804083705,0.0,0.0,1.550997306,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,1.550997306,0.0,26.36528654,1.550997306,2.417677846,0.0,0.0,0.0,7.4353899850000005,2.417677846,1.550997306,0.0,1.550997306,1.733316984,0.0,0.0,0.0,7.755077605,1.733316984,2.417677846,0.86668054,26.00225287,0.0,1.733316984,48.946165879999995,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.653013206,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,2.417677846,0.0,0.0,7.755077605,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,4.653013206,0.0,0.86668054,76.86832498000001,0.86668054,1.733316984,0.0,0.0,0.0,0.0,2.59997927,3.466630221,26.09300212,0.86668054,0.86668054,1.550997306,0.86668054,0.0,0.86668054,0.0,3.10204103,0.0,1.733316984,0.0,0.0,52.099162467999996,0.014057076,0.047159893,0.037319981,0.016827275000000003,0.0,0.055013459,0.988932297,0.0,0.0,0.013382966,0.0,0.0,0.393862711,0.0,0.0,0.0,0.279029472,0.01306404,0.006482222,0.0,1.0,1.0,"[[1], [4]]"
