coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Pericytes,Astrocyte Pericytes
0x0,0.0,0.0,18.9986187,4.954830858,0.0,39.72864858,0.0,0.750048159,0.0,0.0,0.750048159,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.750048159,0.750048159,4.500345877,2.250124519,13.659840524,0.0,0.0,0.0,2.477392668,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,53.486762979,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,10.727344509,4.204763935,0.0,0.0,0.0,3.750288648,0.0,2.477392668,2.250124519,0.0,3.977469028,0.0,0.0,17.27258539,30.00273442,0.0,2.250124519,0.750048159,1.727344509,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,3.977469028,0.750048159,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,3.750288648,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.750048159,0.0,0.750048159,0.0,0.0,1.727344509,0.0,1.500115082,1.500115082,0.0,0.0,0.0,0.0,0.0,3.000184291,4.204763935,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.750048159,1.727344509,1.727344509,1.727344509,2.477392668,0.0,0.0,12.09181923,0.0,0.052887347,0.019162449,0.023121945,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.178221654,0.0,0.0,0.0,0.56773161,0.0,0.003225125,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,18.9986187,3.454715776,0.0,41.34478267,0.0,0.0,0.0,0.0,1.61613409,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,0.0,0.0,10.141670187999999,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,4.848439478,0.0,0.0,0.0,0.0,3.343478599,0.0,0.0,0.0,66.37209470900001,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,3.454715776,0.0,0.0,0.0,0.0,0.0,1.727344509,1.61613409,0.0,1.727344509,0.0,0.0,17.27258539,12.92836054,0.0,6.464659462,1.61613409,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,1.61613409,1.727344509,0.0,0.0,0.0,3.454715776,0.0,0.0,0.0,3.343478599,0.0,0.0,0.0,1.61613409,0.0,1.727344509,0.0,1.61613409,1.61613409,0.0,0.0,0.0,0.0,0.0,1.61613409,3.454715776,1.727344509,3.454715776,0.0,0.0,1.61613409,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,12.09181923,0.0,0.052786558,0.026289517999999998,0.005065117,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.167070254,0.0,0.0,0.0,0.575504091,0.0,0.003225125,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,18.9986187,14.854096636000001,0.0,39.72864858,0.0,1.139882859,0.0,1.139882859,0.0,0.0,3.454715776,0.0,3.454715776,1.139882859,0.0,0.0,0.0,4.559554603,0.0,8.049218397,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,1.139882859,0.0,6.909335538,1.727344509,1.139882859,3.419671593,0.0,0.0,2.279744406,0.0,1.727344509,0.0,0.0,0.0,49.603833379,1.139882859,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.706593199,3.454715776,0.0,0.0,0.0,2.279744406,0.0,1.727344509,34.19654225,2.279744406,1.727344509,0.0,1.139882859,17.27258539,182.4002824,1.139882859,27.3595934,0.0,1.727344509,0.0,5.699463109,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,1.139882859,0.0,0.0,1.727344509,0.0,1.727344509,0.0,1.139882859,0.0,3.454715776,1.139882859,0.0,0.0,1.727344509,5.699463109,0.0,2.279744406,0.0,0.0,1.727344509,0.0,2.279744406,0.0,1.139882859,0.0,1.139882859,0.0,0.0,0.0,3.454715776,6.2868991119999995,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,12.09181923,0.0,0.049104876,0.039620575000000005,0.010000991,0.0,0.027159767,0.0,0.0,0.0,0.0,0.08092858,0.0,0.019951216,0.0,0.0,0.0,0.783894177,0.0,0.003225125,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,18.9986187,3.454715776,0.0,50.24460466,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,10.51595608,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,5.2579199,0.0,0.0,0.0,0.0,12.243300589,0.0,0.0,0.0,106.89690020900001,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,3.454715776,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,17.27258539,15.77258494,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,5.2579199,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,0.0,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,12.243300589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,12.09181923,0.0,0.033193339,0.037546761,0.0,0.0,0.024030755,0.0,0.0,0.0,0.0,0.008297522,0.0,0.121873785,0.0,0.0,0.0,0.552119415,0.010678902,0.003225125,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,18.9986187,8.007234094,1.820979954,40.639161592,2.731470392,0.0,0.0,0.0,0.0,0.910513012,5.27569573,0.0,4.365228788,0.0,0.0,0.0,0.0,3.641945102,1.820979954,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81984855,2.637857521,0.0,2.731470392,0.910513012,0.0,0.0,0.0,1.727344509,0.0,0.910513012,0.0,39.964724458999996,0.0,0.0,2.637857521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011342788,3.454715776,0.0,0.0,0.0,0.0,0.0,2.637857521,30.95950175,0.910513012,3.548324463,0.0,0.0,17.27258539,130.1897789,0.0,8.194539862,0.0,1.727344509,0.0,4.552518318,0.0,0.0,0.0,0.0,1.727344509,1.820979954,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,2.731470392,0.0,3.454715776,2.731470392,0.0,0.0,2.637857521,0.910513012,0.910513012,0.0,0.0,0.0,1.727344509,0.0,1.820979954,4.552518318,0.0,0.0,0.0,0.0,0.910513012,0.0,3.454715776,1.727344509,3.454715776,0.0,0.0,1.820979954,1.727344509,0.0,0.910513012,1.727344509,1.727344509,2.637857521,2.637857521,0.0,0.0,13.002332242000001,0.0,0.061618342,0.020739443,0.012167294,0.0,0.041317099,0.0,0.0,0.0,0.0,0.056420937,0.0,0.158534577,0.0,0.0,0.0,0.762859709,0.0,0.003225125,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,18.19994568,1.500115082,0.0,12.99909627,0.0,0.750048159,0.0,0.0,1.616728699,0.0,0.0,0.0,0.0,0.0,1.733316984,0.750048159,0.750048159,5.367026417,2.250124519,10.217135207,0.0,0.0,0.86668054,1.616728699,0.750048159,0.0,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,2.59997927,0.0,0.0,51.75941847,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.616728699,0.750048159,0.0,0.0,13.333348955,1.616728699,0.0,0.0,0.0,5.483605632,0.0,0.750048159,2.250124519,0.0,3.983441503,0.86668054,0.86668054,26.00225287,30.00273442,1.733316984,3.116805059,2.483365143,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,3.750288648,0.0,4.333348955,0.0,0.0,0.0,0.86668054,4.21667838,0.0,0.750048159,0.0,0.0,0.0,0.0,2.366795622,2.366795622,0.86668054,1.733316984,0.0,0.0,0.0,3.000184291,3.350027429,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,1.616728699,0.0,0.0,0.0,2.483365143,0.0,0.0,8.666739158,0.014057076,0.042238232,0.024317924,0.032527755000000005,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.178221654,0.0,0.0,0.0,0.571284209,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,18.19994568,0.0,0.0,14.615230360000002,0.0,0.0,0.0,0.0,2.48281463,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,0.86668054,0.0,6.698964870999999,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,3.349451074,2.59997927,0.0,0.0,64.6447502,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,1.61613409,0.0,1.733316984,0.86668054,0.86668054,26.00225287,12.92836054,1.733316984,7.331340002,3.349451074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,2.48281463,0.0,0.0,0.0,0.0,4.333348955,0.0,0.0,0.0,2.48281463,3.466630221,0.0,0.0,1.61613409,0.0,0.0,0.0,2.48281463,2.48281463,0.86668054,1.733316984,0.0,0.0,0.0,1.61613409,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,1.61613409,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,8.666739158,0.014057076,0.042137443,0.031444993,0.014470927000000001,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.167070254,0.0,0.0,0.0,0.57905669,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,18.19994568,11.39938086,0.0,12.99909627,0.0,1.139882859,0.0,1.139882859,0.86668054,0.0,0.0,0.0,0.0,1.139882859,1.733316984,0.0,0.0,5.4262351429999995,0.0,4.60651308,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,1.139882859,7.799945855,3.466630221,0.0,1.139882859,3.419671593,0.0,0.0,2.279744406,0.0,1.733316984,2.59997927,0.0,0.0,47.87648887,1.139882859,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,12.312597645,0.86668054,0.0,0.0,0.0,4.01306139,0.0,0.0,34.19654225,2.279744406,1.733316984,0.86668054,2.006563399,26.00225287,182.4002824,2.873199843,28.226273940000002,1.733316984,0.0,0.0,5.699463109,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,1.139882859,0.0,0.0,0.86668054,0.86668054,0.0,0.0,1.139882859,0.0,4.333348955,1.139882859,0.0,0.0,0.86668054,9.166093329999999,0.0,2.279744406,0.0,0.0,0.0,0.0,3.146424946,0.86668054,2.006563399,1.733316984,1.139882859,0.0,0.0,0.0,2.59997927,8.026184824,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,8.666739158,0.014057076,0.038455761,0.04477605,0.019406801,0.0,0.027159767,0.0,0.0,0.0,0.0,0.08092858,0.0,0.019951216,0.0,0.0,0.0,0.7874467759999999,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,18.19994568,0.0,0.0,23.51505235,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,11.382636620000001,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,5.2579199,0.0,0.0,0.0,0.0,12.249273064,2.59997927,0.0,0.0,105.1695557,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,0.0,1.733316984,0.86668054,0.86668054,26.00225287,15.77258494,1.733316984,0.86668054,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,5.2579199,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,10.51595608,0.0,0.86668054,0.86668054,0.86668054,1.733316984,0.0,0.0,0.0,0.0,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,8.666739158,0.014057076,0.022544224,0.042702236000000005,0.00940581,0.0,0.024030755,0.0,0.0,0.0,0.0,0.008297522,0.0,0.121873785,0.0,0.0,0.0,0.555672014,0.023742942000000003,0.001579784,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,18.19994568,4.552518318,1.820979954,13.909609282000002,2.731470392,0.0,0.0,0.0,0.86668054,0.910513012,1.820979954,0.0,0.910513012,0.0,1.733316984,0.0,0.0,4.508625642,1.820979954,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,4.377143233,0.910513012,0.0,2.731470392,0.910513012,0.0,0.0,0.0,1.733316984,2.59997927,0.910513012,0.0,38.23737995,0.0,0.0,5.243861967,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,11.617347234,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.910513012,30.95950175,0.910513012,3.5542969380000002,0.86668054,0.86668054,26.00225287,130.1897789,1.733316984,9.061220402,1.733316984,0.0,0.0,4.552518318,0.0,0.0,0.0,0.0,0.0,1.820979954,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,2.731470392,0.0,4.333348955,2.731470392,0.0,0.0,1.777193552,4.377143233,0.910513012,0.0,0.0,0.0,0.0,0.0,2.687660494,5.419198858,0.86668054,1.733316984,0.0,0.0,0.910513012,0.0,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,1.820979954,0.86668054,0.0,1.777193552,0.0,0.0,0.910513012,2.643829996,0.0,0.0,9.577252170000001,0.014057076,0.050969227,0.025894918,0.021573104000000003,0.0,0.041317099,0.0,0.0,0.0,0.0,0.056420937,0.0,0.158534577,0.0,0.0,0.0,0.766412308,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [4]]"
