coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial1,Excitatory,Endothelial1cells
0x0,0.0,0.0,0.0,6.721825801,4.813664962,0.0,10.6439411,1.120313117,0.0,0.560163093,12.0955653,0.560163093,0.0,0.0,0.0,0.560163093,14.171214459000002,0.560163093,0.0,4.813664962,1.120313117,5.373828055,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,11.928867618000002,1.680464131,1.120313117,0.0,0.0,2.406826369,0.0,2.966989462,2.406826369,0.560163093,25.143969624,0.560163093,0.0,19.25349607,0.0,5.373828055,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00375625,0.0,0.560163093,3.921075182,51.56188769,8.174603843,0.0,0.0,0.0,0.0,0.0,0.560163093,0.0,3.5271394860000003,0.0,2.966989462,0.0,18.362949022,0.0,7.220533434,15.002036933,9.128652169999999,17.408592253,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,5.933978079,0.0,1.120313117,0.0,1.120313117,0.0,0.0,2.966989462,0.560163093,29.441498343,0.560163093,0.0,1.120313117,0.0,14.44187384,21.056155642,0.0,0.0,1.120313117,0.0,18.589047469,2.240634118,0.560163093,0.560163093,27.032778093,0.0,0.0,0.0,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,0.0,3.921075182,0.0,0.560163093,0.0,0.0,0.002912167,0.036487336,0.000155517,0.035538078,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.0,0.0,0.050427299,0.0,0.601134214,0.0,0.0,0.0,1.0,1.0,[0]
1x1,0.0,0.516421733,2.582036443,9.811849706,4.813664962,0.516421733,3.614875615,16.52669382,0.0,0.0,6.36290071,0.0,0.0,1.032825032,0.516421733,15.49301295,8.087342239,0.516421733,0.516421733,4.813664962,1.032825032,4.813664962,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,8.087342239,2.582036443,0.516421733,0.0,0.0,3.956062117,0.0,2.406826369,2.923248102,0.516421733,7.220533434,0.0,0.0,19.25349607,0.0,12.043478583999999,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,9.294375367,0.0,0.0,1.032825032,47.114921688,5.846489994,20.65708495,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,2.923248102,0.516421733,2.406826369,0.0,21.155169878,0.0,7.220533434,15.474698872,2.406826369,17.881254192,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,6.879296816,0.516421733,2.582036443,0.0,1.549235748,0.0,11.36232054,2.406826369,1.549235748,28.88133525,0.0,0.0,0.0,0.0,14.44187384,9.977769566,0.0,0.516421733,0.0,0.0,19.955958384,0.0,0.0,0.516421733,26.989036733000002,1.032825032,0.0,0.516421733,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,2.065631854,3.614875615,0.0,0.0,0.0,0.0,0.0,0.0,0.000155517,0.011509924000000001,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.0,0.0,0.011299983,0.0,0.653923237,0.0,0.0,0.0,1.0,1.0,[1]
2x2,0.0,0.0,0.0,0.0,4.813664962,0.0,0.0,5.279715953,0.0,0.0,15.372125642,0.0,0.0,0.0,0.0,10.55846068,7.686542322,0.0,5.279715953,4.813664962,0.0,4.813664962,0.0,0.0,0.0,5.279715953,0.0,10.55846068,0.0,0.0,0.0,0.0,12.965287049,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,0.0,23.058901564,0.0,0.0,19.25349607,5.279715953,15.372125642,5.279715953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6813509,0.0,0.0,0.0,40.91794659,20.652033092,31.6813509,5.279715953,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,7.686542322,0.0,25.00033452,0.0,7.220533434,14.44187384,7.686542322,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55846068,0.0,0.0,0.0,15.83836813,0.0,26.39681014,4.813664962,0.0,5.279715953,0.0,0.0,0.0,15.83836813,2.406826369,0.0,28.88133525,0.0,0.0,0.0,5.279715953,14.44187384,15.372125642,0.0,0.0,0.0,0.0,51.868163904,0.0,0.0,0.0,26.472615,0.0,0.0,0.0,0.0,0.0,0.0,21.12075776,0.0,0.0,5.279715953,5.279715953,0.0,0.0,0.0,0.0,0.0,0.0,0.04859794,0.000155517,0.003309212,0.002580838,0.0,0.021738598,0.061778678,0.0,0.0,0.062620035,0.298613759,0.0,0.0,0.045796057,0.0,0.542896306,0.0,0.002601846,0.0,1.0,1.0,[2]
3x3,0.0,0.0,0.0,0.879273544,5.692938506,1.758608055,5.27581308,0.0,0.0,0.0,13.606535203,3.517207078,0.0,0.879273544,0.0,5.27581308,10.320567144,0.879273544,1.758608055,5.692938506,0.879273544,5.692938506,0.879273544,0.0,0.879273544,14.94777134,0.879273544,8.792870241,1.758608055,0.0,0.879273544,0.0,7.682639449,0.879273544,0.0,0.0,1.758608055,2.406826369,0.0,2.406826369,3.286099913,0.879273544,7.220533434,0.879273544,1.758608055,19.25349607,0.0,5.692938506,0.0,0.0,8.792870241,0.0,0.879273544,27.25530502,0.879273544,0.879273544,8.792870241,2.63789366,0.0,0.879273544,0.879273544,41.797220134,8.33087204,0.879273544,0.0,2.63789366,0.0,0.0,0.0,0.879273544,2.406826369,0.879273544,4.165434424,0.0,14.44187384,0.0,8.099806978,24.115205383,2.406826369,17.727702704,0.0,0.879273544,0.879273544,1.758608055,0.879273544,0.0,1.758608055,1.758608055,0.0,4.396472894,0.879273544,9.673331543,0.0,16.70516588,4.813664962,0.879273544,4.396472894,0.0,0.879273544,0.0,4.396472894,4.165434424,5.27581308,28.88133525,0.879273544,0.0,0.0,0.879273544,14.44187384,9.210137856,0.0,1.758608055,0.0,1.758608055,17.540479429,0.0,0.0,0.0,26.472615,2.63789366,0.879273544,0.0,0.0,9.673331543,0.0,9.673331543,0.0,0.0,0.879273544,2.63789366,0.879273544,0.0,3.517207078,0.0,0.0,0.0,0.010181708,0.000155517,0.050278639,0.0,0.0,0.0,0.008975219,0.0,0.0,0.062713016,0.0,0.693869702,0.0,0.150238765,0.0,0.564685121,0.0,0.0,0.049909825,1.0,1.0,[3]
4x4,0.360786525,0.0,0.721591065,31.3891835,6.256814221,0.360786525,2.886332908,7.937375397,0.360786525,0.360786525,6.256814221,1.803948289,0.0,1.082380077,12.98942937,10.46304507,30.547527719,1.443149259,2.16475431,5.174451487,0.360786525,5.535256027,0.360786525,0.0,0.721591065,0.0,0.0,0.0,0.721591065,0.0,0.360786525,2.525494163,9.983324553,1.443149259,0.0,0.0,0.360786525,11.786889622,0.0,2.406826369,2.767612894,0.0,7.942124499,0.0,0.360786525,19.25349607,0.360786525,8.782333205,2.886332908,22.36684082,8.298223906,0.721591065,0.0,0.721591065,0.360786525,1.082380077,1.443149259,5.772671325,0.0,0.0,0.721591065,45.608178935,7.69999787,6.494281465,3.968668243,0.0,0.721591065,1.082380077,0.0,0.0,2.406826369,2.16475431,2.406826369,0.721591065,15.163464905,0.0,7.220533434,17.328206748,11.427571122,17.209215685,0.0,2.16475431,0.360786525,0.0,0.360786525,0.0,0.360786525,9.020744753,0.360786525,0.721591065,1.443149259,8.298223906,0.721591065,7.937375397,19.244875622,0.0,1.803948289,0.0,1.443149259,0.360786525,5.051039668,2.406826369,0.360786525,28.88133525,1.803948289,1.082380077,0.360786525,0.0,18.410542083,12.390163145999999,0.360786525,0.0,0.0,0.721591065,15.038539139000001,0.0,0.0,0.0,26.833401525000003,1.443149259,0.360786525,0.360786525,0.721591065,0.0,1.443149259,7.215802676,0.0,8.298223906,1.082380077,2.886332908,1.803948289,0.360786525,0.721591065,0.0,1.082380077,0.0,0.000728573,0.000155517,0.003309212,0.078810091,0.0,0.001710878,0.0,0.0,0.0,0.043852174,0.0,0.0,0.0,0.0,0.149637708,0.41907238999999996,0.743130894,0.0,0.0,1.0,1.0,[4]
5x5,1.291870106,0.0,3.875621685,8.013695906999999,0.0,0.0,10.6439411,4.995934802,0.0,0.560163093,8.573770443999999,0.560163093,1.291870106,0.0,0.0,0.560163093,13.056258196,0.560163093,0.0,0.0,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,1.291870106,1.120313117,1.120313117,0.560163093,9.522041249,2.972334237,1.120313117,0.0,0.0,3.875621685,0.0,0.560163093,0.0,0.560163093,20.507122602,0.560163093,0.0,23.25492857,0.0,0.560163093,2.240634118,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.587442662,0.0,0.560163093,3.921075182,42.94054962,3.360938881,0.0,0.0,0.0,1.291870106,1.291870106,0.560163093,1.291870106,1.120313117,0.0,0.560163093,1.291870106,6.504761594,1.291870106,0.0,48.357935823,6.721825801,1.852033199,0.0,0.560163093,1.291870106,1.291870106,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,13.227627512,2.412183223,0.0,1.120313117,0.0,2.412183223,0.0,1.291870106,0.560163093,0.560163093,38.028197873,0.560163093,0.0,1.120313117,0.0,6.459333079,16.24249068,0.0,0.0,2.412183223,0.0,8.962308815,2.240634118,0.560163093,0.560163093,38.028197873,0.0,0.0,0.0,0.0,0.0,0.0,14.736286516,0.0,1.120313117,1.291870106,0.0,3.921075182,0.0,0.560163093,0.0,0.0,0.002912167,0.036487336,0.003280104,0.053617216,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.42301671,0.0,0.050427299,0.0,0.493349508,0.0,0.0,0.0,1.0,1.0,[0]
6x6,1.291870106,0.516421733,6.457658128,11.103719812,0.0,0.516421733,3.614875615,20.402315504999997,0.0,0.0,2.8411058540000003,0.0,1.291870106,1.032825032,0.516421733,15.49301295,6.972385976,0.516421733,0.516421733,0.0,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,1.808291839,0.0,0.0,0.0,5.68051587,3.873906549,0.516421733,0.0,0.0,5.424857433,0.0,0.0,0.516421733,0.516421733,2.583686412,0.0,0.0,23.25492857,0.0,7.229813622,4.131330645,6.715017057000001,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,11.878061779000001,0.0,0.0,1.032825032,38.493583618,1.032825032,20.65708495,0.0,1.549235748,1.291870106,1.808291839,1.549235748,1.291870106,0.516421733,0.516421733,0.0,1.291870106,9.29698245,1.291870106,0.0,48.830597762,0.0,2.324695138,0.0,0.0,2.8411058540000003,1.291870106,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,25.821866061999998,3.3575019599999996,0.516421733,2.582036443,0.0,2.8411058540000003,0.0,12.654190646,0.0,1.549235748,37.46803478,0.0,0.0,0.0,0.0,6.459333079,5.164104604,0.0,0.516421733,1.291870106,0.0,10.32921973,0.0,0.0,0.516421733,37.984456513000005,1.032825032,0.0,0.516421733,0.516421733,1.032825032,0.0,8.005166144,0.0,0.0,1.808291839,2.065631854,3.614875615,0.0,0.0,0.0,0.0,0.0,0.0,0.003280104,0.029589062,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.42301671,0.0,0.011299983,0.0,0.546138531,0.0,0.0,0.0,1.0,1.0,[1]
7x7,1.291870106,0.0,3.875621685,1.291870106,0.0,0.0,0.0,9.155337638,0.0,0.0,11.850330785999999,0.0,1.291870106,0.0,0.0,10.55846068,6.571586059,0.0,5.279715953,0.0,0.0,0.0,0.0,0.0,0.0,5.279715953,0.0,10.55846068,1.291870106,0.0,0.0,0.0,10.55846068,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,0.0,0.0,18.422054541999998,0.0,0.0,23.25492857,5.279715953,10.55846068,5.279715953,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.265037312000004,0.0,0.0,0.0,32.29660852,15.83836813,31.6813509,5.279715953,0.0,1.291870106,1.291870106,0.0,1.291870106,0.0,0.0,5.279715953,1.291870106,13.142147092,1.291870106,0.0,47.79777273,5.279715953,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,10.55846068,0.0,0.0,0.0,15.83836813,0.0,28.980496551999998,1.291870106,0.0,5.279715953,0.0,1.291870106,0.0,17.130238236,0.0,0.0,37.46803478,0.0,0.0,0.0,5.279715953,6.459333079,10.55846068,0.0,0.0,1.291870106,0.0,42.24142525,0.0,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,0.0,0.0,22.412627866,0.0,0.0,6.571586059,5.279715953,0.0,0.0,0.0,0.0,0.0,0.0,0.04859794,0.003280104,0.02138835,0.002580838,0.0,0.021738598,0.061778678,0.0,0.0,0.062620035,0.298613759,0.42301671,0.0,0.045796057,0.0,0.43511160000000004,0.0,0.002601846,0.0,1.0,1.0,[2]
8x8,1.291870106,0.0,3.875621685,2.17114365,0.879273544,1.758608055,5.27581308,3.875621685,0.0,0.0,10.084740346999999,3.517207078,1.291870106,0.879273544,0.0,5.27581308,9.205610881,0.879273544,1.758608055,0.879273544,0.879273544,0.879273544,0.879273544,0.0,0.879273544,14.94777134,0.879273544,8.792870241,3.050478161,0.0,0.879273544,0.0,5.27581308,2.17114365,0.0,0.0,1.758608055,3.875621685,0.0,0.0,0.879273544,0.879273544,2.583686412,0.879273544,1.758608055,23.25492857,0.0,0.879273544,0.0,2.583686412,8.792870241,0.0,0.879273544,27.25530502,0.879273544,0.879273544,8.792870241,5.221580072,0.0,0.879273544,0.879273544,33.175882064,3.517207078,0.879273544,0.0,2.63789366,1.291870106,1.291870106,0.0,2.17114365,0.0,0.879273544,1.758608055,1.291870106,2.583686412,1.291870106,0.879273544,57.471104272999995,0.0,2.17114365,0.0,0.879273544,2.17114365,3.050478161,0.879273544,0.0,1.758608055,1.758608055,0.0,4.396472894,0.879273544,9.673331543,0.0,19.288852291999998,1.291870106,0.879273544,4.396472894,0.0,2.17114365,0.0,5.688343000000001,1.758608055,5.27581308,37.46803478,0.879273544,0.0,0.0,0.879273544,6.459333079,4.396472894,0.0,1.758608055,1.291870106,1.758608055,7.913740775,0.0,0.0,0.0,37.46803478,2.63789366,0.879273544,0.0,0.0,9.673331543,0.0,10.965201648999999,0.0,0.0,2.17114365,2.63789366,0.879273544,0.0,3.517207078,0.0,0.0,0.0,0.010181708,0.003280104,0.06835777700000001,0.0,0.0,0.0,0.008975219,0.0,0.0,0.062713016,0.0,1.116886412,0.0,0.150238765,0.0,0.456900415,0.0,0.0,0.049909825,1.0,1.0,[3]
9x9,1.652656631,0.0,4.59721275,32.681053606,1.443149259,0.360786525,2.886332908,11.812997082,0.360786525,0.360786525,2.735019365,1.803948289,1.291870106,1.082380077,12.98942937,10.46304507,29.432571456,1.443149259,2.16475431,0.360786525,0.360786525,0.721591065,0.360786525,0.0,0.721591065,0.0,0.0,0.0,2.013461171,0.0,0.360786525,2.525494163,7.576498184,2.735019365,0.0,0.0,0.360786525,13.255684938,0.0,0.0,0.360786525,0.0,3.305277477,0.0,0.360786525,23.25492857,0.360786525,3.968668243,2.886332908,24.950527232,8.298223906,0.721591065,0.0,0.721591065,0.360786525,1.082380077,1.443149259,8.356357737,0.0,0.0,0.721591065,36.986840865,2.886332908,6.494281465,3.968668243,0.0,2.013461171,2.374250183,0.0,1.291870106,0.0,2.16475431,0.0,2.013461171,3.305277477,1.291870106,0.0,50.684105638,9.020744753,1.652656631,0.0,2.16475431,1.652656631,1.291870106,0.360786525,0.0,0.360786525,9.020744753,0.360786525,0.721591065,1.443149259,8.298223906,0.721591065,10.521061809,15.723080765999999,0.0,1.803948289,0.0,2.735019365,0.360786525,6.342909774,0.0,0.360786525,37.46803478,1.803948289,1.082380077,0.360786525,0.0,10.428001322,7.576498184,0.360786525,0.0,1.291870106,0.721591065,5.411800485,0.0,0.0,0.0,37.828821305000005,1.443149259,0.360786525,0.360786525,0.721591065,0.0,1.443149259,8.507672782,0.0,8.298223906,2.374250183,2.886332908,1.803948289,0.360786525,0.721591065,0.0,1.082380077,0.0,0.000728573,0.003280104,0.02138835,0.078810091,0.0,0.001710878,0.0,0.0,0.0,0.043852174,0.0,0.42301671,0.0,0.0,0.149637708,0.311287684,0.743130894,0.0,0.0,1.0,1.0,[4]
