coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial1,Microglia
0x0,0.891907941,0.0,15.16218226,0.0,4.813664962,18.72876956,0.0,1.783812624,0.0,0.0,6.597477586,0.891907941,0.0,0.0,0.0,0.891907941,4.190638993,0.891907941,0.0,4.813664962,0.0,6.597477586,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,12.218676075000001,8.919048185,0.0,0.0,0.0,3.29873431,0.0,2.406826369,2.406826369,0.891907941,7.220533434,0.891907941,0.0,19.25349607,0.0,5.705572903,1.783812624,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,7.135420397,0.891907941,0.891907941,0.0,44.485566949,5.705572903,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,2.406826369,1.783812624,2.406826369,0.0,34.06241222,0.0,7.220533434,14.44187384,2.406826369,32.01061142,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,3.567620359,0.0,2.675784144,6.597477586,0.0,1.783812624,3.567620359,0.0,2.675784144,0.0,2.406826369,0.0,28.88133525,0.0,0.0,0.0,46.38053933,14.44187384,12.841009124,0.891907941,0.0,8.919048185,0.0,13.194359013,0.0,0.891907941,0.0,26.472615,8.919048185,4.459589628,7.135420397,0.0,0.0,0.0,1.783812624,0.0,0.0,0.891907941,0.0,0.891907941,0.0,0.0,0.891907941,12.48652308,0.02634885,0.005579243,0.025018955000000002,0.044180431,0.0,0.0,0.0,0.0,0.0,0.0,0.014238051,0.0,0.029409093,0.0,0.0,0.000762815,0.520955242,0.0,0.0,0.0,1.0,1.0
1x1,0.0,0.0,0.0,0.0,4.813664962,6.022148348,0.0,0.0,0.0,0.0,4.813664962,6.022148348,0.0,0.0,0.0,0.0,14.450502289,0.0,0.0,4.813664962,0.0,4.813664962,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,0.0,19.264209354000002,0.0,0.0,19.25349607,6.022148348,4.813664962,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,40.91794659,4.813664962,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,2.406826369,24.08996179,2.406826369,0.0,14.44187384,0.0,7.220533434,14.44187384,2.406826369,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,8.428974717,12.04367592,28.88133525,0.0,0.0,0.0,102.3713052,14.44187384,4.813664962,0.0,0.0,0.0,0.0,15.648887002,0.0,0.0,0.0,26.472615,6.022148348,0.0,0.0,0.0,0.0,0.0,12.04367592,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002387402,0.0,0.019834106,0.02027607,0.002447184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45970898699999996,0.005567434,0.000391101,0.0,1.0,1.0
2x2,0.0,2.889914001,0.0,2.889914001,4.813664962,0.0,1.444950101,0.0,0.0,0.0,6.258615063,0.0,0.0,0.0,1.444950101,7.224888137,12.521584079,1.444950101,0.0,4.813664962,0.0,4.813664962,0.0,0.0,1.444950101,0.0,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,5.29674037,2.889914001,0.0,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,0.0,7.220533434,0.0,0.0,19.25349607,0.0,4.813664962,0.0,1.444950101,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,4.334945658,0.0,8.669855849,0.0,40.91794659,4.813664962,2.889914001,0.0,0.0,0.0,1.444950101,0.0,0.0,2.406826369,0.0,2.406826369,1.444950101,15.886823941,0.0,7.220533434,14.44187384,6.741772027,16.84842916,0.0,0.0,2.889914001,0.0,0.0,0.0,0.0,1.444950101,0.0,0.0,0.0,5.779848666,0.0,1.444950101,4.813664962,1.444950101,0.0,1.444950101,0.0,0.0,0.0,2.406826369,10.11475771,28.88133525,0.0,0.0,0.0,65.02372147,14.44187384,20.710291301999998,0.0,0.0,8.669855849,0.0,12.516652655000001,0.0,0.0,1.444950101,26.472615,2.889914001,0.0,1.444950101,0.0,0.0,0.0,4.334945658,0.0,0.0,1.444950101,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,0.0,0.0,0.012364763,0.016928813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287508189,0.0,0.0,0.103260324,0.334613172,0.31084095,0.0,0.0,1.0,1.0
3x3,0.0,0.96942751,24.23480772,0.96942751,5.298369377,19.87372704,0.0,1.454143763,0.484704415,0.0,5.783092472,0.484704415,3.392987829,0.96942751,0.0,0.0,4.345626158,0.484704415,0.0,5.298369377,0.0,6.267808725,0.0,0.484704415,0.0,0.0,0.0,0.0,2.423576211,0.0,0.0,0.96942751,8.707955002,11.1478662,0.0,0.0,1.454143763,2.891530784,0.0,2.406826369,2.891530784,0.0,7.220533434,0.0,0.0,19.25349607,0.0,4.813664962,1.938799789,0.0,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,2.423576211,0.0,0.0,0.0,49.157904650999996,4.813664962,0.484704415,0.484704415,0.0,0.96942751,0.484704415,0.0,0.0,2.891530784,0.96942751,2.406826369,0.96942751,48.3719876,0.0,7.220533434,14.44187384,3.376253879,16.84842916,0.0,0.96942751,0.0,0.0,0.484704415,0.0,1.454143763,0.484704415,0.484704415,0.484704415,0.0,0.0,0.0,1.938799789,6.752464751,0.484704415,0.0,2.908228973,0.0,5.33184099,0.484704415,2.406826369,0.484704415,28.88133525,0.0,0.96942751,0.0,37.80610014,14.44187384,10.630142375,0.0,0.0,1.938799789,0.96942751,10.111443069,0.0,0.484704415,0.484704415,27.44204251,2.908228973,3.87764288,2.908228973,0.0,0.0,0.0,0.484704415,0.0,0.0,0.484704415,2.423576211,1.938799789,0.0,0.484704415,0.0,9.693010665,0.0,0.041643241,0.016247442,0.044904484,0.0,0.023056926,0.0,0.085128075,0.0,0.0,0.0,0.0,0.641572243,0.0,0.0,0.0,0.314959374,0.0,0.0,0.0,1.0,1.0
4x4,0.0,0.0,0.0,0.0,5.9823176259999995,2.337336513,0.0,0.0,0.0,1.168652664,4.813664962,0.0,0.0,0.0,0.0,0.0,7.081488385,0.0,0.0,9.488326978,2.337336513,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.912814049,0.0,0.0,0.0,0.0,3.5754790329999997,5.843212087,2.406826369,3.5754790329999997,0.0,8.389186098,0.0,0.0,23.928158086,1.168652664,7.151001474999999,0.0,0.0,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,3.50598768,0.0,0.0,0.0,47.929929236999996,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5754790329999997,4.674662016,2.406826369,0.0,17.94786152,0.0,7.220533434,15.610526504,3.5754790329999997,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168652664,0.0,1.168652664,0.0,0.0,0.0,2.337336513,5.9823176259999995,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,1.168652664,55.761799429999996,0.0,0.0,0.0,82.96533016,15.610526504,11.825647609,0.0,0.0,8.180577476,2.337336513,9.626738654,0.0,0.0,0.0,29.97860268,14.02449903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01595296,0.0,0.033335539000000004,0.06904610500000001,0.0,0.001917426,0.0,0.0,0.0,0.0,0.0,0.0,0.35975292,0.0,0.0,0.014984944,0.379022667,0.000742606,0.001060327,0.0,1.0,1.0
5x5,2.183778047,0.0,19.037803945,1.291870106,0.0,18.72876956,0.0,5.659434309,0.0,0.0,3.07568273,0.891907941,1.291870106,0.0,0.0,0.891907941,3.07568273,0.891907941,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,2.183778047,0.0,0.0,0.0,9.811849706,10.210918290999999,0.0,0.0,0.0,4.767529626,0.0,0.0,0.0,0.891907941,2.583686412,0.891907941,0.0,23.25492857,0.0,0.891907941,1.783812624,2.583686412,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,9.719106809,0.891907941,0.891907941,0.0,35.864228879,0.891907941,0.0,0.0,0.0,2.183778047,1.291870106,0.0,1.291870106,0.0,1.783812624,0.0,1.291870106,22.204224791999998,1.291870106,0.0,47.79777273,0.0,16.454052366,0.0,0.0,2.183778047,1.291870106,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,3.567620359,0.0,5.259470556,3.07568273,0.0,1.783812624,3.567620359,1.291870106,2.675784144,1.291870106,0.0,0.0,37.46803478,0.0,0.0,0.0,46.38053933,6.459333079,8.027344162,0.891907941,0.0,10.210918290999999,0.0,3.567620359,0.0,0.891907941,0.0,37.46803478,8.919048185,4.459589628,7.135420397,0.0,0.0,0.0,3.07568273,0.0,0.0,2.183778047,0.0,0.891907941,0.0,0.0,0.891907941,12.48652308,0.02634885,0.005579243,0.028143542,0.062259569,0.0,0.0,0.0,0.0,0.0,0.0,0.014238051,0.0,0.452425803,0.0,0.0,0.000762815,0.413170536,0.0,0.0,0.0,1.0,1.0
6x6,1.291870106,0.0,3.875621685,1.291870106,0.0,6.022148348,0.0,3.875621685,0.0,0.0,1.291870106,6.022148348,1.291870106,0.0,0.0,0.0,13.335546026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,0.0,0.0,14.627362332,0.0,0.0,23.25492857,6.022148348,0.0,0.0,2.583686412,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,2.583686412,0.0,6.022148348,0.0,32.29660852,0.0,0.0,0.0,6.022148348,1.291870106,1.291870106,0.0,1.291870106,0.0,24.08996179,0.0,1.291870106,2.583686412,1.291870106,0.0,47.79777273,0.0,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,2.583686412,1.291870106,0.0,0.0,0.0,1.291870106,0.0,1.291870106,6.022148348,12.04367592,37.46803478,0.0,0.0,0.0,102.3713052,6.459333079,0.0,0.0,0.0,1.291870106,0.0,6.022148348,0.0,0.0,0.0,37.46803478,6.022148348,0.0,0.0,0.0,0.0,0.0,13.335546026,6.022148348,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.002387402,0.0,0.022958693,0.038355208,0.002447184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42301671,0.0,0.0,0.0,0.351924281,0.005567434,0.000391101,0.0,1.0,1.0
7x7,1.291870106,2.889914001,3.875621685,4.181784107,0.0,0.0,1.444950101,3.875621685,0.0,0.0,2.736820207,0.0,1.291870106,0.0,1.444950101,7.224888137,11.406627815999999,1.444950101,0.0,0.0,0.0,0.0,0.0,0.0,1.444950101,0.0,1.444950101,1.444950101,2.736820207,0.0,0.0,0.0,2.889914001,4.181784107,0.0,0.0,0.0,3.875621685,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,23.25492857,0.0,0.0,0.0,4.028636513,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,6.918632069999999,0.0,8.669855849,0.0,32.29660852,0.0,2.889914001,0.0,0.0,1.291870106,2.736820207,0.0,1.291870106,0.0,0.0,0.0,2.736820207,4.028636513,1.291870106,0.0,47.79777273,4.334945658,1.291870106,0.0,0.0,4.181784107,1.291870106,0.0,0.0,0.0,1.444950101,0.0,0.0,0.0,5.779848666,0.0,4.028636513,1.291870106,1.444950101,0.0,1.444950101,1.291870106,0.0,1.291870106,0.0,10.11475771,37.46803478,0.0,0.0,0.0,65.02372147,6.459333079,15.89662634,0.0,0.0,9.961725954999999,0.0,2.889914001,0.0,0.0,1.444950101,37.46803478,2.889914001,0.0,1.444950101,0.0,0.0,0.0,5.626815764,0.0,0.0,2.736820207,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,0.0,0.0,0.015489349999999999,0.035007951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.710524899,0.0,0.0,0.103260324,0.226828466,0.31084095,0.0,0.0,1.0,1.0
8x8,1.291870106,0.96942751,28.110429404999998,2.2612976160000002,0.484704415,19.87372704,0.0,5.329765448,0.484704415,0.0,2.2612976160000002,0.484704415,4.684857935,0.96942751,0.0,0.0,3.230669895,0.484704415,0.0,0.484704415,0.0,1.454143763,0.0,0.484704415,0.0,0.0,0.0,0.0,3.7154463169999996,0.0,0.0,0.96942751,6.301128633,12.439736305999999,0.0,0.0,1.454143763,4.3603261,0.0,0.0,0.484704415,0.0,2.583686412,0.0,0.0,23.25492857,0.0,0.0,1.938799789,2.583686412,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,5.007262623,0.0,0.0,0.0,40.536566581,0.0,0.484704415,0.484704415,0.0,2.2612976160000002,1.776574521,0.0,1.291870106,0.484704415,0.96942751,0.0,2.2612976160000002,36.513800171999996,1.291870106,0.0,47.79777273,0.96942751,1.291870106,0.0,0.96942751,1.291870106,1.291870106,0.484704415,0.0,1.454143763,0.484704415,0.484704415,0.484704415,0.0,0.0,0.0,4.5224862009999995,3.230669895,0.484704415,0.0,2.908228973,1.291870106,5.33184099,1.776574521,0.0,0.484704415,37.46803478,0.0,0.96942751,0.0,37.80610014,6.459333079,5.816477413,0.0,0.0,3.230669895,0.96942751,0.484704415,0.0,0.484704415,0.484704415,38.437462290000006,2.908228973,3.87764288,2.908228973,0.0,0.0,0.0,1.776574521,0.0,0.0,1.776574521,2.423576211,1.938799789,0.0,0.484704415,0.0,9.693010665,0.0,0.041643241,0.019372029,0.062983622,0.0,0.023056926,0.0,0.085128075,0.0,0.0,0.0,0.0,1.0645889530000001,0.0,0.0,0.0,0.207174668,0.0,0.0,0.0,1.0,1.0
9x9,1.291870106,0.0,3.875621685,1.291870106,1.168652664,2.337336513,0.0,3.875621685,0.0,1.168652664,1.291870106,0.0,1.291870106,0.0,0.0,0.0,5.966532122,0.0,0.0,4.674662016,2.337336513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,3.50598768,1.291870106,0.0,0.0,0.0,5.044274349,5.843212087,0.0,1.168652664,0.0,3.752339076,0.0,0.0,27.929590586,1.168652664,2.337336513,0.0,2.583686412,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,6.089674092,0.0,0.0,0.0,39.308591167,0.0,0.0,0.0,0.0,1.291870106,1.291870106,0.0,1.291870106,1.168652664,4.674662016,0.0,1.291870106,6.089674092,1.291870106,0.0,48.966425394,1.168652664,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,1.168652664,0.0,1.168652664,0.0,0.0,0.0,4.921022925,2.46052277,0.0,0.0,0.0,1.291870106,0.0,1.291870106,0.0,1.168652664,64.34849896,0.0,0.0,0.0,82.96533016,7.627985743,7.011982647,0.0,0.0,9.472447582,2.337336513,0.0,0.0,0.0,0.0,40.97402246,14.02449903,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.01595296,0.0,0.036460126,0.087125243,0.0,0.001917426,0.0,0.0,0.0,0.0,0.0,0.0,0.78276963,0.0,0.0,0.014984944,0.271237961,0.000742606,0.001060327,0.0,1.0,1.0
