coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial1,ODImmature2,permutationTracker
0x0,0.0,0.0,1.649354052,1.649354052,4.813664962,0.824693815,0.0,0.824693815,0.0,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,4.0561804210000005,0.0,0.824693815,4.813664962,0.0,36.150685312,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,3.231520184,0.824693815,0.0,0.0,0.0,3.231520184,0.824693815,2.406826369,2.406826369,0.0,8.045227249,0.0,0.0,19.25349607,0.0,4.813664962,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298728334,0.0,0.824693815,0.0,42.567300642,5.638358777,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,2.406826369,5.772827274,2.406826369,26.39050251,27.63571693,0.0,7.220533434,14.44187384,2.406826369,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,4.813664962,1.649354052,0.0,1.649354052,0.0,1.649354052,0.824693815,2.406826369,2.47408148,28.88133525,0.0,0.0,0.0,50.30976198,14.44187384,9.761788775,0.0,0.824693815,12.36903314,1.649354052,12.100820134000001,0.0,0.824693815,0.0,26.472615,4.12342048,2.47408148,0.0,0.0,0.0,4.948123813,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.0,0.0,0.824693815,0.025115972,0.0,0.031716720000000004,0.030819077,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979608,0.591946444,0.028037602,0.003393076,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,11.27156635,0.0,4.813664962,22.54507076,0.0,0.0,0.0,0.0,10.449720316,0.0,5.636055354,0.0,0.0,0.0,2.406826369,0.0,0.0,4.813664962,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.678392719000001,22.54507076,0.0,0.0,5.636055354,2.406826369,0.0,2.406826369,2.406826369,0.0,7.220533434,0.0,0.0,19.25349607,0.0,4.813664962,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.91794659,4.813664962,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,2.406826369,0.0,2.406826369,11.27156635,31.352055879999998,0.0,7.220533434,14.44187384,2.406826369,16.84842916,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,28.88133525,0.0,0.0,0.0,0.0,14.44187384,4.813664962,5.636055354,5.636055354,0.0,0.0,9.626738654,0.0,0.0,0.0,26.472615,0.0,5.636055354,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003004873,0.006783156,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.455559624,0.0,0.0,0.022361296,0.313096415,0.490390247,0.0,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,0.85494057,3.419773361,4.813664962,0.85494057,9.403991771,30.77605657,0.0,0.0,7.378422532,1.709879628,0.85494057,0.0,14.53459731,0.0,8.391401607999999,0.0,1.709879628,6.52354459,8.549266197,4.813664962,2.56475757,0.85494057,0.0,0.85494057,0.85494057,0.85494057,0.0,0.0,0.0,0.85494057,17.793846979,0.85494057,0.0,0.0,0.85494057,4.971583939,0.0,2.406826369,2.406826369,0.0,8.930413062,0.0,0.0,19.25349607,0.85494057,12.508072635,0.0,1.709879628,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,7.694407673,0.0,0.85494057,0.0,45.192552293,11.653194486,7.694407673,0.0,0.85494057,0.0,0.0,0.85494057,0.0,3.261766939,0.85494057,3.261766939,6.839529524,16.151753468,0.0,8.075474004,21.281403364,2.406826369,17.70336973,0.0,0.85494057,24.79288964,0.0,0.0,0.0,1.709879628,0.0,0.0,0.0,1.709879628,5.129569872,0.0,9.403991771,12.508072635,27.3595934,2.56475757,0.0,0.85494057,0.0,5.984575239,2.406826369,0.85494057,28.88133525,1.709879628,1.709879628,0.0,0.0,14.44187384,11.653194486,0.0,1.709879628,0.85494057,0.0,30.144644354,0.0,0.0,0.0,26.472615,1.709879628,0.0,5.984575239,0.85494057,0.0,0.0,6.839529524,0.85494057,0.0,0.0,0.0,1.709879628,3.419773361,0.0,0.0,0.85494057,0.011601815,0.0,0.000155517,0.023806136,0.0,0.0,0.0,0.0,0.0,0.0,0.07633881,0.0,0.344528462,0.0,0.07065118,0.019910117,0.411147379,0.0,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,23.12681533,0.0,4.813664962,37.01018646,0.0,4.625873984,0.0,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,4.625873984,4.813664962,32.38105052,9.439538945999999,18.5029362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,0.0,7.220533434,0.0,0.0,19.25349607,0.0,9.439538945999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.79442033,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.032700353,0.0,2.406826369,0.0,69.94858097,0.0,7.220533434,23.693670888,2.406826369,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,28.88133525,0.0,0.0,0.0,0.0,14.44187384,4.813664962,0.0,0.0,13.87647374,0.0,9.626738654,0.0,0.0,0.0,35.724412048000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12681533,0.0,0.014893334,0.035283383,0.063155785,0.0,0.030051645,0.0,0.452947761,0.0,0.157891858,0.0,0.0,0.899503071,0.013323,0.00895826,0.010417362,0.30520882,0.00943649,0.021645908,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,1.932715942,0.0,7.730718787,4.813664962,1.932715942,3.865416235,3.865416235,0.0,0.0,4.813664962,0.0,1.932715942,0.0,0.0,0.0,4.339542311,0.0,0.0,8.679081197,0.0,4.813664962,0.0,0.0,5.79813837,1.932715942,1.932715942,0.0,0.0,0.0,0.0,0.0,39.129285789,3.865416235,1.932715942,1.932715942,0.0,6.2722426040000006,0.0,2.406826369,2.406826369,17.3950088,9.153249376,0.0,0.0,19.25349607,0.0,6.746380904,0.0,17.3950088,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,1.932715942,0.0,0.0,0.0,42.850662532,4.813664962,21.25871045,0.0,3.865416235,1.932715942,0.0,0.0,0.0,2.406826369,0.0,2.406826369,9.663505567,16.374589782,0.0,7.220533434,16.374589782,12.070331935999999,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932715942,0.0,0.0,0.0,11.59505302,0.0,19.32825032,12.544383749,59.91159895,5.79813837,0.0,1.932715942,0.0,0.0,2.406826369,3.865416235,28.88133525,3.865416235,1.932715942,0.0,0.0,14.44187384,10.611803332000001,0.0,0.0,1.932715942,0.0,9.626738654,0.0,0.0,0.0,26.472615,0.0,5.79813837,7.730718787,0.0,3.865416235,0.0,1.932715942,3.865416235,0.0,3.865416235,0.0,3.865416235,7.730718787,0.0,0.0,0.0,0.0,0.0,0.000155517,0.003309212,0.018385249,0.0,0.0,0.0,0.183308543,0.0,0.017878169,0.146909104,0.151001793,0.0,0.006120041,0.002926485,0.30520882,0.0,0.001931591,0.0,1.0,1.0,"[[0], [4]]"
5x5,1.291870106,0.0,5.524975737,2.941224158,0.0,0.824693815,0.0,4.7003155,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,0.0,2.941224158,0.0,0.824693815,0.0,0.0,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,3.765951586,0.0,0.0,0.0,0.824693815,2.116563921,0.0,0.0,0.0,4.7003155,0.824693815,0.0,0.0,0.0,3.4083802270000003,0.0,0.0,23.25492857,0.0,0.0,0.0,3.4083802270000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882414746,0.0,0.824693815,0.0,33.945962572,0.824693815,0.0,0.0,0.0,2.116563921,2.116563921,0.0,2.116563921,0.0,5.772827274,0.0,27.682372616000002,15.777529502,1.291870106,0.0,47.79777273,0.0,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,5.057767892,1.291870106,1.649354052,0.0,1.649354052,1.291870106,1.649354052,2.116563921,0.0,2.47408148,37.46803478,0.0,0.0,0.0,50.30976198,6.459333079,4.948123813,0.0,0.824693815,13.660903246,1.649354052,2.47408148,0.0,0.824693815,0.0,37.46803478,4.12342048,2.47408148,0.0,0.0,0.0,4.948123813,1.291870106,0.0,0.0,1.291870106,0.0,1.649354052,0.0,0.0,0.0,0.824693815,0.025115972,0.0,0.034841307,0.048898215,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42301671,0.0,0.0,0.000979608,0.48416173800000006,0.028037602,0.003393076,0.0,1.0,1.0,"[[1], [0]]"
6x6,1.291870106,0.0,15.147188035000001,1.291870106,0.0,22.54507076,0.0,3.875621685,0.0,0.0,6.92792546,0.0,6.92792546,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,11.27156635,23.836940866000003,0.0,0.0,5.636055354,3.875621685,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,23.25492857,0.0,0.0,0.0,8.219741766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,32.29660852,0.0,0.0,0.0,0.0,1.291870106,6.92792546,0.0,1.291870106,0.0,0.0,0.0,12.563436456,19.493868451999997,1.291870106,0.0,47.79777273,0.0,1.291870106,5.636055354,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,2.583686412,1.291870106,0.0,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,6.459333079,0.0,5.636055354,5.636055354,1.291870106,0.0,0.0,0.0,0.0,0.0,37.46803478,0.0,5.636055354,11.27156635,0.0,0.0,0.0,1.291870106,0.0,0.0,1.291870106,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612946,0.024862294,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.878576334,0.0,0.0,0.022361296,0.205311709,0.490390247,0.0,0.0,1.0,1.0,"[[1], [1]]"
7x7,1.291870106,0.0,4.730562255,4.711643467,0.0,0.85494057,9.403991771,34.651678255,0.0,0.0,3.8566276759999996,1.709879628,2.146810676,0.0,14.53459731,0.0,7.276445345,0.0,1.709879628,1.709879628,8.549266197,0.0,2.56475757,0.85494057,0.0,0.85494057,0.85494057,0.85494057,1.291870106,0.0,0.0,0.85494057,15.38702061,2.146810676,0.0,0.0,0.85494057,6.440379255,0.0,0.0,0.0,0.0,4.29356604,0.0,0.0,23.25492857,0.85494057,7.694407673,0.0,4.29356604,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,10.278094085,0.0,0.85494057,0.0,36.571214223,6.839529524,7.694407673,0.0,0.85494057,1.291870106,1.291870106,0.85494057,1.291870106,0.85494057,0.85494057,0.85494057,8.131399629999999,4.29356604,1.291870106,0.85494057,54.637302254,0.0,2.146810676,0.0,0.85494057,26.084759746,1.291870106,0.0,0.0,1.709879628,0.0,0.0,0.0,1.709879628,5.129569872,0.0,11.987678183,8.986277779,27.3595934,2.56475757,0.0,2.146810676,0.0,7.276445345,0.0,0.85494057,37.46803478,1.709879628,1.709879628,0.0,0.0,6.459333079,6.839529524,0.0,1.709879628,2.146810676,0.0,20.5179057,0.0,0.0,0.0,37.46803478,1.709879628,0.0,5.984575239,0.85494057,0.0,0.0,8.131399629999999,0.85494057,0.0,1.291870106,0.0,1.709879628,3.419773361,0.0,0.0,0.85494057,0.011601815,0.0,0.003280104,0.041885274,0.0,0.0,0.0,0.0,0.0,0.0,0.07633881,0.0,0.7675451719999999,0.0,0.07065118,0.019910117,0.303362673,0.0,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,1.291870106,0.0,27.002437014999998,1.291870106,0.0,37.01018646,0.0,8.501495669,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,0.0,1.291870106,0.0,4.625873984,0.0,32.38105052,4.625873984,18.5029362,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,23.25492857,0.0,4.625873984,0.0,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,46.17308226,0.0,0.0,0.0,0.0,1.291870106,1.291870106,0.0,1.291870106,4.625873984,0.0,0.0,1.291870106,58.090393542,1.291870106,0.0,57.049569778,0.0,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,1.291870106,0.0,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,6.459333079,0.0,0.0,0.0,15.168343845999999,0.0,0.0,0.0,0.0,0.0,46.719831828000004,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,23.12681533,0.0,0.014893334,0.03840797,0.081234923,0.0,0.030051645,0.0,0.452947761,0.0,0.157891858,0.0,0.0,1.322519781,0.013323,0.00895826,0.010417362,0.197424114,0.00943649,0.021645908,0.0,1.0,1.0,"[[1], [3]]"
9x9,1.291870106,1.932715942,3.875621685,9.022588893,0.0,1.932715942,3.865416235,7.74103792,0.0,0.0,1.291870106,0.0,3.224586048,0.0,0.0,0.0,3.224586048,0.0,0.0,3.865416235,0.0,0.0,0.0,0.0,5.79813837,1.932715942,1.932715942,0.0,1.291870106,0.0,0.0,0.0,36.72245942,5.157286341,1.932715942,1.932715942,0.0,7.74103792,0.0,0.0,0.0,17.3950088,4.516402354,0.0,0.0,23.25492857,0.0,1.932715942,0.0,19.978695211999998,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,4.516402354,0.0,0.0,0.0,34.229324462,0.0,21.25871045,0.0,3.865416235,3.224586048,1.291870106,0.0,1.291870106,0.0,0.0,0.0,10.955375672999999,4.516402354,1.291870106,0.0,49.730488672,9.663505567,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,1.932715942,0.0,0.0,0.0,11.59505302,0.0,21.911936731999997,9.022588893,59.91159895,5.79813837,0.0,3.224586048,0.0,1.291870106,0.0,3.865416235,37.46803478,3.865416235,1.932715942,0.0,0.0,6.459333079,5.79813837,0.0,0.0,3.224586048,0.0,0.0,0.0,0.0,0.0,37.46803478,0.0,5.79813837,7.730718787,0.0,3.865416235,0.0,3.224586048,3.865416235,0.0,5.157286341,0.0,3.865416235,7.730718787,0.0,0.0,0.0,0.0,0.0,0.003280104,0.02138835,0.018385249,0.0,0.0,0.0,0.183308543,0.0,0.017878169,0.146909104,0.574018503,0.0,0.006120041,0.002926485,0.197424114,0.0,0.001931591,0.0,1.0,1.0,"[[1], [4]]"
