coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial1,ODMature2
0x0,0.0,0.0,0.0,0.0,4.813664962,2.463139613,0.0,2.463139613,0.0,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,4.813664962,0.0,4.813664962,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,29.499948029000002,0.0,7.220533434,2.463139613,0.0,19.25349607,0.0,9.739915394,0.0,4.926250432,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,0.0,0.0,0.0,0.0,40.91794659,4.813664962,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,9.79620895,0.0,2.406826369,0.0,14.44187384,0.0,7.220533434,46.46361737,2.406826369,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,9.739915394,0.0,0.0,4.926250432,2.463139613,0.0,0.0,2.406826369,0.0,28.88133525,0.0,0.0,0.0,0.0,14.44187384,7.276804575,0.0,0.0,29.55624616,0.0,9.626738654,0.0,0.0,0.0,26.472615,2.463139613,0.0,9.851755496,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,32.02174353,0.005950012,0.020191263,0.003658343,0.01225725,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.023007694,0.0,0.0,0.0,0.0,0.006769616,0.44049669599999997,0.002089427,0.0,0.0,1.0,1.0
1x1,0.0,0.0,3.332614013,0.833158429,4.813664962,3.332614013,0.0,0.0,0.0,0.0,5.646823391,0.0,0.833158429,0.0,0.0,0.0,3.239984798,0.0,1.666306062,4.813664962,0.0,4.813664962,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,4.073132431,5.832033701,0.0,0.0,0.0,2.406826369,0.0,2.406826369,20.735408629000002,0.833158429,7.220533434,0.0,0.0,19.25349607,1.666306062,4.813664962,0.0,0.0,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,0.0,0.0,0.833158429,0.0,40.91794659,4.813664962,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,6.572536114,0.833158429,2.406826369,0.0,24.43952652,0.0,7.220533434,31.93881862,2.406826369,16.84842916,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,2.49945167,0.0,0.0,0.0,0.0,0.0,4.813664962,0.0,0.833158429,0.833158429,0.0,0.0,0.0,3.239984798,0.0,28.88133525,0.0,0.0,0.0,0.0,14.44187384,11.478803348,0.0,0.0,49.15335611,0.0,9.626738654,0.0,0.833158429,0.0,27.305773429000002,0.0,0.0,2.49945167,0.0,0.0,0.0,0.0,1.666306062,1.666306062,0.0,0.0,0.0,0.0,0.833158429,0.0,29.9955966,0.025262328,0.0,0.074800462,0.026974554999999997,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.017918014,0.0,0.0,0.0,0.0,0.025996785,0.6131854969999999,0.003530092,0.016707202,0.0,1.0,1.0
2x2,0.0,0.0,0.0,0.0,4.813664962,0.0,9.869260563,0.0,0.0,0.0,9.748655077999999,0.0,0.0,2.467448345,2.467448345,0.0,2.406826369,0.0,2.467448345,4.813664962,0.0,4.813664962,0.0,0.0,2.467448345,19.73958204,0.0,0.0,0.0,0.0,0.0,2.467448345,2.406826369,0.0,2.467448345,0.0,0.0,2.406826369,0.0,2.406826369,36.953584569,0.0,7.220533434,0.0,0.0,21.720944415,4.934990116,9.748655077999999,2.467448345,4.934990116,0.0,2.467448345,0.0,0.0,0.0,4.934990116,4.934990116,0.0,0.0,0.0,2.467448345,45.852936706,4.813664962,7.402528612,0.0,0.0,0.0,0.0,0.0,0.0,7.341816485,0.0,2.406826369,0.0,14.44187384,0.0,7.220533434,66.26206882,4.874274714,16.84842916,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,2.467448345,0.0,4.934990116,4.813664962,0.0,0.0,4.934990116,0.0,0.0,7.402528612,2.406826369,0.0,28.88133525,2.467448345,0.0,0.0,0.0,14.44187384,9.748655077999999,0.0,0.0,106.1025966,0.0,21.965023874,0.0,0.0,0.0,26.472615,0.0,0.0,4.934990116,0.0,0.0,0.0,2.467448345,0.0,2.467448345,0.0,0.0,2.467448345,0.0,0.0,0.0,44.41507126,0.0,0.088516458,0.000155517,0.069814468,0.0,0.065165276,2.243620227,0.132017133,0.0,0.0,0.0,0.0,0.575796023,0.0,0.007229182,0.0,0.30520882,0.0,0.0,0.0,1.0,1.0
3x3,0.0,0.0,0.0,0.0,4.813664962,1.634632228,0.0,3.269332702,0.0,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,1.634632228,4.813664962,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,1.634632228,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,0.0,0.0,4.041458597,0.0,2.406826369,61.247985879,0.0,10.489866136,0.0,0.0,19.25349607,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,1.634632228,0.0,39.2346289,1.634632228,1.634632228,0.0,0.0,0.0,40.91794659,9.717578654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041458597,1.634632228,2.406826369,0.0,16.076506068,0.0,7.220533434,48.7683241,2.406826369,16.84842916,0.0,0.0,1.634632228,0.0,0.0,1.634632228,1.634632228,0.0,3.269332702,0.0,0.0,0.0,0.0,1.634632228,6.44829719,0.0,0.0,11.44228085,0.0,0.0,0.0,2.406826369,0.0,28.88133525,0.0,0.0,0.0,1.634632228,14.44187384,12.987057969999999,0.0,0.0,91.53371535,0.0,9.626738654,1.634632228,0.0,0.0,26.472615,0.0,0.0,11.44228085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.538587847,0.0,0.0,0.0,0.0,47.40608956,0.0,0.035149317,0.000155517,0.014882843,0.0,0.023750201,1.563716509,0.0,0.0,0.0,0.0,0.0,0.595217848,0.0,0.0,0.0,0.356775944,0.0,0.0,0.0,1.0,1.0
4x4,0.0,0.0,1.550997306,0.0,4.813664962,3.10204103,0.0,0.0,1.550997306,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,4.813664962,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,1.550997306,1.550997306,0.0,0.0,2.406826369,0.0,2.406826369,30.326940329,0.0,13.424637869,0.0,0.0,20.804493376,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,1.550997306,0.0,26.36528654,1.550997306,1.550997306,0.0,0.0,0.0,44.01998762,6.364662268,1.550997306,0.0,1.550997306,0.0,0.0,0.0,0.0,10.161903974000001,0.0,3.957823675,0.0,14.44187384,0.0,7.220533434,62.52135918,2.406826369,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,4.653013206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.364662268,0.0,0.0,7.755077605,0.0,0.0,0.0,2.406826369,0.0,28.88133525,0.0,0.0,0.0,0.0,14.44187384,9.466678168,0.0,0.0,76.00164444,0.0,9.626738654,0.0,0.0,0.0,26.472615,0.0,0.0,13.95891175,0.0,0.0,1.550997306,0.0,0.0,0.0,0.0,3.10204103,0.0,0.0,0.0,0.0,43.43242331,0.0,0.047159893,0.015224366000000001,0.010730677000000001,0.0,0.055013459,0.988932297,0.0,0.0,0.013382966,0.0,0.0,0.393862711,0.0,0.0,0.0,0.307358541,0.0,0.004902438,0.0,1.0,1.0
5x5,1.291870106,0.0,3.875621685,1.291870106,0.0,2.463139613,0.0,6.338761298,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,27.09312166,0.0,2.583686412,2.463139613,0.0,23.25492857,0.0,4.926250432,0.0,7.509936844,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,2.583686412,0.0,0.0,0.0,32.29660852,0.0,0.0,0.0,2.463139613,1.291870106,1.291870106,0.0,1.291870106,7.389382581,0.0,0.0,1.291870106,2.583686412,1.291870106,0.0,79.81951626,0.0,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,5.046826025,6.218120538,0.0,0.0,4.926250432,3.7550097190000002,0.0,1.291870106,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,6.459333079,2.463139613,0.0,0.0,30.848116266,0.0,0.0,0.0,0.0,0.0,37.46803478,2.463139613,0.0,9.851755496,0.0,0.0,0.0,1.291870106,2.463139613,0.0,1.291870106,0.0,2.463139613,0.0,0.0,0.0,32.02174353,0.005950012,0.020191263,0.0067829299999999995,0.030336388,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.023007694,0.0,0.42301671,0.0,0.0,0.006769616,0.33271199,0.002089427,0.0,0.0,1.0,1.0
6x6,1.291870106,0.0,7.208235698,2.125028535,0.0,3.332614013,0.0,3.875621685,0.0,0.0,2.125028535,0.0,2.125028535,0.0,0.0,0.0,2.125028535,0.0,1.666306062,0.0,0.0,0.0,0.833158429,0.0,0.0,0.833158429,0.0,0.0,1.291870106,0.0,0.0,0.0,1.666306062,7.1239038070000005,0.0,0.0,0.0,3.875621685,0.0,0.0,18.32858226,0.833158429,2.583686412,0.0,0.0,23.25492857,1.666306062,0.0,0.0,2.583686412,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,2.583686412,0.0,0.833158429,0.0,32.29660852,0.0,1.666306062,0.0,0.0,1.291870106,1.291870106,0.0,1.291870106,4.165709745,0.833158429,0.0,1.291870106,12.581339092,1.291870106,0.0,65.29471751,0.0,1.291870106,0.0,0.833158429,1.291870106,1.291870106,0.0,0.0,0.833158429,0.0,2.49945167,0.0,0.0,0.0,0.0,2.583686412,1.291870106,0.0,0.833158429,0.833158429,1.291870106,0.0,1.291870106,0.833158429,0.0,37.46803478,0.0,0.0,0.0,0.0,6.459333079,6.665138386,0.0,0.0,50.445226215999995,0.0,0.0,0.0,0.833158429,0.0,38.301193209000004,0.0,0.0,2.49945167,0.0,0.0,0.0,1.291870106,1.666306062,1.666306062,1.291870106,0.0,0.0,0.0,0.833158429,0.0,29.9955966,0.025262328,0.0,0.07792504900000001,0.045053693,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.017918014,0.0,0.42301671,0.0,0.0,0.025996785,0.505400791,0.003530092,0.016707202,0.0,1.0,1.0
7x7,1.291870106,0.0,3.875621685,1.291870106,0.0,0.0,9.869260563,3.875621685,0.0,0.0,6.226860222,0.0,1.291870106,2.467448345,2.467448345,0.0,1.291870106,0.0,2.467448345,0.0,0.0,0.0,0.0,0.0,2.467448345,19.73958204,0.0,0.0,1.291870106,0.0,0.0,2.467448345,0.0,1.291870106,2.467448345,0.0,0.0,3.875621685,0.0,0.0,34.5467582,0.0,2.583686412,0.0,0.0,25.722376915,4.934990116,4.934990116,2.467448345,7.518676528,0.0,2.467448345,0.0,0.0,0.0,4.934990116,4.934990116,2.583686412,0.0,0.0,2.467448345,37.231598636,0.0,7.402528612,0.0,0.0,1.291870106,1.291870106,0.0,1.291870106,4.934990116,0.0,0.0,1.291870106,2.583686412,1.291870106,0.0,99.61796770999999,2.467448345,1.291870106,0.0,0.0,1.291870106,3.7593184510000004,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,2.467448345,0.0,7.518676528,1.291870106,0.0,0.0,4.934990116,1.291870106,0.0,8.694398718,0.0,0.0,37.46803478,2.467448345,0.0,0.0,0.0,6.459333079,4.934990116,0.0,0.0,107.394466706,0.0,12.33828522,0.0,0.0,0.0,37.46803478,0.0,0.0,4.934990116,0.0,0.0,0.0,3.7593184510000004,0.0,2.467448345,1.291870106,0.0,2.467448345,0.0,0.0,0.0,44.41507126,0.0,0.088516458,0.003280104,0.087893606,0.0,0.065165276,2.243620227,0.132017133,0.0,0.0,0.0,0.0,0.9988127330000001,0.0,0.007229182,0.0,0.197424114,0.0,0.0,0.0,1.0,1.0
8x8,1.291870106,0.0,3.875621685,1.291870106,0.0,1.634632228,0.0,7.144954387,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,0.0,1.291870106,0.0,1.634632228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634632228,1.291870106,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,5.510253913,0.0,0.0,58.84115951,0.0,5.853019114,0.0,0.0,23.25492857,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,1.634632228,0.0,39.2346289,1.634632228,4.21831864,0.0,0.0,0.0,32.29660852,4.903913692,0.0,0.0,0.0,1.291870106,1.291870106,0.0,1.291870106,1.634632228,1.634632228,0.0,1.291870106,4.21831864,1.291870106,0.0,82.12422298999999,0.0,1.291870106,0.0,0.0,2.9265023340000003,1.291870106,0.0,1.634632228,1.634632228,0.0,3.269332702,0.0,0.0,0.0,0.0,4.21831864,2.9265023340000003,0.0,0.0,11.44228085,1.291870106,0.0,1.291870106,0.0,0.0,37.46803478,0.0,0.0,0.0,1.634632228,6.459333079,8.173393008,0.0,0.0,92.825585456,0.0,0.0,1.634632228,0.0,0.0,37.46803478,0.0,0.0,11.44228085,0.0,0.0,0.0,1.291870106,0.0,0.0,1.291870106,6.538587847,0.0,0.0,0.0,0.0,47.40608956,0.0,0.035149317,0.003280104,0.032961981,0.0,0.023750201,1.563716509,0.0,0.0,0.0,0.0,0.0,1.018234558,0.0,0.0,0.0,0.248991238,0.0,0.0,0.0,1.0,1.0
9x9,1.291870106,0.0,5.426618991,1.291870106,0.0,3.10204103,0.0,3.875621685,1.550997306,0.0,1.291870106,0.0,1.291870106,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,2.842867412,1.550997306,0.0,0.0,3.875621685,0.0,0.0,27.92011396,0.0,8.787790847,0.0,0.0,24.805925876,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,1.550997306,0.0,26.36528654,1.550997306,4.134683718,0.0,0.0,0.0,35.39864955,1.550997306,1.550997306,0.0,1.550997306,1.291870106,1.291870106,0.0,1.291870106,7.755077605,0.0,1.550997306,1.291870106,2.583686412,1.291870106,0.0,95.87725807,0.0,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,4.653013206,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,2.842867412,0.0,0.0,7.755077605,1.291870106,0.0,1.291870106,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,6.459333079,4.653013206,0.0,0.0,77.29351454600001,0.0,0.0,0.0,0.0,0.0,37.46803478,0.0,0.0,13.95891175,0.0,0.0,1.550997306,1.291870106,0.0,0.0,1.291870106,3.10204103,0.0,0.0,0.0,0.0,43.43242331,0.0,0.047159893,0.018348953,0.028809815000000003,0.0,0.055013459,0.988932297,0.0,0.0,0.013382966,0.0,0.0,0.816879421,0.0,0.0,0.0,0.199573835,0.0,0.004902438,0.0,1.0,1.0
