coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial1,ODMature3,Endothelial1cells,ODMature3cells
0x0,0.0,0.0,0.0,0.0,6.595427153,0.0,0.0,0.0,0.0,0.0,6.595427153,1.781762191,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,4.813664962,0.0,6.595427153,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,5.97024173,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,36.256603089,0.0,7.220533434,0.0,0.0,19.25349607,0.0,6.595427153,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,0.0,0.0,0.0,0.0,42.699708781,4.813664962,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,9.533821507999999,1.781762191,2.406826369,0.0,16.223636030999998,0.0,7.220533434,48.29165056,2.406826369,18.630191350999997,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,3.563415361,7.126995139,0.0,0.0,1.781762191,0.0,3.563415361,8.377080323,7.126995139,0.0,0.0,1.781762191,0.0,0.0,2.406826369,1.781762191,28.88133525,0.0,0.0,0.0,0.0,14.44187384,8.377080323,0.0,1.781762191,99.78595144,0.0,9.626738654,0.0,0.0,1.781762191,26.472615,0.0,0.0,5.345122338,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,58.79983697,0.0,0.090031378,0.021151892000000002,0.035725862,0.0,0.062355816,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,0.774066928,0.0,0.109059893,0.004172908,0.318277526,0.0,0.007626545,0.0,1.0,1.0,[0],[0]
1x1,0.0,0.0,0.0,1.307597182,4.813664962,1.961419965,0.653826704,0.653826704,0.653826704,0.0,5.467491666,0.653826704,0.653826704,0.0,0.0,1.307597182,6.983432861,0.653826704,0.653826704,6.121262144,0.653826704,6.775084927,0.0,1.961419965,0.653826704,0.0,0.0,3.269037797,0.0,0.0,0.0,0.0,9.598827432,0.0,0.0,0.0,0.0,3.060653073,0.0,2.406826369,25.290437969,0.0,7.874360138,0.653826704,0.0,19.25349607,0.0,5.467491666,2.615263862,0.0,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,4.576606492,0.0,0.0,0.653826704,44.840835097,6.775084927,0.0,0.0,0.653826704,0.0,0.653826704,0.0,0.0,5.675864166,2.615263862,3.060653073,0.0,15.749471022,0.653826704,7.220533434,37.97766125,3.060653073,17.502255864,0.0,4.576606492,0.0,0.0,0.653826704,0.0,1.307597182,0.0,9.806871811,1.307597182,0.0,2.615263862,0.0,2.615263862,6.121262144,0.0,0.653826704,11.76732754,0.0,0.0,0.0,2.406826369,1.307597182,29.535161954,0.0,0.0,0.0,0.653826704,21.633874903,12.005666025,1.307597182,0.653826704,33.9945167,0.0,11.588158619,0.0,0.0,0.0,26.472615,0.653826704,0.0,7.192001063,0.0,0.0,0.0,1.961419965,0.653826704,2.615263862,1.307597182,0.0,1.307597182,0.0,2.615263862,0.0,38.57309339,0.014628133,0.036952827,0.000155517,0.018950388999999998,0.0,0.033577389,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,0.716405905,0.0,0.083639931,0.0,0.30520882,0.0,0.0,0.014299006,1.0,1.0,[0],[1]
2x2,0.0,0.0,8.205343522,5.470234187,4.813664962,2.735080789,0.0,2.735080789,0.0,8.205343522,4.813664962,2.735080789,0.0,0.0,0.0,0.0,2.406826369,5.470234187,0.0,4.813664962,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,5.470234187,0.0,0.0,0.0,2.406826369,0.0,2.406826369,24.289143489,2.735080789,9.955614223,0.0,0.0,19.25349607,0.0,4.813664962,5.470234187,10.93988104,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,2.735080789,0.0,0.0,0.0,49.123290112,4.813664962,8.205343522,0.0,2.735080789,0.0,2.735080789,0.0,2.735080789,10.612169891,0.0,2.406826369,0.0,28.11761353,0.0,7.220533434,52.7334997,2.406826369,16.84842916,0.0,0.0,2.735080789,0.0,0.0,2.735080789,0.0,2.735080789,2.735080789,0.0,0.0,0.0,0.0,13.67573969,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,28.88133525,2.735080789,0.0,0.0,0.0,14.44187384,7.548745751,0.0,0.0,76.58897239,0.0,9.626738654,0.0,0.0,0.0,26.472615,0.0,2.735080789,8.205343522,0.0,0.0,0.0,10.93988104,0.0,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,27.35306412,0.0,0.01019799,0.000155517,0.036134826,0.0,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.412514876,0.0,0.0,0.0,0.30520882,0.0,0.0,0.0,1.0,1.0,[0],[2]
3x3,0.0,2.084324048,0.0,0.0,4.813664962,0.0,0.0,4.16856521,0.0,0.0,6.89798901,0.0,0.0,0.0,2.084324048,0.0,4.491150417,0.0,0.0,6.89798901,2.084324048,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,2.084324048,0.0,0.0,0.0,2.406826369,0.0,2.406826369,12.827717718999999,0.0,7.220533434,2.084324048,0.0,19.25349607,2.084324048,6.89798901,0.0,12.50516828,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,2.084324048,0.0,0.0,0.0,43.002270638,6.89798901,0.0,2.084324048,0.0,0.0,0.0,0.0,0.0,14.911994649,0.0,2.406826369,0.0,14.44187384,0.0,7.220533434,37.369521230000004,4.491150417,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,6.252871783,0.0,4.16856521,0.0,0.0,0.0,0.0,4.16856521,4.813664962,0.0,2.084324048,0.0,0.0,0.0,2.084324048,2.406826369,0.0,28.88133525,0.0,0.0,0.0,0.0,14.44187384,6.89798901,0.0,0.0,83.37232172,0.0,9.626738654,0.0,0.0,0.0,28.556939048,0.0,0.0,2.084324048,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,4.16856521,0.0,2.084324048,0.0,0.0,25.01357257,0.0,0.0,0.000155517,0.024586562,0.0,0.0,0.867583378,0.0,0.0,0.0,0.0,0.0,0.819952277,0.093054962,0.019073715,0.004065165,0.30520882,0.0,0.0,0.0,1.0,1.0,[0],[3]
4x4,0.0,0.0,1.24099042,1.24099042,4.813664962,0.0,1.24099042,3.722913592,2.481929712,0.0,6.054655382,0.0,0.0,0.0,1.24099042,2.481929712,7.370721524,0.0,0.0,4.813664962,3.722913592,4.813664962,0.0,0.0,0.0,2.481929712,0.0,2.481929712,0.0,0.0,0.0,1.24099042,7.370721524,1.24099042,0.0,0.0,0.0,8.611594357000001,1.24099042,2.406826369,33.432627319,1.24099042,9.702463146,1.24099042,0.0,19.25349607,0.0,4.813664962,2.481929712,4.963895155,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,6.204767988,0.0,0.0,0.0,43.399876302,7.295594674,13.65210425,0.0,1.24099042,0.0,0.0,0.0,0.0,6.129739961,1.24099042,2.406826369,0.0,20.646641828,0.0,7.220533434,55.39844607,3.647816789,24.294213739999996,0.0,0.0,0.0,0.0,0.0,1.24099042,2.481929712,1.24099042,7.44578458,1.24099042,0.0,1.24099042,0.0,11.16746204,4.813664962,0.0,0.0,3.722913592,1.24099042,2.481929712,1.24099042,2.406826369,0.0,28.88133525,0.0,0.0,0.0,0.0,14.44187384,12.259449541999999,0.0,0.0,65.77286335,0.0,10.867729074,1.24099042,0.0,0.0,26.472615,0.0,0.0,17.37384295,0.0,0.0,0.0,3.722913592,1.24099042,0.0,0.0,0.0,1.24099042,1.24099042,0.0,0.0,31.02580095,0.0,0.027519328,0.022303792,0.028019271999999998,0.0,0.024115643,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.213835962,0.0,0.011446929,0.018213381,0.30520882,0.041091738,0.0206022,0.013707828,1.0,1.0,[0],[4]
5x5,1.291870106,0.0,3.875621685,1.291870106,1.781762191,0.0,0.0,3.875621685,0.0,0.0,3.073632297,1.781762191,1.291870106,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,1.781762191,0.0,1.291870106,0.0,0.0,0.0,3.563415361,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,33.84977672,0.0,2.583686412,0.0,0.0,23.25492857,0.0,1.781762191,0.0,2.583686412,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,2.583686412,0.0,0.0,0.0,34.078370711,0.0,0.0,0.0,1.781762191,1.291870106,1.291870106,0.0,1.291870106,7.126995139,1.781762191,0.0,1.291870106,4.365448603,1.291870106,0.0,81.64754945,0.0,3.073632297,0.0,0.0,3.073632297,1.291870106,0.0,0.0,1.781762191,3.563415361,7.126995139,0.0,0.0,1.781762191,0.0,6.147101773,4.855285467,7.126995139,0.0,0.0,3.073632297,0.0,1.291870106,0.0,1.781762191,37.46803478,0.0,0.0,0.0,0.0,6.459333079,3.563415361,0.0,1.781762191,101.07782154600001,0.0,0.0,0.0,0.0,1.781762191,37.46803478,0.0,0.0,5.345122338,0.0,0.0,0.0,3.073632297,0.0,0.0,1.291870106,1.781762191,0.0,0.0,0.0,0.0,58.79983697,0.0,0.090031378,0.024276479,0.053805,0.0,0.062355816,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,1.197083638,0.0,0.109059893,0.004172908,0.21049282000000002,0.0,0.007626545,0.0,1.0,1.0,[1],[0]
6x6,1.291870106,0.0,3.875621685,2.599467288,0.0,1.961419965,0.653826704,4.529448389,0.653826704,0.0,1.9456968099999998,0.653826704,1.9456968099999998,0.0,0.0,1.307597182,5.868476598,0.653826704,0.653826704,1.307597182,0.653826704,1.961419965,0.0,1.961419965,0.653826704,0.0,0.0,3.269037797,1.291870106,0.0,0.0,0.0,7.192001063,1.291870106,0.0,0.0,0.0,4.529448389,0.0,0.0,22.8836116,0.0,3.237513116,0.653826704,0.0,23.25492857,0.0,0.653826704,2.615263862,2.583686412,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,7.160292904,0.0,0.0,0.653826704,36.219497027,1.961419965,0.0,0.0,0.653826704,1.291870106,1.9456968099999998,0.0,1.291870106,3.269037797,2.615263862,0.653826704,1.291870106,3.891283594,1.9456968099999998,0.0,71.33356014,0.653826704,1.9456968099999998,0.0,4.576606492,1.291870106,1.291870106,0.653826704,0.0,1.307597182,0.0,9.806871811,1.307597182,0.0,2.615263862,0.0,5.1989502739999995,2.599467288,0.0,0.653826704,11.76732754,1.291870106,0.0,1.291870106,0.0,1.307597182,38.121861484,0.0,0.0,0.0,0.653826704,13.651334142,7.192001063,1.307597182,0.653826704,35.286386805999996,0.0,1.961419965,0.0,0.0,0.0,37.46803478,0.653826704,0.0,7.192001063,0.0,0.0,0.0,3.253290071,0.653826704,2.615263862,2.599467288,0.0,1.307597182,0.0,2.615263862,0.0,38.57309339,0.014628133,0.036952827,0.003280104,0.037029527,0.0,0.033577389,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,1.139422615,0.0,0.083639931,0.0,0.197424114,0.0,0.0,0.014299006,1.0,1.0,[1],[1]
7x7,1.291870106,0.0,12.080965207,6.762104293,0.0,2.735080789,0.0,6.610702474,0.0,8.205343522,1.291870106,2.735080789,1.291870106,0.0,0.0,0.0,1.291870106,5.470234187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,6.762104293,0.0,0.0,0.0,3.875621685,0.0,0.0,21.88231712,2.735080789,5.318767201,0.0,0.0,23.25492857,0.0,0.0,5.470234187,13.523567452,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,5.318767201,0.0,0.0,0.0,40.501952042,0.0,8.205343522,0.0,2.735080789,1.291870106,4.026950895,0.0,4.026950895,8.205343522,0.0,0.0,1.291870106,16.259426102,1.291870106,0.0,86.08939859,0.0,1.291870106,0.0,0.0,4.026950895,1.291870106,0.0,2.735080789,0.0,2.735080789,2.735080789,0.0,0.0,0.0,0.0,16.259426102,1.291870106,0.0,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,37.46803478,2.735080789,0.0,0.0,0.0,6.459333079,2.735080789,0.0,0.0,77.880842496,0.0,0.0,0.0,0.0,0.0,37.46803478,0.0,2.735080789,8.205343522,0.0,0.0,0.0,12.231751145999999,0.0,0.0,1.291870106,0.0,0.0,2.735080789,0.0,0.0,27.35306412,0.0,0.01019799,0.003280104,0.054213964,0.0,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.8355315859999999,0.0,0.0,0.0,0.197424114,0.0,0.0,0.0,1.0,1.0,[1],[2]
8x8,1.291870106,2.084324048,3.875621685,1.291870106,0.0,0.0,0.0,8.044186895,0.0,0.0,3.3761941540000002,0.0,1.291870106,0.0,2.084324048,0.0,3.3761941540000002,0.0,0.0,2.084324048,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,3.3761941540000002,0.0,0.0,0.0,3.875621685,0.0,0.0,10.42089135,0.0,2.583686412,2.084324048,0.0,23.25492857,2.084324048,2.084324048,0.0,15.088854692,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,4.66801046,0.0,0.0,0.0,34.380932568,2.084324048,0.0,2.084324048,0.0,1.291870106,1.291870106,0.0,1.291870106,12.50516828,0.0,0.0,1.291870106,2.583686412,1.291870106,0.0,70.72542012,2.084324048,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,6.252871783,0.0,4.16856521,0.0,0.0,0.0,0.0,6.752251621999999,1.291870106,0.0,2.084324048,0.0,1.291870106,0.0,3.3761941540000002,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,6.459333079,2.084324048,0.0,0.0,84.664191826,0.0,0.0,0.0,0.0,0.0,39.552358828,0.0,0.0,2.084324048,0.0,0.0,0.0,1.291870106,2.084324048,0.0,1.291870106,4.16856521,0.0,2.084324048,0.0,0.0,25.01357257,0.0,0.0,0.003280104,0.0426657,0.0,0.0,0.867583378,0.0,0.0,0.0,0.0,0.0,1.242968987,0.093054962,0.019073715,0.004065165,0.197424114,0.0,0.0,0.0,1.0,1.0,[1],[3]
9x9,1.291870106,0.0,5.116612105,2.532860526,0.0,0.0,1.24099042,7.598535277,2.481929712,0.0,2.532860526,0.0,1.291870106,0.0,1.24099042,2.481929712,6.2557652610000005,0.0,0.0,0.0,3.722913592,0.0,0.0,0.0,0.0,2.481929712,0.0,2.481929712,1.291870106,0.0,0.0,1.24099042,4.963895155,2.532860526,0.0,0.0,0.0,10.080389673,1.24099042,0.0,31.02580095,1.24099042,5.065616124,1.24099042,0.0,23.25492857,0.0,0.0,2.481929712,7.547581567,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,8.7884544,0.0,0.0,0.0,34.778538232,2.481929712,13.65210425,0.0,1.24099042,1.291870106,1.291870106,0.0,1.291870106,3.722913592,1.24099042,0.0,1.291870106,8.7884544,1.291870106,0.0,88.75434496,1.24099042,8.737654685999999,0.0,0.0,1.291870106,1.291870106,0.0,1.24099042,2.481929712,1.24099042,7.44578458,1.24099042,0.0,1.24099042,0.0,13.751148452,1.291870106,0.0,0.0,3.722913592,2.532860526,2.481929712,2.532860526,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,6.459333079,7.44578458,0.0,0.0,67.064733456,0.0,1.24099042,1.24099042,0.0,0.0,37.46803478,0.0,0.0,17.37384295,0.0,0.0,0.0,5.014783698,1.24099042,0.0,1.291870106,0.0,1.24099042,1.24099042,0.0,0.0,31.02580095,0.0,0.027519328,0.025428378999999997,0.04609841,0.0,0.024115643,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.6368526720000001,0.0,0.011446929,0.018213381,0.197424114,0.041091738,0.0206022,0.013707828,1.0,1.0,[1],[4]
