coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial2,ODMature4,permutationTracker
0x0,0.690985953,1.381990362,14.16701094,5.950206198,0.34548853,8.982975379,2.072981884,1.381990362,0.0,0.0,4.491487508,0.0,8.292017092,0.0,0.0,0.0,14.817241468,0.690985953,0.0,1.381990362,0.0,15.929444621,0.0,0.34548853,0.34548853,1.727470111,0.0,8.790948487,0.34548853,3.186185122,1.0364793,0.0,9.48186732,7.255435717,0.0,0.0,0.34548853,2.840696592,0.0,0.0,0.690985953,5.681438881,1.381990362,0.34548853,2.840696592,5.182441277,2.840696592,5.681438881,4.568166703,107.64471508,2.840696592,0.0,0.0,3.186185122,2.840696592,0.0,3.531682545,1.381990362,0.0,0.0,0.0,12.7847851,12.744310902,3.186185122,2.840696592,0.34548853,1.0364793,0.34548853,0.0,1.381990362,1.0364793,35.393795775,0.0,0.0,27.448134431,6.909881914,0.0,6.218882949,1.381990362,8.522259222,0.34548853,5.604699931,2.840696592,1.0364793,0.34548853,0.0,0.690985953,0.0,1.0364793,0.690985953,0.0,12.053306493000001,1.0364793,14.817241468,0.690985953,21.996640222,0.0,2.418456045,8.099894926000001,1.381990362,0.0,0.0,3.531682545,43.614113462,3.109509606,0.34548853,2.840696592,0.690985953,1.0364793,9.558738522,0.34548853,0.34548853,1.381990362,0.34548853,0.0,0.0,0.34548853,0.690985953,14.50957867,2.072981884,4.491487508,2.764003339,0.34548853,3.186185122,0.690985953,20.574327912999998,1.0364793,0.690985953,1.0364793,2.072981884,3.531682545,3.186185122,0.0,0.0,3.109509606,0.0,0.0,0.013269103,0.04147232,0.0,0.0,0.052046655,0.0,0.0,0.0,0.0,0.014365337,0.331925703,0.0,0.0,0.006830122,0.291875643,0.0,0.0,0.223626855,1.0,1.0,"[[0], [0]]"
1x1,0.690985953,1.381990362,14.16701094,3.109509606,0.34548853,10.830582039000001,2.6888652119999996,3.229597022,0.0,0.0,5.107370835999999,0.0,8.90790042,0.0,0.615883328,0.0,4.686693829,0.690985953,0.0,1.381990362,0.0,2.343353439,1.231772901,0.961371858,0.34548853,1.727470111,1.231772901,3.109509606,0.34548853,0.34548853,1.652362628,0.0,6.263966783,7.871319045,0.0,0.0,0.961371858,0.0,0.0,0.615883328,21.016524132999997,0.0,3.8455287059999996,1.5772614310000002,0.0,6.414214178,1.231772901,0.615883328,1.727470111,11.05591008,0.0,1.231772901,0.0,0.34548853,0.0,17.24315718,0.690985953,1.381990362,0.0,0.0,0.0,17.711854331,1.99787369,0.961371858,0.0,1.5772614310000002,1.0364793,0.961371858,0.0,1.381990362,11.5074455,41.711594375,0.0,0.0,24.230233894,6.909881914,1.231772901,26.544421129,2.613763263,0.0,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,5.002153476,3.695263824,7.195275518,0.690985953,0.0,0.690985953,1.0364793,4.686693829,1.922758854,13.474381,0.0,3.6502289460000004,2.418456045,1.381990362,0.0,0.0,0.690985953,42.621023529999995,3.109509606,0.961371858,0.0,0.690985953,2.88408596,78.01949035,0.34548853,0.34548853,23.555936862,0.34548853,0.0,0.0,0.34548853,0.690985953,15.125461998,3.920588544,4.491487508,8.306899079999999,0.34548853,0.961371858,0.690985953,0.690985953,1.652362628,1.922758854,1.0364793,2.072981884,1.922758854,0.34548853,0.0,0.0,13.580475805999999,0.0,0.058490586,0.045557391,0.067093086,0.0,0.036217685,5.365463028,0.0,0.0,0.0,0.019394063,0.0,0.347960776,0.0,0.075905184,0.00685771,0.018783025,0.0,0.013587393,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.690985953,1.381990362,14.16701094,3.109509606,0.34548853,8.982975379,2.072981884,1.381990362,0.0,0.0,4.491487508,0.0,8.292017092,0.0,0.0,0.0,3.454920928,0.690985953,0.0,1.381990362,0.0,1.727470111,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,3.800428439,7.255435717,0.0,0.0,0.34548853,0.0,0.0,0.0,17.646589183,0.0,1.381990362,0.34548853,0.0,5.182441277,0.0,0.0,1.727470111,11.05591008,0.0,0.0,0.0,0.34548853,0.0,16.95560323,0.690985953,1.381990362,0.0,0.0,0.0,12.7847851,4.207770428,0.34548853,0.0,0.34548853,1.0364793,0.34548853,0.0,1.381990362,3.862259366,43.706194384999996,0.0,0.0,21.76669555,6.909881914,0.0,9.044663015000001,1.381990362,0.0,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,0.0,6.6881386549999995,0.690985953,0.0,0.690985953,1.0364793,6.280700994,0.690985953,13.474381,0.0,5.244236111,2.418456045,1.381990362,0.0,0.0,0.690985953,40.77341687,3.109509606,0.34548853,0.0,0.690985953,1.0364793,116.90566009999999,0.34548853,0.34548853,21.164596162,0.34548853,0.0,0.0,0.34548853,0.690985953,14.50957867,2.072981884,4.491487508,5.589783405,0.34548853,0.34548853,3.5167660190000003,0.690985953,1.0364793,0.690985953,1.0364793,2.072981884,6.342645308,0.34548853,0.0,0.0,5.935289672,0.0,0.089065499,0.038403958,0.058768537999999995,0.0,0.023764345,4.851268133,0.0,0.0,0.0,0.046554863,0.0,0.331925703,0.0,0.058003246,0.066026498,0.018783025,0.0,0.028527718,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.690985953,1.381990362,17.034686178,3.109509606,0.34548853,10.416804034,3.506810539,2.098910126,0.0,0.0,4.491487508,0.0,8.292017092,0.0,0.0,0.716919764,7.03950562,1.407905717,0.716919764,2.098910126,0.716919764,3.161298766,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,4.517348203,7.255435717,0.0,1.433828655,0.34548853,0.0,0.0,0.0,7.1432802980000005,0.0,1.381990362,4.647003597,0.0,5.182441277,0.0,0.716919764,2.4443898749999997,11.05591008,0.0,0.0,0.0,0.34548853,0.0,12.18863958,0.690985953,2.098910126,0.0,0.716919764,0.0,13.501704864,2.098910126,0.34548853,0.0,0.34548853,1.0364793,0.34548853,0.0,1.381990362,15.37558358,27.090184315000002,0.0,0.716919764,24.634370788000002,7.626801678,0.716919764,6.218882949,2.098910126,2.150793929,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,4.275570645,3.584584692,11.7908667,1.407905717,0.0,0.690985953,1.0364793,4.171840692,0.690985953,13.474381,0.0,2.418456045,2.418456045,2.815819017,0.0,0.0,0.690985953,41.490336634,3.109509606,0.34548853,0.0,0.690985953,1.0364793,142.26935799999998,0.34548853,0.34548853,2.098910126,0.34548853,0.0,0.716919764,1.062408294,0.690985953,15.226498434,5.657566576,4.491487508,13.518390739,1.062408294,0.34548853,0.690985953,2.124814608,1.7533990640000001,0.690985953,1.7533990640000001,2.072981884,0.690985953,0.34548853,0.0,0.0,3.109509606,0.0,0.02629686,0.04698453600000001,0.06644277800000001,0.0,0.039747776,4.400699333,0.0,0.0,0.002651482,0.016789845,0.0,0.331925703,0.00462805,0.0,0.026313402,0.0520939,0.0,0.028989635,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.690985953,1.381990362,14.16701094,3.109509606,0.34548853,8.982975379,16.292468394,1.381990362,0.0,0.0,4.491487508,0.0,8.292017092,0.0,0.0,0.0,8.19436727,0.690985953,0.0,1.381990362,0.0,1.727470111,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,5.775925642,0.0,3.800428439,7.255435717,0.0,0.0,0.34548853,14.21948651,0.0,0.0,38.604459583,0.0,6.121436704,0.34548853,0.0,9.921887619,0.0,0.0,1.727470111,20.534431367,0.0,0.0,0.0,14.56497504,0.0,18.95721794,5.430432295,10.860511649,0.0,0.0,0.0,12.7847851,1.381990362,5.084934872,0.0,0.34548853,1.0364793,0.34548853,0.0,1.381990362,5.775925642,4.146002585,0.0,0.0,21.76669555,6.909881914,0.0,39.393212258999995,1.381990362,4.739446342,0.34548853,2.764003339,0.0,1.0364793,5.084934872,0.0,29.128423292999997,0.0,24.73096581,0.690985953,0.0,0.690985953,1.0364793,8.19436727,0.690985953,13.474381,4.739446342,11.896977331999999,2.418456045,1.381990362,0.0,0.0,5.430432295,40.77341687,3.109509606,0.34548853,0.0,0.690985953,1.0364793,10.515000587,0.34548853,0.34548853,39.295463992,0.34548853,4.739446342,0.0,0.34548853,0.690985953,14.50957867,2.072981884,4.491487508,16.983489848999998,0.34548853,0.34548853,0.690985953,5.430432295,1.0364793,0.690985953,1.0364793,2.072981884,0.690985953,0.34548853,4.739446342,0.0,12.588030892999999,0.018302477,0.002922097,0.013269103,0.10532628699999999,0.0,0.0,0.842934924,0.223855094,0.0,0.0,0.040411155,0.0,1.779523198,0.0,0.102216733,0.0,0.06653382199999999,0.095721037,0.0,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,2.599813489,1.299905543,2.840696592,0.0,1.299905543,1.299905543,1.299905543,0.0,0.0,7.799540612,0.0,10.39987266,1.299905543,0.0,0.0,12.662226083,1.299905543,0.0,5.199690368,1.299905543,15.501880052999999,0.0,0.0,0.0,0.0,1.299905543,5.681438881,5.199690368,2.840696592,0.0,0.0,5.681438881,0.0,0.0,0.0,0.0,2.840696592,0.0,0.0,0.0,5.681438881,2.599813489,0.0,2.840696592,0.0,2.840696592,5.681438881,2.840696592,97.88871054299999,2.840696592,0.0,0.0,8.04038696,2.840696592,0.0,4.140602135,0.0,1.299905543,0.0,0.0,3.899818578,12.662226083,2.840696592,2.840696592,0.0,0.0,2.599813489,0.0,0.0,6.499632803,33.847606679,0.0,0.0,10.881129249,0.0,0.0,0.0,1.299905543,9.822164765,0.0,2.840696592,2.840696592,0.0,0.0,0.0,2.599813489,0.0,0.0,0.0,0.0,11.36232054,0.0,11.36232054,0.0,82.615353472,0.0,1.299905543,8.28125237,0.0,0.0,0.0,2.840696592,24.940059392000002,2.599813489,0.0,2.840696592,0.0,0.0,8.522259222,0.0,2.599813489,15.59969085,0.0,0.0,0.0,0.0,0.0,0.0,1.299905543,0.0,1.299905543,0.0,2.840696592,0.0,19.88334196,0.0,0.0,0.0,5.199690368,4.140602135,2.840696592,0.0,0.0,0.0,0.0,0.044039668,0.005541733,0.020722058,0.0,0.032209852,0.052046655,0.119185307,0.0,0.0,0.0,0.014365337,0.717789722,0.0,0.0,0.006830122,0.273092618,0.0,0.0,0.223626855,1.0,1.0,"[[1], [0]]"
6x6,0.0,2.599813489,1.299905543,0.0,0.0,3.147512203,1.915788871,3.147512203,0.0,0.0,8.41542394,0.0,11.015755988,1.299905543,0.615883328,0.0,2.5316784439999998,1.299905543,0.0,5.199690368,1.299905543,1.915788871,1.231772901,0.615883328,0.0,0.0,2.5316784439999998,0.0,5.199690368,0.0,0.615883328,0.0,2.463538344,0.615883328,0.0,0.0,0.615883328,0.0,0.0,0.615883328,20.32553818,0.0,5.0633518330000005,1.231772901,0.0,1.231772901,1.231772901,0.615883328,0.0,1.299905543,0.0,1.231772901,0.0,5.199690368,0.0,17.24315718,1.299905543,0.0,1.299905543,0.0,0.0,8.826887809,1.915788871,0.615883328,0.0,1.231772901,0.0,3.2156968170000004,0.0,0.0,16.970599003,40.165405279,0.0,0.0,7.6632287119999996,0.0,1.231772901,20.32553818,2.5316784439999998,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,6.910981012000001,3.695263824,6.158796218,0.0,0.0,0.0,0.0,1.231772901,1.231772901,74.09309425,0.0,2.5316784439999998,2.599813489,0.0,0.0,0.0,0.0,23.946969460000002,2.599813489,0.615883328,0.0,0.0,1.84760666,76.98301105,0.0,2.599813489,37.77363735,0.0,0.0,0.0,0.0,0.0,0.615883328,3.147512203,0.0,6.842801284,0.0,0.615883328,0.0,0.0,0.615883328,1.231772901,0.0,5.199690368,2.5316784439999998,0.0,0.0,0.0,10.4709662,0.0,0.10253025399999999,0.037830021,0.046342824,0.0,0.068427537,5.365463028,0.119185307,0.0,0.0,0.019394063,0.0,0.733824795,0.0,0.075905184,0.00685771,0.0,0.0,0.013587393,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,2.599813489,1.299905543,0.0,0.0,1.299905543,1.299905543,1.299905543,0.0,0.0,7.799540612,0.0,10.39987266,1.299905543,0.0,0.0,1.299905543,1.299905543,0.0,5.199690368,1.299905543,1.299905543,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95560323,0.0,2.599813489,0.0,0.0,0.0,0.0,0.0,0.0,1.299905543,0.0,0.0,0.0,5.199690368,0.0,16.95560323,1.299905543,0.0,1.299905543,0.0,0.0,3.899818578,4.125685609,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,9.325412869,42.160005289,0.0,0.0,5.199690368,0.0,0.0,2.825780066,1.299905543,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,5.651659355,0.0,0.0,0.0,0.0,2.825780066,0.0,74.09309425,0.0,4.125685609,2.599813489,0.0,0.0,0.0,0.0,22.0993628,2.599813489,0.0,0.0,0.0,0.0,115.8691808,0.0,2.599813489,35.38229665,0.0,0.0,0.0,0.0,0.0,0.0,1.299905543,0.0,4.125685609,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,5.199690368,6.951564897999999,0.0,0.0,0.0,2.825780066,0.0,0.133105167,0.030676588,0.038018276,0.0,0.055974196999999996,4.851268133,0.119185307,0.0,0.0,0.046554863,0.0,0.717789722,0.0,0.058003246,0.066026498,0.0,0.0,0.028527718,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,2.599813489,4.167580781,0.0,0.0,2.7337341979999996,2.7337341979999996,2.016825307,0.0,0.0,7.799540612,0.0,10.39987266,1.299905543,0.0,0.716919764,4.8844902349999995,2.016825307,0.716919764,5.916610132,2.016825307,2.7337341979999996,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,0.0,0.0,0.716919764,0.0,0.0,1.433828655,0.0,0.0,0.0,0.0,6.452294345,0.0,2.599813489,4.301515067,0.0,0.0,0.0,0.716919764,0.716919764,1.299905543,0.0,0.0,0.0,5.199690368,0.0,12.18863958,1.299905543,0.716919764,1.299905543,0.716919764,0.0,4.616738342,2.016825307,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,20.838737083,25.543995219,0.0,0.716919764,8.067365606,0.716919764,0.716919764,0.0,2.016825307,3.450699472,0.0,0.0,0.0,0.0,0.0,0.0,6.184398181000001,3.584584692,10.7543874,0.716919764,0.0,0.0,0.0,0.716919764,0.0,74.09309425,0.0,1.299905543,2.599813489,1.433828655,0.0,0.0,0.0,22.816282564,2.599813489,0.0,0.0,0.0,0.0,141.2328787,0.0,2.599813489,16.316610614,0.0,0.0,0.716919764,0.716919764,0.0,0.716919764,4.8844902349999995,0.0,12.054292943,0.716919764,0.0,0.0,1.433828655,0.716919764,0.0,0.716919764,5.199690368,1.299905543,0.0,0.0,0.0,0.0,0.0,0.070336528,0.039257166,0.045692516,0.0,0.071957628,4.400699333,0.119185307,0.0,0.002651482,0.016789845,0.0,0.717789722,0.00462805,0.0,0.026313402,0.033310875,0.0,0.028989635,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,2.599813489,1.299905543,0.0,0.0,1.299905543,15.519392052999999,1.299905543,0.0,0.0,7.799540612,0.0,10.39987266,1.299905543,0.0,0.0,6.039351885,1.299905543,0.0,5.199690368,1.299905543,1.299905543,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,14.21948651,0.0,0.0,37.91347363,0.0,7.339259831,0.0,0.0,4.739446342,0.0,0.0,0.0,10.778426829999999,0.0,0.0,0.0,19.419176878,0.0,18.95721794,6.039351885,9.478521287,1.299905543,0.0,0.0,3.899818578,1.299905543,4.739446342,0.0,0.0,0.0,2.599813489,0.0,0.0,11.239079145,2.599813489,0.0,0.0,5.199690368,0.0,0.0,33.17432931,1.299905543,6.039351885,0.0,0.0,0.0,0.0,4.739446342,0.0,31.037250828999998,0.0,23.69448651,0.0,0.0,0.0,0.0,4.739446342,0.0,74.09309425,4.739446342,10.778426829999999,2.599813489,0.0,0.0,0.0,4.739446342,22.0993628,2.599813489,0.0,0.0,0.0,0.0,9.478521287,0.0,2.599813489,53.51316448,0.0,4.739446342,0.0,0.0,0.0,0.0,1.299905543,0.0,15.519392052999999,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,5.199690368,1.299905543,0.0,4.739446342,0.0,9.478521287,0.018302477,0.046961764999999996,0.005541733,0.084576025,0.0,0.032209852,0.842934924,0.343040401,0.0,0.0,0.040411155,0.0,2.165387217,0.0,0.102216733,0.0,0.047750797,0.095721037,0.0,0.0,1.0,1.0,"[[1], [4]]"
