coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial3,Ependymal
0x0,1.448612149,9.259845109,1.448612149,0.0,0.0,12.72460961,6.362579546,12.72460961,0.0,0.0,15.621875173,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,20.534914698999998,6.362579546,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72460961,0.0,0.0,7.811191695,0.0,0.0,0.0,0.0,0.0,4.345889776,0.0,0.0,10.14037987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,12.72460961,0.0,0.0,5.794539066,1.448612149,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,12.72460961,0.0,0.0,0.0,113.963706966,15.93557709,0.0,20.847179866,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.0,2.897265563,0.0,0.0,0.0,19.08630255,1.448612149,6.362579546,0.0,0.0,0.0,123.1366439,0.0,6.362579546,0.0,1.448612149,10.708469322,6.362579546,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.362579546,1.448612149,0.0,0.0,10.708469322,0.008201873,0.127919227,0.025257606,0.081009439,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.028340641,0.0,1.57764122,0.0,0.0722153,0.0,0.22693644,0.0,0.034115386,0.0,1.0,1.0
1x1,1.7235235359999999,3.309640493,4.335124033,0.96218522,1.237072195,26.93830151,1.237072195,0.824735831,0.0,0.41237493,8.120555001,0.137454413,0.0,0.137454413,0.137454413,1.8609870789999998,3.02401879,1.237072195,7.422480225,2.27334798,29.82478102,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,0.41237493,0.0,0.137454413,7.6339964369999995,1.237072195,0.41237493,0.5498155,0.274911387,0.137454413,4.483344189,0.41237493,0.274911387,11.789855932,0.687252188,0.137454413,0.0,1.649476062,0.0,0.274911387,0.0,2.33672181,2.061822428,0.137454413,0.41237493,3.372966527,0.824735831,1.512002111,0.0,13.491950199,6.259466634,4.335124033,0.0,0.0,0.41237493,0.41237493,0.0,0.274911387,6.047904326,3.298926303,0.41237493,0.687252188,62.978060166,15.93557709,0.5498155,18.333352635,0.274911387,0.0,0.0,1.099616611,3.71129176,1.448612149,0.5498155,0.41237493,0.96218522,0.5498155,1.448612149,0.41237493,0.137454413,5.308074996,0.0,4.9590879910000005,0.5498155,0.0,0.5498155,3.573829803,1.998427649,3.02401879,0.137454413,0.137454413,0.687252188,123.274098313,3.298926303,0.0,0.0,1.448612149,4.345889776,2.474161474,0.41237493,0.274911387,1.099616611,1.998427649,0.41237493,0.137454413,0.137454413,0.5498155,1.099616611,5.773139181,3.848752315,3.436392884,0.0,0.41237493,0.0,1.099616611,0.824735831,0.0,0.274911387,2.199263417,3.573829803,3.9227736230000003,0.137454413,0.274911387,11.905815574,0.008201873,0.143215226,0.048635425999999995,0.09655381800000001,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.018011772,0.0,1.715905043,0.0,0.084820791,0.0,0.218998019,0.0,0.034255883,0.0,1.0,1.0
2x2,1.835016779,3.283670193,2.221413198,3.091287509,0.38640463,35.9317596,0.38640463,9.273064148,0.0,0.772801049,8.306999461,0.0,0.0,0.38640463,1.545599049,1.835016779,3.47764852,1.932040737,3.091287509,2.60784759,34.39158396,1.545599049,1.159235441,0.38640463,0.38640463,1.545599049,0.772801049,1.932040737,4.250491987,0.38640463,0.38640463,0.0,2.704844633,1.545599049,0.0,0.0,7.244715895,0.772801049,0.0,0.38640463,0.38640463,0.0,5.118690825,0.0,0.0,10.5267845,0.38640463,0.772801049,0.38640463,1.159235441,0.38640463,0.772801049,0.0,1.545599049,0.38640463,1.159235441,0.38640463,4.9262606689999995,0.772801049,0.38640463,1.159235441,10.817776731999999,5.699104136,3.767021817,0.0,1.159235441,0.0,0.38640463,0.0,0.38640463,4.636895712,2.704844633,0.38640463,0.38640463,33.232601276,15.93557709,0.0,17.189444953,0.0,0.38640463,0.38640463,0.772801049,3.091287509,1.835016779,0.772801049,0.0,2.704844633,0.38640463,1.448612149,1.159235441,0.0,5.891488825,0.0,6.374914083,0.772801049,0.0,1.545599049,1.545599049,2.60784759,1.545599049,0.772801049,0.0,2.318409668,123.52304853,4.636895712,0.772801049,0.0,2.221413198,4.732294406,3.47764852,0.38640463,0.38640463,0.772801049,1.448612149,0.38640463,0.38640463,0.0,0.0,0.772801049,3.864072057,6.56885177,2.704844633,0.0,1.159235441,0.0,7.341804357,0.38640463,0.772801049,0.0,1.932040737,1.932040737,1.835016779,0.0,0.0,8.209961833,0.008201873,0.034317803,0.025257606,0.10837999100000001,0.0,0.043316318,0.0,0.581248039,0.0,0.0,0.067692028,0.0,0.7330488039999999,0.0,0.070020258,0.040490214,0.34843499,0.184977216,0.012632589,0.016971307,1.0,1.0
3x3,1.448612149,2.897265563,2.299968414,1.702713432,0.851356265,39.16058219,0.851356265,0.0,2.55410292,0.0,7.154047961,0.851356265,0.0,0.0,0.851356265,1.448612149,2.55410292,3.405447195,11.0670191,2.299968414,39.16058219,3.405447195,0.851356265,0.0,0.0,0.0,0.851356265,0.0,4.256782398,0.0,1.702713432,0.0,0.851356265,0.851356265,0.0,0.0,5.705394547,3.405447195,0.0,0.851356265,0.0,1.702713432,4.345889776,0.0,0.0,12.69448279,0.0,0.0,0.0,2.55410292,0.851356265,0.0,0.0,4.256782398,0.851356265,0.0,0.0,4.002715069,2.55410292,0.851356265,0.851356265,13.456774831,3.151325581,3.151325581,0.0,2.55410292,0.851356265,1.702713432,0.851356265,0.0,5.108154309,0.851356265,0.0,0.0,70.499778166,15.93557709,1.702713432,18.741382718,0.851356265,0.851356265,0.0,4.256782398,1.702713432,1.448612149,0.851356265,1.702713432,1.702713432,0.0,1.448612149,0.0,0.851356265,4.345889776,1.702713432,3.748621828,0.0,0.0,0.851356265,4.256782398,1.448612149,1.702713432,0.0,0.851356265,1.702713432,123.1366439,2.55410292,0.0,0.0,1.448612149,4.345889776,2.55410292,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,1.702713432,0.0,6.810880617,9.365732568,1.702713432,0.0,0.851356265,0.0,3.405447195,0.851356265,0.0,0.0,1.702713432,5.108154309,4.002715069,0.851356265,2.55410292,11.156770392999999,0.008201873,0.093853095,0.025257606,0.11025932399999999,0.0,0.108339982,0.0,1.022320573,0.0,0.0,0.047362451,0.0,1.322347284,0.0,0.077556373,0.001605037,0.218998019,0.0,0.010256608,0.0,1.0,1.0
4x4,1.448612149,2.897265563,2.376358989,1.855485768,1.855485768,38.03911825,2.783293202,0.92774684,0.0,0.92774684,12.175061721999999,0.0,0.92774684,0.0,0.0,1.448612149,3.711074802,1.855485768,7.422092365,1.448612149,41.74644475,0.0,0.0,0.92774684,0.0,0.0,0.92774684,0.0,0.0,0.0,0.0,0.92774684,0.0,0.0,0.0,0.0,5.159686951,0.92774684,0.92774684,0.0,0.0,2.783293202,4.345889776,0.0,0.0,10.14037987,1.855485768,0.92774684,0.0,0.0,0.0,1.855485768,0.0,0.92774684,0.0,0.0,0.0,2.376358989,0.92774684,0.0,0.0,14.144289096999998,4.231905351,1.448612149,0.0,0.92774684,0.0,0.92774684,0.92774684,0.0,7.422092365,5.566591497,0.0,0.0,62.391557196,15.93557709,0.0,18.195675122,0.0,0.0,0.92774684,0.92774684,3.711074802,2.376358989,0.92774684,0.0,5.566591497,0.92774684,1.448612149,1.855485768,0.0,4.345889776,0.0,3.8250124029999997,0.92774684,0.0,0.0,6.494281465,1.448612149,2.783293202,0.0,0.0,1.855485768,123.1366439,1.855485768,0.0,0.0,1.448612149,4.345889776,0.92774684,0.0,0.0,0.92774684,2.376358989,0.0,0.0,0.0,0.0,0.92774684,10.20469399,5.566591497,0.92774684,0.0,0.0,0.0,0.92774684,0.0,0.0,0.0,2.783293202,0.92774684,6.087455112,0.0,0.0,11.767982141000001,0.008201873,0.125387275,0.059449192,0.11361676700000001,0.0,0.129892172,0.0,1.185848208,0.0,0.0,0.019527161,0.0,1.3272693309999999,0.0,0.051228194,0.0,0.218998019,0.023021592,0.054721988,0.0,1.0,1.0
5x5,2.032145239,7.039953905,1.354778164,2.032145239,0.0,14.756754849,8.394724785000001,13.401983969,0.0,0.0,13.401983969,1.354778164,0.0,0.677374359,0.0,6.096431255,5.419038788,0.677374359,1.354778164,19.763676909,9.749502428,9.072119047000001,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,15.434149111,0.0,0.0,8.394724785000001,0.677374359,0.0,0.677374359,0.677374359,0.0,0.677374359,0.677374359,0.0,19.64429232,0.0,0.677374359,0.677374359,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,5.419038788,12.72460961,0.677374359,0.677374359,10.16092012,0.0,2.709539501,0.677374359,0.0,4.06430671,0.0,0.0,1.354778164,14.079387774,4.741693427,0.0,0.0,113.588206688,0.0,0.0,15.168536895999999,1.354778164,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,0.0,0.677374359,1.354778164,2.032145239,0.0,0.677374359,3.386922882,0.0,0.0,19.763676909,0.0,7.039953905,1.354778164,1.354778164,0.0,42.67169015,0.0,6.362579546,0.0,0.0,10.426886256,7.71735771,0.0,1.354778164,4.06430671,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,0.0,0.0,6.362579546,0.0,1.354778164,0.0,0.0,0.0,0.677374359,0.0,0.0,7.039953905,0.0,0.0,0.677374359,6.362579546,0.08281185,0.127919227,0.0,0.042797545,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.028340641,0.0,1.390451848,0.0,0.0722153,0.0,0.060777508,0.246967114,0.034115386,0.0,1.0,1.0
6x6,2.307056626,1.089749289,4.241290048,2.994330459,1.237072195,28.970446748999997,3.269217434,1.50211019,0.0,0.41237493,5.900663797,1.492232577,0.0,0.814828772,0.137454413,6.508806185,8.443057578,1.914446554,8.777258389,1.50211019,33.211703901999996,6.420831261,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,3.396791689,3.288977317,0.137454413,0.5498155,1.492232577,2.18937647,3.121914431,0.0,0.137454413,8.217529527,1.914446554,0.41237493,1.227189859,0.952285746,0.137454413,0.814828772,1.089749289,0.274911387,21.293768382000003,0.687252188,0.814828772,0.677374359,3.004254226,0.0,0.952285746,0.0,7.755760598,2.739196787,0.814828772,3.121914431,7.343393166,0.824735831,2.18937647,0.677374359,17.858331253,4.810854485,5.596051385,0.677374359,0.0,4.476681640000001,0.41237493,0.0,1.629689551,7.40268249,8.04061973,0.41237493,0.687252188,62.602559888,0.0,0.5498155,12.654709665,1.629689551,0.677374359,0.0,1.099616611,3.71129176,0.677374359,0.5498155,0.41237493,0.96218522,1.904593664,0.0,1.089749289,1.492232577,2.994330459,0.0,2.739196787,3.9367383819999997,0.0,0.5498155,4.2512041620000005,0.5498155,3.701393149,1.492232577,1.492232577,0.687252188,42.809144563000004,3.298926303,0.0,0.0,0.0,4.06430671,3.8289396380000005,0.41237493,1.629689551,5.163923321,1.904593664,1.767153094,0.137454413,0.137454413,0.5498155,22.777368531,5.773139181,3.848752315,3.436392884,0.0,1.767153094,0.0,1.099616611,0.824735831,0.677374359,0.274911387,2.199263417,4.2512041620000005,2.474161474,0.137454413,0.952285746,7.559925798,0.08281185,0.143215226,0.02337782,0.058341924,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.018011772,0.0,1.528715671,0.0,0.084820791,0.0,0.052839087,0.246967114,0.034255883,0.0,1.0,1.0
7x7,2.418549869,1.063778989,2.127579213,5.123432748,0.38640463,37.963904839,2.418549869,9.950438507,0.0,0.772801049,6.087108257,1.354778164,0.0,1.063778989,1.545599049,6.482835885,8.896687308,2.6094150959999998,4.446065673,1.8366098000000002,37.778506842,4.25513855,1.159235441,0.38640463,0.38640463,1.545599049,0.772801049,4.6415802379999995,4.927866346,0.38640463,0.38640463,1.354778164,3.382218992,4.25513855,0.0,0.0,7.828248985,1.450175408,0.0,1.063778989,1.063778989,0.0,1.450175408,0.677374359,0.0,20.030696950000003,0.38640463,1.450175408,1.063778989,2.514013605,0.38640463,1.450175408,0.0,6.964637837,1.063778989,1.8366098000000002,3.095944131,8.896687308,0.772801049,1.063778989,1.8366098000000002,15.184157786,4.250491987,5.027949169,0.677374359,1.159235441,4.06430671,0.38640463,0.0,1.7411827940000002,5.991673876,7.44653806,0.38640463,0.38640463,32.857100998,0.0,0.0,11.510801983,1.354778164,1.063778989,0.38640463,0.772801049,3.091287509,1.063778989,0.772801049,0.0,2.704844633,1.7411827940000002,0.0,1.8366098000000002,1.354778164,3.577744288,0.0,4.155022879,4.159723931,0.0,1.545599049,2.222973408,1.159235441,2.222973408,2.127579213,1.354778164,2.318409668,43.058094780000005,4.636895712,0.772801049,0.0,0.772801049,4.450711340000001,4.832426684,0.38640463,1.7411827940000002,4.837107759,1.354778164,1.7411827940000002,0.38640463,0.0,0.0,22.450552969,3.864072057,6.56885177,2.704844633,0.0,2.514013605,0.0,7.341804357,0.38640463,1.450175408,0.0,1.932040737,2.6094150959999998,0.38640463,0.0,0.677374359,3.864072057,0.08281185,0.034317803,0.0,0.070168097,0.0,0.043316318,0.0,0.581248039,0.0,0.0,0.067692028,0.0,0.545859432,0.0,0.070020258,0.040490214,0.18227605800000002,0.43194433,0.012632589,0.016971307,1.0,1.0
8x8,2.032145239,0.677374359,2.206134429,3.734858671,0.851356265,41.192727429,2.883501504,0.677374359,2.55410292,0.0,4.934156757,2.206134429,0.0,0.677374359,0.851356265,6.096431255,7.973141708,4.082821554,12.421797264,1.528730624,42.547505072,6.114986696,0.851356265,0.0,0.0,0.0,0.851356265,2.709539501,4.934156757,0.0,1.702713432,1.354778164,1.528730624,3.560895766,0.0,0.0,6.2889276370000005,4.082821554,0.0,1.528730624,0.677374359,1.702713432,0.677374359,0.677374359,0.0,22.198395240000004,0.0,0.677374359,0.677374359,3.908881084,0.851356265,0.677374359,0.0,9.675821186,1.528730624,0.677374359,2.709539501,7.973141708,2.55410292,1.528730624,1.528730624,17.823155885,1.702713432,4.4122529329999995,0.677374359,2.55410292,4.915662975,1.702713432,0.851356265,1.354778164,6.4629324729999995,5.593049692,0.0,0.0,70.124277888,0.0,1.702713432,13.062739748,2.206134429,1.528730624,0.0,4.256782398,1.702713432,0.677374359,0.851356265,1.702713432,1.702713432,1.354778164,0.0,0.677374359,2.206134429,2.032145239,1.702713432,1.528730624,3.386922882,0.0,0.851356265,4.934156757,0.0,2.380087791,1.354778164,2.206134429,1.702713432,42.67169015,2.55410292,0.0,0.0,0.0,4.06430671,3.908881084,0.0,1.354778164,4.06430671,1.354778164,1.354778164,0.0,0.0,1.702713432,21.67775192,6.810880617,9.365732568,1.702713432,0.0,2.206134429,0.0,3.405447195,0.851356265,0.677374359,0.0,1.702713432,5.7855286679999995,2.55410292,0.851356265,3.231477279,6.810880617,0.08281185,0.093853095,0.0,0.07204743,0.0,0.108339982,0.0,1.022320573,0.0,0.0,0.047362451,0.0,1.135157912,0.0,0.077556373,0.001605037,0.052839087,0.246967114,0.010256608,0.0,1.0,1.0
9x9,2.032145239,0.677374359,2.282525004,3.8876310070000004,1.855485768,40.071263489,4.8154384409999995,1.605121199,0.0,0.92774684,9.955170518,1.354778164,0.92774684,0.677374359,0.0,6.096431255,9.13011359,2.532860127,8.776870529,0.677374359,45.133367632,2.709539501,0.0,0.92774684,0.0,0.0,0.92774684,2.709539501,0.677374359,0.0,0.0,2.282525004,0.677374359,2.709539501,0.0,0.0,5.743220041000001,1.605121199,0.92774684,0.677374359,0.677374359,2.783293202,0.677374359,0.677374359,0.0,19.64429232,1.855485768,1.605121199,0.677374359,1.354778164,0.0,2.532860127,0.0,6.346785628,0.677374359,0.677374359,2.709539501,6.346785628,0.92774684,0.677374359,0.677374359,18.510670151,2.783293202,2.709539501,0.677374359,0.92774684,4.06430671,0.92774684,0.92774684,1.354778164,8.776870529,10.308284924,0.0,0.0,62.016056918000004,0.0,0.0,12.517032152,1.354778164,0.677374359,0.92774684,0.92774684,3.711074802,1.605121199,0.92774684,0.0,5.566591497,2.282525004,0.0,2.532860127,1.354778164,2.032145239,0.0,1.605121199,4.314669722,0.0,0.0,7.171655824,0.0,3.4606675609999997,1.354778164,1.354778164,1.855485768,42.67169015,1.855485768,0.0,0.0,0.0,4.06430671,2.282525004,0.0,1.354778164,4.9920535500000005,2.282525004,1.354778164,0.0,0.0,0.0,22.60549876,10.20469399,5.566591497,0.92774684,0.0,1.354778164,0.0,0.92774684,0.0,0.677374359,0.0,2.783293202,1.605121199,4.638842963,0.0,0.677374359,7.422092365,0.08281185,0.125387275,0.034191586,0.075404873,0.0,0.129892172,0.0,1.185848208,0.0,0.0,0.019527161,0.0,1.140079959,0.0,0.051228194,0.0,0.052839087,0.26998870599999997,0.054721988,0.0,1.0,1.0
