coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial3,ODMature3,Endothelial3 ODMature3
0x0,1.448612149,2.897265563,1.448612149,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,4.679027754,1.781762191,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,1.448612149,0.0,1.781762191,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,3.563415361,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,33.84977672,0.0,4.345889776,0.0,0.0,10.14037987,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,1.448612149,0.0,0.0,0.0,7.576301257,1.448612149,1.448612149,0.0,1.781762191,0.0,0.0,0.0,0.0,7.126995139,1.781762191,0.0,0.0,7.576301257,15.93557709,0.0,48.33437704,0.0,1.781762191,0.0,0.0,1.781762191,1.448612149,0.0,0.0,1.781762191,3.563415361,8.575607288,0.0,0.0,6.127651967,0.0,6.460680924,3.563415361,7.126995139,0.0,0.0,3.23037434,0.0,0.0,0.0,1.781762191,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,3.563415361,0.0,1.781762191,99.78595144,1.448612149,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,5.345122338,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,1.448612149,0.0,0.0,63.145726746,0.008201873,0.090031378,0.046253981,0.070628544,0.0,0.062355816,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,0.9612563,0.0,0.109059893,0.004172908,0.23206672499999997,0.0,0.007626545,0.0,1.0,1.0,"[[0], [0]]"
1x1,1.448612149,2.897265563,1.448612149,1.307597182,0.0,1.961419965,0.653826704,0.653826704,0.653826704,0.0,3.551092267,0.653826704,0.653826704,0.0,0.0,2.756209331,4.576606492,0.653826704,0.653826704,2.756209331,0.653826704,1.961419965,0.0,1.961419965,0.653826704,0.0,0.0,3.269037797,0.0,0.0,0.0,0.0,7.192001063,0.0,0.0,0.0,1.448612149,0.653826704,0.0,0.0,22.8836116,0.0,4.99971648,0.653826704,0.0,10.14037987,0.0,0.653826704,2.615263862,0.0,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,6.0252186409999995,0.0,0.0,0.653826704,9.717427573,3.410032114,1.448612149,0.0,0.653826704,0.0,0.653826704,0.0,0.0,3.269037797,2.615263862,0.653826704,0.0,7.102136248,16.589403794,0.0,38.02038773,0.653826704,0.653826704,0.0,4.576606492,0.0,1.448612149,0.653826704,0.0,1.307597182,0.0,11.255483960000001,1.307597182,0.0,6.961153638,0.0,5.512529425,1.307597182,0.0,0.653826704,11.76732754,1.448612149,0.0,0.0,0.0,1.307597182,123.79047060399999,0.0,0.0,0.0,2.1024388529999998,11.537890839,7.192001063,1.307597182,0.653826704,33.9945167,1.448612149,1.961419965,0.0,0.0,0.0,0.0,0.653826704,0.0,7.192001063,0.0,0.0,0.0,1.961419965,0.653826704,2.615263862,1.307597182,0.0,1.307597182,1.448612149,2.615263862,0.0,42.918983166,0.022830006,0.036952827,0.025257606,0.053853071,0.0,0.033577389,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,0.903595277,0.0,0.083639931,0.0,0.218998019,0.0,0.0,0.014299006,1.0,1.0,"[[0], [1]]"
2x2,1.448612149,2.897265563,9.653955671,5.470234187,0.0,2.735080789,0.0,2.735080789,0.0,8.205343522,2.897265563,2.735080789,0.0,0.0,0.0,1.448612149,0.0,5.470234187,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.470234187,0.0,0.0,1.448612149,0.0,0.0,0.0,21.88231712,2.735080789,7.080970564999999,0.0,0.0,10.14037987,0.0,0.0,5.470234187,10.93988104,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,4.183692938,0.0,0.0,0.0,13.999882587999998,1.448612149,9.653955671,0.0,2.735080789,0.0,2.735080789,0.0,2.735080789,8.205343522,0.0,0.0,0.0,19.470278756,15.93557709,0.0,52.77622618,0.0,0.0,0.0,0.0,2.735080789,1.448612149,0.0,2.735080789,0.0,2.735080789,4.183692938,0.0,0.0,4.345889776,0.0,16.573005253,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,123.1366439,2.735080789,0.0,0.0,1.448612149,4.345889776,2.735080789,0.0,0.0,76.58897239,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,2.735080789,8.205343522,0.0,0.0,0.0,10.93988104,0.0,0.0,0.0,0.0,0.0,4.183692938,0.0,0.0,31.698953896,0.008201873,0.01019799,0.025257606,0.071037508,0.0,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.5997042479999999,0.0,0.0,0.0,0.218998019,0.0,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,1.448612149,4.981589611,1.448612149,0.0,0.0,0.0,0.0,4.16856521,0.0,0.0,4.981589611,0.0,0.0,0.0,2.084324048,1.448612149,2.084324048,0.0,0.0,3.5329361969999997,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,1.448612149,0.0,0.0,0.0,10.42089135,0.0,4.345889776,2.084324048,0.0,10.14037987,2.084324048,2.084324048,0.0,12.50516828,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,3.5329361969999997,0.0,0.0,0.0,7.878863114,3.5329361969999997,1.448612149,2.084324048,0.0,0.0,0.0,0.0,0.0,12.50516828,0.0,0.0,0.0,5.794539066,15.93557709,0.0,37.41224771,2.084324048,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,6.252871783,0.0,5.617177358999999,0.0,0.0,4.345889776,0.0,7.065830773,0.0,0.0,2.084324048,0.0,1.448612149,0.0,2.084324048,0.0,0.0,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,2.084324048,0.0,0.0,83.37232172,1.448612149,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,2.084324048,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,4.16856521,0.0,3.5329361969999997,0.0,0.0,29.359462346,0.008201873,0.0,0.025257606,0.059489244000000004,0.0,0.0,0.867583378,0.0,0.0,0.0,0.0,0.0,1.007141649,0.093054962,0.019073715,0.004065165,0.218998019,0.0,0.0,0.0,1.0,1.0,"[[0], [3]]"
4x4,1.448612149,2.897265563,2.689602569,1.24099042,0.0,0.0,1.24099042,3.722913592,2.481929712,0.0,4.138255983,0.0,0.0,0.0,1.24099042,3.930541861,4.963895155,0.0,0.0,1.448612149,3.722913592,0.0,0.0,0.0,0.0,2.481929712,0.0,2.481929712,0.0,0.0,0.0,1.24099042,4.963895155,1.24099042,0.0,0.0,1.448612149,6.204767988,1.24099042,0.0,31.02580095,1.24099042,6.827819487999999,1.24099042,0.0,10.14037987,0.0,0.0,2.481929712,4.963895155,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,7.653380137,0.0,0.0,0.0,8.276468778,3.930541861,15.100716399000001,0.0,1.24099042,0.0,0.0,0.0,0.0,3.722913592,1.24099042,0.0,0.0,11.999307053999999,15.93557709,0.0,55.44117255,1.24099042,7.44578458,0.0,0.0,0.0,1.448612149,0.0,1.24099042,2.481929712,1.24099042,8.894396729,1.24099042,0.0,5.586880196,0.0,14.064727603,0.0,0.0,0.0,3.722913592,2.689602569,2.481929712,1.24099042,0.0,0.0,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,7.44578458,0.0,0.0,65.77286335,1.448612149,1.24099042,1.24099042,0.0,0.0,0.0,0.0,0.0,17.37384295,0.0,0.0,0.0,3.722913592,1.24099042,0.0,0.0,0.0,1.24099042,2.689602569,0.0,0.0,35.371690726,0.008201873,0.027519328,0.047405881,0.062921954,0.0,0.024115643,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.40102533399999996,0.0,0.011446929,0.018213381,0.218998019,0.041091738,0.0206022,0.013707828,1.0,1.0,"[[0], [4]]"
5x5,2.032145239,0.677374359,1.354778164,2.032145239,1.781762191,2.032145239,2.032145239,0.677374359,0.0,0.0,2.45913655,3.136540355,0.0,0.677374359,0.0,6.096431255,5.419038788,0.677374359,1.354778164,0.677374359,3.386922882,4.491301692,0.0,0.0,0.0,0.0,1.781762191,2.709539501,0.677374359,0.0,0.0,1.354778164,4.24078972,2.709539501,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,34.527151079,0.0,0.677374359,0.677374359,0.0,19.64429232,0.0,2.45913655,0.677374359,1.354778164,0.0,2.45913655,0.0,5.419038788,0.677374359,52.351823189,2.709539501,5.419038788,0.0,0.677374359,0.677374359,11.942682311,0.0,2.709539501,0.677374359,1.781762191,4.06430671,0.0,0.0,1.354778164,8.481773303,6.523455618000001,0.0,0.0,7.200800979,0.0,0.0,42.65573407,1.354778164,2.45913655,0.0,0.0,1.781762191,0.677374359,0.0,0.0,1.781762191,4.918193525,7.126995139,0.677374359,1.354778164,3.8139074300000004,0.0,4.24078972,6.950338243,7.126995139,0.0,0.677374359,1.781762191,0.677374359,1.354778164,1.354778164,1.781762191,42.67169015,0.0,0.0,0.0,0.0,4.06430671,4.918193525,0.0,3.136540355,103.85025815,1.354778164,1.354778164,0.0,0.0,1.781762191,21.67775192,0.0,0.0,5.345122338,0.0,1.354778164,0.0,1.781762191,0.0,0.677374359,0.0,1.781762191,0.677374359,0.0,0.0,0.677374359,58.79983697,0.08281185,0.090031378,0.020996375,0.03241665,0.0,0.062355816,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,0.774066928,0.0,0.109059893,0.004172908,0.06590779299999999,0.246967114,0.007626545,0.0,1.0,1.0,"[[1], [0]]"
6x6,2.032145239,0.677374359,1.354778164,3.3397424210000004,0.0,3.9935652040000003,2.685971943,1.331201063,0.653826704,0.0,1.331201063,2.008604868,0.653826704,0.677374359,0.0,7.404028437,9.99564528,1.331201063,2.008604868,1.9849715410000002,4.040749586,4.670959466,0.0,1.961419965,0.653826704,0.0,0.0,5.978577298,0.677374359,0.0,0.0,1.354778164,7.869375422,2.709539501,0.0,0.0,2.032145239,1.331201063,0.0,0.677374359,23.560985959,0.0,1.331201063,1.331201063,0.0,19.64429232,0.0,1.331201063,3.292638221,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,27.480908299000003,2.709539501,9.99564528,0.0,0.677374359,1.331201063,14.083808627,1.961419965,2.709539501,0.677374359,0.653826704,4.06430671,0.653826704,0.0,1.354778164,4.623815961,7.356957289,0.653826704,0.0,6.72663597,0.653826704,0.0,32.34174476,2.008604868,1.331201063,0.0,4.576606492,0.0,0.677374359,0.653826704,0.0,1.307597182,1.354778164,9.806871811,1.9849715410000002,1.354778164,4.647409101,0.0,3.292638221,4.694520064,0.0,0.653826704,12.444701899,0.0,0.677374359,1.354778164,1.354778164,1.307597182,43.325516854,0.0,0.0,0.0,0.653826704,11.256307773,8.546779227,1.307597182,2.008604868,38.05882341,1.354778164,3.316198129,0.0,0.0,0.0,21.67775192,0.653826704,0.0,7.192001063,0.0,1.354778164,0.0,1.961419965,0.653826704,3.292638221,1.307597182,0.0,1.9849715410000002,0.0,2.615263862,0.677374359,38.57309339,0.09743998300000001,0.036952827,0.0,0.015641177,0.0,0.033577389,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,0.716405905,0.0,0.083639931,0.0,0.052839087,0.246967114,0.0,0.014299006,1.0,1.0,"[[1], [1]]"
7x7,2.032145239,0.677374359,9.560121686,7.502379426,0.0,4.767226028,2.032145239,3.412455148,0.0,8.205343522,0.677374359,4.089858953,0.0,0.677374359,0.0,6.096431255,5.419038788,6.147608546,1.354778164,0.677374359,3.386922882,2.709539501,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,8.179773688000001,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,22.559691479,2.735080789,3.412455148,0.677374359,0.0,19.64429232,0.0,0.677374359,6.147608546,12.294659204,0.0,3.412455148,0.0,8.154119577,0.677374359,36.236853519,2.709539501,8.154119577,0.0,0.677374359,0.677374359,18.366263642,0.0,10.914883023,0.677374359,2.735080789,4.06430671,2.735080789,0.0,4.089858953,9.560121686,4.741693427,0.0,0.0,19.094778478000002,0.0,0.0,47.09758321,1.354778164,0.677374359,0.0,0.0,2.735080789,0.677374359,0.0,2.735080789,0.0,4.089858953,2.735080789,0.677374359,1.354778164,2.032145239,0.0,14.353114049,3.386922882,0.0,0.0,0.677374359,0.0,0.677374359,1.354778164,1.354778164,0.0,42.67169015,2.735080789,0.0,0.0,0.0,4.06430671,4.089858953,0.0,1.354778164,80.65327909999999,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,0.0,2.735080789,8.205343522,0.0,1.354778164,0.0,10.93988104,0.0,0.677374359,0.0,0.0,0.677374359,2.735080789,0.0,0.677374359,27.35306412,0.08281185,0.01019799,0.0,0.032825614,0.0,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.412514876,0.0,0.0,0.0,0.052839087,0.246967114,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,2.032145239,2.761698407,1.354778164,2.032145239,0.0,2.032145239,2.032145239,4.845939569,0.0,0.0,2.761698407,1.354778164,0.0,0.677374359,2.084324048,6.096431255,7.503362836,0.677374359,1.354778164,2.761698407,5.4712469299999995,2.709539501,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,4.793863549,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,11.098265709,0.0,0.677374359,2.761698407,0.0,19.64429232,2.084324048,2.761698407,0.677374359,13.859946444,0.0,0.677374359,0.0,9.587603997999999,0.677374359,23.605021749000002,2.709539501,7.503362836,0.0,0.677374359,0.677374359,12.245244168,2.084324048,2.709539501,2.761698407,0.0,4.06430671,0.0,0.0,1.354778164,13.859946444,4.741693427,0.0,0.0,5.419038788,0.0,0.0,31.73360474,3.439102212,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,6.252871783,1.354778164,4.16856521,0.677374359,1.354778164,2.032145239,0.0,4.845939569,3.386922882,0.0,2.084324048,0.677374359,0.0,0.677374359,3.439102212,1.354778164,0.0,42.67169015,0.0,0.0,0.0,0.0,4.06430671,3.439102212,0.0,1.354778164,87.43662843,1.354778164,1.354778164,0.0,0.0,0.0,23.762075967999998,0.0,0.0,2.084324048,0.0,1.354778164,0.0,0.0,2.084324048,0.677374359,0.0,4.16856521,0.677374359,2.084324048,0.0,0.677374359,25.01357257,0.08281185,0.0,0.0,0.02127735,0.0,0.0,0.867583378,0.0,0.0,0.0,0.0,0.0,0.819952277,0.093054962,0.019073715,0.004065165,0.052839087,0.246967114,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,2.032145239,0.677374359,2.595768584,3.2731356590000003,0.0,2.032145239,3.2731356590000003,4.400287951,2.481929712,0.0,1.918364779,1.354778164,0.0,0.677374359,1.24099042,8.578360967,10.382933943000001,0.677374359,1.354778164,0.677374359,7.109836474,2.709539501,0.0,0.0,0.0,2.481929712,0.0,5.1914692129999995,0.677374359,0.0,0.0,2.595768584,5.641269514,3.950529921,0.0,0.0,2.032145239,6.882142347,1.24099042,0.677374359,31.703175309000002,1.24099042,3.1593040709999998,1.918364779,0.0,19.64429232,0.0,0.677374359,3.1593040709999998,6.318673319,0.0,0.677374359,0.0,6.660029208,0.677374359,14.329478609,2.709539501,11.623806776,0.0,0.677374359,0.677374359,12.642849832,2.481929712,16.361643751000003,0.677374359,1.24099042,4.06430671,0.0,0.0,1.354778164,5.077691756,5.9826838470000006,0.0,0.0,11.623806776,0.0,0.0,49.76252958,2.595768584,8.123158939,0.0,0.0,0.0,0.677374359,0.0,1.24099042,2.481929712,2.595768584,7.44578458,1.918364779,1.354778164,3.2731356590000003,0.0,11.844836399,3.386922882,0.0,0.0,4.400287951,1.24099042,3.1593040709999998,2.595768584,1.354778164,0.0,42.67169015,0.0,0.0,0.0,0.0,4.06430671,8.800562744,0.0,1.354778164,69.83717005999999,1.354778164,2.595768584,1.24099042,0.0,0.0,21.67775192,0.0,0.0,17.37384295,0.0,1.354778164,0.0,3.722913592,1.24099042,0.677374359,0.0,0.0,1.918364779,1.24099042,0.0,0.677374359,31.02580095,0.08281185,0.027519328,0.022148275,0.02471006,0.0,0.024115643,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.213835962,0.0,0.011446929,0.018213381,0.052839087,0.288058852,0.0206022,0.013707828,1.0,1.0,"[[1], [4]]"
