coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial3,ODMature4,Endothelial3cells
0x0,1.448612149,2.897265563,1.448612149,2.840696592,0.0,0.0,0.0,0.0,0.0,0.0,2.897265563,0.0,0.0,0.0,0.0,1.448612149,11.36232054,0.0,0.0,1.448612149,0.0,14.20197451,0.0,0.0,0.0,0.0,0.0,5.681438881,0.0,2.840696592,0.0,0.0,5.681438881,0.0,0.0,0.0,1.448612149,2.840696592,0.0,0.0,0.0,5.681438881,4.345889776,0.0,2.840696592,10.14037987,2.840696592,5.681438881,2.840696592,96.588805,2.840696592,0.0,0.0,2.840696592,2.840696592,0.0,2.840696592,1.448612149,0.0,0.0,0.0,5.794539066,12.810932689000001,4.289308741,2.840696592,0.0,0.0,0.0,0.0,0.0,0.0,31.24779319,0.0,0.0,11.475977947,15.93557709,0.0,14.48460032,0.0,8.522259222,0.0,2.840696592,2.840696592,1.448612149,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,15.708210316,0.0,14.259586103,0.0,8.522259222,0.0,0.0,7.13005103,0.0,0.0,0.0,2.840696592,125.977340492,0.0,0.0,2.840696592,1.448612149,4.345889776,8.522259222,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.840696592,0.0,19.88334196,0.0,0.0,0.0,0.0,2.840696592,4.289308741,0.0,0.0,4.345889776,0.008201873,0.0,0.025257606,0.058933952000000005,0.0,0.0,0.052046655,0.0,0.0,0.0,0.0,0.014365337,0.187189372,0.0,0.0,0.006830122,0.492090637,0.0,0.0,0.223626855,1.0,1.0,[0]
1x1,1.448612149,2.897265563,1.448612149,0.0,0.0,1.84760666,0.615883328,1.84760666,0.0,0.0,3.513148891,0.0,0.615883328,0.0,0.615883328,1.448612149,1.231772901,0.0,0.0,1.448612149,0.0,0.615883328,1.231772901,0.615883328,0.0,0.0,1.231772901,0.0,0.0,0.0,0.615883328,0.0,2.463538344,0.615883328,0.0,0.0,2.064495477,0.0,0.0,0.615883328,20.32553818,0.0,6.80942812,1.231772901,0.0,11.372152771,1.231772901,0.615883328,0.0,0.0,0.0,1.231772901,0.0,0.0,0.0,17.24315718,0.0,1.448612149,0.0,0.0,0.0,10.721608297,2.064495477,2.064495477,0.0,1.231772901,0.0,0.615883328,0.0,0.0,10.4709662,37.56559179,0.0,0.0,8.258077409999999,15.93557709,1.231772901,34.8101385,1.231772901,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,4.311167523,3.695263824,7.607408367,0.0,0.0,4.345889776,0.0,4.129038464,1.231772901,0.0,0.0,1.231772901,1.448612149,0.0,0.0,0.0,0.0,124.98425055999999,0.0,0.615883328,0.0,1.448612149,6.193496436,76.98301105,0.0,0.0,22.1739465,1.448612149,0.0,0.0,0.0,0.0,0.615883328,1.84760666,0.0,5.542895741,0.0,0.615883328,0.0,0.0,0.615883328,1.231772901,0.0,0.0,1.231772901,1.448612149,0.0,0.0,14.816855976,0.008201873,0.058490586,0.057545894,0.084554718,0.0,0.036217685,5.365463028,0.0,0.0,0.0,0.019394063,0.0,0.203224445,0.0,0.075905184,0.00685771,0.218998019,0.0,0.013587393,0.0,1.0,1.0,[1]
2x2,1.448612149,2.897265563,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.897265563,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,16.95560323,0.0,4.345889776,0.0,0.0,10.14037987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95560323,0.0,1.448612149,0.0,0.0,0.0,5.794539066,4.274392215,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,2.825780066,39.5601918,0.0,0.0,5.794539066,15.93557709,0.0,17.310380386,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,7.100271503999999,0.0,0.0,4.345889776,0.0,5.723045629,0.0,0.0,0.0,2.825780066,1.448612149,0.0,0.0,0.0,0.0,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,115.8691808,0.0,0.0,19.7826058,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.825780066,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,0.0,5.651659355,1.448612149,0.0,0.0,7.171669842,0.008201873,0.089065499,0.050392461,0.07623017,0.0,0.023764345,4.851268133,0.0,0.0,0.0,0.046554863,0.0,0.187189372,0.0,0.058003246,0.066026498,0.218998019,0.0,0.028527718,0.0,1.0,1.0,[2]
3x3,1.448612149,2.897265563,4.316287387,0.0,0.0,1.433828655,1.433828655,0.716919764,0.0,0.0,2.897265563,0.0,0.0,0.0,0.0,2.1655319129999997,3.584584692,0.716919764,0.716919764,2.1655319129999997,0.716919764,1.433828655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716919764,0.0,0.0,1.433828655,1.448612149,0.0,0.0,0.0,6.452294345,0.0,4.345889776,4.301515067,0.0,10.14037987,0.0,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,12.18863958,0.0,2.1655319129999997,0.0,0.716919764,0.0,6.51145883,2.1655319129999997,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,14.33910428,22.94418173,0.0,0.716919764,8.662214303999999,16.652496854,0.716919764,14.48460032,0.716919764,2.150793929,0.0,0.0,0.0,1.448612149,0.0,0.0,3.584584692,3.584584692,12.202999549000001,0.716919764,0.0,4.345889776,0.0,3.614185327,0.0,0.0,0.0,0.0,1.448612149,1.433828655,0.0,0.0,0.0,123.85356366399999,0.0,0.0,0.0,1.448612149,4.345889776,141.2328787,0.0,0.0,0.716919764,1.448612149,0.0,0.716919764,0.716919764,0.0,0.716919764,3.584584692,0.0,10.7543874,0.716919764,0.0,0.0,1.433828655,0.716919764,0.0,0.716919764,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.008201873,0.02629686,0.058973039000000005,0.08390441000000001,0.0,0.039747776,4.400699333,0.0,0.0,0.002651482,0.016789845,0.0,0.187189372,0.00462805,0.0,0.026313402,0.252308894,0.0,0.028989635,0.0,1.0,1.0,[3]
4x4,1.448612149,2.897265563,1.448612149,0.0,0.0,0.0,14.21948651,0.0,0.0,0.0,2.897265563,0.0,0.0,0.0,0.0,1.448612149,4.739446342,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,1.448612149,14.21948651,0.0,0.0,37.91347363,0.0,9.085336118,0.0,0.0,14.879826212000001,0.0,0.0,0.0,9.478521287,0.0,0.0,0.0,14.21948651,0.0,18.95721794,4.739446342,10.927133436,0.0,0.0,0.0,5.794539066,1.448612149,6.188058491,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,5.794539066,15.93557709,0.0,47.658929629999996,0.0,4.739446342,0.0,0.0,0.0,1.448612149,4.739446342,0.0,28.43743734,0.0,25.143098659,0.0,0.0,4.345889776,0.0,7.636711905,0.0,0.0,4.739446342,9.478521287,1.448612149,0.0,0.0,0.0,4.739446342,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,9.478521287,0.0,0.0,37.91347363,1.448612149,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,14.21948651,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,1.448612149,4.739446342,0.0,13.824411063,0.026504350000000003,0.002922097,0.025257606,0.122787919,0.0,0.0,0.842934924,0.223855094,0.0,0.0,0.040411155,0.0,1.6347868669999999,0.0,0.102216733,0.0,0.266748816,0.095721037,0.0,0.0,1.0,1.0,[4]
5x5,2.032145239,0.677374359,1.354778164,4.872841831000001,0.0,2.032145239,2.032145239,0.677374359,0.0,0.0,0.677374359,1.354778164,0.0,0.677374359,0.0,6.096431255,16.781359328,0.677374359,1.354778164,0.677374359,3.386922882,16.911514011,0.0,0.0,0.0,0.0,0.0,8.390978382,0.677374359,2.840696592,0.0,1.354778164,6.35881324,2.709539501,0.0,0.0,2.032145239,3.518070951,0.0,0.677374359,0.677374359,5.681438881,0.677374359,0.677374359,2.840696592,19.64429232,2.840696592,6.35881324,3.518070951,97.94358316399999,2.840696592,0.677374359,0.0,8.25973538,3.518070951,0.677374359,5.5502360930000005,5.419038788,0.0,0.677374359,0.677374359,10.16092012,11.36232054,5.5502360930000005,3.518070951,0.0,4.06430671,0.0,0.0,1.354778164,1.354778164,35.989486617,0.0,0.0,11.100477669,0.0,0.0,8.80595735,1.354778164,9.199633581,0.0,2.840696592,2.840696592,0.677374359,0.0,0.0,0.0,1.354778164,0.0,0.677374359,1.354778164,13.394465779,0.0,12.039694899,3.386922882,8.522259222,0.0,0.677374359,5.681438881,0.677374359,1.354778164,1.354778164,2.840696592,45.512386742000004,0.0,0.0,2.840696592,0.0,4.06430671,9.877037386000001,0.0,1.354778164,4.06430671,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,0.0,0.0,0.0,0.0,4.195474756,0.0,19.88334196,0.0,0.677374359,0.0,0.0,3.518070951,2.840696592,0.0,0.677374359,0.0,0.08281185,0.0,0.0,0.020722058,0.0,0.0,0.052046655,0.0,0.0,0.0,0.0,0.014365337,0.0,0.0,0.0,0.006830122,0.325931705,0.246967114,0.0,0.223626855,1.0,1.0,[0]
6x6,2.032145239,0.677374359,1.354778164,2.032145239,0.0,3.8797518990000004,2.648028567,2.524981019,0.0,0.0,1.293257687,1.354778164,0.615883328,0.677374359,0.615883328,6.096431255,6.650811689,0.677374359,1.354778164,0.677374359,3.386922882,3.325422829,1.231772901,0.615883328,0.0,0.0,1.231772901,2.709539501,0.677374359,0.0,0.615883328,1.354778164,3.1409127029999997,3.325422829,0.0,0.0,2.648028567,0.677374359,0.0,1.293257687,21.002912539,0.0,3.1409127029999997,1.9091472600000001,0.0,20.876065221,1.231772901,1.293257687,0.677374359,1.354778164,0.0,1.9091472600000001,0.0,5.419038788,0.677374359,17.920531539000002,2.709539501,5.419038788,0.0,0.677374359,0.677374359,15.087989351000001,0.615883328,3.325422829,0.677374359,1.231772901,4.06430671,0.615883328,0.0,1.354778164,11.825744364,42.307285217,0.0,0.0,7.882577132,0.0,1.231772901,29.13149553,2.586551065,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,4.311167523,5.050041988,6.158796218,0.677374359,1.354778164,2.032145239,0.0,1.9091472600000001,4.618695783,0.0,0.0,1.9091472600000001,0.0,0.677374359,1.354778164,1.354778164,0.0,44.51929681,0.0,0.615883328,0.0,0.0,5.911913370000001,78.337789214,0.0,1.354778164,26.23825321,1.354778164,1.354778164,0.0,0.0,0.0,22.293635247999998,1.84760666,0.0,5.542895741,0.0,1.970661492,0.0,0.0,0.615883328,1.9091472600000001,0.0,0.0,1.9091472600000001,0.0,0.0,0.677374359,10.4709662,0.08281185,0.058490586,0.032288288,0.046342824,0.0,0.036217685,5.365463028,0.0,0.0,0.0,0.019394063,0.0,0.016035073,0.0,0.075905184,0.00685771,0.052839087,0.246967114,0.013587393,0.0,1.0,1.0,[1]
7x7,2.032145239,0.677374359,1.354778164,2.032145239,0.0,2.032145239,2.032145239,0.677374359,0.0,0.0,0.677374359,1.354778164,0.0,0.677374359,0.0,6.096431255,5.419038788,0.677374359,1.354778164,0.677374359,3.386922882,2.709539501,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,2.709539501,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,17.632977589000003,0.0,0.677374359,0.677374359,0.0,19.64429232,0.0,0.677374359,0.677374359,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,17.632977589000003,2.709539501,5.419038788,0.0,0.677374359,0.677374359,10.16092012,2.825780066,2.709539501,0.677374359,0.0,4.06430671,0.0,0.0,1.354778164,4.18055823,44.301885227,0.0,0.0,5.419038788,0.0,0.0,11.631737416,1.354778164,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,5.651659355,0.677374359,1.354778164,2.032145239,0.0,3.503154425,3.386922882,0.0,0.0,3.503154425,0.0,0.677374359,1.354778164,1.354778164,0.0,42.67169015,0.0,0.0,0.0,0.0,4.06430671,117.22395896399999,0.0,1.354778164,23.84691251,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,0.0,0.0,2.825780066,0.0,1.354778164,2.825780066,0.0,0.0,0.677374359,0.0,0.0,6.3290337139999995,0.0,0.0,0.677374359,2.825780066,0.08281185,0.089065499,0.025134855,0.038018276,0.0,0.023764345,4.851268133,0.0,0.0,0.0,0.046554863,0.0,0.0,0.0,0.058003246,0.066026498,0.052839087,0.246967114,0.028527718,0.0,1.0,1.0,[2]
8x8,2.032145239,0.677374359,4.222453402,2.032145239,0.0,3.465973894,3.465973894,1.3942941229999999,0.0,0.0,0.677374359,1.354778164,0.0,0.677374359,0.0,6.813351019,9.00362348,1.3942941229999999,2.071697928,1.3942941229999999,4.103842646,4.143368156,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,1.3942941229999999,2.709539501,0.0,1.433828655,2.032145239,0.677374359,0.0,0.677374359,7.129668704,0.0,0.677374359,4.978889426,0.0,19.64429232,0.0,1.3942941229999999,1.3942941229999999,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,12.866013939,2.709539501,6.135958552,0.0,1.3942941229999999,0.677374359,10.877839884,0.716919764,2.709539501,0.677374359,0.0,4.06430671,0.0,0.0,1.354778164,15.693882444000002,27.685875157,0.0,0.716919764,8.286714026,0.716919764,0.716919764,8.80595735,2.071697928,2.828168288,0.0,0.0,0.0,0.677374359,0.0,0.0,3.584584692,4.939362856,10.7543874,1.3942941229999999,1.354778164,2.032145239,0.0,1.3942941229999999,3.386922882,0.0,0.0,0.677374359,0.0,2.111203014,1.354778164,1.354778164,0.0,43.388609914,0.0,0.0,0.0,0.0,4.06430671,142.587656864,0.0,1.354778164,4.781226474,1.354778164,1.354778164,0.716919764,0.716919764,0.0,22.394671684,3.584584692,0.0,10.7543874,0.716919764,1.354778164,0.0,1.433828655,0.716919764,0.677374359,0.716919764,0.0,0.677374359,0.0,0.0,0.677374359,0.0,0.08281185,0.02629686,0.033715433,0.045692516,0.0,0.039747776,4.400699333,0.0,0.0,0.002651482,0.016789845,0.0,0.0,0.00462805,0.0,0.026313402,0.086149962,0.246967114,0.028989635,0.0,1.0,1.0,[3]
9x9,2.032145239,0.677374359,1.354778164,2.032145239,0.0,2.032145239,16.251631748999998,0.677374359,0.0,0.0,0.677374359,1.354778164,0.0,0.677374359,0.0,6.096431255,10.158485129999999,0.677374359,1.354778164,0.677374359,3.386922882,2.709539501,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,4.739446342,1.354778164,0.677374359,2.709539501,0.0,0.0,2.032145239,14.896860869,0.0,0.677374359,38.590847989,0.0,5.416820701,0.677374359,0.0,24.383738662000003,0.0,0.677374359,0.677374359,10.833299451,0.0,0.677374359,0.0,19.638525297999998,0.677374359,19.634592299,7.448985843,14.897560075,0.0,0.677374359,0.677374359,10.16092012,0.0,7.448985843,0.677374359,0.0,4.06430671,0.0,0.0,1.354778164,6.094224506,4.741693427,0.0,0.0,5.419038788,0.0,0.0,41.98028666,1.354778164,5.416820701,0.0,0.0,0.0,0.677374359,4.739446342,0.0,28.43743734,1.354778164,23.69448651,0.677374359,1.354778164,2.032145239,0.0,5.416820701,3.386922882,0.0,4.739446342,10.155895646,0.0,0.677374359,1.354778164,1.354778164,4.739446342,42.67169015,0.0,0.0,0.0,0.0,4.06430671,10.833299451,0.0,1.354778164,41.977780339999995,1.354778164,6.094224506,0.0,0.0,0.0,21.67775192,0.0,0.0,14.21948651,0.0,1.354778164,0.0,4.739446342,0.0,0.677374359,0.0,0.0,0.677374359,0.0,4.739446342,0.677374359,9.478521287,0.101114327,0.002922097,0.0,0.084576025,0.0,0.0,0.842934924,0.223855094,0.0,0.0,0.040411155,0.0,1.447597495,0.0,0.102216733,0.0,0.10058988399999999,0.342688151,0.0,0.0,1.0,1.0,[4]
