coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ependymal,Endothelial2
0x0,0.690985953,7.744569908,14.16701094,3.109509606,0.34548853,21.707584989,8.43556143,14.106599972,0.0,0.0,17.216097118,0.0,8.292017092,0.0,0.0,0.0,3.454920928,0.690985953,0.0,20.468292912,6.362579546,8.090049657,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,3.800428439,19.980045327,0.0,0.0,6.708068076,0.0,0.0,0.0,0.690985953,0.0,1.381990362,0.34548853,0.0,5.182441277,0.0,0.0,1.727470111,11.05591008,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,1.381990362,12.72460961,0.0,0.0,12.7847851,1.381990362,0.34548853,0.0,0.34548853,1.0364793,0.34548853,0.0,1.381990362,13.76108891,4.146002585,0.0,0.0,129.93586345,6.909881914,0.0,12.581462495,1.381990362,0.0,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,0.0,1.0364793,0.690985953,0.0,0.690985953,1.0364793,3.454920928,0.690985953,13.474381,0.0,21.504758595,2.418456045,7.744569908,0.0,0.0,0.690985953,40.77341687,3.109509606,6.708068076,0.0,0.690985953,7.399058846,7.399058846,0.34548853,0.34548853,1.381990362,0.34548853,0.0,0.0,0.34548853,0.690985953,14.50957867,2.072981884,4.491487508,9.126582885,0.34548853,0.34548853,0.690985953,0.690985953,1.0364793,0.690985953,1.0364793,2.072981884,7.053565499,0.34548853,0.0,0.0,9.472089152,0.0,0.127919227,0.013269103,0.063547807,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.028340641,0.0,1.7223775510000001,0.0,0.0722153,0.0,0.026721445999999996,0.0,0.034115386,0.0,1.0,1.0
1x1,0.0,8.962393035,1.299905543,0.0,0.0,14.024515153,7.6624850890000005,14.024515153,0.0,0.0,20.524150222,0.0,10.39987266,1.299905543,0.0,0.0,1.299905543,1.299905543,0.0,24.285992917999998,7.6624850890000005,7.6624850890000005,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,0.0,0.0,0.0,12.72460961,0.0,0.0,6.362579546,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,0.0,0.0,0.0,0.0,1.299905543,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,0.0,14.024515153,0.0,0.0,3.899818578,1.299905543,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,19.224242413,2.599813489,0.0,0.0,113.36885826800001,0.0,0.0,6.362579546,1.299905543,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.09309425,0.0,20.386208093,2.599813489,6.362579546,0.0,0.0,0.0,22.0993628,2.599813489,6.362579546,0.0,0.0,6.362579546,6.362579546,0.0,2.599813489,15.59969085,0.0,0.0,0.0,0.0,0.0,0.0,1.299905543,0.0,7.6624850890000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199690368,7.6624850890000005,0.0,0.0,0.0,6.362579546,0.0,0.171958895,0.005541733,0.042797545,0.0,0.17705830099999997,0.0,1.747213379,0.0,0.0,0.028340641,0.0,2.10824157,0.0,0.0722153,0.0,0.007938421,0.0,0.034115386,0.0,1.0,1.0
2x2,0.0,10.245841254,2.588888782,2.588888782,0.0,12.72460961,10.245841254,15.313498392,1.294457406,0.0,15.313498392,0.0,15.53484012,0.0,0.0,0.0,1.294457406,0.0,1.294457406,29.44163883,6.362579546,6.362579546,0.0,0.0,0.0,0.0,0.0,1.294457406,0.0,0.0,0.0,0.0,0.0,12.72460961,0.0,0.0,6.362579546,2.588888782,0.0,0.0,0.0,0.0,11.65027597,0.0,0.0,1.294457406,0.0,2.588888782,1.294457406,9.060046775,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,7.766575956,12.72460961,0.0,0.0,15.53484012,0.0,2.588888782,0.0,0.0,3.883261708,0.0,0.0,2.588888782,15.313498392,2.588888782,0.0,0.0,114.641393921,29.77513736,0.0,7.657036952,0.0,0.0,0.0,2.588888782,1.294457406,0.0,0.0,0.0,1.294457406,2.588888782,0.0,0.0,0.0,0.0,0.0,2.588888782,1.294457406,38.82905479,3.883261708,21.675191332,0.0,7.657036952,3.883261708,0.0,0.0,62.13933449,0.0,6.362579546,0.0,1.294457406,6.362579546,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.834805567,0.0,0.0,0.0,3.883261708,1.294457406,0.0,1.294457406,2.588888782,6.362579546,0.0,0.0,0.0,11.540324861,0.0,0.153540452,0.0,0.075333063,0.0,0.16482972599999998,0.0,1.767941842,0.0,0.0,0.028340641,0.0,2.4061244840000002,0.0,0.0722153,0.0,0.007938421,0.0,0.034115386,0.0,1.0,1.0
3x3,0.0,6.362579546,0.841280696,2.523870987,0.0,15.248480597,8.886450533,13.565890306,0.0,0.0,16.089767932,0.0,21.03433764,0.0,0.0,0.841280696,1.682563431,0.841280696,0.0,19.927583245999998,6.362579546,6.362579546,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.0,0.0,2.523870987,15.248480597,0.0,0.0,6.362579546,0.841280696,0.0,0.0,0.0,0.0,3.365158322,0.0,0.0,0.0,0.841280696,0.0,0.0,0.841280696,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,2.523870987,12.72460961,0.0,0.0,6.730187,0.841280696,0.0,0.0,0.841280696,0.0,0.0,0.0,0.0,15.248480597,3.365158322,0.0,0.841280696,119.1063,0.841280696,0.0,8.886450533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.841280696,0.0,0.841280696,0.0,37.8597498,0.0,27.499127885999997,0.841280696,6.362579546,0.0,0.0,0.0,15.14358557,3.365158322,6.362579546,0.0,0.841280696,7.203860242,8.886450533,0.841280696,0.841280696,2.523870987,0.0,0.841280696,0.0,0.0,0.0,1.682563431,0.0,0.841280696,6.362579546,0.0,0.0,0.0,0.0,0.0,0.841280696,1.682563431,0.0,6.362579546,0.841280696,0.0,0.0,7.203860242,0.0,0.161456159,0.037253717,0.094861157,0.0,0.196081484,0.0,1.785464109,0.0,0.0,0.028340641,0.0,2.495538609,0.0,0.0722153,0.0,0.007938421,0.0,0.043278574,0.0,1.0,1.0
4x4,0.628845904,8.24913563,4.401943034,3.144288684,0.0,18.384238060999998,6.99142545,13.982329193,0.0,0.0,15.240052119,0.0,18.86552285,0.628845904,0.0,0.0,1.257719583,0.628845904,0.628845904,20.972858633999998,6.362579546,10.764522580000001,0.628845904,0.0,0.0,0.628845904,0.0,0.0,3.144288684,0.0,0.0,0.0,1.886556084,19.013140521,0.0,0.628845904,8.24913563,0.0,0.0,1.257719583,0.628845904,0.628845904,0.628845904,0.0,0.0,22.63741608,0.628845904,0.628845904,0.628845904,6.917352842,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,4.401943034,12.72460961,0.0,1.257719583,10.06114282,2.515442509,3.773094139,0.0,0.0,2.515442509,0.0,0.0,6.288530911,17.755480068,0.0,0.0,0.0,127.03469075000001,28.9295371,1.257719583,15.166504992,0.628845904,0.628845904,0.0,5.659628451,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.0,0.628845904,0.628845904,2.515442509,0.0,1.257719583,1.257719583,12.57688064,1.886556084,24.117173007999998,0.0,8.24913563,1.257719583,0.0,0.0,84.90135215,8.803925446,6.362579546,0.628845904,0.0,6.99142545,7.620299129,0.628845904,0.628845904,1.886556084,0.628845904,0.0,0.0,0.0,0.628845904,3.773094139,2.515442509,1.257719583,7.620299129,0.0,0.0,0.0,0.0,0.628845904,0.0,0.628845904,3.773094139,6.362579546,1.257719583,0.0,0.0,8.878022055,0.0,0.147734003,0.0,0.091356853,0.0,0.144848449,0.0,1.660542193,0.0,0.0,0.028340641,0.0,2.1591348420000003,0.0,0.10082827899999999,0.009018433,0.007938421,0.0,0.034115386,0.0,1.0,1.0
5x5,0.9658973399999999,1.794365292,17.053522824,4.071694826,1.582560725,35.921276889,3.310054079,2.206726193,0.0,0.41237493,9.714776946,0.137454413,8.292017092,0.137454413,0.137454413,0.41237493,6.4789397179999995,1.928058148,7.422480225,2.206726193,29.82478102,5.438761871,0.41237493,0.6203999170000001,0.89530403,2.414722299,0.41237493,3.796761794,2.957091488,0.482942943,1.5862948000000001,0.137454413,5.31243055,7.6678106470000005,0.0,0.137454413,6.530872818,1.237072195,0.41237493,0.5498155,0.9658973399999999,0.137454413,1.519444775,0.75786346,0.274911387,6.831917338999999,0.687252188,0.137454413,1.727470111,12.705386142,0.0,0.274911387,0.0,2.6822103399999997,2.061822428,0.137454413,1.103360883,3.30634474,0.824735831,1.512002111,0.0,20.482196233,6.192844847,3.232000414,0.0,0.34548853,1.44885423,0.75786346,0.0,1.656901749,7.084383626,7.444928888,0.41237493,0.687252188,78.95021665,6.909881914,0.5498155,10.067635264,1.656901749,0.0,0.34548853,3.86361995,3.71129176,1.0364793,0.89530403,0.41237493,1.653171173,0.5498155,1.0364793,1.103360883,0.137454413,1.653171173,1.0364793,5.516743356,1.240801453,13.474381,0.5498155,5.992285848,2.9682715450000003,4.406009152,0.137454413,0.137454413,1.378238141,40.910871283,6.408435909,0.34548853,0.0,0.690985953,1.0364793,3.5106407740000005,0.75786346,0.6203999170000001,2.481606973,0.89530403,0.41237493,0.137454413,0.482942943,1.240801453,15.609195281,7.846121065,8.340239823,6.200396223,0.34548853,0.75786346,0.690985953,1.790602564,1.8612151310000002,0.690985953,1.311390687,4.272245301,4.264815756,2.819650004,0.137454413,0.274911387,10.669435404,0.0,0.143215226,0.036646923,0.07909218600000001,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.018011772,0.0,1.860641374,0.0,0.084820791,0.0,0.018783025,0.0,0.034255883,0.0,1.0,1.0
6x6,0.274911387,3.012188419,4.186417427,0.96218522,1.237072195,28.238207053,2.536977738,2.124641374,0.0,0.41237493,13.02283005,0.137454413,10.39987266,1.4373599559999999,0.137454413,0.41237493,4.323924333,2.536977738,7.422480225,6.024426199,31.124686563,5.011197302999999,0.41237493,0.274911387,0.5498155,0.687252188,1.7122804729999999,0.687252188,7.8112933259999995,0.137454413,0.5498155,0.137454413,1.512002111,0.41237493,0.0,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,0.274911387,0.137454413,2.737267902,0.41237493,0.274911387,1.649476062,0.687252188,0.137454413,0.0,2.949381605,0.0,0.274911387,0.0,7.536412177999999,2.061822428,0.137454413,1.7122804729999999,1.924354378,2.124641374,1.512002111,0.0,11.597229711,6.110760028,2.886511884,0.0,0.0,0.41237493,3.012188419,0.0,0.274911387,12.547537129,5.898739792000001,0.41237493,0.687252188,62.383211468,0.0,0.5498155,3.848752315,1.57481693,1.299905543,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,3.561998709,0.5498155,0.0,0.41237493,0.137454413,0.96218522,0.0,2.061822428,0.5498155,74.09309425,0.5498155,4.873735346,3.149628989,3.02401879,0.137454413,0.137454413,0.687252188,22.236817213000002,5.898739792000001,0.0,0.0,0.0,0.0,2.474161474,0.41237493,2.874724876,16.699307461,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,1.099616611,7.073044724000001,3.848752315,4.7362984269999995,0.0,0.41237493,0.0,1.099616611,0.824735831,0.0,0.274911387,7.398953785,4.873735346,2.474161474,0.137454413,0.274911387,7.559925798,0.0,0.187254894,0.028919553,0.058341924,0.0,0.17045550399999998,0.0,1.492744135,0.0,0.0,0.018011772,0.0,2.246505393,0.0,0.084820791,0.0,0.0,0.0,0.034255883,0.0,1.0,1.0
7x7,0.274911387,4.295636638,5.4754006660000005,3.551074002,1.237072195,26.93830151,5.120333903000001,3.413624613,1.294457406,0.41237493,7.81217822,0.137454413,15.53484012,0.137454413,0.137454413,0.41237493,4.318476196,1.237072195,8.716937631,11.180072111,29.82478102,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,1.981709594,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,0.41237493,0.0,0.137454413,6.185384288,3.8259609770000003,0.41237493,0.5498155,0.274911387,0.137454413,11.787730383,0.41237493,0.274911387,2.943933468,0.687252188,2.726343195,1.294457406,10.709522837,0.0,1.569368793,1.294457406,3.6311792159999996,2.061822428,0.137454413,0.41237493,9.690930333999999,0.824735831,1.512002111,0.0,23.232251253,4.810854485,5.4754006660000005,0.0,0.0,4.295636638,0.41237493,0.0,2.863800169,8.636793108,5.887815085,0.41237493,0.687252188,63.655747121,29.77513736,0.5498155,5.143209721,0.274911387,0.0,0.0,3.6885053930000002,5.005749166,0.0,0.5498155,0.41237493,2.256642626,3.138704282,0.0,0.41237493,0.137454413,0.96218522,0.0,4.650711210000001,1.844272906,38.82905479,4.433077208,6.162718585,0.5498155,4.318476196,4.020716121,0.137454413,0.687252188,62.276788903,3.298926303,0.0,0.0,1.294457406,0.0,2.474161474,0.41237493,0.274911387,1.099616611,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,1.099616611,5.773139181,3.848752315,9.908618905,0.0,0.41237493,0.0,4.982878319,2.119193237,0.0,1.569368793,4.788152199000001,3.573829803,2.474161474,0.137454413,0.274911387,12.737671113000001,0.0,0.168836451,0.02337782,0.090877442,0.0,0.158226929,0.0,1.513472598,0.0,0.0,0.018011772,0.0,2.544388307,0.0,0.084820791,0.0,0.0,0.0,0.034255883,0.0,1.0,1.0
8x8,0.274911387,0.41237493,3.72779258,3.486056207,1.237072195,29.462172496999997,3.760943182,1.666016527,0.0,0.41237493,8.588447760000001,0.137454413,21.03433764,0.137454413,0.137454413,1.253655626,4.706582221,2.078352891,7.422480225,1.666016527,29.82478102,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,1.253655626,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,4.035873098,2.936245917,0.0,0.137454413,6.185384288,2.078352891,0.41237493,0.5498155,0.274911387,0.137454413,3.502612735,0.41237493,0.274911387,1.649476062,1.528532884,0.137454413,0.0,2.490756758,0.841280696,0.274911387,0.841280696,2.33672181,2.061822428,0.137454413,0.41237493,4.448225365,0.824735831,1.512002111,0.0,14.427598133,5.652135181,2.886511884,0.0,0.841280696,0.41237493,0.41237493,0.0,0.274911387,8.571775313,6.664084625,0.41237493,1.528532884,68.12065319999999,0.841280696,0.5498155,6.372623302,0.274911387,0.0,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,0.96218522,1.391096196,0.0,0.41237493,0.137454413,1.803465916,0.0,2.9031031240000003,0.5498155,37.8597498,0.5498155,11.986655139,1.391096196,3.02401879,0.137454413,0.137454413,0.687252188,15.281039983000001,6.664084625,0.0,0.0,0.841280696,0.841280696,4.998032461,1.253655626,1.116192083,3.623487598,0.5498155,1.253655626,0.137454413,0.137454413,0.5498155,2.7821800420000002,5.773139181,4.690033011,3.436392884,0.0,0.41237493,0.0,1.099616611,0.824735831,0.841280696,1.957474818,2.199263417,3.573829803,3.3154421700000003,0.137454413,0.274911387,8.401206494,0.0,0.176752158,0.060631537,0.110405536,0.0,0.189478687,0.0,1.530994865,0.0,0.0,0.018011772,0.0,2.633802432,0.0,0.084820791,0.0,0.0,0.0,0.043419071000000004,0.0,1.0,1.0
9x9,0.903757291,2.298931014,7.288454918,4.1064739040000005,1.237072195,32.597929961,1.865918099,2.082455414,0.0,0.41237493,7.738731947,0.137454413,18.86552285,0.766300317,0.137454413,0.41237493,4.281738373,1.865918099,8.051326129,2.711291915,29.82478102,8.113234794,1.041220834,0.274911387,0.5498155,1.3160980919999998,0.41237493,0.687252188,5.755891642,0.137454413,0.5498155,0.137454413,3.3985581949999997,6.700905841,0.0,0.766300317,8.071940372,1.237072195,0.41237493,1.807535083,0.903757291,0.766300317,0.766300317,0.41237493,0.274911387,24.286892142000003,1.3160980919999998,0.766300317,0.628845904,8.566828904,0.0,0.274911387,0.0,4.223277894,2.061822428,0.766300317,0.41237493,6.326297412000001,0.824735831,1.512002111,1.257719583,17.758553953,7.326296994,6.659606023,0.0,0.0,2.927817439,0.41237493,0.0,6.563442298,11.078774784,3.298926303,0.41237493,0.687252188,76.04904395,28.9295371,1.807535083,12.652677761,0.903757291,0.628845904,0.0,6.759245062,4.969011343,0.0,0.5498155,0.41237493,0.96218522,1.178661404,0.0,1.041220834,0.766300317,3.477627729,0.0,3.3195420110000002,1.807535083,12.57688064,2.4363715839999998,8.604700261,0.5498155,4.910574874,1.395173996,0.137454413,0.687252188,85.038806563,12.102851749,0.0,0.628845904,0.0,0.628845904,3.7318810570000003,1.041220834,0.903757291,2.986172695,1.178661404,0.41237493,0.137454413,0.137454413,1.178661404,4.8727107499999995,8.288581690000001,5.106471898000001,4.694112467,0.0,0.41237493,0.0,1.099616611,1.453581735,0.0,0.903757291,5.972357556,3.573829803,3.7318810570000003,0.137454413,0.274911387,10.075368307,0.0,0.163030002,0.02337782,0.10690123200000001,0.0,0.138245652,0.0,1.406072949,0.0,0.0,0.018011772,0.0,2.2973986650000002,0.0,0.11343377,0.009018433,0.0,0.0,0.034255883,0.0,1.0,1.0
