coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ependymal,ODMature3,Ependymalcells
0x0,0.0,6.362579546,0.0,0.0,1.781762191,12.72460961,6.362579546,12.72460961,0.0,0.0,14.506371801,1.781762191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08630255,6.362579546,8.144341737,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,3.563415361,12.72460961,0.0,0.0,6.362579546,0.0,0.0,0.0,33.84977672,0.0,0.0,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,0.0,12.72460961,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,19.851604749,1.781762191,0.0,0.0,109.950930091,0.0,0.0,40.212356266,0.0,1.781762191,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,3.563415361,7.126995139,0.0,0.0,1.781762191,0.0,3.563415361,3.563415361,7.126995139,0.0,19.08630255,1.781762191,6.362579546,0.0,0.0,1.781762191,0.0,0.0,6.362579546,0.0,0.0,6.362579546,9.925994907,0.0,1.781762191,99.78595144,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,11.707701884,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,6.362579546,0.0,0.0,0.0,65.16241651600001,0.0,0.217950605,0.020996375,0.075214195,0.0,0.207204265,2.199779119,1.774073941,0.0,0.0,0.06977043899999999,0.0,2.164518776,0.0,0.181275193,0.004172908,0.021007127,0.0,0.041741930999999996,0.0,1.0,1.0,[0]
1x1,0.0,6.362579546,0.0,1.307597182,0.0,14.686029575,7.01640625,13.378436314,0.653826704,0.0,13.378436314,0.653826704,0.653826704,0.0,0.0,1.307597182,4.576606492,0.653826704,0.653826704,20.393899731999998,7.01640625,8.323999511,0.0,1.961419965,0.653826704,0.0,0.0,3.269037797,0.0,0.0,0.0,0.0,7.192001063,12.72460961,0.0,0.0,6.362579546,0.653826704,0.0,0.0,22.8836116,0.0,0.653826704,0.653826704,0.0,0.0,0.0,0.653826704,2.615263862,0.0,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,4.576606492,12.72460961,0.0,0.653826704,3.922888507,1.961419965,0.0,0.0,0.653826704,0.0,0.653826704,0.0,0.0,15.993647407000001,2.615263862,0.653826704,0.0,109.476765082,0.653826704,0.0,29.898366956,0.653826704,0.653826704,0.0,4.576606492,0.0,0.0,0.653826704,0.0,1.307597182,0.0,9.806871811,1.307597182,0.0,2.615263862,0.0,2.615263862,1.307597182,0.0,0.653826704,30.85363009,0.0,6.362579546,0.0,0.0,1.307597182,0.653826704,0.0,6.362579546,0.0,0.653826704,13.554580609,13.554580609,1.307597182,0.653826704,33.9945167,0.0,1.961419965,0.0,0.0,0.0,0.0,0.653826704,0.0,13.554580609,0.0,0.0,0.0,1.961419965,0.653826704,2.615263862,1.307597182,0.0,7.670176728,0.0,2.615263862,0.0,44.935672935999996,0.014628133,0.164872054,0.0,0.058438722,0.0,0.178425838,1.553289152,1.657048508,0.0,0.0,0.043613789,0.0,2.106857753,0.0,0.15585523099999998,0.0,0.007938421,0.0,0.034115386,0.014299006,1.0,1.0,[1]
2x2,0.0,6.362579546,8.205343522,5.470234187,0.0,15.459690399,6.362579546,15.459690399,0.0,8.205343522,12.72460961,2.735080789,0.0,0.0,0.0,0.0,0.0,5.470234187,0.0,19.08630255,6.362579546,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.194843797,0.0,0.0,6.362579546,0.0,0.0,0.0,21.88231712,2.735080789,2.735080789,0.0,0.0,0.0,0.0,0.0,5.470234187,10.93988104,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,2.735080789,12.72460961,0.0,0.0,8.205343522,0.0,8.205343522,0.0,2.735080789,0.0,2.735080789,0.0,2.735080789,20.929953132,0.0,0.0,0.0,121.84490759,0.0,0.0,44.654205406,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,2.735080789,0.0,2.735080789,2.735080789,0.0,0.0,0.0,0.0,13.67573969,0.0,0.0,0.0,19.08630255,0.0,6.362579546,0.0,0.0,0.0,0.0,2.735080789,6.362579546,0.0,0.0,6.362579546,9.097660335,0.0,0.0,76.58897239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.735080789,14.567923067999999,0.0,0.0,0.0,10.93988104,0.0,0.0,0.0,0.0,6.362579546,2.735080789,0.0,0.0,33.715643666,0.0,0.138117217,0.0,0.075623159,0.0,0.17388073299999998,1.348172513,1.812047967,0.091746982,0.0,0.046163734,0.0,2.802966724,0.0,0.0722153,0.0,0.007938421,0.0,0.034115386,0.0,1.0,1.0,[2]
3x3,0.0,8.446903594,0.0,0.0,0.0,12.72460961,6.362579546,16.89317482,0.0,0.0,14.808933658,0.0,0.0,0.0,2.084324048,0.0,2.084324048,0.0,0.0,21.170626598,8.446903594,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.808933658,0.0,0.0,6.362579546,0.0,0.0,0.0,10.42089135,0.0,0.0,2.084324048,0.0,0.0,2.084324048,2.084324048,0.0,12.50516828,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,2.084324048,12.72460961,0.0,0.0,2.084324048,2.084324048,0.0,2.084324048,0.0,0.0,0.0,0.0,0.0,25.22977789,0.0,0.0,0.0,108.1691679,0.0,0.0,29.290226936,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.252871783,0.0,4.16856521,0.0,0.0,0.0,0.0,4.16856521,0.0,0.0,2.084324048,19.08630255,0.0,6.362579546,2.084324048,0.0,0.0,0.0,0.0,6.362579546,0.0,0.0,6.362579546,8.446903594,0.0,0.0,83.37232172,0.0,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,8.446903594,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,4.16856521,6.362579546,2.084324048,0.0,0.0,31.376152116,0.0,0.127919227,0.0,0.06407489499999999,0.0,0.144848449,0.867583378,1.628028072,0.0,0.0,0.028340641,0.0,2.210404125,0.093054962,0.091289015,0.004065165,0.007938421,0.0,0.034115386,0.0,1.0,1.0,[3]
4x4,0.0,6.362579546,1.24099042,1.24099042,0.0,12.72460961,7.603569966,16.447523202,2.481929712,0.0,13.96560003,0.0,0.0,0.0,1.24099042,2.481929712,4.963895155,0.0,0.0,19.08630255,10.085493138,6.362579546,0.0,0.0,0.0,2.481929712,0.0,2.481929712,0.0,0.0,0.0,1.24099042,4.963895155,13.96560003,0.0,0.0,6.362579546,6.204767988,1.24099042,0.0,31.02580095,1.24099042,2.481929712,1.24099042,0.0,0.0,0.0,0.0,2.481929712,4.963895155,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,6.204767988,12.72460961,0.0,0.0,2.481929712,2.481929712,13.65210425,0.0,1.24099042,0.0,0.0,0.0,0.0,16.447523202,1.24099042,0.0,0.0,114.373935888,0.0,0.0,47.319151776,1.24099042,7.44578458,0.0,0.0,0.0,0.0,0.0,1.24099042,2.481929712,1.24099042,7.44578458,1.24099042,0.0,1.24099042,0.0,11.16746204,0.0,0.0,0.0,22.809216142,1.24099042,8.844509258,1.24099042,0.0,0.0,0.0,0.0,6.362579546,0.0,0.0,6.362579546,13.808364126,0.0,0.0,65.77286335,0.0,1.24099042,1.24099042,0.0,0.0,0.0,0.0,0.0,23.736422496,0.0,0.0,0.0,3.722913592,1.24099042,0.0,0.0,0.0,7.603569966,1.24099042,0.0,0.0,37.388380496,0.0,0.155438555,0.022148275,0.067507605,0.0,0.16896409199999998,2.080704195,1.628028072,0.000573232,0.0,0.040569931000000004,0.0,1.6042878100000002,0.0,0.08366222899999999,0.018213381,0.007938421,0.041091738,0.054717586,0.013707828,1.0,1.0,[4]
5x5,0.274911387,0.41237493,2.886511884,0.96218522,3.018834386,26.93830151,1.237072195,0.824735831,0.0,0.41237493,7.0050516290000004,1.919216604,0.0,0.137454413,0.137454413,0.41237493,3.02401879,1.237072195,7.422480225,0.824735831,29.82478102,5.493053951,0.41237493,0.274911387,0.5498155,0.687252188,2.1941371210000002,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,5.075417472,0.41237493,0.0,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,34.124688107000004,0.137454413,0.137454413,0.41237493,0.274911387,1.649476062,0.687252188,1.919216604,0.0,1.649476062,0.0,2.0566735780000003,0.0,2.33672181,2.061822428,51.811903243,0.41237493,1.924354378,0.824735831,1.512002111,0.0,9.479173324,4.810854485,2.886511884,0.0,1.781762191,0.41237493,0.41237493,0.0,0.274911387,13.174899465,5.080688494,0.41237493,0.687252188,58.965283291,0.0,0.5498155,37.698529035,0.274911387,1.781762191,0.0,1.099616611,5.493053951,0.0,0.5498155,0.41237493,2.743947411,4.113230861,7.126995139,0.41237493,0.137454413,2.743947411,0.0,5.625237789,4.113230861,7.126995139,0.5498155,3.573829803,2.331577691,3.02401879,0.137454413,0.137454413,2.469014379,0.137454413,3.298926303,0.0,0.0,0.0,0.0,6.037576835,0.41237493,2.0566735780000003,100.885568051,0.5498155,0.41237493,0.137454413,0.137454413,2.331577691,1.099616611,5.773139181,3.848752315,8.781515222,0.0,0.41237493,0.0,2.8813788020000004,0.824735831,0.0,0.274911387,3.9810256080000004,3.573829803,2.474161474,0.137454413,0.274911387,66.359762768,0.0,0.233246604,0.044374195000000005,0.09075857400000001,0.0,0.200601468,2.199779119,1.519604697,0.0,0.0,0.05944157,0.0,2.302782599,0.0,0.19388068400000003,0.004172908,0.013068706,0.0,0.041882428,0.0,1.0,1.0,[0]
6x6,0.274911387,0.41237493,2.886511884,2.269782402,1.237072195,28.899721475,1.8908988990000002,1.478562535,0.653826704,0.41237493,5.877116142,0.791281117,0.653826704,0.137454413,0.137454413,1.719972112,7.600625281999999,1.8908988990000002,8.076306929,2.132333013,30.478607724,5.672711725,0.41237493,2.236331352,1.2036422039999999,0.687252188,0.41237493,3.956289985,2.611602958,0.137454413,0.5498155,0.137454413,8.704003174,0.41237493,0.0,0.137454413,6.185384288,1.8908988990000002,0.41237493,0.5498155,23.158522986999998,0.137454413,0.791281117,1.066201634,0.274911387,1.649476062,0.687252188,0.791281117,2.615263862,1.649476062,0.0,0.274911387,0.0,2.33672181,2.061822428,26.940988353,0.41237493,6.50096087,0.824735831,1.512002111,0.653826704,11.62029964,6.77227445,2.886511884,0.0,0.653826704,0.41237493,1.066201634,0.0,0.274911387,9.316942123,5.914190165,1.066201634,0.687252188,58.491118282,0.653826704,0.5498155,27.384539725,0.928738091,0.653826704,0.0,5.676223103,3.71129176,0.0,1.2036422039999999,0.41237493,2.269782402,0.5498155,9.806871811,1.719972112,0.137454413,3.577449082,0.0,4.67708629,1.857412682,0.0,1.2036422039999999,15.341157343,0.5498155,3.02401879,0.137454413,0.137454413,1.99484937,0.791281117,3.298926303,0.0,0.0,0.653826704,7.192001063,9.666162537,1.719972112,0.928738091,35.094133311,0.5498155,2.373794895,0.137454413,0.137454413,0.5498155,1.099616611,6.426965885,3.848752315,10.628393947,0.0,0.41237493,0.0,3.0610365760000002,1.478562535,2.615263862,1.582508569,2.199263417,4.881426985,2.474161474,2.752718275,0.274911387,46.133019188,0.014628133,0.180168053,0.02337782,0.073983101,0.0,0.171823041,1.553289152,1.4025792639999999,0.0,0.0,0.033284919999999996,0.0,2.245121576,0.0,0.168460722,0.0,0.0,0.0,0.034255883,0.014299006,1.0,1.0,[1]
7x7,0.274911387,0.41237493,11.091855406,6.432419407,1.237072195,29.673382299,1.237072195,3.55981662,0.0,8.617718452,5.223289438,2.872535202,0.0,0.137454413,0.137454413,0.41237493,3.02401879,6.7073063820000005,7.422480225,0.824735831,29.82478102,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,5.882609117,0.0,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,22.157228507,2.872535202,2.872535202,0.41237493,0.274911387,1.649476062,0.687252188,0.137454413,5.470234187,12.589357102,0.0,3.009992176,0.0,5.071802599,2.061822428,35.696933573,0.41237493,4.659435167,0.824735831,1.512002111,0.0,15.902754654999999,4.810854485,11.091855406,0.0,2.735080789,0.41237493,3.147455719,0.0,3.009992176,14.253247848,3.298926303,0.41237493,0.687252188,70.85926079000001,0.0,0.5498155,42.140378175,0.274911387,0.0,0.0,1.099616611,6.4463725489999995,0.0,0.5498155,3.147455719,0.96218522,3.2848962889999997,2.735080789,0.41237493,0.137454413,0.96218522,0.0,15.737562118,0.5498155,0.0,0.5498155,3.573829803,0.5498155,3.02401879,0.137454413,0.137454413,0.687252188,0.137454413,6.0340070919999995,0.0,0.0,0.0,0.0,5.209242263,0.41237493,0.274911387,77.688589001,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,1.099616611,5.773139181,6.583833104,11.641736406,0.0,0.41237493,0.0,12.039497651,0.824735831,0.0,0.274911387,2.199263417,3.573829803,5.209242263,0.137454413,0.274911387,34.912989918,0.0,0.153413216,0.02337782,0.091167538,0.0,0.167277936,1.348172513,1.557578723,0.091746982,0.0,0.035834865,0.0,2.941230547,0.0,0.084820791,0.0,0.0,0.0,0.034255883,0.0,1.0,1.0,[2]
8x8,0.274911387,2.496698978,2.886511884,0.96218522,1.237072195,26.93830151,1.237072195,4.993301041,0.0,0.41237493,7.307613486,0.137454413,0.0,0.137454413,2.221778461,0.41237493,5.108342838,1.237072195,7.422480225,2.909059879,31.909105068,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,2.496698978,0.0,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,10.695802737,0.137454413,0.137454413,2.496698978,0.274911387,1.649476062,2.771576236,2.221778461,0.0,14.154644342,0.0,0.274911387,0.0,6.505287019999999,2.061822428,23.065101803,0.41237493,4.008678426,0.824735831,1.512002111,0.0,9.781735181,6.895178533,2.886511884,2.084324048,0.0,0.41237493,0.41237493,0.0,0.274911387,18.553072606,3.298926303,0.41237493,0.687252188,57.1835211,0.0,0.5498155,26.776399705,2.359235435,0.0,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,7.215057003,0.5498155,4.16856521,0.41237493,0.137454413,0.96218522,0.0,6.230387638,0.5498155,0.0,2.6341395480000003,3.573829803,0.5498155,3.02401879,2.221778461,0.137454413,0.687252188,0.137454413,3.298926303,0.0,0.0,0.0,0.0,4.558485522,0.41237493,0.274911387,84.471938331,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,3.183940659,5.773139181,3.848752315,5.520716932,0.0,0.41237493,0.0,1.099616611,2.909059879,0.0,0.274911387,6.367828627,3.573829803,4.558485522,0.137454413,0.274911387,32.573498368,0.0,0.143215226,0.02337782,0.079619274,0.0,0.138245652,0.867583378,1.373558828,0.0,0.0,0.018011772,0.0,2.348667948,0.093054962,0.10389450600000001,0.004065165,0.0,0.0,0.034255883,0.0,1.0,1.0,[3]
9x9,0.274911387,0.41237493,4.127502304,2.20317564,1.237072195,26.93830151,2.478062615,4.547649423,2.481929712,0.41237493,6.464279858,0.137454413,0.0,0.137454413,1.3784448329999999,2.894304642,7.987913945000001,1.237072195,7.422480225,0.824735831,33.547694612,3.71129176,0.41237493,0.274911387,0.5498155,3.1691819,0.41237493,3.1691819,2.611602958,0.137454413,0.5498155,1.3784448329999999,6.4758972660000005,1.6533653499999998,0.0,0.137454413,6.185384288,7.441840183,1.6533653499999998,0.5498155,31.300712337,1.3784448329999999,2.619384125,1.6533653499999998,0.274911387,1.649476062,0.687252188,0.137454413,2.481929712,6.613371217,0.0,0.274911387,0.0,3.5777122299999995,2.061822428,13.789558663000001,0.41237493,8.129122366,0.824735831,1.512002111,0.0,10.179340845,7.292784197,16.538616134,0.0,1.24099042,0.41237493,0.41237493,0.0,0.274911387,9.770817918,4.539916723,0.41237493,0.687252188,63.388289088,0.0,0.5498155,44.805324545,1.5159018069999999,7.44578458,0.0,1.099616611,3.71129176,0.0,0.5498155,1.6533653499999998,3.4441149319999997,1.79080592,7.44578458,1.6533653499999998,0.137454413,2.20317564,0.0,13.229284468,0.5498155,0.0,0.5498155,7.296743395,1.79080592,5.505948502,1.3784448329999999,0.137454413,0.687252188,0.137454413,3.298926303,0.0,0.0,0.0,0.0,9.919946054,0.41237493,0.274911387,66.872479961,0.5498155,1.6533653499999998,1.3784448329999999,0.137454413,0.5498155,1.099616611,5.773139181,3.848752315,20.810235834,0.0,0.41237493,0.0,4.8225302029999995,2.065726251,0.0,0.274911387,2.199263417,4.814820223,3.715151894,0.137454413,0.274911387,38.585726748,0.0,0.170734554,0.045526095,0.083051984,0.0,0.162361295,2.080704195,1.373558828,0.000573232,0.0,0.030241062,0.0,1.7425516330000002,0.0,0.09626772,0.018213381,0.0,0.041091738,0.054858083,0.013707828,1.0,1.0,[4]
