coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ependymal,ODMature4,permutationTracker
0x0,0.0,6.362579546,0.0,2.840696592,0.0,12.72460961,6.362579546,12.72460961,0.0,0.0,12.72460961,0.0,0.0,0.0,0.0,0.0,11.36232054,0.0,0.0,19.08630255,6.362579546,20.564554056,0.0,0.0,0.0,0.0,0.0,5.681438881,0.0,2.840696592,0.0,0.0,5.681438881,12.72460961,0.0,0.0,6.362579546,2.840696592,0.0,0.0,0.0,5.681438881,0.0,0.0,2.840696592,0.0,2.840696592,5.681438881,2.840696592,96.588805,2.840696592,0.0,0.0,2.840696592,2.840696592,0.0,2.840696592,0.0,12.72460961,0.0,0.0,0.0,11.36232054,2.840696592,2.840696592,0.0,0.0,0.0,0.0,0.0,12.72460961,31.24779319,0.0,0.0,113.85060678100001,0.0,0.0,6.362579546,0.0,8.522259222,0.0,2.840696592,2.840696592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36232054,0.0,11.36232054,0.0,8.522259222,0.0,19.08630255,5.681438881,6.362579546,0.0,0.0,2.840696592,2.840696592,0.0,6.362579546,2.840696592,0.0,6.362579546,14.884838768000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.362579546,0.0,2.840696592,0.0,19.88334196,0.0,0.0,0.0,0.0,9.203276138,2.840696592,0.0,0.0,6.362579546,0.0,0.127919227,0.0,0.06351960300000001,0.0,0.144848449,0.052046655,1.628028072,0.0,0.0,0.028340641,0.014365337,1.390451848,0.0,0.0722153,0.006830122,0.281031039,0.0,0.034115386,0.223626855,1.0,1.0,"[[0], [0]]"
1x1,0.0,6.362579546,0.0,0.0,0.0,14.57221627,6.978462874,14.57221627,0.0,0.0,13.340492938,0.0,0.615883328,0.0,0.615883328,0.0,1.231772901,0.0,0.0,19.08630255,6.362579546,6.978462874,1.231772901,0.615883328,0.0,0.0,1.231772901,0.0,0.0,0.0,0.615883328,0.0,2.463538344,13.340492938,0.0,0.0,6.978462874,0.0,0.0,0.615883328,20.32553818,0.0,2.463538344,1.231772901,0.0,1.231772901,1.231772901,0.615883328,0.0,0.0,0.0,1.231772901,0.0,0.0,0.0,17.24315718,0.0,0.0,12.72460961,0.0,0.0,4.927069231,0.615883328,0.615883328,0.0,1.231772901,0.0,0.615883328,0.0,0.0,23.19557581,37.56559179,0.0,0.0,110.632706244,0.0,1.231772901,26.688117725999998,1.231772901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.311167523,3.695263824,6.158796218,0.0,0.0,0.0,0.0,1.231772901,1.231772901,0.0,0.0,20.318075451,0.0,6.362579546,0.0,0.0,0.0,1.84760666,0.0,6.978462874,0.0,0.0,8.210186206,83.34559059600001,0.0,0.0,22.1739465,0.0,0.0,0.0,0.0,0.0,0.615883328,1.84760666,0.0,11.905475287,0.0,0.615883328,0.0,0.0,0.615883328,1.231772901,0.0,0.0,7.594352447,0.0,0.0,0.0,16.833545746,0.0,0.18640981299999998,0.032288288,0.089140369,0.0,0.181066134,5.365463028,1.628028072,0.0,0.0,0.047734704,0.0,1.4064869210000002,0.0,0.148120484,0.00685771,0.007938421,0.0,0.047702779,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,6.362579546,0.0,0.0,0.0,12.72460961,6.362579546,12.72460961,0.0,0.0,12.72460961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08630255,6.362579546,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72460961,0.0,0.0,6.362579546,0.0,0.0,0.0,16.95560323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95560323,0.0,0.0,12.72460961,0.0,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.550389676,39.5601918,0.0,0.0,108.1691679,0.0,0.0,9.188359612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.651659355,0.0,0.0,0.0,0.0,2.825780066,0.0,0.0,0.0,21.912082616,0.0,6.362579546,0.0,0.0,0.0,0.0,0.0,6.362579546,0.0,0.0,6.362579546,122.231760346,0.0,0.0,19.7826058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.188359612,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,0.0,12.014238900999999,0.0,0.0,0.0,9.188359612,0.0,0.21698472600000002,0.025134855,0.080815821,0.0,0.16861279399999998,4.851268133,1.628028072,0.0,0.0,0.074895504,0.0,1.390451848,0.0,0.130218546,0.066026498,0.007938421,0.0,0.062643104,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,6.362579546,2.867675238,0.0,0.0,14.158438265,7.796408201,13.441529374,0.0,0.0,12.72460961,0.0,0.0,0.0,0.0,0.716919764,3.584584692,0.716919764,0.716919764,19.803222314,7.07949931,7.796408201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716919764,12.72460961,0.0,1.433828655,6.362579546,0.0,0.0,0.0,6.452294345,0.0,0.0,4.301515067,0.0,0.0,0.0,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,12.18863958,0.0,0.716919764,12.72460961,0.716919764,0.0,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.063713890000002,22.94418173,0.0,0.716919764,111.03684313800001,0.716919764,0.716919764,6.362579546,0.716919764,2.150793929,0.0,0.0,0.0,0.0,0.0,0.0,3.584584692,3.584584692,10.7543874,0.716919764,0.0,0.0,0.0,0.716919764,0.0,0.0,0.0,19.08630255,0.0,7.796408201,0.0,0.0,0.0,0.716919764,0.0,6.362579546,0.0,0.0,6.362579546,147.595458246,0.0,0.0,0.716919764,0.0,0.0,0.716919764,0.716919764,0.0,0.716919764,3.584584692,0.0,17.116966946,0.716919764,0.0,0.0,1.433828655,0.716919764,0.0,0.716919764,0.0,6.362579546,0.0,0.0,0.0,6.362579546,0.0,0.154216087,0.033715433,0.08849006100000001,0.0,0.184596225,4.400699333,1.628028072,0.0,0.002651482,0.045130486,0.0,1.390451848,0.00462805,0.0722153,0.026313402,0.041249296,0.0,0.063105021,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,6.362579546,0.0,0.0,0.0,12.72460961,20.582066056,12.72460961,0.0,0.0,12.72460961,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,19.08630255,6.362579546,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,12.72460961,0.0,0.0,6.362579546,14.21948651,0.0,0.0,37.91347363,0.0,4.739446342,0.0,0.0,4.739446342,0.0,0.0,0.0,9.478521287,0.0,0.0,0.0,14.21948651,0.0,18.95721794,4.739446342,9.478521287,12.72460961,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,17.464055952,0.0,0.0,0.0,108.1691679,0.0,0.0,39.536908856,0.0,4.739446342,0.0,0.0,0.0,0.0,4.739446342,0.0,28.43743734,0.0,23.69448651,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,4.739446342,28.564823837,0.0,6.362579546,0.0,0.0,4.739446342,0.0,0.0,6.362579546,0.0,0.0,6.362579546,15.841100832999999,0.0,0.0,37.91347363,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,20.582066056,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,6.362579546,0.0,4.739446342,0.0,15.841100832999999,0.018302477,0.130841324,0.0,0.12737357,0.0,0.144848449,0.842934924,1.851883166,0.0,0.0,0.068751796,0.0,2.838049343,0.0,0.174432033,0.0,0.055689218,0.095721037,0.034115386,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.274911387,0.41237493,2.886511884,3.802881812,1.237072195,26.93830151,1.237072195,0.824735831,0.0,0.41237493,5.223289438,0.137454413,0.0,0.137454413,0.137454413,0.41237493,14.38633933,1.237072195,7.422480225,0.824735831,29.82478102,17.91326627,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,6.3686910690000005,2.611602958,2.978151005,0.5498155,0.137454413,7.193440992,0.41237493,0.0,0.137454413,6.185384288,4.077768787,0.41237493,0.5498155,0.274911387,5.818893294,0.137454413,0.41237493,3.115607979,1.649476062,3.52794878,5.818893294,2.840696592,98.238281062,2.840696592,0.274911387,0.0,5.177418402,4.90251902,0.137454413,3.253071522,1.924354378,0.824735831,1.512002111,0.0,7.697411133,16.173175025,5.7272084759999995,2.840696592,0.0,0.41237493,0.41237493,0.0,0.274911387,6.047904326,34.546719493,0.41237493,0.687252188,62.864959981,0.0,0.5498155,3.848752315,0.274911387,8.522259222,0.0,3.940313203,6.551988352,0.0,0.5498155,0.41237493,0.96218522,0.5498155,0.0,0.41237493,0.137454413,12.324505760000001,0.0,13.424142968000002,0.5498155,8.522259222,0.5498155,3.573829803,6.231254381,3.02401879,0.137454413,0.137454413,3.52794878,2.978151005,3.298926303,0.0,2.840696592,0.0,0.0,10.996420696000001,0.41237493,0.274911387,1.099616611,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,1.099616611,5.773139181,3.848752315,3.436392884,0.0,3.253071522,0.0,20.982958570999998,0.824735831,0.0,0.274911387,2.199263417,6.414526395,5.314858066,0.137454413,0.274911387,7.559925798,0.0,0.143215226,0.02337782,0.079063982,0.0,0.138245652,0.052046655,1.373558828,0.0,0.0,0.018011772,0.014365337,1.528715671,0.0,0.084820791,0.006830122,0.273092618,0.0,0.034255883,0.223626855,1.0,1.0,"[[1], [0]]"
6x6,0.274911387,0.41237493,2.886511884,0.96218522,1.237072195,28.78590817,1.852955523,2.672342491,0.0,0.41237493,5.839172766,0.137454413,0.615883328,0.137454413,0.753337741,0.41237493,4.255791691,1.237072195,7.422480225,0.824735831,29.82478102,4.327175088,1.644147831,0.890794715,0.5498155,0.687252188,1.644147831,0.687252188,2.611602958,0.137454413,1.165698828,0.137454413,3.975540455,1.028258258,0.0,0.137454413,6.801267616,1.237072195,0.41237493,1.165698828,20.600449567,0.137454413,2.6009927569999998,1.644147831,0.274911387,2.881248963,1.919025089,0.753337741,0.0,1.649476062,0.0,1.506684288,0.0,2.33672181,2.061822428,17.380611593,0.41237493,1.924354378,0.824735831,1.512002111,0.0,12.624480364,5.426737813,3.5023952119999997,0.0,1.231772901,0.41237493,1.028258258,0.0,0.274911387,16.518870526,40.864518093,0.41237493,0.687252188,59.647059444,0.0,1.781588401,24.174290494999997,1.506684288,0.0,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,5.273352743,4.245079324,6.158796218,0.41237493,0.137454413,0.96218522,0.0,3.2935953290000004,1.781588401,0.0,0.5498155,4.805602704,0.5498155,3.02401879,0.137454413,0.137454413,0.687252188,1.985061073,3.298926303,0.615883328,0.0,0.0,1.84760666,79.457172524,0.41237493,0.274911387,23.273563111,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,1.715499939,7.620745841000001,3.848752315,8.979288624999999,0.0,1.028258258,0.0,1.099616611,1.4406191590000001,1.231772901,0.274911387,2.199263417,4.805602704,2.474161474,0.137454413,0.274911387,18.030891998,0.0,0.20170581199999998,0.055666108,0.104684748,0.0,0.174463337,5.365463028,1.373558828,0.0,0.0,0.037405835,0.0,1.5447507440000001,0.0,0.16072597500000002,0.00685771,0.0,0.0,0.047843276000000004,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.274911387,0.41237493,2.886511884,0.96218522,1.237072195,26.93830151,1.237072195,0.824735831,0.0,0.41237493,5.223289438,0.137454413,0.0,0.137454413,0.137454413,0.41237493,3.02401879,1.237072195,7.422480225,0.824735831,29.82478102,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,0.41237493,0.0,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,17.230514617,0.137454413,0.137454413,0.41237493,0.274911387,1.649476062,0.687252188,0.137454413,0.0,1.649476062,0.0,0.274911387,0.0,2.33672181,2.061822428,17.093057643,0.41237493,1.924354378,0.824735831,1.512002111,0.0,7.697411133,7.636634551,2.886511884,0.0,0.0,0.41237493,0.41237493,0.0,0.274911387,8.873684392000001,42.859118103,0.41237493,0.687252188,57.1835211,0.0,0.5498155,6.674532381000001,0.274911387,0.0,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,0.96218522,0.5498155,5.651659355,0.41237493,0.137454413,0.96218522,0.0,4.887602494,0.5498155,0.0,0.5498155,6.399609869000001,0.5498155,3.02401879,0.137454413,0.137454413,0.687252188,0.137454413,3.298926303,0.0,0.0,0.0,0.0,118.343342274,0.41237493,0.274911387,20.882222411,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,1.099616611,5.773139181,3.848752315,6.26217295,0.0,0.41237493,2.825780066,1.099616611,0.824735831,0.0,0.274911387,2.199263417,9.225489158,2.474161474,0.137454413,0.274911387,10.385705864,0.0,0.23228072500000002,0.048512675000000005,0.09636020000000001,0.0,0.162009997,4.851268133,1.373558828,0.0,0.0,0.064566635,0.0,1.528715671,0.0,0.14282403700000001,0.066026498,0.0,0.0,0.062783601,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.274911387,0.41237493,5.754187121999999,0.96218522,1.237072195,28.372130164999998,2.6709008499999998,1.541655595,0.0,0.41237493,5.223289438,0.137454413,0.0,0.137454413,0.137454413,1.129294694,6.6086034819999995,1.9539919590000001,8.139399989000001,1.541655595,30.541700784,5.145120415,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,2.228921875,0.41237493,0.0,1.5712830679999998,6.185384288,1.237072195,0.41237493,0.5498155,6.727205732000001,0.137454413,0.137454413,4.713889997000001,0.274911387,1.649476062,0.687252188,0.854374177,0.716919764,1.649476062,0.0,0.274911387,0.0,2.33672181,2.061822428,12.326093993,0.41237493,2.6412741420000003,0.824735831,2.228921875,0.0,8.414330897,5.527774249,2.886511884,0.0,0.0,0.41237493,0.41237493,0.0,0.274911387,20.387008606000002,26.243108033,0.41237493,1.404171952,60.051196338,0.716919764,1.266735264,3.848752315,0.991831151,2.150793929,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,4.546769912,4.134400192,10.7543874,1.129294694,0.137454413,0.96218522,0.0,2.778742192,0.5498155,0.0,0.5498155,3.573829803,0.5498155,4.457847445,0.137454413,0.137454413,0.687252188,0.854374177,3.298926303,0.0,0.0,0.0,0.0,143.70704017399999,0.41237493,0.274911387,1.816536375,0.5498155,0.41237493,0.854374177,0.854374177,0.5498155,1.816536375,9.357723873000001,3.848752315,14.190780284,0.716919764,0.41237493,0.0,2.533445266,1.541655595,0.0,0.991831151,2.199263417,3.573829803,2.474161474,0.137454413,0.274911387,7.559925798,0.0,0.169512086,0.057093253000000004,0.10403444,0.0,0.177993428,4.400699333,1.373558828,0.0,0.002651482,0.034801617,0.0,1.528715671,0.00462805,0.084820791,0.026313402,0.033310875,0.0,0.063245518,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.274911387,0.41237493,2.886511884,0.96218522,1.237072195,26.93830151,15.456558704999999,0.824735831,0.0,0.41237493,5.223289438,0.137454413,0.0,0.137454413,0.137454413,0.41237493,7.763465132,1.237072195,7.422480225,0.824735831,29.82478102,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,5.289261842,0.137454413,1.512002111,0.41237493,0.0,0.137454413,6.185384288,15.456558704999999,0.41237493,0.5498155,38.188385017,0.137454413,4.876900755,0.41237493,0.274911387,6.388922404,0.687252188,0.137454413,0.0,11.127997349,0.0,0.274911387,0.0,16.55620832,2.061822428,19.094672353,5.151821272,11.402875665,0.824735831,1.512002111,0.0,7.697411133,4.810854485,7.625958226,0.0,0.0,0.41237493,0.41237493,0.0,0.274911387,10.787350668,3.298926303,0.41237493,0.687252188,57.1835211,0.0,0.5498155,37.023081624999996,0.274911387,4.739446342,0.0,1.099616611,3.71129176,0.0,5.289261842,0.41237493,29.399622559999997,0.5498155,23.69448651,0.41237493,0.137454413,0.96218522,0.0,6.80126877,0.5498155,0.0,5.289261842,13.05235109,0.5498155,3.02401879,0.137454413,0.137454413,5.4266985299999995,0.137454413,3.298926303,0.0,0.0,0.0,0.0,11.952682761,0.41237493,0.274911387,39.013090241,0.5498155,5.151821272,0.137454413,0.137454413,0.5498155,1.099616611,5.773139181,3.848752315,17.655879394,0.0,0.41237493,0.0,5.839062953,0.824735831,0.0,0.274911387,2.199263417,3.573829803,2.474161474,4.876900755,0.274911387,17.038447085,0.018302477,0.146137323,0.02337782,0.142917949,0.0,0.138245652,0.842934924,1.5974139219999999,0.0,0.0,0.058422927,0.0,2.9763131659999997,0.0,0.187037524,0.0,0.047750797,0.095721037,0.034255883,0.0,1.0,1.0,"[[1], [4]]"
