coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,Ependymal,Excitatorycells
0x0,0.0,6.362579546,0.0,6.721825801,0.0,12.72460961,17.006520646,13.844922727,0.0,0.560163093,20.006509948,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,0.0,19.08630255,7.482892663,6.922742639,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,14.405073740999999,1.120313117,0.0,6.362579546,0.0,0.0,0.560163093,0.0,0.560163093,17.92343619,0.560163093,0.0,0.0,0.0,0.560163093,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00375625,12.72460961,0.560163093,3.921075182,10.6439411,3.360938881,0.0,0.0,0.0,0.0,0.0,0.560163093,0.0,13.844922727,0.0,0.560163093,0.0,112.090243082,0.0,0.0,6.922742639,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,0.0,1.120313117,19.08630255,1.120313117,6.362579546,0.0,0.560163093,0.560163093,0.560163093,0.560163093,6.362579546,1.120313117,0.0,6.362579546,22.605070226,0.0,0.0,1.120313117,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,6.362579546,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,0.0,10.283654728,0.0,0.560163093,0.0,6.362579546,0.002912167,0.164406563,0.0,0.075026411,0.0,0.144848449,0.0,1.640828322,0.0,0.0,0.106974378,0.0,1.390451848,0.0,0.12264259899999999,0.0,0.303863815,0.0,0.034115386,0.0,1.0,1.0,[0]
1x1,0.274911387,0.41237493,2.886511884,7.684011021,1.237072195,26.93830151,11.881013294999999,1.9450489480000002,0.0,0.972538023,12.505189776,0.697617506,0.0,0.137454413,0.137454413,0.972538023,14.78840688,1.797235288,7.422480225,0.824735831,30.945094136999998,4.271454853,0.972538023,0.8350744800000001,9.512124315,2.927886306,0.972538023,1.2474152809999999,2.611602958,1.25776753,1.670128617,0.697617506,11.03404336,2.092839061,1.120313117,0.137454413,6.185384288,1.237072195,0.41237493,1.1099785930000001,0.274911387,0.697617506,18.060890603,0.972538023,0.274911387,1.649476062,0.687252188,0.697617506,2.240634118,1.649476062,0.0,0.274911387,0.0,2.33672181,2.061822428,0.137454413,0.41237493,15.928110628,0.824735831,2.072165204,3.921075182,18.341352233,8.171793366,2.886511884,0.0,0.0,0.41237493,0.41237493,0.560163093,0.274911387,7.1682174430000005,3.298926303,0.972538023,0.687252188,61.104596282,0.0,0.5498155,4.408915408,6.996737188,0.560163093,0.0,1.659779704,3.71129176,0.0,0.5498155,0.41237493,20.006905489999998,1.1099785930000001,1.120313117,4.333450112,0.137454413,12.726573310000001,0.0,12.705763527999999,1.670128617,0.0,1.670128617,3.573829803,1.670128617,3.02401879,0.137454413,0.697617506,1.2474152809999999,0.697617506,3.859089396,0.0,1.120313117,0.0,0.0,18.716652154,0.41237493,0.274911387,2.2199297280000003,0.5498155,9.374683745,2.378088531,0.697617506,1.1099785930000001,1.659779704,5.773139181,3.848752315,3.436392884,0.0,0.41237493,0.0,14.544033021,0.824735831,1.120313117,0.274911387,2.199263417,7.494904985,2.474161474,0.697617506,0.274911387,7.559925798,0.002912167,0.179702562,0.02337782,0.09057079000000001,0.0,0.138245652,0.0,1.386359078,0.0,0.0,0.09664550899999999,0.0,1.528715671,0.0,0.13524809000000002,0.0,0.295925394,0.0,0.034255883,0.0,1.0,1.0,[1]
2x2,0.38640463,0.38640463,0.772801049,9.813113309999999,0.38640463,35.9317596,11.030345729999999,10.393377265,0.0,1.332964142,12.691634235999999,0.560163093,0.0,0.38640463,1.545599049,0.946567723,15.24203661,2.49220383,3.091287509,1.159235441,35.511897077,2.105762142,1.7193985340000002,0.946567723,9.348713445,3.786233167,1.332964142,2.49220383,4.250491987,1.5067177470000002,1.5067177470000002,0.560163093,12.226885882000001,3.2260631799999997,1.120313117,0.0,5.796103746,0.772801049,0.0,0.946567723,0.38640463,0.560163093,18.696237239000002,0.560163093,0.0,0.38640463,0.38640463,1.332964142,2.627038748,1.159235441,0.38640463,0.772801049,0.0,1.545599049,0.38640463,1.159235441,0.38640463,17.48140477,0.772801049,0.946567723,5.080310623,15.667178766,7.611430868,2.318409668,0.0,1.159235441,0.0,0.38640463,0.560163093,0.38640463,5.7572088290000005,2.704844633,0.946567723,0.38640463,31.359137391999997,0.0,0.0,3.265007726,6.721825801,0.946567723,0.38640463,1.332964142,3.091287509,0.38640463,0.772801049,0.0,21.749564903,0.946567723,1.120313117,5.080310623,0.0,13.309987139,0.0,14.121589619999998,1.8931141660000002,0.0,2.665912166,1.545599049,2.279548558,1.545599049,0.772801049,0.560163093,2.878572761,0.946567723,5.197058805,0.772801049,1.120313117,0.772801049,0.38640463,19.7201392,0.38640463,0.38640463,1.8931141660000002,0.0,9.348713445,2.627038748,0.560163093,0.560163093,1.332964142,3.864072057,6.56885177,2.704844633,0.0,1.159235441,0.0,20.786220767,0.38640463,1.8931141660000002,0.0,1.932040737,5.853115919,0.38640463,0.560163093,0.0,3.864072057,0.002912167,0.070805139,0.0,0.10239696300000001,0.0,0.043316318,0.0,0.594048289,0.0,0.0,0.146325765,0.0,0.545859432,0.0,0.12044755700000001,0.040490214,0.425362365,0.184977216,0.012632589,0.016971307,1.0,1.0,[2]
3x3,0.0,0.0,0.851356265,8.424539232999999,0.851356265,39.16058219,11.495297364999999,1.120313117,2.55410292,0.560163093,11.538682736,1.411519358,0.0,0.0,0.851356265,0.560163093,14.31849101,3.9656102879999997,11.0670191,0.851356265,40.280895307,3.9656102879999997,1.411519358,0.560163093,8.962308815,2.240634118,1.411519358,0.560163093,4.256782398,1.120313117,2.8230265489999997,0.560163093,10.373397514,2.5318203959999996,1.120313117,0.0,4.256782398,3.405447195,0.0,1.411519358,0.0,2.262876525,17.92343619,0.560163093,0.0,2.55410292,0.0,0.560163093,2.240634118,2.55410292,0.851356265,0.0,0.0,4.256782398,0.851356265,0.0,0.0,16.55785917,2.55410292,1.411519358,4.772431447,18.306176864999998,5.063652313,1.702713432,0.0,2.55410292,0.851356265,1.702713432,1.411519358,0.0,6.228467426,0.851356265,0.560163093,0.0,68.626314282,0.0,1.702713432,4.816945491,7.573182065999999,1.411519358,0.0,4.816945491,1.702713432,0.0,0.851356265,1.702713432,20.747433702,0.560163093,1.120313117,3.921075182,0.851356265,11.76438809,1.702713432,11.495297364999999,1.120313117,0.0,1.971669382,4.256782398,1.120313117,1.702713432,0.0,1.411519358,2.262876525,0.560163093,3.114266013,0.0,1.120313117,0.0,0.0,18.7965936,0.0,0.0,1.120313117,0.0,8.962308815,2.240634118,0.560163093,2.262876525,0.560163093,6.810880617,9.365732568,1.702713432,0.0,0.851356265,0.0,16.849863605,0.851356265,1.120313117,0.0,1.702713432,9.029229490999999,2.55410292,1.411519358,2.55410292,6.810880617,0.002912167,0.130340431,0.0,0.10427629599999999,0.0,0.108339982,0.0,1.035120823,0.0,0.0,0.125996188,0.0,1.135157912,0.0,0.127983672,0.001605037,0.295925394,0.0,0.010256608,0.0,1.0,1.0,[3]
4x4,0.0,0.0,0.92774684,8.577311568999999,1.855485768,38.03911825,13.427234301999999,2.048059957,0.0,1.487909933,16.559696496999997,0.560163093,0.92774684,0.0,0.0,0.560163093,15.475462892000001,2.415648861,7.422092365,0.0,42.866757867000004,0.560163093,0.560163093,1.487909933,8.962308815,2.240634118,1.487909933,0.560163093,0.0,1.120313117,1.120313117,1.487909933,9.522041249,1.680464131,1.120313117,0.0,3.711074802,0.92774684,0.92774684,0.560163093,0.0,3.3434562949999997,17.92343619,0.560163093,0.0,0.0,1.855485768,1.487909933,2.240634118,0.0,0.0,1.855485768,0.0,0.92774684,0.0,0.0,0.0,14.93150309,0.92774684,0.560163093,3.921075182,18.993691131,6.144232083,0.0,0.0,0.92774684,0.0,0.92774684,1.487909933,0.0,8.542405482,5.566591497,0.560163093,0.0,60.518093312000005,0.0,0.0,4.2712378950000005,6.721825801,0.560163093,0.92774684,1.487909933,3.711074802,0.92774684,0.92774684,0.0,24.611311767,1.487909933,1.120313117,5.77656095,0.0,11.76438809,0.0,11.571687939999999,2.048059957,0.0,1.120313117,6.494281465,1.120313117,2.783293202,0.0,0.560163093,2.415648861,0.560163093,2.415648861,0.0,1.120313117,0.0,0.0,17.17023752,0.0,0.0,2.048059957,0.92774684,8.962308815,2.240634118,0.560163093,0.560163093,1.487909933,10.20469399,5.566591497,0.92774684,0.0,0.0,0.0,14.37216325,0.0,1.120313117,0.0,2.783293202,4.848822022,4.638842963,0.560163093,0.0,7.422092365,0.002912167,0.161874611,0.034191586,0.107633739,0.0,0.129892172,0.0,1.1986484579999999,0.0,0.0,0.098160898,0.0,1.140079959,0.0,0.101655493,0.0,0.295925394,0.023021592,0.054721988,0.0,1.0,1.0,[4]
5x5,0.0,6.879001279000001,2.582036443,9.811849706,0.0,13.241031343,9.977455161,29.25130343,0.0,0.0,14.273845357999999,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,0.516421733,19.08630255,7.395404578,6.362579546,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,15.306646053,0.516421733,0.0,6.362579546,1.549235748,0.0,0.0,0.516421733,0.516421733,0.0,0.0,0.0,0.0,0.0,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,9.294375367,12.72460961,0.0,1.032825032,6.196975098,1.032825032,20.65708495,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,13.241031343,0.516421733,0.0,0.0,114.882463938,0.0,0.0,7.395404578,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,0.516421733,2.582036443,19.08630255,1.549235748,6.362579546,11.36232054,0.0,1.549235748,0.0,0.0,6.362579546,0.0,0.0,6.362579546,11.526684150000001,0.0,0.516421733,0.0,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,6.879001279000001,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,2.065631854,9.977455161,0.0,0.0,0.0,6.362579546,0.0,0.127919227,0.0,0.050998257,0.016352126,0.144848449,0.117066428,1.628028072,0.0,0.0,0.091964327,0.0,1.390451848,0.0,0.083515283,0.0,0.35665283799999997,0.0,0.034115386,0.0,1.0,1.0,[0]
6x6,0.274911387,0.928796663,5.468548327,10.774034926,1.237072195,27.454723243,4.85194781,17.351429651,0.0,0.41237493,6.772525186,0.137454413,0.0,1.170279445,0.653876146,15.905387880000001,8.70453466,1.7534939280000001,7.938901958000001,0.824735831,30.857606052,3.71129176,0.928796663,0.274911387,0.5498155,0.687252188,0.928796663,3.269288631,3.1280246910000002,0.137454413,0.5498155,0.137454413,7.192517981,2.9944113729999997,0.516421733,0.137454413,6.185384288,2.786307943,0.41237493,0.5498155,0.79133312,0.653876146,0.137454413,0.41237493,0.274911387,1.649476062,0.687252188,7.367268035,4.131330645,5.780806707,2.065631854,0.79133312,0.516421733,2.33672181,2.061822428,1.170279445,1.445199962,11.218729745000001,0.824735831,1.512002111,1.032825032,13.894386231,5.843679517,23.543596834000002,0.0,1.549235748,0.41237493,0.928796663,1.549235748,0.274911387,6.564326059000001,3.815348036,0.41237493,0.687252188,63.896817138,0.0,0.5498155,4.881577347,0.274911387,1.032825032,0.0,1.099616611,5.260527508,0.0,1.066237233,0.928796663,1.9950102520000002,9.844190867,1.032825032,0.41237493,1.170279445,6.64270109,0.516421733,25.300002078,2.6154473539999996,0.516421733,3.131851943,3.573829803,2.0990512480000003,3.02401879,11.499774953000001,0.137454413,2.236487936,0.137454413,3.298926303,0.0,0.0,0.0,0.0,7.638266078000001,0.41237493,0.79133312,1.099616611,0.5498155,10.74159466,0.137454413,0.137454413,1.066237233,1.6160383440000001,6.805964213,3.848752315,3.952814617,0.516421733,1.445199962,0.0,7.812912649,0.824735831,0.0,0.79133312,4.264895271,7.188705418,2.474161474,0.137454413,0.274911387,7.559925798,0.0,0.143215226,0.02337782,0.066542636,0.016352126,0.138245652,0.117066428,1.373558828,0.0,0.0,0.081635458,0.0,1.528715671,0.0,0.096120774,0.0,0.348714417,0.0,0.034255883,0.0,1.0,1.0,[1]
7x7,0.38640463,0.9028263630000001,3.3548374919999997,12.903137215000001,0.38640463,36.448181333,4.001280245,25.799757967999998,0.0,0.772801049,6.958969646,0.0,0.0,1.4192296620000002,2.0620207820000003,15.87941758,9.15816439,2.44846247,3.607709242,1.159235441,35.424408992,1.545599049,1.6756571740000001,0.38640463,0.38640463,1.545599049,1.289222782,4.514077179999999,4.76691372,0.38640463,0.38640463,0.0,8.385360503,4.127635492,0.516421733,0.0,5.796103746,2.322036797,0.0,0.38640463,0.9028263630000001,0.516421733,0.772801049,0.0,0.0,0.38640463,0.38640463,8.002614671,4.517735275000001,5.290566086,2.4520364839999997,1.289222782,0.516421733,1.545599049,0.38640463,2.192060473,1.4192296620000002,12.772023887,0.772801049,0.38640463,2.192060473,11.220212764,5.283317019,22.975494618000003,0.0,2.708471189,0.0,0.9028263630000001,1.549235748,0.38640463,5.153317445000001,3.221266366,0.38640463,0.38640463,34.151358248,0.0,0.0,3.7376696650000003,0.0,1.4192296620000002,0.38640463,0.772801049,4.640523257,0.38640463,1.289222782,0.516421733,3.7376696650000003,9.680779997,1.032825032,1.159235441,1.032825032,7.226114919,0.516421733,26.715828169999998,2.8384329029999997,0.516421733,4.127635492,1.545599049,2.708471189,1.545599049,12.135121589,0.0,3.8676454160000002,0.38640463,4.636895712,0.772801049,0.0,0.772801049,0.38640463,8.641753124000001,0.38640463,0.9028263630000001,0.772801049,0.0,10.71562436,0.38640463,0.0,0.516421733,1.289222782,4.896897089,6.56885177,3.221266366,0.516421733,2.192060473,0.0,14.055100395,0.38640463,0.772801049,0.516421733,3.9976725909999997,5.546916352,0.38640463,0.0,0.0,3.864072057,0.0,0.034317803,0.0,0.078368809,0.016352126,0.043316318,0.117066428,0.581248039,0.0,0.0,0.131315714,0.0,0.545859432,0.0,0.081320241,0.040490214,0.478151388,0.184977216,0.012632589,0.016971307,1.0,1.0,[2]
8x8,0.0,0.516421733,3.4333927079999995,11.514563138,0.851356265,39.677003923,4.46623188,16.52669382,2.55410292,0.0,5.806018146,0.851356265,0.0,1.032825032,1.367777998,15.49301295,8.234618789999999,3.921868928,11.583440833,0.851356265,40.193407222,3.405447195,1.367777998,0.0,0.0,0.0,1.367777998,2.582036443,4.773204131,0.0,1.702713432,0.0,6.5318721349999995,3.4333927079999995,0.516421733,0.0,4.256782398,4.954682943,0.0,0.851356265,0.516421733,2.219135165,0.0,0.0,0.0,2.55410292,0.0,7.229813622,4.131330645,6.685433565,2.916988119,0.516421733,0.516421733,4.256782398,0.851356265,1.032825032,1.032825032,11.848478287,2.55410292,0.851356265,1.884181297,13.859210863000001,2.7355384640000002,22.359798382,0.0,4.103338668,0.851356265,2.219135165,2.400592013,0.0,5.624576041999999,1.367777998,0.0,0.0,71.418535138,0.0,1.702713432,5.28960743,0.851356265,1.884181297,0.0,4.256782398,3.25194918,0.0,1.367777998,2.219135165,2.7355384640000002,9.294375367,1.032825032,0.0,1.884181297,5.68051587,2.219135165,24.089535915,2.065631854,0.516421733,3.4333927079999995,4.256782398,1.549235748,1.702713432,11.36232054,0.851356265,3.25194918,0.0,2.55410292,0.0,0.0,0.0,0.0,7.718207524,0.0,0.516421733,0.0,0.0,10.32921973,0.0,0.0,2.219135165,0.516421733,7.8437056489999994,9.365732568,2.219135165,0.516421733,1.884181297,0.0,10.118743233,0.851356265,0.0,0.516421733,3.7683452859999997,8.723029923999999,2.55410292,0.851356265,2.55410292,6.810880617,0.0,0.093853095,0.0,0.080248142,0.016352126,0.108339982,0.117066428,1.022320573,0.0,0.0,0.110986137,0.0,1.135157912,0.0,0.088856356,0.001605037,0.348714417,0.0,0.010256608,0.0,1.0,1.0,[3]
9x9,0.0,0.516421733,3.509783283,11.667335474,1.855485768,38.555539983,6.398168817,17.45444066,0.0,0.92774684,10.827031906999999,0.0,0.92774684,1.032825032,0.516421733,15.49301295,9.391590672,2.371907501,7.938514098000001,0.0,42.779269782,0.0,0.516421733,0.92774684,0.0,0.0,1.444168573,2.582036443,0.516421733,0.0,0.0,0.92774684,5.68051587,2.582036443,0.516421733,0.0,3.711074802,2.4769825880000003,0.92774684,0.0,0.516421733,3.299714935,0.0,0.0,0.0,0.0,1.855485768,8.157560462,4.131330645,4.131330645,2.065631854,2.371907501,0.516421733,0.92774684,0.0,1.032825032,1.032825032,10.222122207,0.92774684,0.0,1.032825032,14.546725128999999,3.816118234,20.65708495,0.0,2.4769825880000003,0.0,1.444168573,2.4769825880000003,0.0,7.938514098000001,6.083013230000001,0.0,0.0,63.310314168000005,0.0,0.0,4.7438998340000005,0.0,1.032825032,0.92774684,0.92774684,5.26031055,0.92774684,1.444168573,0.516421733,6.599416529,10.222122207,1.032825032,1.855485768,1.032825032,5.68051587,0.516421733,24.16592649,2.9933786939999996,0.516421733,2.582036443,6.494281465,1.549235748,2.783293202,11.36232054,0.0,3.4047215160000004,0.0,1.855485768,0.0,0.0,0.0,0.0,6.0918514440000004,0.0,0.516421733,0.92774684,0.92774684,10.32921973,0.0,0.0,0.516421733,1.444168573,11.237519022,5.566591497,1.444168573,0.516421733,1.032825032,0.0,7.641042878,0.0,0.0,0.516421733,4.848925056,4.542622455,4.638842963,0.0,0.0,7.422092365,0.0,0.125387275,0.034191586,0.083605585,0.016352126,0.129892172,0.117066428,1.185848208,0.0,0.0,0.083150847,0.0,1.140079959,0.0,0.06252817699999999,0.0,0.348714417,0.023021592,0.054721988,0.0,1.0,1.0,[4]
