coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,Microglia,Excitatory Microglia
0x0,0.891907941,0.0,15.16218226,6.721825801,0.0,18.72876956,10.6439411,2.904125741,0.0,0.560163093,9.065712962,1.452071034,0.0,0.0,0.0,1.452071034,13.548200714,1.452071034,0.0,0.0,1.120313117,2.343975717,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.891907941,1.120313117,1.120313117,0.560163093,19.333890955,10.599512315999998,1.120313117,0.0,0.0,0.891907941,0.0,0.560163093,0.0,1.452071034,17.92343619,1.452071034,0.0,0.0,0.0,1.452071034,4.024446742,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,21.139176647,0.891907941,1.452071034,3.921075182,14.211561458999999,4.252846822,0.0,0.0,0.0,0.891907941,0.0,0.560163093,0.0,1.120313117,1.783812624,0.560163093,0.0,23.541613562,0.0,0.0,0.560163093,6.721825801,15.722345353,0.0,0.560163093,0.891907941,0.0,0.0,0.0,19.04472027,2.343975717,1.120313117,3.921075182,0.0,15.332008449,0.0,13.319725243999999,2.904125741,0.0,2.904125741,3.567620359,1.120313117,2.675784144,0.0,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,46.38053933,0.0,24.269834842,0.891907941,0.0,10.039361302,0.0,12.529929174,2.240634118,1.452071034,0.560163093,0.560163093,8.919048185,4.459589628,7.135420397,0.0,0.0,0.0,15.228229034,0.0,1.120313117,0.891907941,0.0,4.812983123,0.0,0.560163093,0.891907941,12.48652308,0.029261017,0.042066579,0.024863438,0.07310008500000001,0.0,0.0,0.0,0.01280025,0.0,0.0,0.092871788,0.0,0.029409093,0.0,0.050427299,0.000762815,0.511671816,0.0,0.0,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,0.0,6.721825801,0.0,6.022148348,10.6439411,1.120313117,0.0,0.560163093,7.281900338,6.582311441,0.0,0.0,0.0,0.560163093,23.808064010000002,0.560163093,0.0,0.0,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,8.262782466,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,0.560163093,29.967112110000002,0.560163093,0.0,0.0,6.022148348,0.560163093,2.240634118,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,14.00375625,0.0,6.582311441,3.921075182,10.6439411,3.360938881,0.0,0.0,6.022148348,0.0,0.0,0.560163093,0.0,1.120313117,24.08996179,0.560163093,0.0,3.921075182,0.0,0.0,0.560163093,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,7.142461465,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,0.0,1.120313117,0.0,1.120313117,0.0,0.0,6.582311441,12.603839013,0.560163093,0.560163093,0.0,1.120313117,102.3713052,0.0,16.24249068,0.0,0.0,1.120313117,0.0,14.984457163,2.240634118,0.560163093,0.560163093,0.560163093,6.022148348,0.0,0.0,0.0,0.0,0.0,25.48809233,6.022148348,1.120313117,0.0,0.0,3.921075182,0.0,0.560163093,0.0,0.0,0.005299569,0.036487336,0.019678589,0.049195724,0.002447184,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.0,0.0,0.050427299,0.0,0.450425561,0.005567434,0.000391101,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,2.889914001,0.0,9.611739801999999,0.0,0.0,12.088891201,1.120313117,0.0,0.560163093,8.726850439,0.560163093,0.0,0.0,1.444950101,7.78505123,21.8791458,2.005113194,0.0,0.0,1.120313117,0.560163093,0.560163093,0.560163093,10.407258916,2.240634118,2.005113194,2.005113194,1.444950101,1.120313117,1.120313117,0.560163093,12.411955250000002,4.570378132,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,0.560163093,17.92343619,0.560163093,0.0,0.0,0.0,0.560163093,2.240634118,1.444950101,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,18.338701908,0.0,9.230018942,3.921075182,10.6439411,3.360938881,2.889914001,0.0,0.0,0.0,1.444950101,0.560163093,0.0,1.120313117,0.0,0.560163093,1.444950101,5.366025283,0.0,0.0,0.560163093,11.056771459,0.560163093,0.0,0.560163093,2.889914001,0.0,0.0,0.0,19.04472027,2.005113194,1.120313117,3.921075182,0.0,17.544236756,0.0,12.088891201,1.120313117,1.444950101,1.120313117,1.444950101,1.120313117,0.0,0.0,0.560163093,10.674920803,0.560163093,0.560163093,0.0,1.120313117,65.02372147,0.0,32.13911702,0.0,0.0,9.790168966,0.0,11.852222816000001,2.240634118,0.560163093,2.005113194,0.560163093,2.889914001,0.0,1.444950101,0.0,0.0,0.0,17.779362068,0.0,1.120313117,1.444950101,1.444950101,5.366025283,1.444950101,0.560163093,0.0,0.0,0.002912167,0.036487336,0.012209246,0.045848467000000004,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.287508189,0.0,0.050427299,0.103260324,0.32532974600000003,0.31084095,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.96942751,24.23480772,7.691253311,0.484704415,19.87372704,10.6439411,2.57445688,0.484704415,0.560163093,8.251327847999999,1.044867508,3.392987829,0.96942751,0.0,0.560163093,13.703187879000001,1.044867508,0.0,0.484704415,1.120313117,2.014306856,0.560163093,1.044867508,8.962308815,2.240634118,0.560163093,0.560163093,2.423576211,1.120313117,1.120313117,1.529590603,15.823169882000002,12.828330331,1.120313117,0.0,1.454143763,0.484704415,0.0,0.560163093,0.484704415,0.560163093,17.92343619,0.560163093,0.0,0.0,0.0,0.560163093,4.179433907,0.0,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,16.427332461,0.0,0.560163093,3.921075182,18.883899161,3.360938881,0.484704415,0.484704415,0.0,0.96942751,0.484704415,0.560163093,0.0,1.605017532,0.96942751,0.560163093,0.96942751,37.851188942,0.0,0.0,0.560163093,7.691253311,0.560163093,0.0,1.529590603,0.0,0.0,0.484704415,0.0,20.498864033,1.044867508,1.605017532,4.405779597,0.0,11.76438809,0.0,12.582740889,3.059112906,0.484704415,1.120313117,2.908228973,1.120313117,5.33184099,0.484704415,0.560163093,1.044867508,0.560163093,0.560163093,0.96942751,1.120313117,37.80610014,0.0,22.058968093,0.0,0.0,3.059112906,0.96942751,9.44701323,2.240634118,1.044867508,1.044867508,1.529590603,2.908228973,3.87764288,2.908228973,0.0,0.0,0.0,13.929120825,0.0,1.120313117,0.484704415,2.423576211,5.859874971,0.0,1.044867508,0.0,9.693010665,0.002912167,0.078130577,0.016091925,0.07382413800000001,0.0,0.023056926,0.0,0.097928325,0.0,0.0,0.078633737,0.0,0.641572243,0.0,0.050427299,0.0,0.30567594800000003,0.0,0.0,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,0.0,6.721825801,1.168652664,2.337336513,10.6439411,1.120313117,0.0,1.728815757,7.281900338,0.560163093,0.0,0.0,0.0,0.560163093,16.439050106,0.560163093,0.0,4.674662016,3.4576496299999997,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,13.028028929000001,1.680464131,1.120313117,0.0,0.0,1.168652664,5.843212087,0.560163093,1.168652664,0.560163093,19.092088854,0.560163093,0.0,4.674662016,1.168652664,2.897499606,2.240634118,0.0,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,17.50974393,0.0,0.560163093,3.921075182,17.655923747,3.360938881,0.0,0.0,0.0,0.0,0.0,0.560163093,0.0,2.288965781,4.674662016,0.560163093,0.0,7.427062862,0.0,0.0,1.728815757,7.890478464999999,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,1.728815757,1.120313117,5.089727846,0.0,11.76438809,0.0,12.981277613,2.288965781,0.0,1.120313117,0.0,1.120313117,0.0,0.0,0.560163093,1.728815757,27.440627273,0.560163093,0.0,1.120313117,82.96533016,1.168652664,23.254473327,0.0,0.0,9.300890593,2.337336513,8.962308815,2.240634118,0.560163093,0.560163093,4.066150773,14.02449903,0.0,0.0,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,0.0,3.921075182,0.0,0.560163093,0.0,0.0,0.018865127,0.036487336,0.033180022,0.09796575900000001,0.0,0.001917426,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.35975292,0.0,0.050427299,0.014984944,0.369739241,0.000742606,0.001060327,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.891907941,0.516421733,17.744218703,9.811849706,0.0,19.245191293,3.614875615,18.310506443999998,0.0,0.0,3.3330483720000004,0.891907941,0.0,1.032825032,0.516421733,16.384920891,7.464328494,1.408329674,0.516421733,0.0,1.032825032,1.783812624,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,1.408329674,0.0,0.0,0.0,15.492365576000001,11.501084628,0.516421733,0.0,0.0,2.441143689,0.0,0.0,0.516421733,1.408329674,0.0,0.891907941,0.0,0.0,0.0,8.121721563,5.9151432690000005,4.131330645,2.065631854,0.516421733,1.408329674,0.0,0.891907941,1.9247329730000002,1.032825032,16.429795764,0.891907941,0.891907941,1.032825032,9.764595457,1.9247329730000002,20.65708495,0.0,1.549235748,0.891907941,0.516421733,1.549235748,0.0,0.516421733,2.300234357,0.0,0.0,26.333834418,0.0,0.0,1.032825032,0.0,16.195007292,0.0,0.0,2.441143689,0.0,0.516421733,0.516421733,1.032825032,11.078187991,1.032825032,0.0,1.032825032,9.248136229,0.516421733,25.913963794,3.8494444779999997,0.516421733,4.365849067,3.567620359,1.549235748,2.675784144,11.36232054,0.0,1.549235748,0.0,0.0,0.0,0.0,46.38053933,0.0,13.191448766,0.891907941,0.516421733,8.919048185,0.0,13.896840089000001,0.0,0.891907941,0.516421733,0.516421733,9.951873217,4.459589628,7.65184213,0.516421733,1.032825032,0.0,8.497108662,0.0,0.0,1.408329674,2.065631854,4.506783556,0.0,0.0,0.891907941,12.48652308,0.02634885,0.005579243,0.024863438,0.049071931,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.077861737,0.0,0.029409093,0.0,0.011299983,0.000762815,0.564460839,0.0,0.0,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.516421733,2.582036443,9.811849706,0.0,6.538570081,3.614875615,16.52669382,0.0,0.0,1.549235748,6.022148348,0.0,1.032825032,0.516421733,15.49301295,17.72419179,0.516421733,0.516421733,0.0,1.032825032,0.0,0.516421733,0.0,0.0,6.022148348,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,0.516421733,12.04367592,0.0,0.0,0.0,6.022148348,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,6.022148348,0.0,1.032825032,1.032825032,9.294375367,0.0,6.022148348,1.032825032,6.196975098,1.032825032,20.65708495,0.0,7.571384096,0.0,0.516421733,1.549235748,0.0,0.516421733,24.606383523,0.0,0.0,6.713296038,0.0,0.0,1.032825032,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,7.05497338,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,0.516421733,2.582036443,0.0,1.549235748,0.0,11.36232054,6.022148348,13.592911668,0.0,0.0,0.0,0.0,102.3713052,0.0,5.164104604,0.0,0.516421733,0.0,0.0,16.351368078,0.0,0.0,0.516421733,0.516421733,7.05497338,0.0,0.516421733,0.516421733,1.032825032,0.0,18.756971958,6.022148348,0.0,0.516421733,2.065631854,3.614875615,0.0,0.0,0.0,0.0,0.002387402,0.0,0.019678589,0.02516757,0.01879931,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.0,0.0,0.011299983,0.0,0.503214584,0.005567434,0.000391101,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,3.4063357340000002,2.582036443,12.701763707000001,0.0,0.516421733,5.059825716,16.52669382,0.0,0.0,2.994185849,0.0,0.0,1.032825032,1.9613718340000001,22.717901087,15.79527358,1.9613718340000001,0.516421733,0.0,1.032825032,0.0,0.516421733,0.0,1.444950101,0.0,1.9613718340000001,4.026986544,1.9613718340000001,0.0,0.0,0.0,8.570429871,5.471950444,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,0.516421733,0.0,0.0,0.0,0.0,0.0,7.229813622,4.131330645,5.576280746,2.065631854,0.516421733,0.516421733,4.334945658,1.444950101,1.032825032,1.032825032,13.629321025,0.0,8.669855849,1.032825032,6.196975098,1.032825032,23.546998951000003,0.0,1.549235748,0.0,1.9613718340000001,1.549235748,0.0,0.516421733,0.516421733,0.0,1.444950101,8.158246139000001,0.0,0.0,1.032825032,4.334945658,1.032825032,0.0,0.0,4.439149749,0.0,0.516421733,0.516421733,1.032825032,10.739325468,1.032825032,0.0,1.032825032,11.460364536,0.516421733,24.683129751,2.065631854,1.9613718340000001,2.582036443,1.444950101,1.549235748,0.0,11.36232054,0.0,11.663993458,0.0,0.0,0.0,0.0,65.02372147,0.0,21.060730944,0.0,0.516421733,8.669855849,0.0,13.219133731,0.0,0.0,1.9613718340000001,0.516421733,3.922739033,0.0,1.9613718340000001,0.516421733,1.032825032,0.0,11.048241696,0.0,0.0,1.9613718340000001,3.510581955,5.059825716,1.444950101,0.0,0.0,0.0,0.0,0.0,0.012209246,0.021820313,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.287508189,0.0,0.011299983,0.103260324,0.378118769,0.31084095,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,1.485849243,26.816844163,10.781277216,0.484704415,20.390148773,3.614875615,17.980837583,0.484704415,0.0,2.518663258,0.484704415,3.392987829,2.002252542,0.516421733,15.49301295,7.619315659,1.001126148,0.516421733,0.484704415,1.032825032,1.454143763,0.516421733,0.484704415,0.0,0.0,0.516421733,2.582036443,2.939997944,0.0,0.0,0.96942751,11.981644503,13.729902642999999,0.516421733,0.0,1.454143763,2.033940163,0.0,0.0,1.001126148,0.516421733,0.0,0.0,0.0,0.0,0.0,7.229813622,6.070130434,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.484704415,1.032825032,1.517529447,11.717951578000001,0.0,0.0,1.032825032,14.436933158999999,1.032825032,21.141789365,0.484704415,1.549235748,0.96942751,1.001126148,1.549235748,0.0,1.001126148,1.485849243,0.0,0.96942751,40.643409798,0.0,0.0,1.032825032,0.96942751,1.032825032,0.0,0.96942751,1.549235748,0.0,1.001126148,0.516421733,2.486968795,9.779079782,1.517529447,0.484704415,1.032825032,5.68051587,0.516421733,25.176979439,4.004431643,1.001126148,2.582036443,2.908228973,1.549235748,5.33184099,11.847024955,0.0,2.033940163,0.0,0.0,0.96942751,0.0,37.80610014,0.0,10.980582017,0.0,0.516421733,1.938799789,0.96942751,10.813924145,0.0,0.484704415,1.001126148,1.485849243,3.941054005,3.87764288,3.424650706,0.516421733,1.032825032,0.0,7.198000453000001,0.0,0.0,1.001126148,4.489208065,5.553675404,0.0,0.484704415,0.0,9.693010665,0.0,0.041643241,0.016091925,0.049795984,0.016352126,0.023056926,0.117066428,0.085128075,0.0,0.0,0.063623686,0.0,0.641572243,0.0,0.011299983,0.0,0.358464971,0.0,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.516421733,2.582036443,9.811849706,1.168652664,2.853758246,3.614875615,16.52669382,0.0,1.168652664,1.549235748,0.0,0.0,1.032825032,0.516421733,15.49301295,10.355177886,0.516421733,0.516421733,4.674662016,3.370161545,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,9.18650355,2.582036443,0.516421733,0.0,0.0,2.7178884119999998,5.843212087,0.0,1.685074397,0.516421733,1.168652664,0.0,0.0,4.674662016,1.168652664,9.567150135,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,1.168652664,0.0,1.032825032,1.032825032,12.800363047000001,0.0,0.0,1.032825032,13.208957745,1.032825032,20.65708495,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,1.685074397,5.191083749000001,0.0,0.0,10.219283718,0.0,0.0,2.201477696,1.168652664,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,10.463028031,1.032825032,1.168652664,1.032825032,5.68051587,0.516421733,25.575516163,3.234284518,0.516421733,2.582036443,0.0,1.549235748,0.0,11.36232054,0.0,2.7178884119999998,26.88046418,0.0,0.0,0.0,82.96533016,1.168652664,12.176087251,0.0,0.516421733,8.180577476,2.337336513,10.32921973,0.0,0.0,0.516421733,4.022409413,15.057324062,0.0,0.516421733,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,2.065631854,3.614875615,0.0,0.0,0.0,0.0,0.01595296,0.0,0.033180022,0.073937605,0.016352126,0.001917426,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.35975292,0.0,0.011299983,0.014984944,0.422528264,0.000742606,0.001060327,0.0,1.0,1.0,"[[1], [4]]"
