coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,ODImmature2,permutationTracker
0x0,0.0,0.0,1.649354052,8.371179853,0.0,0.824693815,10.6439411,1.945006932,0.0,0.560163093,7.281900338,0.560163093,0.0,0.0,0.0,0.560163093,13.413742142,0.560163093,0.824693815,0.0,1.120313117,31.897183443,5.5082869059999995,0.560163093,10.611662867,2.240634118,0.560163093,0.560163093,2.47408148,1.120313117,1.120313117,0.560163093,10.346735064,2.5051579459999997,1.120313117,0.0,0.0,0.824693815,0.824693815,0.560163093,0.0,0.560163093,18.748130005,0.560163093,0.0,0.0,0.0,0.560163093,2.240634118,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.302484584000002,0.0,1.3848569080000002,3.921075182,12.293295151999999,4.185632696,0.0,0.0,0.0,0.824693815,0.824693815,0.560163093,0.824693815,1.120313117,5.772827274,0.560163093,26.39050251,17.114918272,0.0,0.0,0.560163093,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,4.745768997,0.824693815,13.413742142,0.0,13.11802258,1.120313117,1.649354052,1.120313117,1.649354052,1.120313117,1.649354052,0.824693815,0.560163093,3.034244573,0.560163093,0.560163093,0.0,1.120313117,50.30976198,0.0,21.190614492999998,0.0,0.824693815,13.489346257000001,1.649354052,11.436390295,2.240634118,1.3848569080000002,0.560163093,0.560163093,4.12342048,2.47408148,0.0,0.0,0.0,4.948123813,13.44441641,0.0,1.120313117,0.0,0.0,5.570429234000001,0.0,0.560163093,0.0,0.824693815,0.028028139,0.036487336,0.031561203,0.059738731,0.00197471,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.0,0.0,0.050427299,0.000979608,0.5826630180000001,0.028037602,0.003393076,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,11.27156635,6.721825801,0.0,22.54507076,10.6439411,1.120313117,0.0,0.560163093,12.917955692,0.560163093,5.636055354,0.0,0.0,0.560163093,11.76438809,0.560163093,0.0,0.0,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,20.793607599,24.225534891000002,1.120313117,0.0,5.636055354,0.0,0.0,0.560163093,0.0,0.560163093,17.92343619,0.560163093,0.0,0.0,0.0,0.560163093,2.240634118,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00375625,0.0,0.560163093,3.921075182,10.6439411,3.360938881,0.0,0.0,0.0,0.0,5.636055354,0.560163093,0.0,1.120313117,0.0,0.560163093,11.27156635,20.831257221999998,0.0,0.0,0.560163093,6.721825801,0.560163093,5.636055354,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,17.400443444,0.0,10.6439411,1.120313117,0.0,1.120313117,0.0,1.120313117,0.0,0.0,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,16.24249068,5.636055354,5.636055354,1.120313117,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,0.0,5.636055354,11.27156635,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,11.27156635,3.921075182,0.0,0.560163093,0.0,0.0,0.002912167,0.036487336,0.002849356,0.03570281,0.0,0.041904707,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.455559624,0.0,0.050427299,0.022361296,0.30381298900000003,0.490390247,0.0,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,0.85494057,10.141599161999999,0.0,0.85494057,20.047932871,31.896369687,0.0,0.560163093,9.846657908,2.270042721,0.85494057,0.0,14.53459731,0.560163093,17.748963329,0.560163093,1.709879628,1.709879628,9.669579314,0.560163093,3.1249206629999997,1.415103663,8.962308815,3.095574688,1.415103663,1.415103663,0.0,1.120313117,1.120313117,1.415103663,24.909061859,2.535404701,1.120313117,0.0,0.85494057,2.56475757,0.0,0.560163093,0.0,0.560163093,19.633315818,0.560163093,0.0,0.0,0.85494057,8.254570766,2.240634118,1.709879628,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,21.698163923,0.0,1.415103663,3.921075182,14.918546802999998,10.200468404999999,7.694407673,0.0,0.85494057,0.0,0.0,1.415103663,0.0,1.975253687,0.85494057,1.415103663,6.839529524,5.63095481,0.0,0.85494057,7.3996926169999995,6.721825801,1.415103663,0.0,1.415103663,24.79288964,0.0,0.0,0.0,20.754599898,0.560163093,1.120313117,3.921075182,1.709879628,16.893957962,0.0,20.047932871,8.814720789999999,27.3595934,3.6850706869999996,0.0,1.975253687,0.0,5.984575239,0.560163093,1.415103663,0.560163093,2.270042721,1.709879628,1.120313117,0.0,0.0,23.082020204,0.0,1.709879628,1.975253687,0.0,29.480214515,2.240634118,0.560163093,0.560163093,0.560163093,1.709879628,0.0,5.984575239,0.85494057,0.0,0.0,20.283945934000002,0.85494057,1.120313117,0.0,0.0,5.63095481,3.419773361,0.560163093,0.0,0.85494057,0.014513982,0.036487336,0.0,0.05272579,0.0,0.0,0.0,0.01280025,0.0,0.0,0.154972547,0.0,0.344528462,0.0,0.12107847899999999,0.019910117,0.401863953,0.0,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,23.12681533,6.721825801,0.0,37.01018646,10.6439411,5.746187101,0.0,0.560163093,7.281900338,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,4.625873984,0.0,33.501363637000004,5.186037077,19.063099293,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,0.560163093,17.92343619,0.560163093,0.0,0.0,0.0,5.186037077,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00375625,0.0,0.560163093,3.921075182,24.52041484,3.360938881,0.0,0.0,0.0,0.0,0.0,0.560163093,0.0,5.746187101,0.0,0.560163093,0.0,59.427782312000005,0.0,0.0,9.811960141,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,0.0,1.120313117,0.0,1.120313117,0.0,0.0,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,16.24249068,0.0,0.0,14.996786857,0.0,8.962308815,2.240634118,0.560163093,0.560163093,9.811960141,0.0,0.0,0.0,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,0.0,3.921075182,0.0,0.560163093,0.0,23.12681533,0.002912167,0.05138067,0.035127866,0.09207543900000001,0.0,0.030051645,0.0,0.465748011,0.0,0.157891858,0.078633737,0.0,0.899503071,0.013323,0.059385559000000004,0.010417362,0.295925394,0.00943649,0.021645908,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,1.932715942,0.0,14.452544587999999,0.0,1.932715942,14.509357334999999,4.985729352,0.0,0.560163093,7.281900338,0.560163093,1.932715942,0.0,0.0,0.560163093,13.697104032,0.560163093,0.0,3.865416235,1.120313117,0.560163093,0.560163093,0.560163093,14.760447185,4.17335006,2.492879035,0.560163093,0.0,1.120313117,1.120313117,0.560163093,46.244500669000004,5.5458803660000004,3.053029059,1.932715942,0.0,3.865416235,0.0,0.560163093,0.0,17.955171893,19.856152132000002,0.560163093,0.0,0.0,0.0,2.492879035,2.240634118,17.3950088,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,15.936472192,0.0,0.560163093,3.921075182,12.576657041999999,3.360938881,21.25871045,0.0,3.865416235,1.932715942,0.0,0.560163093,0.0,1.120313117,0.0,0.560163093,9.663505567,5.853791124,0.0,0.0,2.492879035,16.385331368,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,2.492879035,1.120313117,3.921075182,0.0,23.35944111,0.0,29.972191419999998,8.851031904,59.91159895,6.9184514870000005,0.0,3.053029059,0.0,0.0,0.560163093,4.425579328,0.560163093,4.425579328,1.932715942,1.120313117,0.0,0.0,22.04062905,0.0,0.0,3.053029059,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,0.0,5.79813837,7.730718787,0.0,3.865416235,0.0,15.377132352,3.865416235,1.120313117,3.865416235,0.0,7.786491417000001,7.730718787,0.560163093,0.0,0.0,0.002912167,0.036487336,0.0,0.032228866,0.018385249,0.0,0.0,0.01280025,0.183308543,0.0,0.096511906,0.146909104,0.151001793,0.0,0.05654734,0.002926485,0.295925394,0.0,0.001931591,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.516421733,4.231390494999999,11.461203758,0.0,1.341115548,3.614875615,17.351387635,0.0,0.0,1.549235748,0.0,0.0,1.032825032,0.516421733,15.49301295,7.329869922,0.516421733,1.341115548,0.0,1.032825032,31.33702035,5.464545546,0.0,1.649354052,0.0,0.516421733,2.582036443,2.990503213,0.0,0.0,0.0,6.505209685,3.4067302579999996,0.516421733,0.0,0.0,2.373929563,0.824693815,0.0,0.516421733,0.516421733,0.824693815,0.0,0.0,0.0,0.0,7.229813622,4.131330645,4.95602446,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,12.593103701,0.0,0.824693815,1.032825032,7.846329150000001,1.8575188470000001,20.65708495,0.0,1.549235748,0.824693815,1.341115548,1.549235748,0.824693815,0.516421733,6.2892490070000004,0.0,26.39050251,19.907139128,0.0,0.0,1.032825032,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.824693815,1.8575188470000001,7.329869922,0.516421733,25.712261129999998,2.065631854,2.165775785,2.582036443,1.649354052,1.549235748,1.649354052,12.187014355,0.0,4.023317228,0.0,0.0,0.0,0.0,50.30976198,0.0,10.112228417,0.0,1.341115548,12.36903314,1.649354052,12.80330121,0.0,0.824693815,0.516421733,0.516421733,5.156245512,2.47408148,0.516421733,0.516421733,1.032825032,4.948123813,6.713296038,0.0,0.0,0.516421733,2.065631854,5.264229667,0.0,0.0,0.0,0.824693815,0.025115972,0.0,0.031561203,0.035710577,0.018326836000000003,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.0,0.0,0.011299983,0.000979608,0.635452041,0.028037602,0.003393076,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.516421733,13.853602793,9.811849706,0.0,23.061492493000003,3.614875615,16.52669382,0.0,0.0,7.185291102,0.0,5.636055354,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,0.516421733,0.0,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,16.95208222,25.127107203,0.516421733,0.0,5.636055354,1.549235748,0.0,0.0,0.516421733,0.516421733,0.0,0.0,0.0,0.0,0.0,7.229813622,4.131330645,9.767385999,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,9.294375367,0.0,0.0,1.032825032,6.196975098,1.032825032,20.65708495,0.0,1.549235748,0.0,6.152477086999999,1.549235748,0.0,0.516421733,0.516421733,0.0,11.27156635,23.623478077999998,0.0,0.0,1.032825032,0.0,1.032825032,5.636055354,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,11.316571224,0.516421733,23.23817965,2.065631854,0.516421733,2.582036443,0.0,1.549235748,0.0,11.36232054,0.0,1.549235748,0.0,0.0,0.0,0.0,0.0,0.0,5.164104604,5.636055354,6.152477086999999,0.0,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,1.032825032,5.636055354,11.787988083,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,13.337198204,3.614875615,0.0,0.0,0.0,0.0,0.0,0.0,0.002849356,0.011674656,0.016352126,0.041904707,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.455559624,0.0,0.011299983,0.022361296,0.356602012,0.490390247,0.0,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.516421733,3.436977013,13.231623067000001,0.0,1.3713623030000002,13.018867386,47.30275039,0.0,0.0,4.113993318,1.709879628,0.85494057,1.032825032,15.051019043,15.49301295,11.665091108999999,0.516421733,2.226301361,1.709879628,9.582091229,0.0,3.081179303,0.85494057,0.0,0.85494057,1.3713623030000002,3.436977013,0.516421733,0.0,0.0,0.85494057,21.06753648,3.436977013,0.516421733,0.0,0.85494057,4.113993318,0.0,0.0,0.516421733,0.516421733,1.709879628,0.0,0.0,0.0,0.85494057,14.924221294999999,4.131330645,5.841210273,2.065631854,1.3713623030000002,0.516421733,0.85494057,0.85494057,2.7427046600000002,1.887765602,16.98878304,0.0,0.85494057,1.032825032,10.471580801,7.8723545559999994,28.351492623000002,0.0,2.404176318,0.0,0.516421733,2.404176318,0.0,1.3713623030000002,1.3713623030000002,0.85494057,6.839529524,8.423175666,0.0,0.85494057,7.8723545559999994,0.0,1.887765602,0.0,0.85494057,26.342125388,0.0,0.516421733,0.516421733,2.7427046600000002,9.294375367,1.032825032,0.0,2.7427046600000002,10.810085742,0.516421733,32.642171421,9.760039527,27.876015133000003,5.146794012999999,0.0,2.404176318,0.0,17.346895779,0.0,2.404176318,0.0,1.709879628,1.709879628,0.0,0.0,0.0,12.003634128,0.0,2.226301361,0.85494057,0.0,30.84712543,0.0,0.0,0.516421733,0.516421733,2.7427046600000002,0.0,6.500996971999999,1.3713623030000002,1.032825032,0.0,13.552825561999999,0.85494057,0.0,0.516421733,2.065631854,5.324755243,3.419773361,0.0,0.0,0.85494057,0.011601815,0.0,0.0,0.028697636,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.139962496,0.0,0.344528462,0.0,0.081951163,0.019910117,0.454652976,0.0,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.516421733,25.708851773,9.811849706,0.0,37.526608193,3.614875615,21.152567804,0.0,0.0,1.549235748,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,5.142295717,0.0,33.413875552,4.625873984,19.019357933000002,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,0.516421733,0.0,0.0,0.0,0.0,0.0,11.855687606,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,9.294375367,0.0,0.0,1.032825032,20.073448838,1.032825032,20.65708495,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,5.142295717,0.516421733,0.0,0.0,62.220003168000005,0.0,0.0,10.28462208,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,0.516421733,2.582036443,0.0,1.549235748,0.0,11.36232054,0.0,1.549235748,0.0,0.0,0.0,0.0,0.0,0.0,5.164104604,0.0,0.516421733,13.87647374,0.0,10.32921973,0.0,0.0,0.516421733,9.768218781,1.032825032,0.0,0.516421733,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,2.065631854,3.614875615,0.0,0.0,0.0,23.12681533,0.0,0.014893334,0.035127866,0.068047285,0.016352126,0.030051645,0.117066428,0.452947761,0.0,0.157891858,0.063623686,0.0,0.899503071,0.013323,0.020258243,0.010417362,0.348714417,0.00943649,0.021645908,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,2.4491376750000002,2.582036443,17.542568493,0.0,2.4491376750000002,7.48029185,20.392110055,0.0,0.0,1.549235748,0.0,1.932715942,1.032825032,0.516421733,15.49301295,7.6132318119999995,0.516421733,0.516421733,3.865416235,1.032825032,0.0,0.516421733,0.0,5.79813837,1.932715942,2.4491376750000002,2.582036443,0.516421733,0.0,0.0,0.0,42.40297529,6.447452677999999,2.4491376750000002,1.932715942,0.0,5.414651983000001,0.0,0.0,0.516421733,17.911430533,1.932715942,0.0,0.0,0.0,0.0,9.162529564,4.131330645,21.526339444999998,2.065631854,0.516421733,0.516421733,0.0,0.0,22.291535482,12.627878052,11.227091309,0.0,0.0,1.032825032,8.12969104,1.032825032,41.9157954,0.0,5.414651983000001,1.932715942,0.516421733,1.549235748,0.0,0.516421733,0.516421733,0.0,9.663505567,8.64601198,0.0,0.0,2.965540974,9.663505567,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,11.227091309,1.032825032,0.0,1.032825032,17.27556889,0.516421733,42.56642997,9.796350641,60.428020683,8.380174813,0.0,3.48195169,0.0,11.36232054,0.0,5.414651983000001,0.0,3.865416235,1.932715942,0.0,0.0,0.0,10.962242974,0.0,0.516421733,1.932715942,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,1.032825032,5.79813837,8.24714052,0.516421733,4.898241267,0.0,8.64601198,3.865416235,0.0,4.381837968,2.065631854,7.48029185,7.730718787,0.0,0.0,0.0,0.0,0.0,0.0,0.008200712,0.034737375,0.0,0.117066428,0.0,0.183308543,0.0,0.081501855,0.146909104,0.151001793,0.0,0.017420024,0.002926485,0.348714417,0.0,0.001931591,0.0,1.0,1.0,"[[1], [4]]"
