coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,ODMature2
0x0,0.0,0.0,0.0,6.721825801,0.0,2.463139613,10.6439411,3.5834527300000003,0.0,0.560163093,7.281900338,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,0.0,0.0,1.120313117,0.560163093,3.023302706,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,0.0,0.0,0.0,0.560163093,27.09312166,0.560163093,17.92343619,3.023302706,0.0,0.0,0.0,5.486413525,2.240634118,4.926250432,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,14.00375625,0.0,0.560163093,3.921075182,10.6439411,3.360938881,0.0,0.0,2.463139613,0.0,0.0,0.560163093,0.0,8.509695698,0.0,0.560163093,0.0,3.921075182,0.0,0.0,32.581906623,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,21.507859883,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,13.107080712999998,6.046563549,0.0,1.120313117,4.926250432,3.5834527300000003,0.0,0.0,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,18.705630293,0.0,0.0,30.676559277,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,2.463139613,0.0,9.851755496,0.0,0.0,0.0,13.44441641,2.463139613,1.120313117,0.0,0.0,6.384214795,0.0,0.560163093,0.0,32.02174353,0.008862179,0.056678599,0.003502826,0.041176904,0.0,0.017684828,1.063478746,0.01280025,0.0,0.0,0.10164143099999999,0.0,0.0,0.0,0.050427299,0.006769616,0.43121327,0.002089427,0.0,0.0,1.0,1.0
1x1,0.0,0.0,3.332614013,7.55498423,0.0,3.332614013,10.6439411,1.120313117,0.0,0.560163093,8.115058767,0.560163093,0.833158429,0.0,0.0,0.560163093,12.597546519000002,0.560163093,1.666306062,0.0,1.120313117,0.560163093,1.393321522,0.560163093,8.962308815,3.073792547,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,11.188347311000001,7.512497832,1.120313117,0.0,0.0,0.0,0.0,0.560163093,18.32858226,1.393321522,17.92343619,0.560163093,0.0,0.0,1.666306062,0.560163093,2.240634118,0.0,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,14.00375625,0.0,1.393321522,3.921075182,10.6439411,3.360938881,1.666306062,0.0,0.0,0.0,0.0,0.560163093,0.0,5.286022862,0.833158429,0.560163093,0.0,13.918727862,0.0,0.0,18.057107873,6.721825801,0.560163093,0.0,1.393321522,0.0,0.0,0.0,0.0,19.877878699,0.560163093,3.6197647870000003,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,0.0,1.953471546,0.833158429,1.120313117,0.0,0.0,1.393321522,0.560163093,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,22.907629066,0.0,0.0,50.273669227,0.0,8.962308815,2.240634118,1.393321522,0.560163093,1.393321522,0.0,0.0,2.49945167,0.0,0.0,0.0,13.44441641,1.666306062,2.786619179,0.0,0.0,3.921075182,0.0,1.393321522,0.0,29.9955966,0.028174495,0.036487336,0.074644945,0.055894209,0.0,0.0,1.187509763,0.01280025,0.001753042,0.0,0.09655175099999999,0.0,0.0,0.0,0.050427299,0.025996785,0.603902071,0.003530092,0.016707202,0.0,1.0,1.0
2x2,0.0,0.0,0.0,6.721825801,0.0,0.0,20.513201662999997,1.120313117,0.0,0.560163093,12.216890454,0.560163093,0.0,2.467448345,2.467448345,0.560163093,11.76438809,0.560163093,2.467448345,0.0,1.120313117,0.560163093,0.560163093,0.560163093,11.429757160000001,21.980216157999998,0.560163093,0.560163093,0.0,1.120313117,1.120313117,3.027611438,9.522041249,1.680464131,3.5877614620000005,0.0,0.0,0.0,0.0,0.560163093,34.5467582,0.560163093,17.92343619,0.560163093,0.0,2.467448345,4.934990116,5.495153209,4.708082463,4.934990116,0.0,2.467448345,0.0,0.0,0.0,4.934990116,4.934990116,14.00375625,0.0,0.560163093,6.388523527,15.578931215999999,3.360938881,7.402528612,0.0,0.0,0.0,0.0,0.560163093,0.0,6.055303233,0.0,0.560163093,0.0,3.921075182,0.0,0.0,52.380358073,9.189274145999999,0.560163093,0.0,0.560163093,0.0,2.467448345,0.0,0.0,19.04472027,0.560163093,3.5877614620000005,3.921075182,0.0,14.231836435000002,0.0,15.578931215999999,1.120313117,0.0,1.120313117,4.934990116,1.120313117,0.0,7.402528612,0.560163093,0.560163093,0.560163093,3.027611438,0.0,1.120313117,0.0,0.0,21.177480795999998,0.0,0.0,107.222909717,0.0,21.300594035,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,4.934990116,0.0,0.0,0.0,15.911864755,0.0,3.5877614620000005,0.0,0.0,6.388523527,0.0,0.560163093,0.0,44.41507126,0.002912167,0.125003794,0.0,0.09873412200000001,0.0,0.065165276,2.243620227,0.14481738300000002,0.0,0.0,0.078633737,0.0,0.575796023,0.0,0.057656481,0.0,0.295925394,0.0,0.0,0.0,1.0,1.0
3x3,0.0,0.0,0.0,6.721825801,0.0,1.634632228,10.6439411,4.389645819,0.0,0.560163093,7.281900338,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,1.634632228,0.0,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,2.194795321,0.0,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,0.0,1.634632228,0.0,0.560163093,58.84115951,0.560163093,21.192768892,0.560163093,0.0,0.0,0.0,0.560163093,2.240634118,0.0,0.0,0.0,0.0,1.634632228,0.0,39.2346289,1.634632228,15.638388478,0.0,0.560163093,3.921075182,10.6439411,8.264852572999999,0.0,0.0,0.0,0.0,0.0,0.560163093,0.0,2.7549453450000003,1.634632228,0.560163093,0.0,5.55570741,0.0,0.0,34.886613353,6.721825801,0.560163093,0.0,0.560163093,1.634632228,0.0,0.0,1.634632228,20.679352498,0.560163093,4.389645819,3.921075182,0.0,11.76438809,0.0,12.278573328,2.7549453450000003,0.0,1.120313117,11.44228085,1.120313117,0.0,0.0,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,1.634632228,0.0,24.415883688,0.0,0.0,92.65402846699999,0.0,8.962308815,3.875266346,0.560163093,0.560163093,0.560163093,0.0,0.0,11.44228085,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,6.538587847,3.921075182,0.0,0.560163093,0.0,47.40608956,0.002912167,0.071636653,0.0,0.043802497,0.0,0.023750201,1.563716509,0.01280025,0.0,0.0,0.078633737,0.0,0.595217848,0.0,0.050427299,0.0,0.34749251800000003,0.0,0.0,0.0,1.0,1.0
4x4,0.0,0.0,1.550997306,6.721825801,0.0,3.10204103,10.6439411,1.120313117,1.550997306,0.560163093,7.281900338,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,0.0,0.0,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,3.231461437,2.671310423,0.0,0.0,0.0,0.0,0.560163093,27.92011396,0.560163093,24.127540625,0.560163093,0.0,1.550997306,0.0,0.560163093,2.240634118,0.0,0.0,0.0,0.0,1.550997306,0.0,26.36528654,1.550997306,15.554753556,0.0,0.560163093,3.921075182,13.74598213,4.911936187,1.550997306,0.0,1.550997306,0.0,0.0,0.560163093,0.0,8.875390722,0.0,2.111160399,0.0,3.921075182,0.0,0.0,48.639648433,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,23.697733476,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,2.671310423,0.0,1.120313117,7.755077605,1.120313117,0.0,0.0,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,20.895503886,0.0,0.0,77.121957557,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,13.95891175,0.0,0.0,1.550997306,13.44441641,0.0,1.120313117,0.0,3.10204103,3.921075182,0.0,0.560163093,0.0,43.43242331,0.002912167,0.083647229,0.015068849,0.039650331000000004,0.0,0.055013459,0.988932297,0.01280025,0.0,0.013382966,0.078633737,0.0,0.393862711,0.0,0.050427299,0.0,0.298075115,0.0,0.004902438,0.0,1.0,1.0
5x5,0.0,0.516421733,2.582036443,9.811849706,0.0,2.979561346,3.614875615,18.989833432999998,0.0,0.0,1.549235748,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,0.516421733,0.0,1.032825032,0.0,2.979561346,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,0.0,1.549235748,0.0,0.0,27.609543393000003,0.516421733,0.0,2.463139613,0.0,0.0,0.0,12.156064054,4.131330645,9.057581077,2.065631854,0.516421733,0.516421733,0.0,0.0,23.201436152000003,3.495964645,9.294375367,0.0,0.0,1.032825032,6.196975098,1.032825032,20.65708495,0.0,4.012375361,0.0,0.516421733,1.549235748,0.0,7.905804313999999,0.516421733,0.0,0.0,6.713296038,0.0,0.0,33.054568562,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,3.495964645,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,25.701319263,6.991882285999999,0.516421733,2.582036443,4.926250432,4.012375361,0.0,11.36232054,0.0,1.549235748,0.0,0.0,0.0,0.0,0.0,0.0,7.627244217,0.0,0.516421733,29.55624616,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,3.495964645,0.0,10.368177228999999,0.516421733,1.032825032,0.0,6.713296038,2.463139613,0.0,0.516421733,2.065631854,6.078015228,0.0,0.0,0.0,32.02174353,0.005950012,0.020191263,0.003502826,0.01714875,0.016352126,0.017684828,1.180545174,0.0,0.0,0.0,0.08663138,0.0,0.0,0.0,0.011299983,0.006769616,0.484002293,0.002089427,0.0,0.0,1.0,1.0
6x6,0.0,0.516421733,5.914650456,10.645008135000001,0.0,3.849035746,3.614875615,16.52669382,0.0,0.0,2.382394177,0.0,0.833158429,1.032825032,0.516421733,15.49301295,6.513674299,0.516421733,2.182727795,0.0,1.032825032,0.0,1.349580162,0.0,0.0,0.833158429,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,7.346821932,8.414070144,0.516421733,0.0,0.0,1.549235748,0.0,0.0,18.845003993000002,1.349580162,0.0,0.0,0.0,0.0,1.666306062,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.833158429,0.0,9.364293653,2.699131094,9.294375367,0.0,0.833158429,1.032825032,6.196975098,1.032825032,22.323391012000002,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,4.6821314780000005,1.349580162,0.0,0.0,16.710948718,0.0,0.0,18.529769812,0.0,1.032825032,0.0,0.833158429,1.549235748,0.0,0.516421733,0.516421733,1.8659834610000001,9.294375367,3.532276702,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,0.516421733,3.415194872,0.833158429,1.549235748,0.0,11.36232054,0.833158429,1.549235748,0.0,0.0,0.0,0.0,0.0,0.0,11.829242990000001,0.0,0.516421733,49.15335611,0.0,10.32921973,0.0,0.833158429,0.516421733,1.349580162,1.032825032,0.0,3.015873403,0.516421733,1.032825032,0.0,6.713296038,1.666306062,1.666306062,0.516421733,2.065631854,3.614875615,0.0,0.833158429,0.0,29.9955966,0.025262328,0.0,0.074644945,0.031866055,0.016352126,0.0,1.304576191,0.0,0.001753042,0.0,0.0815417,0.0,0.0,0.0,0.011299983,0.025996785,0.6566910939999999,0.003530092,0.016707202,0.0,1.0,1.0
7x7,0.0,0.516421733,2.582036443,9.811849706,0.0,0.516421733,13.484136178,16.52669382,0.0,0.0,6.484225864,0.0,0.0,3.500273377,2.9838700780000003,15.49301295,5.68051587,0.516421733,2.9838700780000003,0.0,1.032825032,0.0,0.516421733,0.0,2.467448345,19.73958204,0.516421733,2.582036443,0.516421733,0.0,0.0,2.467448345,5.68051587,2.582036443,2.9838700780000003,0.0,0.0,1.549235748,0.0,0.0,35.063179933,0.516421733,0.0,0.0,0.0,2.467448345,4.934990116,12.164803738,6.5987789900000005,9.066320761,2.065631854,2.9838700780000003,0.516421733,0.0,0.0,5.967815148,5.967815148,9.294375367,0.0,0.0,3.500273377,11.131965214000001,1.032825032,28.059613562000003,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,5.451411848999999,0.516421733,0.0,0.0,6.713296038,0.0,0.0,52.853020011999995,2.467448345,1.032825032,0.0,0.0,1.549235748,2.467448345,0.516421733,0.516421733,1.032825032,9.294375367,3.500273377,0.0,1.032825032,8.147964215,0.516421733,28.173169766,2.065631854,0.516421733,2.582036443,4.934990116,1.549235748,0.0,18.764849152,0.0,1.549235748,0.0,2.467448345,0.0,0.0,0.0,0.0,10.09909472,0.0,0.516421733,106.1025966,0.0,22.66750495,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,5.451411848999999,0.516421733,1.032825032,0.0,9.180744383,0.0,2.467448345,0.516421733,2.065631854,6.08232396,0.0,0.0,0.0,44.41507126,0.0,0.088516458,0.0,0.074705968,0.016352126,0.065165276,2.3606866550000003,0.132017133,0.0,0.0,0.063623686,0.0,0.575796023,0.0,0.018529165,0.0,0.348714417,0.0,0.0,0.0,1.0,1.0
8x8,0.0,0.516421733,2.582036443,9.811849706,0.0,2.151053961,3.614875615,19.796026522,0.0,0.0,1.549235748,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,2.151053961,0.0,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,4.216668671,0.516421733,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,0.0,3.183867976,0.0,0.0,59.357581243,0.516421733,3.269332702,0.0,0.0,0.0,0.0,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,1.634632228,0.0,40.267453931999995,2.66745726,10.929007595000002,0.0,0.0,1.032825032,6.196975098,5.936738724,20.65708495,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,2.151053961,2.151053961,0.0,0.0,8.347928266,0.0,0.0,35.359275292,0.0,1.032825032,0.0,0.0,3.183867976,0.0,0.516421733,2.151053961,2.66745726,9.294375367,4.302157734,0.0,1.032825032,5.68051587,0.516421733,24.872811878,3.700264082,0.516421733,2.582036443,11.44228085,1.549235748,0.0,11.36232054,0.0,1.549235748,0.0,0.0,0.0,0.0,1.634632228,0.0,13.337497612,0.0,0.516421733,91.53371535,0.0,10.32921973,1.634632228,0.0,0.516421733,0.516421733,1.032825032,0.0,11.958702582999999,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,8.604219701,3.614875615,0.0,0.0,0.0,47.40608956,0.0,0.035149317,0.0,0.019774343,0.016352126,0.023750201,1.680782937,0.0,0.0,0.0,0.063623686,0.0,0.595217848,0.0,0.011299983,0.0,0.400281541,0.0,0.0,0.0,1.0,1.0
9x9,0.0,0.516421733,4.133033749,9.811849706,0.0,3.618462763,3.614875615,16.52669382,1.550997306,0.0,1.549235748,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,0.516421733,0.0,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,4.133033749,2.067419039,0.0,0.0,1.549235748,0.0,0.0,28.436535693,0.516421733,6.204104435,0.0,0.0,1.550997306,0.0,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,1.550997306,0.0,27.398111572,2.583822338,10.845372673,0.0,0.0,1.032825032,9.299016128,2.583822338,22.208082256,0.0,3.1002330540000003,0.0,0.516421733,1.549235748,0.0,8.271499338,0.516421733,1.550997306,0.0,6.713296038,0.0,0.0,49.112310371999996,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,5.685838238,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,3.6166291599999996,0.516421733,2.582036443,7.755077605,1.549235748,0.0,11.36232054,0.0,1.549235748,0.0,0.0,0.0,0.0,0.0,0.0,9.81711781,0.0,0.516421733,76.00164444,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,14.475333483,0.516421733,1.032825032,1.550997306,6.713296038,0.0,0.0,0.516421733,5.167672884,3.614875615,0.0,0.0,0.0,43.43242331,0.0,0.047159893,0.015068849,0.015622177000000001,0.016352126,0.055013459,1.105998725,0.0,0.0,0.013382966,0.063623686,0.0,0.393862711,0.0,0.011299983,0.0,0.350864138,0.0,0.004902438,0.0,1.0,1.0
