coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,ODMature3,permutationTracker
0x0,0.0,0.0,0.0,6.721825801,1.781762191,0.0,10.6439411,1.120313117,0.0,0.560163093,9.063662529,2.341925284,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,0.0,0.0,1.120313117,2.341925284,0.560163093,0.560163093,8.962308815,2.240634118,2.341925284,0.560163093,0.0,1.120313117,1.120313117,0.560163093,13.085456610000001,1.680464131,1.120313117,0.0,0.0,0.0,0.0,0.560163093,33.84977672,0.560163093,17.92343619,0.560163093,0.0,0.0,0.0,2.341925284,2.240634118,0.0,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,14.00375625,0.0,0.560163093,3.921075182,12.425703291,3.360938881,0.0,0.0,1.781762191,0.0,0.0,0.560163093,0.0,8.247308256,1.781762191,0.560163093,0.0,5.702837373,0.0,0.0,34.409939813,6.721825801,2.341925284,0.0,0.560163093,1.781762191,0.0,0.0,0.0,20.826482460999998,4.1235784540000004,8.247308256,3.921075182,0.0,13.546150281000001,0.0,14.207356461,4.683728478,7.126995139,1.120313117,0.0,2.902075308,0.0,0.0,0.560163093,2.341925284,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,19.805906041,0.0,1.781762191,100.906264557,0.0,8.962308815,2.240634118,0.560163093,2.341925284,0.560163093,0.0,0.0,5.345122338,0.0,0.0,0.0,15.226178601,0.0,1.120313117,0.0,1.781762191,3.921075182,0.0,0.560163093,0.0,58.79983697,0.002912167,0.126518714,0.020996375,0.064645516,0.0,0.062355816,2.199779119,0.158846119,0.0,0.0,0.120063535,0.0,0.774066928,0.0,0.159487192,0.004172908,0.3089941,0.0,0.007626545,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,0.0,8.029422983,0.0,1.961419965,11.297767804,1.774139821,0.653826704,0.560163093,7.935727042,1.213989797,0.653826704,0.0,0.0,1.8677602750000002,16.340994582,1.213989797,0.653826704,1.307597182,1.774139821,2.521583058,0.560163093,2.521583058,9.616135519,2.240634118,0.560163093,3.82920089,0.0,1.120313117,1.120313117,0.560163093,16.714042312,1.680464131,1.120313117,0.0,0.0,0.653826704,0.0,0.560163093,22.8836116,0.560163093,18.577262894,1.213989797,0.0,0.0,0.0,1.213989797,4.85589798,0.0,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,18.580362742,0.0,0.560163093,4.574901886,14.566829606999999,5.322358846,0.0,0.0,0.653826704,0.0,0.653826704,0.560163093,0.0,4.389350914,2.615263862,1.213989797,0.0,5.228672364,0.653826704,0.0,24.095950503,7.375652505,1.213989797,0.0,5.136769585,0.0,0.0,0.653826704,0.0,20.352317451999998,0.560163093,10.927184928,5.228672364,0.0,14.379651952,0.0,13.259204961999998,2.427910299,0.0,1.774139821,11.76732754,1.120313117,0.0,0.0,0.560163093,1.8677602750000002,1.213989797,0.560163093,0.0,1.120313117,0.653826704,7.192001063,23.434491743,1.307597182,0.653826704,35.114829817,0.0,10.92372878,2.240634118,0.560163093,0.560163093,0.560163093,0.653826704,0.0,7.192001063,0.0,0.0,0.0,15.405836375,0.653826704,3.735576979,1.307597182,0.0,5.228672364,0.0,3.175426955,0.0,38.57309339,0.017540299999999998,0.073440163,0.0,0.047870043,0.0,0.033577389,1.553289152,0.041820686,0.0,0.0,0.093906885,0.0,0.716405905,0.0,0.13406723,0.0,0.295925394,0.0,0.0,0.014299006,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,8.205343522,12.192059988,0.0,2.735080789,10.6439411,3.8553939059999998,0.0,8.765506615,7.281900338,3.295243882,0.0,0.0,0.0,0.560163093,11.76438809,6.03039728,0.0,0.0,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,7.150698318,1.120313117,0.0,0.0,0.0,0.0,0.560163093,21.88231712,3.295243882,20.658516979,0.560163093,0.0,0.0,0.0,0.560163093,7.710868305,10.93988104,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,16.738837039,0.0,0.560163093,3.921075182,18.849284622,3.360938881,8.205343522,0.0,2.735080789,0.0,2.735080789,0.560163093,2.735080789,9.325656639,0.0,0.560163093,0.0,17.596814872,0.0,0.0,38.851788953,6.721825801,0.560163093,0.0,0.560163093,2.735080789,0.0,0.0,2.735080789,19.04472027,3.295243882,3.8553939059999998,3.921075182,0.0,11.76438809,0.0,24.31968079,1.120313117,0.0,1.120313117,0.0,1.120313117,0.0,0.0,0.560163093,0.560163093,0.560163093,3.295243882,0.0,1.120313117,0.0,0.0,18.977571469,0.0,0.0,77.70928550699999,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,0.0,2.735080789,8.205343522,0.0,0.0,0.0,24.38429745,0.0,1.120313117,0.0,0.0,3.921075182,2.735080789,0.560163093,0.0,27.35306412,0.002912167,0.046685326,0.0,0.06505448,0.0,0.029032284,1.348172513,0.196820145,0.091746982,0.0,0.09645683,0.0,1.412514876,0.0,0.050427299,0.0,0.295925394,0.0,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,2.084324048,0.0,6.721825801,0.0,0.0,10.6439411,5.288878327,0.0,0.560163093,9.366224385999999,0.560163093,0.0,0.0,2.084324048,0.560163093,13.848712138,0.560163093,0.0,2.084324048,3.2046371650000003,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,3.764788179,1.120313117,0.0,0.0,0.0,0.0,0.560163093,10.42089135,0.560163093,17.92343619,2.644487141,0.0,0.0,2.084324048,2.644487141,2.240634118,12.50516828,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,16.088080298,0.0,0.560163093,3.921075182,12.728265147999998,5.445262929,0.0,2.084324048,0.0,0.0,0.0,0.560163093,0.0,13.625481397,0.0,0.560163093,0.0,3.921075182,0.0,0.0,23.487810483,8.806149849,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,25.297592053,0.560163093,5.288878327,3.921075182,0.0,11.76438809,0.0,14.81250631,1.120313117,0.0,3.2046371650000003,0.0,1.120313117,0.0,2.084324048,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,18.326814728,0.0,0.0,84.492634837,0.0,8.962308815,2.240634118,0.560163093,0.560163093,2.644487141,0.0,0.0,2.084324048,0.0,0.0,0.0,13.44441641,2.084324048,1.120313117,0.0,4.16856521,3.921075182,2.084324048,0.560163093,0.0,25.01357257,0.002912167,0.036487336,0.0,0.053506216,0.0,0.0,0.867583378,0.01280025,0.0,0.0,0.078633737,0.0,0.819952277,0.093054962,0.069501014,0.004065165,0.295925394,0.0,0.0,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,1.24099042,7.962816221,0.0,0.0,11.884931519999999,4.843226709,2.481929712,0.560163093,8.522890757999999,0.560163093,0.0,0.0,1.24099042,3.042092805,16.728283245,0.560163093,0.0,0.0,4.843226709,0.560163093,0.560163093,0.560163093,8.962308815,4.72256383,0.560163093,3.042092805,0.0,1.120313117,1.120313117,1.801153513,14.485936404,2.921454551,1.120313117,0.0,0.0,6.204767988,1.24099042,0.560163093,31.02580095,1.801153513,20.405365902,1.801153513,0.0,0.0,0.0,0.560163093,4.72256383,4.963895155,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,20.208524238000003,0.0,0.560163093,3.921075182,13.125870811999999,5.842868593,13.65210425,0.0,1.24099042,0.0,0.0,0.560163093,0.0,4.843226709,1.24099042,0.560163093,0.0,10.12584317,0.0,0.0,41.516735323,7.962816221,8.005947673,0.0,0.560163093,0.0,0.0,0.0,1.24099042,21.526649982,1.801153513,8.566097697,5.162065602,0.0,13.00537851,0.0,21.81140314,1.120313117,0.0,1.120313117,3.722913592,2.361303537,2.481929712,1.24099042,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,23.688275259999998,0.0,0.0,66.89317646699999,0.0,10.203299235,3.481624538,0.560163093,0.560163093,0.560163093,0.0,0.0,17.37384295,0.0,0.0,0.0,17.167330002,1.24099042,1.120313117,0.0,0.0,5.162065602,1.24099042,0.560163093,0.0,31.02580095,0.002912167,0.064006664,0.022148275,0.056938926,0.0,0.024115643,2.080704195,0.01280025,0.000573232,0.0,0.090863027,0.0,0.213835962,0.0,0.061874228,0.018213381,0.295925394,0.041091738,0.0206022,0.013707828,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.516421733,2.582036443,9.811849706,1.781762191,0.516421733,3.614875615,16.52669382,0.0,0.0,3.3309979390000004,1.781762191,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,0.516421733,0.0,1.032825032,1.781762191,0.516421733,0.0,0.0,0.0,2.298183924,2.582036443,0.516421733,0.0,0.0,0.0,9.243931231,2.582036443,0.516421733,0.0,0.0,1.549235748,0.0,0.0,34.366198453,0.516421733,0.0,0.0,0.0,0.0,0.0,9.011575813,4.131330645,4.131330645,2.065631854,2.298183924,0.516421733,0.0,0.0,52.707273862,1.032825032,9.294375367,0.0,0.0,1.032825032,7.978737289000001,1.032825032,20.65708495,0.0,3.3309979390000004,0.0,0.516421733,1.549235748,0.0,7.6434168719999995,2.298183924,0.0,0.0,8.495058229,0.0,0.0,34.882601752,0.0,2.814587223,0.0,0.0,3.3309979390000004,0.0,0.516421733,0.516421733,2.814587223,12.857790728000001,8.159820171,0.0,1.032825032,7.462278061,0.516421733,26.801595011,5.629047215,7.6434168719999995,2.582036443,0.0,3.3309979390000004,0.0,11.36232054,0.0,3.3309979390000004,0.0,0.0,0.0,0.0,0.0,0.0,8.727519965,0.0,2.298183924,99.78595144,0.0,10.32921973,0.0,0.0,2.298183924,0.516421733,1.032825032,0.0,5.861544071000001,0.516421733,1.032825032,0.0,8.495058229,0.0,0.0,0.516421733,3.8473940449999997,3.614875615,0.0,0.0,0.0,58.79983697,0.0,0.090031378,0.020996375,0.040617362,0.016352126,0.062355816,2.316845547,0.146045869,0.0,0.0,0.105053484,0.0,0.774066928,0.0,0.120359876,0.004172908,0.361783123,0.0,0.007626545,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.516421733,2.582036443,11.119446888,0.0,2.4778416979999998,4.268702319,17.180520524,0.653826704,0.0,2.203062452,0.653826704,0.653826704,1.032825032,0.516421733,16.800610132,10.257122362,1.1702484370000001,1.1702484370000001,1.307597182,1.686651736,1.961419965,0.516421733,1.961419965,0.653826704,0.0,0.516421733,5.85107424,0.516421733,0.0,0.0,0.0,12.872516933,2.582036443,0.516421733,0.0,0.0,2.203062452,0.0,0.0,23.400033333,0.516421733,0.653826704,0.653826704,0.0,0.0,0.0,7.883640326,6.746594507,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,27.836358972000003,1.032825032,13.870981859,0.0,0.0,1.686651736,10.119863605,2.994244997,20.65708495,0.0,2.203062452,0.0,1.1702484370000001,1.549235748,0.0,3.7854595300000002,3.131685595,0.653826704,0.0,8.02089322,0.653826704,0.0,24.568612442000003,0.653826704,1.686651736,0.0,4.576606492,1.549235748,0.0,1.1702484370000001,0.516421733,2.340422214,9.294375367,10.839696843,1.307597182,1.032825032,8.295779732,0.516421733,25.853443512,3.3732290359999997,0.516421733,3.235863147,11.76732754,1.549235748,0.0,11.36232054,0.0,2.8568329300000004,0.653826704,0.0,0.0,0.0,0.653826704,7.192001063,12.356105667000001,1.307597182,1.1702484370000001,33.9945167,0.0,12.290639695,0.0,0.0,0.516421733,0.516421733,1.686651736,0.0,7.708422796000001,0.516421733,1.032825032,0.0,8.674716003,0.653826704,2.615263862,1.8240189150000001,2.065631854,4.922472797,0.0,2.615263862,0.0,38.57309339,0.014628133,0.036952827,0.0,0.023841888999999998,0.016352126,0.033577389,1.67035558,0.029020436,0.0,0.0,0.078896834,0.0,0.716405905,0.0,0.094939914,0.0,0.348714417,0.0,0.0,0.014299006,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.516421733,10.787379965,15.282083893,0.0,3.251502522,3.614875615,19.261774609,0.0,8.205343522,1.549235748,2.735080789,0.0,1.032825032,0.516421733,15.49301295,5.68051587,5.9866559200000005,0.516421733,0.0,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,8.052270629999999,0.516421733,0.0,0.0,1.549235748,0.0,0.0,22.398738853,3.251502522,2.735080789,0.0,0.0,0.0,0.0,7.229813622,9.601564832000001,15.071211685,2.065631854,3.251502522,0.516421733,2.735080789,0.0,36.592304192,1.032825032,12.029456156,0.0,0.0,1.032825032,14.402318619999999,1.032825032,28.862428472,0.0,4.2843165370000005,0.0,3.251502522,1.549235748,2.735080789,8.721765255,0.516421733,0.0,0.0,20.389035728,0.0,0.0,39.324450892,0.0,1.032825032,0.0,0.0,4.2843165370000005,0.0,0.516421733,3.251502522,1.032825032,12.029456156,3.7679058210000003,0.0,1.032825032,5.68051587,0.516421733,36.91391934,2.065631854,0.516421733,2.582036443,0.0,1.549235748,0.0,11.36232054,0.0,1.549235748,0.0,2.735080789,0.0,0.0,0.0,0.0,7.899185393,0.0,0.516421733,76.58897239,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,1.032825032,2.735080789,8.721765255,0.516421733,1.032825032,0.0,17.653177078,0.0,0.0,0.516421733,2.065631854,3.614875615,2.735080789,0.0,0.0,27.35306412,0.0,0.01019799,0.0,0.041026326,0.016352126,0.029032284,1.465238941,0.184019895,0.091746982,0.0,0.081446779,0.0,1.412514876,0.0,0.011299983,0.0,0.348714417,0.0,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,2.600745781,2.582036443,9.811849706,0.0,0.516421733,3.614875615,20.69525903,0.0,0.0,3.633559796,0.0,0.0,1.032825032,2.600745781,15.49301295,7.764839918,0.516421733,0.516421733,2.084324048,3.11714908,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,4.666360491,0.516421733,0.0,0.0,1.549235748,0.0,0.0,10.937313083,0.516421733,0.0,2.084324048,0.0,0.0,2.084324048,9.314137670000001,4.131330645,16.636498924999998,2.065631854,0.516421733,0.516421733,4.16856521,0.0,23.960472422000002,1.032825032,11.378699415,0.0,0.0,1.032825032,8.281299146,3.11714908,20.65708495,2.084324048,1.549235748,0.0,0.516421733,1.549235748,0.0,13.021590012999999,0.516421733,0.0,0.0,6.713296038,0.0,0.0,23.960472422000002,2.084324048,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,7.285696815,9.294375367,5.2013902419999996,0.0,1.032825032,5.68051587,0.516421733,27.40674486,2.065631854,0.516421733,4.666360491,0.0,1.549235748,0.0,13.446644588000002,0.0,1.549235748,0.0,0.0,0.0,0.0,0.0,0.0,7.248428652,0.0,0.516421733,83.37232172,0.0,10.32921973,0.0,0.0,0.516421733,2.600745781,1.032825032,0.0,2.600745781,0.516421733,1.032825032,0.0,6.713296038,2.084324048,0.0,0.516421733,6.234197064,3.614875615,2.084324048,0.0,0.0,25.01357257,0.0,0.0,0.0,0.029478062,0.016352126,0.0,0.984649806,0.0,0.0,0.0,0.063623686,0.0,0.819952277,0.093054962,0.030373698,0.004065165,0.348714417,0.0,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.516421733,3.823026863,11.052840126,0.0,0.516421733,4.855866035,20.249607412,2.481929712,0.0,2.7902261680000002,0.0,0.0,1.032825032,1.757412153,17.974942662,10.644411025,0.516421733,0.516421733,0.0,4.755738624,0.0,0.516421733,0.0,0.0,2.481929712,0.516421733,5.063966154999999,0.516421733,0.0,0.0,1.24099042,10.644411025,3.823026863,0.516421733,0.0,0.0,7.7540037360000005,1.24099042,0.0,31.542222683000002,1.757412153,2.481929712,1.24099042,0.0,0.0,0.0,7.229813622,6.613260357,9.095225800000001,2.065631854,0.516421733,0.516421733,1.24099042,0.0,14.684929282,1.032825032,15.499143355000001,0.0,0.0,1.032825032,8.67890481,3.514754744,34.309189200000006,0.0,2.7902261680000002,0.0,0.516421733,1.549235748,0.0,4.239335325,1.757412153,0.0,0.0,12.918064026,0.0,0.0,41.989397262,1.24099042,8.478609612,0.0,0.0,1.549235748,0.0,0.516421733,1.757412153,3.514754744,10.535365787,8.478609612,1.24099042,1.032825032,6.92150629,0.516421733,34.405641689999996,2.065631854,0.516421733,2.582036443,3.722913592,2.7902261680000002,2.481929712,12.60331096,0.0,1.549235748,0.0,0.0,0.0,0.0,0.0,0.0,12.609889184,0.0,0.516421733,65.77286335,0.0,11.57021015,1.24099042,0.0,0.516421733,0.516421733,1.032825032,0.0,17.890264683,0.516421733,1.032825032,0.0,10.43620963,1.24099042,0.0,0.516421733,2.065631854,4.855866035,1.24099042,0.0,0.0,31.02580095,0.0,0.027519328,0.022148275,0.032910772,0.016352126,0.024115643,2.1977706230000003,0.0,0.000573232,0.0,0.075852976,0.0,0.213835962,0.0,0.022746912,0.018213381,0.348714417,0.041091738,0.0206022,0.013707828,1.0,1.0,"[[1], [4]]"
