coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,Ambiguous
0x0,0.0,0.597533596,6.836824475,5.230432123,0.0,4.035353906,1.792608143,10.049717202,0.0,0.0,4.182866232,5.602981572,1.792608143,1.606395117,0.0,0.597533596,13.821290296,5.975414182,0.597533596,2.987769065,1.008861521,2.203939738,0.597533596,0.0,1.008861521,3.810266015,1.008861521,6.239294549,3.810266015,0.0,1.195078217,0.597533596,14.4187941,2.203939738,0.0,0.0,0.0,12.02851351,1.008861521,0.0,0.0,0.0,2.615191468,1.008861521,1.195078217,0.0,4.632887502,14.23247383,2.987769065,14.722694376,0.0,0.0,1.008861521,8.070683217,1.008861521,1.195078217,2.615191468,13.487780185,0.597533596,0.597533596,5.602981572,3.212736089,1.792608143,2.203939738,2.017657872,1.792608143,1.008861521,0.0,0.0,0.0,1.606395117,1.008861521,0.0,0.0,9.040868393,0.0,0.0,2.390158475,11.765955781,9.265761434,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,1.606395117,0.0,0.0,0.0,13.859023195999999,0.0,12.176008392,4.221599509,8.96322642,3.399019996,1.606395117,0.597533596,0.0,0.0,1.008861521,2.390158475,1.195078217,1.792608143,0.0,0.0,2.017657872,0.0,4.407816347,1.195078217,1.008861521,1.792608143,1.195078217,32.86921645,0.0,0.0,0.0,0.0,6.611844992,5.044216332,4.780428052,0.0,0.0,0.597533596,7.806949344,0.0,5.377933695,1.792608143,0.0,5.377933695,1.792608143,1.008861521,2.987769065,0.0,0.066001952,0.023275556,0.002384171,0.017591022,0.0,0.0,0.0,0.0,0.014445687,0.0,0.17923955800000002,0.0,0.06299201,0.0,0.066470876,0.022964069,0.542138467,0.0,0.006601794,0.089370681,1.0,1.0
1x1,0.0,6.908060806,5.044216332,4.035353906,0.0,5.762321644,1.726967738,7.061948137,0.0,0.0,0.0,2.017657872,3.453997819,1.008861521,0.0,0.0,7.780067066,0.0,0.0,3.453997819,2.735829259,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,4.46285934,0.0,0.0,13.81494352,6.053099328,1.008861521,0.0,0.0,0.0,2.017657872,1.008861521,0.0,10.36318298,5.762321644,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,12.824589448000001,0.0,0.0,2.017657872,5.4716556910000005,3.453997819,1.008861521,2.017657872,0.0,7.916922327,0.0,1.726967738,0.0,1.008861521,2.735829259,0.0,0.0,6.053099328,8.634961864,0.0,5.181017882,1.008861521,8.070683217,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,2.735829259,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,6.908060806,1.008861521,6.189879403,0.0,0.0,0.0,1.008861521,0.0,0.0,1.726967738,0.0,0.0,2.017657872,0.0,2.017657872,1.726967738,7.916922327,0.0,1.726967738,17.866540818,0.0,0.0,0.0,0.0,4.75348903,5.044216332,0.0,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,1.726967738,0.0,0.0,1.008861521,0.0,3.453997819,0.003631538,0.11273483000000001,0.029718972,0.041273129,0.0,0.035790683,0.0,0.0,0.014445687,0.0,0.19452741,0.0,0.09201851,0.0,0.016546384,0.053322866,0.665207094,0.0,0.026338142000000002,0.018258397,1.0,1.0
2x2,0.0,0.0,5.044216332,4.035353906,0.0,22.466570826,0.0,10.74792349,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,3.685975353,6.053099328,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,17.111785698,4.694836874,0.0,0.0,3.685975353,6.053099328,1.008861521,0.0,3.685975353,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,11.05868637,2.017657872,11.09762171,0.0,0.0,2.017657872,5.703633225,0.0,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,4.694836874,1.008861521,0.0,0.0,6.053099328,0.0,0.0,11.05868637,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,5.703633225,6.712496645,0.0,1.008861521,1.008861521,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.0,0.0,2.017657872,0.0,2.017657872,0.0,1.008861521,25.80402412,0.0,16.13957308,0.0,0.0,0.0,3.685975353,6.712496645,5.044216332,7.371822272,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,29.48596874,0.009705217,0.023275556,0.015426285000000001,0.036906209999999995,0.0,0.0,0.512899224,0.0,0.014445687,0.0,0.097541625,0.0,0.240043728,0.0,0.0,0.016809277,0.495186523,0.0,0.006601794,0.018258397,1.0,1.0
3x3,0.0,1.162867924,6.207084256,6.361106971,0.0,4.035353906,0.0,11.132088703,0.0,0.0,1.744353171,3.180525796,0.581430098,1.008861521,0.0,0.0,10.704680895,4.070140566,0.581430098,0.0,1.590291619,1.008861521,0.0,0.0,1.008861521,4.343410937,1.008861521,12.602959614,2.5990879700000002,0.581430098,0.581430098,0.581430098,11.286140563,2.171729445,0.0,0.0,0.0,7.215967252,1.008861521,0.581430098,13.95546773,0.0,6.087798438,1.008861521,0.0,0.0,4.035353906,7.061948137,1.162867924,14.12516078,0.581430098,0.0,1.008861521,8.070683217,1.008861521,17.44165954,2.017657872,11.679051808,0.0,1.162867924,2.017657872,6.087798438,4.070140566,1.590291619,2.017657872,0.0,1.008861521,1.162867924,0.0,0.0,3.9161007260000003,2.171729445,0.0,0.0,10.704680895,0.0,0.0,15.11758614,12.056446551,37.145292927,0.581430098,1.162867924,1.162867924,0.0,0.0,0.581430098,1.744353171,2.171729445,4.651581567,0.0,0.581430098,16.05597,0.581430098,11.321519076000001,5.352274357,0.0,2.171729445,6.241902756,0.581430098,0.0,1.162867924,1.008861521,0.0,0.0,2.325753065,0.0,0.581430098,2.5990879700000002,0.581430098,8.995032728,0.0,1.008861521,20.93309905,1.162867924,32.42181181,0.0,0.0,0.0,0.0,3.60795139,5.625646430000001,1.162867924,0.0,0.581430098,0.581430098,11.748171706,0.581430098,0.0,0.0,0.581430098,4.070140566,1.162867924,1.008861521,0.0,21.51127016,0.0,0.023275556,0.002384171,0.032479406,0.0,0.0,0.897710672,0.0,0.014445687,0.0,0.175301473,0.0,0.094130186,0.0,0.054986737,0.016809277,0.553933775,0.0,0.006601794,0.018258397,1.0,1.0
4x4,0.0,0.0,5.044216332,5.885978318,0.0,4.035353906,0.0,10.763161912,3.701213775,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.0,9.754313103,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,22.372678732,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,7.90372374,1.008861521,0.0,0.0,0.0,11.604889798,1.008861521,0.0,0.0,0.0,2.017657872,2.859485933,0.0,0.0,4.035353906,8.912572549,5.55179047,84.44329945,0.0,0.0,2.859485933,9.921307629,1.008861521,0.0,3.868282284,11.09762171,0.0,0.0,2.017657872,2.017657872,1.850624412,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,9.754313103,0.0,0.0,1.850624412,1.008861521,8.070683217,0.0,0.0,9.254157884,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,1.850624412,12.779808918999999,0.0,13.120852022000001,4.877145704,0.0,6.560651991,1.008861521,3.701213775,0.0,0.0,1.008861521,3.701213775,0.0,1.850624412,0.0,0.0,2.017657872,0.0,2.017657872,0.0,1.008861521,1.850624412,0.0,17.990197492,0.0,0.0,9.254157884,0.0,3.026521292,5.044216332,0.0,0.0,3.701213775,0.0,14.129715442,0.0,0.0,0.0,0.0,3.701213775,0.0,1.008861521,0.0,0.0,0.0,0.023526615,0.002384171,0.008772173,0.0,0.0,0.0,0.0,0.014445687,0.0,0.179192236,0.0,0.04044709,0.0,0.075162232,0.016809277,1.447313446,0.0,0.006601794,0.018258397,1.0,1.0
5x5,0.0,0.597533596,1.792608143,16.334947017,0.630872464,0.630872464,1.792608143,6.142185235,1.261778128,0.0,8.599132419,3.5853237,2.423480607,0.597533596,0.0,3.121080037,12.184457155,6.606286646,1.22840606,2.987769065,3.15441617,1.8259506810000001,1.22840606,0.0,3.15441617,15.672507713,0.630872464,5.611344404,1.792608143,0.630872464,1.195078217,0.597533596,20.983276802,1.8259506810000001,0.0,0.0,0.630872464,7.237192309999999,0.0,0.630872464,0.0,0.630872464,1.8593117239999999,0.0,1.195078217,0.0,2.490210979,10.324941863,4.249547193,40.344942736,0.0,0.0,0.0,13.87989957,0.630872464,1.195078217,10.061588266,17.530027275000002,0.597533596,1.22840606,6.73973987,4.980387365,3.6852855260000004,13.181813857,3.785309148,1.792608143,0.0,0.630872464,0.630872464,0.0,0.597533596,1.892677383,0.630872464,0.630872464,4.249547193,0.0,0.0,7.437298150999999,11.387966724,4.980387365,0.0,1.22840606,8.168109391,1.261778128,0.0,0.597533596,2.423480607,1.8593117239999999,0.0,0.630872464,2.523546441,11.089294058,0.0,18.990760977,3.7186246580000004,10.225004548,4.913704916,1.22840606,3.121080037,0.630872464,1.261778128,2.523546441,3.0210309389999996,1.195078217,2.423480607,0.0,0.0,0.0,3.15441617,9.329966466,3.0877556000000004,1.892677383,1.792608143,1.195078217,20.514952518,0.0,0.0,0.0,0.0,7.370632848,3.785309148,5.411300516000001,0.630872464,0.0,0.597533596,14.244482722,0.0,5.377933695,1.792608143,0.0,7.901480136,1.792608143,0.0,2.987769065,0.0,0.066001952,0.000727536,0.0,0.040284941000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.16899946500000002,0.0,0.12645162,0.0,0.139261576,0.006154792,0.538600142,0.0,0.0,0.089437505,1.0,1.0
6x6,0.0,6.908060806,0.0,15.1398688,0.630872464,2.3578402019999998,1.726967738,3.15441617,1.261778128,0.0,4.416266187,0.0,4.084870283,0.0,0.0,2.523546441,6.143233925,0.630872464,0.630872464,3.453997819,4.881383908,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,4.084870283,0.0,0.0,14.445815984,1.261778128,0.0,0.630872464,0.0,0.630872464,1.261778128,0.0,0.0,10.36318298,3.619645121,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,16.866836538,0.0,0.630872464,3.15441617,7.239306967,5.346675202,11.98673564,3.785309148,0.0,6.908060806,0.630872464,2.3578402019999998,0.0,0.0,3.619645121,0.630872464,0.630872464,1.261778128,8.634961864,0.0,10.228157558,0.630872464,3.785309148,0.0,2.3578402019999998,9.297543532999999,1.261778128,0.0,3.453997819,2.3578402019999998,2.988745866,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,8.169838934,2.523546441,5.811890346,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,0.0,2.3578402019999998,0.0,0.0,0.0,3.15441617,6.939807991,3.619645121,8.800738189,0.0,1.726967738,5.512276886,0.0,0.0,0.0,0.0,5.512276886,3.785309148,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,1.726967738,2.523546441,0.0,0.0,0.0,3.453997819,0.003631538,0.09018681,0.027334801,0.063967048,0.0,0.035790683,0.0,0.0,0.0,0.0,0.184287317,0.0,0.15547812,0.0,0.089337084,0.036513589,0.661668769,0.0,0.019736348,0.018325221,1.0,1.0
7x7,0.0,0.0,0.0,15.1398688,0.630872464,19.062089384,0.0,6.840391523,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,6.2095217940000005,4.416266187,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,23.676268399999998,4.316847817,0.0,0.0,4.316847817,1.261778128,0.0,0.630872464,3.685975353,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,11.05868637,9.46405467,15.1398688,0.0,0.630872464,3.15441617,7.4712845009999995,1.892677383,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,3.685975353,1.892677383,0.630872464,0.630872464,1.261778128,0.0,0.0,16.105826046,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,12.51838581,6.2095217940000005,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,0.0,3.15441617,6.939807991,1.892677383,1.892677383,25.80402412,0.0,3.785309148,0.0,0.0,0.0,3.685975353,7.4712845009999995,3.785309148,8.002694736,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,29.48596874,0.009705217,0.000727536,0.013042114,0.059600129,0.0,0.0,0.512899224,0.0,0.0,0.0,0.087301532,0.0,0.303503338,0.0,0.0727907,0.0,0.49164819800000004,0.0,0.0,0.018325221,1.0,1.0
8x8,0.0,1.162867924,1.162867924,17.465621865,0.630872464,0.630872464,0.0,7.224556736,1.261778128,0.0,6.160619358,1.162867924,1.212302562,0.0,0.0,2.523546441,9.067847753999999,4.70101303,1.212302562,0.0,3.7358462680000004,0.630872464,0.630872464,0.0,3.15441617,16.205652635,0.630872464,11.975009469,0.581430098,1.212302562,0.581430098,0.581430098,17.850623265,1.7937403879999998,0.0,0.0,0.630872464,2.424646052,0.0,1.212302562,13.95546773,0.630872464,5.3319186940000005,0.0,0.0,0.0,1.892677383,3.15441617,2.424646052,39.74740914,0.581430098,0.0,0.0,13.87989957,0.630872464,17.44165954,9.46405467,15.721298898,0.0,1.7937403879999998,3.15441617,7.855449714000001,5.962817949,12.568165738,3.785309148,0.0,0.0,1.7937403879999998,0.630872464,0.0,2.907239205,3.055545307,0.630872464,0.630872464,5.9133596950000005,0.0,0.0,20.164725816,11.678457494,32.859918858,0.581430098,1.7937403879999998,8.733443719,1.261778128,0.0,0.581430098,2.375225635,2.424646052,4.651581567,0.630872464,3.104976539,13.286240862,0.581430098,18.136271661000002,4.8492995059999995,1.261778128,3.686414365,5.863913699,3.104976539,0.630872464,2.424646052,2.523546441,0.630872464,0.0,2.9566255289999996,0.0,0.581430098,0.581430098,3.7358462680000004,13.917182847,1.892677383,1.892677383,20.93309905,1.162867924,20.067547878,0.0,0.0,0.0,0.0,4.366739246,4.366739246,1.7937403879999998,0.630872464,0.581430098,0.581430098,18.185705084,0.581430098,0.0,0.0,0.581430098,6.593687007,1.162867924,0.0,0.0,21.51127016,0.0,0.000727536,0.0,0.055173325,0.0,0.0,0.897710672,0.0,0.0,0.0,0.16506138,0.0,0.157589796,0.0,0.127777437,0.0,0.55039545,0.0,0.0,0.018325221,1.0,1.0
9x9,0.0,0.0,0.0,16.990493212,0.630872464,0.630872464,0.0,6.8556299450000004,4.962991903,0.0,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,8.117479961999999,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,34.23492043,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,14.468206442,0.630872464,0.0,0.0,0.630872464,6.813568598,0.0,0.630872464,0.0,0.630872464,1.261778128,1.850624412,0.0,0.0,1.892677383,5.005040582,6.813568598,110.06554781,0.0,0.0,1.850624412,15.730523982,0.630872464,0.0,11.314679082,15.1398688,0.0,0.630872464,3.15441617,3.785309148,3.743301795,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,0.0,1.892677383,0.630872464,0.630872464,4.962991903,0.0,0.0,6.897764088,0.630872464,3.785309148,0.0,0.630872464,16.824733678999998,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,4.374170853,10.010079781,0.0,19.935604607000002,4.374170853,1.261778128,8.075336911,0.630872464,6.224760216,0.630872464,1.261778128,2.523546441,4.332086239,0.0,2.481496876,0.0,0.0,0.0,3.15441617,6.939807991,1.892677383,1.892677383,1.850624412,0.0,5.63593356,0.0,0.0,9.254157884,0.0,3.785309148,3.785309148,0.630872464,0.630872464,3.701213775,0.0,20.56724882,0.0,0.0,0.0,0.0,6.224760216,0.0,0.0,0.0,0.0,0.0,0.000978595,0.0,0.031466092,0.0,0.0,0.0,0.0,0.0,0.0,0.168952143,0.0,0.10390669999999999,0.0,0.14795293199999998,0.0,1.443775121,0.0,0.0,0.018325221,1.0,1.0
