coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,Endothelial1,Inhibitorycells,Endothelial1cells
0x0,0.0,0.0,5.044216332,4.035353906,4.813664962,4.035353906,0.0,7.061948137,0.0,0.0,4.813664962,2.017657872,0.0,1.008861521,0.0,0.0,8.459925697,0.0,0.0,4.813664962,1.008861521,5.822526483,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,8.459925697,1.008861521,0.0,0.0,0.0,8.459925697,1.008861521,2.406826369,2.406826369,0.0,9.238191306000001,1.008861521,0.0,19.25349607,4.035353906,11.875613098999999,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,42.935604462,4.813664962,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,3.41568789,1.008861521,2.406826369,0.0,20.494973168,0.0,7.220533434,14.44187384,3.41568789,24.919112376999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,2.017657872,7.840186254,0.0,1.008861521,1.008861521,0.0,0.0,0.0,3.41568789,0.0,28.88133525,0.0,0.0,0.0,2.017657872,14.44187384,6.831322834,0.0,1.008861521,0.0,0.0,25.766311734000002,0.0,0.0,0.0,26.472615,3.026521292,5.044216332,0.0,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.023275556,0.002539688,0.006042887,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.0,0.0,0.0,0.016809277,0.5983025319999999,0.0,0.006601794,0.018258397,1.0,1.0,[0],[0]
1x1,1.291870106,0.0,8.919838017,5.327224012,0.0,4.035353906,0.0,10.937569822,0.0,0.0,1.291870106,2.017657872,1.291870106,1.008861521,0.0,0.0,7.344969434,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,3.309527978,0.0,0.0,0.0,6.053099328,2.3007316270000002,0.0,0.0,0.0,9.928721013,1.008861521,0.0,0.0,0.0,4.601344284,1.008861521,0.0,23.25492857,4.035353906,7.061948137,0.0,16.708847192,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,13.681308122,0.0,0.0,2.017657872,34.314266392,0.0,1.008861521,2.017657872,0.0,2.3007316270000002,1.291870106,0.0,1.291870106,1.008861521,1.008861521,0.0,1.291870106,8.63678574,1.291870106,0.0,47.79777273,1.008861521,9.362553322999998,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,4.601344284,4.318391398,0.0,1.008861521,1.008861521,1.291870106,0.0,1.291870106,1.008861521,0.0,37.46803478,0.0,0.0,0.0,2.017657872,6.459333079,2.017657872,0.0,1.008861521,1.291870106,0.0,16.13957308,0.0,0.0,0.0,37.46803478,3.026521292,5.044216332,0.0,0.0,0.0,0.0,4.318391398,0.0,0.0,1.291870106,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.023275556,0.005664275,0.024122025000000002,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.42301671,0.0,0.0,0.016809277,0.49051782600000005,0.0,0.006601794,0.018258397,1.0,1.0,[0],[1]
2x2,0.0,0.0,5.044216332,6.878438993,0.0,4.983044648,0.947690742,9.905033224,0.0,0.947690742,5.686209804,2.965348614,1.895409533,1.008861521,0.0,5.686209804,19.322311648,0.0,0.0,1.895409533,1.956552263,2.904271054,0.0,0.0,1.008861521,9.599292104,1.008861521,5.991907074,2.965348614,0.0,0.0,0.0,9.84392094,2.904271054,0.0,0.0,0.0,7.00079007,1.956552263,0.0,0.0,0.0,2.017657872,1.008861521,0.947690742,28.4306599,4.035353906,10.852769749,0.0,14.12516078,1.895409533,1.895409533,1.008861521,9.018373959,1.008861521,0.0,2.965348614,14.888443322,0.0,0.0,2.965348614,24.764179312,0.947690742,6.695071325,2.017657872,0.0,5.747382848,0.0,0.0,0.0,1.956552263,1.008861521,0.0,0.947690742,7.00079007,0.0,0.0,19.90258509,1.956552263,8.070683217,0.0,0.0,5.686209804,0.0,0.0,0.947690742,0.0,1.008861521,0.0,0.947690742,0.0,13.817116470999999,0.0,2.965348614,3.026521292,0.0,5.747382848,1.008861521,0.0,0.0,3.790821612,1.008861521,0.0,12.31987042,0.0,0.0,0.0,2.017657872,14.2159825,5.808479483999999,1.895409533,1.008861521,0.947690742,0.0,19.930394692,0.0,0.0,0.0,32.22002845,3.974212034,5.044216332,0.0,0.0,2.843085087,0.0,11.55579936,0.947690742,0.0,0.0,0.0,2.843085087,0.0,1.008861521,0.947690742,0.947690742,0.0,0.048672456,0.002384171,0.004642611,0.0,0.004078806,0.0,0.0,0.014445687,0.0,0.10713641300000001,0.0,0.567978127,0.0,0.023309486,0.016809277,0.445413447,0.0,0.006601794,0.018258397,1.0,1.0,[0],[2]
3x3,0.0,0.0,5.044216332,4.035353906,0.0,5.798030193,0.0,17.639053877000002,0.0,0.0,10.57710574,7.305765985,0.0,1.008861521,0.0,0.0,6.053099328,1.762676287,1.762676287,0.0,1.008861521,2.7715378079999997,1.762676287,3.525431547,1.008861521,3.7803341589999997,1.008861521,10.332324445000001,2.017657872,0.0,0.0,1.762676287,18.391384547999998,1.008861521,0.0,0.0,0.0,13.103917163,2.7715378079999997,0.0,0.0,0.0,3.7803341589999997,1.008861521,1.762676287,15.86553025,4.035353906,7.061948137,3.525431547,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,5.543089419,12.594763612000001,0.0,1.008861521,2.017657872,0.0,2.7715378079999997,0.0,0.0,0.0,1.008861521,2.7715378079999997,0.0,0.0,16.630205068000002,0.0,1.762676287,12.33828522,2.7715378079999997,23.936213467,0.0,1.762676287,1.762676287,0.0,0.0,0.0,1.762676287,1.008861521,0.0,0.0,1.762676287,10.841271431,1.762676287,12.594763612000001,3.026521292,0.0,2.7715378079999997,4.534293068,0.0,0.0,0.0,1.008861521,0.0,8.813411269,0.0,0.0,0.0,2.017657872,12.33828522,2.017657872,0.0,1.008861521,3.525431547,0.0,23.190390915000002,0.0,0.0,0.0,14.10080154,6.551952839,8.569647879000001,1.762676287,0.0,0.0,0.0,15.364806512,1.762676287,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,3.525431547,0.0,0.023275556,0.002384171,0.011857826,0.0,0.0,0.0,0.0,0.014445687,0.0,0.19377242500000003,0.0,0.0,0.0,0.0,0.054982923,0.599144303,0.0,0.006601794,0.020205974999999998,1.0,1.0,[0],[3]
4x4,0.0,0.0,7.499868328,6.4910059019999995,0.0,5.263173401,0.0,7.061948137,0.0,0.0,1.227819495,2.017657872,0.0,2.2366810160000004,0.0,0.0,7.280918823,0.0,0.0,2.455651996,1.008861521,5.920120681,0.0,0.0,1.008861521,2.017657872,1.008861521,6.272035827000001,3.2454773670000003,0.0,1.227819495,0.0,7.280918823,4.692355864,0.0,0.0,0.0,7.280918823,1.008861521,0.0,0.0,0.0,3.2454773670000003,2.2366810160000004,1.227819495,33.15073067,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,1.227819495,3.2454773670000003,11.09762171,0.0,0.0,2.017657872,48.671728042,0.0,2.2366810160000004,2.017657872,0.0,19.426660461,0.0,0.0,0.0,1.008861521,2.2366810160000004,0.0,0.0,12.192306748,0.0,1.227819495,42.97440784,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,1.227819495,0.0,9.078595144,0.0,4.473309867999999,3.026521292,0.0,1.008861521,3.464513517,0.0,0.0,1.227819495,1.008861521,0.0,9.821812375,0.0,0.0,0.0,2.017657872,9.821812375,2.017657872,0.0,1.008861521,8.594889996,0.0,16.13957308,0.0,0.0,0.0,41.74644475,3.026521292,5.044216332,0.0,0.0,0.0,0.0,4.254340787,0.0,0.0,0.0,1.227819495,1.227819495,0.0,1.008861521,0.0,1.227819495,0.0,0.065021936,0.004130178,0.002733675,0.025491347,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.046094696,0.057752353,0.0,0.0,0.30785017400000003,0.41870386000000004,0.0,0.006601794,0.118426375,1.0,1.0,[0],[4]
5x5,0.0,0.0,0.0,15.1398688,5.444537426,0.630872464,0.0,3.15441617,1.261778128,0.0,9.229931148999999,0.0,0.630872464,0.0,0.0,2.523546441,6.823092556,0.630872464,0.630872464,4.813664962,3.15441617,5.444537426,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,15.024408398999999,0.630872464,0.0,0.0,0.630872464,3.668604497,0.0,3.037698833,2.406826369,0.630872464,8.482311562,0.0,0.0,19.25349607,1.892677383,7.968081132,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,44.703255738,6.7063423449999995,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,2.406826369,1.892677383,3.037698833,0.630872464,15.703651967999999,0.0,7.220533434,19.489013516,3.037698833,20.633738307999998,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,7.3372114029999995,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,4.93037281,0.630872464,28.88133525,0.630872464,0.0,0.0,0.0,17.59629001,11.753472953,1.892677383,1.892677383,0.0,0.0,13.412047802,0.0,0.0,0.0,26.472615,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,0.0,0.0,0.000727536,0.000155517,0.028736806,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.06345961,0.0,0.0727907,0.0,0.594764207,0.0,0.0,0.018325221,1.0,1.0,[1],[0]
6x6,1.291870106,0.0,3.875621685,16.431738906,0.630872464,0.630872464,0.0,7.030037855,1.261778128,0.0,5.708136293,0.0,1.92274257,0.0,0.0,2.523546441,5.708136293,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,1.291870106,0.630872464,0.0,0.0,12.61758203,1.92274257,0.0,0.0,0.630872464,5.137399813,0.0,0.630872464,0.0,0.630872464,3.84546454,0.0,0.0,23.25492857,1.892677383,3.15441617,1.261778128,42.331095552,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,17.723555212,0.0,0.630872464,3.15441617,36.081917668,1.892677383,11.98673564,3.785309148,0.0,1.291870106,1.92274257,0.630872464,1.291870106,0.0,1.892677383,0.630872464,1.92274257,3.84546454,1.291870106,0.0,52.844912406,0.630872464,5.077179254,0.0,0.630872464,8.862445901,2.5536482339999997,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,11.416096869,3.815416547,1.261778128,2.523546441,0.630872464,3.815416547,0.630872464,2.5536482339999997,2.523546441,0.630872464,37.46803478,0.630872464,0.0,0.0,0.0,9.613749249000001,6.939807991,1.892677383,1.892677383,1.291870106,0.0,3.785309148,0.0,0.0,0.0,37.46803478,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,10.755924775999999,0.0,0.0,1.291870106,0.0,2.523546441,0.0,0.0,0.0,0.0,0.0,0.000727536,0.003280104,0.046815944,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.48647632,0.0,0.0727907,0.0,0.486979501,0.0,0.0,0.018325221,1.0,1.0,[1],[1]
7x7,0.0,0.0,0.0,17.982953887,0.630872464,1.578563206,0.947690742,5.997501257,1.261778128,0.947690742,10.102475990999999,0.947690742,2.526281997,0.0,0.0,8.209756245,17.685478507,0.630872464,0.630872464,1.895409533,4.102106912,2.526281997,0.630872464,0.0,3.15441617,21.461533801999998,0.630872464,5.3639569289999995,0.947690742,0.630872464,0.0,0.0,16.408403642,2.526281997,0.0,0.0,0.630872464,2.2094688700000003,0.947690742,0.630872464,0.0,0.630872464,1.261778128,0.0,0.947690742,28.4306599,1.892677383,6.9452377819999995,1.261778128,39.74740914,1.895409533,1.895409533,0.0,14.827590312,0.630872464,0.0,10.411745412,18.930690412,0.0,0.630872464,4.102106912,26.531830588,2.8403681250000004,17.672945444,3.785309148,0.0,4.738521327,0.630872464,0.630872464,0.0,0.947690742,1.892677383,0.630872464,1.578563206,2.2094688700000003,0.0,0.0,24.949724766,1.578563206,3.785309148,0.0,0.630872464,13.256785599,1.261778128,0.0,0.947690742,0.630872464,1.261778128,0.0,1.578563206,2.523546441,11.047387333,0.0,9.780101199,2.523546441,1.261778128,7.262067768,0.630872464,2.523546441,0.630872464,5.05259974,2.523546441,0.630872464,12.31987042,0.630872464,0.0,0.0,0.0,17.37039867,10.730629603,3.788086916,1.892677383,0.947690742,0.0,7.57613076,0.0,0.0,0.0,32.22002845,4.73299989,3.785309148,0.630872464,0.630872464,2.843085087,0.0,17.993332738,0.947690742,0.0,0.0,0.0,5.366631528,0.0,0.0,0.947690742,0.947690742,0.0,0.026124436,0.0,0.02733653,0.0,0.004078806,0.0,0.0,0.0,0.0,0.09689632000000001,0.0,0.631437737,0.0,0.096100186,0.0,0.441875122,0.0,0.0,0.018325221,1.0,1.0,[1],[2]
8x8,0.0,0.0,0.0,15.1398688,0.630872464,2.393548751,0.0,13.731521910000001,1.261778128,0.0,14.993371927,5.288108113,0.630872464,0.0,0.0,2.523546441,4.416266187,2.393548751,2.393548751,0.0,3.15441617,2.393548751,2.393548751,3.525431547,3.15441617,15.642575856999999,0.630872464,9.7043743,0.0,0.630872464,0.0,1.762676287,24.955867249999997,0.630872464,0.0,0.0,0.630872464,8.312595963,1.762676287,0.630872464,0.0,0.630872464,3.024454415,0.0,1.762676287,15.86553025,1.892677383,3.15441617,4.787209675,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,6.679847717,14.362414888,1.892677383,11.98673564,3.785309148,0.0,1.762676287,0.630872464,0.630872464,0.0,0.0,3.65535367,0.630872464,0.630872464,11.838883868,0.0,1.762676287,17.385424896,2.393548751,19.650839398000002,0.0,2.393548751,9.333252082,1.261778128,0.0,0.0,2.393548751,1.261778128,0.0,0.630872464,4.286222728,8.071542293,1.762676287,19.409516197000002,2.523546441,1.261778128,4.286222728,4.1563040110000005,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,8.813411269,0.630872464,0.0,0.0,0.0,15.49270139,6.939807991,1.892677383,1.892677383,3.525431547,0.0,10.836126983,0.0,0.0,0.0,14.10080154,7.310740695,7.310740695,2.393548751,0.630872464,0.0,0.0,21.80233989,1.762676287,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,3.525431547,0.0,0.000727536,0.0,0.034551745,0.0,0.0,0.0,0.0,0.0,0.0,0.18353233200000002,0.0,0.06345961,0.0,0.0727907,0.038173646,0.595605978,0.0,0.0,0.020272798999999998,1.0,1.0,[1],[3]
9x9,0.0,0.0,2.455651996,17.595520796,0.630872464,1.8586919590000002,0.0,3.15441617,1.261778128,0.0,5.644085682,0.0,0.630872464,1.227819495,0.0,2.523546441,5.644085682,0.630872464,0.630872464,2.455651996,3.15441617,5.5421316240000005,0.630872464,0.0,3.15441617,13.87989957,0.630872464,5.644085682,1.227819495,0.630872464,1.227819495,0.0,13.845401525,4.314366807,0.0,0.0,0.630872464,2.489597623,0.0,0.630872464,0.0,0.630872464,2.489597623,1.227819495,1.227819495,33.15073067,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,1.227819495,10.691874165,15.1398688,0.0,0.630872464,3.15441617,50.439379318,1.892677383,13.214555135,3.785309148,0.0,18.41779894,0.630872464,0.630872464,0.0,0.0,3.120496878,0.630872464,0.630872464,7.4009855479999995,0.0,1.227819495,48.021547516,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,1.8586919590000002,2.523546441,6.308866006,0.0,11.288062453,2.523546441,1.261778128,2.523546441,3.0865244599999997,2.523546441,0.630872464,2.489597623,2.523546441,0.630872464,9.821812375,0.630872464,0.0,0.0,0.0,12.976228545000001,6.939807991,1.892677383,1.892677383,8.594889996,0.0,3.785309148,0.0,0.0,0.0,41.74644475,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,10.691874165,0.0,0.0,0.0,1.227819495,3.751365936,0.0,0.0,0.0,1.227819495,0.0,0.042473916,0.001746007,0.025427594,0.025491347,0.0,0.0,0.0,0.0,0.0,0.087301532,0.046094696,0.121211963,0.0,0.0727907,0.291040897,0.415165535,0.0,0.0,0.11849319900000001,1.0,1.0,[1],[4]
