coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,Endothelial3,Inhibitory Endothelial3
0x0,1.448612149,2.897265563,6.492828481,4.035353906,0.0,4.035353906,0.0,7.061948137,0.0,0.0,2.897265563,2.017657872,0.0,1.008861521,0.0,1.448612149,6.053099328,0.0,0.0,1.448612149,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,1.448612149,6.053099328,1.008861521,0.0,0.0,0.0,6.363547648,1.008861521,0.0,10.14037987,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,12.546233859,0.0,0.0,2.017657872,7.812196938,1.448612149,2.4574736699999997,2.017657872,0.0,1.008861521,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,11.847638394,15.93557709,0.0,14.48460032,1.008861521,8.070683217,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,1.008861521,1.448612149,0.0,0.0,13.42448492,0.0,4.914923435,3.026521292,0.0,1.008861521,1.008861521,1.448612149,0.0,0.0,1.008861521,0.0,123.1366439,0.0,0.0,0.0,3.4662700209999997,4.345889776,2.017657872,0.0,1.008861521,0.0,1.448612149,16.13957308,0.0,0.0,0.0,0.0,3.026521292,5.044216332,0.0,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,1.448612149,1.008861521,0.0,4.345889776,0.008201873,0.023275556,0.027641777,0.040945569,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.187189372,0.0,0.0,0.016809277,0.5120917309999999,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [0]]"
1x1,2.032145239,0.677374359,6.398994496,6.067499145,0.0,6.067499145,2.032145239,7.739322496,0.0,0.0,0.677374359,3.372436036,0.0,1.68623588,0.0,6.096431255,11.472138116,0.677374359,1.354778164,0.677374359,4.395784403,3.718401022,0.0,0.0,1.008861521,2.017657872,1.008861521,7.7537558330000005,2.695032231,0.0,0.0,1.354778164,6.730473687,3.718401022,0.0,0.0,2.032145239,6.730473687,1.008861521,0.677374359,0.677374359,0.0,2.695032231,1.68623588,0.0,19.64429232,4.035353906,7.739322496,0.677374359,15.479938944,0.0,0.677374359,1.008861521,13.489722004999999,1.68623588,0.677374359,4.727197373,16.516660498,0.0,0.677374359,2.695032231,12.178577992000001,0.0,3.718401022,2.695032231,0.0,5.073168231,0.0,0.0,1.354778164,2.363639685,5.750554948,0.0,0.0,11.472138116,0.0,0.0,8.80595735,2.363639685,8.748057575999999,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,2.363639685,0.0,0.677374359,1.354778164,11.110740383,0.0,2.695032231,6.413444174,0.0,1.008861521,1.68623588,0.0,0.677374359,1.354778164,2.363639685,0.0,42.67169015,0.0,0.0,0.0,2.017657872,4.06430671,3.372436036,0.0,2.363639685,4.06430671,1.354778164,17.494351244,0.0,0.0,0.0,21.67775192,3.026521292,5.044216332,0.0,0.0,1.354778164,0.0,3.026521292,0.0,0.677374359,0.0,0.0,0.677374359,0.0,1.008861521,0.677374359,0.0,0.08281185,0.023275556,0.002384171,0.002733675,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.0,0.0,0.0,0.016809277,0.345932799,0.246967114,0.006601794,0.018258397,1.0,1.0,"[[0], [1]]"
2x2,12.91874249,12.91874249,5.044216332,4.035353906,0.0,5.327329559,0.0,7.061948137,0.0,0.0,1.291975653,3.3096335249999997,0.0,1.008861521,0.0,0.0,7.345074981,0.0,0.0,0.0,2.3008371739999998,1.008861521,0.0,0.0,1.008861521,2.017657872,3.592795494,5.044216332,2.017657872,0.0,0.0,0.0,11.221037334,1.008861521,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,1.291975653,3.3096335249999997,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,3.3096335249999997,11.09762171,0.0,0.0,2.017657872,9.769510580999999,3.875958493,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,1.291975653,1.008861521,1.008861521,0.0,0.0,11.221037334,0.0,0.0,0.0,1.008861521,9.362658869999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,1.008861521,1.291975653,0.0,0.0,1.008861521,0.0,25.84108084,0.0,0.0,0.0,2.017657872,1.291975653,2.017657872,0.0,1.008861521,2.583933973,0.0,17.431548733000003,0.0,0.0,0.0,0.0,3.026521292,5.044216332,0.0,0.0,0.0,0.0,4.318496945,2.583933973,0.0,1.291975653,0.0,0.0,3.875958493,1.008861521,0.0,1.291975653,0.021712484,0.023275556,0.015856977,0.016811533,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.111754766,0.0,0.0,0.016809277,0.342730395,0.052916666,0.006601794,0.018258397,1.0,1.0,"[[0], [2]]"
3x3,5.100283239,7.650475889,6.319313763,5.310451337,1.275097431,4.035353906,0.0,7.061948137,0.0,0.0,7.650475889,2.017657872,1.275097431,1.008861521,0.0,0.0,8.603276278,1.275097431,0.0,2.55017695,3.559038471,3.559038471,1.275097431,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,8.603276278,4.834113528,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,8.392963128,1.008861521,0.0,6.375305256,4.035353906,7.061948137,0.0,15.400258211,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,7.117941111,0.0,1.008861521,2.017657872,0.0,2.283958952,0.0,0.0,1.275097431,1.008861521,1.008861521,0.0,0.0,20.077598358,14.02449903,0.0,8.925445294,1.008861521,8.070683217,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,11.628772093999999,0.0,2.017657872,3.026521292,5.100283239,1.008861521,1.008861521,1.275097431,0.0,0.0,1.008861521,0.0,113.4721922,3.825252007,0.0,0.0,2.017657872,2.55017695,2.017657872,0.0,1.008861521,0.0,0.0,17.414670511,0.0,0.0,0.0,0.0,3.026521292,5.044216332,0.0,0.0,1.275097431,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,2.283958952,0.0,1.275097431,0.0,0.031648768,0.025466775,0.038169054,0.0,0.005364625,0.0,0.0,0.014445687,0.0,0.11922235,0.0,0.281297563,0.0,0.0,0.048104486,0.358788888,0.006533653,0.006601794,0.018258397,1.0,1.0,"[[0], [3]]"
4x4,4.746454866,0.0,5.044216332,4.035353906,0.0,4.035353906,2.373261425,7.061948137,0.0,2.373261425,7.119700307,2.017657872,0.0,1.008861521,0.0,0.0,6.053099328,0.0,0.0,0.0,1.008861521,5.755316387,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,8.426360753,1.008861521,0.0,0.0,0.0,6.053099328,1.008861521,0.0,2.373261425,0.0,4.390919297,1.008861521,0.0,33.22157552,4.035353906,7.061948137,0.0,14.12516078,0.0,2.373261425,1.008861521,8.070683217,1.008861521,0.0,4.390919297,11.09762171,0.0,0.0,4.390919297,18.629306002,0.0,10.501869425,2.017657872,0.0,8.128561827999999,0.0,0.0,0.0,3.382122946,1.008861521,0.0,0.0,10.799554193999999,0.0,2.373261425,11.86470998,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,1.008861521,7.119700307,0.0,0.0,1.008861521,0.0,23.73432141,0.0,0.0,0.0,2.017657872,4.746454866,2.017657872,0.0,1.008861521,7.119700307,0.0,16.13957308,0.0,0.0,0.0,33.22157552,5.399782717,5.044216332,0.0,0.0,0.0,0.0,7.772976158,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,2.373261425,0.0,0.043308033999999995,0.017972497,0.022187595,0.0,0.004387271,0.011314421,0.0,0.014445687,0.0,0.097541625,0.0,0.0,0.006760343,0.0,0.044749831000000004,0.395879092,0.017149055,0.006601794,0.018258397,1.0,1.0,"[[0], [4]]"
5x5,1.448612149,2.897265563,1.448612149,15.1398688,0.630872464,0.630872464,0.0,3.15441617,1.261778128,0.0,7.313531749999999,0.0,0.630872464,0.0,0.0,3.9721585900000003,4.416266187,0.630872464,0.630872464,1.448612149,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,2.079484613,1.261778128,0.0,0.630872464,0.0,0.630872464,5.6076679039999995,0.0,0.0,10.14037987,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,16.588480949,0.0,0.630872464,3.15441617,9.579848214,3.3412895320000002,13.435347789,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,0.0,1.892677383,0.630872464,0.630872464,7.056317194,15.93557709,0.0,19.531739996,0.630872464,3.785309148,0.0,0.630872464,7.570575795,2.710390277,0.0,0.0,0.630872464,1.261778128,1.448612149,0.630872464,2.523546441,10.654755781999999,0.0,11.72967602,2.523546441,1.261778128,2.523546441,0.630872464,3.9721585900000003,0.630872464,1.261778128,2.523546441,0.630872464,123.1366439,0.630872464,0.0,0.0,1.448612149,7.500305946,6.939807991,1.892677383,1.892677383,0.0,1.448612149,3.785309148,0.0,0.0,0.0,0.0,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,1.448612149,0.0,0.0,4.345889776,0.008201873,0.000727536,0.025257606,0.06363948800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.25064898199999996,0.0,0.0727907,0.0,0.508553406,0.0,0.0,0.018325221,1.0,1.0,"[[1], [0]]"
6x6,2.032145239,0.677374359,1.354778164,17.172014039,0.630872464,2.663017703,2.032145239,3.831790529,1.261778128,0.0,5.093640546,1.354778164,0.630872464,0.677374359,0.0,8.619977696,9.835304975,1.308246823,1.9856506280000001,0.677374359,6.541339052,3.340411965,0.630872464,0.0,3.15441617,13.87989957,0.630872464,7.125805688,0.677374359,0.630872464,0.0,1.354778164,13.294956389,3.340411965,0.0,0.0,2.663017703,1.9391524869999999,0.0,1.308246823,0.677374359,0.630872464,1.9391524869999999,0.677374359,0.0,19.64429232,1.892677383,3.831790529,1.9391524869999999,41.102187304000005,0.0,0.677374359,0.0,19.298938358,1.308246823,0.677374359,12.173594171,20.558907588,0.0,1.308246823,3.831790529,13.946229268,1.892677383,14.696275141,4.462683507,0.0,4.06430671,0.630872464,0.630872464,1.354778164,1.354778164,6.63437081,0.630872464,0.630872464,6.6808169159999995,0.0,0.0,13.853097026,1.9856506280000001,4.462683507,0.0,0.630872464,7.570575795,1.9391524869999999,0.0,0.0,0.630872464,2.6165562920000003,0.0,1.308246823,3.8783246050000004,8.341011245,0.0,9.509784816,5.910469323,1.261778128,2.523546441,1.308246823,2.523546441,1.308246823,2.6165562920000003,3.8783246050000004,0.630872464,42.67169015,0.630872464,0.0,0.0,0.0,7.2187228800000005,8.294586155000001,1.892677383,3.2474555470000004,4.06430671,1.354778164,5.140087312,0.0,0.0,0.0,21.67775192,3.785309148,3.785309148,0.630872464,0.630872464,1.354778164,0.0,9.46405467,0.0,0.677374359,0.0,0.0,3.2009208,0.0,0.0,0.677374359,0.0,0.08281185,0.000727536,0.0,0.025427594,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.06345961,0.0,0.0727907,0.0,0.342394474,0.246967114,0.0,0.018325221,1.0,1.0,"[[1], [1]]"
7x7,12.91874249,12.91874249,0.0,15.1398688,0.630872464,1.922848117,0.0,3.15441617,1.261778128,0.0,5.7082418399999995,1.291975653,0.630872464,0.0,0.0,2.523546441,5.7082418399999995,0.630872464,0.630872464,0.0,4.446391823,0.630872464,0.630872464,0.0,3.15441617,13.87989957,3.214806437,4.416266187,0.0,0.630872464,0.0,0.0,17.785520036,0.630872464,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,1.922848117,2.553753781,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,10.756030323,15.1398688,0.0,0.630872464,3.15441617,11.537161857,5.768635876,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,1.291975653,0.0,1.892677383,0.630872464,0.630872464,6.4297161339999995,0.0,0.0,5.047139676,0.630872464,5.077284801,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,0.630872464,3.8155220940000003,0.630872464,1.261778128,2.523546441,0.630872464,25.84108084,0.630872464,0.0,0.0,0.0,4.446391823,6.939807991,1.892677383,1.892677383,2.583933973,0.0,5.077284801,0.0,0.0,0.0,0.0,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,10.756030323,2.583933973,0.0,1.291975653,0.0,2.523546441,3.875958493,0.0,0.0,1.291975653,0.021712484,0.000727536,0.013472806,0.039505452,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.175214376,0.0,0.0727907,0.0,0.33919207,0.052916666,0.0,0.018325221,1.0,1.0,"[[1], [2]]"
8x8,5.100283239,7.650475889,1.275097431,16.414966231,1.9059698950000001,0.630872464,0.0,3.15441617,1.261778128,0.0,12.066742076,0.0,1.9059698950000001,0.0,0.0,2.523546441,6.966443137,1.9059698950000001,0.630872464,2.55017695,5.70459312,3.181049414,1.9059698950000001,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,15.167758979999999,4.456124471,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,0.630872464,7.637083384,0.0,0.0,6.375305256,1.892677383,3.15441617,1.261778128,41.022506571,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,8.885592387,1.892677383,11.98673564,3.785309148,0.0,1.275097431,0.630872464,0.630872464,1.275097431,0.0,1.892677383,0.630872464,0.630872464,15.286277157999999,14.02449903,0.0,13.97258497,0.630872464,3.785309148,0.0,3.181049414,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,8.859042956,0.0,8.832410457,2.523546441,6.362061367000001,2.523546441,0.630872464,3.7986438720000004,0.630872464,1.261778128,2.523546441,0.630872464,113.4721922,4.456124471,0.0,0.0,0.0,5.70459312,6.939807991,1.892677383,1.892677383,0.0,0.0,5.060406579,0.0,0.0,0.0,0.0,3.785309148,3.785309148,0.630872464,0.630872464,1.275097431,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,1.275097431,0.0,1.275097431,0.0,0.009100747999999999,0.023082604,0.060862973,0.0,0.005364625,0.0,0.0,0.0,0.0,0.108982257,0.0,0.344757173,0.0,0.0727907,0.031295209,0.355250563,0.006533653,0.0,0.018325221,1.0,1.0,"[[1], [3]]"
9x9,4.746454866,0.0,0.0,15.1398688,0.630872464,0.630872464,2.373261425,3.15441617,1.261778128,2.373261425,11.535966494,0.0,0.630872464,0.0,0.0,2.523546441,4.416266187,0.630872464,0.630872464,0.0,3.15441617,5.37732733,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,14.990843455,0.630872464,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.373261425,0.630872464,3.635039553,0.0,0.0,33.22157552,1.892677383,3.15441617,1.261778128,39.74740914,0.0,2.373261425,0.0,13.87989957,0.630872464,0.0,11.837316094999998,15.1398688,0.0,0.630872464,5.527677595,20.396957278,1.892677383,21.479743544,3.785309148,0.0,7.119700307,0.630872464,0.630872464,0.0,2.373261425,1.892677383,0.630872464,0.630872464,6.008232994,0.0,2.373261425,16.911849656,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,0.630872464,9.643246748,0.630872464,1.261778128,2.523546441,0.630872464,23.73432141,0.630872464,0.0,0.0,0.0,7.900871036,6.939807991,1.892677383,1.892677383,7.119700307,0.0,3.785309148,0.0,0.0,0.0,33.22157552,6.158570573,3.785309148,0.630872464,0.630872464,0.0,0.0,14.210509536,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,2.373261425,0.0,0.020760014,0.015588326,0.044881514,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.087301532,0.0,0.06345961,0.006760343,0.0727907,0.027940554,0.392340767,0.017149055,0.0,0.018325221,1.0,1.0,"[[1], [4]]"
