coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,Ependymal,permutationTracker
0x0,0.0,6.362579546,5.044216332,4.035353906,0.0,16.759963516,6.362579546,19.786557747,0.0,0.0,12.72460961,2.017657872,0.0,1.008861521,0.0,0.0,6.053099328,0.0,0.0,19.08630255,7.371441067,7.371441067,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,13.733471131,0.0,0.0,6.362579546,6.053099328,1.008861521,0.0,0.0,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,12.72460961,0.0,2.017657872,2.017657872,0.0,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,13.733471131,1.008861521,0.0,0.0,114.222267228,0.0,0.0,6.362579546,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,20.095164071,0.0,6.362579546,0.0,1.008861521,0.0,0.0,0.0,6.362579546,0.0,2.017657872,6.362579546,8.380237418,0.0,1.008861521,0.0,0.0,16.13957308,0.0,0.0,0.0,0.0,3.026521292,5.044216332,6.362579546,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,6.362579546,0.0,1.008861521,0.0,6.362579546,0.0,0.151194783,0.002384171,0.04553122,0.0,0.144848449,0.0,1.628028072,0.014445687,0.0,0.12588226600000002,0.0,1.390451848,0.0,0.0722153,0.016809277,0.301032133,0.0,0.04071718,0.018258397,1.0,1.0,"[[0], [0]]"
1x1,0.274911387,0.41237493,7.930728216,4.997539126,1.237072195,30.973655416,1.237072195,7.886683968,0.0,0.41237493,5.223289438,2.155112285,0.0,1.146315934,0.137454413,0.41237493,9.077118118,1.237072195,7.422480225,0.824735831,30.833642541,4.720153281,0.41237493,0.274911387,1.558677021,2.70491006,1.421236451,5.73146852,4.62926083,0.137454413,0.5498155,0.137454413,7.565101439,1.421236451,0.0,0.137454413,6.185384288,7.290171523,1.421236451,0.5498155,0.274911387,0.137454413,2.155112285,1.421236451,0.274911387,1.649476062,4.722606094,7.19940255,0.0,15.774636842,0.0,0.274911387,1.008861521,10.407405027,3.070683949,0.137454413,2.430032802,13.021976088,0.824735831,1.512002111,2.017657872,9.715069005,4.810854485,3.895373405,2.017657872,0.0,1.421236451,0.41237493,0.0,0.274911387,7.056765847,4.307787824,0.41237493,0.687252188,63.236620428,0.0,0.5498155,3.848752315,1.283772908,8.070683217,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,0.96218522,1.558677021,0.0,0.41237493,0.137454413,10.040780364,0.0,4.0794803,3.576336792,0.0,1.558677021,4.582691324000001,0.5498155,3.02401879,0.137454413,1.146315934,0.687252188,0.137454413,3.298926303,0.0,0.0,2.017657872,0.0,4.491819346,0.41237493,1.283772908,1.099616611,0.5498155,16.55194801,0.137454413,0.137454413,0.5498155,1.099616611,8.799660473,8.892968647,3.436392884,0.0,0.41237493,0.0,4.126137903,0.824735831,0.0,0.274911387,2.199263417,3.573829803,2.474161474,1.146315934,0.274911387,7.559925798,0.0,0.166490782,0.025761991,0.061075599,0.0,0.138245652,0.0,1.373558828,0.014445687,0.0,0.115553397,0.0,1.528715671,0.0,0.084820791,0.016809277,0.293093712,0.0,0.040857677,0.018258397,1.0,1.0,"[[0], [1]]"
2x2,0.38640463,0.38640463,5.817017381,7.126641415,0.38640463,39.967113506,0.38640463,16.335012284999998,0.0,0.772801049,5.409733898,2.017657872,0.0,1.395266151,1.545599049,0.38640463,9.530747848,1.932040737,3.091287509,1.159235441,35.400445481,2.55446057,1.159235441,0.38640463,1.395266151,3.563256921,1.78166257,6.976257069000001,6.268149859,0.38640463,0.38640463,0.0,8.757943961,2.55446057,0.0,0.0,5.796103746,6.825900377,1.008861521,0.38640463,0.38640463,0.0,2.790458921,1.008861521,0.0,0.38640463,4.4217585360000005,7.834749186,0.38640463,15.284396221,0.38640463,0.772801049,1.008861521,9.616282265999999,1.395266151,1.159235441,2.404062502,14.575270230000001,0.772801049,0.38640463,3.176893313,7.040895538,4.250491987,3.327271189,2.017657872,1.159235441,1.008861521,0.38640463,0.0,0.38640463,5.645757233,3.713706154,0.38640463,0.38640463,33.491161538,0.0,0.0,2.704844633,1.008861521,8.457087846999999,0.38640463,0.772801049,3.091287509,0.38640463,0.772801049,0.0,2.704844633,1.395266151,0.0,1.159235441,0.0,10.624194193,0.0,5.495306392,3.799322341,0.0,2.55446057,2.55446057,1.159235441,1.545599049,0.772801049,1.008861521,2.318409668,0.38640463,4.636895712,0.772801049,0.0,2.790458921,0.38640463,5.495306392,0.38640463,1.395266151,0.772801049,0.0,16.525977710000003,0.38640463,0.0,0.0,0.772801049,6.8905933489999995,11.613068102,2.704844633,0.0,1.159235441,0.0,10.368325648999999,0.38640463,0.772801049,0.0,1.932040737,1.932040737,0.38640463,1.008861521,0.0,3.864072057,0.0,0.057593359,0.002384171,0.072901772,0.0,0.043316318,0.0,0.581248039,0.014445687,0.0,0.165233653,0.0,0.545859432,0.0,0.070020258,0.057299490999999994,0.422530683,0.184977216,0.019234383,0.035229704,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,5.895572597,5.7380673380000005,0.851356265,43.195936096,0.851356265,7.061948137,2.55410292,0.0,4.256782398,2.8690141369999997,0.0,1.008861521,0.851356265,0.0,8.607202248,3.405447195,11.0670191,0.851356265,40.169443711,4.414308716,0.851356265,0.0,1.008861521,2.017657872,1.860217786,5.044216332,6.27444027,0.0,1.702713432,0.0,6.904455593,1.860217786,0.0,0.0,4.256782398,9.458546522999999,1.008861521,0.851356265,0.0,1.702713432,2.017657872,1.008861521,0.0,2.55410292,4.035353906,7.061948137,0.0,16.6792637,0.851356265,0.0,1.008861521,12.327465615,1.860217786,0.0,2.017657872,13.65172463,2.55410292,0.851356265,2.8690141369999997,9.679893637,1.702713432,2.711574953,2.017657872,2.55410292,1.860217786,1.702713432,0.851356265,0.0,6.11701583,1.860217786,0.0,0.0,70.758338428,0.0,1.702713432,4.256782398,1.860217786,8.922039481999999,0.0,4.256782398,1.702713432,0.0,0.851356265,1.702713432,1.702713432,1.008861521,0.0,0.0,0.851356265,9.078595144,1.702713432,2.8690141369999997,3.026521292,0.0,1.860217786,5.265643919,0.0,1.702713432,0.0,1.860217786,1.702713432,0.0,2.55410292,0.0,0.0,2.017657872,0.0,4.571760792,0.0,1.008861521,0.0,0.0,16.13957308,0.0,0.0,1.702713432,0.0,9.837401909,14.4099489,1.702713432,0.0,0.851356265,0.0,6.431968487,0.851356265,0.0,0.0,1.702713432,5.108154309,2.55410292,1.860217786,2.55410292,6.810880617,0.0,0.117128651,0.002384171,0.074781105,0.0,0.108339982,0.0,1.022320573,0.014445687,0.0,0.144904076,0.0,1.135157912,0.0,0.077556373,0.018414314,0.293093712,0.0,0.016858402,0.018258397,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,5.971963172000001,5.890839674,1.855485768,42.074472156,2.783293202,7.989694977,0.0,0.92774684,9.277796159,2.017657872,0.92774684,1.008861521,0.0,0.0,9.76417413,1.855485768,7.422092365,0.0,42.755306271,1.008861521,0.0,0.92774684,1.008861521,2.017657872,1.936608361,5.044216332,2.017657872,0.0,0.0,0.92774684,6.053099328,1.008861521,0.0,0.0,3.711074802,6.980846168,1.936608361,0.0,0.0,2.783293202,2.017657872,1.008861521,0.0,0.0,5.890839674,7.989694977,0.0,14.12516078,0.0,1.855485768,1.008861521,8.998430056999998,1.008861521,0.0,2.017657872,12.02536855,0.92774684,0.0,2.017657872,10.367407903,2.783293202,1.008861521,2.017657872,0.92774684,1.008861521,0.92774684,0.92774684,0.0,8.430953886000001,6.575453018,0.0,0.0,62.650117458000004,0.0,0.0,3.711074802,1.008861521,8.070683217,0.92774684,0.92774684,3.711074802,0.92774684,0.92774684,0.0,5.566591497,1.936608361,0.0,1.855485768,0.0,9.078595144,0.0,2.945404712,3.954268132,0.0,1.008861521,7.503142986,0.0,2.783293202,0.0,1.008861521,1.855485768,0.0,1.855485768,0.0,0.0,2.017657872,0.0,2.945404712,0.0,1.008861521,0.92774684,0.92774684,16.13957308,0.0,0.0,0.0,0.92774684,13.231215282,10.610807829,0.92774684,0.0,0.0,0.0,3.954268132,0.0,0.0,0.0,2.783293202,0.92774684,4.638842963,1.008861521,0.0,7.422092365,0.0,0.148662831,0.036575757,0.078138548,0.0,0.129892172,0.0,1.185848208,0.014445687,0.0,0.11706878600000001,0.0,1.140079959,0.0,0.051228194,0.016809277,0.293093712,0.023021592,0.061323782,0.018258397,1.0,1.0,"[[0], [4]]"
5x5,0.0,6.362579546,0.0,15.1398688,0.630872464,13.355482074,6.362579546,15.87902578,1.261778128,0.0,17.140875797,0.0,0.630872464,0.0,0.0,2.523546441,4.416266187,0.630872464,0.630872464,19.08630255,9.516995716,6.99345201,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,13.355482074,0.0,0.0,6.99345201,1.261778128,0.0,0.630872464,0.0,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,12.72460961,0.630872464,3.15441617,3.785309148,1.892677383,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,12.72460961,1.892677383,0.630872464,0.630872464,109.43094602800001,0.0,0.0,11.409719222,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,19.717175014,2.523546441,6.99345201,1.261778128,2.523546441,0.630872464,0.0,0.630872464,6.362579546,0.0,0.0,9.516995716,13.302387537000001,1.892677383,1.892677383,0.0,0.0,3.785309148,0.0,0.0,0.0,0.0,3.785309148,3.785309148,6.99345201,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,8.886125987,0.0,0.0,0.0,6.362579546,0.0,0.128646763,0.0,0.068225139,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.115642173,0.0,1.453911458,0.0,0.145006,0.0,0.29749380799999997,0.0,0.034115386,0.018325221,1.0,1.0,"[[1], [0]]"
6x6,0.274911387,0.41237493,2.886511884,16.10205402,1.867944659,27.569173973999998,1.237072195,3.979152001,1.261778128,0.41237493,9.639555625,0.137454413,0.630872464,0.137454413,0.137454413,2.935921371,7.440284976999999,1.867944659,8.053352689,0.824735831,32.97919719,4.342164224,1.043247394,0.274911387,3.7042316700000004,14.567151758,1.043247394,5.103518375,2.611602958,0.768326877,0.5498155,0.137454413,14.129584140999999,1.043247394,0.0,0.137454413,6.816256752,2.498850323,0.41237493,1.180687964,0.274911387,0.768326877,1.399232541,0.41237493,0.274911387,1.649476062,2.579929571,3.291870583,1.261778128,41.396885202,0.0,0.274911387,0.0,16.21662138,2.692694892,0.137454413,9.8764296,17.064223178,0.824735831,2.142874575,3.15441617,11.482720281,6.703531868000001,14.873247524,3.785309148,0.0,0.41237493,1.043247394,0.630872464,0.274911387,6.047904326,5.1916036860000006,1.043247394,1.3181246519999998,58.445299228,0.0,0.5498155,8.895891991,0.905783851,3.785309148,0.0,1.730489075,11.281867555,1.261778128,0.5498155,0.41237493,1.593057684,1.811593628,0.0,1.043247394,2.661000854,7.271051226,0.0,10.894232885000001,3.073361941,1.261778128,3.073361941,4.204702267,3.073361941,3.654891254,1.399232541,2.661000854,1.3181246519999998,0.137454413,3.929798767,0.0,0.0,0.0,3.15441617,9.413969465000001,2.305052313,2.16758877,1.099616611,0.5498155,4.197684078,0.137454413,0.137454413,0.5498155,1.099616611,9.558448329,7.634061463,4.067265348,0.630872464,0.41237493,0.0,10.563671281,0.824735831,0.0,0.274911387,2.199263417,6.097376244,2.474161474,0.137454413,0.274911387,7.559925798,0.0,0.143942762,0.02337782,0.083769518,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.105313304,0.0,1.592175281,0.0,0.157611491,0.0,0.289555387,0.0,0.034255883,0.018325221,1.0,1.0,"[[1], [1]]"
7x7,0.38640463,0.38640463,0.772801049,18.231156309,1.017277094,36.562632064,0.38640463,12.427480318,1.261778128,0.772801049,9.826000085,0.0,0.630872464,0.38640463,1.545599049,2.909951071,7.8939147069999995,2.5629132009999998,3.7221599729999997,1.159235441,37.546000129999996,2.176471513,1.7901079050000002,0.38640463,3.5408208,15.425498618999999,1.403673513,6.348306923999999,4.250491987,1.017277094,0.38640463,0.0,15.322426663,2.176471513,0.0,0.0,6.42697621,2.034579177,0.0,1.017277094,0.38640463,0.630872464,2.034579177,0.0,0.0,0.38640463,2.279082013,3.927217219,1.648182758,40.906644581,0.38640463,0.772801049,0.0,15.425498618999999,1.017277094,1.159235441,9.850459299999999,18.61751732,0.772801049,1.017277094,4.313651611,8.808546814,6.143169370000001,14.305145308,3.785309148,1.159235441,0.0,1.017277094,0.630872464,0.38640463,4.636895712,4.597522016,1.017277094,1.017277094,28.699840337999998,0.0,0.0,7.751984308999999,0.630872464,4.171713778,0.38640463,1.403673513,10.661863304,1.648182758,0.772801049,0.0,3.335717097,1.648182758,0.0,1.7901079050000002,2.523546441,7.8544650549999995,0.0,12.310058977,3.29634749,1.261778128,4.06914549,2.176471513,3.6827818820000005,2.176471513,2.034579177,2.523546441,2.949282132,0.38640463,5.267768176000001,0.772801049,0.0,0.772801049,3.5408208,10.417456511000001,2.279082013,2.279082013,0.772801049,0.0,4.171713778,0.38640463,0.0,0.0,0.772801049,7.649381205,10.354160918,3.335717097,0.630872464,1.159235441,0.0,16.805859027,0.38640463,0.772801049,0.0,1.932040737,4.455587178,0.38640463,0.0,0.0,3.864072057,0.0,0.035045339,0.0,0.095595691,0.0,0.043316318,0.0,0.581248039,0.0,0.0,0.15499356,0.0,0.609319042,0.0,0.142810958,0.040490214,0.418992358,0.184977216,0.012632589,0.035296528,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,0.851356265,16.842582232,1.482228729,39.791454654,0.851356265,3.15441617,3.815881048,0.0,8.673048585,0.851356265,0.630872464,0.0,0.851356265,2.523546441,6.970369107,4.036319659,11.697891563999999,0.851356265,42.31499836,4.036319659,1.482228729,0.0,3.15441617,13.87989957,1.482228729,4.416266187,4.256782398,0.630872464,1.702713432,0.0,13.468938295,1.482228729,0.0,0.0,4.887654862000001,4.667225323,0.0,1.482228729,0.0,2.3335858959999998,1.261778128,0.0,0.0,2.55410292,1.892677383,3.15441617,1.261778128,42.30151206,0.851356265,0.0,0.0,18.136681967999998,1.482228729,0.0,9.46405467,17.69397172,2.55410292,1.482228729,4.005772435,11.447544913,3.595390815,13.689449071999999,3.785309148,2.55410292,0.851356265,2.3335858959999998,1.482228729,0.0,5.108154309,2.7440336480000003,0.630872464,0.630872464,65.967017228,0.0,1.702713432,9.303922073999999,1.482228729,4.636665413,0.0,4.887654862000001,9.273289227,1.261778128,0.851356265,1.702713432,2.3335858959999998,1.261778128,0.0,0.630872464,3.3749027060000003,6.308866006,1.702713432,9.683766722,2.523546441,1.261778128,3.3749027060000003,4.887654862000001,2.523546441,2.3335858959999998,1.261778128,3.3749027060000003,2.3335858959999998,0.0,3.184975384,0.0,0.0,0.0,3.15441617,9.493910911,1.892677383,1.892677383,0.0,0.0,3.785309148,0.0,0.0,1.702713432,0.0,10.596189765,13.151041716,2.3335858959999998,0.630872464,0.851356265,0.0,12.869501865,0.851356265,0.0,0.0,1.702713432,7.63170075,2.55410292,0.851356265,2.55410292,6.810880617,0.0,0.094580631,0.0,0.097475024,0.0,0.108339982,0.0,1.022320573,0.0,0.0,0.134663983,0.0,1.198617522,0.0,0.150347073,0.001605037,0.289555387,0.0,0.010256608,0.018325221,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,0.92774684,16.995354568,2.486358232,38.669990714,2.783293202,4.08216301,1.261778128,0.92774684,13.694062345999999,0.0,1.558619304,0.0,0.0,2.523546441,8.127340989,2.486358232,8.052964829,0.0,44.90086092,0.630872464,0.630872464,0.92774684,3.15441617,13.87989957,1.558619304,4.416266187,0.0,0.630872464,0.0,0.92774684,12.61758203,0.630872464,0.0,0.0,4.341947266,2.1895249679999997,0.92774684,0.630872464,0.0,3.4141656659999997,1.261778128,0.0,0.0,0.0,3.748163151,4.08216301,1.261778128,39.74740914,0.0,1.855485768,0.0,14.807646409999998,0.630872464,0.0,9.46405467,16.06761564,0.92774684,0.630872464,3.15441617,12.135059178999999,4.675970585,11.98673564,3.785309148,0.92774684,0.0,1.558619304,1.558619304,0.0,7.422092365,7.45926888,0.630872464,0.630872464,57.858796258000005,0.0,0.0,8.758214478,0.630872464,3.785309148,0.92774684,1.558619304,11.281650597,2.1895249679999997,0.92774684,0.0,6.197463961,2.1895249679999997,0.0,2.486358232,2.523546441,6.308866006,0.0,9.760157297,3.451293281,1.261778128,2.523546441,7.1251539290000006,2.523546441,3.4141656659999997,1.261778128,2.523546441,2.486358232,0.0,2.486358232,0.0,0.0,0.0,3.15441617,7.8675548310000005,1.892677383,1.892677383,0.92774684,0.92774684,3.785309148,0.0,0.0,0.0,0.92774684,13.990003138,9.351900645,1.558619304,0.630872464,0.0,0.0,10.391801509999999,0.0,0.0,0.0,2.783293202,3.451293281,4.638842963,0.0,0.0,7.422092365,0.0,0.126114811,0.034191586,0.100832467,0.0,0.129892172,0.0,1.185848208,0.0,0.0,0.106828693,0.0,1.203539569,0.0,0.12401889399999999,0.0,0.289555387,0.023021592,0.054721988,0.018325221,1.0,1.0,"[[1], [4]]"
