coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,Excitatory,permutationTracker
0x0,0.0,0.0,5.044216332,10.757179706999999,0.0,4.035353906,10.6439411,8.182261254,0.0,0.560163093,7.281900338,2.577820965,0.0,1.008861521,0.0,0.560163093,17.817487418,0.560163093,0.0,0.0,2.1291746380000003,1.569024614,0.560163093,0.560163093,9.971170336,4.25829199,1.569024614,5.604379425,2.017657872,1.120313117,1.120313117,0.560163093,15.575140577,2.689325652,1.120313117,0.0,0.0,6.053099328,1.008861521,0.560163093,0.0,0.560163093,19.941094062,1.569024614,0.0,0.0,4.035353906,7.62211123,2.240634118,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,25.10137796,0.0,0.560163093,5.938733054,12.661598972,3.360938881,1.008861521,2.017657872,0.0,1.008861521,0.0,0.560163093,0.0,2.1291746380000003,1.008861521,0.560163093,0.0,9.974174510000001,0.0,0.0,0.560163093,7.730687322,8.630846309999999,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,1.569024614,1.120313117,3.921075182,0.0,20.842983234000002,0.0,12.661598972,4.146834409,0.0,2.1291746380000003,1.008861521,1.120313117,0.0,0.0,1.569024614,0.560163093,0.560163093,0.560163093,0.0,1.120313117,2.017657872,0.0,18.260148552,0.0,1.008861521,1.120313117,0.0,25.101881895000002,2.240634118,0.560163093,0.560163093,0.560163093,3.026521292,5.044216332,0.0,0.0,0.0,0.0,16.470937702,0.0,1.120313117,0.0,0.0,3.921075182,0.0,1.569024614,0.0,0.0,0.002912167,0.059762892,0.002384171,0.034962541,0.0,0.0,0.0,0.01280025,0.014445687,0.0,0.176175362,0.0,0.0,0.0,0.050427299,0.016809277,0.5890191060000001,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.516421733,7.626252775,13.847203612000001,0.0,4.551775639000001,3.614875615,23.588641957,0.0,0.0,1.549235748,2.017657872,0.0,2.041686553,0.516421733,15.49301295,11.733615197999999,0.516421733,0.516421733,0.0,2.041686553,1.008861521,0.516421733,0.0,1.008861521,2.017657872,1.525283254,7.626252775,2.534079605,0.0,0.0,0.0,11.733615197999999,3.590897964,0.516421733,0.0,0.0,7.602335076,1.008861521,0.0,0.516421733,0.516421733,2.017657872,1.008861521,0.0,0.0,4.035353906,14.291761759,4.131330645,18.256491425,2.065631854,0.516421733,1.525283254,8.070683217,1.008861521,1.032825032,3.050482904,20.391997077,0.0,0.0,3.050482904,8.21463297,1.032825032,21.665946471,2.017657872,1.549235748,1.008861521,0.516421733,1.549235748,0.0,1.525283254,1.525283254,0.0,0.0,12.766395366000001,0.0,0.0,1.032825032,1.008861521,9.103508248999999,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,10.303236888,1.032825032,0.0,1.032825032,14.759111013999998,0.516421733,25.255837522,5.092153145999999,0.516421733,3.590897964,1.008861521,1.549235748,0.0,11.36232054,1.008861521,1.549235748,0.0,0.0,0.0,0.0,2.017657872,0.0,7.181762476,0.0,1.525283254,0.0,0.0,26.468792810000004,0.0,0.0,0.516421733,0.516421733,4.059346324,5.044216332,0.516421733,0.516421733,1.032825032,0.0,9.739817330000001,0.0,0.0,0.516421733,2.065631854,3.614875615,0.0,1.008861521,0.0,0.0,0.0,0.023275556,0.002384171,0.010934387,0.016352126,0.0,0.117066428,0.0,0.014445687,0.0,0.161165311,0.0,0.0,0.0,0.011299983,0.016809277,0.641808129,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,5.044216332,4.035353906,0.0,4.035353906,0.0,12.34166409,0.0,0.0,10.55846068,2.017657872,0.0,1.008861521,0.0,10.55846068,11.332815281,0.0,5.279715953,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,7.297373825,1.008861521,15.602677012000001,2.017657872,0.0,0.0,0.0,16.611560007999998,1.008861521,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,17.856026002,1.008861521,0.0,0.0,9.315069859000001,17.620408816999998,5.279715953,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,42.778972610000004,0.0,0.0,2.017657872,2.017657872,15.83836813,32.690212421,7.297373825,0.0,1.008861521,0.0,0.0,0.0,1.008861521,1.008861521,5.279715953,0.0,16.611560007999998,0.0,0.0,0.0,6.288577474,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.567322201,0.0,0.0,0.0,24.916963273999997,0.0,28.414468012,3.026521292,0.0,6.288577474,1.008861521,0.0,0.0,15.83836813,1.008861521,0.0,0.0,0.0,0.0,0.0,7.297373825,0.0,12.576118552,0.0,1.008861521,0.0,0.0,58.38099833,0.0,0.0,0.0,0.0,3.026521292,5.044216332,0.0,0.0,0.0,0.0,24.147279052000002,0.0,0.0,5.279715953,5.279715953,0.0,0.0,1.008861521,0.0,0.0,0.0,0.071873496,0.002384171,0.002733675,0.002580838,0.0,0.021738598,0.061778678,0.014445687,0.0,0.16016166,0.298613759,0.0,0.0,0.045796057,0.016809277,0.530781198,0.0,0.00920364,0.018258397,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,5.044216332,4.91462745,0.879273544,5.793961961,5.27581308,7.061948137,0.0,0.0,8.792870241,5.53486495,0.0,1.8881350650000002,0.0,5.27581308,13.966840103,0.879273544,1.758608055,0.879273544,1.8881350650000002,1.8881350650000002,0.879273544,0.0,1.8881350650000002,16.965429212,1.8881350650000002,13.837086573,3.776265927,0.0,0.879273544,0.0,11.328912408,1.8881350650000002,0.0,0.0,1.758608055,6.053099328,1.008861521,0.0,0.879273544,0.879273544,2.017657872,1.8881350650000002,1.758608055,0.0,4.035353906,7.941221681,0.0,14.12516078,8.792870241,0.0,1.8881350650000002,35.325988237000004,1.8881350650000002,0.879273544,10.810528113,13.73551537,0.0,0.879273544,2.896931416,2.896931416,3.517207078,1.8881350650000002,2.017657872,2.63789366,1.008861521,0.0,0.0,0.879273544,1.008861521,1.8881350650000002,1.758608055,0.0,6.053099328,0.0,0.879273544,9.673331543,1.008861521,8.949956761,0.0,0.879273544,0.879273544,1.758608055,0.879273544,0.0,1.758608055,2.767469576,0.0,4.396472894,0.879273544,18.751926687,0.0,18.722823752,3.026521292,0.879273544,5.4053344150000004,1.008861521,0.879273544,0.0,4.396472894,2.767469576,5.27581308,0.0,0.879273544,0.0,0.0,2.896931416,0.0,6.414130766,0.0,2.767469576,0.0,1.758608055,24.053313855000003,0.0,0.0,0.0,0.0,5.664414952,5.9234898760000005,0.0,0.0,9.673331543,0.0,12.699852835,0.0,0.0,0.879273544,2.63789366,0.879273544,0.0,4.526068599,0.0,0.0,0.0,0.033457264,0.002384171,0.049703102,0.0,0.0,0.0,0.008975219,0.014445687,0.0,0.160254641,0.0,0.693869702,0.0,0.150238765,0.016809277,0.552570013,0.0,0.006601794,0.068168222,1.0,1.0,"[[0], [3]]"
4x4,0.360786525,0.0,5.765807397000001,35.424537406,1.443149259,4.396140431,2.886332908,14.999323534,0.360786525,0.360786525,1.443149259,3.821606161,0.0,2.091241598,12.98942937,10.46304507,34.193800678,1.443149259,2.16475431,0.360786525,1.369648046,1.7304525860000002,0.360786525,0.0,1.7304525860000002,2.017657872,1.008861521,5.044216332,2.739248937,0.0,0.360786525,2.525494163,13.629597512,2.45201078,0.0,0.0,0.360786525,15.433162581,1.008861521,0.0,0.360786525,0.0,2.739248937,1.008861521,0.360786525,0.0,4.396140431,11.03061638,2.886332908,36.4920016,8.298223906,0.721591065,1.008861521,8.792274282,1.369648046,1.082380077,3.460807131,16.870293035,0.0,0.0,2.739248937,6.707890217,2.886332908,7.503142986,5.986326115000001,0.0,1.7304525860000002,1.082380077,0.0,0.0,1.008861521,3.173615831,0.0,0.721591065,6.774690393,0.0,0.0,2.886332908,10.029606274,8.431469741999999,0.0,2.16475431,0.360786525,0.0,0.360786525,0.0,0.360786525,10.029606274,0.360786525,0.721591065,1.443149259,17.37681905,0.721591065,9.955033269000001,17.457731952,0.0,2.81280981,1.008861521,1.443149259,0.360786525,5.051039668,1.008861521,0.360786525,0.0,1.803948289,1.082380077,0.360786525,2.017657872,3.968668243,9.594156056,0.360786525,1.008861521,0.0,0.721591065,21.551373565000002,0.0,0.0,0.0,0.360786525,4.469670551,5.405002857,0.360786525,0.721591065,0.0,1.443149259,10.242323968000001,0.0,8.298223906,1.082380077,2.886332908,1.803948289,0.360786525,1.7304525860000002,0.0,1.082380077,0.0,0.024004129,0.002384171,0.002733675,0.078810091,0.0,0.001710878,0.0,0.014445687,0.0,0.14139379900000001,0.0,0.0,0.0,0.0,0.16644698500000002,0.40695728200000003,0.743130894,0.006601794,0.018258397,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,21.861694601,0.630872464,0.630872464,10.6439411,4.274729287,1.261778128,0.560163093,11.698166525,0.560163093,0.630872464,0.0,0.0,3.083709534,16.180654277000002,1.191035557,0.630872464,0.0,4.274729287,1.191035557,1.191035557,0.560163093,12.116724985000001,16.120533688,1.191035557,4.97642928,0.0,1.751185581,1.120313117,0.560163093,22.139623279,2.3113365949999998,1.120313117,0.0,0.630872464,1.261778128,0.0,1.191035557,0.0,1.191035557,19.185214318,0.560163093,0.0,0.0,1.892677383,3.714579263,3.502412246,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,29.14362505,0.0,1.191035557,7.075491352,14.429250247999999,5.253616264,11.98673564,3.785309148,0.0,0.0,0.630872464,1.191035557,0.0,1.120313117,1.892677383,1.191035557,0.630872464,5.1828533100000005,0.0,0.0,5.6073027689999995,7.352698265,4.345472241,0.0,1.191035557,7.570575795,1.261778128,0.0,0.0,19.675592734,1.8219412209999999,1.120313117,4.551947646,2.523546441,18.073254096,0.0,19.476351557,3.643859558,1.261778128,3.643859558,0.630872464,3.643859558,0.630872464,1.261778128,3.083709534,1.191035557,0.560163093,1.191035557,0.0,1.120313117,0.0,3.15441617,23.182298670999998,1.892677383,1.892677383,1.120313117,0.0,12.747617963,2.240634118,0.560163093,0.560163093,0.560163093,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,22.908471079999998,0.0,1.120313117,0.0,0.0,6.444621623,0.0,0.560163093,0.0,0.0,0.002912167,0.037214872,0.0,0.05765646000000001,0.0,0.0,0.0,0.01280025,0.0,0.0,0.165935269,0.0,0.06345961,0.0,0.123217999,0.0,0.585480781,0.0,0.0,0.018325221,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.516421733,2.582036443,24.951718506,0.630872464,1.147294197,3.614875615,19.68110999,1.261778128,0.0,5.965501935,0.0,0.630872464,1.032825032,0.516421733,18.016559391,10.096782056999999,1.147294197,1.147294197,0.0,4.187241202,0.630872464,1.147294197,0.0,3.15441617,13.87989957,1.147294197,6.9983026299999995,0.516421733,0.630872464,0.0,0.0,18.2980979,3.2129089069999996,0.516421733,0.0,0.630872464,2.811013876,0.0,0.630872464,0.516421733,1.147294197,1.261778128,0.0,0.0,0.0,1.892677383,10.384229792,5.393108773,43.878739785,2.065631854,0.516421733,0.516421733,13.87989957,0.630872464,1.032825032,10.496879702,24.434244167000003,0.0,0.630872464,4.187241202,9.982284246,2.9255024150000004,32.643820590000004,3.785309148,1.549235748,0.0,1.147294197,2.180108212,0.0,0.516421733,2.409099116,0.630872464,0.630872464,7.975074166000001,0.0,0.0,6.079964707999999,0.630872464,4.81813418,0.0,0.630872464,9.119811543,1.261778128,0.516421733,0.516421733,1.6636974960000002,10.556153495,1.032825032,0.630872464,3.5563714730000004,11.989381876,0.516421733,32.070590107,4.589178295,1.778199861,5.105582884,0.630872464,4.072782189,0.630872464,12.624098668,2.523546441,2.180108212,0.0,0.630872464,0.0,0.0,0.0,3.15441617,12.103912595,1.892677383,2.409099116,0.0,0.0,14.114528878,0.0,0.0,0.516421733,0.516421733,4.81813418,3.785309148,1.147294197,1.147294197,1.032825032,0.0,16.177350708,0.0,0.0,0.516421733,2.065631854,6.138422056,0.0,0.0,0.0,0.0,0.0,0.000727536,0.0,0.033628306000000004,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.150925218,0.0,0.06345961,0.0,0.084090683,0.0,0.638269804,0.0,0.0,0.018325221,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,0.0,15.1398688,0.630872464,0.630872464,0.0,8.434132123000001,1.261778128,0.0,14.974726867,0.0,0.630872464,0.0,0.0,13.082007121,9.69598214,0.630872464,5.9105884170000005,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,19.159615523,0.630872464,14.974726867,0.0,0.630872464,0.0,0.0,23.176042709999997,0.630872464,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,0.630872464,17.100146258,0.0,0.0,0.0,7.172393336000001,13.71287685,6.541494081,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,46.8212197,0.0,0.630872464,3.15441617,3.785309148,17.731045512999998,43.668086540000004,9.065025101,0.0,0.0,0.630872464,0.630872464,0.0,0.0,1.892677383,5.9105884170000005,0.630872464,11.820238808,0.0,0.0,5.047139676,5.9105884170000005,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,11.820238808,0.0,0.630872464,2.523546441,22.147234135999998,0.0,35.229220597,2.523546441,1.261778128,7.803262394000001,0.630872464,2.523546441,0.630872464,17.100146258,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,5.279715953,3.15441617,17.498268670999998,1.892677383,1.892677383,0.0,0.0,46.026734398,0.0,0.0,0.0,0.0,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,30.58481243,0.0,0.0,5.279715953,5.279715953,2.523546441,0.0,0.0,0.0,0.0,0.0,0.049325476,0.0,0.025427594,0.002580838,0.0,0.021738598,0.061778678,0.0,0.0,0.149921567,0.298613759,0.06345961,0.0,0.118586757,0.0,0.5272428730000001,0.0,0.002601846,0.018325221,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,0.0,16.019142344,1.510146008,2.389480519,5.27581308,3.15441617,1.261778128,0.0,13.209136427999999,3.517207078,0.630872464,0.879273544,0.0,7.7993595209999995,12.330006961999999,1.510146008,2.389480519,0.879273544,4.033689714,1.510146008,1.510146008,0.0,4.033689714,28.82767091,1.510146008,13.209136427999999,1.758608055,0.630872464,0.879273544,0.0,17.89339511,1.510146008,0.0,0.0,2.389480519,1.261778128,0.0,0.630872464,0.879273544,1.510146008,1.261778128,0.879273544,1.758608055,0.0,1.892677383,4.033689714,1.261778128,39.74740914,8.792870241,0.0,0.879273544,41.13520459,1.510146008,0.879273544,18.256924911,17.77776246,0.0,1.510146008,4.033689714,4.664582692,5.409884461000001,12.866009184,3.785309148,2.63789366,0.0,0.630872464,0.630872464,0.879273544,0.0,2.7719509270000002,2.389480519,0.630872464,1.261778128,0.0,0.879273544,14.720471219,0.630872464,4.664582692,0.0,1.510146008,8.449849339,3.0203861830000003,0.879273544,0.0,2.389480519,3.0203861830000003,0.0,5.027345358000001,3.4028199850000003,15.982197548999999,0.0,25.537576336999997,2.523546441,2.141051672,6.920019335000001,0.630872464,3.4028199850000003,0.630872464,5.658251022,4.282154496,5.906685544,0.0,1.510146008,0.0,0.0,0.879273544,3.15441617,11.336280885,1.892677383,3.6512854380000004,0.0,1.758608055,11.699049923,0.0,0.0,0.0,0.0,6.423202808,4.664582692,0.630872464,0.630872464,9.673331543,0.0,19.137386213,0.0,0.0,0.879273544,2.63789366,3.4028199850000003,0.0,3.517207078,0.0,0.0,0.0,0.010909243999999998,0.0,0.072397021,0.0,0.0,0.0,0.008975219,0.0,0.0,0.150014548,0.0,0.757329312,0.0,0.22302946499999998,0.0,0.549031688,0.0,0.0,0.068235046,1.0,1.0,"[[1], [3]]"
9x9,0.360786525,0.0,0.721591065,46.529052300000004,2.074021723,0.991658989,2.886332908,11.091791567000001,1.622564653,0.360786525,5.859415446,1.803948289,0.630872464,1.082380077,12.98942937,12.986591511,32.556967537,2.074021723,2.795626774,0.360786525,3.515202695,1.352463529,0.991658989,0.0,3.8760072350000003,13.87989957,0.630872464,4.416266187,0.721591065,0.630872464,0.360786525,2.525494163,20.194080214,2.074021723,0.0,0.0,0.991658989,10.641841380999999,0.0,0.630872464,0.360786525,0.630872464,1.9833691930000001,0.0,0.360786525,0.0,2.253463908,7.123084413000001,4.1481110359999995,62.11424996,8.298223906,0.721591065,0.0,14.601490635,0.991658989,1.082380077,10.907203929,20.912540125,0.0,0.630872464,3.8760072350000003,8.475541493,4.7790102910000005,18.481017105,7.753977391,0.0,0.721591065,1.7132525410000001,0.630872464,0.0,0.0,4.057431693,0.630872464,1.352463529,1.9833691930000001,0.0,0.0,7.9334725839999996,9.651617217,4.1460956730000005,0.0,2.795626774,7.93136232,1.261778128,0.360786525,0.0,0.991658989,10.282522881,0.360786525,1.352463529,3.9666957,14.607089912,0.721591065,16.769785854,16.954757101,1.261778128,4.32749473,0.630872464,3.9666957,0.991658989,6.312817795999999,2.523546441,0.991658989,0.0,2.434820753,1.082380077,0.360786525,0.0,7.123084413000001,14.516306175,2.253463908,1.892677383,0.0,0.721591065,9.197109633,0.0,0.0,0.0,0.360786525,5.228458407,4.1460956730000005,0.991658989,1.352463529,0.0,1.443149259,16.679857346,0.0,8.298223906,1.082380077,2.886332908,4.32749473,0.360786525,0.721591065,0.0,1.082380077,0.0,0.0014561090000000001,0.0,0.025427594,0.078810091,0.0,0.001710878,0.0,0.0,0.0,0.131153706,0.0,0.06345961,0.0,0.0727907,0.149637708,0.40341895699999997,0.743130894,0.0,0.018325221,1.0,1.0,"[[1], [4]]"
