coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,Microglia,Inhibitorycells,Microgliacells
0x0,0.891907941,0.0,20.206398592,4.035353906,0.0,22.764123466,0.0,8.845760761,0.0,0.0,1.783812624,2.909565813,0.0,1.008861521,0.0,0.891907941,7.836911952,0.891907941,0.0,0.0,1.008861521,2.7926741450000003,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.909565813,0.0,0.0,0.0,15.864949034,9.927909706,0.0,0.0,0.0,6.945007269,1.008861521,0.0,0.0,0.891907941,2.017657872,1.900769462,0.0,0.0,4.035353906,7.953856078,1.783812624,14.12516078,0.0,0.0,1.900769462,8.070683217,1.900769462,0.891907941,2.017657872,18.233042107,0.891907941,0.891907941,2.017657872,5.585278231,0.891907941,1.008861521,2.017657872,0.0,1.900769462,0.0,0.0,0.0,1.008861521,2.7926741450000003,0.0,0.0,25.673637708,0.0,0.0,0.0,1.008861521,23.232865476999997,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,2.7926741450000003,0.0,0.0,0.0,12.646215503,0.0,4.6934420160000005,4.810333916,0.0,2.7926741450000003,4.57648188,0.0,2.675784144,0.0,1.008861521,0.0,0.0,0.0,0.0,0.0,48.398197202,0.0,10.045002034,0.891907941,1.008861521,8.919048185,0.0,19.707193439,0.0,0.891907941,0.0,0.0,11.945569477,9.503805960000001,7.135420397,0.0,0.0,0.0,4.810333916,0.0,0.0,0.891907941,0.0,0.891907941,0.0,1.008861521,0.891907941,12.48652308,0.02634885,0.028854799,0.027247609000000002,0.043604894,0.0,0.0,0.0,0.0,0.014445687,0.0,0.11177967600000001,0.0,0.029409093,0.0,0.0,0.017572092,0.5088401339999999,0.0,0.006601794,0.018258397,1.0,1.0,[0],[0]
1x1,0.0,0.0,5.044216332,4.035353906,0.0,10.057502254,0.0,7.061948137,0.0,0.0,0.0,8.03980622,0.0,1.008861521,0.0,0.0,18.096775248,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,8.03980622,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,14.061333792,1.008861521,0.0,0.0,10.057502254,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,14.092831565,1.008861521,0.0,2.017657872,11.09762171,0.0,6.022148348,2.017657872,2.017657872,0.0,1.008861521,2.017657872,6.022148348,1.008861521,0.0,0.0,0.0,1.008861521,25.098823311,0.0,0.0,6.053099328,0.0,0.0,0.0,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,6.022148348,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,1.008861521,0.0,0.0,0.0,7.031009869,12.04367592,0.0,0.0,0.0,0.0,104.388963072,0.0,2.017657872,0.0,1.008861521,0.0,0.0,22.161721428,0.0,0.0,0.0,0.0,9.04866964,5.044216332,0.0,0.0,0.0,0.0,15.070197212,6.022148348,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.002387402,0.023275556,0.02206276,0.019700533000000003,0.002447184,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.0,0.0,0.0,0.016809277,0.44759387900000003,0.005567434,0.006992895,0.018258397,1.0,1.0,[0],[1]
2x2,0.0,2.889914001,5.044216332,6.925267907,0.0,4.035353906,1.444950101,7.061948137,0.0,0.0,1.444950101,2.017657872,0.0,1.008861521,1.444950101,7.224888137,16.167857038,1.444950101,0.0,0.0,1.008861521,1.008861521,0.0,0.0,2.453811622,2.017657872,2.453811622,6.489166433,3.462607973,0.0,0.0,0.0,8.943013329,3.898775522,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,15.570110881,0.0,0.0,1.008861521,12.405628874999998,2.453811622,0.0,2.017657872,15.432567368,0.0,8.669855849,2.017657872,2.017657872,0.0,3.898775522,2.017657872,0.0,1.008861521,1.444950101,0.0,0.0,1.008861521,1.008861521,0.0,1.444950101,7.498049429,0.0,0.0,0.0,5.343807179,8.070683217,0.0,0.0,2.889914001,0.0,0.0,0.0,0.0,2.453811622,0.0,0.0,0.0,14.85844381,0.0,3.462607973,3.026521292,1.444950101,1.008861521,2.453811622,0.0,0.0,0.0,1.008861521,10.11475771,0.0,0.0,0.0,0.0,67.041379342,0.0,17.914284212,0.0,1.008861521,8.669855849,0.0,19.029487081000003,0.0,0.0,1.444950101,0.0,5.916435293,5.044216332,1.444950101,0.0,0.0,0.0,7.36146695,0.0,0.0,1.444950101,1.444950101,1.444950101,1.444950101,1.008861521,0.0,0.0,0.0,0.023275556,0.014593417000000001,0.016353276,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.287508189,0.0,0.0,0.120069601,0.32249806400000003,0.31084095,0.006601794,0.018258397,1.0,1.0,[0],[2]
3x3,0.0,0.96942751,29.279024052,5.004781416,0.484704415,23.909080946,0.0,8.5160919,0.484704415,0.0,0.96942751,2.502362287,3.392987829,1.978289031,0.0,0.0,7.991899117,0.484704415,0.0,0.484704415,1.008861521,2.4630052840000003,0.0,0.484704415,1.008861521,2.017657872,1.008861521,5.044216332,4.441234082999999,0.0,0.0,0.96942751,12.354227961,12.156727721,0.0,0.0,1.454143763,6.5378037430000004,1.008861521,0.0,0.484704415,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,7.061948137,1.938799789,14.12516078,0.0,0.0,1.008861521,8.070683217,1.493565936,0.0,2.502362287,13.521197921,0.0,0.0,2.017657872,10.257615933,0.0,1.493565936,2.502362287,0.0,1.978289031,0.484704415,0.0,0.0,1.493565936,1.978289031,0.0,0.96942751,39.983213088,0.0,0.0,0.0,1.978289031,8.070683217,0.0,0.96942751,0.0,0.0,0.484704415,0.0,1.454143763,1.493565936,0.484704415,0.484704415,0.0,9.078595144,0.0,3.956457661,4.965321081,0.484704415,1.008861521,3.917090494,0.0,5.33184099,0.484704415,1.008861521,0.484704415,0.0,0.0,0.96942751,0.0,39.823758012,0.0,7.834135285,0.0,1.008861521,1.938799789,0.96942751,16.624277495,0.0,0.484704415,0.484704415,0.96942751,5.934750265,8.921859212000001,2.908228973,0.0,0.0,0.0,3.511225707,0.0,0.0,0.484704415,2.423576211,1.938799789,0.0,1.493565936,0.0,9.693010665,0.0,0.064918797,0.018476096,0.044328947,0.0,0.023056926,0.0,0.085128075,0.014445687,0.0,0.097541625,0.0,0.641572243,0.0,0.0,0.016809277,0.30284426600000003,0.0,0.006601794,0.018258397,1.0,1.0,[0],[3]
4x4,0.0,0.0,5.044216332,4.035353906,1.168652664,6.3726904189999996,0.0,7.061948137,0.0,1.168652664,0.0,2.017657872,0.0,1.008861521,0.0,0.0,10.727761344000001,0.0,0.0,4.674662016,3.346198034,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,9.559087008,1.008861521,0.0,0.0,0.0,7.221751992,6.852073608,0.0,1.168652664,0.0,3.1863105359999997,1.008861521,0.0,4.674662016,5.20400657,9.39928465,0.0,14.12516078,0.0,0.0,1.008861521,9.239335880999999,1.008861521,0.0,2.017657872,14.60360939,0.0,0.0,2.017657872,9.029640519,0.0,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,2.1775141849999997,5.683523537,0.0,0.0,9.559087008,0.0,0.0,1.168652664,2.1775141849999997,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1775141849999997,0.0,1.168652664,0.0,9.078595144,0.0,4.3549943849999995,4.195173956,0.0,1.008861521,1.008861521,0.0,0.0,0.0,1.008861521,1.168652664,26.88046418,0.0,0.0,0.0,84.982988032,1.168652664,9.029640519,0.0,1.008861521,8.180577476,2.337336513,16.13957308,0.0,0.0,0.0,3.50598768,17.051020322,5.044216332,0.0,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.01595296,0.023275556,0.035564193,0.06847056800000001,0.0,0.001917426,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.35975292,0.0,0.0,0.031794221,0.366907559,0.000742606,0.007662121,0.018258397,1.0,1.0,[0],[4]
5x5,0.891907941,0.0,15.16218226,15.1398688,0.630872464,19.359642024,0.0,4.9382287940000005,1.261778128,0.0,6.200078811,0.891907941,0.630872464,0.0,0.0,3.415454382,6.200078811,1.522780405,0.630872464,0.0,3.15441617,2.414685088,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.891907941,0.630872464,0.0,0.0,22.429431735999998,9.549920648999999,0.0,0.0,0.630872464,2.153686069,0.0,0.630872464,0.0,1.522780405,1.261778128,0.891907941,0.0,0.0,1.892677383,4.046324111000001,3.045590752,39.74740914,0.0,0.0,0.891907941,13.87989957,1.522780405,0.891907941,9.46405467,22.275289197,0.891907941,1.522780405,3.15441617,7.352929507000001,2.784585324,11.98673564,3.785309148,0.0,0.891907941,0.630872464,0.630872464,0.0,0.0,3.676490007,0.630872464,0.630872464,20.882316508,0.0,0.0,5.047139676,0.630872464,18.947491408,0.0,0.630872464,8.462483736,1.261778128,0.0,0.0,0.630872464,3.045590752,0.0,0.630872464,2.523546441,9.876486365,0.0,11.508194601,4.307359065,1.261778128,4.307359065,4.1984928230000005,2.523546441,3.306656608,1.261778128,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,46.38053933,3.15441617,14.967152153,2.784585324,1.892677383,8.919048185,0.0,7.352929507000001,0.0,0.891907941,0.0,0.0,12.704357332999999,8.244898776,7.766292861,0.630872464,0.0,0.0,11.247867293999999,0.0,0.0,0.891907941,0.0,3.415454382,0.0,0.0,0.891907941,12.48652308,0.02634885,0.006306779,0.024863438,0.066298813,0.0,0.0,0.0,0.0,0.0,0.0,0.101539583,0.0,0.092868703,0.0,0.0727907,0.000762815,0.505301809,0.0,0.0,0.018325221,1.0,1.0,[1],[0]
6x6,0.0,0.0,0.0,15.1398688,0.630872464,6.653020812,0.0,3.15441617,1.261778128,0.0,4.416266187,6.022148348,0.630872464,0.0,0.0,2.523546441,16.459942107,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,19.902047918,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,0.630872464,13.305454048,0.0,0.0,0.0,7.9148257310000005,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,19.902047918,0.630872464,0.0,9.46405467,15.1398688,0.0,6.653020812,3.15441617,3.785309148,1.892677383,11.98673564,3.785309148,6.022148348,0.0,0.630872464,0.630872464,0.0,0.0,25.982639173,0.630872464,0.630872464,1.261778128,0.0,0.0,5.047139676,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,6.022148348,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,8.545694789,12.674548384,0.0,0.630872464,0.0,0.0,102.3713052,3.15441617,6.939807991,1.892677383,1.892677383,0.0,0.0,9.807457496,0.0,0.0,0.0,0.0,9.807457496,3.785309148,0.630872464,0.630872464,0.0,0.0,21.50773059,6.022148348,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,0.0,0.002387402,0.000727536,0.019678589,0.042394452,0.002447184,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.06345961,0.0,0.0727907,0.0,0.44405555399999996,0.005567434,0.000391101,0.018325221,1.0,1.0,[1],[1]
7x7,0.0,2.889914001,0.0,18.029782801,0.630872464,0.630872464,1.444950101,3.15441617,1.261778128,0.0,5.861216288,0.0,0.630872464,0.0,1.444950101,9.748434578,14.531023896999999,2.075822565,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,4.599366271,13.87989957,2.075822565,5.861216288,1.444950101,0.630872464,0.0,0.0,15.507496030999999,3.520786465,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,41.192359241000005,0.0,0.0,0.0,18.214845227999998,2.075822565,0.0,9.46405467,19.474814458,0.0,9.300728312999999,3.15441617,3.785309148,1.892677383,14.876649641,3.785309148,0.0,0.0,2.075822565,0.630872464,0.0,0.0,1.892677383,0.630872464,2.075822565,2.7067282290000003,0.0,0.0,5.047139676,4.965818122,3.785309148,0.0,0.630872464,10.460489796000001,1.261778128,0.0,0.0,0.630872464,2.7067282290000003,0.0,0.630872464,2.523546441,12.088714672,0.0,10.277360558,2.523546441,2.7067282290000003,2.523546441,2.075822565,2.523546441,0.630872464,1.261778128,2.523546441,10.745630173999999,0.0,0.630872464,0.0,0.0,65.02372147,3.15441617,22.836434331,1.892677383,1.892677383,8.669855849,0.0,6.675223149000001,0.0,0.0,1.444950101,0.0,6.675223149000001,3.785309148,2.075822565,0.630872464,0.0,0.0,13.799000327999998,0.0,0.0,1.444950101,1.444950101,3.9684965420000005,1.444950101,0.0,0.0,0.0,0.0,0.000727536,0.012209246,0.039047195,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.350967799,0.0,0.0727907,0.103260324,0.318959739,0.31084095,0.0,0.018325221,1.0,1.0,[1],[2]
8x8,0.0,0.96942751,24.23480772,16.10929631,1.115576879,20.504599503999998,0.0,4.608559933,1.746482543,0.0,5.385693697,0.484704415,4.023860293,0.96942751,0.0,2.523546441,6.355065976,1.115576879,0.630872464,0.484704415,3.15441617,2.085016227,0.630872464,0.484704415,3.15441617,13.87989957,0.630872464,4.416266187,2.423576211,0.630872464,0.0,0.96942751,18.918710663,11.778738663999999,0.0,0.0,2.085016227,1.746482543,0.0,0.630872464,0.484704415,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,3.15441617,3.200577917,39.74740914,0.0,0.0,0.0,13.87989957,1.115576879,0.0,9.948759084999999,17.563445011,0.0,0.630872464,3.15441617,12.025267208999999,1.892677383,12.471440054999999,4.270013563,0.0,0.96942751,1.115576879,0.630872464,0.0,0.484704415,2.862104893,0.630872464,1.600299974,35.191891888,0.0,0.0,5.047139676,1.600299974,3.785309148,0.0,1.600299974,7.570575795,1.261778128,0.484704415,0.0,2.085016227,1.746482543,0.484704415,1.115576879,2.523546441,6.308866006,0.0,10.771210245999999,4.46234623,1.746482543,2.523546441,3.539101437,2.523546441,5.962713454,1.746482543,2.523546441,1.115576879,0.0,0.630872464,0.96942751,0.0,37.80610014,3.15441617,12.756285404,1.892677383,1.892677383,1.938799789,0.96942751,4.270013563,0.0,0.484704415,0.484704415,0.96942751,6.693538121,7.662952027999999,3.539101437,0.630872464,0.0,0.0,9.948759084999999,0.0,0.0,0.484704415,2.423576211,4.46234623,0.0,0.484704415,0.0,9.693010665,0.0,0.042370777,0.016091925,0.067022866,0.0,0.023056926,0.0,0.085128075,0.0,0.0,0.087301532,0.0,0.705031853,0.0,0.0727907,0.0,0.299305941,0.0,0.0,0.018325221,1.0,1.0,[1],[3]
9x9,0.0,0.0,0.0,15.1398688,1.799525128,2.9682089769999997,0.0,3.15441617,1.261778128,1.168652664,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,9.090928203,0.630872464,0.630872464,4.674662016,5.491752683,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,16.123569709999998,0.630872464,0.0,0.0,0.630872464,2.430430792,5.843212087,0.630872464,1.168652664,0.630872464,2.430430792,0.0,0.0,4.674662016,3.061330047,5.491752683,1.261778128,39.74740914,0.0,0.0,0.0,15.048552233999999,0.630872464,0.0,9.46405467,18.64585648,0.0,0.630872464,3.15441617,10.797291795,1.892677383,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,1.168652664,6.567339399,0.630872464,0.630872464,4.767765808,0.0,0.0,6.215792339999999,1.799525128,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,2.430430792,0.0,1.799525128,2.523546441,6.308866006,0.0,11.16974697,3.6921991050000003,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,2.523546441,1.799525128,26.88046418,0.630872464,0.0,0.0,82.96533016,4.323068834,13.951790638,1.892677383,1.892677383,8.180577476,2.337336513,3.785309148,0.0,0.0,0.0,3.50598768,17.809808178,3.785309148,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,0.0,0.01595296,0.000727536,0.033180022,0.091164487,0.0,0.001917426,0.0,0.0,0.0,0.0,0.087301532,0.0,0.42321253,0.0,0.0727907,0.014984944,0.363369234,0.000742606,0.001060327,0.018325221,1.0,1.0,[1],[4]
