coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,ODImmature1,Inhibitory ODImmature1
0x0,0.0,0.0,5.044216332,4.035353906,0.0,6.308384012,0.0,7.630215123,0.0,0.0,0.0,2.017657872,3.409506631,1.008861521,0.0,1.704767878,7.757867206,0.0,0.0,0.0,1.577128507,3.2818916270000003,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.5859248580000003,0.0,1.136534943,0.568266986,27.647457027999998,8.396119471999999,0.0,0.0,0.0,6.053099328,1.577128507,0.0,0.0,0.0,4.290687978,1.008861521,0.568266986,0.0,4.035353906,7.061948137,1.704767878,15.829928658,0.0,0.568266986,1.577128507,8.070683217,1.008861521,12.50205896,2.017657872,11.665888696,0.0,0.0,2.017657872,3.154192815,0.568266986,1.577128507,2.5859248580000003,0.568266986,1.577128507,0.0,0.0,0.0,1.008861521,3.2818916270000003,0.0,0.0,14.008602664,0.0,0.0,0.568266986,2.145396464,8.070683217,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,1.008861521,0.0,1.136534943,0.0,13.056424448,0.0,2.5859248580000003,4.73128917,40.91794659,1.577128507,1.008861521,0.0,3.977829304,0.0,1.008861521,1.704767878,0.0,0.0,0.0,0.568266986,14.519716832,0.0,4.290687978,0.0,1.008861521,3.409506631,0.0,17.276108023000003,0.568266986,0.0,0.0,0.0,7.004350596,9.590218053000001,12.50205896,0.568266986,0.0,0.568266986,3.026521292,0.0,0.568266986,1.136534943,0.0,2.841315689,12.50205896,1.008861521,0.0,0.0,0.007551839,0.023275556,0.022806375,0.029988051,0.0,0.0,0.0,0.0,0.014445687,0.0,0.121867162,0.0,0.0,0.0,0.0,0.016809277,0.5831539809999999,0.0,0.016863753,0.018258397,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,5.729876405000001,6.777924492,2.056961717,4.035353906,0.0,19.403304967,0.0,0.0,1.371264502,2.017657872,2.056961717,1.008861521,0.685660073,0.0,12.223938793,0.685660073,0.0,5.485149617,1.694521594,1.694521594,0.0,0.685660073,1.008861521,2.703317945,1.008861521,5.729876405000001,2.703317945,0.0,0.685660073,0.685660073,30.050796348,1.008861521,0.0,0.0,0.685660073,7.42436383,1.008861521,0.685660073,0.0,0.685660073,2.703317945,1.694521594,0.685660073,0.0,4.721013979,17.346907516999998,1.371264502,32.63708048,0.0,0.685660073,1.008861521,8.070683217,1.008861521,13.02813705,2.703317945,17.268461175,0.0,0.0,2.017657872,4.074619589,0.0,2.380126023,2.017657872,0.685660073,1.008861521,0.0,0.0,0.0,1.008861521,3.751432107,0.685660073,1.371264502,9.481327596,0.0,0.0,4.113873726,1.008861521,8.756343289999998,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,1.008861521,0.685660073,0.685660073,1.371264502,19.363554524,0.0,6.131531598,16.739479451999998,24.68029451,2.380126023,2.380126023,0.0,0.685660073,0.0,1.694521594,0.685660073,0.685660073,0.0,0.685660073,0.685660073,2.703317945,0.0,7.502807489,0.0,1.694521594,8.913339965,1.371264502,19.567801348000003,0.0,0.0,0.0,0.685660073,3.712181365,9.158090057999999,15.08421982,0.0,0.0,8.913339965,11.939861257,0.0,0.685660073,0.0,0.685660073,4.113873726,8.227626339,2.380126023,0.0,0.0,0.0,0.028191646,0.002384171,0.026924781000000002,0.0,0.0,0.019721556,0.0,0.014445687,0.0,0.126190132,0.0,0.236260519,0.0,0.024693544,0.016809277,0.521409404,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,5.044216332,4.035353906,1.092184595,5.127538501,1.092184595,8.154132732,0.0,0.0,2.184344163,3.109842467,4.368710674,1.008861521,0.0,0.0,9.329712803,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,10.505220185,3.109842467,0.0,0.0,0.0,42.095574628,1.008861521,0.0,0.0,0.0,10.421810002,1.008861521,0.0,0.0,0.0,9.662956512000001,1.008861521,0.0,0.0,4.035353906,7.061948137,4.368710674,15.217345375,0.0,0.0,1.008861521,8.070683217,1.008861521,27.30740119,2.017657872,13.281965873,0.0,0.0,4.202002035,7.478661725,1.092184595,3.193205684,2.017657872,0.0,1.008861521,1.092184595,0.0,0.0,1.008861521,1.008861521,1.092184595,0.0,6.053099328,0.0,0.0,2.184344163,3.193205684,14.623866095,1.092184595,1.092184595,0.0,0.0,0.0,0.0,1.092184595,2.101046116,0.0,0.0,0.0,12.355208618999999,0.0,12.938309602,8.487525145,66.62386672,3.193205684,1.008861521,3.276613475,3.276613475,0.0,1.008861521,0.0,1.092184595,1.092184595,0.0,0.0,2.017657872,0.0,5.2942713470000005,0.0,3.193205684,2.184344163,0.0,20.508283754,0.0,0.0,0.0,1.092184595,5.210865455,15.964868062,22.93866901,0.0,1.092184595,1.092184595,6.3031347669999995,0.0,1.092184595,1.092184595,3.276613475,3.276613475,22.93866901,1.008861521,0.0,3.276613475,0.0,0.050298155,0.002384171,0.014327105,0.0,0.008277092,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.353910636,0.0,0.003467705,0.016809277,0.438300728,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [2]]"
3x3,0.410457485,0.0,5.454673817000001,6.498094833,0.820916369,4.445811391,7.388223625,11.576878081,1.231361832,0.410457485,3.694074737,4.480398799,1.231361832,1.008861521,0.0,3.283610752,15.08307778,0.410457485,1.231361832,2.462740927,5.113323814,1.419319006,0.410457485,0.410457485,1.419319006,4.069907152,1.419319006,8.327827084,2.838574241,0.410457485,2.05224928,3.283610752,26.163671288000003,2.6506619110000003,0.0,0.0,0.410457485,7.28446116,1.008861521,0.410457485,0.0,0.410457485,3.249019704,1.008861521,0.0,0.0,4.445811391,11.166410429999999,2.05224928,14.946077149,1.64180039,0.0,1.008861521,9.712483607,1.008861521,12.72460961,4.890858557,18.896149296,0.410457485,0.820916369,2.4281153570000003,5.711732609,2.873200685,8.397085146,2.838574241,0.410457485,1.008861521,0.820916369,0.410457485,0.0,1.419319006,2.240223353,0.410457485,0.0,6.053099328,0.0,0.820916369,5.335924595,4.292472273,10.533424144,0.820916369,0.410457485,8.208947562,0.0,1.64180039,0.0,0.410457485,1.008861521,0.0,0.0,0.820916369,19.340192614,0.410457485,11.047636323999999,5.078770572,26.68216163,3.882062206,1.008861521,0.0,0.0,8.208947562,1.008861521,0.820916369,0.410457485,2.873200685,0.0,0.410457485,2.4281153570000003,0.410457485,6.122120165,0.0,1.419319006,0.820916369,0.0,34.19856825,0.0,0.0,0.0,0.0,3.847437661,7.917417017,8.619444649,0.410457485,2.462740927,0.410457485,22.727934782,0.0,0.0,0.820916369,0.0,3.694074737,6.156818443,1.008861521,0.0,0.410457485,0.18109274,0.02397581,0.002384171,0.002733675,0.0,0.000398381,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.251370752,0.0,0.0,0.016809277,0.356506797,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,14.873506732,6.001346075,0.0,6.001346075,0.0,10.993913296999999,0.0,0.0,0.0,2.017657872,0.0,1.008861521,1.965992169,0.0,9.985064487999999,0.0,0.0,0.0,2.9748536899999998,1.008861521,0.0,0.0,1.008861521,3.9836500409999998,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,33.576414448,2.9748536899999998,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,3.9836500409999998,1.008861521,0.0,1.965992169,6.001346075,10.993913296999999,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,9.8292904,2.017657872,11.09762171,0.0,0.0,2.017657872,7.915607204,0.0,4.940826681,2.017657872,0.0,2.9748536899999998,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,11.95104866,0.0,0.0,0.0,2.9748536899999998,12.002648377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,1.965992169,0.0,0.0,14.976544475999999,0.0,5.949623032,4.992513461,49.15335611,1.008861521,1.008861521,0.0,1.965992169,0.0,1.008861521,0.0,11.79675927,0.0,0.0,0.0,2.017657872,3.93196516,2.017657872,0.0,1.008861521,0.0,0.0,18.105565249,0.0,0.0,0.0,1.965992169,10.890322349,5.044216332,29.4929892,0.0,1.965992169,0.0,3.026521292,0.0,0.0,1.965992169,0.0,0.0,13.76046366,1.008861521,0.0,0.0,0.014858281,0.023275556,0.023764995,0.006053977,0.010425737,0.002071568,0.0,0.0,0.014445687,0.0,0.10222681400000001,0.0,0.0,0.0,0.0,0.016809277,0.382558003,0.009242893,0.015160772999999999,0.019941182,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,15.1398688,0.630872464,2.90390257,0.0,3.7226831560000004,1.261778128,0.0,4.416266187,0.0,4.0403790950000005,0.0,0.0,4.228314319,6.121034065,0.630872464,0.630872464,0.0,3.7226831560000004,2.90390257,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.568266986,0.630872464,1.136534943,0.568266986,34.21193973,8.018130415,0.0,0.0,0.630872464,1.261778128,0.568266986,0.630872464,0.0,0.630872464,3.534808234,0.0,0.568266986,0.0,1.892677383,3.15441617,2.9665460059999997,41.452177018,0.0,0.568266986,0.568266986,13.87989957,0.630872464,12.50205896,9.46405467,15.708135786,0.0,0.630872464,3.15441617,4.9218440910000005,2.460944369,12.555002625999999,4.353576134,0.568266986,0.568266986,0.630872464,0.630872464,0.0,0.0,4.165707489000001,0.630872464,0.630872464,9.217281464,0.0,0.0,5.615406662,1.7674074069999999,3.785309148,0.0,0.630872464,7.570575795,1.261778128,1.136534943,0.0,2.335640342,1.261778128,0.0,1.7674074069999999,2.523546441,10.286695309999999,0.0,9.400677443,4.228314319,42.179724718,3.091813427,0.630872464,2.523546441,4.608701768,1.261778128,2.523546441,2.335640342,0.0,0.630872464,0.0,0.568266986,12.50205896,3.15441617,9.212838097,1.892677383,1.892677383,3.409506631,0.0,4.9218440910000005,0.568266986,0.0,0.0,0.0,7.763138452,8.331310869,13.132931423999999,1.19913945,0.0,0.568266986,9.46405467,0.0,0.568266986,1.136534943,0.0,5.364862130000001,12.50205896,0.0,0.0,0.0,0.007551839,0.000727536,0.020422204,0.05268197,0.0,0.0,0.0,0.0,0.0,0.0,0.111627069,0.0,0.06345961,0.0,0.0727907,0.0,0.579615656,0.0,0.010261959,0.018325221,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,0.685660073,17.882439386,2.687834181,0.630872464,0.0,15.495773,1.261778128,0.0,5.787530689,0.0,2.687834181,0.0,0.685660073,2.523546441,10.587105652,1.316532537,0.630872464,5.485149617,3.8400762430000004,1.316532537,0.630872464,0.685660073,3.15441617,14.565559642999999,0.630872464,5.10192626,0.685660073,0.630872464,0.685660073,0.685660073,36.61527905,0.630872464,0.0,0.0,1.316532537,2.6330426300000003,0.0,1.316532537,0.0,1.316532537,1.947438201,0.685660073,0.685660073,0.0,2.578337456,13.439375550000001,2.6330426300000003,58.25932884,0.0,0.685660073,0.0,13.87989957,0.630872464,13.02813705,10.149714742999999,21.310708265000002,0.0,0.630872464,3.15441617,5.842270865,1.892677383,13.358000142,3.785309148,0.685660073,0.0,0.630872464,0.630872464,0.0,0.0,4.635247969,1.316532537,2.002136966,4.690006395999999,0.0,0.0,9.161013401999998,0.630872464,4.470969221,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,2.002136966,1.261778128,0.685660073,1.316532537,3.8948109430000004,16.593825386,0.0,12.946284183,16.236504601,25.942072638,3.8948109430000004,2.002136966,2.523546441,1.316532537,1.261778128,3.209206514,1.316532537,0.685660073,0.630872464,0.685660073,0.685660073,0.685660073,3.15441617,12.424957608,1.892677383,2.578337456,8.913339965,1.371264502,7.213537415999999,0.0,0.0,0.0,0.685660073,4.470969221,7.899182873999999,15.715092283999999,0.630872464,0.0,8.913339965,18.377394635,0.0,0.685660073,0.0,0.685660073,6.637420167,8.227626339,1.371264502,0.0,0.0,0.0,0.005643626,0.0,0.0496187,0.0,0.0,0.019721556,0.0,0.0,0.0,0.115950039,0.0,0.299720129,0.0,0.097484244,0.0,0.517871079,0.0,0.0,0.018325221,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,0.0,15.1398688,1.7230570589999998,1.7230570589999998,1.092184595,4.246600765,1.261778128,0.0,6.60061035,1.092184595,4.999583138,0.0,0.0,2.523546441,7.692879661999999,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,9.877270039999999,1.092184595,0.630872464,0.0,0.0,48.66005733,0.630872464,0.0,0.0,0.630872464,5.630488802,0.0,0.630872464,0.0,0.630872464,8.907076768,0.0,0.0,0.0,1.892677383,3.15441617,5.630488802,40.839593735,0.0,0.0,0.0,13.87989957,0.630872464,27.30740119,9.46405467,17.324212963,0.0,0.630872464,5.338760333,9.246313001,2.984861978,14.171079803,3.785309148,0.0,0.0,1.7230570589999998,0.630872464,0.0,0.0,1.892677383,1.7230570589999998,0.630872464,1.261778128,0.0,0.0,7.231483838999999,2.815216627,10.338492026,1.092184595,1.7230570589999998,7.570575795,1.261778128,0.0,0.0,1.7230570589999998,2.353962723,0.0,0.630872464,2.523546441,9.585479481,0.0,19.753062186999998,7.984550294,67.885644848,4.707890604,0.630872464,5.800159916,3.907485939,1.261778128,2.523546441,0.630872464,1.092184595,1.7230570589999998,0.0,0.0,0.0,3.15441617,10.216421466,1.892677383,4.077021546,2.184344163,0.0,8.154019822,0.0,0.0,0.0,1.092184595,5.969653311,14.705960877999999,23.569541474,0.630872464,1.092184595,1.092184595,12.740668144999999,0.0,1.092184595,1.092184595,3.276613475,5.800159916,22.93866901,0.0,0.0,3.276613475,0.0,0.027750135000000002,0.0,0.037021024,0.0,0.008277092,0.0,0.0,0.0,0.0,0.087301532,0.0,0.417370246,0.0,0.076258405,0.0,0.434762403,0.0,0.0,0.018325221,1.0,1.0,"[[1], [2]]"
8x8,0.410457485,0.0,0.410457485,17.602609727,1.451788833,1.041329949,7.388223625,7.6693461140000005,2.4931399599999997,0.410457485,8.110340923999999,2.462740927,1.862234296,0.0,0.0,5.807157193,13.446244639,1.041329949,1.862234296,2.462740927,7.258878463,1.041329949,1.041329949,0.410457485,3.5648736550000004,15.932148849999999,1.041329949,7.699876938999999,0.820916369,1.041329949,2.05224928,3.283610752,32.72815399,2.272672854,0.0,0.0,1.041329949,2.4931399599999997,0.0,1.041329949,0.0,1.041329949,2.4931399599999997,0.0,0.0,0.0,2.303134868,7.258878463,3.314027408,40.568325509000005,1.64180039,0.0,0.0,15.52169996,0.630872464,12.72460961,12.337255355,22.938396386,0.410457485,1.451788833,3.5648736550000004,7.479383885000001,4.765878068,19.374959265,4.606225517,0.410457485,0.0,1.451788833,1.041329949,0.0,0.410457485,3.124039215,1.041329949,0.630872464,1.261778128,0.0,0.820916369,10.383064270999999,3.914483216,6.248050075,0.820916369,1.041329949,15.779523357,1.261778128,1.64180039,0.0,1.041329949,1.261778128,0.0,0.630872464,3.34446281,16.570463476,0.410457485,17.862388909,4.575795721,27.943939758,5.396747126,0.630872464,2.523546441,0.630872464,9.47072569,2.523546441,1.451788833,0.410457485,3.504073149,0.0,0.410457485,0.410457485,3.5648736550000004,11.044270284,1.892677383,2.303134868,0.820916369,0.0,21.844304318,0.0,0.0,0.0,0.0,4.606225517,6.658509833,9.250317113,1.041329949,2.462740927,0.410457485,29.16546816,0.0,0.0,0.820916369,0.0,6.217621178,6.156818443,0.0,0.0,0.410457485,0.18109274,0.00142779,0.0,0.025427594,0.0,0.000398381,0.0,0.0,0.0,0.0,0.087301532,0.0,0.314830362,0.0,0.0727907,0.0,0.352968472,0.0,0.0,0.018325221,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,9.8292904,17.105860969000002,0.630872464,2.596864633,0.0,7.08638133,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,1.965992169,2.523546441,8.348231346999999,0.630872464,0.630872464,0.0,5.120408339,0.630872464,0.630872464,0.0,3.15441617,15.845891738999999,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,40.14089715,2.596864633,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,0.630872464,3.227770297,0.0,0.0,1.965992169,3.8586695520000003,7.08638133,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,9.8292904,9.46405467,15.1398688,0.0,0.630872464,3.15441617,9.68325848,1.892677383,15.9187008,3.785309148,0.0,1.965992169,0.630872464,0.630872464,0.0,0.0,1.892677383,0.630872464,0.630872464,7.159727459999999,0.0,0.0,5.047139676,2.596864633,7.717274308,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,1.965992169,0.630872464,2.523546441,12.206815337999998,0.0,12.764375616999999,4.48953861,50.415134238,2.523546441,0.630872464,2.523546441,2.596864633,1.261778128,2.523546441,0.630872464,11.79675927,0.630872464,0.0,0.0,0.0,7.08638133,6.939807991,1.892677383,1.892677383,0.0,0.0,5.751301317,0.0,0.0,0.0,1.965992169,11.649110205,3.785309148,30.123861664,0.630872464,1.965992169,0.0,9.46405467,0.0,0.0,1.965992169,0.0,2.523546441,13.76046366,0.0,0.0,0.0,0.014858281,0.000727536,0.021380824,0.028747896000000002,0.010425737,0.002071568,0.0,0.0,0.0,0.0,0.09198672100000001,0.0,0.06345961,0.0,0.0727907,0.0,0.379019678,0.009242893,0.008558979,0.020008006,1.0,1.0,"[[1], [4]]"
