coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,ODImmature2,Inhibitorycells,ODImmature2cells
0x0,0.0,0.0,6.693570384000001,5.684707958000001,0.0,4.860047721,0.0,7.886641952,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.0,7.70245338,0.0,0.824693815,0.0,1.008861521,32.345881871,4.948123813,0.0,2.658215573,2.017657872,1.008861521,5.044216332,4.491739352,0.0,0.0,0.0,6.877793143,1.833555336,0.0,0.0,0.0,6.877793143,1.833555336,0.0,0.0,0.0,2.842351687,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,14.949854595,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,14.396350044,0.0,0.824693815,2.017657872,3.667011924,0.824693815,1.008861521,2.017657872,0.0,1.833555336,0.824693815,0.0,0.824693815,1.008861521,6.781688795,0.0,26.39050251,19.246942418,0.0,0.0,0.0,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.824693815,0.824693815,10.727949195999999,0.0,4.491739352,3.026521292,1.649354052,1.008861521,2.658215573,0.0,1.649354052,0.824693815,1.008861521,2.47408148,0.0,0.0,0.0,0.0,52.327419852,0.0,6.965781685,0.0,1.833555336,12.36903314,1.649354052,18.61365456,0.0,0.824693815,0.0,0.0,7.149941772,7.518297812,0.0,0.0,0.0,4.948123813,3.026521292,0.0,0.0,0.0,0.0,1.649354052,0.0,1.008861521,0.0,0.824693815,0.025115972,0.023275556,0.033945374,0.030243540000000003,0.00197471,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.0,0.0,0.0,0.017788885,0.579831336,0.028037602,0.00999487,0.018258397,1.0,1.0,[0],[0]
1x1,0.0,0.0,16.315782682000002,4.035353906,0.0,26.580424666000003,0.0,7.061948137,0.0,0.0,5.636055354,2.017657872,5.636055354,1.008861521,0.0,0.0,6.053099328,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,17.324665678000002,23.553932281,0.0,0.0,5.636055354,6.053099328,1.008861521,0.0,0.0,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,19.761216134,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,2.017657872,0.0,1.008861521,2.017657872,0.0,1.008861521,5.636055354,0.0,0.0,1.008861521,1.008861521,0.0,11.27156635,22.963281367999997,0.0,0.0,0.0,1.008861521,8.070683217,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,14.714650498,0.0,2.017657872,3.026521292,0.0,1.008861521,1.008861521,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.0,0.0,2.017657872,0.0,2.017657872,5.636055354,6.644916875,0.0,0.0,16.13957308,0.0,0.0,0.0,0.0,3.026521292,10.680271686000001,11.27156635,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,11.27156635,0.0,0.0,1.008861521,0.0,0.0,0.0,0.023275556,0.005233527,0.006207619,0.0,0.041904707,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.455559624,0.0,0.0,0.039170573,0.30098130700000003,0.490390247,0.006601794,0.018258397,1.0,1.0,[0],[1]
2x2,0.0,0.0,5.8991569020000005,7.455127267,0.0,4.890294476,9.403991771,37.838004707,0.0,0.0,2.56475757,3.7275375,0.85494057,1.008861521,14.53459731,0.0,12.037674567,0.0,1.709879628,1.709879628,9.558127718,1.008861521,2.56475757,0.85494057,1.008861521,2.872598442,1.8638020910000002,5.8991569020000005,2.017657872,0.0,0.0,0.85494057,21.440119938000002,1.8638020910000002,0.0,0.0,0.85494057,8.617856898,1.008861521,0.0,0.0,0.0,3.7275375,1.008861521,0.0,0.0,4.890294476,14.756355809999999,0.0,15.835040408,0.0,0.85494057,1.008861521,8.925623787,1.8638020910000002,1.709879628,2.872598442,18.792029383,0.0,0.85494057,2.017657872,6.292263575,6.839529524,8.703269194,2.017657872,0.85494057,1.008861521,0.0,0.85494057,0.0,1.8638020910000002,1.8638020910000002,0.85494057,6.839529524,7.7629789559999995,0.0,0.85494057,6.839529524,1.008861521,8.925623787,0.0,0.85494057,24.79288964,0.0,0.0,0.0,1.709879628,1.008861521,0.0,0.0,1.709879628,14.208165015999999,0.0,11.421649642999999,10.720928964999999,27.3595934,3.573619091,1.008861521,0.85494057,0.0,5.984575239,1.008861521,0.85494057,0.0,1.709879628,1.709879628,0.0,2.017657872,0.0,8.857187396,0.0,2.718741149,0.85494057,0.0,36.657478780000005,0.0,0.0,0.0,0.0,4.7364009199999995,5.044216332,5.984575239,0.85494057,0.0,0.0,9.866050816,0.85494057,0.0,0.0,0.0,1.709879628,3.419773361,1.008861521,0.0,0.85494057,0.011601815,0.023275556,0.002384171,0.023230599,0.0,0.0,0.0,0.0,0.014445687,0.0,0.173880435,0.0,0.344528462,0.0,0.07065118,0.036719394,0.399032271,0.0,0.006601794,0.018258397,1.0,1.0,[0],[2]
3x3,0.0,0.0,28.171031662,4.035353906,0.0,41.045540366,0.0,11.687822121,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.0,6.053099328,0.0,4.625873984,0.0,33.389912041,5.634735505,18.5029362,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,11.687822121,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,15.894131611999999,0.0,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,5.634735505,1.008861521,0.0,0.0,61.559806458000004,0.0,0.0,9.251797048,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,1.008861521,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.0,0.0,2.017657872,0.0,2.017657872,0.0,1.008861521,13.87647374,0.0,16.13957308,0.0,0.0,0.0,9.251797048,3.026521292,5.044216332,0.0,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,23.12681533,0.0,0.03816889,0.037512037,0.062580248,0.0,0.030051645,0.0,0.452947761,0.014445687,0.157891858,0.097541625,0.0,0.899503071,0.013323,0.00895826,0.027226639,0.293093712,0.00943649,0.028247702,0.018258397,1.0,1.0,[0],[3]
4x4,0.0,1.932715942,5.044216332,11.766072693,0.0,5.968069848,3.865416235,10.927364372,0.0,0.0,0.0,2.017657872,1.932715942,1.008861521,0.0,0.0,7.98581527,0.0,0.0,3.865416235,1.008861521,1.008861521,0.0,0.0,6.806999891,3.9503738139999998,2.941577463,5.044216332,2.017657872,0.0,0.0,0.0,42.775558748,4.874277756,1.932715942,1.932715942,0.0,9.918515563,1.008861521,0.0,0.0,17.3950088,3.9503738139999998,1.008861521,0.0,0.0,4.035353906,8.994664079,0.0,31.52016958,0.0,0.0,1.008861521,8.070683217,1.008861521,21.25871045,13.612710891999999,13.030337652,0.0,0.0,2.017657872,3.9503738139999998,0.0,22.267571971,2.017657872,3.865416235,2.941577463,0.0,0.0,0.0,1.008861521,1.008861521,0.0,9.663505567,7.98581527,0.0,0.0,1.932715942,10.672367088,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.941577463,0.0,0.0,0.0,20.673648164,0.0,21.345908192,10.757240078999999,59.91159895,6.806999891,1.008861521,1.932715942,0.0,0.0,1.008861521,3.865416235,0.0,3.865416235,1.932715942,0.0,2.017657872,0.0,7.815796242,0.0,1.008861521,1.932715942,0.0,16.13957308,0.0,0.0,0.0,0.0,3.026521292,10.842354702000002,7.730718787,0.0,3.865416235,0.0,4.959237234,3.865416235,0.0,3.865416235,0.0,3.865416235,7.730718787,1.008861521,0.0,0.0,0.0,0.023275556,0.002384171,0.002733675,0.018385249,0.0,0.0,0.0,0.19775423,0.0,0.115419794,0.146909104,0.151001793,0.0,0.006120041,0.019735762,0.293093712,0.0,0.008533385000000001,0.018258397,1.0,1.0,[0],[4]
5x5,0.0,0.0,1.649354052,16.789222852,0.630872464,1.4555662790000001,0.0,3.979109985,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,6.065620238999999,0.630872464,1.4555662790000001,0.0,3.15441617,31.967892814,5.578996277,0.0,4.803770222000001,13.87989957,0.630872464,4.416266187,2.47408148,0.630872464,0.0,0.0,13.442275845,1.4555662790000001,0.0,0.0,0.630872464,2.0864719430000003,0.824693815,0.630872464,0.0,0.630872464,2.0864719430000003,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,40.572102955000005,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,18.438597134000002,0.0,1.4555662790000001,3.15441617,5.4346632,2.7173711980000004,11.98673564,3.785309148,0.0,0.824693815,1.4555662790000001,0.630872464,0.824693815,0.0,7.665504657,0.630872464,27.021374974,14.455621218,0.0,0.0,5.047139676,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,1.4555662790000001,3.3482402560000004,7.958220058,0.0,11.306491937,2.523546441,2.91113218,2.523546441,2.280226516,2.523546441,2.280226516,2.0864719430000003,2.523546441,3.104953944,0.0,0.630872464,0.0,0.0,50.30976198,3.15441617,11.887931804,1.892677383,2.7173711980000004,12.36903314,1.649354052,6.259390628,0.0,0.824693815,0.0,0.0,7.908729628,6.259390628,0.630872464,0.630872464,0.0,4.948123813,9.46405467,0.0,0.0,0.0,0.0,4.172900493,0.0,0.0,0.0,0.824693815,0.025115972,0.000727536,0.031561203,0.052937459000000006,0.00197471,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.06345961,0.0,0.0727907,0.000979608,0.576293011,0.028037602,0.003393076,0.018325221,1.0,1.0,[1],[0]
6x6,0.0,0.0,11.27156635,15.1398688,0.630872464,23.175943224,0.0,3.15441617,1.261778128,0.0,10.052321541,0.0,6.266927818,0.0,0.0,2.523546441,4.416266187,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,23.88914838,23.175943224,0.0,0.0,6.266927818,1.261778128,0.0,0.630872464,0.0,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,45.383464494,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,3.785309148,1.892677383,11.98673564,3.785309148,0.0,0.0,6.266927818,0.630872464,0.0,0.0,1.892677383,0.630872464,11.902438814,18.171960168,0.0,0.0,5.047139676,0.630872464,3.785309148,5.636055354,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,11.944921359999999,0.0,8.832410457,2.523546441,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,0.0,3.15441617,6.939807991,7.528732737,7.528732737,0.0,0.0,3.785309148,0.0,0.0,0.0,0.0,3.785309148,9.421364502,11.902438814,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,11.27156635,2.523546441,0.0,0.0,0.0,0.0,0.0,0.000727536,0.002849356,0.028901538,0.0,0.041904707,0.0,0.0,0.0,0.0,0.087301532,0.0,0.5190192339999999,0.0,0.0727907,0.022361296,0.297442982,0.490390247,0.0,0.018325221,1.0,1.0,[1],[1]
7x7,0.0,0.0,0.85494057,18.559642161,0.630872464,1.485813034,9.403991771,33.93047274,1.261778128,0.0,6.981023756999999,1.709879628,1.485813034,0.0,14.53459731,2.523546441,10.400841426,0.630872464,2.340752092,1.709879628,11.703682366999999,0.630872464,3.1956300339999997,0.85494057,3.15441617,14.73484014,1.485813034,5.271206757,0.0,0.630872464,0.0,0.85494057,28.00460264,1.485813034,0.0,0.0,1.485813034,3.826535698,0.0,0.630872464,0.0,0.630872464,2.971657756,0.0,0.0,0.0,2.7476179530000002,10.848823843,1.261778128,41.457288768000005,0.0,0.85494057,0.0,14.73484014,1.485813034,1.709879628,10.31899524,22.834276473,0.0,1.485813034,3.15441617,8.059914851,8.732206907,19.681143313,3.785309148,0.85494057,0.0,0.630872464,1.485813034,0.0,0.85494057,2.7476179530000002,1.485813034,7.470401988,2.971657756,0.0,0.85494057,11.8866692,0.630872464,4.640249718,0.0,1.485813034,32.363465434999995,1.261778128,0.0,0.0,2.340752092,1.261778128,0.0,0.630872464,4.233426069,11.438435878,0.0,18.236402228,10.217954114,28.621371528,5.088304011,0.630872464,3.3784870110000003,0.630872464,7.246353366999999,2.523546441,1.485813034,0.0,2.340752092,1.709879628,0.0,0.0,3.15441617,13.779337515,1.892677383,3.602557011,0.85494057,0.0,24.303214848,0.0,0.0,0.0,0.0,5.495188776,3.785309148,6.615447703,1.485813034,0.0,0.0,16.303584194,0.85494057,0.0,0.0,0.0,4.233426069,3.419773361,0.0,0.0,0.85494057,0.011601815,0.000727536,0.0,0.045924518,0.0,0.0,0.0,0.0,0.0,0.0,0.163640342,0.0,0.407988072,0.0,0.14344188,0.019910117,0.395493946,0.0,0.0,0.018325221,1.0,1.0,[1],[2]
8x8,0.0,0.0,23.12681533,15.1398688,0.630872464,37.641058924,0.0,7.780290154,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,4.416266187,0.630872464,5.256746448,0.0,35.53546669,5.256746448,19.133808664,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,7.780290154,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,17.661782888,1.892677383,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,4.625873984,1.892677383,0.630872464,0.630872464,56.768485258000005,0.0,0.0,14.298936724,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,0.0,3.15441617,6.939807991,1.892677383,1.892677383,13.87647374,0.0,3.785309148,0.0,0.0,0.0,9.251797048,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,23.12681533,0.0,0.015620869999999999,0.035127866,0.085274167,0.0,0.030051645,0.0,0.452947761,0.0,0.157891858,0.087301532,0.0,0.962962681,0.013323,0.08174896,0.010417362,0.289555387,0.00943649,0.021645908,0.018325221,1.0,1.0,[1],[3]
9x9,0.0,1.932715942,0.0,22.870587587,0.630872464,2.563588406,3.865416235,7.019832405000001,1.261778128,0.0,4.416266187,0.0,2.563588406,0.0,0.0,2.523546441,6.3489821289999995,0.630872464,0.630872464,3.865416235,3.15441617,0.630872464,0.630872464,0.0,8.952554540000001,15.812615511999999,2.563588406,4.416266187,0.0,0.630872464,0.0,0.0,49.34004145,4.496288699,1.932715942,1.932715942,0.630872464,5.127194363,0.0,0.630872464,0.0,18.025881264,3.19449407,0.0,0.0,0.0,1.892677383,5.087132112,1.261778128,57.14241794,0.0,0.0,0.0,13.87989957,0.630872464,21.25871045,21.059107689999998,17.072584742,0.0,0.630872464,3.15441617,5.71802509,1.892677383,33.24544609,3.785309148,3.865416235,1.932715942,0.630872464,0.630872464,0.0,0.0,1.892677383,0.630872464,10.294378030999999,3.19449407,0.0,0.0,6.979855617999999,10.294378030999999,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,3.19449407,0.0,0.630872464,2.523546441,17.903919026,0.0,28.160660776999997,10.254265228,61.173377078,8.321684811,0.630872464,4.456262383,0.630872464,1.261778128,2.523546441,4.496288699,0.0,4.496288699,1.932715942,0.0,0.0,3.15441617,12.737946361,1.892677383,1.892677383,1.932715942,0.0,3.785309148,0.0,0.0,0.0,0.0,3.785309148,9.583447518,8.361591251,0.630872464,3.865416235,0.0,11.396770612,3.865416235,0.0,3.865416235,0.0,6.388962676,7.730718787,0.0,0.0,0.0,0.0,0.000727536,0.0,0.025427594,0.018385249,0.0,0.0,0.0,0.183308543,0.0,0.105179701,0.146909104,0.214461403,0.0,0.078910741,0.002926485,0.289555387,0.0,0.001931591,0.018325221,1.0,1.0,[1],[4]
