coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,ODMature1,permutationTracker
0x0,0.0,0.0,5.044216332,6.693491192,1.329056371,5.364410277,1.993574012,9.055522149,0.0,0.664523765,0.664523765,2.017657872,0.0,1.008861521,0.0,0.0,14.027387273,0.0,0.0,0.0,1.673385286,5.660573222,0.0,0.0,1.673385286,2.017657872,1.008861521,5.044216332,2.6821816370000002,0.0,0.0,0.0,8.711236614,1.008861521,0.664523765,0.0,0.0,6.717623093,1.008861521,0.0,10.63322157,0.0,3.346714243,1.008861521,0.0,0.0,4.035353906,8.391004508,0.0,24.092467766,0.0,0.0,1.008861521,8.735206982,1.008861521,7.974287945,2.6821816370000002,12.426678081,0.0,1.329056371,4.011231884,4.675795158,0.0,6.325121538,2.6821816370000002,0.0,1.008861521,0.0,0.0,0.0,2.337917892,3.002435533,0.0,0.0,12.033815814,0.0,0.664523765,7.309789068,1.673385286,12.722394917999999,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,2.337917892,5.316260017,0.0,0.664523765,13.730306845,0.0,4.675795158,4.355577663,0.664523765,1.008861521,2.337917892,0.664523765,0.0,1.329056371,1.008861521,0.664523765,0.0,0.0,0.0,0.0,2.017657872,3.987122086,7.333917889,0.0,2.337917892,35.21595985,0.0,18.133147092,0.0,0.0,0.0,0.664523765,3.691045057,5.044216332,3.322649277,0.0,0.664523765,0.664523765,5.6846585780000005,0.0,0.0,0.0,0.0,0.0,1.329056371,1.008861521,0.0,11.96283521,0.0,0.034345033999999997,0.002384171,0.002733675,0.223201486,0.0,0.672283867,0.0,0.028271629,0.0,0.097541625,0.035893242,0.0,0.0,0.0,0.21443744,0.334317305,0.0,0.006601794,0.09378461099999999,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,6.501526626,4.035353906,0.0,4.035353906,0.0,7.061948137,0.0,0.0,1.457310294,4.93237152,0.0,1.008861521,0.0,0.0,7.510409622,0.0,1.457310294,0.0,5.38091095,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,6.838221418,0.0,0.0,0.0,6.053099328,1.008861521,0.0,10.20211431,2.914713648,4.93237152,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,28.69915467,0.0,0.0,1.008861521,9.527993510999998,1.008861521,7.286669155,2.017657872,11.09762171,0.0,0.0,2.017657872,3.474968166,1.457310294,8.295530676,2.017657872,0.0,1.008861521,0.0,0.0,0.0,8.295530676,1.008861521,0.0,0.0,10.425148756999999,0.0,0.0,24.7750787,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.466171815,0.0,0.0,0.0,10.535905438,0.0,4.93237152,3.026521292,0.0,1.008861521,5.38091095,0.0,0.0,1.457310294,1.008861521,0.0,0.0,1.457310294,0.0,0.0,2.017657872,0.0,6.389707301,0.0,1.008861521,45.17426595,0.0,17.596883374,0.0,0.0,0.0,1.457310294,3.026521292,5.044216332,2.914713648,0.0,0.0,0.0,4.483831586,0.0,1.457310294,0.0,0.0,1.457310294,0.0,1.008861521,0.0,16.02942562,0.0,0.023275556,0.027785793,0.002733675,0.0,0.0,1.446639596,0.0,0.046151791,0.0,0.13169987300000002,0.0,0.0,0.0,0.0,0.077488349,0.400762708,0.001517518,0.021835435,0.018258397,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,5.044216332,6.018743702,0.0,7.010471677,0.0,8.053630144,0.0,0.0,0.0,4.001047668,0.0,1.008861521,1.983389796,2.975117771,8.036489124,0.991682007,0.0,0.0,2.992251317,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,11.011641261000001,1.008861521,0.0,0.0,0.0,7.044781335,1.008861521,0.0,16.86076268,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,9.045337932999999,0.0,16.108550576,0.0,0.0,1.008861521,12.037521273,1.008861521,13.88332619,2.017657872,17.047864886,0.0,0.0,2.017657872,2.017657872,0.991682007,8.942533453,2.017657872,0.0,1.008861521,0.0,0.0,0.0,4.975699577,1.008861521,0.0,0.0,10.019937384,0.0,0.0,22.8067439,1.008861521,10.054073013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.991682007,0.0,11.061984939999999,0.0,5.984495927999999,4.018203299,0.0,1.008861521,4.975699577,1.983389796,0.0,0.0,1.008861521,1.983389796,0.0,0.991682007,0.0,0.0,2.017657872,0.0,4.992775643,0.0,1.008861521,14.87449798,0.0,20.106411136000002,0.0,0.0,0.0,0.0,3.026521292,5.044216332,0.0,0.991682007,0.0,0.0,10.960193224000001,0.0,0.0,0.0,0.991682007,0.991682007,0.0,1.008861521,0.0,15.86553025,0.0,0.023275556,0.044756802,0.006418366,0.0,0.0,0.296492474,0.0,0.014445687,0.0,0.19253376100000003,0.010784794,0.0,0.010793173,0.0,0.023499614000000002,0.369142592,0.031361701,0.030991015,0.018258397,1.0,1.0,"[[0], [2]]"
3x3,0.719174655,0.0,5.044216332,6.192902188,0.0,4.754528561,0.0,8.500320347,2.157548282,1.43837221,0.0,2.017657872,0.0,1.008861521,0.0,0.0,11.806616368,0.0,0.0,1.43837221,1.728036176,1.728036176,0.0,0.0,6.762378561,9.20947031,1.728036176,5.763390987,2.017657872,0.0,0.0,1.43837221,7.491471538,1.008861521,0.0,0.0,0.0,6.772273983,1.008861521,0.0,16.54284394,0.0,5.613657659999999,2.447233731,0.0,0.0,4.035353906,10.657947925,0.0,27.79076633,0.0,0.719174655,1.008861521,12.385765594999999,1.728036176,9.349038438,3.456030082,21.88453259,0.0,0.0,3.456030082,4.175206154,0.719174655,2.447233731,2.017657872,0.719174655,1.008861521,0.719174655,0.0,0.0,12.517210801,4.604861309,0.719174655,0.0,6.772273983,0.0,0.0,15.10274813,1.008861521,8.070683217,0.0,1.43837221,0.719174655,0.0,0.0,0.0,1.43837221,1.008861521,1.43837221,0.0,0.719174655,11.955364822,2.157548282,3.456030082,3.026521292,0.0,1.008861521,1.008861521,0.0,0.719174655,0.0,1.008861521,0.0,1.43837221,0.0,0.719174655,0.0,2.736832527,0.0,5.613657659999999,0.0,1.008861521,47.46185122,0.0,22.612315281,1.43837221,0.0,0.0,0.0,5.1840695740000005,6.482588542,9.349038438,0.0,0.0,0.0,5.9032909700000005,0.0,0.0,0.0,1.43837221,1.43837221,3.595999788,2.447233731,0.0,22.29700002,0.00355112,0.03269903,0.027283007,0.026278814,0.0,0.029233705,1.068473684,0.0,0.014445687,0.0,0.413129917,0.0,0.29720914,0.0,0.020208882,0.016809277,0.337597454,0.0,0.008911648000000001,0.018258397,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,10.487985878,4.035353906,0.0,9.479123452,0.0,7.061948137,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.0,6.053099328,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,11.496868874,11.896620741,0.0,0.0,0.0,6.053099328,6.452631067,0.0,10.88775922,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,12.505717683,0.0,14.12516078,0.0,0.0,1.008861521,18.958442437,1.008861521,16.33005735,2.017657872,16.541391256,0.0,0.0,2.017657872,12.905417092,5.443769546,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,6.053099328,0.0,0.0,5.443769546,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,21.77718242,0.0,0.0,9.078595144,0.0,2.017657872,24.803703712,0.0,1.008861521,1.008861521,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.0,0.0,2.017657872,0.0,2.017657872,0.0,1.008861521,16.33005735,0.0,21.583342626000004,0.0,0.0,0.0,0.0,3.026521292,5.044216332,0.0,0.0,0.0,0.0,3.026521292,0.0,5.443769546,0.0,5.443769546,0.0,0.0,1.008861521,0.0,0.0,0.016425846,0.023275556,0.033119116,0.002733675,0.0,0.0,0.607792506,0.0,0.014445687,0.0,0.22706442,0.0,0.0,0.0,0.0,0.023799143000000002,0.530405071,0.004916784,0.024472698,0.018258397,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,17.798006086,1.959928835,1.959928835,1.993574012,5.147990182,1.261778128,0.664523765,5.080789952,0.0,0.630872464,0.0,0.0,2.523546441,12.390554132,0.630872464,0.630872464,0.0,3.8189399350000004,5.282584165,0.630872464,0.0,3.8189399350000004,13.87989957,0.630872464,4.416266187,0.664523765,0.630872464,0.0,0.0,15.275719316,0.630872464,0.664523765,0.0,0.630872464,1.926301893,0.0,0.630872464,10.63322157,0.630872464,2.590834499,0.0,0.0,0.0,1.892677383,4.483472541,1.261778128,49.714716126,0.0,0.0,0.0,14.544423335,0.630872464,7.974287945,10.128578435,16.468925171000002,0.0,1.959928835,5.147990182,6.443446434,1.892677383,17.302995657,4.449832913,0.0,0.0,0.630872464,0.630872464,0.0,1.329056371,3.8862513950000004,0.630872464,0.630872464,7.242494614,0.0,0.664523765,12.356928744,1.295396229,8.437020849,0.664523765,0.630872464,8.23509956,1.261778128,0.0,0.0,1.959928835,2.590834499,5.316260017,0.630872464,3.188070206,10.960577706999999,0.0,11.490547743,3.852602812,1.926301893,2.523546441,1.959928835,3.188070206,0.630872464,2.590834499,2.523546441,1.295396229,0.0,0.630872464,0.0,0.0,0.0,7.1415382560000005,12.256068008,1.892677383,3.221733754,35.21595985,0.0,5.77888316,0.0,0.0,0.0,0.664523765,4.449832913,3.785309148,3.953521741,0.630872464,0.664523765,0.664523765,12.122191956,0.0,0.0,0.0,0.0,2.523546441,1.329056371,0.0,0.0,11.96283521,0.0,0.011797014000000001,0.0,0.025427594,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.087301532,0.035893242,0.06345961,0.0,0.0727907,0.197628163,0.33077898,0.0,0.0,0.093851435,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,1.457310294,15.1398688,0.630872464,0.630872464,0.0,3.15441617,1.261778128,0.0,5.873576481,2.914713648,0.630872464,0.0,0.0,2.523546441,5.873576481,0.630872464,2.088182758,0.0,7.526465599,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,6.460232361,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,10.20211431,3.545586112,4.176491776000001,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,54.32140303,0.0,0.0,0.0,15.337209863999998,0.630872464,7.286669155,9.46405467,15.1398688,0.0,0.630872464,3.15441617,5.2426194420000005,3.349987677,19.273404794999998,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,7.286669155,1.892677383,0.630872464,0.630872464,5.633827557,0.0,0.0,29.822218376000002,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,2.719088422,0.0,0.630872464,2.523546441,7.7661763,0.0,11.747124105000001,2.523546441,1.261778128,2.523546441,5.002921893,2.523546441,0.630872464,2.719088422,2.523546441,0.630872464,0.0,2.088182758,0.0,0.0,0.0,3.15441617,11.311857419999999,1.892677383,1.892677383,45.17426595,0.0,5.2426194420000005,0.0,0.0,0.0,1.457310294,3.785309148,3.785309148,3.545586112,0.630872464,0.0,0.0,10.921364963999999,0.0,1.457310294,0.0,0.0,3.980856735,0.0,0.0,0.0,16.02942562,0.0,0.000727536,0.025401622,0.025427594,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.12145978,0.0,0.06345961,0.0,0.0727907,0.060679072,0.397224383,0.001517518,0.015233641,0.018325221,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,0.0,17.123258596,0.630872464,3.6059902349999997,0.0,4.146098177,1.261778128,0.0,4.416266187,1.983389796,0.630872464,0.0,1.983389796,5.4986642119999996,6.399655983,1.622554471,0.630872464,0.0,5.137805966,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,17.576123963,0.630872464,0.0,0.0,0.630872464,2.253460135,0.0,0.630872464,16.86076268,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,5.137805966,1.261778128,41.730798936,0.0,0.0,0.0,17.846737626,0.630872464,13.88332619,9.46405467,21.090111976,0.0,0.630872464,3.15441617,3.785309148,2.88435939,19.920407572,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,3.966838056,1.892677383,0.630872464,0.630872464,5.228616184,0.0,0.0,27.853883576,0.630872464,5.7686989440000005,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,1.622554471,2.523546441,8.292255802,0.0,12.799248513,3.5152284480000002,1.261778128,2.523546441,4.59771052,4.506936237,0.630872464,1.261778128,2.523546441,2.61426226,0.0,1.622554471,0.0,0.0,0.0,3.15441617,9.914925762,1.892677383,1.892677383,14.87449798,0.0,7.752147204,0.0,0.0,0.0,0.0,3.785309148,3.785309148,0.630872464,1.622554471,0.0,0.0,17.397726602,0.0,0.0,0.0,0.991682007,3.5152284480000002,0.0,0.0,0.0,15.86553025,0.0,0.000727536,0.042372631,0.029112285,0.0,0.0,0.296492474,0.0,0.0,0.0,0.18229366800000002,0.010784794,0.06345961,0.010793173,0.0727907,0.006690337,0.365604267,0.031361701,0.024389221,0.018325221,1.0,1.0,"[[1], [2]]"
8x8,0.719174655,0.0,0.0,17.297417082,0.630872464,1.350047119,0.0,4.59278838,3.41932641,1.43837221,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,10.169783227,0.630872464,0.630872464,1.43837221,3.873590825,1.350047119,0.630872464,0.0,8.90793321,21.071712008,1.350047119,5.1354408419999995,0.0,0.630872464,0.0,1.43837221,14.05595424,0.630872464,0.0,0.0,0.630872464,1.980952783,0.0,0.630872464,16.54284394,0.630872464,4.857777916,1.43837221,0.0,0.0,1.892677383,6.750415958,1.261778128,53.413014690000004,0.0,0.719174655,0.0,18.194981948,1.350047119,9.349038438,10.90242688,25.926779680000003,0.0,0.630872464,4.59278838,5.94285743,2.6118520380000003,13.42510785,3.785309148,0.719174655,0.0,1.350047119,0.630872464,0.0,11.50834928,5.488677171,1.350047119,0.630872464,1.980952783,0.0,0.0,20.149887806,0.630872464,3.785309148,0.0,2.069244674,8.28975045,1.261778128,0.0,0.0,2.069244674,1.261778128,1.43837221,0.630872464,3.2427210960000004,9.185635684,2.157548282,10.270782667,2.523546441,1.261778128,2.523546441,0.630872464,2.523546441,1.350047119,1.261778128,2.523546441,0.630872464,1.43837221,0.630872464,0.719174655,0.0,0.719174655,3.15441617,10.535807779,1.892677383,1.892677383,47.46185122,0.0,10.258051349,1.43837221,0.0,0.0,0.0,5.94285743,5.223681358,9.979910901999999,0.630872464,0.0,0.0,12.340824348,0.0,0.0,0.0,1.43837221,3.9619186510000004,3.595999788,1.43837221,0.0,22.29700002,0.00355112,0.010151009999999999,0.024898836,0.048972733000000004,0.0,0.029233705,1.068473684,0.0,0.0,0.0,0.402889824,0.0,0.36066875,0.0,0.092999582,0.0,0.334059129,0.0,0.002309854,0.018325221,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,5.443769546,15.1398688,0.630872464,6.074642010000001,0.0,3.15441617,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,4.416266187,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,18.061351576,11.518631683999999,0.0,0.0,0.630872464,1.261778128,5.443769546,0.630872464,10.88775922,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,8.598185716,1.261778128,39.74740914,0.0,0.0,0.0,24.76765879,0.630872464,16.33005735,9.46405467,20.583638346,0.0,0.630872464,3.15441617,14.673068368,7.336446929000001,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,0.0,1.892677383,0.630872464,0.630872464,1.261778128,0.0,0.0,10.490909221999999,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,21.77718242,0.630872464,2.523546441,6.308866006,0.0,8.832410457,24.300728861,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,0.0,3.15441617,6.939807991,1.892677383,1.892677383,16.33005735,0.0,9.229078694,0.0,0.0,0.0,0.0,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,5.443769546,0.0,5.443769546,2.523546441,0.0,0.0,0.0,0.0,0.016425846,0.000727536,0.030734945,0.025427594,0.0,0.0,0.607792506,0.0,0.0,0.0,0.21682432699999998,0.0,0.06345961,0.0,0.0727907,0.006989866,0.526866746,0.004916784,0.017870904,0.018325221,1.0,1.0,"[[1], [4]]"
