coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,ODMature4,Inhibitorycells
0x0,0.0,0.0,5.044216332,6.876050498,0.0,4.035353906,0.0,7.061948137,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.0,17.415419868,0.0,0.0,0.0,1.008861521,15.210836031,0.0,0.0,1.008861521,2.017657872,1.008861521,10.725655213,2.017657872,2.840696592,0.0,0.0,11.734538209,1.008861521,0.0,0.0,0.0,8.89379592,1.008861521,0.0,0.0,5.681438881,2.017657872,1.008861521,2.840696592,0.0,6.876050498,12.743387018,2.840696592,110.71396578,2.840696592,0.0,1.008861521,10.911379809,3.849558113,0.0,4.858354464,11.09762171,0.0,0.0,2.017657872,2.017657872,11.36232054,3.849558113,4.858354464,0.0,1.008861521,0.0,0.0,0.0,1.008861521,32.256654710999996,0.0,0.0,11.734538209,0.0,0.0,0.0,1.008861521,16.592942438999998,0.0,2.840696592,2.840696592,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,20.440915684,0.0,13.379978412,3.026521292,8.522259222,1.008861521,1.008861521,5.681438881,0.0,0.0,1.008861521,2.840696592,2.840696592,0.0,0.0,2.840696592,2.017657872,0.0,10.539917094,0.0,1.008861521,0.0,0.0,16.13957308,0.0,0.0,0.0,0.0,3.026521292,5.044216332,0.0,0.0,2.840696592,0.0,22.909863252,0.0,0.0,0.0,0.0,2.840696592,2.840696592,1.008861521,0.0,0.0,0.0,0.023275556,0.002384171,0.023455733000000003,0.0,0.0,0.052046655,0.0,0.014445687,0.0,0.097541625,0.014365337,0.0,0.0,0.0,0.023639399000000002,0.5661863300000001,0.0,0.006601794,0.24188525200000002,1.0,1.0,[0]
1x1,0.0,0.0,5.044216332,4.035353906,0.0,5.882960566,0.615883328,8.909554797,0.0,0.0,0.615883328,2.017657872,0.615883328,1.008861521,0.615883328,0.0,7.284872229,0.0,0.0,0.0,1.008861521,1.624744849,1.231772901,0.615883328,1.008861521,2.017657872,2.2406344220000003,5.044216332,2.017657872,0.0,0.615883328,0.0,8.516637672,1.624744849,0.0,0.0,0.615883328,6.053099328,1.008861521,0.615883328,20.32553818,0.0,4.481196216,2.2406344220000003,0.0,1.231772901,5.267126807,7.677831465,0.0,14.12516078,0.0,1.231772901,1.008861521,8.070683217,1.008861521,17.24315718,2.017657872,11.09762171,0.0,0.0,2.017657872,6.944727103,0.615883328,1.624744849,2.017657872,1.231772901,1.008861521,0.615883328,0.0,0.0,11.479827721,38.574453311,0.0,0.0,8.516637672,0.0,1.231772901,20.32553818,2.2406344220000003,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,4.311167523,4.704125345,6.158796218,0.0,0.0,9.078595144,0.0,3.2494307730000003,4.258294193,0.0,1.008861521,2.2406344220000003,0.0,0.0,0.0,1.008861521,0.0,1.84760666,0.0,0.615883328,0.0,2.017657872,1.84760666,79.000668922,0.0,1.008861521,22.1739465,0.0,16.13957308,0.0,0.0,0.0,0.615883328,4.874127952,5.044216332,5.542895741,0.0,0.615883328,0.0,3.026521292,0.615883328,1.231772901,0.0,0.0,1.231772901,0.0,1.008861521,0.0,10.4709662,0.0,0.081766142,0.034672458999999996,0.049076498999999996,0.0,0.036217685,5.365463028,0.0,0.014445687,0.0,0.11693568800000001,0.0,0.016035073,0.0,0.075905184,0.023666987,0.293093712,0.0,0.020189187,0.018258397,1.0,1.0,[1]
2x2,0.0,0.0,5.044216332,4.035353906,0.0,4.035353906,0.0,7.061948137,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.0,6.053099328,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,6.053099328,1.008861521,0.0,16.95560323,0.0,2.017657872,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,16.95560323,2.017657872,11.09762171,0.0,0.0,2.017657872,2.017657872,2.825780066,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,3.834641587,40.569053321,0.0,0.0,6.053099328,0.0,0.0,2.825780066,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,5.651659355,0.0,0.0,9.078595144,0.0,4.843437938,3.026521292,0.0,1.008861521,3.834641587,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.0,0.0,2.017657872,0.0,117.886838672,0.0,1.008861521,19.7826058,0.0,16.13957308,0.0,0.0,0.0,0.0,3.026521292,5.044216332,2.825780066,0.0,0.0,2.825780066,3.026521292,0.0,0.0,0.0,0.0,5.651659355,0.0,1.008861521,0.0,2.825780066,0.0,0.11234105500000001,0.027519026000000002,0.040751950999999995,0.0,0.023764345,4.851268133,0.0,0.014445687,0.0,0.14409648800000002,0.0,0.0,0.0,0.058003246,0.082835775,0.293093712,0.0,0.035129512,0.018258397,1.0,1.0,[2]
3x3,0.0,0.0,7.91189157,4.035353906,0.0,5.469182561,1.433828655,7.778867901,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.716919764,9.63768402,0.716919764,0.716919764,0.716919764,1.725781285,2.442690176,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.770019092,1.008861521,0.0,1.433828655,0.0,6.053099328,1.008861521,0.0,6.452294345,0.0,2.017657872,5.3103765880000005,0.0,0.0,4.035353906,7.778867901,0.716919764,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,12.18863958,2.017657872,11.814541474,0.0,0.716919764,2.017657872,2.734577636,0.716919764,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,15.347965801,23.953043251,0.0,0.716919764,8.920774566,0.716919764,0.716919764,0.0,1.725781285,10.221477146,0.0,0.0,0.0,0.0,0.0,0.0,3.584584692,4.593446213,10.7543874,0.716919764,0.0,9.078595144,0.0,2.734577636,3.026521292,0.0,1.008861521,1.008861521,0.0,1.433828655,0.0,1.008861521,0.0,0.716919764,0.0,0.0,0.0,2.017657872,0.0,143.250536572,0.0,1.008861521,0.716919764,0.0,16.13957308,0.716919764,0.716919764,0.0,0.716919764,6.611105984,5.044216332,10.7543874,0.716919764,0.0,0.0,4.460349947,0.716919764,0.0,0.716919764,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.049572415999999994,0.036099604,0.048426191,0.0,0.039747776,4.400699333,0.0,0.014445687,0.002651482,0.11433147,0.0,0.0,0.00462805,0.0,0.043122679,0.326404587,0.0,0.035591429,0.018258397,1.0,1.0,[3]
4x4,0.0,0.0,5.044216332,4.035353906,0.0,4.035353906,14.21948651,7.061948137,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.0,10.792545669999999,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,4.739446342,0.0,6.053099328,1.008861521,0.0,0.0,0.0,20.272585837999998,1.008861521,0.0,37.91347363,0.0,6.757104214,1.008861521,0.0,4.739446342,4.035353906,7.061948137,0.0,23.603682067,0.0,0.0,1.008861521,22.290169727,1.008861521,18.95721794,6.757104214,20.576142996999998,0.0,0.0,2.017657872,2.017657872,0.0,5.748307863,2.017657872,0.0,1.008861521,0.0,0.0,0.0,5.748307863,1.008861521,0.0,0.0,6.053099328,0.0,0.0,33.17432931,1.008861521,12.810129559,0.0,0.0,0.0,0.0,4.739446342,0.0,28.43743734,1.008861521,23.69448651,0.0,0.0,9.078595144,0.0,6.757104214,3.026521292,0.0,5.748307863,10.487382808,0.0,0.0,0.0,1.008861521,4.739446342,0.0,0.0,0.0,0.0,2.017657872,0.0,11.496179159,0.0,1.008861521,37.91347363,0.0,20.879019422000002,0.0,0.0,0.0,0.0,3.026521292,5.044216332,14.21948651,0.0,0.0,0.0,7.765967634,0.0,0.0,0.0,0.0,0.0,0.0,5.748307863,0.0,9.478521287,0.018302477,0.026197652999999998,0.002384171,0.0873097,0.0,0.0,0.842934924,0.223855094,0.014445687,0.0,0.13795278,0.0,1.447597495,0.0,0.102216733,0.016809277,0.340844509,0.095721037,0.006601794,0.018258397,1.0,1.0,[4]
5x5,0.0,0.0,0.0,17.980565392,0.630872464,0.630872464,0.0,3.15441617,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,15.778586727,0.630872464,0.630872464,0.0,3.15441617,14.832846973999999,0.630872464,0.0,3.15441617,13.87989957,0.630872464,10.097705068,0.0,3.471569056,0.0,0.0,18.299020911,0.630872464,0.0,0.0,0.630872464,4.10247472,0.0,0.630872464,0.0,6.312311345,1.261778128,0.0,2.840696592,0.0,4.733373975,8.835855051,4.10247472,136.33621413999998,2.840696592,0.0,0.0,16.720596162,3.471569056,0.0,12.304751262,15.1398688,0.0,0.630872464,3.15441617,3.785309148,13.254997923000001,14.827432232,6.62600574,0.0,0.0,0.630872464,0.630872464,0.0,0.0,33.140470573,0.630872464,0.630872464,6.943217009,0.0,0.0,5.047139676,0.630872464,12.30756837,0.0,3.471569056,10.411272387,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,17.671186546,0.0,20.194730997,2.523546441,9.78403735,2.523546441,0.630872464,8.204985322,0.630872464,1.261778128,2.523546441,3.471569056,2.840696592,0.630872464,0.0,2.840696592,0.0,3.15441617,15.462067213000001,1.892677383,1.892677383,0.0,0.0,3.785309148,0.0,0.0,0.0,0.0,3.785309148,3.785309148,0.630872464,0.630872464,2.840696592,0.0,29.34739663,0.0,0.0,0.0,0.0,5.364243033,2.840696592,0.0,0.0,0.0,0.0,0.000727536,0.0,0.046149652,0.0,0.0,0.052046655,0.0,0.0,0.0,0.087301532,0.014365337,0.06345961,0.0,0.0727907,0.006830122,0.562648005,0.0,0.0,0.24195207600000002,1.0,1.0,[0]
6x6,0.0,0.0,0.0,15.1398688,0.630872464,2.478479124,0.615883328,5.0020228300000005,1.261778128,0.0,5.0321495149999995,0.0,1.246755792,0.0,0.615883328,2.523546441,5.648039088,0.630872464,0.630872464,0.0,3.15441617,1.246755792,1.862645365,0.615883328,3.15441617,13.87989957,1.862645365,4.416266187,0.0,0.630872464,0.615883328,0.0,15.081120374,1.246755792,0.0,0.0,1.246755792,1.261778128,0.0,1.246755792,20.32553818,0.630872464,3.725316472,1.231772901,0.0,1.231772901,3.124450284,3.770299498,1.261778128,39.74740914,0.0,1.231772901,0.0,13.87989957,0.630872464,17.24315718,9.46405467,15.1398688,0.0,0.630872464,3.15441617,8.712378379,2.5085607110000003,12.602618968,3.785309148,1.231772901,0.0,1.246755792,0.630872464,0.0,10.4709662,39.458269173,0.630872464,0.630872464,3.725316472,0.0,1.231772901,25.372677856,1.862645365,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,4.942039987,4.957041952,6.158796218,0.630872464,2.523546441,6.308866006,0.0,10.064183358,3.755319342,1.261778128,2.523546441,1.862645365,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,1.84760666,0.630872464,0.615883328,0.0,0.0,5.0020228300000005,83.922819041,1.892677383,1.892677383,22.1739465,0.0,3.785309148,0.0,0.0,0.0,0.615883328,5.632915808,3.785309148,6.173768205,0.630872464,0.615883328,0.0,9.46405467,0.615883328,1.231772901,0.0,0.0,3.755319342,0.0,0.0,0.0,10.4709662,0.0,0.059218122,0.032288288,0.071770418,0.0,0.036217685,5.365463028,0.0,0.0,0.0,0.106695595,0.0,0.079494683,0.0,0.148695884,0.00685771,0.289555387,0.0,0.013587393,0.018325221,1.0,1.0,[1]
7x7,0.0,0.0,0.0,15.1398688,0.630872464,0.630872464,0.0,3.15441617,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,4.416266187,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,16.95560323,0.630872464,1.261778128,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,16.95560323,9.46405467,15.1398688,0.0,0.630872464,3.15441617,3.785309148,4.718457449000001,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,2.825780066,41.452869183,0.630872464,0.630872464,1.261778128,0.0,0.0,7.872919742,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,5.651659355,0.630872464,2.523546441,6.308866006,0.0,11.658190523,2.523546441,1.261778128,2.523546441,3.45665253,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,0.0,3.15441617,122.80898879099999,1.892677383,1.892677383,19.7826058,0.0,3.785309148,0.0,0.0,0.0,0.0,3.785309148,3.785309148,3.45665253,0.630872464,0.0,2.825780066,9.46405467,0.0,0.0,0.0,0.0,8.175205796,0.0,0.0,0.0,2.825780066,0.0,0.08979303500000001,0.025134855,0.06344587,0.0,0.023764345,4.851268133,0.0,0.0,0.0,0.13385639500000002,0.0,0.06345961,0.0,0.130793946,0.066026498,0.289555387,0.0,0.028527718,0.018325221,1.0,1.0,[2]
8x8,0.0,0.0,2.867675238,15.1398688,0.630872464,2.064701119,1.433828655,3.871335934,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,3.240466205,8.000850879,1.3477922279999999,1.3477922279999999,0.716919764,3.871335934,2.064701119,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,13.334501794,0.630872464,0.0,1.433828655,0.630872464,1.261778128,0.0,0.630872464,6.452294345,0.630872464,1.261778128,4.301515067,0.0,0.0,1.892677383,3.871335934,1.978697892,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,12.18863958,9.46405467,15.856788564,0.0,1.3477922279999999,3.15441617,4.502228912,2.609597147,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,14.33910428,24.836859113,0.630872464,1.3477922279999999,4.129453366,0.716919764,0.716919764,5.047139676,1.3477922279999999,5.936103077,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,4.215457156,4.8463628199999995,10.7543874,1.3477922279999999,2.523546441,6.308866006,0.0,9.549330221,2.523546441,1.261778128,2.523546441,0.630872464,2.523546441,2.064701119,1.261778128,2.523546441,0.630872464,0.716919764,0.630872464,0.0,0.0,0.0,3.15441617,148.172686691,1.892677383,1.892677383,0.716919764,0.0,3.785309148,0.716919764,0.716919764,0.0,0.716919764,7.36989384,3.785309148,11.385259864,1.3477922279999999,0.0,0.0,10.897883324999999,0.716919764,0.0,0.716919764,0.0,2.523546441,0.0,0.0,0.0,0.0,0.0,0.027024396,0.033715433,0.07112011,0.0,0.039747776,4.400699333,0.0,0.0,0.002651482,0.104091377,0.0,0.06345961,0.00462805,0.0727907,0.026313402,0.322866262,0.0,0.028989635,0.018325221,1.0,1.0,[3]
9x9,0.0,0.0,0.0,15.1398688,0.630872464,0.630872464,14.21948651,3.15441617,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,9.155712528999999,0.630872464,0.630872464,0.0,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,4.739446342,0.0,12.61758203,0.630872464,0.0,0.0,0.630872464,15.481264637999999,0.0,0.630872464,37.91347363,0.630872464,6.00122447,0.0,0.0,4.739446342,1.892677383,3.15441617,1.261778128,49.225930427,0.0,0.0,0.0,28.09938608,0.630872464,18.95721794,14.203501012,24.618390087,0.0,0.630872464,3.15441617,3.785309148,1.892677383,16.726181982,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,4.739446342,1.892677383,0.630872464,0.630872464,1.261778128,0.0,0.0,38.221468986,0.630872464,8.52475549,0.0,0.630872464,7.570575795,1.261778128,4.739446342,0.0,29.068309804,1.261778128,23.69448651,0.630872464,2.523546441,6.308866006,0.0,13.571856798999999,2.523546441,1.261778128,7.262992783,10.109393750999999,2.523546441,0.630872464,1.261778128,2.523546441,5.370318806,0.0,0.630872464,0.0,0.0,0.0,3.15441617,16.418329278,1.892677383,1.892677383,37.91347363,0.0,8.52475549,0.0,0.0,0.0,0.0,3.785309148,3.785309148,14.850358973999999,0.630872464,0.0,0.0,14.203501012,0.0,0.0,0.0,0.0,2.523546441,0.0,4.739446342,0.0,9.478521287,0.018302477,0.003649633,0.0,0.110003619,0.0,0.0,0.842934924,0.223855094,0.0,0.0,0.127712687,0.0,1.511057105,0.0,0.175007433,0.0,0.337306184,0.095721037,0.0,0.018325221,1.0,1.0,[4]
