coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,Pericytes,permutationTracker
0x0,0.0,0.0,5.044216332,5.535468988,0.0,4.035353906,0.0,7.811996296,0.0,0.0,0.750048159,2.017657872,0.0,1.008861521,0.0,0.0,6.053099328,0.750048159,0.750048159,4.500345877,3.25898604,7.759366507,0.0,0.0,1.008861521,2.767706031,1.75890968,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,2.017657872,1.008861521,0.0,51.75941847,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.847669869,0.750048159,0.0,2.017657872,11.017657872000001,0.750048159,1.008861521,2.017657872,0.0,4.759150169,0.0,0.750048159,2.250124519,1.008861521,3.25898604,0.0,0.0,6.053099328,30.00273442,0.0,2.250124519,1.75890968,8.070683217,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,1.75890968,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,4.759150169,0.0,0.0,0.0,1.008861521,0.0,0.0,0.750048159,0.0,0.750048159,2.017657872,0.0,2.017657872,0.0,2.508976603,1.500115082,0.0,16.13957308,0.0,0.0,0.0,3.000184291,3.776569451,5.044216332,0.0,0.0,0.0,0.0,3.026521292,0.0,0.750048159,0.0,0.0,0.0,0.750048159,1.008861521,0.0,0.0,0.0,0.065513788,0.0044509630000000005,0.025855620000000003,0.0,0.032435668,0.0,0.0,0.014445687,0.0,0.14459543200000002,0.0,0.178221654,0.0,0.0,0.016809277,0.5874981699999999,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,5.044216332,4.035353906,0.0,5.651487996,0.0,7.061948137,0.0,0.0,1.61613409,2.017657872,0.0,1.008861521,0.0,0.0,6.053099328,0.0,0.0,0.0,1.008861521,4.241196171,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,4.848439478,6.053099328,1.008861521,0.0,0.0,1.61613409,2.017657872,1.008861521,0.0,64.6447502,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,2.017657872,0.0,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,1.61613409,1.008861521,1.008861521,0.0,0.0,6.053099328,12.92836054,0.0,6.464659462,2.624995611,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,2.017657872,4.642655382,0.0,1.008861521,1.008861521,0.0,0.0,0.0,1.008861521,0.0,1.61613409,0.0,0.0,0.0,3.633791962,0.0,2.017657872,0.0,2.624995611,1.61613409,0.0,16.13957308,0.0,0.0,0.0,1.61613409,3.026521292,5.044216332,0.0,0.0,0.0,1.61613409,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.065412999,0.011578031999999999,0.007798792000000001,0.0,0.025205671,0.0,0.0,0.014445687,0.0,0.10136707,0.0,0.167070254,0.0,0.0,0.016809277,0.595270651,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,5.044216332,15.434734766000002,0.0,4.035353906,0.0,8.201830996,0.0,1.139882859,0.0,2.017657872,0.0,1.008861521,0.0,1.139882859,6.053099328,0.0,0.0,4.559554603,1.008861521,2.14874438,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,1.139882859,6.053099328,1.008861521,0.0,1.139882859,3.419671593,6.053099328,1.008861521,2.279744406,0.0,0.0,2.017657872,1.008861521,0.0,47.87648887,5.175236765,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,9.996906562,0.0,1.008861521,2.017657872,0.0,3.288605927,0.0,0.0,34.19654225,3.288605927,1.008861521,0.0,1.139882859,6.053099328,182.4002824,1.139882859,27.3595934,1.008861521,8.070683217,0.0,5.699463109,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,1.139882859,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,2.14874438,0.0,0.0,1.139882859,1.008861521,0.0,0.0,5.699463109,0.0,2.279744406,2.017657872,0.0,2.017657872,0.0,3.288605927,0.0,1.139882859,16.13957308,1.139882859,0.0,0.0,0.0,3.026521292,9.603770935,0.0,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.061731316999999994,0.024909089000000002,0.012734666,0.0,0.027159767,0.0,0.0,0.014445687,0.0,0.178470205,0.0,0.019951216,0.0,0.0,0.016809277,0.803660737,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,5.044216332,4.035353906,0.0,14.551309986,0.0,7.061948137,0.0,0.0,0.0,2.017657872,0.0,1.008861521,0.0,0.0,6.053099328,0.0,0.0,10.51595608,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,5.2579199,6.053099328,1.008861521,0.0,0.0,10.51595608,2.017657872,1.008861521,0.0,105.1695557,4.035353906,7.061948137,0.0,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,2.017657872,0.0,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,6.053099328,15.77258494,0.0,0.0,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,5.2579199,0.0,1.008861521,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,1.008861521,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.0,0.0,2.017657872,0.0,12.533613952,0.0,1.008861521,0.0,0.0,16.13957308,0.0,0.0,0.0,0.0,3.026521292,5.044216332,0.0,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,0.0,0.0,0.045819780000000004,0.022835275000000002,0.002733675,0.0,0.024030755,0.0,0.0,0.014445687,0.0,0.10583914700000001,0.0,0.121873785,0.0,0.0,0.016809277,0.571885975,0.010678902,0.006601794,0.018258397,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,5.044216332,8.587872224,1.820979954,4.945866918,2.731470392,7.061948137,0.0,0.0,0.0,2.928170884,1.820979954,1.008861521,0.910513012,0.0,6.053099328,0.0,0.0,3.641945102,2.8298414750000003,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,1.919374533,0.910513012,0.0,2.731470392,6.96361234,1.008861521,0.0,0.0,0.0,2.017657872,1.919374533,0.0,38.23737995,4.035353906,7.061948137,0.910513012,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,9.301656151,0.0,1.008861521,2.017657872,0.0,1.008861521,0.0,0.910513012,30.95950175,1.919374533,2.8298414750000003,0.0,0.0,6.053099328,130.1897789,0.0,8.194539862,1.008861521,8.070683217,0.0,4.552518318,0.0,0.0,0.0,0.0,0.0,2.8298414750000003,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,0.0,1.008861521,3.740331913,0.0,0.0,2.731470392,1.008861521,0.0,0.910513012,0.910513012,0.910513012,0.0,2.017657872,0.0,2.017657872,0.0,2.8298414750000003,4.552518318,0.0,16.13957308,0.0,0.0,0.910513012,0.0,3.026521292,5.044216332,0.0,0.0,0.0,1.820979954,3.026521292,0.0,0.910513012,0.0,0.0,0.910513012,0.910513012,1.008861521,0.0,0.910513012,0.0,0.074244783,0.0060279570000000005,0.014900969,0.0,0.041317099,0.0,0.0,0.014445687,0.0,0.153962562,0.0,0.158534577,0.0,0.0,0.016809277,0.782626269,0.0,0.006601794,0.018258397,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,16.639983882,0.630872464,0.630872464,0.0,3.904464329,1.261778128,0.0,5.166314346,0.0,0.630872464,0.0,0.0,2.523546441,4.416266187,1.380920623,1.380920623,4.500345877,5.404540689,7.3813774500000005,0.630872464,0.0,3.15441617,14.629947729,1.380920623,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,0.630872464,1.261778128,0.0,0.0,51.75941847,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.889916959,0.750048159,0.630872464,3.15441617,12.785309148,2.642725542,11.98673564,3.785309148,0.0,3.750288648,0.630872464,1.380920623,2.250124519,0.0,4.142801902,0.630872464,0.630872464,1.261778128,30.00273442,0.0,7.2972641949999995,1.380920623,3.785309148,0.0,0.630872464,8.320623954,2.011826287,0.750048159,0.0,2.8809969829999997,2.011826287,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,4.381161112,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,0.0,1.380920623,0.0,0.750048159,0.0,3.15441617,6.939807991,1.892677383,3.3927924650000003,1.500115082,0.0,3.785309148,0.0,0.0,0.0,3.000184291,4.535357307,3.785309148,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.750048159,0.0,0.0,2.523546441,0.750048159,0.0,0.0,0.0,0.0,0.042965768,0.002066792,0.048549539,0.0,0.032435668,0.0,0.0,0.0,0.0,0.13435533900000002,0.0,0.241681264,0.0,0.0727907,0.0,0.583959845,0.0,0.0,0.018325221,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,0.0,15.1398688,0.630872464,2.247006554,0.0,3.15441617,1.261778128,0.0,6.032400277,0.0,0.630872464,0.0,0.0,2.523546441,4.416266187,0.630872464,0.630872464,0.0,3.15441617,3.8632071139999997,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,5.479311942000001,1.261778128,0.0,0.630872464,0.0,2.247006554,1.261778128,0.0,0.0,64.6447502,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,3.785309148,1.892677383,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,1.61613409,0.0,1.892677383,0.630872464,0.630872464,1.261778128,12.92836054,0.0,11.511799138,2.247006554,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,4.139680531,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,1.61613409,0.630872464,0.0,0.0,1.61613409,3.15441617,6.939807991,1.892677383,3.508811473,1.61613409,0.0,3.785309148,0.0,0.0,0.0,1.61613409,3.785309148,3.785309148,0.630872464,0.630872464,0.0,1.61613409,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,0.0,0.0,0.042864979,0.009193861,0.030492711000000002,0.0,0.025205671,0.0,0.0,0.0,0.0,0.091126977,0.0,0.230529864,0.0,0.0727907,0.0,0.591732326,0.0,0.0,0.018325221,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,0.0,26.539249660000003,0.630872464,0.630872464,0.0,4.294299029,1.261778128,1.139882859,4.416266187,0.0,0.630872464,0.0,0.0,3.6634293,4.416266187,0.630872464,0.630872464,4.559554603,3.15441617,1.770755323,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,1.139882859,12.61758203,0.630872464,0.0,1.139882859,4.050544057,1.261778128,0.0,2.9106168699999997,0.0,0.630872464,1.261778128,0.0,0.0,47.87648887,3.032560242,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,11.764557838,1.892677383,11.98673564,3.785309148,0.0,2.279744406,0.630872464,0.630872464,34.19654225,2.279744406,1.892677383,0.630872464,1.770755323,1.261778128,182.4002824,1.139882859,32.406733076,0.630872464,3.785309148,0.0,6.330335573,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,3.6634293,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,1.770755323,2.523546441,0.630872464,2.401660987,2.523546441,0.630872464,0.0,6.330335573,0.0,2.279744406,0.0,3.15441617,6.939807991,1.892677383,4.1724217889999995,0.0,1.139882859,3.785309148,1.139882859,0.0,0.0,0.0,3.785309148,8.344863751,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,0.0,0.0,0.039183297,0.022524918,0.035428585,0.0,0.027159767,0.0,0.0,0.0,0.0,0.168230112,0.0,0.083410826,0.0,0.0727907,0.0,0.8001224119999999,0.0,0.0,0.018325221,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,0.0,15.1398688,0.630872464,11.146828544,0.0,3.15441617,1.261778128,0.0,4.416266187,0.0,0.630872464,0.0,0.0,2.523546441,4.416266187,0.630872464,0.630872464,10.51595608,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,5.888792364,1.261778128,0.0,0.630872464,0.0,11.146828544,1.261778128,0.0,0.0,105.1695557,1.892677383,3.15441617,1.261778128,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,3.785309148,1.892677383,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,0.0,1.892677383,0.630872464,0.630872464,1.261778128,15.77258494,0.0,5.047139676,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,5.2579199,0.630872464,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,0.630872464,2.523546441,0.630872464,1.261778128,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,0.0,3.15441617,17.455764071,1.892677383,1.892677383,0.0,0.0,3.785309148,0.0,0.0,0.0,0.0,3.785309148,3.785309148,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,0.0,0.0,0.023271760000000002,0.020451104,0.025427594,0.0,0.024030755,0.0,0.0,0.0,0.0,0.095599054,0.0,0.185333395,0.0,0.0727907,0.0,0.56834765,0.010678902,0.0,0.018325221,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,0.0,19.692387118,2.451852418,1.5413854759999999,2.731470392,3.15441617,1.261778128,0.0,4.416266187,0.910513012,2.451852418,0.0,0.910513012,2.523546441,4.416266187,0.630872464,0.630872464,3.641945102,4.975396124,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,1.5413854759999999,0.910513012,0.0,3.3623428559999997,2.17229114,0.0,0.630872464,0.0,0.630872464,1.261778128,0.910513012,0.0,38.23737995,1.892677383,3.15441617,2.17229114,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,11.069307427,1.892677383,11.98673564,3.785309148,0.0,0.0,0.630872464,1.5413854759999999,30.95950175,0.910513012,3.713657337,0.630872464,0.630872464,1.261778128,130.1897789,0.0,13.241679538,0.630872464,3.785309148,0.0,5.183390782,7.570575795,1.261778128,0.0,0.0,0.630872464,3.082758082,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,1.261778128,2.523546441,3.3623428559999997,2.523546441,0.630872464,3.99324852,2.523546441,0.630872464,0.910513012,1.5413854759999999,0.910513012,0.0,0.0,3.15441617,6.939807991,1.892677383,3.713657337,4.552518318,0.0,3.785309148,0.0,0.0,0.910513012,0.0,3.785309148,3.785309148,0.630872464,0.630872464,0.0,1.820979954,9.46405467,0.0,0.910513012,0.0,0.0,3.434059453,0.910513012,0.0,0.0,0.910513012,0.0,0.051696763,0.003643786,0.037594888,0.0,0.041317099,0.0,0.0,0.0,0.0,0.143722469,0.0,0.221994187,0.0,0.0727907,0.0,0.779087944,0.0,0.0,0.018325221,1.0,1.0,"[[1], [4]]"
