coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Microglia,Endothelial3
0x0,2.34052009,2.897265563,16.610794409,0.0,0.0,18.72876956,0.0,1.783812624,0.0,0.0,4.681078187,0.891907941,0.0,0.0,0.0,2.34052009,1.783812624,0.891907941,0.0,1.448612149,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,8.919048185,0.0,0.0,1.448612149,0.891907941,0.0,0.0,0.0,0.891907941,4.345889776,0.891907941,0.0,10.14037987,0.0,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,8.584032546,0.891907941,0.891907941,0.0,9.362159425,2.34052009,1.448612149,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,25.415077445999998,15.93557709,0.0,14.48460032,0.0,15.16218226,0.0,0.0,0.891907941,1.448612149,0.0,0.0,0.0,1.783812624,1.448612149,0.0,0.0,7.913510135,0.0,5.573049707,1.783812624,0.0,1.783812624,3.567620359,1.448612149,2.675784144,0.0,0.0,0.0,123.1366439,0.0,0.0,0.0,47.829151479,4.345889776,8.027344162,0.891907941,0.0,8.919048185,1.448612149,3.567620359,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,7.135420397,0.0,0.0,0.0,1.783812624,0.0,0.0,0.891907941,0.0,0.891907941,1.448612149,0.0,0.891907941,16.832412855999998,0.034550723,0.005579243,0.050121044000000003,0.07908311300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.014238051,0.0,0.216598465,0.0,0.0,0.000762815,0.434744441,0.0,0.0,0.0,1.0,1.0
1x1,2.92405318,0.677374359,16.516960424,2.032145239,0.0,20.760914799,2.032145239,2.461186983,0.0,0.0,2.461186983,2.246686105,0.0,0.677374359,0.0,6.988339196,7.202851412,1.5692823,1.354778164,0.677374359,3.386922882,4.493352125,0.0,0.0,0.0,0.0,0.0,2.709539501,1.5692823,0.0,0.0,1.354778164,10.489224065,11.628587686,0.0,0.0,2.032145239,1.5692823,0.0,0.677374359,0.677374359,0.891907941,0.677374359,1.5692823,0.0,19.64429232,0.0,1.5692823,2.461186983,1.354778164,0.0,0.677374359,0.891907941,5.419038788,1.5692823,1.5692823,2.709539501,12.554459184999999,0.891907941,1.5692823,0.677374359,13.728540479,0.891907941,2.709539501,0.677374359,0.0,4.956214651000001,0.0,0.0,1.354778164,1.354778164,6.525506051000001,0.0,0.0,25.039577168,0.0,0.0,8.80595735,1.354778164,15.839556619,0.0,0.0,0.891907941,0.677374359,0.0,0.0,0.0,3.138590788,0.0,0.677374359,1.354778164,5.599765598,0.0,3.353158503,5.170735506,0.0,1.783812624,4.244994718,0.0,3.353158503,1.354778164,1.354778164,0.0,42.67169015,0.0,0.0,0.0,46.38053933,4.06430671,9.382122326000001,0.891907941,1.354778164,12.983354895,1.354778164,4.922398523,0.0,0.891907941,0.0,21.67775192,8.919048185,4.459589628,7.135420397,0.0,1.354778164,0.0,1.783812624,0.0,0.677374359,0.891907941,0.0,1.5692823,0.0,0.0,1.5692823,12.48652308,0.1091607,0.005579243,0.024863438,0.040871219,0.0,0.0,0.0,0.0,0.0,0.0,0.014238051,0.0,0.029409093,0.0,0.0,0.000762815,0.268585509,0.246967114,0.0,0.0,1.0,1.0
2x2,13.810650431,12.91874249,15.16218226,0.0,0.0,20.020745213,0.0,1.783812624,0.0,0.0,3.075788277,2.183883594,0.0,0.0,0.0,0.891907941,3.075788277,0.891907941,0.0,0.0,1.291975653,1.783812624,0.0,0.0,0.0,0.0,2.583933973,0.0,0.891907941,0.0,0.0,0.0,14.979787712,8.919048185,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,2.183883594,1.291975653,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,1.291975653,7.135420397,0.891907941,0.891907941,0.0,11.319473068,4.767866434,0.0,0.0,0.0,0.891907941,0.0,0.0,1.291975653,0.0,1.783812624,0.0,0.0,24.788476386,0.0,0.0,0.0,0.0,16.454157913,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,3.567620359,0.0,2.675784144,1.783812624,0.0,1.783812624,3.567620359,1.291975653,2.675784144,0.0,0.0,0.0,25.84108084,0.0,0.0,0.0,46.38053933,1.291975653,8.027344162,0.891907941,0.0,11.502982158,0.0,4.859596012,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,7.135420397,0.0,0.0,0.0,3.075788277,2.583933973,0.0,2.183883594,0.0,0.891907941,3.875958493,0.0,0.891907941,13.778498733,0.048061334,0.005579243,0.038336244000000005,0.054949077,0.0,0.0,0.0,0.0,0.0,0.0,0.014238051,0.0,0.141163859,0.0,0.0,0.000762815,0.265383105,0.052916666,0.0,0.0,1.0,1.0
3x3,5.992191180000001,7.650475889,16.437279691,1.275097431,1.275097431,18.72876956,0.0,1.783812624,0.0,0.0,9.434288513,0.891907941,1.275097431,0.0,0.0,0.891907941,4.333989574,2.167005372,0.0,2.55017695,2.55017695,4.333989574,1.275097431,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,12.362026656000001,12.744300191999999,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,0.891907941,6.375305256,0.891907941,0.0,6.375305256,0.0,0.891907941,1.783812624,1.275097431,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,7.135420397,0.891907941,0.891907941,0.0,8.667903598,0.891907941,0.0,0.0,0.0,2.167005372,0.0,0.0,1.275097431,0.0,1.783812624,0.0,0.0,33.64503741,14.02449903,0.0,8.925445294,0.0,15.16218226,0.0,2.55017695,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,6.117797309,0.0,2.675784144,1.783812624,5.100283239,1.783812624,3.567620359,1.275097431,2.675784144,0.0,0.0,0.0,113.4721922,3.825252007,0.0,0.0,46.38053933,2.55017695,8.027344162,0.891907941,0.0,8.919048185,0.0,4.84271779,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,7.135420397,0.0,1.275097431,0.0,1.783812624,0.0,0.0,0.891907941,0.0,0.891907941,0.0,1.275097431,0.891907941,13.761620511,0.02634885,0.013952454999999999,0.047946042,0.076306598,0.0,0.005364625,0.0,0.0,0.0,0.0,0.035918776,0.0,0.31070665599999997,0.0,0.0,0.032058024,0.281441598,0.006533653,0.0,0.0,1.0,1.0
4x4,5.638362807,0.0,15.16218226,0.0,0.0,18.72876956,2.373261425,1.783812624,0.0,2.373261425,8.903512931,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,6.53026749,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,12.185111131,8.919048185,0.0,0.0,0.0,0.891907941,0.0,0.0,2.373261425,0.891907941,2.373261425,0.891907941,0.0,33.22157552,0.0,0.891907941,1.783812624,0.0,0.0,2.373261425,0.891907941,0.0,0.891907941,0.891907941,2.373261425,7.135420397,0.891907941,0.891907941,2.373261425,20.179268489,0.891907941,9.493007904,0.0,0.0,8.011608248,0.0,0.0,0.0,2.373261425,1.783812624,0.0,0.0,24.366993246,0.0,2.373261425,11.86470998,0.0,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,3.567620359,0.0,2.675784144,1.783812624,0.0,1.783812624,3.567620359,7.119700307,2.675784144,0.0,0.0,0.0,23.73432141,0.0,0.0,0.0,46.38053933,4.746454866,8.027344162,0.891907941,0.0,16.038748492,0.0,3.567620359,0.0,0.891907941,0.0,33.22157552,11.29230961,4.459589628,7.135420397,0.0,0.0,0.0,6.53026749,0.0,0.0,0.891907941,0.0,0.891907941,0.0,0.0,0.891907941,14.859784505,0.02634885,0.025611721,0.040451764,0.060325139,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.014238051,0.0,0.029409093,0.006760343,0.0,0.028703369,0.318531802,0.017149055,0.0,0.0,1.0,1.0
5x5,1.448612149,2.897265563,1.448612149,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,2.897265563,6.022148348,0.0,0.0,0.0,1.448612149,12.04367592,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,16.389565696,0.0,0.0,10.14037987,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,1.448612149,0.0,6.022148348,0.0,5.794539066,1.448612149,1.448612149,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,24.08996179,0.0,0.0,5.794539066,15.93557709,0.0,14.48460032,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,7.470760497,0.0,0.0,4.345889776,0.0,2.897265563,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,6.022148348,12.04367592,123.1366439,0.0,0.0,0.0,103.819917349,4.345889776,0.0,0.0,0.0,0.0,1.448612149,6.022148348,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,12.04367592,6.022148348,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.010589275,0.0,0.044936195,0.055178752000000005,0.002447184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187189372,0.0,0.0,0.0,0.37349818599999995,0.005567434,0.000391101,0.0,1.0,1.0
6x6,2.032145239,0.677374359,1.354778164,2.032145239,0.0,8.054293587,2.032145239,0.677374359,0.0,0.0,0.677374359,7.376926512,0.0,0.677374359,0.0,6.096431255,17.462714708,0.677374359,1.354778164,0.677374359,3.386922882,2.709539501,0.0,0.0,0.0,6.022148348,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,2.709539501,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,0.677374359,0.0,12.721050279,0.677374359,0.0,19.64429232,6.022148348,0.677374359,0.677374359,1.354778164,0.0,0.677374359,0.0,11.441187136,0.677374359,0.677374359,2.709539501,5.419038788,0.0,6.699522707,0.677374359,10.16092012,0.0,2.709539501,0.677374359,6.022148348,4.06430671,0.0,0.0,1.354778164,1.354778164,28.831655217,0.0,0.0,5.419038788,0.0,0.0,8.80595735,1.354778164,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,6.022148348,0.677374359,1.354778164,2.032145239,0.0,0.677374359,3.386922882,0.0,0.0,0.677374359,0.0,0.677374359,1.354778164,7.376926512,12.04367592,42.67169015,0.0,0.0,0.0,102.3713052,4.06430671,1.354778164,0.0,1.354778164,4.06430671,1.354778164,7.376926512,0.0,0.0,0.0,21.67775192,6.022148348,0.0,0.0,0.0,1.354778164,0.0,12.04367592,6.022148348,0.677374359,0.0,0.0,0.677374359,0.0,0.0,0.677374359,0.0,0.085199252,0.0,0.019678589,0.016966858,0.002447184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207339254,0.25253454799999997,0.000391101,0.0,1.0,1.0
7x7,12.91874249,12.91874249,0.0,0.0,0.0,7.314124001,0.0,0.0,0.0,0.0,1.291975653,7.314124001,0.0,0.0,0.0,0.0,13.335651573,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,6.022148348,2.583933973,0.0,0.0,0.0,0.0,0.0,5.167938006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,13.335651573,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,1.291975653,0.0,0.0,6.022148348,0.0,7.751852709,3.875958493,0.0,0.0,6.022148348,0.0,0.0,0.0,1.291975653,0.0,24.08996179,0.0,0.0,5.167938006,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,6.022148348,12.04367592,25.84108084,0.0,0.0,0.0,102.3713052,1.291975653,0.0,0.0,0.0,2.583933973,0.0,7.314124001,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,13.335651573,8.606082321,0.0,1.291975653,0.0,0.0,3.875958493,0.0,0.0,1.291975653,0.024099886,0.0,0.033151395,0.031044716,0.002447184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111754766,0.0,0.0,0.0,0.20413684999999998,0.0584841,0.000391101,0.0,1.0,1.0
8x8,5.100283239,7.650475889,1.275097431,1.275097431,1.275097431,6.022148348,0.0,0.0,0.0,0.0,7.650475889,6.022148348,1.275097431,0.0,0.0,0.0,14.59385287,1.275097431,0.0,2.55017695,2.55017695,2.55017695,1.275097431,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,3.825252007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.418981176,0.0,0.0,6.375305256,6.022148348,0.0,0.0,1.275097431,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,5.100283239,0.0,0.0,0.0,6.022148348,1.275097431,0.0,0.0,1.275097431,0.0,24.08996179,0.0,0.0,14.02449903,14.02449903,0.0,8.925445294,0.0,0.0,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,2.55017695,0.0,0.0,0.0,5.100283239,0.0,0.0,1.275097431,0.0,0.0,6.022148348,12.04367592,113.4721922,3.825252007,0.0,0.0,102.3713052,2.55017695,0.0,0.0,0.0,0.0,0.0,7.297245779,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,1.275097431,0.0,12.04367592,6.022148348,0.0,0.0,0.0,0.0,0.0,1.275097431,0.0,1.275097431,0.002387402,0.008373212,0.042761193,0.052402237000000004,0.002447184,0.005364625,0.0,0.0,0.0,0.0,0.021680725,0.0,0.281297563,0.0,0.0,0.031295209,0.220195343,0.012101087,0.000391101,0.0,1.0,1.0
9x9,4.746454866,0.0,0.0,0.0,0.0,6.022148348,2.373261425,0.0,0.0,2.373261425,7.119700307,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,0.0,4.746454866,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,14.416937345000001,0.0,0.0,33.22157552,6.022148348,0.0,0.0,0.0,0.0,2.373261425,0.0,6.022148348,0.0,0.0,2.373261425,0.0,0.0,6.022148348,2.373261425,16.61164813,0.0,9.493007904,0.0,6.022148348,7.119700307,0.0,0.0,0.0,2.373261425,24.08996179,0.0,0.0,4.746454866,0.0,2.373261425,11.86470998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.119700307,0.0,0.0,6.022148348,12.04367592,23.73432141,0.0,0.0,0.0,102.3713052,4.746454866,0.0,0.0,0.0,7.119700307,0.0,6.022148348,0.0,0.0,0.0,33.22157552,8.395409773,0.0,0.0,0.0,0.0,0.0,16.790130786,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,0.002387402,0.020032478,0.035266914999999996,0.036420778,0.002447184,0.004387271,0.011314421,0.0,0.0,0.0,0.0,0.0,0.0,0.006760343,0.0,0.027940554,0.257285547,0.022716489,0.000391101,0.0,1.0,1.0
