coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Microglia,Ependymal
0x0,0.891907941,6.362579546,15.16218226,0.0,0.0,31.453379169999998,6.362579546,14.508422234,0.0,0.0,14.508422234,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,19.08630255,6.362579546,8.14639217,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,21.643657795,0.0,0.0,6.362579546,0.891907941,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,7.135420397,13.616517551,0.891907941,0.0,3.567620359,0.891907941,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,12.72460961,1.783812624,0.0,0.0,127.78970628,0.0,0.0,6.362579546,0.0,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,3.567620359,0.0,2.675784144,1.783812624,0.0,1.783812624,22.653922909,0.0,9.03836369,0.0,0.0,0.0,0.0,0.0,6.362579546,0.0,46.38053933,6.362579546,14.389923708000001,0.891907941,0.0,8.919048185,0.0,3.567620359,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,13.497999943,0.0,0.0,0.0,1.783812624,0.0,0.0,0.891907941,0.0,7.2544874870000005,0.0,0.0,0.891907941,18.849102626,0.02634885,0.13349847,0.024863438,0.083668764,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.042578692,0.0,1.419860941,0.0,0.0722153,0.000762815,0.223684843,0.0,0.034115386,0.0,1.0,1.0
1x1,1.166819328,0.41237493,18.048694144,0.96218522,1.237072195,45.66707107,1.237072195,2.608548455,0.0,0.41237493,7.007102062,1.029362354,0.0,0.137454413,0.137454413,1.304282871,4.807831414,2.128980136,7.422480225,0.824735831,29.82478102,5.495104384,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,3.503510899,0.137454413,0.5498155,0.137454413,11.323851817,9.331423115,0.0,0.137454413,6.185384288,2.128980136,0.41237493,0.5498155,0.274911387,1.029362354,0.137454413,1.304282871,0.274911387,1.649476062,0.687252188,1.029362354,1.783812624,1.649476062,0.0,0.274911387,0.891907941,2.33672181,2.953730369,1.029362354,0.41237493,9.059774775,1.716643772,2.403910052,0.0,11.265031492,5.7027624260000005,2.886511884,0.0,0.0,1.304282871,0.41237493,0.0,0.274911387,6.047904326,5.082738927,0.41237493,0.687252188,76.80405948,0.0,0.5498155,3.848752315,0.274911387,15.16218226,0.0,1.099616611,4.603199701,0.0,0.5498155,0.41237493,0.96218522,2.333628124,0.0,0.41237493,0.137454413,4.5298055790000005,0.0,4.737606572000001,2.333628124,0.0,2.333628124,7.141450162,0.5498155,5.699802934,0.137454413,0.137454413,0.687252188,0.137454413,3.298926303,0.0,0.0,46.38053933,0.0,10.501505636000001,1.304282871,0.274911387,10.018664796,0.5498155,3.979995289,0.137454413,1.029362354,0.5498155,1.099616611,14.692187365999999,8.308341943,10.571813281,0.0,0.41237493,0.0,2.8834292350000004,0.824735831,0.0,1.166819328,2.199263417,4.465737744,2.474161474,0.137454413,1.166819328,20.046448878,0.02634885,0.148794469,0.048241258,0.099213143,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.032249823,0.0,1.558124764,0.0,0.084820791,0.000762815,0.215746422,0.0,0.034255883,0.0,1.0,1.0
2x2,1.278312571,0.38640463,15.934983309,3.091287509,0.38640463,54.660529159999996,0.38640463,11.056876771999999,0.0,0.772801049,7.193546522,0.891907941,0.0,0.38640463,1.545599049,1.278312571,5.261461144,2.823948678,3.091287509,1.159235441,34.39158396,3.329411673,1.159235441,0.38640463,0.38640463,1.545599049,0.772801049,1.932040737,5.142399928000001,0.38640463,0.38640463,0.0,12.516694339,10.464647234,0.0,0.0,5.796103746,1.66470899,0.0,0.38640463,0.38640463,0.891907941,0.772801049,0.891907941,0.0,0.38640463,0.38640463,1.66470899,2.170217254,1.159235441,0.38640463,0.772801049,0.891907941,1.545599049,1.278312571,2.0511433820000002,0.38640463,10.613068917,1.66470899,1.278312571,1.159235441,8.590858025,5.142399928000001,2.318409668,0.0,1.159235441,0.891907941,0.38640463,0.0,0.38640463,4.636895712,4.488657257,0.38640463,0.38640463,47.05860059,0.0,0.0,2.704844633,0.0,15.54858689,0.38640463,0.772801049,3.9831954499999997,0.38640463,0.772801049,0.0,2.704844633,2.170217254,0.0,1.159235441,0.0,5.113219408,0.0,6.153432664,2.556613673,0.0,3.329411673,5.113219408,1.159235441,4.221383193,0.772801049,0.0,2.318409668,0.38640463,4.636895712,0.772801049,0.0,47.153340379,0.38640463,11.504992682000001,1.278312571,0.38640463,9.691849234,0.0,3.954024989,0.38640463,0.891907941,0.0,0.772801049,12.783120241999999,11.028441398,9.84026503,0.0,1.159235441,0.0,9.125616981,0.38640463,0.772801049,0.891907941,1.932040737,2.823948678,0.38640463,0.0,0.891907941,16.350595137,0.02634885,0.039897046,0.024863438,0.111039316,0.0,0.043316318,0.0,0.581248039,0.0,0.0,0.081930079,0.0,0.575268525,0.0,0.070020258,0.041253029,0.345183393,0.184977216,0.012632589,0.016971307,1.0,1.0
3x3,0.891907941,0.0,16.013538525,1.702713432,0.851356265,57.88935175,0.851356265,1.783812624,2.55410292,0.0,6.040595022000001,1.743264206,0.0,0.0,0.851356265,0.891907941,4.337915544,4.297355136,11.0670191,0.851356265,39.16058219,5.189259819,0.851356265,0.0,0.0,0.0,0.851356265,0.0,5.148690339000001,0.0,1.702713432,0.0,10.663205971,9.77040445,0.0,0.0,4.256782398,4.297355136,0.0,0.851356265,0.0,2.594621373,0.0,0.891907941,0.0,2.55410292,0.0,0.891907941,1.783812624,2.55410292,0.851356265,0.0,0.891907941,4.256782398,1.743264206,0.891907941,0.0,9.689523316999999,3.446010861,1.743264206,0.851356265,11.229856124000001,2.594621373,1.702713432,0.0,2.55410292,1.743264206,1.702713432,0.851356265,0.0,5.108154309,2.635168889,0.0,0.0,84.32577748,0.0,1.702713432,4.256782398,0.851356265,16.013538525,0.0,4.256782398,2.594621373,0.0,0.851356265,1.702713432,1.702713432,1.783812624,0.0,0.0,0.851356265,3.567620359,1.702713432,3.5271404090000003,1.783812624,0.0,2.635168889,7.8244027570000005,0.0,4.378497576,0.0,0.851356265,1.702713432,0.0,2.55410292,0.0,0.0,46.38053933,0.0,10.581447082,0.891907941,0.0,8.919048185,0.0,3.567620359,0.0,0.891907941,1.702713432,0.0,15.729928802,13.825322196,8.838133829,0.0,0.851356265,0.0,5.189259819,0.851356265,0.0,0.891907941,1.702713432,6.00006225,2.55410292,0.851356265,3.446010861,19.297403697,0.02634885,0.099432338,0.024863438,0.112918649,0.0,0.108339982,0.0,1.022320573,0.0,0.0,0.061600502,0.0,1.1645670049999999,0.0,0.077556373,0.002367852,0.215746422,0.0,0.010256608,0.0,1.0,1.0
4x4,0.891907941,0.0,16.0899291,1.855485768,1.855485768,56.767887810000005,2.783293202,2.711559464,0.0,0.92774684,11.061608782999999,0.891907941,0.92774684,0.0,0.0,0.891907941,5.494887426,2.7473937090000002,7.422092365,0.0,41.74644475,1.783812624,0.0,0.92774684,0.0,0.0,0.92774684,0.0,0.891907941,0.0,0.0,0.92774684,9.811849706,8.919048185,0.0,0.0,3.711074802,1.819654781,0.92774684,0.0,0.0,3.675201143,0.0,0.891907941,0.0,0.0,1.855485768,1.819654781,1.783812624,0.0,0.0,1.855485768,0.891907941,0.92774684,0.891907941,0.891907941,0.0,8.063167237,1.819654781,0.891907941,0.0,11.917370389999999,3.675201143,0.0,0.0,0.92774684,0.891907941,0.92774684,0.92774684,0.0,7.422092365,7.350404121,0.0,0.0,76.21755651000001,0.0,0.0,3.711074802,0.0,15.16218226,0.92774684,0.92774684,4.602982743,0.92774684,0.92774684,0.0,5.566591497,2.711559464,0.0,1.855485768,0.0,3.567620359,0.0,3.603530984,2.711559464,0.0,1.783812624,10.061901824,0.0,5.459077346,0.0,0.0,1.855485768,0.0,1.855485768,0.0,0.0,46.38053933,0.0,8.955091002,0.891907941,0.0,9.846795024999999,0.92774684,3.567620359,0.0,0.891907941,0.0,0.92774684,19.123742175,10.026181125,8.063167237,0.0,0.0,0.0,2.711559464,0.0,0.0,0.891907941,2.783293202,1.819654781,4.638842963,0.0,0.891907941,19.908615445,0.02634885,0.130966518,0.059055024000000005,0.116276092,0.0,0.129892172,0.0,1.185848208,0.0,0.0,0.033765212,0.0,1.1694890519999999,0.0,0.051228194,0.000762815,0.215746422,0.023021592,0.054721988,0.0,1.0,1.0
5x5,0.0,6.362579546,0.0,0.0,0.0,18.746757958,6.362579546,12.72460961,0.0,0.0,12.72460961,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,19.08630255,6.362579546,6.362579546,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72460961,0.0,0.0,6.362579546,0.0,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,12.72460961,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,12.72460961,24.08996179,0.0,0.0,108.1691679,0.0,0.0,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08630255,0.0,6.362579546,0.0,6.022148348,12.04367592,0.0,0.0,6.362579546,0.0,102.3713052,6.362579546,6.362579546,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,6.022148348,0.0,6.362579546,0.0,0.0,0.0,12.04367592,6.022148348,0.0,0.0,0.0,6.362579546,0.0,0.0,0.0,6.362579546,0.002387402,0.127919227,0.019678589,0.059764403,0.002447184,0.144848449,0.0,1.628028072,0.0,0.0,0.028340641,0.0,1.390451848,0.0,0.0722153,0.0,0.162438588,0.005567434,0.034506486999999995,0.0,1.0,1.0
6x6,0.274911387,0.41237493,2.886511884,0.96218522,1.237072195,32.960449858,1.237072195,0.824735831,0.0,0.41237493,5.223289438,6.159602761,0.0,0.137454413,0.137454413,0.41237493,15.06769471,1.237072195,7.422480225,0.824735831,29.82478102,3.71129176,0.41237493,0.274911387,0.5498155,6.709400536,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,0.41237493,0.0,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,0.274911387,0.137454413,12.181130333,0.41237493,0.274911387,1.649476062,6.709400536,0.137454413,0.0,1.649476062,0.0,0.274911387,0.0,8.358870158,2.061822428,0.137454413,0.41237493,1.924354378,0.824735831,7.534150459,0.0,7.697411133,4.810854485,2.886511884,0.0,6.022148348,0.41237493,0.41237493,0.0,0.274911387,6.047904326,27.388888093,0.41237493,0.687252188,57.1835211,0.0,0.5498155,3.848752315,0.274911387,0.0,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,0.96218522,0.5498155,6.022148348,0.41237493,0.137454413,0.96218522,0.0,2.061822428,0.5498155,0.0,0.5498155,3.573829803,0.5498155,3.02401879,0.137454413,6.159602761,12.730928108,0.137454413,3.298926303,0.0,0.0,102.3713052,0.0,2.474161474,0.41237493,0.274911387,1.099616611,0.5498155,6.434523278,0.137454413,0.137454413,0.5498155,1.099616611,11.795287529,3.848752315,3.436392884,0.0,0.41237493,0.0,13.143292531,6.846884179,0.0,0.274911387,2.199263417,3.573829803,2.474161474,0.137454413,0.274911387,7.559925798,0.002387402,0.143215226,0.043056409000000004,0.075308782,0.002447184,0.138245652,0.0,1.373558828,0.0,0.0,0.018011772,0.0,1.528715671,0.0,0.084820791,0.0,0.154500167,0.005567434,0.034646984,0.0,1.0,1.0
7x7,0.38640463,0.38640463,0.772801049,3.091287509,0.38640463,41.953907948,0.38640463,9.273064148,0.0,0.772801049,5.409733898,6.022148348,0.0,0.38640463,1.545599049,0.38640463,15.52132444,1.932040737,3.091287509,1.159235441,34.39158396,1.545599049,1.159235441,0.38640463,0.38640463,7.567747397,0.772801049,1.932040737,4.250491987,0.38640463,0.38640463,0.0,2.704844633,1.545599049,0.0,0.0,5.796103746,0.772801049,0.0,0.38640463,0.38640463,0.0,12.816476969,0.0,0.0,0.38640463,6.408552978,0.772801049,0.38640463,1.159235441,0.38640463,0.772801049,0.0,7.567747397,0.38640463,1.159235441,0.38640463,3.47764852,0.772801049,6.408552978,1.159235441,5.023237666,4.250491987,2.318409668,0.0,7.181383789,0.0,0.38640463,0.0,0.38640463,4.636895712,26.794806423,0.38640463,0.38640463,27.43806221,0.0,0.0,2.704844633,0.0,0.38640463,0.38640463,0.772801049,3.091287509,0.38640463,0.772801049,0.0,2.704844633,0.38640463,6.022148348,1.159235441,0.0,1.545599049,0.0,3.47764852,0.772801049,0.0,1.545599049,1.545599049,1.159235441,1.545599049,0.772801049,6.022148348,14.362085588,0.38640463,4.636895712,0.772801049,0.0,103.14410624899999,0.38640463,3.47764852,0.38640463,0.38640463,0.772801049,0.0,6.408552978,0.38640463,0.0,0.0,0.772801049,9.886220405,6.56885177,2.704844633,0.0,1.159235441,0.0,19.385480277,6.408552978,0.772801049,0.0,1.932040737,1.932040737,0.38640463,0.0,0.0,3.864072057,0.002387402,0.034317803,0.019678589,0.087134955,0.002447184,0.043316318,0.0,0.581248039,0.0,0.0,0.067692028,0.0,0.545859432,0.0,0.070020258,0.040490214,0.283937138,0.19054465,0.01302369,0.016971307,1.0,1.0
8x8,0.0,0.0,0.851356265,1.702713432,0.851356265,45.182730538,0.851356265,0.0,2.55410292,0.0,4.256782398,6.873504613,0.0,0.0,0.851356265,0.0,14.59777884,3.405447195,11.0670191,0.851356265,39.16058219,3.405447195,0.851356265,0.0,0.0,6.022148348,0.851356265,0.0,4.256782398,0.0,1.702713432,0.0,0.851356265,0.851356265,0.0,0.0,4.256782398,3.405447195,0.0,0.851356265,0.0,1.702713432,12.04367592,0.0,0.0,2.55410292,6.022148348,0.0,0.0,2.55410292,0.851356265,0.0,0.0,10.278930746,0.851356265,0.0,0.0,2.55410292,2.55410292,6.873504613,0.851356265,7.662235765,1.702713432,1.702713432,0.0,8.576251268,0.851356265,1.702713432,0.851356265,0.0,5.108154309,24.941318055,0.0,0.0,64.7052391,0.0,1.702713432,4.256782398,0.851356265,0.851356265,0.0,4.256782398,1.702713432,0.0,0.851356265,1.702713432,1.702713432,0.0,6.022148348,0.0,0.851356265,0.0,1.702713432,0.851356265,0.0,0.0,0.851356265,4.256782398,0.0,1.702713432,0.0,6.873504613,13.746389352,0.0,2.55410292,0.0,0.0,102.3713052,0.0,2.55410292,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,1.702713432,0.0,12.833028965,9.365732568,1.702713432,0.0,0.851356265,0.0,15.449123114999999,6.873504613,0.0,0.0,1.702713432,5.108154309,2.55410292,0.851356265,2.55410292,6.810880617,0.002387402,0.093853095,0.019678589,0.089014288,0.002447184,0.108339982,0.0,1.022320573,0.0,0.0,0.047362451,0.0,1.135157912,0.0,0.077556373,0.001605037,0.154500167,0.005567434,0.010647709,0.0,1.0,1.0
9x9,0.0,0.0,0.92774684,1.855485768,1.855485768,44.061266598,2.783293202,0.92774684,0.0,0.92774684,9.277796159,6.022148348,0.92774684,0.0,0.0,0.0,15.754750722,1.855485768,7.422092365,0.0,41.74644475,0.0,0.0,0.92774684,0.0,6.022148348,0.92774684,0.0,0.0,0.0,0.0,0.92774684,0.0,0.0,0.0,0.0,3.711074802,0.92774684,0.92774684,0.0,0.0,2.783293202,12.04367592,0.0,0.0,0.0,7.877634116,0.92774684,0.0,0.0,0.0,1.855485768,0.0,6.949895188,0.0,0.0,0.0,0.92774684,0.92774684,6.022148348,0.0,8.349750031,2.783293202,0.0,0.0,6.949895188,0.0,0.92774684,0.92774684,0.0,7.422092365,29.656553287,0.0,0.0,56.59701813,0.0,0.0,3.711074802,0.0,0.0,0.92774684,0.92774684,3.711074802,0.92774684,0.92774684,0.0,5.566591497,0.92774684,6.022148348,1.855485768,0.0,0.0,0.0,0.92774684,0.92774684,0.0,0.0,6.494281465,0.0,2.783293202,0.0,6.022148348,13.899161688,0.0,1.855485768,0.0,0.0,102.3713052,0.0,0.92774684,0.0,0.0,0.92774684,0.92774684,6.022148348,0.0,0.0,0.0,0.92774684,16.226842338,5.566591497,0.92774684,0.0,0.0,0.0,12.97142276,6.022148348,0.0,0.0,2.783293202,0.92774684,4.638842963,0.0,0.0,7.422092365,0.002387402,0.125387275,0.053870175000000006,0.092371731,0.002447184,0.129892172,0.0,1.185848208,0.0,0.0,0.019527161,0.0,1.140079959,0.0,0.051228194,0.0,0.154500167,0.028589026,0.055113089,0.0,1.0,1.0
