coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Microglia,ODMature2,Microgliacells,ODMature2cells
0x0,0.891907941,0.0,15.16218226,0.0,0.0,21.191909173,0.0,4.246952237,0.0,0.0,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,1.783812624,2.463139613,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,8.919048185,0.0,0.0,0.0,0.891907941,0.0,0.0,27.09312166,0.891907941,0.0,3.355047554,0.0,0.0,0.0,5.818158373,1.783812624,4.926250432,0.0,0.0,0.891907941,0.0,0.891907941,23.060519061,2.463139613,7.135420397,0.891907941,0.891907941,0.0,3.567620359,0.891907941,0.0,0.0,2.463139613,0.891907941,0.0,0.0,0.0,7.389382581,1.783812624,0.0,0.0,19.62053838,0.0,0.0,32.02174353,0.0,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,2.463139613,1.783812624,0.0,0.0,0.0,3.567620359,0.0,5.138923757000001,6.710063056,0.0,1.783812624,8.493870790999999,2.463139613,2.675784144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.38053933,0.0,10.490483775000001,0.891907941,0.0,38.475294345,0.0,3.567620359,0.0,0.891907941,0.0,0.0,11.382187798,4.459589628,16.987175893,0.0,0.0,0.0,1.783812624,2.463139613,0.0,0.891907941,0.0,3.355047554,0.0,0.0,0.891907941,44.50826661,0.032298862,0.025770506000000002,0.028366264000000002,0.049819257,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.037245745,0.0,0.029409093,0.0,0.0,0.007532431,0.35103429799999997,0.002089427,0.0,0.0,1.0,1.0,[0],[0]
1x1,0.891907941,0.0,18.494796273,0.833158429,0.0,22.061383573,0.0,1.783812624,0.0,0.0,2.6169710530000003,0.891907941,0.833158429,0.0,0.0,0.891907941,2.6169710530000003,0.891907941,1.666306062,0.0,0.0,1.783812624,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.891907941,0.0,0.0,0.0,11.478155768,14.751081886,0.0,0.0,0.0,0.891907941,0.0,0.0,18.32858226,1.72506637,0.0,0.891907941,0.0,0.0,1.666306062,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,0.833158429,0.891907941,9.223376562,1.666306062,7.135420397,0.891907941,1.72506637,0.0,3.567620359,0.891907941,1.666306062,0.0,0.0,0.891907941,0.0,0.0,0.0,4.165709745,2.6169710530000003,0.0,0.0,29.61819106,0.0,0.0,17.49694478,0.0,15.16218226,0.0,0.833158429,0.891907941,0.0,0.0,0.0,0.833158429,1.783812624,2.49945167,0.0,0.0,3.567620359,0.0,2.675784144,1.783812624,0.0,2.6169710530000003,4.400778788,0.0,2.675784144,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,46.38053933,0.0,14.692482548000001,0.891907941,0.0,58.072404295,0.0,3.567620359,0.0,1.72506637,0.0,0.833158429,8.919048185,4.459589628,9.634872067,0.0,0.0,0.0,1.783812624,1.666306062,1.666306062,0.891907941,0.0,0.891907941,0.0,0.833158429,0.891907941,42.48211968,0.051611178,0.005579243,0.099508383,0.06453656199999999,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.032156065,0.0,0.029409093,0.0,0.0,0.0267596,0.5237230989999999,0.003530092,0.016707202,0.0,1.0,1.0,[0],[1]
2x2,0.891907941,0.0,15.16218226,0.0,0.0,18.72876956,9.869260563,1.783812624,0.0,0.0,6.71880274,0.891907941,0.0,2.467448345,2.467448345,0.891907941,1.783812624,0.891907941,2.467448345,0.0,0.0,1.783812624,0.0,0.0,2.467448345,19.73958204,0.0,0.0,0.891907941,0.0,0.0,2.467448345,9.811849706,8.919048185,2.467448345,0.0,0.0,0.891907941,0.0,0.0,34.5467582,0.891907941,0.0,0.891907941,0.0,2.467448345,4.934990116,5.826898057,4.2512609690000005,4.934990116,0.0,2.467448345,0.891907941,0.0,0.891907941,5.826898057,4.934990116,7.135420397,0.891907941,0.891907941,2.467448345,8.502610475000001,0.891907941,7.402528612,0.0,0.0,0.891907941,0.0,0.0,0.0,4.934990116,1.783812624,0.0,0.0,19.62053838,0.0,0.0,51.82019498,2.467448345,15.16218226,0.0,0.0,0.891907941,2.467448345,0.0,0.0,0.0,1.783812624,2.467448345,0.0,0.0,6.035068704,0.0,7.6107742599999995,1.783812624,0.0,1.783812624,8.502610475000001,0.0,2.675784144,7.402528612,0.0,0.0,0.0,2.467448345,0.0,0.0,46.38053933,0.0,12.962334278,0.891907941,0.0,115.02164478499999,0.0,15.905905578999999,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,12.070410512999999,0.0,0.0,0.0,4.2512609690000005,0.0,2.467448345,0.891907941,0.0,3.359356286,0.0,0.0,0.891907941,56.901594339999995,0.02634885,0.094095701,0.024863438,0.107376475,0.0,0.065165276,2.243620227,0.132017133,0.0,0.0,0.014238051,0.0,0.605205116,0.0,0.007229182,0.000762815,0.215746422,0.0,0.0,0.0,1.0,1.0,[0],[2]
3x3,0.891907941,0.0,15.16218226,0.0,0.0,20.363401788,0.0,5.053145326,0.0,0.0,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,1.634632228,0.0,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,1.634632228,0.891907941,0.0,0.0,0.0,9.811849706,8.919048185,0.0,0.0,0.0,2.526540169,0.0,0.0,58.84115951,0.891907941,3.269332702,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,1.634632228,0.891907941,40.126536841,1.634632228,8.770052625,0.891907941,0.891907941,0.0,3.567620359,5.795821633,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,1.634632228,3.4184448520000004,0.0,0.0,21.255170608,0.0,0.0,34.32645026,0.0,15.16218226,0.0,0.0,2.526540169,0.0,0.0,1.634632228,1.634632228,1.783812624,3.269332702,0.0,0.0,3.567620359,0.0,4.310416372000001,3.4184448520000004,0.0,1.783812624,15.009901208999999,0.0,2.675784144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.015171558,0.0,16.20073717,0.891907941,0.0,100.45276353499999,0.0,3.567620359,1.634632228,0.891907941,0.0,0.0,8.919048185,4.459589628,18.577701247,0.0,0.0,0.0,1.783812624,0.0,0.0,0.891907941,6.538587847,0.891907941,0.0,0.0,0.891907941,59.892612639999996,0.02634885,0.04072856,0.024863438,0.05244485,0.0,0.023750201,1.563716509,0.0,0.0,0.0,0.014238051,0.0,0.624626941,0.0,0.0,0.000762815,0.267313546,0.0,0.0,0.0,1.0,1.0,[0],[3]
4x4,0.891907941,0.0,16.713179566,0.0,0.0,21.83081059,0.0,1.783812624,1.550997306,0.0,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,10.470045490999999,1.550997306,0.0,0.0,0.891907941,0.0,0.0,27.92011396,0.891907941,6.204104435,0.891907941,0.0,1.550997306,0.0,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,1.550997306,0.891907941,27.257194481,1.550997306,8.686417703,0.891907941,0.891907941,0.0,6.669661389,2.442905247,1.550997306,0.0,1.550997306,0.891907941,0.0,0.0,0.0,7.755077605,1.783812624,1.550997306,0.0,19.62053838,0.0,0.0,48.07948534,0.0,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,4.653013206,1.783812624,0.0,0.0,0.0,3.567620359,0.0,2.675784144,3.33480993,0.0,1.783812624,11.322697964,0.0,2.675784144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.38053933,0.0,12.680357368,0.891907941,0.0,84.920692625,0.0,3.567620359,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,21.094332147,0.0,0.0,1.550997306,1.783812624,0.0,0.0,0.891907941,3.10204103,0.891907941,0.0,0.0,0.891907941,55.918946389999995,0.02634885,0.052739136,0.039932287000000004,0.048292684,0.0,0.055013459,0.988932297,0.0,0.0,0.013382966,0.014238051,0.0,0.423271804,0.0,0.0,0.000762815,0.217896143,0.0,0.004902438,0.0,1.0,1.0,[0],[4]
5x5,0.0,0.0,0.0,0.0,0.0,8.485287961000001,0.0,2.463139613,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.09312166,0.0,12.04367592,2.463139613,0.0,0.0,6.022148348,4.926250432,0.0,4.926250432,0.0,0.0,0.0,6.022148348,0.0,22.16861112,2.463139613,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,8.485287961000001,0.0,0.0,0.0,0.0,7.389382581,24.08996179,0.0,0.0,0.0,0.0,0.0,32.02174353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,6.022148348,0.0,0.0,0.0,0.0,2.463139613,4.926250432,0.0,0.0,4.926250432,2.463139613,0.0,0.0,6.022148348,12.04367592,0.0,0.0,0.0,0.0,102.3713052,0.0,2.463139613,0.0,0.0,29.55624616,0.0,6.022148348,0.0,0.0,0.0,0.0,8.485287961000001,0.0,9.851755496,0.0,0.0,0.0,12.04367592,8.485287961000001,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,32.02174353,0.008337414,0.020191263,0.023181415,0.025914896,0.002447184,0.017684828,1.063478746,0.0,0.0,0.0,0.023007694,0.0,0.0,0.0,0.0,0.006769616,0.289788043,0.007656860999999999,0.000391101,0.0,1.0,1.0,[1],[0]
6x6,0.0,0.0,3.332614013,0.833158429,0.0,9.354762361,0.0,0.0,0.0,0.0,0.833158429,6.022148348,0.833158429,0.0,0.0,0.0,12.876834349,0.0,1.666306062,0.0,0.0,0.0,0.833158429,0.0,0.0,6.855306777,0.0,0.0,0.0,0.0,0.0,0.0,1.666306062,5.832033701,0.0,0.0,0.0,0.0,0.0,0.0,18.32858226,0.833158429,12.04367592,0.0,0.0,0.0,7.68845441,0.0,0.0,0.0,0.0,0.0,0.0,6.855306777,0.0,8.331468621,1.666306062,0.0,0.0,6.855306777,0.0,0.0,0.0,1.666306062,0.0,6.022148348,0.0,0.0,0.0,0.0,4.165709745,24.923120219,0.0,0.0,9.99765268,0.0,0.0,17.49694478,0.0,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,8.521600018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,0.833158429,0.0,0.0,0.0,6.855306777,12.04367592,0.0,0.0,0.0,0.0,102.3713052,0.0,6.665138386,0.0,0.0,49.15335611,0.0,6.022148348,0.0,0.833158429,0.0,0.833158429,6.022148348,0.0,2.49945167,0.0,0.0,0.0,12.04367592,7.68845441,1.666306062,0.0,0.0,0.0,0.0,0.833158429,0.0,29.9955966,0.02764973,0.0,0.094323534,0.040632201,0.002447184,0.0,1.187509763,0.0,0.001753042,0.0,0.017918014,0.0,0.0,0.0,0.0,0.025996785,0.462476844,0.009097526,0.017098303000000002,0.0,1.0,1.0,[1],[1]
7x7,0.0,0.0,0.0,0.0,0.0,6.022148348,9.869260563,0.0,0.0,0.0,4.934990116,6.022148348,0.0,2.467448345,2.467448345,0.0,12.04367592,0.0,2.467448345,0.0,0.0,0.0,0.0,0.0,2.467448345,25.761730387999997,0.0,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,0.0,34.5467582,0.0,12.04367592,0.0,0.0,2.467448345,10.957138464,4.934990116,2.467448345,4.934990116,0.0,2.467448345,0.0,6.022148348,0.0,4.934990116,4.934990116,0.0,0.0,6.022148348,2.467448345,4.934990116,0.0,7.402528612,0.0,6.022148348,0.0,0.0,0.0,0.0,4.934990116,24.08996179,0.0,0.0,0.0,0.0,0.0,51.82019498,2.467448345,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,8.489596693,0.0,0.0,2.467448345,0.0,4.934990116,0.0,0.0,0.0,4.934990116,0.0,0.0,7.402528612,6.022148348,12.04367592,0.0,2.467448345,0.0,0.0,102.3713052,0.0,4.934990116,0.0,0.0,106.1025966,0.0,18.360433567999998,0.0,0.0,0.0,0.0,6.022148348,0.0,4.934990116,0.0,0.0,0.0,14.511124265,6.022148348,2.467448345,0.0,0.0,2.467448345,0.0,0.0,0.0,44.41507126,0.002387402,0.088516458,0.019678589,0.083472114,0.002447184,0.065165276,2.243620227,0.132017133,0.0,0.0,0.0,0.0,0.575796023,0.0,0.007229182,0.0,0.154500167,0.005567434,0.000391101,0.0,1.0,1.0,[1],[2]
8x8,0.0,0.0,0.0,0.0,0.0,7.656780576,0.0,3.269332702,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.0,1.634632228,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,1.634632228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634632228,0.0,0.0,58.84115951,0.0,15.313008622,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,7.656780576,0.0,39.2346289,1.634632228,1.634632228,0.0,6.022148348,0.0,0.0,4.903913692,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,1.634632228,25.724594018,0.0,0.0,1.634632228,0.0,0.0,34.32645026,0.0,0.0,0.0,0.0,1.634632228,0.0,0.0,1.634632228,1.634632228,0.0,9.29148105,0.0,0.0,0.0,0.0,1.634632228,1.634632228,0.0,0.0,11.44228085,0.0,0.0,0.0,6.022148348,12.04367592,0.0,0.0,0.0,0.0,104.005937428,0.0,8.173393008,0.0,0.0,91.53371535,0.0,6.022148348,1.634632228,0.0,0.0,0.0,6.022148348,0.0,11.44228085,0.0,0.0,0.0,12.04367592,6.022148348,0.0,0.0,6.538587847,0.0,0.0,0.0,0.0,47.40608956,0.002387402,0.035149317,0.019678589,0.028540489000000002,0.002447184,0.023750201,1.563716509,0.0,0.0,0.0,0.0,0.0,0.595217848,0.0,0.0,0.0,0.20606729099999999,0.005567434,0.000391101,0.0,1.0,1.0,[1],[3]
9x9,0.0,0.0,1.550997306,0.0,0.0,9.124189378,0.0,0.0,1.550997306,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550997306,1.550997306,0.0,0.0,0.0,0.0,0.0,27.92011396,0.0,18.247780355,0.0,0.0,1.550997306,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,7.573145654,0.0,26.36528654,1.550997306,1.550997306,0.0,6.022148348,0.0,3.10204103,1.550997306,1.550997306,0.0,7.573145654,0.0,0.0,0.0,0.0,7.755077605,24.08996179,1.550997306,0.0,0.0,0.0,0.0,48.07948534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.653013206,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,1.550997306,0.0,0.0,7.755077605,0.0,0.0,0.0,6.022148348,12.04367592,0.0,0.0,0.0,0.0,102.3713052,0.0,4.653013206,0.0,0.0,76.00164444,0.0,6.022148348,0.0,0.0,0.0,0.0,6.022148348,0.0,13.95891175,0.0,0.0,1.550997306,12.04367592,6.022148348,0.0,0.0,3.10204103,0.0,0.0,0.0,0.0,43.43242331,0.002387402,0.047159893,0.034747438,0.024388323000000003,0.002447184,0.055013459,0.988932297,0.0,0.0,0.013382966,0.0,0.0,0.393862711,0.0,0.0,0.0,0.156649888,0.005567434,0.005293539,0.0,1.0,1.0,[1],[4]
