coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Microglia,ODMature4,Microglia ODMature4
0x0,0.891907941,0.0,15.16218226,2.840696592,0.0,18.72876956,0.0,1.783812624,0.0,0.0,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,13.146133164,0.891907941,0.0,0.0,0.0,15.985787133999999,0.0,0.0,0.0,0.0,0.0,5.681438881,0.891907941,2.840696592,0.0,0.0,15.493288587,8.919048185,0.0,0.0,0.0,3.732604533,0.0,0.0,0.0,6.573346822,0.0,0.891907941,2.840696592,0.0,2.840696592,6.573346822,4.624509216,96.588805,2.840696592,0.0,0.891907941,2.840696592,3.732604533,0.891907941,2.840696592,7.135420397,0.891907941,0.891907941,0.0,3.567620359,12.254228481,2.840696592,2.840696592,0.0,0.891907941,0.0,0.0,0.0,0.0,33.031605814,0.0,0.0,25.301977260999998,0.0,0.0,0.0,0.0,23.684441482,0.0,2.840696592,3.732604533,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,14.929940899000002,0.0,14.038104684,1.783812624,8.522259222,1.783812624,3.567620359,5.681438881,2.675784144,0.0,0.0,2.840696592,2.840696592,0.0,0.0,2.840696592,46.38053933,0.0,16.549603384,0.891907941,0.0,8.919048185,0.0,3.567620359,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,7.135420397,0.0,2.840696592,0.0,21.667154584,0.0,0.0,0.891907941,0.0,3.732604533,2.840696592,0.0,0.891907941,12.48652308,0.02634885,0.005579243,0.024863438,0.061593277,0.0,0.0,0.052046655,0.0,0.0,0.0,0.014238051,0.014365337,0.029409093,0.0,0.0,0.007592937,0.48883904,0.0,0.0,0.223626855,1.0,1.0,"[[0], [0]]"
1x1,0.891907941,0.0,15.16218226,0.0,0.0,20.57637622,0.615883328,3.631419284,0.0,0.0,2.399695952,0.891907941,0.615883328,0.0,0.615883328,0.891907941,3.015585525,0.891907941,0.0,0.0,0.0,2.399695952,1.231772901,0.615883328,0.0,0.0,1.231772901,0.0,0.891907941,0.0,0.615883328,0.0,12.27538805,9.534931513,0.0,0.0,0.615883328,0.891907941,0.0,0.615883328,20.32553818,0.891907941,2.463538344,2.123680842,0.0,1.231772901,1.231772901,1.5077912690000002,1.783812624,0.0,0.0,1.231772901,0.891907941,0.0,0.891907941,18.135065121,0.0,7.135420397,0.891907941,0.891907941,0.0,8.49468959,1.5077912690000002,0.615883328,0.0,1.231772901,0.891907941,0.615883328,0.0,0.0,10.4709662,39.349404414,0.0,0.0,22.084076724,0.0,1.231772901,20.32553818,1.231772901,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,4.311167523,5.479076448,6.158796218,0.0,0.0,3.567620359,0.0,3.907557045,3.015585525,0.0,1.783812624,4.79939326,0.0,2.675784144,0.0,0.0,0.0,1.84760666,0.0,0.615883328,0.0,46.38053933,1.84760666,85.01035521200001,0.891907941,0.0,31.092994685,0.0,3.567620359,0.0,0.891907941,0.0,0.615883328,10.766654845,4.459589628,12.678316138,0.0,0.615883328,0.0,1.783812624,0.615883328,1.231772901,0.891907941,0.0,2.123680842,0.0,0.0,0.891907941,22.957489279999997,0.02634885,0.064069829,0.057151726,0.08721404299999999,0.0,0.036217685,5.365463028,0.0,0.0,0.0,0.033632114,0.0,0.045444166,0.0,0.075905184,0.007620525,0.215746422,0.0,0.013587393,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.891907941,0.0,15.16218226,0.0,0.0,18.72876956,0.0,1.783812624,0.0,0.0,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,8.919048185,0.0,0.0,0.0,0.891907941,0.0,0.0,16.95560323,0.891907941,0.0,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,0.0,0.891907941,17.847511171,0.0,7.135420397,0.891907941,0.891907941,0.0,3.567620359,3.717688007,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,2.825780066,41.344004424,0.0,0.0,19.62053838,0.0,0.0,2.825780066,0.0,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,5.651659355,0.0,0.0,3.567620359,0.0,5.50156421,1.783812624,0.0,1.783812624,6.393400425,0.0,2.675784144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.38053933,0.0,123.896524962,0.891907941,0.0,28.701653985,0.0,3.567620359,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,9.961200463,0.0,0.0,2.825780066,1.783812624,0.0,0.0,0.891907941,0.0,6.543567296,0.0,0.0,0.891907941,15.312303146,0.02634885,0.094644742,0.049998293,0.078889495,0.0,0.023764345,4.851268133,0.0,0.0,0.0,0.060792914,0.0,0.029409093,0.0,0.058003246,0.066789313,0.215746422,0.0,0.028527718,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.891907941,0.0,18.029857498,0.0,0.0,20.162598215,1.433828655,2.5007323880000003,0.0,0.0,1.783812624,0.891907941,0.0,0.0,0.0,1.608827705,5.368397316,1.608827705,0.716919764,0.716919764,0.716919764,3.217641279,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,10.52876947,8.919048185,0.0,1.433828655,0.0,0.891907941,0.0,0.0,6.452294345,0.891907941,0.0,5.193423008000001,0.0,0.0,0.0,1.608827705,2.5007323880000003,0.0,0.0,0.0,0.891907941,0.0,0.891907941,13.080547521,0.0,7.852340161,0.891907941,1.608827705,0.0,4.284540123,1.608827705,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,14.33910428,24.727994354,0.0,0.716919764,22.488213618,0.716919764,0.716919764,0.0,0.716919764,17.312976189,0.0,0.0,0.891907941,0.0,0.0,0.0,3.584584692,5.368397316,10.7543874,0.716919764,0.0,3.567620359,0.0,3.392703908,1.783812624,0.0,1.783812624,3.567620359,0.0,4.109612799,0.0,0.0,0.0,0.716919764,0.0,0.0,0.0,46.38053933,0.0,149.26022286199998,0.891907941,0.0,9.635967949,0.0,3.567620359,0.716919764,1.608827705,0.0,0.716919764,12.503632877,4.459589628,17.889807797,0.716919764,0.0,0.0,3.217641279,0.716919764,0.0,1.608827705,0.0,0.891907941,0.0,0.0,0.891907941,12.48652308,0.02634885,0.031876102999999996,0.058578871000000005,0.086563735,0.0,0.039747776,4.400699333,0.0,0.0,0.002651482,0.031027896,0.0,0.029409093,0.00462805,0.0,0.027076217,0.24905729699999998,0.0,0.028989635,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.891907941,0.0,15.16218226,0.0,0.0,18.72876956,14.21948651,1.783812624,0.0,0.0,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,6.523258966,0.891907941,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,4.739446342,0.0,9.811849706,8.919048185,0.0,0.0,0.0,15.111394450999999,0.0,0.0,37.91347363,0.891907941,4.739446342,0.891907941,0.0,4.739446342,0.0,0.891907941,1.783812624,9.478521287,0.0,0.0,0.891907941,14.21948651,0.891907941,19.849125881,4.739446342,16.613941684,0.891907941,0.891907941,0.0,3.567620359,0.891907941,4.739446342,0.0,0.0,0.891907941,0.0,0.0,0.0,4.739446342,1.783812624,0.0,0.0,19.62053838,0.0,0.0,33.17432931,0.0,19.901628602,0.0,0.0,0.891907941,0.0,4.739446342,0.0,28.43743734,1.783812624,23.69448651,0.0,0.0,3.567620359,0.0,7.4152304860000005,1.783812624,0.0,6.523258966,13.046141645999999,0.0,2.675784144,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,46.38053933,0.0,17.505865448999998,0.891907941,0.0,46.832521815,0.0,8.307066701,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,21.354906907,0.0,0.0,0.0,6.523258966,0.0,0.0,0.891907941,0.0,0.891907941,0.0,4.739446342,0.891907941,21.965044366999997,0.044651327000000005,0.00850134,0.024863438,0.125447244,0.0,0.0,0.842934924,0.223855094,0.0,0.0,0.054649206,0.0,1.4770065879999998,0.0,0.102216733,0.000762815,0.263497219,0.095721037,0.0,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,2.840696592,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,23.40599646,0.0,0.0,0.0,0.0,14.20197451,0.0,0.0,0.0,6.022148348,0.0,5.681438881,0.0,2.840696592,0.0,0.0,5.681438881,0.0,0.0,0.0,0.0,2.840696592,0.0,0.0,0.0,5.681438881,12.04367592,0.0,2.840696592,0.0,8.86284494,5.681438881,2.840696592,96.588805,2.840696592,0.0,0.0,8.86284494,2.840696592,0.0,2.840696592,0.0,0.0,6.022148348,0.0,0.0,11.36232054,2.840696592,2.840696592,6.022148348,0.0,0.0,0.0,0.0,0.0,55.33775498,0.0,0.0,5.681438881,0.0,0.0,0.0,0.0,8.522259222,0.0,2.840696592,2.840696592,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,11.36232054,0.0,11.36232054,0.0,8.522259222,0.0,0.0,5.681438881,0.0,0.0,6.022148348,14.884372512,2.840696592,0.0,0.0,2.840696592,102.3713052,0.0,8.522259222,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,2.840696592,0.0,31.92701788,6.022148348,0.0,0.0,0.0,2.840696592,2.840696592,0.0,0.0,0.0,0.002387402,0.0,0.019678589,0.037688916,0.002447184,0.0,0.052046655,0.0,0.0,0.0,0.0,0.014365337,0.0,0.0,0.0,0.006830122,0.427592785,0.005567434,0.000391101,0.223626855,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,0.0,0.0,0.0,7.869755008,0.615883328,1.84760666,0.0,0.0,0.615883328,6.022148348,0.615883328,0.0,0.615883328,0.0,13.275448821,0.0,0.0,0.0,0.0,0.615883328,1.231772901,0.615883328,0.0,6.022148348,1.231772901,0.0,0.0,0.0,0.615883328,0.0,2.463538344,0.615883328,0.0,0.0,0.615883328,0.0,0.0,0.615883328,20.32553818,0.0,14.507214264,1.231772901,0.0,1.231772901,7.253921249,0.615883328,0.0,0.0,0.0,1.231772901,0.0,6.022148348,0.0,17.24315718,0.0,0.0,0.0,6.022148348,0.0,4.927069231,0.615883328,0.615883328,0.0,7.253921249,0.0,0.615883328,0.0,0.0,10.4709662,61.65555358,0.0,0.0,2.463538344,0.0,1.231772901,20.32553818,1.231772901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.311167523,3.695263824,12.180944566,0.0,0.0,0.0,0.0,1.231772901,1.231772901,0.0,0.0,1.231772901,0.0,0.0,0.0,6.022148348,12.04367592,1.84760666,0.0,0.615883328,0.0,102.3713052,1.84760666,76.98301105,0.0,0.0,22.1739465,0.0,6.022148348,0.0,0.0,0.0,0.615883328,7.869755008,0.0,5.542895741,0.0,0.615883328,0.0,12.04367592,6.638031676,1.231772901,0.0,0.0,1.231772901,0.0,0.0,0.0,10.4709662,0.002387402,0.058490586,0.051966876999999995,0.063309682,0.002447184,0.036217685,5.365463028,0.0,0.0,0.0,0.019394063,0.0,0.016035073,0.0,0.075905184,0.00685771,0.154500167,0.005567434,0.013978494,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95560323,0.0,12.04367592,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,16.95560323,0.0,0.0,0.0,6.022148348,0.0,0.0,2.825780066,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,2.825780066,63.65015359,0.0,0.0,0.0,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.673807703,0.0,0.0,0.0,0.0,2.825780066,0.0,0.0,0.0,2.825780066,0.0,0.0,0.0,6.022148348,12.04367592,0.0,0.0,0.0,0.0,102.3713052,0.0,115.8691808,0.0,0.0,19.7826058,0.0,6.022148348,0.0,0.0,0.0,0.0,6.022148348,0.0,2.825780066,0.0,0.0,2.825780066,12.04367592,6.022148348,0.0,0.0,0.0,5.651659355,0.0,0.0,0.0,2.825780066,0.002387402,0.089065499,0.044813444,0.054985134,0.002447184,0.023764345,4.851268133,0.0,0.0,0.0,0.046554863,0.0,0.0,0.0,0.058003246,0.066026498,0.154500167,0.005567434,0.028918819000000002,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,2.867675238,0.0,0.0,7.455977003,1.433828655,0.716919764,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.716919764,15.628260612,0.716919764,0.716919764,0.716919764,0.716919764,1.433828655,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.716919764,0.0,0.0,1.433828655,0.0,0.0,0.0,0.0,6.452294345,0.0,12.04367592,4.301515067,0.0,0.0,6.022148348,0.716919764,0.716919764,0.0,0.0,0.0,0.0,6.022148348,0.0,12.18863958,0.0,0.716919764,0.0,6.739068112,0.0,0.716919764,0.716919764,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,14.33910428,47.03414352,0.0,0.716919764,2.867675238,0.716919764,0.716919764,0.0,0.716919764,2.150793929,0.0,0.0,0.0,0.0,0.0,0.0,3.584584692,3.584584692,16.776535748,0.716919764,0.0,0.0,0.0,0.716919764,0.0,0.0,0.0,0.0,0.0,1.433828655,0.0,6.022148348,12.04367592,0.716919764,0.0,0.0,0.0,102.3713052,0.0,141.2328787,0.0,0.0,0.716919764,0.0,6.022148348,0.716919764,0.716919764,0.0,0.716919764,9.60673304,0.0,10.7543874,0.716919764,0.0,0.0,13.477504575,6.739068112,0.0,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,0.002387402,0.02629686,0.053394022,0.062659374,0.002447184,0.039747776,4.400699333,0.0,0.0,0.002651482,0.016789845,0.0,0.0,0.00462805,0.0,0.026313402,0.18781104199999998,0.005567434,0.029380736,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,0.0,0.0,0.0,6.022148348,14.21948651,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,16.783122262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,14.21948651,0.0,0.0,37.91347363,0.0,16.783122262,0.0,0.0,4.739446342,6.022148348,0.0,0.0,9.478521287,0.0,0.0,0.0,20.241634857999998,0.0,18.95721794,4.739446342,9.478521287,0.0,6.022148348,0.0,0.0,0.0,4.739446342,0.0,6.022148348,0.0,0.0,0.0,0.0,4.739446342,24.08996179,0.0,0.0,0.0,0.0,0.0,33.17432931,0.0,4.739446342,0.0,0.0,0.0,0.0,4.739446342,0.0,28.43743734,0.0,29.716634858,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,4.739446342,9.478521287,0.0,0.0,0.0,6.022148348,16.783122262,0.0,0.0,0.0,0.0,102.3713052,0.0,9.478521287,0.0,0.0,37.91347363,0.0,10.761594689999999,0.0,0.0,0.0,0.0,6.022148348,0.0,14.21948651,0.0,0.0,0.0,16.783122262,6.022148348,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,9.478521287,0.020689879,0.002922097,0.019678589,0.101542883,0.002447184,0.0,0.842934924,0.223855094,0.0,0.0,0.040411155,0.0,1.447597495,0.0,0.102216733,0.0,0.20225096399999998,0.10128847099999999,0.000391101,0.0,1.0,1.0,"[[1], [4]]"
