coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature1,Endothelial2,ODImmature1cells
0x0,0.690985953,1.381990362,14.16701094,3.109509606,0.34548853,11.256005485000001,2.072981884,1.950257348,0.0,0.0,4.491487508,0.0,11.701523723000001,0.0,0.0,1.704767878,5.159688806,0.690985953,0.0,1.381990362,0.568266986,4.000500217,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.913755516,0.34548853,2.173014243,0.568266986,25.394786139,14.642693668,0.0,0.0,0.34548853,0.0,0.568266986,0.0,0.690985953,0.0,3.655020468,0.34548853,0.568266986,5.182441277,0.0,0.0,3.432237989,12.760677958,0.0,0.568266986,0.568266986,0.34548853,0.0,12.50205896,0.690985953,1.950257348,0.0,0.0,0.0,13.921320043000001,1.950257348,0.913755516,0.568266986,0.913755516,1.6047462860000001,0.34548853,0.0,1.381990362,1.0364793,6.419032691,0.0,0.0,29.722198886,6.909881914,0.0,6.787149935,2.518525305,0.0,0.34548853,2.764003339,0.0,1.0364793,1.482023473,0.0,2.395753831,0.0,1.0364793,1.827520896,0.0,4.668815257,1.0364793,4.023187914,2.395753831,54.39232759,0.568266986,2.418456045,2.418456045,5.359819666,0.0,0.0,2.395753831,40.77341687,3.109509606,0.34548853,0.568266986,13.193044913,1.0364793,3.309509406,0.34548853,0.34548853,4.791496993,0.34548853,1.136534943,0.568266986,0.34548853,0.690985953,14.50957867,6.050811188,9.037489228999998,15.266062299,0.913755516,0.34548853,1.259252939,0.690985953,1.0364793,1.259252939,2.173014243,2.072981884,3.532301642,12.84754749,0.0,0.0,3.109509606,0.007551839,0.0,0.033691307000000004,0.048004638,0.0,0.0,0.0,0.0,0.0,0.0,0.024325537,0.0,0.331925703,0.0,0.0,0.0,0.308843294,0.0,0.010261959,0.0,1.0,1.0,[0]
1x1,0.0,2.599813489,1.299905543,0.0,0.0,3.572935649,1.299905543,1.868172529,0.0,0.0,7.799540612,0.0,13.809379290999999,1.299905543,0.0,1.704767878,3.0046734209999997,1.299905543,0.0,5.199690368,1.868172529,3.572935649,0.0,0.0,0.0,0.0,1.299905543,0.0,5.767957354,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,0.0,0.0,0.568266986,0.0,0.0,0.0,4.872843595000001,0.0,0.568266986,0.0,0.0,0.0,1.704767878,3.0046734209999997,0.0,0.568266986,0.568266986,5.199690368,0.0,12.50205896,1.299905543,0.568266986,1.299905543,0.0,0.0,5.0363535210000006,1.868172529,0.568266986,0.568266986,0.568266986,0.568266986,2.599813489,0.0,0.0,6.499632803,4.872843595000001,0.0,0.0,13.155193703999998,0.0,0.0,0.568266986,2.436440486,1.299905543,0.0,0.0,0.0,0.0,1.136534943,0.0,4.304581367,0.0,0.0,1.136534943,0.0,3.977829304,0.0,0.568266986,1.704767878,115.01104083999999,0.568266986,1.299905543,2.599813489,3.977829304,0.0,0.0,1.704767878,22.0993628,2.599813489,0.0,0.568266986,12.50205896,0.0,2.273030106,0.0,2.599813489,19.009197481,0.0,1.136534943,0.568266986,0.0,0.0,0.0,5.277734847,4.546001721,13.801964502999999,0.568266986,0.0,0.568266986,0.0,0.0,0.568266986,1.136534943,5.199690368,4.1412212319999995,12.50205896,0.0,0.0,0.0,0.007551839,0.044039668,0.025963937,0.027254376,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.024325537,0.0,0.717789722,0.0,0.0,0.0,0.290060269,0.0,0.010261959,0.0,1.0,1.0,[1]
2x2,0.0,3.883261708,2.588888782,2.588888782,0.0,2.273030106,3.883261708,3.157155768,1.294457406,0.0,2.588888782,0.0,18.944346751,0.0,0.0,1.704767878,2.999225284,0.0,1.294457406,10.35533628,0.568266986,2.273030106,0.0,0.0,0.0,0.0,0.0,1.294457406,0.568266986,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,0.0,2.588888782,0.568266986,0.0,0.0,0.0,13.923306076,0.0,0.568266986,1.294457406,0.0,2.588888782,2.999225284,10.764814653,0.0,1.862724392,1.862724392,1.294457406,0.0,12.50205896,0.0,8.334842942,0.0,0.0,0.0,16.671375063,0.568266986,3.157155768,0.568266986,0.568266986,4.451528694,0.0,0.0,2.588888782,2.588888782,4.861918888,0.0,0.0,14.427729357,29.77513736,0.0,1.862724392,1.136534943,0.0,0.0,2.588888782,1.294457406,0.0,1.136534943,0.0,2.999225284,2.588888782,0.0,1.136534943,0.0,3.977829304,0.0,3.157155768,2.999225284,79.74700138,4.451528694,2.588888782,0.0,5.27228671,3.883261708,0.0,1.704767878,62.13933449,0.0,0.0,0.568266986,13.796516365999999,0.0,2.273030106,0.0,0.0,3.409506631,0.0,1.136534943,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,18.974284981,0.568266986,0.0,0.568266986,3.883261708,1.294457406,0.568266986,2.4309923490000003,2.588888782,2.841315689,12.50205896,0.0,0.0,5.177745315,0.007551839,0.025621225,0.020422204,0.059789893999999996,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.024325537,0.0,1.015672636,0.0,0.0,0.0,0.290060269,0.0,0.010261959,0.0,1.0,1.0,[2]
3x3,0.0,0.0,0.841280696,2.523870987,0.0,4.796901093000001,2.523870987,1.409547682,0.0,0.0,3.365158322,0.0,24.443844271,0.0,0.0,2.546048574,3.387331309,0.841280696,0.0,0.841280696,0.568266986,2.273030106,0.0,0.0,0.0,0.0,0.841280696,0.0,0.568266986,0.0,1.136534943,0.568266986,24.118228687,9.911128938,0.0,0.0,0.0,0.841280696,0.568266986,0.0,0.0,0.0,5.638188428,0.0,0.568266986,0.0,0.841280696,0.0,1.704767878,2.546048574,0.841280696,0.568266986,1.409547682,0.0,0.0,12.50205896,0.0,3.092137973,0.0,0.0,0.0,7.866721943,1.409547682,0.568266986,0.568266986,1.409547682,0.568266986,0.0,0.0,0.0,2.523870987,5.638188428,0.0,0.841280696,18.892635436,0.841280696,0.0,3.092137973,1.136534943,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,0.841280696,0.0,1.136534943,0.0,4.81911,0.0,1.409547682,1.704767878,78.77769639,0.568266986,8.412825336,0.841280696,3.977829304,0.0,0.0,1.704767878,15.14358557,3.365158322,0.0,0.568266986,13.343339656,0.841280696,4.796901093000001,0.841280696,0.841280696,5.933377618,0.0,1.9778156390000001,0.568266986,0.0,0.0,1.682563431,3.977829304,5.387282417,12.50205896,0.568266986,0.0,0.568266986,0.0,0.0,1.409547682,2.819098374,0.0,2.841315689,13.343339656,0.0,0.0,0.841280696,0.007551839,0.033536932,0.057675921,0.079317988,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.024325537,0.0,1.105086761,0.0,0.0,0.0,0.290060269,0.0,0.019425146999999997,0.0,1.0,1.0,[3]
4x4,0.628845904,1.886556084,4.401943034,3.144288684,0.0,7.932658557,0.628845904,1.8259865690000001,0.0,0.0,2.515442509,0.0,22.275029481,0.628845904,0.0,1.704767878,2.9624874610000003,0.628845904,0.628845904,1.886556084,0.568266986,6.6749731400000005,0.628845904,0.0,0.0,0.628845904,0.0,0.0,3.7125556700000004,0.0,1.136534943,0.568266986,23.480913784,13.675788862,0.0,0.628845904,1.886556084,0.0,0.568266986,1.257719583,0.628845904,0.628845904,2.90187601,0.0,0.568266986,22.63741608,0.628845904,0.628845904,2.333613782,8.62212072,0.0,0.568266986,0.568266986,1.886556084,0.0,13.130904864,0.0,4.970210020000001,0.0,0.0,1.257719583,11.197677763000002,3.083709495,4.341361125,0.568266986,0.568266986,3.083709495,0.0,0.0,6.288530911,5.030870458,2.273030106,0.0,0.0,26.821026186,28.9295371,1.257719583,9.372192431999999,1.7653808469999999,0.628845904,0.0,5.659628451,1.257719583,0.0,1.136534943,0.0,1.704767878,0.628845904,0.0,1.7653808469999999,0.628845904,6.493271813,0.0,1.8259865690000001,2.9624874610000003,53.49482723,2.4548230699999998,5.030870458,0.0,5.8643853880000005,1.257719583,0.0,1.704767878,84.90135215,8.803925446,0.0,1.19711289,12.50205896,0.628845904,3.5307496890000003,0.628845904,0.628845904,5.296062715,0.628845904,1.136534943,0.568266986,0.0,0.628845904,3.773094139,6.493271813,5.803721304,13.759778543,0.568266986,0.0,0.568266986,0.0,0.628845904,0.568266986,1.7653808469999999,3.773094139,2.841315689,13.759778543,0.0,0.0,2.515442509,0.007551839,0.019814776,0.020422204,0.075813684,0.0,0.0,0.0,0.032514121,0.0,0.0,0.024325537,0.0,0.768682994,0.0,0.028612979,0.009018433,0.290060269,0.0,0.010261959,0.0,1.0,1.0,[4]
5x5,0.690985953,1.381990362,14.852671013,5.852080192,2.402450247,8.982975379,2.072981884,13.723347192,0.0,0.0,5.8627520099999995,0.0,10.348978809,0.0,0.685660073,0.0,9.625760393,1.376646026,0.0,6.867139979,0.685660073,2.413130184,0.0,1.031148603,0.34548853,2.413130184,0.0,3.795169679,1.031148603,0.34548853,1.722139373,0.685660073,27.798125459,7.255435717,0.0,0.0,1.031148603,1.371264502,0.0,0.685660073,0.690985953,0.685660073,2.067650435,1.031148603,0.685660073,5.182441277,0.685660073,10.28495938,3.098734613,29.56782978,0.0,0.685660073,0.0,0.34548853,0.0,13.02813705,1.376646026,7.552829827,0.0,0.0,0.0,14.841746817,1.381990362,1.7167530320000002,0.0,1.031148603,1.0364793,0.34548853,0.0,1.381990362,1.0364793,6.888573170999999,0.685660073,1.371264502,25.194923818,6.909881914,0.0,10.332756674999999,1.381990362,0.685660073,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,2.062250455,0.0,1.722139373,1.376646026,1.371264502,10.975945333,1.0364793,7.5687946539999995,14.403944113,38.15467551,1.371264502,3.789720547,2.418456045,2.067650435,0.0,0.685660073,1.376646026,41.459076943,3.109509606,1.031148603,0.685660073,1.376646026,1.0364793,6.521628917,0.34548853,1.031148603,10.295330327,1.7167530320000002,3.428228268,0.0,0.34548853,0.690985953,15.195238742999999,2.758641957,8.605361234,17.848223159,0.34548853,0.34548853,9.604325918,9.604325918,1.0364793,1.376646026,1.0364793,2.758641957,4.804859679,8.573114869000001,1.371264502,0.0,3.109509606,0.0,0.00491609,0.013269103,0.044941367999999995,0.0,0.0,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.568186222,0.0,0.024693544,0.0,0.247098717,0.0,0.0,0.0,1.0,1.0,[0]
6x6,0.0,2.599813489,1.985565616,2.742570586,2.056961717,1.299905543,1.299905543,13.641262373,0.0,0.0,9.170805114,0.0,12.456834377,1.299905543,0.685660073,0.0,7.470745008,1.985565616,0.0,10.684839985,1.985565616,1.985565616,0.0,0.685660073,0.0,0.685660073,1.299905543,0.685660073,5.885350441,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,0.0,0.685660073,3.285473562,0.685660073,0.685660073,0.0,0.685660073,10.28495938,1.371264502,19.811825243,0.0,0.685660073,0.0,5.199690368,0.0,13.02813705,1.985565616,6.170839465,1.299905543,0.0,0.0,5.956780295,1.299905543,1.371264502,0.0,0.685660073,0.0,2.599813489,0.0,0.0,6.499632803,5.342384075,0.685660073,1.371264502,8.627918636,0.0,0.0,4.113873726,1.299905543,1.985565616,0.0,0.0,0.0,0.0,0.0,0.0,3.9710779910000005,0.0,0.685660073,0.685660073,1.371264502,10.28495938,0.0,4.113873726,13.71295816,98.77338875999999,1.371264502,2.671170045,2.599813489,0.685660073,0.0,0.685660073,0.685660073,22.785022873000003,2.599813489,0.685660073,0.685660073,0.685660073,0.0,5.485149617,0.0,3.285473562,24.513030815,1.371264502,3.428228268,0.0,0.0,0.0,0.685660073,1.985565616,4.113873726,16.384125363,0.0,0.0,8.913339965,8.913339965,0.0,0.685660073,0.0,5.885350441,5.413779268999999,8.227626339,1.371264502,0.0,0.0,0.0,0.048955757999999995,0.005541733,0.024191106,0.0,0.032209852,0.019721556,0.119185307,0.0,0.0,0.028648507,0.0,0.954050241,0.0,0.024693544,0.0,0.228315692,0.0,0.0,0.0,1.0,1.0,[1]
7x7,0.0,3.883261708,3.274548855,5.331459368,2.056961717,0.0,3.883261708,14.930245612,1.294457406,0.0,3.9601532840000004,0.0,17.591801837,0.0,0.685660073,0.0,7.4652968710000005,0.685660073,1.294457406,15.840485897,0.685660073,0.685660073,0.0,0.685660073,0.0,0.685660073,0.0,1.980117479,0.685660073,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,0.685660073,3.9601532840000004,0.0,0.685660073,0.0,0.685660073,12.335936042999998,0.685660073,0.685660073,1.294457406,0.685660073,12.873848162,2.665721908,27.571966475,0.0,1.980117479,1.294457406,1.294457406,0.0,13.02813705,0.685660073,13.937415421,0.0,0.0,0.0,17.591801837,0.0,3.9601532840000004,0.0,0.685660073,3.883261708,0.0,0.0,2.588888782,2.588888782,5.331459368,0.685660073,1.371264502,9.900454288999999,29.77513736,0.0,5.408331132,0.0,0.685660073,0.0,2.588888782,1.294457406,0.0,0.0,0.0,2.665721908,2.588888782,0.685660073,0.685660073,1.371264502,10.28495938,0.0,6.702762507999999,15.007415565999999,63.5093493,5.25452621,3.9601532840000004,0.0,1.980117479,3.883261708,0.685660073,0.685660073,62.824994563000004,0.0,0.685660073,0.685660073,1.980117479,0.0,5.485149617,0.0,0.685660073,8.913339965,1.371264502,3.428228268,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,21.556445841,0.0,0.0,8.913339965,12.796601673000001,1.294457406,0.685660073,1.294457406,3.274548855,4.113873726,8.227626339,1.371264502,0.0,5.177745315,0.0,0.030537315000000002,0.0,0.056726624,0.0,0.019981277,0.019721556,0.13991377,0.0,0.0,0.028648507,0.0,1.251933155,0.0,0.024693544,0.0,0.228315692,0.0,0.0,0.0,1.0,1.0,[2]
8x8,0.0,0.0,1.5269407689999999,5.266441573,2.056961717,2.523870987,2.523870987,13.182637526,0.0,0.0,4.736422824,0.0,23.091299357,0.0,0.685660073,0.841280696,7.853402896,1.5269407689999999,0.0,6.326430313,0.685660073,0.685660073,0.0,0.685660073,0.0,0.685660073,0.841280696,0.685660073,0.685660073,0.0,0.685660073,0.685660073,26.521568007,2.523870987,0.0,0.0,0.685660073,2.212545198,0.0,0.685660073,0.0,0.685660073,4.050818395,0.685660073,0.685660073,0.0,1.5269407689999999,10.28495938,1.371264502,19.353200396,0.841280696,0.685660073,0.841280696,0.0,0.0,13.02813705,0.685660073,8.694710452,0.0,0.0,0.0,8.787148717,0.841280696,1.371264502,0.0,1.5269407689999999,0.0,0.0,0.0,0.0,2.523870987,6.107728908,0.685660073,2.212545198,14.365360368,0.841280696,0.0,6.637744713,0.0,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,0.841280696,0.685660073,0.685660073,1.371264502,11.126240076,0.0,4.955154422,13.71295816,62.54004431,1.371264502,9.784089838,0.841280696,0.685660073,0.0,0.685660073,0.685660073,15.829245643,3.365158322,0.685660073,0.685660073,1.5269407689999999,0.841280696,8.009020604,0.841280696,1.5269407689999999,11.437210952000001,1.371264502,4.269508964,0.0,0.0,0.0,2.368223504,0.685660073,4.955154422,15.08421982,0.0,0.0,8.913339965,8.913339965,0.0,1.5269407689999999,1.682563431,0.685660073,4.113873726,9.068907035,1.371264502,0.0,0.841280696,0.0,0.038453021999999996,0.037253717,0.076254718,0.0,0.051233035,0.019721556,0.157436037,0.0,0.0,0.028648507,0.0,1.34134728,0.0,0.024693544,0.0,0.228315692,0.0,0.009163188,0.0,1.0,1.0,[3]
9x9,0.628845904,1.886556084,5.0876031070000005,5.88685927,2.056961717,5.659628451,0.628845904,13.599076413,0.0,0.0,3.8867070110000004,0.0,20.922484567,0.628845904,0.685660073,0.0,7.428559048,1.314505977,0.628845904,7.371705701,0.685660073,5.0876031070000005,0.628845904,0.685660073,0.0,1.314505977,0.0,0.685660073,3.8299487570000004,0.0,0.685660073,0.685660073,25.884253104,6.288530911,0.0,0.628845904,2.5722161569999997,1.371264502,0.0,1.943379656,0.628845904,1.314505977,1.314505977,0.685660073,0.685660073,22.63741608,1.314505977,10.913805284,2.000110406,25.429272542,0.0,0.685660073,0.0,1.886556084,0.0,13.656982954,0.685660073,10.572782499,0.0,0.0,1.257719583,12.118104537,2.515442509,5.144358641,0.0,0.685660073,2.515442509,0.0,0.0,6.288530911,5.030870458,2.742570586,0.685660073,1.371264502,22.293751118000003,28.9295371,1.257719583,12.917799171999999,0.628845904,1.314505977,0.0,5.659628451,1.257719583,0.0,0.0,0.0,1.371264502,0.628845904,0.685660073,1.314505977,2.000110406,12.800401889,0.0,5.371593309,14.970677743,37.25717515,3.2578205860000002,6.40213496,0.0,2.5722161569999997,1.257719583,0.685660073,0.685660073,85.58701222299999,8.803925446,0.685660073,1.314505977,0.685660073,0.628845904,6.7428692,0.628845904,1.314505977,10.799896049,2.000110406,3.428228268,0.0,0.0,0.628845904,4.458754212,3.201102582,5.371593309,16.341939402999998,0.0,0.0,8.913339965,8.913339965,0.628845904,0.685660073,0.628845904,4.458754212,4.113873726,9.485345922,1.371264502,0.0,2.515442509,0.0,0.024730865999999997,0.0,0.072750414,0.0,0.0,0.019721556,0.032514121,0.0,0.0,0.028648507,0.0,1.004943513,0.0,0.053306523,0.009018433,0.228315692,0.0,0.0,0.0,1.0,1.0,[4]
