coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature1,Endothelial3,ODImmature1 Endothelial3
0x0,1.448612149,2.897265563,1.448612149,0.0,0.0,2.273030106,0.0,0.568266986,0.0,0.0,2.897265563,0.0,3.409506631,0.0,0.0,3.153380027,1.704767878,0.0,0.0,1.448612149,0.568266986,2.273030106,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,1.448612149,0.0,0.568266986,0.0,0.0,0.0,6.618919882,0.0,0.568266986,10.14037987,0.0,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,2.016879135,0.0,0.0,0.0,6.931074009,2.016879135,2.016879135,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,0.0,2.273030106,0.0,0.0,13.750042401999998,15.93557709,0.0,15.052867306,1.136534943,0.0,0.0,0.0,0.0,1.448612149,1.136534943,0.0,1.704767878,0.0,1.448612149,1.136534943,0.0,8.32371908,0.0,3.4655325489999997,1.704767878,40.91794659,0.568266986,0.0,1.448612149,3.977829304,0.0,0.0,1.704767878,123.1366439,0.0,0.0,0.568266986,13.950671109,4.345889776,2.273030106,0.0,0.0,3.409506631,1.448612149,1.136534943,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,12.50205896,0.568266986,0.0,0.568266986,0.0,0.0,0.568266986,1.136534943,0.0,2.841315689,13.950671109,0.0,0.0,4.345889776,0.015753712,0.0,0.04567981,0.06546627000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.024325537,0.0,0.187189372,0.0,0.0,0.0,0.509058288,0.0,0.010261959,0.0,1.0,1.0,"[[0], [0]]"
1x1,2.032145239,0.677374359,1.354778164,2.032145239,0.0,4.305175345,2.032145239,1.2456413450000001,0.0,0.0,0.677374359,1.354778164,3.409506631,0.677374359,0.0,7.801199133,7.123806666,0.677374359,1.354778164,0.677374359,3.9551898679999997,4.982569607,0.0,0.0,0.0,0.0,0.0,2.709539501,1.2456413450000001,0.0,1.136534943,1.92304515,22.271732059,10.096797452,0.0,0.0,2.032145239,0.677374359,0.568266986,0.677374359,0.677374359,0.0,2.950404465,0.677374359,0.568266986,19.64429232,0.0,0.677374359,2.382142237,3.059546042,0.0,1.2456413450000001,0.568266986,5.419038788,0.677374359,13.179433319,2.709539501,5.987305774,0.0,0.677374359,0.677374359,11.297455063000001,0.568266986,3.2778064870000003,1.2456413450000001,0.568266986,4.632573696000001,0.0,0.0,1.354778164,1.354778164,7.014723533000001,0.0,0.0,13.374542124,0.0,0.0,9.374224336,2.491313107,0.677374359,0.0,0.0,0.0,0.677374359,1.136534943,0.0,1.704767878,1.354778164,0.0,1.813909302,1.354778164,6.009974543,0.0,1.2456413450000001,5.09169076,40.91794659,0.568266986,0.677374359,0.0,4.655203663,1.354778164,1.354778164,1.704767878,42.67169015,0.0,0.0,0.568266986,12.50205896,4.06430671,3.62780827,0.0,1.354778164,7.4738133410000005,1.354778164,2.491313107,0.568266986,0.0,0.0,21.67775192,3.977829304,4.546001721,12.50205896,0.568266986,1.354778164,0.568266986,0.0,0.0,1.2456413450000001,1.136534943,0.0,3.518690048,12.50205896,0.0,0.677374359,0.0,0.09036368900000001,0.0,0.020422204,0.027254376,0.0,0.0,0.0,0.0,0.0,0.0,0.024325537,0.0,0.0,0.0,0.0,0.0,0.342899356,0.246967114,0.010261959,0.0,1.0,1.0,"[[0], [1]]"
2x2,12.91874249,12.91874249,0.0,0.0,0.0,3.565005759,0.0,0.568266986,0.0,0.0,1.291975653,1.291975653,3.409506631,0.0,0.0,1.704767878,2.996743531,0.0,0.0,0.0,1.860242639,2.273030106,0.0,0.0,0.0,0.0,2.583933973,0.0,0.568266986,0.0,1.136534943,0.568266986,26.762295706,7.387257951,0.0,0.0,0.0,0.0,0.568266986,0.0,0.0,1.291975653,3.565005759,0.0,0.568266986,0.0,0.0,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,1.291975653,0.568266986,0.0,0.0,0.0,8.888387651999999,4.444225479,0.568266986,0.568266986,0.568266986,0.568266986,0.0,0.0,1.291975653,0.0,2.273030106,0.0,0.0,13.123441342,0.0,0.0,0.568266986,1.136534943,1.291975653,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,0.0,0.0,1.136534943,0.0,3.977829304,0.0,0.568266986,1.704767878,40.91794659,0.568266986,0.0,1.291975653,3.977829304,0.0,0.0,1.704767878,25.84108084,0.0,0.0,0.568266986,12.50205896,1.291975653,2.273030106,0.0,0.0,5.993440604,0.0,2.4285105959999997,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,12.50205896,0.568266986,0.0,0.568266986,1.291975653,2.583933973,0.568266986,2.4285105959999997,0.0,2.841315689,16.378017453,0.0,0.0,1.291975653,0.029264323000000002,0.0,0.03389501,0.041332234,0.0,0.0,0.0,0.0,0.0,0.0,0.024325537,0.0,0.111754766,0.0,0.0,0.0,0.339696952,0.052916666,0.010261959,0.0,1.0,1.0,"[[0], [2]]"
3x3,5.100283239,7.650475889,1.275097431,1.275097431,1.275097431,2.273030106,0.0,0.568266986,0.0,0.0,7.650475889,0.0,4.684604062,0.0,0.0,1.704767878,4.254944828,1.275097431,0.0,2.55017695,3.1184439360000002,4.823207056,1.275097431,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,24.14453465,11.212509958,0.0,0.0,0.0,0.0,0.568266986,0.0,0.0,0.0,8.648335362000001,0.0,0.568266986,6.375305256,0.0,0.0,1.704767878,2.979865309,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,0.568266986,0.0,0.0,0.0,6.236818182,0.568266986,0.568266986,0.568266986,0.568266986,1.843364417,0.0,0.0,1.275097431,0.0,2.273030106,0.0,0.0,21.980002366,14.02449903,0.0,9.493712279999999,1.136534943,0.0,0.0,2.55017695,0.0,0.0,1.136534943,0.0,1.704767878,0.0,0.0,1.136534943,0.0,6.528006254,0.0,0.568266986,1.704767878,46.018229829,0.568266986,0.0,1.275097431,3.977829304,0.0,0.0,1.704767878,113.4721922,3.825252007,0.0,0.568266986,12.50205896,2.55017695,2.273030106,0.0,0.0,3.409506631,0.0,2.411632374,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,12.50205896,0.568266986,1.275097431,0.568266986,0.0,0.0,0.568266986,1.136534943,0.0,2.841315689,12.50205896,1.275097431,0.0,1.275097431,0.007551839,0.008373212,0.043504808,0.062689755,0.0,0.005364625,0.0,0.0,0.0,0.0,0.046006262000000006,0.0,0.281297563,0.0,0.0,0.031295209,0.355755445,0.006533653,0.010261959,0.0,1.0,1.0,"[[0], [3]]"
4x4,4.746454866,0.0,0.0,0.0,0.0,2.273030106,2.373261425,0.568266986,0.0,2.373261425,7.119700307,0.0,3.409506631,0.0,0.0,1.704767878,1.704767878,0.0,0.0,0.0,0.568266986,7.019484972,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,23.967619125,7.387257951,0.0,0.0,0.0,0.0,0.568266986,0.0,2.373261425,0.0,4.646291531,0.0,0.568266986,33.22157552,0.0,0.0,1.704767878,1.704767878,0.0,2.941528411,0.568266986,0.0,0.0,12.50205896,2.373261425,0.568266986,0.0,0.0,2.373261425,17.748183073,0.568266986,10.06127489,0.568266986,0.568266986,7.687967293,0.0,0.0,0.0,2.373261425,2.273030106,0.0,0.0,12.701958202,0.0,2.373261425,12.432976966,1.136534943,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,0.0,0.0,1.136534943,0.0,3.977829304,0.0,0.568266986,1.704767878,40.91794659,0.568266986,0.0,7.119700307,3.977829304,0.0,0.0,1.704767878,23.73432141,0.0,0.0,0.568266986,12.50205896,4.746454866,2.273030106,0.0,0.0,10.529206938,0.0,1.136534943,0.568266986,0.0,0.0,33.22157552,6.351090729,4.546001721,12.50205896,0.568266986,0.0,0.568266986,4.746454866,0.0,0.568266986,1.136534943,0.0,2.841315689,12.50205896,0.0,0.0,2.373261425,0.007551839,0.020032478,0.03601053,0.046708295999999996,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.024325537,0.0,0.0,0.006760343,0.0,0.027940554,0.39284564899999996,0.017149055,0.010261959,0.0,1.0,1.0,"[[0], [4]]"
5x5,1.448612149,2.897265563,2.134272222,2.742570586,2.056961717,0.0,0.0,12.34135683,0.0,0.0,4.268530065,0.0,2.056961717,0.0,0.685660073,1.448612149,6.170839465,0.685660073,0.0,6.933761766,0.685660073,0.685660073,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,2.134272222,1.371264502,0.0,0.685660073,0.0,0.685660073,5.031549849,0.685660073,0.685660073,10.14037987,0.685660073,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,7.619451614,0.0,0.0,0.0,7.851500783,1.448612149,2.819876651,0.0,0.685660073,0.0,0.0,0.0,0.0,0.0,2.742570586,0.685660073,1.371264502,9.222767334,15.93557709,0.0,18.598474046,0.0,0.685660073,0.0,0.0,0.0,1.448612149,0.0,0.0,1.371264502,0.0,2.134272222,0.685660073,1.371264502,14.630849156,0.0,7.011139288999999,13.71295816,24.68029451,1.371264502,1.371264502,1.448612149,0.685660073,0.0,0.685660073,0.685660073,123.82230397299999,0.0,0.685660073,0.685660073,2.134272222,4.345889776,5.485149617,0.0,0.685660073,8.913339965,2.819876651,3.428228268,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,15.08421982,0.0,0.0,8.913339965,8.913339965,0.0,0.685660073,0.0,0.685660073,4.113873726,9.676238488000001,1.371264502,0.0,4.345889776,0.008201873,0.00491609,0.025257606,0.062403,0.0,0.0,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.42344989099999997,0.0,0.024693544,0.0,0.44731371099999995,0.0,0.0,0.0,1.0,1.0,"[[1], [0]]"
6x6,2.032145239,0.677374359,2.040438237,4.7747158249999995,2.056961717,2.032145239,2.032145239,13.018731189,0.0,0.0,2.048638861,1.354778164,2.056961717,0.677374359,0.685660073,6.096431255,11.589878253,1.363034432,1.354778164,6.162523976,4.072582955,3.3951995740000003,0.0,0.685660073,0.0,0.685660073,0.0,3.3951995740000003,1.363034432,0.0,0.685660073,2.040438237,24.675071379000002,2.709539501,0.0,0.0,2.7178053120000003,2.048638861,0.0,1.363034432,0.677374359,0.685660073,1.363034432,1.363034432,0.685660073,19.64429232,0.685660073,10.962333739,2.048638861,19.866697864,0.0,1.363034432,0.0,5.419038788,0.677374359,13.705511409,3.3951995740000003,11.589878253,0.0,0.677374359,0.677374359,12.217881837,0.0,4.080804003,0.677374359,0.685660073,4.06430671,0.0,0.0,1.354778164,1.354778164,7.484264013000001,0.685660073,1.371264502,8.847267056,0.0,0.0,12.919831076,1.354778164,1.363034432,0.0,0.0,0.0,0.677374359,0.0,0.0,1.371264502,1.354778164,0.685660073,1.363034432,2.726042666,12.317104619,0.0,4.791248084999999,17.099881042,24.68029451,1.371264502,2.048638861,0.0,1.363034432,1.354778164,2.040438237,0.685660073,43.357350223000005,0.0,0.685660073,0.685660073,0.685660073,4.06430671,6.839927781,0.0,2.040438237,12.977646675,2.726042666,4.783006432,0.0,0.0,0.0,22.363411993,0.685660073,4.113873726,15.08421982,0.0,1.354778164,8.913339965,8.913339965,0.0,1.363034432,0.0,0.685660073,4.791248084999999,8.227626339,1.371264502,0.677374359,0.0,0.08281185,0.00491609,0.0,0.024191106,0.0,0.0,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.236260519,0.0,0.024693544,0.0,0.28115477899999997,0.246967114,0.0,0.0,1.0,1.0,"[[1], [1]]"
7x7,12.91874249,12.91874249,0.685660073,2.742570586,2.056961717,1.291975653,0.0,12.34135683,0.0,0.0,2.663240155,1.291975653,2.056961717,0.0,0.685660073,0.0,7.462815118,0.685660073,0.0,5.485149617,1.977635726,0.685660073,0.0,0.685660073,0.0,0.685660073,2.583933973,0.685660073,0.685660073,0.0,0.685660073,0.685660073,29.165635026,0.0,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,0.0,1.977635726,1.977635726,0.685660073,0.685660073,0.0,0.685660073,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,0.0,0.0,13.02813705,1.977635726,6.170839465,0.0,0.0,0.0,9.808814426,3.875958493,1.371264502,0.0,0.685660073,0.0,0.0,0.0,1.291975653,0.0,2.742570586,0.685660073,1.371264502,8.596166274,0.0,0.0,4.113873726,0.0,1.977635726,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,0.0,0.685660073,0.685660073,1.371264502,10.28495938,0.0,4.113873726,13.71295816,24.68029451,1.371264502,1.371264502,1.291975653,0.685660073,0.0,0.685660073,0.685660073,26.526740913,0.0,0.685660073,0.685660073,0.685660073,1.291975653,5.485149617,0.0,0.685660073,11.497273938000001,1.371264502,4.7202039209999995,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,15.08421982,0.0,0.0,8.913339965,10.205315618,2.583933973,0.685660073,1.291975653,0.685660073,4.113873726,12.103584832000001,1.371264502,0.0,1.291975653,0.021712484,0.00491609,0.013472806,0.038268964,0.0,0.0,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.348015285,0.0,0.024693544,0.0,0.277952375,0.052916666,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,5.100283239,7.650475889,1.960757504,4.017668017,3.332059148,0.0,0.0,12.34135683,0.0,0.0,9.021740391,0.0,3.332059148,0.0,0.685660073,0.0,8.721016415000001,1.960757504,0.0,8.035326567,3.235837023,3.235837023,1.275097431,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,26.54787397,3.825252007,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,0.0,0.685660073,7.060965329,0.685660073,0.685660073,6.375305256,0.685660073,10.28495938,1.371264502,19.787017131,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,6.170839465,0.0,0.0,0.0,7.157244956,0.0,1.371264502,0.0,0.685660073,1.275097431,0.0,0.0,1.275097431,0.0,2.742570586,0.685660073,1.371264502,17.452727298,14.02449903,0.0,13.039319019999999,0.0,0.685660073,0.0,2.55017695,0.0,0.0,0.0,0.0,1.371264502,0.0,0.685660073,0.685660073,1.371264502,12.835136330000001,0.0,4.113873726,13.71295816,29.780577749,1.371264502,1.371264502,1.275097431,0.685660073,0.0,0.685660073,0.685660073,114.15785227299999,3.825252007,0.685660073,0.685660073,0.685660073,2.55017695,5.485149617,0.0,0.685660073,8.913339965,1.371264502,4.703325699,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,15.08421982,0.0,1.275097431,8.913339965,8.913339965,0.0,0.685660073,0.0,0.685660073,4.113873726,8.227626339,2.646361933,0.0,1.275097431,0.0,0.013289302,0.023082604,0.05962648500000001,0.0,0.005364625,0.019721556,0.0,0.0,0.0,0.050329232,0.0,0.517558082,0.0,0.024693544,0.031295209,0.294010868,0.006533653,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,4.746454866,0.0,0.685660073,2.742570586,2.056961717,0.0,2.373261425,12.34135683,0.0,2.373261425,8.490964809,0.0,2.056961717,0.0,0.685660073,0.0,6.170839465,0.685660073,0.0,5.485149617,0.685660073,5.432114939,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,26.370958445,0.0,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,2.373261425,0.685660073,3.058921498,0.685660073,0.685660073,33.22157552,0.685660073,10.28495938,1.371264502,18.5119197,0.0,3.058921498,0.0,0.0,0.0,13.02813705,3.058921498,6.170839465,0.0,0.0,2.373261425,18.668609847,0.0,10.864272406000001,0.0,0.685660073,7.119700307,0.0,0.0,0.0,2.373261425,2.742570586,0.685660073,1.371264502,8.174683133999999,0.0,2.373261425,15.978583706,0.0,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,0.0,0.685660073,0.685660073,1.371264502,10.28495938,0.0,4.113873726,13.71295816,24.68029451,1.371264502,1.371264502,7.119700307,0.685660073,0.0,0.685660073,0.685660073,24.419981483,0.0,0.685660073,0.685660073,0.685660073,4.746454866,5.485149617,0.0,0.685660073,16.033040272,1.371264502,3.428228268,0.0,0.0,0.0,33.907235593,3.058921498,4.113873726,15.08421982,0.0,0.0,8.913339965,13.659794831,0.0,0.685660073,0.0,0.685660073,4.113873726,8.227626339,1.371264502,0.0,2.373261425,0.0,0.024948567999999997,0.015588326,0.043645026,0.0,0.004387271,0.031035977,0.0,0.0,0.0,0.028648507,0.0,0.236260519,0.006760343,0.024693544,0.027940554,0.331101072,0.017149055,0.0,0.0,1.0,1.0,"[[1], [4]]"
