coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature1,Ependymal,ODImmature1 Ependymal
0x0,0.0,6.362579546,0.0,0.0,0.0,14.997639716,6.362579546,13.292876596,0.0,0.0,12.72460961,0.0,3.409506631,0.0,0.0,1.704767878,1.704767878,0.0,0.0,19.08630255,6.930846532,8.635609652,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,20.111867561,0.0,0.0,6.362579546,0.0,0.568266986,0.0,0.0,0.0,2.273030106,0.0,0.568266986,0.0,0.0,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,0.568266986,12.72460961,0.0,0.0,1.136534943,0.568266986,0.568266986,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,12.72460961,2.273030106,0.0,0.0,116.12467123600001,0.0,0.0,6.930846532,1.136534943,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,0.0,0.0,1.136534943,0.0,3.977829304,0.0,0.568266986,1.704767878,40.91794659,0.568266986,19.08630255,0.0,10.34040885,0.0,0.0,1.704767878,0.0,0.0,6.362579546,0.568266986,12.50205896,6.362579546,8.635609652,0.0,0.0,3.409506631,0.0,1.136534943,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,18.864638506,0.568266986,0.0,0.568266986,0.0,0.0,0.568266986,1.136534943,0.0,9.203895235000001,12.50205896,0.0,0.0,6.362579546,0.007551839,0.127919227,0.020422204,0.070051921,0.0,0.144848449,0.0,1.628028072,0.0,0.0,0.052666178,0.0,1.390451848,0.0,0.0722153,0.0,0.29799868999999996,0.0,0.044377345,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.274911387,0.41237493,2.886511884,0.96218522,1.237072195,29.211331616,1.237072195,1.3930028170000002,0.0,0.41237493,5.223289438,0.137454413,3.409506631,0.137454413,0.137454413,2.117142808,4.728786668,1.237072195,7.422480225,0.824735831,30.393048006,5.984321866,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,3.179869944,0.137454413,1.686350443,0.705721399,23.106359811,7.799632881,0.0,0.137454413,6.185384288,1.237072195,0.980641916,0.5498155,0.274911387,0.137454413,2.410484519,0.41237493,0.843178373,1.649476062,0.687252188,0.137454413,1.704767878,3.35424394,0.0,0.843178373,0.568266986,2.33672181,2.061822428,12.639513373,0.41237493,2.492621364,0.824735831,1.512002111,0.0,8.833946076,5.379121471,3.45477887,0.568266986,0.568266986,0.980641916,0.41237493,0.0,0.274911387,6.047904326,5.571956409,0.41237493,0.687252188,65.139024436,0.0,0.5498155,4.417019301,1.41144633,0.0,0.0,1.099616611,3.71129176,0.0,1.686350443,0.41237493,2.666953098,0.5498155,0.0,1.548909873,0.137454413,4.940014524,0.0,2.6300894140000004,2.254583378,40.91794659,1.118082486,3.573829803,0.5498155,7.001848094,0.137454413,0.137454413,2.3920200659999997,0.137454413,3.298926303,0.0,0.568266986,12.50205896,0.0,4.747191580000001,0.41237493,0.274911387,4.509123242,0.5498155,1.548909873,0.705721399,0.137454413,0.5498155,1.099616611,9.750968485000001,8.394754036,15.938451844,0.568266986,0.41237493,0.568266986,1.099616611,0.824735831,0.568266986,1.41144633,2.199263417,6.415145492000001,14.976220434,0.137454413,0.274911387,7.559925798,0.007551839,0.143215226,0.043800024,0.0855963,0.0,0.138245652,0.0,1.373558828,0.0,0.0,0.042337309000000004,0.0,1.528715671,0.0,0.084820791,0.0,0.290060269,0.0,0.044517842,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.38640463,0.38640463,0.772801049,3.091287509,0.38640463,38.204789706,0.38640463,9.841331133999999,0.0,0.772801049,5.409733898,0.0,3.409506631,0.38640463,1.545599049,2.091172508,5.182416398,1.932040737,3.091287509,1.159235441,34.959850945999996,3.818629155,1.159235441,0.38640463,0.38640463,1.545599049,0.772801049,1.932040737,4.8187589730000004,0.38640463,1.522939573,0.568266986,24.299202333,8.932857,0.0,0.0,5.796103746,0.772801049,0.568266986,0.38640463,0.38640463,0.0,3.045831155,0.0,0.568266986,0.38640463,0.38640463,0.772801049,2.091172508,2.864003319,0.38640463,1.3410680350000002,0.568266986,1.545599049,0.38640463,13.661294401,0.38640463,4.045915506,0.772801049,0.38640463,1.159235441,6.159772609,4.8187589730000004,2.8866766540000004,0.568266986,1.7275024270000001,0.568266986,0.38640463,0.0,0.38640463,4.636895712,4.977874739000001,0.38640463,0.38640463,35.393565546,0.0,0.0,3.273111619,1.136534943,0.38640463,0.38640463,0.772801049,3.091287509,0.38640463,1.909335992,0.0,4.409612511,0.38640463,0.0,2.295770384,0.0,5.523428353,0.0,4.045915506,2.477568927,40.91794659,2.113866035,1.545599049,1.159235441,5.523428353,0.772801049,0.0,4.023177546,0.38640463,4.636895712,0.772801049,0.568266986,13.274860009,0.38640463,5.750678626,0.38640463,0.38640463,4.18230768,0.0,1.522939573,0.9546716160000001,0.0,0.0,0.772801049,7.841901361,11.114853491,15.206903593,0.568266986,1.159235441,0.568266986,7.341804357,0.38640463,1.3410680350000002,1.136534943,1.932040737,4.773356425999999,12.888463589999999,0.0,0.0,3.864072057,0.007551839,0.034317803,0.020422204,0.097422473,0.0,0.043316318,0.0,0.581248039,0.0,0.0,0.092017565,0.0,0.545859432,0.0,0.070020258,0.040490214,0.41949724,0.184977216,0.022894548,0.016971307,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,0.851356265,1.702713432,0.851356265,41.433612296,0.851356265,0.568266986,2.55410292,0.0,4.256782398,0.851356265,3.409506631,0.0,0.851356265,1.704767878,4.258870798,3.405447195,11.0670191,0.851356265,39.728849176,5.678477301,0.851356265,0.0,0.0,0.0,0.851356265,0.0,4.825049384000001,0.0,2.839248375,0.568266986,22.445713965,8.238614216,0.0,0.0,4.256782398,3.405447195,0.568266986,0.851356265,0.0,1.702713432,2.273030106,0.0,0.568266986,2.55410292,0.0,0.0,1.704767878,4.258870798,0.851356265,0.568266986,0.568266986,4.256782398,0.851356265,12.50205896,0.0,3.1223699060000003,2.55410292,0.851356265,0.851356265,8.798770708,2.2709804179999997,2.2709804179999997,0.568266986,3.1223699060000003,1.419623251,1.702713432,0.851356265,0.0,5.108154309,3.124386371,0.0,0.0,72.66074243599999,0.0,1.702713432,4.825049384000001,1.987891208,0.851356265,0.0,4.256782398,1.702713432,0.0,1.987891208,1.702713432,3.4074813099999997,0.0,0.0,1.136534943,0.851356265,3.977829304,1.702713432,1.419623251,1.704767878,40.91794659,1.419623251,4.256782398,0.0,5.680542736,0.0,0.851356265,3.4074813099999997,0.0,2.55410292,0.0,0.568266986,12.50205896,0.0,4.827133026,0.0,0.0,3.409506631,0.0,1.136534943,0.568266986,0.0,1.702713432,0.0,10.788709920999999,13.911734289,14.204772391999999,0.568266986,0.851356265,0.568266986,3.405447195,0.851356265,0.568266986,1.136534943,1.702713432,7.949469998,15.05616188,0.851356265,2.55410292,6.810880617,0.007551839,0.093853095,0.020422204,0.09930180599999999,0.0,0.108339982,0.0,1.022320573,0.0,0.0,0.07168798800000001,0.0,1.135157912,0.0,0.077556373,0.001605037,0.290060269,0.0,0.020518567,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,0.92774684,1.855485768,1.855485768,40.312148356,2.783293202,1.496013826,0.0,0.92774684,9.277796159,0.0,4.337253471,0.0,0.0,1.704767878,5.41584268,1.855485768,7.422092365,0.0,42.314711736,2.273030106,0.0,0.92774684,0.0,0.0,0.92774684,0.0,0.568266986,0.0,1.136534943,1.496013826,21.5943577,7.387257951,0.0,0.0,3.711074802,0.92774684,1.496013826,0.0,0.0,2.783293202,2.273030106,0.0,0.568266986,0.0,1.855485768,0.92774684,1.704767878,1.704767878,0.0,2.423752754,0.568266986,0.92774684,0.0,12.50205896,0.0,1.496013826,0.92774684,0.0,0.0,9.486284974,3.3515601879999997,0.568266986,0.568266986,1.496013826,0.568266986,0.92774684,0.92774684,0.0,7.422092365,7.839621603,0.0,0.0,64.552521466,0.0,0.0,4.279341788,1.136534943,0.0,0.92774684,0.92774684,3.711074802,0.92774684,2.064281783,0.0,7.271359375,0.92774684,0.0,2.9920207110000003,0.0,3.977829304,0.0,1.496013826,2.632514718,40.91794659,0.568266986,6.494281465,0.0,6.7611225059999995,0.0,0.0,3.560253646,0.0,1.855485768,0.0,0.568266986,12.50205896,0.0,3.2007769460000004,0.0,0.0,4.337253471,0.92774684,1.136534943,0.568266986,0.0,0.0,0.92774684,14.182523294000001,10.112593218,13.429805799999999,0.568266986,0.0,0.568266986,0.92774684,0.0,0.568266986,1.136534943,2.783293202,3.769062529,17.140901923,0.0,0.0,7.422092365,0.007551839,0.125387275,0.05461379,0.102659249,0.0,0.129892172,0.0,1.185848208,0.0,0.0,0.043852698,0.0,1.140079959,0.0,0.051228194,0.0,0.290060269,0.023021592,0.064983947,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,6.362579546,0.685660073,2.742570586,2.056961717,12.72460961,6.362579546,25.06596644,0.0,0.0,14.095874112,0.0,2.056961717,0.0,0.685660073,0.0,6.170839465,0.685660073,0.0,24.571452167,7.048239619,7.048239619,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,12.72460961,0.0,0.0,7.048239619,1.371264502,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.685660073,0.0,0.685660073,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,6.170839465,12.72460961,0.0,0.0,2.056961717,0.0,1.371264502,0.0,0.685660073,0.0,0.0,0.0,0.0,12.72460961,2.742570586,0.685660073,1.371264502,111.597396168,0.0,0.0,10.476453272,0.0,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,0.0,0.685660073,0.685660073,1.371264502,10.28495938,0.0,4.113873726,13.71295816,24.68029451,1.371264502,20.457567051999998,0.0,7.048239619,0.0,0.685660073,0.685660073,0.685660073,0.0,7.048239619,0.685660073,0.685660073,6.362579546,11.847729163,0.0,0.685660073,8.913339965,1.371264502,3.428228268,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,21.446799366,0.0,0.0,8.913339965,8.913339965,0.0,0.685660073,0.0,0.685660073,10.476453272,8.227626339,1.371264502,0.0,6.362579546,0.0,0.132835317,0.0,0.066988651,0.0,0.144848449,0.019721556,1.628028072,0.0,0.0,0.056989148,0.0,1.626712367,0.0,0.096908844,0.0,0.236254113,0.0,0.034115386,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.274911387,0.41237493,3.572171957,3.7047558059999997,3.294033912,26.93830151,1.237072195,13.166092661,0.0,0.41237493,6.59455394,0.137454413,2.056961717,0.137454413,0.8231144859999999,0.41237493,9.194858255,1.922732268,7.422480225,6.309885448,30.510441093,4.396951833,0.41237493,0.9605714599999999,0.5498155,1.372912261,0.41237493,1.372912261,3.297263031,0.137454413,1.235475573,0.8231144859999999,25.509699131,0.41237493,0.0,0.137454413,6.871044361,2.6083366970000004,0.41237493,1.235475573,0.274911387,0.8231144859999999,0.8231144859999999,1.098035003,0.9605714599999999,1.649476062,1.372912261,10.422413793,1.371264502,20.161395762,0.0,0.9605714599999999,0.0,2.33672181,2.061822428,13.165591463,1.098035003,8.095193843,0.824735831,1.512002111,0.0,9.75437285,4.810854485,4.257776386,0.0,0.685660073,0.41237493,0.41237493,0.0,0.274911387,6.047904326,6.041496888999999,1.098035003,2.0585166900000003,60.611749368,0.0,0.5498155,7.962626041,0.274911387,0.685660073,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,2.333449722,0.5498155,0.685660073,1.098035003,1.508718915,11.2471446,0.0,6.175696154,14.262773659999999,24.68029451,1.921080002,4.9450943050000005,0.5498155,3.7096788629999997,0.137454413,0.8231144859999999,1.372912261,0.8231144859999999,3.298926303,0.685660073,0.685660073,0.685660073,0.0,7.959311091,0.41237493,0.9605714599999999,10.012956576,1.921080002,3.8406031979999997,0.137454413,0.137454413,0.5498155,1.785276684,6.4587992540000005,7.962626041,18.520612704,0.0,0.41237493,8.913339965,10.012956576,0.824735831,0.685660073,0.274911387,2.8849234900000003,7.687703529,10.701787813000001,1.508718915,0.274911387,7.559925798,0.0,0.148131316,0.02337782,0.08253303000000001,0.0,0.138245652,0.019721556,1.373558828,0.0,0.0,0.046660279,0.0,1.76497619,0.0,0.109514335,0.0,0.228315692,0.0,0.034255883,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.38640463,0.38640463,1.458461122,5.833858095,2.443366347,35.9317596,0.38640463,21.614420978,0.0,0.772801049,6.7809984,0.0,2.056961717,0.38640463,2.231259122,0.38640463,9.648487985,2.6177008099999997,3.091287509,6.644385058,35.077244033,2.231259122,1.159235441,1.0720647030000001,0.38640463,2.231259122,0.772801049,2.6177008099999997,4.93615206,0.38640463,1.0720647030000001,0.685660073,26.702541653,1.545599049,0.0,0.0,6.481763819,2.144065551,0.0,1.0720647030000001,0.38640463,0.685660073,1.458461122,0.685660073,0.685660073,0.38640463,1.0720647030000001,11.057760429,1.7576691320000002,19.671155141,0.38640463,1.458461122,0.0,1.545599049,0.38640463,14.187372491,1.0720647030000001,9.648487985,0.772801049,0.38640463,1.159235441,7.080199383,4.250491987,3.68967417,0.0,1.844895514,0.0,0.38640463,0.0,0.38640463,4.636895712,5.447415219,1.0720647030000001,1.7576691320000002,30.866290477999996,0.0,0.0,6.818718359,0.0,1.0720647030000001,0.38640463,0.772801049,3.091287509,0.38640463,0.772801049,0.0,4.076109135,0.38640463,0.685660073,1.844895514,1.371264502,11.830558429,0.0,7.591522245999999,14.485759209,24.68029451,2.916863551,2.916863551,1.159235441,2.231259122,0.772801049,0.685660073,3.0040697410000003,1.0720647030000001,4.636895712,1.458461122,0.685660073,1.458461122,0.38640463,8.962798137,0.38640463,1.0720647030000001,9.686141014,1.371264502,3.8146328979999997,0.38640463,0.0,0.0,1.458461122,4.54973213,10.682725496,17.789064452999998,0.0,1.159235441,8.913339965,16.255144322,0.38640463,1.458461122,0.0,2.6177008099999997,6.045914462999999,8.614030969,1.371264502,0.0,3.864072057,0.0,0.039233893,0.0,0.094359203,0.0,0.043316318,0.019721556,0.581248039,0.0,0.0,0.096340535,0.0,0.782119951,0.0,0.094713802,0.040490214,0.35775266299999997,0.184977216,0.012632589,0.016971307,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,1.537016338,4.445284018,2.908317982,39.16058219,0.851356265,12.34135683,2.55410292,0.0,5.6280469,0.851356265,2.056961717,0.0,1.537016338,0.0,8.724942385,4.091107268,11.0670191,6.336505882,39.846242263,4.091107268,0.851356265,0.685660073,0.0,0.685660073,0.851356265,0.685660073,4.942442471000001,0.0,2.3883735049999997,0.685660073,24.849053285,0.851356265,0.0,0.0,4.942442471000001,4.776711697,0.0,1.537016338,0.0,2.3883735049999997,0.685660073,0.685660073,0.685660073,2.55410292,0.685660073,10.28495938,1.371264502,21.06602262,0.851356265,0.685660073,0.0,4.256782398,0.851356265,13.02813705,0.685660073,8.724942385,2.55410292,0.851356265,0.851356265,9.719197482,1.702713432,3.073977934,0.0,3.2397629930000003,0.851356265,1.702713432,0.851356265,0.0,5.108154309,3.593926851,0.685660073,1.371264502,68.133467368,0.0,1.702713432,8.370656124,0.851356265,1.537016338,0.0,4.256782398,1.702713432,0.0,0.851356265,1.702713432,3.073977934,0.0,0.685660073,0.685660073,2.222620767,10.28495938,1.702713432,4.965229990999999,13.71295816,24.68029451,2.222620767,5.6280469,0.0,2.3883735049999997,0.0,1.537016338,2.3883735049999997,0.685660073,2.55410292,0.685660073,0.685660073,0.685660073,0.0,8.039252537,0.0,0.685660073,8.913339965,1.371264502,3.428228268,0.0,0.0,1.702713432,0.685660073,7.49654069,13.479606294,16.786933252,0.0,0.851356265,8.913339965,12.31878716,0.851356265,0.685660073,0.0,2.3883735049999997,9.222028035,10.781729259,2.222620767,2.55410292,6.810880617,0.0,0.098769185,0.0,0.096238536,0.0,0.108339982,0.019721556,1.022320573,0.0,0.0,0.076010958,0.0,1.371418431,0.0,0.102249917,0.001605037,0.228315692,0.0,0.010256608,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,1.613406913,4.598056354,3.9124474850000004,38.03911825,2.783293202,13.26910367,0.0,0.92774684,10.649060661,0.0,2.9847085570000003,0.0,0.685660073,0.0,9.881914267,2.541145841,7.422092365,5.485149617,42.432104823,0.685660073,0.0,1.613406913,0.0,0.685660073,0.92774684,0.685660073,0.685660073,0.0,0.685660073,1.613406913,23.99769702,0.0,0.0,0.0,4.396734875,2.299011342,0.92774684,0.685660073,0.0,3.4689532749999996,0.685660073,0.685660073,0.685660073,0.0,2.541145841,11.21270622,1.371264502,18.5119197,0.0,2.541145841,0.0,0.92774684,0.0,13.02813705,0.685660073,7.098586305,0.92774684,0.0,0.0,10.406711748,2.783293202,1.371264502,0.0,1.613406913,0.0,0.92774684,0.92774684,0.0,7.422092365,8.309162083,0.685660073,1.371264502,60.025246398,0.0,0.0,7.824948528,0.0,0.685660073,0.92774684,0.92774684,3.711074802,0.92774684,0.92774684,0.0,6.937855999,0.92774684,0.685660073,2.541145841,1.371264502,10.28495938,0.0,5.041620566,14.640704999999999,24.68029451,1.371264502,7.865545967,0.0,3.4689532749999996,0.0,0.685660073,2.541145841,0.685660073,1.855485768,0.685660073,0.685660073,0.685660073,0.0,6.412896457,0.0,0.685660073,9.841086805,2.299011342,3.428228268,0.0,0.0,0.0,1.613406913,10.890354063,9.680465222999999,16.01196666,0.0,0.0,8.913339965,9.841086805,0.0,0.685660073,0.0,3.4689532749999996,5.041620566,12.866469302,1.371264502,0.0,7.422092365,0.0,0.130303365,0.034191586,0.099595979,0.0,0.129892172,0.019721556,1.185848208,0.0,0.0,0.048175668000000005,0.0,1.376340478,0.0,0.075921738,0.0,0.228315692,0.023021592,0.054721988,0.0,1.0,1.0,"[[1], [4]]"
