coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature1,Microglia,permutationTracker
0x0,0.891907941,0.0,15.16218226,0.0,0.0,21.001799666,0.0,2.35207961,0.0,0.0,1.783812624,0.891907941,3.409506631,0.0,0.0,2.596675819,3.488580502,0.891907941,0.0,0.0,0.568266986,4.0568427300000005,0.0,0.0,0.0,0.0,0.0,0.0,1.4601749270000002,0.0,1.136534943,0.568266986,31.406207406,16.306306136,0.0,0.0,0.0,0.891907941,0.568266986,0.0,0.0,0.891907941,2.273030106,0.891907941,0.568266986,0.0,0.0,0.891907941,3.488580502,1.704767878,0.0,0.568266986,1.4601749270000002,0.0,0.891907941,13.393966900999999,0.0,7.703687383,0.891907941,0.891907941,0.0,4.704155302,1.4601749270000002,0.568266986,0.568266986,0.568266986,1.4601749270000002,0.0,0.0,0.0,0.0,4.0568427300000005,0.0,0.0,27.576041716,0.0,0.0,0.568266986,1.136534943,15.16218226,0.0,0.0,0.891907941,0.0,1.136534943,0.0,1.704767878,1.783812624,0.0,1.136534943,0.0,7.545449663,0.0,3.24405113,3.488580502,40.91794659,2.35207961,3.567620359,0.0,6.653613448,0.0,0.0,1.704767878,0.0,0.0,0.0,0.568266986,58.88259829,0.0,10.300374268,0.891907941,0.0,12.328554816,0.0,4.704155302,0.568266986,0.891907941,0.0,0.0,12.896877489,9.005591349,19.637479357,0.568266986,0.0,0.568266986,1.783812624,0.0,0.568266986,2.028442884,0.0,3.73322363,12.50205896,0.0,0.891907941,12.48652308,0.033900689,0.005579243,0.045285642,0.068125595,0.0,0.0,0.0,0.0,0.0,0.0,0.038563588,0.0,0.029409093,0.0,0.0,0.000762815,0.505806691,0.0,0.010261959,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,0.0,0.0,0.0,8.295178454,0.0,0.568266986,0.0,0.0,0.0,6.022148348,3.409506631,0.0,0.0,1.704767878,13.748443798,0.0,0.0,0.0,0.568266986,2.273030106,0.0,0.0,0.0,6.022148348,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,0.0,0.0,0.568266986,0.0,0.0,0.0,14.316706026,0.0,0.568266986,0.0,6.022148348,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,6.022148348,0.0,12.50205896,0.0,0.568266986,0.0,6.022148348,0.0,1.136534943,0.568266986,0.568266986,0.568266986,6.590415334,0.568266986,0.0,0.0,0.0,0.0,26.362991896,0.0,0.0,7.955503336,0.0,0.0,0.568266986,1.136534943,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,0.0,6.022148348,1.136534943,0.0,3.977829304,0.0,0.568266986,1.704767878,40.91794659,0.568266986,0.0,0.0,3.977829304,0.0,6.022148348,13.748443798,0.0,0.0,0.0,0.568266986,114.87336416,0.0,2.273030106,0.0,0.0,3.409506631,0.0,7.158683291,0.568266986,0.0,0.0,0.0,9.999977652,4.546001721,12.50205896,0.568266986,0.0,0.568266986,12.04367592,6.022148348,0.568266986,1.136534943,0.0,2.841315689,12.50205896,0.0,0.0,0.0,0.009939241,0.0,0.040100792999999996,0.044221234,0.002447184,0.0,0.0,0.0,0.0,0.0,0.024325537,0.0,0.0,0.0,0.0,0.0,0.44456043599999995,0.005567434,0.010653059999999999,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,2.889914001,0.0,2.889914001,0.0,2.273030106,1.444950101,0.568266986,0.0,0.0,1.444950101,0.0,3.409506631,0.0,1.444950101,8.929656014999999,11.819525588,1.444950101,0.0,0.0,0.568266986,2.273030106,0.0,0.0,1.444950101,0.0,1.444950101,1.444950101,2.013217087,0.0,1.136534943,0.568266986,24.484271701,10.277171952,0.0,0.0,0.0,0.0,0.568266986,0.0,0.0,0.0,2.273030106,0.0,0.568266986,0.0,0.0,0.0,1.704767878,3.149717979,0.0,0.568266986,0.568266986,4.334945658,1.444950101,12.50205896,0.0,4.903212644,0.0,8.669855849,0.0,1.136534943,0.568266986,3.4581809870000004,0.568266986,0.568266986,0.568266986,1.444950101,0.0,0.0,0.0,2.273030106,0.0,1.444950101,9.400453437,0.0,0.0,0.568266986,5.471480601,0.0,0.0,0.0,2.889914001,0.0,1.136534943,0.0,1.704767878,1.444950101,0.0,1.136534943,0.0,9.75767797,0.0,2.013217087,1.704767878,42.362896691,0.568266986,1.444950101,0.0,3.977829304,0.0,0.0,11.819525588,0.0,0.0,0.0,0.568266986,77.52578043,0.0,18.169656445999998,0.0,0.0,12.07936248,0.0,4.026448944,0.568266986,0.0,1.444950101,0.0,6.867743305,4.546001721,13.947009061,0.568266986,0.0,0.568266986,4.334945658,0.0,0.568266986,2.581485044,1.444950101,4.28626579,13.947009061,0.0,0.0,0.0,0.007551839,0.0,0.03263145,0.040873977,0.0,0.0,0.0,0.0,0.0,0.0,0.024325537,0.0,0.287508189,0.0,0.0,0.103260324,0.319464621,0.31084095,0.010261959,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.96942751,24.23480772,0.96942751,0.484704415,22.146757146,0.0,2.022410749,0.484704415,0.0,0.96942751,0.484704415,6.80249446,0.96942751,0.0,1.704767878,3.643567667,0.484704415,0.0,0.484704415,0.568266986,3.7271738690000005,0.0,0.484704415,0.0,0.0,0.0,0.0,2.9918431969999997,0.0,1.136534943,1.537694496,27.895486333,18.535124150999998,0.0,0.0,1.454143763,0.484704415,0.568266986,0.0,0.484704415,0.0,2.273030106,0.0,0.568266986,0.0,0.0,0.0,3.643567667,1.704767878,0.0,0.568266986,0.568266986,0.0,0.484704415,12.50205896,0.484704415,2.9918431969999997,0.0,0.0,0.0,9.376493004,0.568266986,1.052971401,1.052971401,0.568266986,1.537694496,0.484704415,0.0,0.0,0.484704415,3.2424576160000003,0.0,0.96942751,41.885617096,0.0,0.0,0.568266986,2.105962453,0.0,0.0,0.96942751,0.0,0.0,1.621239358,0.0,3.158911641,0.484704415,0.484704415,1.621239358,0.0,3.977829304,0.0,2.507066775,3.643567667,41.402651005,0.568266986,2.908228973,0.0,9.309670294,0.484704415,0.0,2.189472293,0.0,0.0,0.96942751,0.568266986,50.3081591,0.0,8.089507519000001,0.0,0.0,5.34830642,0.96942751,1.621239358,0.568266986,0.484704415,0.484704415,0.96942751,6.886058277,8.423644601,15.410287933,0.568266986,0.0,0.568266986,0.484704415,0.0,0.568266986,1.621239358,2.423576211,4.780115478,12.50205896,0.484704415,0.0,9.693010665,0.007551839,0.041643241,0.036514129,0.068849648,0.0,0.023056926,0.0,0.085128075,0.0,0.0,0.024325537,0.0,0.641572243,0.0,0.0,0.0,0.299810823,0.0,0.010261959,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,0.0,0.0,1.168652664,4.6103666190000006,0.0,0.568266986,0.0,1.168652664,0.0,0.0,3.409506631,0.0,0.0,1.704767878,6.379429894,0.0,0.0,4.674662016,2.9056034989999997,2.273030106,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,25.10034538,7.387257951,0.0,0.0,0.0,1.168652664,6.411479073000001,0.0,1.168652664,0.0,3.44168277,0.0,0.568266986,4.674662016,1.168652664,2.337336513,1.704767878,1.704767878,0.0,0.568266986,0.568266986,1.168652664,0.0,12.50205896,0.0,4.074254666,0.0,0.0,0.0,8.14851759,0.568266986,0.568266986,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,1.168652664,6.947692122,0.0,0.0,11.461491016,0.0,0.0,1.73691965,2.3051876069999997,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,1.168652664,0.0,2.3051876069999997,0.0,3.977829304,0.0,2.9056034989999997,2.873420542,40.91794659,0.568266986,0.0,0.0,3.977829304,0.0,0.0,2.873420542,26.88046418,0.0,0.0,0.568266986,95.46738911999999,1.168652664,9.285012753,0.0,0.0,11.590084107,2.337336513,1.136534943,0.568266986,0.0,0.0,3.50598768,18.002328333999998,4.546001721,12.50205896,0.568266986,0.0,0.568266986,0.0,0.0,0.568266986,1.136534943,0.0,2.841315689,12.50205896,0.0,0.0,0.0,0.023504799,0.0,0.053602226,0.092991269,0.0,0.001917426,0.0,0.0,0.0,0.0,0.024325537,0.0,0.35975292,0.0,0.0,0.014984944,0.36387411599999997,0.000742606,0.011322285999999999,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.891907941,0.0,15.847842333,2.742570586,2.056961717,18.72876956,0.0,14.125169454,0.0,0.0,3.155077126,0.891907941,2.056961717,0.0,0.685660073,0.891907941,7.9546520890000005,1.5775680140000001,0.0,5.485149617,0.685660073,2.469472697,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,1.5775680140000001,0.0,0.685660073,0.685660073,33.809546726,8.919048185,0.0,0.0,0.685660073,2.263172443,0.0,0.685660073,0.0,1.5775680140000001,0.685660073,1.5775680140000001,0.685660073,0.0,0.685660073,11.176867321,3.155077126,18.5119197,0.0,0.685660073,0.891907941,0.0,0.891907941,13.920044991,0.685660073,13.306259862000001,0.891907941,0.891907941,0.0,5.624582076,0.891907941,1.371264502,0.0,0.685660073,0.891907941,0.0,0.0,0.0,0.0,4.52638321,0.685660073,1.371264502,23.048766647999997,0.0,0.0,4.113873726,0.0,15.847842333,0.0,0.0,0.891907941,0.0,0.0,0.0,1.371264502,1.783812624,0.685660073,0.685660073,1.371264502,13.852579739,0.0,6.789657869999999,15.496770783999999,24.68029451,3.155077126,4.938884861,0.0,3.361444217,0.0,0.685660073,0.685660073,0.685660073,0.0,0.685660073,0.685660073,47.066199403,0.0,13.512493779,0.891907941,0.685660073,17.83238815,1.371264502,6.995848627,0.0,0.891907941,0.0,0.685660073,9.604708257999999,8.573463354,22.219640217,0.0,0.0,8.913339965,10.697152589,0.0,0.685660073,0.891907941,0.685660073,5.005781667,8.227626339,1.371264502,0.891907941,12.48652308,0.02634885,0.010495332999999999,0.024863438,0.065062325,0.0,0.0,0.019721556,0.0,0.0,0.0,0.042886558,0.0,0.265669612,0.0,0.024693544,0.000762815,0.44406211399999995,0.0,0.0,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,0.685660073,2.742570586,2.056961717,6.022148348,0.0,12.34135683,0.0,0.0,1.371264502,6.022148348,2.056961717,0.0,0.685660073,0.0,18.214515385,0.685660073,0.0,5.485149617,0.685660073,0.685660073,0.0,0.685660073,0.0,6.707808421,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,0.0,0.685660073,12.729335993,0.685660073,0.685660073,0.0,6.707808421,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,6.022148348,0.0,13.02813705,0.685660073,6.170839465,0.0,6.022148348,0.0,2.056961717,0.0,1.371264502,0.0,6.707808421,0.0,0.0,0.0,0.0,0.0,26.832532376,0.685660073,1.371264502,3.428228268,0.0,0.0,4.113873726,0.0,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,0.0,6.707808421,0.685660073,1.371264502,10.28495938,0.0,4.113873726,13.71295816,24.68029451,1.371264502,1.371264502,0.0,0.685660073,0.0,6.707808421,12.729335993,0.685660073,0.0,0.685660073,0.685660073,103.05696527299999,0.0,5.485149617,0.0,0.685660073,8.913339965,1.371264502,9.450376616,0.0,0.0,0.0,0.685660073,6.707808421,4.113873726,15.08421982,0.0,0.0,8.913339965,20.957015885,6.022148348,0.685660073,0.0,0.685660073,4.113873726,8.227626339,1.371264502,0.0,0.0,0.002387402,0.00491609,0.019678589,0.041157964000000005,0.002447184,0.0,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.236260519,0.0,0.024693544,0.0,0.382815859,0.005567434,0.000391101,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,2.889914001,0.685660073,5.632484587,2.056961717,0.0,1.444950101,12.34135683,0.0,0.0,2.816214603,0.0,2.056961717,0.0,2.130610174,7.224888137,16.285597175,2.130610174,0.0,5.485149617,0.685660073,0.685660073,0.0,0.685660073,1.444950101,0.685660073,1.444950101,2.130610174,2.130610174,0.0,0.685660073,0.685660073,26.887611021,2.889914001,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.685660073,0.0,0.685660073,10.28495938,1.371264502,19.956869801,0.0,0.685660073,0.0,4.334945658,1.444950101,13.02813705,0.685660073,10.505785122999999,0.0,8.669855849,0.0,2.056961717,0.0,4.261178503,0.0,0.685660073,0.0,1.444950101,0.0,0.0,0.0,2.742570586,0.685660073,2.816214603,4.873178369,0.0,0.0,4.113873726,4.334945658,0.685660073,0.0,0.0,2.889914001,0.0,0.0,0.0,1.371264502,1.444950101,0.685660073,0.685660073,1.371264502,16.064808046,0.0,5.558823826999999,13.71295816,26.125244611,1.371264502,2.816214603,0.0,0.685660073,0.0,0.685660073,10.800417782999999,0.685660073,0.0,0.685660073,0.685660073,65.70938154299999,0.0,21.381775957,0.0,0.685660073,17.583195814,1.371264502,6.318142269,0.0,0.0,1.444950101,0.685660073,3.5755740740000004,4.113873726,16.529169921,0.0,0.0,8.913339965,13.248285623000001,0.0,0.685660073,1.444950101,2.130610174,5.558823826999999,9.67257644,1.371264502,0.0,0.0,0.0,0.00491609,0.012209246,0.037810707,0.0,0.0,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.523768708,0.0,0.024693544,0.103260324,0.257720044,0.31084095,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.96942751,24.920467793,3.711998096,2.541666132,19.87372704,0.0,13.795500593,0.484704415,0.0,2.340692012,0.484704415,5.449949546,0.96942751,0.685660073,0.0,8.109639254000001,1.170364488,0.0,5.969854032000001,0.685660073,2.139803836,0.0,1.170364488,0.0,0.685660073,0.0,0.685660073,3.1092362839999996,0.0,0.685660073,1.655087583,30.298825653,11.1478662,0.0,0.0,2.139803836,1.855968917,0.0,0.685660073,0.484704415,0.685660073,0.685660073,0.685660073,0.685660073,0.0,0.685660073,10.28495938,3.3100642909999998,18.5119197,0.0,0.685660073,0.0,0.0,0.484704415,13.02813705,1.170364488,8.594415676,0.0,0.0,0.0,10.296919778,0.0,1.855968917,0.484704415,0.685660073,0.96942751,0.484704415,0.0,0.0,0.484704415,3.711998096,0.685660073,2.340692012,37.358342027999996,0.0,0.0,4.113873726,0.96942751,0.685660073,0.0,0.96942751,0.0,0.0,0.484704415,0.0,2.825408265,0.484704415,1.170364488,1.170364488,1.371264502,10.28495938,0.0,6.0526735149999995,15.651757949,25.164998925,1.371264502,4.279493475,0.0,6.017501063,0.484704415,0.685660073,1.170364488,0.685660073,0.0,1.655087583,0.685660073,38.491760213,0.0,11.30162703,0.0,0.685660073,10.852139754,2.340692012,3.9129326829999997,0.0,0.484704415,0.484704415,1.655087583,3.593889046,7.991516605999999,17.992448793,0.0,0.0,8.913339965,9.39804438,0.0,0.685660073,0.484704415,3.1092362839999996,6.0526735149999995,8.227626339,1.855968917,0.0,9.693010665,0.0,0.046559330999999995,0.016091925,0.065786378,0.0,0.023056926,0.019721556,0.085128075,0.0,0.0,0.028648507,0.0,0.877832762,0.0,0.024693544,0.0,0.23806624599999998,0.0,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,0.685660073,2.742570586,3.2256143809999998,2.337336513,0.0,12.34135683,0.0,1.168652664,1.371264502,0.0,2.056961717,0.0,0.685660073,0.0,10.845501481,0.685660073,0.0,10.159811633,3.0229965859999997,0.685660073,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,27.5036847,0.0,0.0,0.0,0.685660073,2.539917166,5.843212087,0.685660073,1.168652664,0.685660073,1.8543127369999999,0.685660073,0.685660073,4.674662016,1.8543127369999999,12.622295893,1.371264502,18.5119197,0.0,0.685660073,0.0,1.168652664,0.0,13.02813705,0.685660073,9.676827145,0.0,0.0,0.0,9.068944364,0.0,1.371264502,0.0,0.685660073,0.0,0.0,0.0,0.0,1.168652664,7.417232602,0.685660073,1.371264502,6.934215948,0.0,0.0,5.282526389999999,1.168652664,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,1.168652664,0.685660073,1.8543127369999999,1.371264502,10.28495938,0.0,6.451210239,14.881610824,24.68029451,1.371264502,1.371264502,0.0,0.685660073,0.0,0.685660073,1.8543127369999999,27.566124253,0.0,0.685660073,0.685660073,83.65099023299999,1.168652664,12.497132264000001,0.0,0.685660073,17.093917441000002,3.708601015,3.428228268,0.0,0.0,0.0,4.191647753,14.710159102999999,4.113873726,15.08421982,0.0,0.0,8.913339965,8.913339965,0.0,0.685660073,0.0,0.685660073,4.113873726,8.227626339,1.371264502,0.0,0.0,0.01595296,0.00491609,0.033180022,0.08992799900000001,0.0,0.001917426,0.019721556,0.0,0.0,0.0,0.028648507,0.0,0.596013439,0.0,0.024693544,0.014984944,0.302129539,0.000742606,0.001060327,0.0,1.0,1.0,"[[1], [4]]"
