coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature1,ODMature2,ODImmature1cells,ODMature2cells
0x0,0.0,0.0,0.0,0.0,0.0,4.736169719,0.0,3.0314065990000003,0.0,0.0,0.0,0.0,3.409506631,0.0,0.0,1.704767878,1.704767878,0.0,0.0,0.0,0.568266986,2.273030106,2.463139613,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,0.0,0.0,0.568266986,0.0,27.09312166,0.0,2.273030106,2.463139613,0.568266986,0.0,0.0,4.926250432,1.704767878,6.63101831,0.0,0.568266986,0.568266986,0.0,0.0,34.67067008,2.463139613,0.568266986,0.0,0.0,0.0,1.136534943,0.568266986,0.568266986,0.568266986,3.0314065990000003,0.568266986,0.0,0.0,0.0,7.389382581,2.273030106,0.0,0.0,7.955503336,0.0,0.0,32.590010516,1.136534943,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,4.167907491,0.0,0.0,1.136534943,0.0,3.977829304,0.0,3.0314065990000003,6.63101831,40.91794659,0.568266986,4.926250432,2.463139613,3.977829304,0.0,0.0,1.704767878,0.0,0.0,0.0,0.568266986,12.50205896,0.0,4.736169719,0.0,0.0,32.965752791,0.0,1.136534943,0.568266986,0.0,0.0,0.0,6.440968917,4.546001721,22.353814456,0.568266986,0.0,0.568266986,0.0,2.463139613,0.568266986,1.136534943,0.0,5.304455302,12.50205896,0.0,0.0,32.02174353,0.013501851,0.020191263,0.02392503,0.036202414,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.047333231,0.0,0.0,0.0,0.0,0.006769616,0.42534814499999996,0.002089427,0.010261959,0.0,1.0,1.0,[0],[0]
1x1,0.0,0.0,3.332614013,0.833158429,0.0,5.605644119000001,0.0,0.568266986,0.0,0.0,0.833158429,0.0,4.24266506,0.0,0.0,1.704767878,2.537926307,0.0,1.666306062,0.0,0.568266986,2.273030106,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,23.260663762,13.219291651999999,0.0,0.0,0.0,0.0,0.568266986,0.0,18.32858226,0.833158429,2.273030106,0.0,0.568266986,0.0,1.666306062,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,0.833158429,0.0,20.833527581,1.666306062,0.568266986,0.0,0.833158429,0.0,1.136534943,0.568266986,2.234573048,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,4.165709745,3.1061885350000003,0.0,0.0,17.953156016,0.0,0.0,18.065211766,1.136534943,0.0,0.0,0.833158429,0.0,0.0,1.136534943,0.0,2.537926307,0.0,2.49945167,1.136534943,0.0,3.977829304,0.0,0.568266986,1.704767878,40.91794659,1.401425415,0.833158429,0.0,3.977829304,0.0,0.833158429,1.704767878,0.0,0.0,0.0,0.568266986,12.50205896,0.0,8.938168491999999,0.0,0.0,52.562862740999996,0.0,1.136534943,0.568266986,0.833158429,0.0,0.833158429,3.977829304,4.546001721,15.001510629999999,0.568266986,0.0,0.568266986,0.0,1.666306062,2.234573048,1.136534943,0.0,2.841315689,12.50205896,0.833158429,0.0,29.9955966,0.032814167,0.0,0.095067149,0.050919719,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.042243551000000004,0.0,0.0,0.0,0.0,0.025996785,0.5980369459999999,0.003530092,0.026969161,0.0,1.0,1.0,[0],[1]
2x2,0.0,0.0,0.0,0.0,0.0,2.273030106,9.869260563,0.568266986,0.0,0.0,4.934990116,0.0,3.409506631,2.467448345,2.467448345,1.704767878,1.704767878,0.0,2.467448345,0.0,0.568266986,2.273030106,0.0,0.0,2.467448345,19.73958204,0.0,0.0,0.568266986,0.0,1.136534943,3.0357153310000005,21.5943577,7.387257951,2.467448345,0.0,0.0,0.0,0.568266986,0.0,34.5467582,0.0,2.273030106,0.0,0.568266986,2.467448345,4.934990116,4.934990116,4.172216223,6.639757994,0.0,3.0357153310000005,0.568266986,0.0,0.0,17.437049076,4.934990116,0.568266986,0.0,0.0,2.467448345,6.071525059,0.568266986,7.9707955980000005,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,4.934990116,2.273030106,0.0,0.0,7.955503336,0.0,0.0,52.388461965999994,3.6039832880000002,0.0,0.0,0.0,0.0,2.467448345,1.136534943,0.0,1.704767878,0.0,2.467448345,1.136534943,0.0,6.445277649,0.0,5.503257102,1.704767878,40.91794659,0.568266986,4.934990116,0.0,3.977829304,7.402528612,0.0,1.704767878,0.0,2.467448345,0.0,0.568266986,12.50205896,0.0,7.208020222,0.0,0.0,109.512103231,0.0,13.474820163,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,17.437049076,0.568266986,0.0,0.568266986,2.467448345,0.0,3.0357153310000005,1.136534943,0.0,5.308764034,12.50205896,0.0,0.0,44.41507126,0.007551839,0.088516458,0.020422204,0.093759632,0.0,0.065165276,2.243620227,0.132017133,0.0,0.0,0.024325537,0.0,0.575796023,0.0,0.007229182,0.0,0.290060269,0.0,0.010261959,0.0,1.0,1.0,[0],[2]
3x3,0.0,0.0,0.0,0.0,0.0,3.9076623340000003,0.0,3.837599688,0.0,0.0,0.0,0.0,3.409506631,0.0,0.0,1.704767878,1.704767878,0.0,1.634632228,0.0,0.568266986,2.273030106,0.0,0.0,0.0,0.0,0.0,1.634632228,0.568266986,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,0.0,1.634632228,0.568266986,0.0,58.84115951,0.0,5.542362808,0.0,0.568266986,0.0,0.0,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,1.634632228,0.0,51.736687859999996,1.634632228,2.2028992140000003,0.0,0.0,0.0,1.136534943,5.472180678,0.568266986,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,1.634632228,3.9076623340000003,0.0,0.0,9.590135564,0.0,0.0,34.894717246,1.136534943,0.0,0.0,0.0,1.634632228,0.0,1.136534943,1.634632228,3.3394001060000003,0.0,3.269332702,1.136534943,0.0,3.977829304,0.0,2.2028992140000003,3.3394001060000003,40.91794659,0.568266986,11.44228085,0.0,3.977829304,0.0,0.0,1.704767878,0.0,0.0,0.0,0.568266986,14.136691188,0.0,10.446423114,0.0,0.0,94.943221981,0.0,1.136534943,2.2028992140000003,0.0,0.0,0.0,3.977829304,4.546001721,23.94433981,0.568266986,0.0,0.568266986,0.0,0.0,0.568266986,1.136534943,6.538587847,2.841315689,12.50205896,0.0,0.0,47.40608956,0.007551839,0.035149317,0.020422204,0.038828007,0.0,0.023750201,1.563716509,0.0,0.0,0.0,0.024325537,0.0,0.595217848,0.0,0.0,0.0,0.341627393,0.0,0.010261959,0.0,1.0,1.0,[0],[3]
4x4,0.0,0.0,1.550997306,0.0,0.0,5.375071136000001,0.0,0.568266986,1.550997306,0.0,0.0,0.0,3.409506631,0.0,0.0,1.704767878,1.704767878,0.0,0.0,0.0,0.568266986,2.273030106,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,8.938255257,1.550997306,0.0,0.0,0.0,0.568266986,0.0,27.92011396,0.0,8.477134541,0.0,0.568266986,1.550997306,0.0,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,1.550997306,0.0,38.8673455,1.550997306,2.119264292,0.0,0.0,0.0,4.238575973,2.119264292,2.119264292,0.568266986,2.119264292,0.568266986,0.0,0.0,0.0,7.755077605,2.273030106,1.550997306,0.0,7.955503336,0.0,0.0,48.647752325999996,1.136534943,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,6.357781084,0.0,0.0,1.136534943,0.0,3.977829304,0.0,0.568266986,3.255765184,40.91794659,0.568266986,7.755077605,0.0,3.977829304,0.0,0.0,1.704767878,0.0,0.0,0.0,0.568266986,12.50205896,0.0,6.926043312,0.0,0.0,79.411151071,0.0,1.136534943,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,26.460970709999998,0.568266986,0.0,2.119264292,0.0,0.0,0.568266986,1.136534943,3.10204103,2.841315689,12.50205896,0.0,0.0,43.43242331,0.007551839,0.047159893,0.035491053,0.034675841,0.0,0.055013459,0.988932297,0.0,0.0,0.013382966,0.024325537,0.0,0.393862711,0.0,0.0,0.0,0.29220999,0.0,0.015164397,0.0,1.0,1.0,[0],[4]
5x5,0.0,0.0,0.685660073,2.742570586,2.056961717,2.463139613,0.0,14.804496443000001,0.0,0.0,1.371264502,0.0,2.056961717,0.0,0.685660073,0.0,6.170839465,0.685660073,0.0,5.485149617,0.685660073,0.685660073,2.463139613,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,27.09312166,0.685660073,0.685660073,3.1487996860000003,0.685660073,0.0,0.685660073,15.211209812,1.371264502,23.438170132,0.0,0.685660073,0.0,0.0,0.0,35.19674817,3.1487996860000003,6.170839465,0.0,0.0,0.0,2.056961717,0.0,1.371264502,0.0,3.1487996860000003,0.0,0.0,0.0,0.0,7.389382581,2.742570586,0.685660073,1.371264502,3.428228268,0.0,0.0,36.135617256,0.0,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,3.834404115,0.0,0.685660073,0.685660073,1.371264502,10.28495938,0.0,6.577013339,18.639208592,24.68029451,1.371264502,6.297514934,2.463139613,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,7.94828923,0.0,0.685660073,38.469586125,1.371264502,3.428228268,0.0,0.0,0.0,0.685660073,3.1487996860000003,4.113873726,24.935975315999997,0.0,0.0,8.913339965,8.913339965,2.463139613,0.685660073,0.0,0.685660073,6.577013339,8.227626339,1.371264502,0.0,32.02174353,0.005950012,0.025107353,0.003502826,0.033139144,0.0,0.017684828,1.0832003019999998,0.0,0.0,0.0,0.051656201,0.0,0.236260519,0.0,0.024693544,0.006769616,0.363603568,0.002089427,0.0,0.0,1.0,1.0,[1],[0]
6x6,0.0,0.0,4.018274086,3.575729015,2.056961717,3.332614013,0.0,12.34135683,0.0,0.0,2.204422931,0.0,2.890120146,0.0,0.685660073,0.0,7.003997894,0.685660073,1.666306062,5.485149617,0.685660073,0.685660073,0.833158429,0.685660073,0.0,1.518818502,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,25.664003082,5.832033701,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,18.32858226,1.518818502,0.685660073,0.685660073,0.685660073,0.0,2.351966135,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,0.833158429,0.0,21.359605671,2.351966135,6.170839465,0.0,0.833158429,0.0,2.056961717,0.0,3.037570564,0.0,0.685660073,0.0,0.0,0.0,0.0,4.165709745,3.575729015,0.685660073,1.371264502,13.425880948,0.0,0.0,21.610818506,0.0,0.685660073,0.0,0.833158429,0.0,0.0,0.0,0.0,2.204422931,0.0,3.185111743,0.685660073,1.371264502,10.28495938,0.0,4.113873726,13.71295816,24.68029451,2.204422931,2.204422931,0.0,0.685660073,0.0,1.518818502,0.685660073,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,12.150288003,0.0,0.685660073,58.066696074999996,1.371264502,3.428228268,0.0,0.833158429,0.0,1.518818502,0.685660073,4.113873726,17.58367149,0.0,0.0,8.913339965,8.913339965,1.666306062,2.351966135,0.0,0.685660073,4.113873726,8.227626339,2.204422931,0.0,29.9955966,0.025262328,0.00491609,0.074644945,0.047856448999999995,0.0,0.0,1.207231319,0.0,0.001753042,0.0,0.046566521,0.0,0.236260519,0.0,0.024693544,0.025996785,0.536292369,0.003530092,0.016707202,0.0,1.0,1.0,[1],[1]
7x7,0.0,0.0,0.685660073,2.742570586,2.056961717,0.0,9.869260563,12.34135683,0.0,0.0,6.306254618,0.0,2.056961717,2.467448345,3.1531084180000004,0.0,6.170839465,0.685660073,2.467448345,5.485149617,0.685660073,0.685660073,0.0,0.685660073,2.467448345,20.425242113,0.0,0.685660073,0.685660073,0.0,0.685660073,3.1531084180000004,23.99769702,0.0,2.467448345,0.0,0.685660073,1.371264502,0.0,0.685660073,34.5467582,0.685660073,0.685660073,0.685660073,0.685660073,2.467448345,5.620650189,15.219949496,3.838712847,23.446909816,0.0,3.1531084180000004,0.0,0.0,0.0,17.963127166,5.620650189,6.170839465,0.0,0.0,2.467448345,6.991951833,0.0,8.773793114,0.0,0.685660073,0.0,0.0,0.0,0.0,4.934990116,2.742570586,0.685660073,1.371264502,3.428228268,0.0,0.0,55.934068706,2.467448345,0.685660073,0.0,0.0,0.0,2.467448345,0.0,0.0,1.371264502,0.0,3.1531084180000004,0.685660073,1.371264502,12.752407725000001,0.0,9.048863842,13.71295816,24.68029451,1.371264502,6.306254618,0.0,0.685660073,7.402528612,0.685660073,0.685660073,0.685660073,2.467448345,0.685660073,0.685660073,0.685660073,0.0,10.420139733,0.0,0.685660073,115.015936565,1.371264502,15.766513488,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,20.019209936,0.0,0.0,8.913339965,11.38078831,0.0,3.1531084180000004,0.0,0.685660073,6.581322071,8.227626339,1.371264502,0.0,44.41507126,0.0,0.093432548,0.0,0.090696362,0.0,0.065165276,2.263341783,0.132017133,0.0,0.0,0.028648507,0.0,0.812056542,0.0,0.031922726,0.0,0.228315692,0.0,0.0,0.0,1.0,1.0,[1],[2]
8x8,0.0,0.0,0.685660073,2.742570586,2.056961717,1.634632228,0.0,15.610689532,0.0,0.0,1.371264502,0.0,2.056961717,0.0,0.685660073,0.0,6.170839465,0.685660073,1.634632228,5.485149617,0.685660073,0.685660073,0.0,0.685660073,0.0,0.685660073,0.0,2.3202923010000003,0.685660073,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,0.685660073,3.00589673,0.0,0.685660073,58.84115951,0.685660073,3.954992775,0.685660073,0.685660073,0.0,0.685660073,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,1.634632228,0.0,52.262765949999995,2.3202923010000003,7.805471693,0.0,0.0,0.0,2.056961717,4.903913692,1.371264502,0.0,0.685660073,0.0,0.0,0.0,0.0,1.634632228,4.377202814,0.685660073,1.371264502,5.062860496,0.0,0.0,38.440323986,0.0,0.685660073,0.0,0.0,1.634632228,0.0,0.0,1.634632228,3.00589673,0.0,3.954992775,0.685660073,1.371264502,10.28495938,0.0,5.748505954,15.347590388,24.68029451,1.371264502,12.813545352,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,0.685660073,0.685660073,2.3202923010000003,0.0,13.658542624999999,0.0,0.685660073,100.447055315,1.371264502,3.428228268,1.634632228,0.0,0.0,0.685660073,0.685660073,4.113873726,26.526500669999997,0.0,0.0,8.913339965,8.913339965,0.0,0.685660073,0.0,7.22424792,4.113873726,8.227626339,1.371264502,0.0,47.40608956,0.0,0.040065407,0.0,0.035764737,0.0,0.023750201,1.583438065,0.0,0.0,0.0,0.028648507,0.0,0.831478367,0.0,0.024693544,0.0,0.279882816,0.0,0.0,0.0,1.0,1.0,[1],[3]
9x9,0.0,0.0,2.236657379,2.742570586,2.056961717,3.10204103,0.0,12.34135683,1.550997306,0.0,1.371264502,0.0,2.056961717,0.0,0.685660073,0.0,6.170839465,0.685660073,0.0,5.485149617,0.685660073,0.685660073,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,1.550997306,1.550997306,0.0,0.685660073,1.371264502,0.0,0.685660073,27.92011396,0.685660073,6.889764508,0.685660073,0.685660073,1.550997306,0.685660073,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,1.550997306,0.0,39.39342359,2.236657379,7.721836771,0.0,0.0,0.0,5.159002747000001,1.550997306,2.922261808,0.0,2.236657379,0.0,0.0,0.0,0.0,7.755077605,2.742570586,2.236657379,1.371264502,3.428228268,0.0,0.0,52.193359066,0.0,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,6.024277708,0.0,0.685660073,0.685660073,1.371264502,10.28495938,0.0,4.113873726,15.263955465999999,24.68029451,1.371264502,9.126342107000001,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,10.138162823,0.0,0.685660073,84.91498440500001,1.371264502,3.428228268,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,29.04313157,0.0,0.0,10.464337271,8.913339965,0.0,0.685660073,0.0,3.787701103,4.113873726,8.227626339,1.371264502,0.0,43.43242331,0.0,0.052075983,0.015068849,0.031612571,0.0,0.055013459,1.008653853,0.0,0.0,0.013382966,0.028648507,0.0,0.6301232299999999,0.0,0.024693544,0.0,0.23046541299999998,0.0,0.004902438,0.0,1.0,1.0,[1],[4]
